Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688)
0.0,0.29340241912108994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1127292068853677e-19,0.29340241912108994,8.7874279716193181e-26,1.1507083622009229e-39,1.1491470237797543e-39,6.5792239340010326e-61,3.3822009667820794e-51,0.0,0.0,2.845426293816545e-24,1.2055812203034568e-40,154.0,0.0,0.99999999999999933,1.0,19.0,6.2705234641764095e-17,1.4013233383143564e-18,3.1109973303592534e-16,3.1109973581744855e-16,8.5833542414108829e-26,1.8150105980909735e-25,1.8146795047078202e-25,1.5180702821305792e-25,5.8525008296279587e-26,9.6391238860653831e-37,3.0374815794233181e-29,4.5824760884576128e-31,2.5532331811831969e-41,2.5532331797669973e-41,1.2458983674093536e-50,3.6698243776102319e-42,1.7030172070439012e-51,1.9601616420579011e-30,6.1808295194932296e-93,6.0767205058260552e-93,6.0767205058260595e-93,1.2330142450992632e-41,2.4582479137448645e-46,1.6120570138090415e-36,2.1016172147152901e-42,2.2411514977299969e-48,1.5314639946297773e-55,2.7696511031907539e-66,4.0840820970694058e-76,4.0989472124718035e-79,2.2270146267506651e-89,2.774491459928443e-92,5.1977271992908598e-91,4.8073453713843437e-79,6.4429523613146243e-90,5.3822124171815262e-42,2.9648543424524033e-41,1.7297482067140288e-50,2.3587841272394814e-53,1.115831716057176e-52,4.0268803651655306e-58,2.1246294637835562e-61,9.1861514204145544e-62,2.0458407212631095e-69,2.1732070709083676e-80,2.0890953516758421e-71,1.2188105812408847e-80,1.6619487040775351e-83,1.0194133916364304e-80,8.86503477737293e-84,8.8650347770478973e-84,8.1445371611189261e-95,1.1569323537757009e-67,1.4134145819954763e-73,1.6118101974415466e-83,2.5568075760007191e-92,4.7017921825516123e-93,1.184922620564342e-103,5.8882555954516575e-105,1.6747102895877831e-116,3.5677557817445993e-76,7.4498755897371556e-84,2.4358507603511376e-94,4.7388796208417026e-119,6.9878741755533033e-129
3.1156417792790294e-19,0.29340241912108994,2.4604798322894676e-25,6.9452197921072472e-39,6.940848024165688e-39,9.9425379684156834e-60,4.015348988305681e-50,0.0,0.0,7.9672063244800254e-24,7.2817202634467085e-40,154.0,0.0,0.99999999999999811,1.0,19.0,1.7557465699693545e-16,3.9237048667949706e-18,8.7107925191251811e-16,8.7107925920923013e-16,5.1843454320618542e-25,1.0962664005377053e-24,1.0958733798936085e-24,9.169144297557234e-25,3.5349101398886898e-25,1.1442592413836349e-35,1.8346388720742779e-28,2.7678155557194397e-30,3.0311984309867569e-40,3.0311984278187738e-40,2.7870242198364304e-49,4.3568150933868681e-41,3.8095812252536258e-50,1.1839376305988536e-29,6.5861534775804942e-91,6.4752172447904953e-91,6.4752172447905051e-91,1.4638345119628785e-40,2.9184319201903098e-45,1.9132819573716407e-35,2.4950175093091879e-41,2.6606948959372689e-47,3.4258234979065451e-54,1.1429042176656749e-64,3.0743948911628106e-74,3.085584978284413e-77,3.0398638210666657e-87,3.7871669623509779e-90,7.0948215383219765e-89,3.6188494008807318e-77,4.8824405837348837e-88,6.3897619837212502e-41,1.7907720202695768e-40,2.0535570681306863e-49,2.8003483870399018e-52,1.3247115910123729e-51,8.564046484522346e-57,4.7521235289371541e-60,2.0547072836217131e-60,8.0362582730325825e-68,1.5583110166007047e-78,8.2061665963792968e-70,8.7395437027571237e-79,1.191655387541761e-81,7.3097751136840947e-79,6.3567373440628218e-82,6.3567373436400535e-82,1.0593624136552335e-92,4.7741135853616503e-66,5.8324946295914748e-72,1.2133304391215482e-81,3.4900296078268537e-90,6.4179229042507967e-91,2.9231927026346563e-101,1.4526273769498697e-102,7.4534385916445978e-114,1.703569112057462e-74,6.4775380039632848e-82,3.1683184565825092e-92,2.1090781172127345e-116,5.6050094823869016e-126
7.121466924066354e-19,0.29340241912108994,5.6239539034887734e-25,3.3427188272706669e-38,3.3417195459554817e-38,1.0695761470892685e-58,3.9422934481279343e-49,0.0,0.0,1.821081719298164e-23,3.5058447276954308e-39,154.0,0.0,0.99999999999999567,1.0,19.0,4.013135017072623e-16,8.9684660018160203e-18,1.9910382873134139e-15,1.9910383016758344e-15,2.4960386187769675e-24,5.2780508086099281e-24,5.2741933991900669e-24,4.4145480706713418e-24,1.7019066994460239e-24,1.1232339405676619e-34,8.8329964045073561e-28,1.3325840439600374e-29,2.9760485906739394e-39,2.976048584414543e-39,5.5066876442074956e-48,4.2775460306355365e-40,7.5270898994999309e-49,5.7001500370459108e-29,1.4988544289862074e-88,1.4736079380841334e-88,1.4736079380841371e-88,1.4372014041552443e-39,2.86533375893897e-44,1.8773030910134852e-34,2.4495754379836066e-40,2.6122856830340274e-46,6.7688490684695284e-53,4.5212148583282284e-63,2.4308312918590884e-72,2.4396789560026078e-75,4.8022392052181632e-85,5.9827948748840277e-88,1.1207900995178532e-86,2.8613150476713166e-75,4.256023427300187e-86,6.2735049398015145e-40,8.6217963892817741e-40,2.0161945008183631e-48,2.7493983793735845e-51,1.3006015992075899e-50,1.642199639305682e-55,9.3868554166467956e-59,4.0588992270207388e-59,3.0838896118932141e-66,1.1948932660928894e-76,3.1490914068793245e-68,6.7013552892940065e-77,9.1365295921881471e-80,5.605062169295576e-77,4.8742859143718112e-80,4.8742859137242185e-80,1.6227214219845625e-90,1.888591705105357e-64,2.3072766822925572e-70,9.5934381214897891e-80,5.5133909462327821e-88,1.0138744336975631e-88,9.2276439493528952e-99,4.5855123509689321e-100,4.7025378366942766e-111,8.8659173939282994e-73,6.7294673660162283e-80,4.8532005335416156e-90,1.3306636290171023e-113,7.0694341651052046e-123
1.5133117213641002e-18,0.29340241912108994,1.1950902049664317e-24,1.4596290858911729e-37,1.4594167210310418e-37,9.8313079742877757e-58,3.4869139109313887e-48,0.0,0.0,3.869824215868227e-23,1.5311031733951826e-38,154.0,0.0,0.99999999999999067,1.0,19.0,8.5279119112785197e-16,1.9057980584103255e-17,4.230956348706042e-15,4.230956369353539e-15,1.0900851675466878e-23,2.305063448582325e-23,2.301653976747372e-23,1.9279489382217813e-23,7.4326704549286574e-24,9.9312043034524227e-34,3.8576015764746379e-27,5.8197446058523247e-29,2.632281269314919e-38,2.6322812581766659e-38,9.7988472877671798e-47,3.7834394861374917e-39,1.3394052044877293e-47,2.4894052667600926e-28,2.5329977042294027e-86,2.4903322510290339e-86,2.4903322510290464e-86,1.2711883658236151e-38,2.5343552495845097e-43,1.6583784612777411e-33,2.1665371554754017e-39,2.3105364923878957e-45,1.204480217464112e-51,1.6135890608444874e-61,1.7374561294540009e-70,1.7437800680141561e-73,6.869444897657965e-83,8.5581908934143886e-86,1.6032026426931139e-84,2.0451478409699398e-73,3.1909283515155312e-84,5.548841820921923e-39,3.7653649750700106e-39,1.7833011924509008e-47,2.4318112452181528e-50,1.1503529833307666e-49,2.8780609637742675e-54,1.6694334547952132e-57,7.2195354824398396e-58,1.0836139289508939e-64,8.4071169727816669e-75,1.1065244636592546e-66,4.7149646439475676e-75,6.4270291989911875e-78,3.9436767282223684e-75,3.4295134151782618e-78,3.4295134142664523e-78,2.2847908586562133e-88,6.7402485466857324e-63,8.2345052226730858e-69,6.8569872530892763e-78,7.8867246440378081e-86,1.4503140643620456e-86,2.6408297365170526e-96,1.3123145993609656e-97,2.6920479545062217e-108,3.5374341781513304e-71,5.3856183553562063e-78,6.8333036490639744e-88,7.6176107960976408e-111,8.094688281783208e-120
3.11564177927903e-18,0.29340241912108983,2.4604798357123143e-24,6.0932148961930485e-37,6.0927775275570447e-37,8.4109944659378361e-57,2.9309612462800417e-47,0.0,0.0,7.9673905004863779e-23,6.3921268422016585e-38,154.0,0.0,0.99999999999998079,1.0,19.0,1.7557465699687757e-15,3.9236978997705171e-17,8.7107924338546497e-15,8.7107924357853284e-15,4.5508870287896073e-23,9.6231860921400264e-23,9.5945673825817781e-23,8.0488057552041624e-23,3.1029909010438735e-23,8.3416037598043764e-33,1.6104727069766877e-26,2.429628798260268e-28,2.2125910028391866e-37,2.2125909840529278e-37,1.6527157288237129e-45,3.1802062729671842e-38,2.2591018861129741e-46,1.039277685843581e-27,3.7088665457291389e-84,3.6463949249434535e-84,3.6463949249434905e-84,1.0685104156480806e-37,2.1302782746025639e-42,1.3904891709174163e-32,1.8209627540994706e-38,1.9421441141470544e-44,2.0315308963431863e-50,5.4519499920532753e-60,1.1750418323209529e-68,1.1793187125759423e-71,9.2953525061035533e-81,1.1580470148629169e-83,2.169227976404026e-82,1.383133781682152e-71,2.209238200675872e-82,4.6641321028744778e-38,1.5719657365278184e-38,1.4989720859792068e-46,2.0440830626821158e-49,9.6691676868653895e-49,4.8172692702811951e-53,2.8126864693883491e-56,1.21664918996587e-56,3.6326097515048664e-63,5.6405194080059568e-73,3.7094129360618154e-65,3.16334156969541e-73,4.3102690544567817e-76,2.645934631913774e-73,2.3009732684859613e-76,2.3009732672620068e-76,3.0669557282067715e-86,2.2773769011256911e-61,2.7822522802108439e-67,4.6373822060386516e-76,1.0671880817430899e-83,1.9624849789438871e-84,7.1482688347502632e-94,3.5522168985112842e-95,1.4575312766528356e-105,1.2571422083117206e-69,3.8339345347035146e-76,9.1725856174858785e-86,4.1243343984180021e-108,8.7657079339890532e-117
6.320301895108889e-18,0.29340241912108994,4.9912591032471743e-24,2.4891872690812919e-36,2.4890984257182433e-36,6.9545440681701763e-56,2.4029791138794575e-46,0.0,0.0,1.6162848235627207e-22,2.6114516259102858e-37,154.0,0.0,0.99999999999996103,1.0,19.0,3.5616573276496008e-15,7.9594852821393609e-17,1.7670464453605273e-14,1.7670464293737461e-14,1.8591826052446118e-22,3.9313854721221753e-22,3.9079874963162235e-22,3.2881985151298599e-22,1.2676708235026119e-22,6.8288511310026558e-32,6.5793063768293033e-26,9.9258263047977527e-28,1.8140157654284581e-36,1.8140157345720748e-36,2.7145803986522674e-44,2.6073210042670264e-37,3.7105791255126013e-45,4.2457883813427239e-27,5.0715611323216877e-82,4.9861364776653228e-82,4.9861364776654235e-82,8.7602939430485045e-37,1.7465308043610619e-41,1.1343447817379388e-31,1.492702028300692e-37,1.5922853984007022e-43,3.3367921778320588e-49,1.7924800640219258e-58,7.7298098954698311e-67,7.7579446100045076e-70,1.223214904167401e-78,1.5239232527949708e-81,2.8542184910381323e-80,9.0987068732752207e-70,1.4703306217378238e-80,3.8239310770003792e-37,6.4219927968077151e-38,1.2289478503090717e-45,1.6758614540862169e-48,7.9269705711206093e-48,7.8818531484133162e-52,4.6098349581330486e-55,1.9949713585155829e-55,1.1895773051267005e-61,3.6954462624409117e-71,1.2147281644305558e-63,2.0724552547378545e-71,2.821607507181861e-74,1.7335584702328515e-71,1.5075561107421065e-74,1.5075561091379897e-74,4.0195584380327474e-84,7.4875120853546125e-60,9.1474306912153081e-66,3.0506228120070572e-74,1.4043585516868009e-81,2.582518058607442e-82,1.8815315991304604e-91,9.3500125786729642e-93,7.673322211904849e-103,4.2342061667095178e-68,2.5846910562770243e-74,1.2021609434480297e-83,2.1712979482246503e-105,9.2298354967246015e-114
1.2729622126768606e-17,0.29340241912108983,1.0052817662489272e-23,1.0061513744108875e-35,1.0061333835835351e-35,5.655598168000828e-55,1.9459947926447843e-45,0.0,0.0,3.2555064369466735e-22,1.055638394826226e-36,154.0,0.0,0.99999999999992151,1.0,19.0,7.1734788430071592e-15,1.6031010845770802e-16,3.5589807890920163e-14,3.5589806916195134e-14,7.5150871717907281e-22,1.5891288302340146e-21,1.5702856165949372e-21,1.3291413935757408e-21,5.1241103035731472e-22,5.5138923937902281e-31,2.6594607386368787e-25,4.0121776082631187e-27,1.469036969520835e-35,1.4690369195016453e-35,4.4004189022769149e-43,2.1114692839442538e-36,6.015000537126687e-44,1.7162154890684452e-26,6.7076246999405058e-80,6.594642423171092e-80,6.5946424231713609e-80,7.0943131427576541e-36,1.4143858769830526e-40,9.095817471388896e-31,1.2084511728415779e-36,1.2894712679751609e-42,5.4090728252745672e-48,5.8138543686639326e-57,5.015354334933275e-65,5.0336090557418424e-68,1.587493833730772e-76,1.977754528447994e-79,3.7032817589925346e-78,5.9035396223213142e-68,9.5959447037425117e-79,3.0967084604283861e-36,2.5958720410271277e-37,9.9523378359394852e-45,1.3571538865986698e-47,6.4188229046004078e-47,1.2751217341125092e-50,7.4404909035448799e-54,3.2230352170080162e-54,3.8504042610754639e-60,2.3925576757959272e-69,3.931812026775801e-62,1.341724193555288e-69,1.8238197539741279e-72,1.1224246553119276e-69,9.7610659248853784e-73,9.7610659041109168e-73,5.2056162295121131e-82,2.4285534149429788e-58,2.966943270542397e-64,1.9793454452858622e-72,1.8225840266578353e-79,3.3516055557401744e-80,4.8839380101266411e-89,2.4270290896724804e-90,3.9837110720860328e-100,1.3896737648730221e-66,1.6972809548662167e-72,1.5568845718192078e-81,1.1272592775608493e-102,9.5837209495982734e-111
2.554826259008804e-17,0.29340241912108994,2.0175934877662975e-23,4.0456549930555494e-35,4.0456181053339068e-35,4.5618939425765938e-54,1.5663059145398046e-44,0.0,0.0,6.5344699290898762e-22,4.2450607206945767e-36,154.0,0.0,0.99999999999984246,1.0,19.0,1.4397121873705914e-14,3.2173865171007983e-16,7.1428492356804727e-14,7.1428487835896787e-14,3.0217624484607595e-21,6.3898168521463568e-21,6.2398149564517472e-21,5.3444108863405627e-21,2.0603678630940853e-21,4.4120626583677326e-30,1.0693573921987865e-24,1.6132789021740289e-26,1.1824087099433848e-34,1.182408629390108e-34,7.0866330077659038e-42,1.6994831228661311e-35,9.6869467626898362e-43,6.9008265294442153e-26,8.7268025966247587e-78,8.5798095744728413e-78,8.5798095744735393e-78,5.7101203791385189e-35,1.1384207223034295e-39,7.17966246052166e-30,9.7205928388712334e-36,1.0378742625513753e-41,8.711109321857603e-47,1.8730030560171693e-55,3.2318618633289071e-63,3.2436250804055332e-66,2.0460517962678288e-74,2.549041945046859e-77,4.770588212023944e-76,3.8042027175801497e-66,6.2022907229792341e-77,2.4924841696261329e-35,1.0437886297374679e-36,8.0105065527004584e-44,1.0923520273692601e-46,5.1653916934420178e-46,2.0511867182072339e-49,1.1880117575740681e-52,5.1558397624063807e-53,1.2390001762106782e-58,1.5397197405668776e-67,1.2651958498600808e-60,8.6339126222332808e-68,1.1698885052976715e-70,7.2240844268634256e-68,6.2825069066272339e-71,6.2825068798838802e-71,6.7012871088585237e-80,7.8238878187664319e-57,9.5583775243504229e-63,1.2754790018292232e-70,2.3490522863245612e-77,4.3197437165687853e-78,1.2589504781440371e-86,6.2563610802842685e-88,2.0538584212442912e-97,4.5032400441600508e-65,1.1002297450593374e-70,2.0042066205275023e-79,5.8117441384964546e-100,9.8821114671940051e-108
5.1185543516726916e-17,0.29340241912108994,4.0422169694768248e-23,1.6224818382482603e-34,1.6224738220143572e-34,3.6650828372531241e-53,1.2568618662710695e-43,0.0,0.0,1.3094477974499936e-21,1.7027681504568166e-35,154.0,0.0,0.99999999999968436,1.0,19.0,2.8844407935037962e-14,6.445878663257321e-16,1.4310585165359446e-13,1.4310583274735163e-13,1.2118450091594962e-20,2.5626021232561691e-20,2.4448232936880516e-20,2.143341228646216e-20,8.2628815286094145e-21,3.4993813516018945e-29,4.2886008406424645e-24,6.4699694096393868e-26,9.4880844967568929e-34,9.4880832037332628e-34,1.1375275211580023e-40,1.3637104419971323e-34,1.5549610871856742e-41,2.7675397146100511e-25,1.1261473786771832e-75,1.1071787123543979e-75,1.1071787123545783e-75,4.5820119462145701e-34,9.1351080749287294e-39,5.5465185485201186e-29,7.7904339369173789e-35,8.3282167871408368e-41,1.3983145035164101e-45,6.0137713809772785e-54,2.0754617222010257e-61,2.0830159059689379e-64,2.6279694511908407e-72,3.2740153094456911e-75,6.1212081282178044e-74,2.44301194781617e-64,3.9899015683113077e-75,2.00003556542078e-34,4.1860584518518055e-36,6.4279258005759333e-43,8.7653810851178647e-46,4.1432408070900828e-45,3.2897612788678481e-48,1.8749130429533253e-51,8.1668505990564238e-52,3.9746910311396164e-57,9.8767052183850011e-66,4.0587257928740067e-59,5.5374315501948535e-66,7.4558342373571911e-69,4.6349591616886125e-66,4.0310325095602369e-69,4.0310324752408229e-69,8.5996786980969193e-78,2.5120731298311642e-55,3.0689782325451571e-61,8.1909891159396398e-69,3.0171539221602815e-75,5.5483350183256639e-76,3.2339452429778527e-84,1.6071723791462318e-85,1.0552226104274462e-94,1.4500866469090109e-63,7.0864062094733528e-69,2.5719735180953479e-77,2.9859330561942005e-97,1.0154412255347596e-104
