Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118)
5.500582253386633e-19,0.9041474096831621,1.7703372845912417e-19,3.1452997990281876e-32,3.0759535940815817e-32,2.7176927086000466e-50,1.2977806651718465e-43,0.0,0.0,4.3991662756349038e-20,2.2283213463527291e-35,154.0,0.0,0.9999999999995911,1.0,19.0,3.9058484161310533e-14,1.562038946537311e-13,1.0683486084632424e-13,1.068350818182582e-13,4.2438403956574074e-20,8.6040033315535792e-23,8.5773780500468468e-23,5.3723489128661708e-23,6.009674534859313e-20
1.1005943466159353e-18,0.9041474096831621,3.5422126554050484e-19,1.2450583201207195e-31,1.2311830542578404e-31,2.1763586730460034e-49,1.0390136383960907e-42,0.0,0.0,8.8021562560482917e-20,8.9190940687995032e-35,154.0,0.0,0.99999999999918177,1.0,19.0,7.8150902713654733e-14,3.1254329148740352e-13,2.1376254068696354e-13,2.1376298271688397e-13,1.6986411600437178e-19,3.4438435786819034e-22,3.4225815395876806e-22,2.1503389991856065e-22,2.4054345997142638e-19
2.201666589170479e-18,0.904147409683162,7.0859633969220565e-19,4.9540924637489513e-31,4.9263359070950582e-31,1.7419696046953317e-48,8.3152668818004974e-42,0.0,0.0,1.7608141217980139e-19,3.5688006020071202e-34,154.0,0.0,0.9999999999983632,1.0,19.0,1.5633573981813053e-13,6.2522145703242306e-13,4.2761789985092912e-13,4.2761878368518716e-13,6.7967694206603508e-19,1.3779859953305264e-21,1.3610646715108699e-21,8.6041518174830343e-22,9.624860574035555e-19
4.403811074279567e-18,0.904147409683162,1.4173464879513642e-18,1.9764070603313702e-30,1.970855146464111e-30,1.3939295290967762e-47,6.6534768850042524e-41,0.0,0.0,3.5220131146264139e-19,1.4277535942474934e-33,154.0,0.0,0.99999999999672606,1.0,19.0,3.1270541402623165e-13,1.2505752756432555e-12,8.5532861610960804e-13,8.5533038234906178e-13,2.7191441046437239e-18,5.5128411315598055e-21,5.3789699150258516e-21,3.4422168947996678e-21,3.8505621226991589e-18
8.808100044497744e-18,0.904147409683162,2.8348467842927092e-18,7.8951666287984953e-30,7.884062198178141e-30,1.1152862869014409e-46,5.3232869134410076e-40,0.0,0.0,7.0444191020513517e-19,5.7114869205567885e-33,154.0,0.0,0.99999999999345179,1.0,19.0,6.2544476243903191e-13,2.5012728630288487e-12,1.7107500403499571e-12,1.7107535669160204e-12,1.0877411692600667e-17,2.2053158112248843e-20,2.1005834088178523e-20,1.3769955387689182e-20,1.5403431316872688e-17
1.7616677984934095e-17,0.904147409683162,5.669847376267511e-18,3.1559741524996294e-29,3.1537532058074842e-29,8.9228787162041707e-46,4.2588317031223047e-39,0.0,0.0,1.4089263083973948e-18,2.284693923109022e-32,154.0,0.0,0.99999999998690314,1.0,19.0,1.2509234592510245e-12,5.0026278391017682e-12,3.4215928557226267e-12,3.4215998874365541e-12,4.3511017691807923e-17,8.8216213010646245e-20,8.0194170496177371e-20,5.5081800425137459e-20,6.1615666620372224e-17
3.52338338658068e-17,0.904147409683162,1.1339848557385568e-17,1.2619711433082111e-28,1.2615269476893789e-28,7.1385667194928995e-45,3.4071462326398442e-38,0.0,0.0,2.8179079076111301e-18,9.1390111484378289e-32,154.0,0.0,0.99999999997380595,1.0,19.0,2.501880852820578e-12,1.000517700162258e-11,6.843278354035902e-12,6.8432923505822695e-12,1.7404441522751792e-16,3.5287195938831476e-19,2.9375247086122817e-19,2.2032958540562135e-19,2.4646315427004717e-16
5.28509897466795e-17,0.904147409683162,1.7009849735672078e-17,2.6814271012645007e-28,2.680760804360656e-28,2.1192874404833845e-44,9.7423682428524444e-38,0.0,0.0,4.2269023096542097e-18,1.9420588089822197e-31,154.0,0.0,0.99999999996070876,1.0,19.0,3.7528382463356991e-12,1.5007565379686213e-11,1.0264963719917157e-11,1.0264984649937518e-11,3.6984190061206836e-16,7.4985729517966981e-19,5.8838889265336885e-19,4.6820008835408812e-19,5.2373068843994089e-16
7.04681456275522e-17,0.9041474096831621,2.2679850911127038e-17,4.5739652888825804e-28,4.5730768902465283e-28,4.6178532599171477e-44,2.0549545688110514e-37,0.0,0.0,5.635909514526762e-18,3.3129457700128646e-31,154.0,0.0,0.99999999994761157,1.0,19.0,5.0037956397963887e-12,2.0009792978460366e-11,1.368664895336644e-11,1.3686676797517396e-11,6.3090137622442474e-16,1.2791721732175417e-18,9.5208971169310734e-19,7.9869193264594907e-19,8.9341529870307075e-16
1.0570245738929762e-16,0.904147409683162,3.4019853255391489e-17,9.4693366921839645e-28,9.4680040886871523e-28,1.3404360248746596e-43,5.6127377236008535e-37,0.0,0.0,8.4539539717291903e-18,6.8590946680186596e-31,154.0,0.0,0.99999999992141719,1.0,19.0,7.5057104265900219e-12,3.0013870852889625e-11,2.0530019109455428e-11,2.0530060766981114e-11,1.3061797162398469e-15,2.64837111682273e-18,1.8110740768088124e-18,1.6535785815956485e-18,1.8496725246201677e-15
1.4093676915104302e-16,0.904147409683162,4.5359855589243321e-17,1.6104400180053613e-27,1.6102623369122825e-27,2.931407026326727e-43,1.1743748669177017e-36,0.0,0.0,1.1272045509502876e-17,1.1665608986447141e-30,154.0,0.0,0.99999999989522281,1.0,19.0,1.0007625213183487e-11,4.0017357527454503e-11,2.7373388778545216e-11,2.7373444254335807e-11,2.2214322463067898e-15,4.5041925916972086e-18,2.8480211611718183e-18,2.8122819380244657e-18,3.1457556262913721e-15
1.7617108091278843e-16,0.904147409683162,5.6699857911938767e-17,2.4603419471238693e-27,2.4601198449369623e-27,5.4997600566232138e-43,2.1379076065931166e-36,0.0,0.0,1.4090187490746617e-17,1.7822536884376348e-30,154.0,0.0,0.99999999986902843,1.0,19.0,1.2509539999562491e-11,5.0020210808131196e-11,3.4216757925850459e-11,3.4216827272322821e-11,3.3937859606779812e-15,6.8813950348019943e-18,4.0284740808589239e-18,4.2964939988584498e-18,4.8059180278885011e-15
2.4663970443627926e-16,0.904147409683162,7.937986252315978e-17,4.7310408323843816e-27,4.7307298864300786e-27,1.5048599347162102e-42,5.6447179303123202e-36,0.0,0.0,1.9726625952215731e-17,3.4272607845831271e-30,154.0,0.0,0.99999999981663967,1.0,19.0,1.7513369571663642e-11,7.0023977635737139e-11,4.7903494622333991e-11,4.790359206798444e-11,6.5258515452006482e-15,1.3232690811460491e-17,6.6317003477682676e-18,8.2618284945357386e-18,9.2412155486446777e-15
3.1710832795977007e-16,0.904147409683162,1.0205986708906885e-16,7.7587909620452201e-27,7.7583911697721312e-27,3.1724727219070758e-42,1.1702926803587671e-35,0.0,0.0,2.5363269291366209e-17,5.62077566567579e-30,154.0,0.0,0.99999999976425114,1.0,19.0,2.2517199142893747e-11,9.0025172436352704e-11,6.1590229199578701e-11,6.1590355313093157e-11,1.0701929706376419e-14,2.1701586287750188e-17,9.4621206304495182e-18,1.3549087597929731e-17,1.5154932428147399e-14
