Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298)
7.051460402424646e-19,0.7327975657399607,2.6908268671847506e-19,7.786298514062108e-32,7.6446220636794644e-32,1.1773316006953676e-49,5.1405904516492949e-43,0.0,0.0,7.8681322604576234e-20,6.5220929299758042e-35,154.0,0.0,0.99999999999935552,1.0,19.0,5.3368265908066523e-14,2.2843486878389285e-13,1.813711297123932e-13,1.8137147733345087e-13,7.9872656250972611e-20,2.3182677583042139e-22,2.3088660390661776e-22,1.4418810700728727e-22,1.1422976312102235e-19,3.5122711958451167e-32,3.1657009915380296e-25,3.4264125080422891e-25,7.4163606457979199e-34,7.4163606403367971e-34,4.7182585103225382e-43,3.4858386112344169e-33,7.4286572950791666e-44,2.3187019594536918e-26,3.7957422281697195e-78,3.5732621141242685e-78,3.5732621141283483e-78,2.734957906326743e-37,1.4151513906704682e-39,4.2810313735698012e-32,2.1716267078805471e-37,2.5290529798582317e-40,6.1376334655290225e-46,1.0800179257557971e-55,2.318115490848025e-65,2.8510125792681487e-66,1.9822875745427387e-76,2.4122643181181777e-80,4.5121883601251901e-77,2.4211690189307351e-68,3.2178445942947705e-75,2.4373961875750133e-33,1.2431925505922119e-33,1.362326838805746e-42,5.2893366104545692e-43,3.3492874451783121e-43,2.678296184638931e-47,3.3153452008102764e-52,1.9227716907336567e-52
1.4109047182262346e-18,0.7327975657399609,5.3839915529134693e-19,3.0881886867039493e-31,3.0598410724211448e-31,9.4282062187050681e-49,4.1155980618714878e-42,0.0,0.0,1.5743109672596858e-19,2.6105382526541974e-34,154.0,0.0,0.99999999999871036,1.0,19.0,1.0678289868472746e-13,4.5706780786431126e-13,3.6289983596204239e-13,3.6290053122385273e-13,3.196985416541564e-19,9.2791125314389141e-22,9.2041080846131965e-22,5.7712796798469276e-22,4.572164041789937e-19,2.7826176453998523e-31,1.2671053998646778e-24,1.3714579476054013e-24,5.9375979633015905e-33,5.9375979545566958e-33,7.5553419754423169e-42,2.790788492017386e-32,1.189552294027965e-42,9.2808505437679566e-26,4.8684165015937812e-76,4.5830636528969078e-76,4.5830636529073733e-76,2.189629312271384e-36,1.1329815823843175e-38,3.3259095042278934e-31,1.7384762559783793e-36,2.0247752254928502e-39,9.8281871308298673e-45,3.4589574199925865e-54,1.4848589798854418e-63,1.8262039380829167e-64,2.5395089195801958e-74,3.0903522389797998e-78,5.7803701378434843e-75,1.5508694810156447e-66,2.0630450120941463e-73,1.9513976375100805e-32,4.976010038224841e-33,1.0906898123916986e-41,4.2346805395638818e-42,2.6814217827802193e-42,2.5869121480254001e-46,5.2442616740234585e-51,3.0409242134490386e-51
2.8224220741937746e-18,0.7327975657399609,1.0770320930308112e-18,1.2300057584145043e-30,1.2243349924798065e-30,7.5463940131711836e-48,3.2937292657930639e-41,0.0,0.0,3.1493092234350403e-19,1.0445564391280115e-33,154.0,0.0,0.99999999999742017,1.0,19.0,2.1361216423764295e-13,9.1433249709168389e-13,7.2595724706543319e-13,7.2595863678351527e-13,1.2792086926422726e-18,3.7128536074333533e-21,3.6532701867511527e-21,2.3092618147422593e-21,1.8294584505088031e-18,2.1813811206692275e-30,5.0700720628819835e-24,5.4876181612591464e-24,4.7518828988899532e-32,4.7518828848924912e-32,1.2093406470192978e-40,2.2334758723153448e-31,1.9040559417587399e-41,3.7135490996690648e-25,6.2378954041418565e-74,5.8722731899500897e-74,5.8722731899769106e-74,1.7523689475561301e-35,9.0672959768691069e-38,2.5124899654741595e-30,1.3910764474572248e-35,1.6204276585900468e-38,1.5731425831890466e-43,1.1073267777359069e-52,9.5071150582323636e-62,1.1692646414110068e-62,3.2519567404015747e-72,3.9573367951909497e-76,7.4015274724898168e-73,9.9297609180189044e-65,1.3215097840057464e-71,1.5617090127225407e-31,1.991052156709937e-32,8.7288331413992549e-41,3.3890236076044802e-41,2.1458808477664417e-41,2.7787854112149685e-45,8.194658444222014e-50,4.750092513308987e-50
5.6454567861288546e-18,0.7327975657399607,2.1542979708846246e-18,4.909480075243744e-30,4.8981372150268908e-30,6.0386564892871879e-47,2.6354838483728431e-40,0.0,0.0,6.2993168307757523e-19,4.1789147299482162e-33,154.0,0.0,0.99999999999483979,1.0,19.0,4.272706953418481e-13,1.8288571198373044e-12,1.4520720636885861e-12,1.452074839168425e-12,5.1176525339611671e-18,1.4853831571061583e-20,1.4384092816439423e-20,9.2385365504638202e-21,7.3190033251636821e-18,1.6767001056235381e-29,2.0283589543758319e-23,2.1954045680416736e-23,3.8022282498794965e-31,3.8022282274792032e-31,1.9353192123064379e-39,1.7871150817747418e-30,3.0471016656648275e-40,1.4856614479722121e-24,1.398588385931385e-71,1.3166128240099796e-71,1.3166128240219865e-71,1.4021614435199883e-34,7.2552143494862212e-37,1.8067385911491437e-29,1.1126999557108082e-34,1.2965756965801637e-37,2.5175165706857375e-42,3.5441578638940033e-51,6.0857975562000614e-60,7.4848236388922277e-61,4.1633628407486182e-70,5.0664357615681622e-74,9.4746296388232561e-71,6.3563462669504258e-63,1.1181127480226996e-69,1.249601020751818e-30,7.9655050116603593e-32,6.984392430523956e-40,2.7117212673396072e-40,1.7169162743857468e-40,3.3571072529936042e-44,1.2518220401348551e-48,7.2515979772183019e-49
1.1291526209999015e-17,0.7327975657399608,4.3088297360917862e-18,1.9616831231088458e-29,1.9594143500115752e-29,4.8315566418033258e-46,2.1085872780469268e-39,0.0,0.0,1.2599376425417013e-18,1.6717089766944814e-32,154.0,0.0,0.99999999998967892,1.0,19.0,8.5458775754375553e-13,3.6578873426898878e-12,2.9043016746003763e-12,2.9043072101369718e-12,2.047215452372542e-17,5.9420157775339626e-20,5.5769839899199035e-20,3.69570385582292e-20,2.927822200476048e-17,1.2432156952608051e-28,8.1140960416365979e-23,8.7823327579288383e-23,3.0420713473882361e-30,3.0420713115447702e-30,3.0967631915635258e-38,1.4298198814408072e-29,4.8758338533581173e-39,5.9431294202796444e-24,1.7965328657952496e-69,1.6912325559768616e-69,1.6912325560077588e-69,1.1218357276726241e-33,5.8047224799908161e-36,1.2003074949668197e-28,8.896489184059298e-34,1.0373388375811602e-36,4.0283603439460429e-41,1.134228692698034e-49,3.8952547028183362e-58,4.7907106115662819e-59,5.3295804437474268e-68,6.4856177902171063e-72,1.2125336399474209e-68,4.0684212606158052e-61,7.1844030485916746e-68,9.9977018907157998e-30,3.1864612349470255e-31,5.5880440146636113e-39,2.1695629505945799e-39,1.3734803559261549e-39,4.4996127427599023e-43,1.8359328624741215e-47,1.0623224131821209e-47
2.2583665057739335e-17,0.7327975657399608,8.6178933045042519e-18,7.8425146614099306e-29,7.8379763683935432e-29,3.8655216912524665e-45,1.6869499123226492e-38,0.0,0.0,2.5199673134537463e-18,6.6871643286436159e-32,154.0,0.0,0.99999999997935718,1.0,19.0,1.7092218819215583e-12,7.3158716994231386e-12,5.8087608070859184e-12,5.8087718250293487e-12,8.1890976943093581e-17,2.3769026941486455e-19,2.1007796988377114e-19,1.4783324792252037e-19,1.1711626152255319e-16,8.6680825899948994e-28,3.2457704047889407e-22,3.5130758676450812e-22,2.4337724939945792e-29,2.4337724366441986e-29,4.9548729211866404e-37,1.1438975113611159e-28,7.8016516198512907e-38,2.3773484792847351e-23,2.2998418305035892e-67,2.1650410377386455e-67,2.1650410378177548e-67,8.9751128947449649e-33,4.6439982586122315e-35,7.1479358886912376e-28,7.1080181053204774e-33,8.298781331878453e-36,6.4454613440517594e-40,3.6295878776083313e-48,2.493004268337647e-56,3.0661056299201776e-57,6.8219799296152068e-66,8.3017350411242337e-70,1.5512324954043795e-66,2.6038327997020974e-59,4.5987016010583713e-66,7.9984524335960045e-29,1.2746362912070508e-30,4.4706466941249649e-38,1.7357006816440732e-38,1.098543616814114e-38,6.5007509766001045e-42,2.5161645402414499e-46,1.4533255610902919e-46
4.516794275321998e-17,0.7327975657399608,1.7236020593321736e-17,3.136162535260078e-28,3.1352543653544806e-28,3.09256595947497e-44,1.3495919760572838e-37,0.0,0.0,5.0400976632118565e-18,2.6749652110423123e-31,154.0,0.0,0.9999999999587138,1.0,19.0,3.4184901305731156e-12,1.4631536069663122e-11,1.1617678714705026e-11,1.1617700599792644e-11,3.2756278544444718e-16,9.5078015526766584e-19,7.5168821118927324e-19,5.9133765236967674e-19,4.6846344099617453e-16,5.5053150813231066e-27,1.2983345157198223e-21,1.4052587902468849e-21,1.9470640203347174e-28,1.9470639285784345e-28,7.9273576786609336e-36,9.1511941576448644e-28,1.2482706105070595e-36,9.5095871974876729e-23,2.9439382888092865e-65,2.7713850284443363e-65,2.7713850286468658e-65,7.1802623695361161e-32,3.7152864987320706e-34,3.7656784110960267e-27,5.6713899747566608e-32,6.6386653602681299e-35,1.031222274387578e-38,1.161412439089004e-46,1.5954477357529463e-54,1.962215488802249e-55,8.7317287057599728e-64,1.0625732229342441e-67,1.983345756672925e-64,1.6663747900612254e-57,2.9433032537121177e-64,6.3987717807264426e-28,5.0986483746751211e-30,3.5766010784460479e-37,1.3885421890834288e-37,8.7838757839196472e-38,9.838667881776183e-41,3.1246122157330584e-45,1.8004530055955068e-45
6.775222044870062e-17,0.7327975657399608,2.5854148034131765e-17,6.6638186044439367e-28,6.6624554390013952e-28,9.1812233890291166e-44,3.8590131433760891e-37,0.0,0.0,7.5602990209028159e-18,5.6844017019337483e-31,154.0,0.0,0.99999999993807043,1.0,19.0,5.1277583791206247e-12,2.1946896109337215e-11,1.7426596264972324e-11,1.7426628962818623e-11,6.9606364772425575e-16,2.0204195297510649e-18,1.483013114526616e-18,1.2565892088110644e-18,9.9547441301549139e-16,1.3934491935471077e-26,2.7589772715461864e-21,2.9861925824032551e-21,5.5674198106099126e-28,5.5674194728957307e-28,2.91769723313859e-35,2.6166521629582122e-27,4.594445902527643e-36,2.0207993430934003e-22,1.5189659238543293e-64,1.4299346689256507e-64,1.4299346690499931e-64,2.0531192037047915e-31,1.0623461611252178e-33,8.7812494001917929e-27,1.6191902780824096e-31,1.8981699869005965e-34,3.7954666704009381e-38,5.3024618470655099e-46,8.7656911596589936e-54,1.0780782692329815e-54,5.6330683627082753e-63,6.8549410293500095e-67,1.2790919512332856e-63,9.1553780360554801e-57,1.4606179969573956e-63,1.8296366276185684e-27,1.083469188465598e-29,1.0226904153231175e-36,3.9703027451007167e-37,2.5108862384059427e-37,3.5746278605685164e-40,1.0291088945852275e-44,5.9242994723082218e-45
9.033649814418126e-17,0.7327975657399609,3.4472275626934329e-17,1.1367219912298366e-27,1.1365400878073151e-27,2.0005698860238886e-43,8.1398039355395095e-37,0.0,0.0,1.0080571386525443e-17,9.6970559105613709e-31,154.0,0.0,0.99999999991742705,1.0,19.0,6.8370266275640847e-12,2.9261951831105519e-11,2.323551345788799e-11,2.3235556949352189e-11,1.1873884541109276e-15,3.4466082191703044e-18,2.3688126197538341e-18,2.1435830850403601e-18,1.69814186999217e-15,2.6543164137143008e-26,4.7065052763816619e-21,5.0941088667957058e-21,1.1743339823562906e-27,1.1743338967070806e-27,7.399676505058377e-35,5.5192320178387484e-27,1.1652445204594079e-35,3.4472567050051892e-22,8.2865698372761752e-64,7.8008685458469236e-64,7.8008685465391179e-64,4.3306387007676619e-31,2.2408031950732452e-33,1.5797313106579171e-26,3.4106137167493864e-31,4.0036412069282588e-34,9.6258416163999066e-38,1.5804750248518852e-45,3.0137632493979233e-53,3.7065790626849584e-54,2.1998233515771107e-62,2.6769895581684731e-66,4.9936000645558293e-63,3.1477429486133126e-56,6.1790111162541237e-63,3.8592019212384353e-27,1.8482766511223536e-29,2.1571571918119485e-36,8.3743853692781759e-37,5.2947343502146448e-37,8.995999548032614e-40,2.379410791565193e-44,1.3687865496661682e-44
1.3550505353514255e-16,0.7327975657399607,5.1708531169256604e-17,2.353342535892918e-27,2.3530691860469757e-27,5.8071856233469025e-43,2.2232406381229932e-36,0.0,0.0,1.5121282769035197e-17,2.0076949387330906e-30,154.0,0.0,0.9999999998761403,1.0,19.0,1.025556312420681e-11,4.3891349098419054e-11,3.4853347005037466e-11,3.4853412123488947e-11,2.4582824942928163e-15,7.1357844723509792e-18,4.4182947750452726e-18,4.4379715008969655e-18,3.515709132415656e-15,6.2230112519181548e-26,9.7442510672694421e-21,1.0546736781470224e-20,3.2074811156959913e-27,3.2074808161914309e-27,2.587558574005481e-34,1.5074496009455861e-26,4.0748703232600441e-35,7.1371290401707857e-22,1.1508731064494384e-62,1.0834169019140761e-62,1.0834169020234238e-62,1.1828365567752882e-30,6.1203491973866394e-33,3.4556277455278385e-26,9.2939846353475832e-31,1.0934484227011251e-33,3.3660292622248398e-37,6.9177467447045823e-45,1.6207974109784999e-52,1.9933927982655156e-53,1.4307982055827858e-61,1.7411571362162448e-65,3.2461713447557062e-62,1.6928515677524873e-55,5.565728442763475e-62,1.0540510664784174e-26,3.8266334806050541e-29,5.8918840263047812e-36,2.2872389226942258e-36,1.4454929654511286e-36,3.1190393746769453e-39,7.2322867764466962e-44,4.1565143152858864e-44
