Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297)
0.0,0.5774786805301765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4187971857726842e-20,0.5774786805301765,5.2393418670989104e-24,1.579524542189424e-38,1.4730886687117253e-38,1.4396532652551206e-59,3.3735569007794082e-51,0.0,0.0,1.4022327310743765e-23,1.1698444735998961e-40,154.0,0.0,0.99999999999999944,1.0,19.0,7.9947663469222808e-17,2.1284758041229444e-17,2.580264717167346e-16,2.5802649097039172e-16,1.9145473103053785e-25,1.1000240678690451e-26,1.0999632293700253e-26,8.0126419796099452e-27,1.8412370565996781e-25,1.9679543926924294e-38,4.7625510470719381e-30,7.1198272760139065e-31,1.5297765362294897e-41,1.5297765361750753e-41,4.7505010244642687e-52,1.472026005676804e-41,6.9092353632470854e-53,3.3782928835684015e-31,1.4374090085227373e-94,1.384654749581797e-94,1.3846547495817994e-94,1.4974836371110623e-43,5.4017324509582546e-47,2.8665395986422747e-38,5.3916603093563169e-44,1.9915464899585366e-48,5.330439313058358e-56,2.0344507328387861e-67,2.056835654706833e-78,2.4973513521106034e-80,8.7900016620348184e-92,2.8000094095224248e-95,7.5822064354649298e-93,2.2876732920249357e-81,8.5263266730507332e-91,1.5306358405975848e-41,3.0107749805932884e-40,1.283560139992207e-50,3.2178562215837496e-52,5.8646142053116368e-52,2.778026356888241e-57,4.631630806633074e-62
3.972632120163516e-20,0.5774786805301765,1.4670157228026027e-23,9.195476006639647e-38,8.8974555590922985e-38,2.1756041261767246e-58,4.0050867584402358e-50,0.0,0.0,3.9262518658901133e-23,7.0658609507910662e-40,154.0,0.0,0.99999999999999822,1.0,19.0,2.2385345771382183e-16,5.9597321269639702e-17,7.2247412077121175e-16,7.2247417465549855e-16,1.1563865552538315e-24,6.6441453693335328e-26,6.6434226511846575e-26,4.8396357272397151e-26,1.1121071627879453e-24,2.3362229541138056e-37,2.8765808322267951e-29,4.3003756744458195e-30,1.8161507037085496e-40,1.8161507035868274e-40,1.0626680280174972e-50,1.7475892460199334e-40,1.5455682988924106e-51,2.0404889015474034e-30,1.5316708413681679e-92,1.4754570847417876e-92,1.4754570847417926e-92,1.7778125808542879e-42,6.412936765239724e-46,3.402542837378672e-37,6.4009679286017226e-43,2.3643639367366298e-47,1.1923979255220584e-54,8.3952177277627329e-66,1.5483345083933013e-76,1.8799437228909741e-78,1.1998308691225832e-89,3.8219989938464425e-93,1.0349663943757031e-90,1.7221033162812463e-79,6.5792956399322503e-89,1.8171708409261181e-40,1.8185080880760486e-39,1.5238425979734365e-49,3.8202388530428999e-51,6.9624668964244778e-51,3.6039239776810367e-56,1.036000542945365e-60
9.080301988945179e-20,0.5774786805301765,3.3531787950476572e-23,4.351860809947246e-37,4.2837418487239146e-37,2.3404158889464679e-57,3.9322179318850067e-49,0.0,0.0,8.9742910110490246e-23,3.4019082245556157e-39,154.0,0.0,0.999999999999996,1.0,19.0,5.1166504620301179e-16,1.3622244274324955e-16,1.6513694187375849e-15,1.6513695417793473e-15,5.5675032758087994e-24,3.1988699884699352e-25,3.1981602463467395e-25,2.3300762450035761e-25,5.3543170696179712e-24,2.2934369363058356e-36,1.384949844181556e-28,2.0704457714649751e-29,1.7831075303094834e-39,1.7831075300689802e-39,2.0996527359467973e-49,1.7157934256662242e-39,3.0537824435415767e-50,9.8240757034983166e-30,3.4857244669034293e-90,3.3577951092659669e-90,3.3577951092659869e-90,1.7454669373482331e-41,6.2962593431694421e-45,3.3393390553062676e-36,6.2844845656479606e-42,2.3213464146550305e-46,2.3559772476190785e-53,3.3210644831892627e-64,1.2242214790809726e-74,1.4864149010365511e-76,1.8954386176504523e-87,6.0378214151601592e-91,1.6349895475783829e-88,1.3616152437462334e-77,7.1704382267461521e-87,1.7841090458034118e-39,8.755333640530937e-39,1.4961176984764722e-48,3.7507330468919565e-50,6.8357847445436116e-50,4.1862050067850332e-55,2.0466307241133829e-59
1.9295641726508505e-19,0.5774786805301765,7.1255049397762869e-23,1.8852978902003014e-36,1.8708226093777828e-36,2.1512458777917625e-56,3.4780022309255049e-48,0.0,0.0,1.9070372803476593e-22,1.4857029932891586e-38,154.0,0.0,0.99999999999999156,1.0,19.0,1.0872882231813594e-15,2.8947266575762927e-16,3.5091600141000075e-15,3.5091602750418112e-15,2.4314747714433029e-23,1.3970305652706689e-24,1.3964028328657083e-24,1.0176054873213202e-24,2.3383707612085897e-23,2.0280199881703991e-35,6.0484398266097959e-28,9.0421806364056871e-29,1.5771384171199758e-38,1.5771384166920137e-38,3.7362190997522396e-48,1.517599749056188e-38,5.43404246458709e-49,4.2904319601495228e-29,5.8907202469389691e-88,5.6745252882262221e-88,5.6745252882262913e-88,1.5438457408589191e-40,5.5689700841384083e-44,2.9513017289228236e-35,5.5585132620987146e-41,2.0532044038023522e-45,4.1923352145492762e-52,1.1852642078892189e-62,8.7502223855208152e-73,1.0624271150200662e-74,2.7113628817558546e-85,8.6369058623098695e-89,2.3387886454977384e-86,9.732255470556264e-76,5.8658636814244855e-85,1.5780241372285187e-38,3.8236842222182306e-38,1.3232991604597191e-47,3.3174807037334637e-49,6.0461625574938744e-49,4.8551190597244326e-54,3.6406844770907982e-58
3.972632120163516e-19,0.5774786805301764,1.4670157230187633e-22,7.840118184340144e-36,7.8103161225345871e-36,1.8404369234891496e-55,2.9234704410407846e-47,0.0,0.0,3.9262550396770712e-22,6.2025200052934229e-38,154.0,0.0,0.99999999999998268,1.0,19.0,2.2385345771379251e-15,5.9597303205504926e-16,7.2247412025435586e-15,7.2247417376276267e-15,1.0150927025438759e-22,5.8323275995345897e-24,5.8270529317960641e-24,4.248302380788469e-24,9.7622361680348573e-23,1.7038341258507076e-34,2.5251045623038338e-27,3.7749324180237976e-28,1.325679868654187e-37,1.3256798679323664e-37,6.3016770446824874e-47,1.2756338543454862e-37,9.165306094226666e-48,1.7911708850842435e-28,8.6253120222600006e-86,8.3087549802797946e-86,8.3087549802799989e-86,1.2976953699836371e-39,4.6810549079293776e-43,2.476876645232351e-34,4.6721943879570044e-40,1.7258416603596223e-44,7.0709846925823275e-51,4.0047390883839513e-61,5.9177784820237047e-71,7.1851983222823198e-73,3.6688672572231994e-83,1.1686986422848014e-86,3.1646922106060687e-84,6.5819278041359057e-74,4.2217046908871177e-83,1.3264241863994085e-37,1.5963128918892845e-37,1.1123126776944076e-46,2.7885420873291908e-48,5.0821443629329569e-48,6.0197768067819267e-53,6.1365494100263882e-57
8.058768015188846e-19,0.5774786805301766,2.9759461814826682e-22,3.1968145526198634e-35,3.1907689808441946e-35,1.5217101347582679e-54,2.3968376966842109e-46,0.0,0.0,7.9646961617114789e-22,2.5339338235321417e-37,154.0,0.0,0.99999999999996492,1.0,19.0,4.54102728505054e-15,1.2089734457246983e-15,1.4655903570305489e-14,1.4655904647057313e-14,4.1469836736635556e-22,2.3826961249338671e-23,2.3783751276638254e-23,1.7355699673961267e-23,3.9881908229498517e-22,1.3955324453549226e-33,1.0315876045850174e-26,1.5421830641451533e-27,1.0868724494550276e-36,1.0868724482694356e-36,1.0350515044301053e-45,1.0458414141108146e-36,1.5054040223438756e-46,7.3175175024289866e-28,1.1794384579390717e-83,1.1361519601908101e-83,1.1361519601908665e-83,1.0639290690009955e-38,3.8378116253583703e-42,2.0243748534179856e-33,3.8304309202635725e-39,1.4149486805087325e-43,1.1614108953796436e-49,1.316670076251752e-59,3.8929108267570333e-69,4.7266616061944751e-71,4.8280211542352806e-81,1.5379411105442228e-84,4.1644815383288595e-82,4.3298102646452856e-72,2.8616089017339857e-81,1.0874823853940649e-36,6.5214590150849769e-37,9.1194113393462736e-46,2.2862147265597459e-47,4.1666168976020793e-47,8.1147327363401745e-52,1.0066194678212295e-55
1.6231039805239508e-18,0.5774786805301765,5.9938070999370179e-22,1.2909774762954332e-34,1.2897598384270898e-34,1.2374315172811217e-53,1.9410213095626948e-45,0.0,0.0,1.6041600819282572e-21,1.024258197168261e-36,154.0,0.0,0.99999999999992939,1.0,19.0,9.1460127008737005e-15,2.4349729973645582e-15,2.951822826932865e-14,2.9518230403064592e-14,1.6762761087690895e-21,9.6312386678945199e-23,9.5963047368016815e-23,7.0154498965034678e-23,1.6120895377957961e-21,1.1279197075034603e-32,4.1698420243162864e-26,6.2337505059599569e-27,8.8017748690394985e-36,8.8017748498205696e-36,1.6778603608046562e-44,8.4694902232956025e-36,2.4403239631399808e-45,2.9578575652162565e-27,1.5599202603988445e-81,1.5026697236032162e-81,1.5026697236033646e-81,8.615973460770375e-38,3.1079593471591377e-41,1.6292495104119587e-32,3.101793882247318e-38,1.1458611812228338e-42,1.8826956067573387e-48,4.2705844744037755e-58,2.5258513974667172e-67,3.0668169289902225e-69,6.2658353449707428e-79,1.9959493776777284e-82,5.4044978779405692e-80,2.8093264395949297e-70,1.8842117932682482e-79,8.8067094177080174e-36,2.6360779930781486e-36,7.3851357014241475e-45,1.8514350636012982e-46,3.3741823974128162e-46,1.1720979452419324e-50,1.6275406227029181e-54
3.257558338534083e-18,0.5774786805301765,1.2029528942951882e-21,5.1885114475724302e-34,5.186067587536705e-34,9.9803674749630657e-53,1.5623028158207526e-44,0.0,0.0,3.2195499788433346e-21,4.1185102834461732e-36,154.0,0.0,0.99999999999985822,1.0,19.0,1.8355983532511748e-14,4.8869669978571473e-15,5.9242877521372184e-14,5.9242881664590587e-14,6.7402244927052554e-21,3.872678684975185e-22,3.8446555946002303e-22,2.8208804180860771e-22,6.4821334207668968e-21,9.042966474830493e-32,1.6766751302604388e-25,2.5065636508224573e-26,7.0844341237661744e-35,7.0844340928147764e-35,2.702133588274686e-43,6.8169749933356403e-35,3.9300638403740741e-44,1.189341512786663e-26,2.0294990054600542e-79,1.9550144882562417e-79,1.9550144882566279e-79,6.9348850416781991e-37,2.5015560544161489e-40,1.2953256362108844e-31,2.4962903566148236e-37,9.2228724463468898e-42,3.0320183925467611e-47,1.3758235119675464e-56,1.6276462786649195e-65,1.9762418206750985e-67,8.075782554126348e-77,2.5724987069901667e-80,6.9651453221573389e-78,1.8103162100602079e-68,1.2230579714180083e-77,7.0883980370705255e-35,1.0599553591152765e-35,5.9441996438927626e-44,1.4901945679132957e-45,2.7157518468485622e-45,1.7723202646712391e-49,2.6075739047627201e-53
6.5264670545543475e-18,0.5774786805301765,2.4100972653406261e-21,2.0803347366366796e-33,2.0798450574862498e-33,8.0168285293563273e-52,1.2536496206305867e-43,0.0,0.0,6.4503656342765213e-21,1.6517173528915525e-35,154.0,0.0,0.999999999999716,1.0,19.0,3.6775925195754739e-14,9.7909345877787577e-15,1.1869217544144812e-13,1.1869218319295362e-13,2.7031250564600501e-20,1.553117343490492e-21,1.5307815434535369e-21,1.1312983081493978e-21,2.5996192393822948e-20,7.2000603437474441e-31,6.7242171191472932e-25,1.0052441242823759e-25,5.6848121773982131e-34,5.6848121277146526e-34,4.3374945986882117e-42,5.4701809694113209e-34,6.308614265711181e-43,4.7697913719215081e-26,2.6189609037030512e-77,2.5228425819361151e-77,2.5228425819371111e-77,5.5648085462538464e-36,2.0073411679337844e-39,1.0145746118010479e-30,2.0026293573046245e-36,7.4007498809789978e-41,4.8670454663655736e-46,4.4174668706553796e-55,1.0452594377883222e-63,1.2691242831423081e-65,1.0372666841349189e-74,3.304159365883182e-78,8.9448772797826549e-76,1.1625683860942364e-66,7.8829298568490695e-76,5.6879803847783995e-34,4.2508950026702667e-35,4.7698457641446578e-43,1.1957849766346425e-44,2.1790855189254323e-44,2.7523604406363933e-48,4.1429514477550271e-52
1.3064284486594876e-17,0.5774786805301764,4.8243860172013634e-21,8.3312093184116608e-33,8.3302286629216023e-33,6.4265679165088393e-51,1.0044452570623381e-42,0.0,0.0,1.2912140391551811e-20,6.6155690282139095e-35,154.0,0.0,0.99999999999943157,1.0,19.0,7.3615808522108313e-14,1.9598788124047324e-14,2.3759076894555545e-13,2.3759078232759995e-13,1.0826548152330045e-19,6.2205702391005289e-21,6.0439859085416882e-21,4.531086793352859e-21,1.0411986972498697e-19,5.6805184368824461e-30,2.6931941296250492e-24,4.0262197545774905e-25,4.5547674826997119e-33,4.5547674030773995e-33,6.9512106390439953e-41,4.3827819439100934e-33,1.0110204738748295e-41,1.9104044267519163e-25,3.3659066422124825e-75,3.2423747112729553e-75,3.2423747112755149e-75,4.458618688561794e-35,1.6083156183686858e-38,7.7573022985852926e-30,1.6037615281655467e-35,5.9295666987563577e-40,7.79991350492535e-45,1.4159608668098128e-53,6.7010649232040279e-62,8.1362424749982549e-64,1.3299828638465485e-72,4.2365917811281915e-76,1.1465864720044069e-73,7.4531221427099236e-65,5.0628604182739793e-74,4.5572857400216082e-33,1.7025752052315468e-34,3.8216808516930238e-42,9.5807941529313753e-44,1.7457049529368761e-43,4.336390409627686e-47,6.5064566996526442e-51
2.6139919350675933e-17,0.5774786805301765,9.6529635600022776e-21,3.3344589734185573e-32,3.3342624004293631e-32,5.1466067566371628e-50,8.041669547529686e-42,0.0,0.0,2.5836263691712739e-20,2.6480191660361823e-34,154.0,0.0,0.99999999999886269,1.0,19.0,1.4729557517428581e-13,3.9214168627722773e-14,4.7538794660959284e-13,4.753879653399661e-13,4.3333995153595175e-19,2.4898491015234318e-20,2.3521329945425887e-20,1.8136097428620803e-20,4.1674685842363994e-19,4.4126027601810427e-29,1.0779794785245731e-23,1.6115371104951193e-24,3.6465833647114666e-32,3.6465832372150156e-32,1.1130703888858737e-39,3.5088593135049054e-32,1.6189412181543702e-40,7.6465961136741533e-25,4.317109344334573e-73,4.1586673821934881e-73,4.1586673822000558e-73,3.5696060949861944e-34,1.287630361002235e-37,5.6882724147930835e-29,1.2827388711351413e-34,4.7471961310048901e-39,1.2489864590646165e-43,4.53483038788549e-52,4.2922948235496003e-60,5.2115823392370156e-62,1.7038239779714494e-70,5.4274437853302277e-74,1.4680444969683475e-71,4.7740169938915701e-63,3.2459331794779742e-72,3.6485672153446173e-32,6.8147374582337543e-34,3.0596681808327687e-41,7.6704014674494507e-43,1.3972810037506716e-42,6.882964404494458e-46,1.0016920678857879e-49
5.229118907883805e-17,0.5774786805301764,1.9310118801921846e-20,1.3341788885590317e-31,1.3341392799800745e-31,4.1195958611263274e-49,6.4357797197396832e-41,0.0,0.0,5.1686805434279628e-20,1.0596065946474852e-33,154.0,0.0,0.99999999999772493,1.0,19.0,2.9465510847652235e-13,7.8443623403120799e-14,9.5098226456096588e-13,9.5098227346848616e-13,1.7338912673482711e-18,9.9626386138100984e-20,8.9148570302981559e-20,7.2567548413809942e-20,1.6674985446286751e-18,3.3326306563130249e-28,4.3133217407569992e-23,6.4482471302465382e-24,2.9183747787139998e-31,2.918374574646208e-31,1.781544708266655e-38,2.8081039900447944e-31,2.591332098567861e-39,3.0596342673871715e-24,5.5315054889795838e-71,5.3284940497572736e-71,5.3284940497741021e-71,2.8567699335308726e-33,1.0304955346939723e-36,3.8928555938881788e-28,1.0245929695555726e-33,3.7990993874186814e-38,1.9991406555422188e-42,1.4517195501834948e-50,2.7481740957430056e-58,3.3367548814181844e-60,2.181779899939313e-68,6.9499489227743891e-72,1.8777306615048071e-69,3.0566003878318052e-61,2.0792237217384109e-70,2.9199107855718669e-31,2.7267823308354657e-33,2.4486640540349213e-40,6.1385573280024288e-42,1.1176985780686758e-41,1.0964576343678891e-44,1.4883399030813138e-48
1.0459372853516228e-16,0.5774786805301765,3.8624429911031797e-20,5.3375074651017373e-31,5.3374259554102936e-31,3.2968706230801209e-48,5.1496016824329329e-40,0.0,0.0,1.0339706948690231e-19,4.2395484856858022e-33,154.0,0.0,0.99999999999544942,1.0,19.0,5.8937417507252141e-13,1.5689730837403344e-13,1.9021707509569512e-12,1.902170678945442e-12,6.9364301609059706e-18,3.9857033986396157e-19,3.2229093189693309e-19,2.9031373243443416e-19,6.6708261446642421e-18,2.3955450350308343e-27,1.7256093355441199e-22,2.5797183878563079e-23,2.335142931387107e-30,2.3351426048427998e-30,2.8507545872644848e-37,2.2468300305931839e-30,4.1468848285690981e-38,1.2240527938035933e-23,1.2402093187405492e-68,1.1946924738067706e-68,1.1946924738143043e-68,2.2858502813084947e-32,8.2455285621352841e-36,2.4091060138596788e-27,8.1666645471305626e-33,3.0396962495502036e-37,3.1991124454640078e-41,4.6462456106640733e-49,1.7591193588777901e-56,2.1358727662842676e-58,2.7931407845161327e-66,8.8974107286631662e-70,2.3984605900895461e-67,1.9565445567210636e-59,1.7592046407001374e-68,2.3362892762915251e-30,1.0908902505458082e-32,1.9593026833749465e-39,4.9116264881129906e-41,8.9344836118987542e-41,1.7492287242898148e-43,2.0821769936063511e-47
