Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504)
0.0,0.44369582851559825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.559027357392286e-22,0.44369582851559825,2.9083830887759949e-22,3.4211195976280891e-36,1.4623003657592202e-37,3.7646506866017069e-58,1.879631451272134e-51,0.0,0.0,1.2178130780225003e-22,1.7917827322287654e-40,154.0,0.0,0.99999999999999922,1.0,19.0,4.1827837496413137e-17,2.1975917988736789e-16,2.397458413963309e-16,2.3974625401564332e-16,7.5370803800269138e-26,4.9569958482666541e-28,4.9569799343302497e-28,3.0468875375477236e-28,1.1105772242379813e-25,9.3154082260306618e-41,7.3949256223501756e-31,5.4965777027491169e-31,1.4786644337224729e-42,1.4786644337202961e-42,1.879205262697269e-54,4.6453043662619864e-42,2.9775446332674088e-55,5.4031677373553355e-32,5.6165045515499691e-98,5.2782996308906844e-98,5.2782996308906942e-98,1.2121166798400569e-45,4.5200564416682673e-48,1.1451368483885743e-40,1.0172797631543543e-45,9.0947101177351277e-49,2.9251131459299664e-57,6.733957282842935e-70,3.0504266972860489e-82,2.6544269764556539e-83,3.9073524024432761e-96,7.4591010355246131e-100,5.6918194225229997e-97,3.1701275115567957e-85,3.4214782929779946e-92,3.1525977333300256e-42,2.3412400687818872e-39,4.8407585437583393e-51,1.3684389617215399e-51,8.0201348745587119e-52,6.2194660791414514e-56,1.5499111256999241e-63,9.0969390497991024e-64,8.1984907306052041e-70,3.0814394065477223e-82,2.6020972229209681e-70,5.3801075787773834e-82,1.5209074140664317e-82,3.3069536746782527e-82,2.9767939430693885e-83,2.976793943069274e-83,1.143998575326275e-96
1.2765276600698401e-21,0.44369582851559825,8.1434726485784435e-22,1.0052920191873406e-35,8.8322942091907007e-37,5.6891401226413677e-57,2.2314986069479356e-50,0.0,0.0,3.4098766219524368e-22,1.0822367712427745e-39,154.0,0.0,0.99999999999999789,1.0,19.0,1.1711794498995656e-16,6.1532570306897842e-16,6.7128835590811745e-16,6.7128951124120686e-16,4.5523965457355544e-25,2.9940254923184569e-27,2.9940016239524676e-27,1.84032007184519e-27,6.7078864287971333e-25,1.1059108560984601e-39,4.4665350758850976e-30,3.3199329324451859e-30,1.7554704157079204e-41,1.7554704157030506e-41,4.2037069927292831e-53,5.5149053394072522e-41,6.660648238087333e-54,3.2635133133567571e-31,5.9848214403922532e-96,5.6244378527305177e-96,5.6244378527305368e-96,1.4390251679694106e-44,5.3662110075282232e-47,1.3594545249529995e-39,1.207714422686283e-44,1.0797239820955662e-47,6.5433610850758337e-56,2.7787863204503175e-68,2.2962850730305373e-80,1.9981863681305863e-81,5.3335167599957274e-94,1.0181639811459584e-97,7.7693051679412331e-95,2.3863928580512409e-83,2.6401659330786406e-90,3.7427640261460955e-41,1.4141090015358343e-38,5.7469485430666213e-50,1.6246107331846614e-50,9.5215039501640113e-51,7.3854628771773048e-55,3.4670374462465835e-62,2.0349177241008163e-62,1.8343759760035297e-68,1.2718395181123002e-80,5.8220772454110239e-69,2.2205963609402923e-80,6.2774213692895376e-81,1.3649187488486752e-80,1.228647959347093e-81,1.2286479593470069e-81,8.6135730469213501e-95
2.9177775087310632e-21,0.44369582851559825,1.8613651768205965e-21,2.5211662654469587e-35,4.252369463635327e-36,6.1201173448559094e-56,2.1908986297614395e-49,0.0,0.0,7.7940037237700456e-22,5.2105041999552556e-39,154.0,0.0,0.99999999999999523,1.0,19.0,2.676981599770425e-16,1.406458746969593e-15,1.5343733849252538e-15,1.5343760256819559e-15,2.1917829688107736e-24,1.4414943926240387e-26,1.441468380531206e-26,8.8603489466842545e-27,3.229558559683638e-24,1.085759317711644e-38,2.1504443709578173e-29,1.5984047959365214e-29,1.7235312639239759e-40,1.7235312639143539e-40,8.3058165817659069e-52,5.4145667562361369e-40,1.3160318482711616e-52,1.5712411780141322e-30,1.3620053321712086e-93,1.279990459562222e-93,1.2799904595622311e-93,1.4128435509101376e-43,5.2685777883454632e-46,1.3346105049006021e-38,1.185740944328025e-43,1.060079401769166e-46,1.2928578776302337e-54,1.0992602278979483e-66,1.8156035492172103e-78,1.5799058682229611e-79,8.4256492529011451e-92,1.6084497858053657e-95,1.2273596965309707e-92,1.8868490649612631e-81,2.8773819828760622e-88,3.6746679090932141e-40,6.8083261198913437e-38,5.6423881583465524e-49,1.5950524470520591e-49,9.3482686737581656e-50,7.2547191805083742e-54,6.8500580022791911e-61,4.0205198030199422e-61,3.6261751238042241e-67,5.0336745724523259e-79,1.1509021025247381e-67,8.7886547032606626e-79,2.4844697134991742e-79,5.4020628289570418e-79,4.8627316078504744e-80,4.8627316078497934e-80,6.813725646557977e-93
6.200277206053509e-21,0.44369582851559825,3.9554010007551518e-21,6.3109712676456394e-35,1.8571214645219748e-35,5.625442263973578e-55,1.9378250526461139e-48,0.0,0.0,1.6562257983236219e-21,2.2755640850453412e-38,154.0,0.0,0.9999999999999899,1.0,19.0,5.6885858995121092e-16,2.9887248249203957e-15,3.2605434429337797e-15,3.2605490545219415e-15,9.5720920237233062e-24,6.2953847267623042e-26,6.2951435489394773e-26,3.8695471597642673e-26,1.4104330661018113e-23,9.6028753486578001e-38,9.3915555401613758e-29,6.9806536822545222e-29,1.5244438845423498e-39,1.5244438845252281e-39,1.4779756648082772e-50,4.7891229619759062e-39,2.341808351348776e-51,6.862023026350338e-30,2.3017287991303358e-91,2.1631272901777788e-91,2.1631272901778076e-91,1.2496441636881794e-42,4.6599973889698662e-45,1.180252227770747e-37,1.0487740146520463e-42,9.3762821423453611e-46,2.300571488526245e-53,3.9231816259057052e-65,1.2977174844712277e-76,1.1292506395002576e-77,1.205261641202672e-89,2.3008351203470972e-93,1.7556977320530428e-90,1.348640799499178e-79,2.3538771191261081e-86,3.2502021405137702e-39,2.9733748872223989e-37,4.9906284277309443e-48,1.4108058178422454e-48,8.2684371246174452e-49,6.423170737288736e-53,1.2188512374017939e-59,7.1538186265496709e-60,6.4588675213013067e-66,1.7982043689364873e-77,2.0499628275798506e-66,3.1396138162531129e-77,8.8753773957955218e-78,1.9298056255349744e-77,1.7371377029813528e-78,1.7371377029808652e-78,4.8747978069125165e-91
1.2765276600698401e-20,0.4436958285155982,8.1434726486604678e-21,1.6922807311058553e-34,7.7531165393252765e-35,4.8126843281490939e-54,1.6288587296865677e-47,0.0,0.0,3.4098766725492391e-21,9.5000321822802141e-38,154.0,0.0,0.99999999999997924,1.0,19.0,1.1711794498995336e-15,6.1532569414202982e-15,6.7128835588478447e-15,6.7128951120358748e-15,3.9961599644704839e-23,2.6281991982682698e-25,2.6279918978194217e-25,1.6154597607786008e-25,5.8882803647859511e-23,8.0708822607642259e-37,3.9207895647690552e-28,2.9142854977844119e-28,1.2813869395455601e-38,1.2813869395166823e-38,2.4928219230493207e-49,4.0255463891024186e-38,3.9498020456904499e-50,2.8647595342639542e-29,3.3702379800620146e-89,3.1672948402192205e-89,3.1672948402193056e-89,1.0504012334152949e-41,3.9170085912063493e-44,9.9174413468535833e-37,8.8155704190102664e-42,7.8813299086584524e-45,3.8802499809030961e-52,1.3255543717553427e-63,8.7764694255741957e-75,7.6371273641457853e-76,1.6308941002711369e-87,3.1133642963136514e-91,2.3757133473879755e-88,9.1208640438509627e-78,1.6941024581036973e-84,2.7319907203215047e-38,1.2413254843506187e-36,4.1949239009006614e-47,1.185867283561035e-47,6.9501185178703883e-48,5.4099190541923163e-52,2.0555008866556427e-58,1.2064335951158778e-58,1.0915026537197188e-64,6.0873633586439451e-76,3.464291315605978e-65,1.0628359632650445e-75,3.0045222404887551e-76,6.5328666370720921e-76,5.8806385895777416e-77,5.8806385895744387e-77,3.3030937298697739e-89
2.5895275389988186e-20,0.44369582851559825,1.6519615944615915e-20,5.0275383556328821e-34,3.1674010843082742e-34,3.9792205292641769e-53,1.3354368021721453e-46,0.0,0.0,6.9171785103300001e-21,3.8810731844538604e-37,154.0,0.0,0.99999999999995792,1.0,19.0,2.3758211697961227e-15,1.2482321016813284e-14,1.3617563790264028e-14,1.3617587226399645e-14,1.6325617137452641e-22,1.0737051283092575e-24,1.0735333234673234e-24,6.599680183369374e-25,2.4055546246435977e-22,6.6155000092797453e-36,1.6017704693333577e-27,1.1905807165457859e-27,1.0505584311005485e-37,1.0505584310531161e-37,4.0944672933092992e-48,3.3003860991971255e-37,6.4875616392052635e-49,1.1703477445128198e-28,4.6085153616000392e-87,4.3310077840892204e-87,4.3310077840894543e-87,8.6118240075905949e-41,3.2114002985505544e-43,8.1255278372764481e-36,7.2275255875454949e-41,6.4615901086362733e-44,6.3733219394588858e-51,4.3581325543473006e-62,5.7734544608078218e-73,5.0239572329158256e-74,2.1461648394161358e-85,4.0970122518338798e-89,3.1263030695527991e-86,6.0000087335405475e-76,1.1483178088920385e-82,2.2398510226814767e-37,5.0712196375891908e-36,3.4392520597195359e-46,9.7224562357699595e-47,5.6981252719478847e-47,4.4531830574086252e-51,3.3752801175094931e-57,1.9810372356224122e-57,1.7997618566606525e-63,2.0090442784427569e-74,5.7122164097371595e-64,3.5077302540231646e-74,9.9159091570896666e-75,2.1560765167315612e-74,1.9408184127118861e-75,1.940818412709705e-75,2.1811289916887494e-87
5.215527296856775e-20,0.44369582851559825,3.3271902537106089e-20,1.6549615269970501e-33,1.2803141606884282e-33,3.2358361444204327e-52,1.0814713475769508e-45,0.0,0.0,1.3931782543209637e-20,1.5687918823419141e-36,154.0,0.0,0.99999999999991529,1.0,19.0,4.7851046095890724e-15,2.5140448537172027e-14,2.7426924251448598e-14,2.7426971452471253e-14,6.5990752833146589e-22,4.3400877975963636e-24,4.3386891950850217e-24,2.6676962087332729e-24,9.7236361311765264e-22,5.3549805182205999e-35,6.4746123373977116e-27,4.8125176130019566e-27,8.5076945494730958e-37,8.5076945487041982e-37,6.6373072740900847e-47,2.6727381603819965e-36,1.0516616721400112e-47,4.730732705536002e-28,6.0952027364387678e-85,5.7281723995397019e-85,5.7281723995403214e-85,6.9740783895844981e-40,2.6006752225990298e-42,6.5715501371632574e-35,5.8530187275518213e-40,5.2327626790961237e-43,1.0331428517390913e-49,1.4135497139236411e-60,3.7460138899365063e-71,3.2597145619205439e-72,2.7853077421792131e-83,5.3171312151954197e-87,4.0573328645083123e-84,3.8930100186061684e-74,7.5610400913374233e-81,1.8138893820166313e-36,2.049868058923312e-35,2.7851954851899875e-45,7.8734967658655612e-46,4.6144866677441184e-46,3.6351409574059199e-50,5.4686033739655846e-56,3.209618208837235e-56,2.9400744611065313e-62,6.5659279017776538e-73,9.3314243318374475e-63,1.1463892870175623e-72,3.2406550723071396e-73,7.0464594799431348e-73,6.3429570099031965e-74,6.3429570098889373e-74,1.4258884073631783e-85
1.0467526812572689e-19,0.44369582851559825,6.6776475724403518e-20,5.9000015775026294e-33,5.1480869300647728e-33,2.6098192303282343e-51,8.7046222709000892e-45,0.0,0.0,2.7960992038241353e-20,6.3080435482589352e-36,154.0,0.0,0.99999999999982991,1.0,19.0,9.6036714891740656e-15,5.0456701056180857e-14,5.504564516722657e-14,5.5045739893994487e-14,2.6534589966014378e-21,1.7451302136389073e-23,1.7440018306849146e-23,1.0726688794508981e-23,3.9098310996976019e-21,4.3062589556016856e-34,2.603413143915735e-26,1.9350921653594392e-26,6.8477327241083341e-36,6.8477327228700502e-36,1.0689176651503247e-45,2.1512520800879449e-35,1.6936686171024209e-46,1.9022068141446137e-27,7.9300258613008256e-83,7.4525093308159521e-83,7.4525093308175643e-83,5.6133450373866896e-39,2.0932496722272082e-41,5.2753830524766325e-34,4.7109882814489579e-39,4.2117818088621081e-42,1.6638443933305021e-48,4.553937835693333e-59,2.4139163315110555e-69,2.1005469946342829e-70,3.5898757610119414e-81,6.8530454661126169e-85,5.2293266761249029e-82,2.5086400479788186e-72,4.9079357393622704e-79,1.4599759018488331e-35,8.2424293051108509e-35,2.2417676307550545e-44,6.3372745874326637e-45,3.7141356348298211e-45,2.972300299313828e-49,8.7977836433690837e-55,5.1634325476251076e-55,4.8076376058009308e-61,2.1472860510558981e-71,1.5258833446957249e-61,3.7490788207365505e-71,1.0597756567620092e-71,2.3044385353789684e-71,2.0743693526608649e-72,2.0743693526515384e-72,9.3262378443427524e-84
2.0971525844004516e-19,0.44369582851559825,1.3378562210826674e-19,2.215258036126305e-32,2.0646131129312715e-32,2.0963489806800744e-50,6.9849111775322145e-44,0.0,0.0,5.6019416745394598e-20,2.5298079076737042e-35,154.0,0.0,0.99999999999965916,1.0,19.0,1.924080524834043e-14,1.0108919600736585e-13,1.1028308697241783e-13,1.1028327673459084e-13,1.0641556153501168e-20,6.9987526742288346e-23,6.9896915510704184e-23,4.3018817037777628e-23,1.5680169639488742e-20,3.4492666127937725e-33,1.0440851107502261e-25,7.7605850693453023e-26,5.4948742527347932e-35,5.494874250747072e-35,1.7158489090065701e-44,1.7262441296256121e-34,2.7187129487207419e-45,7.6287001056425596e-27,1.0233278275018466e-80,9.6170684892979178e-81,9.6170684893020807e-81,4.5043558928650598e-38,1.6797010328178406e-40,4.2109101276988591e-33,3.7802226343329089e-38,3.3796883122440828e-41,2.6708377119068057e-47,1.462173381805605e-57,1.5501990753773323e-67,1.3489556234493625e-68,4.6109075928618009e-79,8.8021875077270667e-83,6.716616883708832e-80,1.6110299407081619e-70,3.1632935195388186e-77,1.1715385906119467e-34,3.3055828003263985e-34,1.7988773384658109e-43,5.0852628043758232e-44,2.980352417414144e-44,2.4595860614793096e-48,1.4092839080582743e-53,8.2706636290899458e-54,7.950844646750155e-60,7.0998774946226651e-70,2.5234974871713775e-60,1.2396036379212618e-69,3.5038828477576742e-70,7.6195063374246811e-70,6.8587992504628127e-71,6.8587992504011497e-71,6.1663182516745123e-82
