Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341)
2.0097244539792444e-19,0.7189244012312762,5.6421018912070923e-19,7.6992492976091866e-32,6.8728346262983984e-32,9.7270784230772362e-50,1.4742244617997667e-43,0.0,0.0,9.6934579510348912e-20,3.4976219619346102e-35,154.0,0.0,0.99999999999942202,1.0,19.0,3.2128132245278211e-14,3.0466707116934171e-13,1.205966018706352e-13,1.2059726298792597e-13,3.1785353601900029e-20,4.6614647272403655e-23,4.6544553678790238e-23,2.7690331002655192e-23,5.1067808845127414e-20,2.7842085131065284e-33,8.998519283776414e-26,1.5552771567773801e-25,1.3864558891693393e-34,1.3864558888734527e-34,2.5475799016728468e-44,9.3816147878426504e-34,4.1128659115372302e-45,6.5802898725117558e-27,3.8537663732007349e-80,3.6039428038662933e-80,3.6039428038692888e-80,2.4041946255630125e-38,2.4177165680239691e-40,3.2765149013165475e-33,2.3592176543512408e-38,6.7775650891731943e-41,6.6440781449888822e-47,3.9601320371222629e-57,2.515443260429764e-67,5.5692845340747326e-68,1.1249291444376939e-78,1.1443654933122369e-82,3.1177068825561953e-79,2.5862748702695746e-70,1.5711526995122934e-76,5.8392547111516055e-34,1.0529441317045097e-33,3.4893146718653815e-43,2.7185894485446103e-43,1.2756288647986418e-43,1.8269631456907638e-47,3.2013754134676881e-53,1.9434558992534044e-53,3.4587385895445858e-59
4.02119497612007e-19,0.7189244012312761,1.1289105696814909e-18,2.916279701248154e-31,2.7509249631962681e-31,7.7895526299994113e-49,1.1802759613740262e-42,0.0,0.0,1.9395340278515668e-19,1.3999604670133111e-34,154.0,0.0,0.99999999999884348,1.0,19.0,6.4284177724432354e-14,6.09598671163276e-13,2.4129797914864044e-13,2.4129930190291076e-13,1.2722421921720384e-19,1.8658006963922398e-22,1.8601866407581262e-22,1.1083347160934526e-22,2.0440427339046264e-19,2.2178316663446492e-32,3.6017527934130104e-25,6.2251617887209267e-25,1.1100077346008701e-33,1.1100077341270663e-33,4.0794436385053488e-43,7.5109945876450387e-33,6.5859426422282078e-44,2.6338308219951433e-26,4.9428382515618361e-78,4.622414703649029e-78,4.62241470365671e-78,1.9248175606358251e-37,1.9356433282342114e-39,2.5857579349283701e-32,1.8887570230659559e-37,5.4261677815771094e-40,1.0639171498854708e-45,1.2683073774587517e-55,1.6112586519341759e-65,3.567386329174976e-66,1.4411488708765131e-76,1.4660488256098113e-80,3.994060801525052e-77,1.6566296013989156e-68,1.0073074232317431e-74,4.6749532487713774e-33,4.2145205732610239e-33,2.7935733774570004e-42,2.176523615853578e-42,1.0212735388098178e-42,1.5140949014715098e-46,5.097245084276878e-52,3.0933666909805373e-52,5.7271005779852833e-58
8.04413602040172e-19,0.7189244012312762,2.2583113312160987e-18,1.1338064409196933e-30,1.1007283100738537e-30,6.2348006644569264e-48,9.4457947933534489e-42,0.0,0.0,3.87991127544348e-19,5.601666806664679e-34,154.0,0.0,0.99999999999768652,1.0,19.0,1.2859626868259962e-13,1.2194613642572278e-12,4.8270073342306655e-13,4.827033792888116e-13,5.0906235230985312e-19,7.465633045343487e-22,7.4207889346206085e-22,4.4347812979277417e-22,8.1788295400505115e-19,1.7572280299168361e-31,1.4411702658739995e-24,2.4908755742522046e-24,8.8834353965812584e-33,8.8834353889973243e-33,6.5297554787657118e-42,6.0110757480075372e-32,1.054179254053503e-42,1.053875401114848e-25,6.333251940460415e-76,5.9226936839287817e-76,5.9226936839484635e-76,1.5404390497825959e-36,1.5491029419271089e-38,2.0118751676780873e-31,1.5114970562400997e-36,4.3425748020277337e-39,1.7029570690232604e-44,4.0602830099698067e-54,1.0316443281940006e-63,2.2840987544071516e-64,1.845461756865346e-74,1.8773473943395117e-78,5.1144896220634193e-75,1.0606940941113813e-66,6.4524361464677617e-73,3.7413817529218821e-32,1.686357191908058e-32,2.2357077055761854e-41,1.7418788432615846e-41,8.1732090991171895e-42,1.2940277448014569e-45,8.067215593964696e-51,4.8926025452303358e-51,9.7708873566000245e-57
1.609001810896502e-18,0.7189244012312762,4.5171128559374945e-18,4.4697934611108771e-30,4.4036299933293414e-30,4.9891059628335448e-47,7.5580709844686505e-41,0.0,0.0,7.7606688990103385e-19,2.2410326060119687e-33,154.0,0.0,0.99999999999537259,1.0,19.0,2.5722045059837005e-13,2.439184722872838e-12,9.655062408455809e-13,9.6551153229594612e-13,2.0365789561945939e-18,2.9867393044374595e-21,2.9510413546353136e-21,1.7742003032929039e-21,3.2720612812940121e-18,1.3785120184068107e-30,5.7656194851306143e-24,9.9651242088936364e-24,7.108097989154445e-32,7.1080979770177158e-32,1.0449699247623818e-40,4.8097696234583598e-31,1.6870284937029229e-41,4.2161878466028925e-25,8.1106731155725127e-74,7.5848920730174458e-74,7.584892073067861e-74,1.2325853017968095e-35,1.2395177129400787e-37,1.524823182087628e-30,1.2092951396116171e-35,3.474705953834523e-38,2.725275364277871e-43,1.2995588854989657e-52,6.6039097726293068e-62,1.462130089851599e-62,2.3626909920495164e-72,2.4035133081677353e-76,6.5476737175687864e-73,6.7898673362064745e-65,4.1313739836373351e-71,2.993671192816291e-31,6.7465268245748923e-32,1.7889058140857608e-40,1.3937652634502592e-40,6.5396761420479954e-41,1.1671065782102835e-44,1.2626215654378031e-49,7.6480130776135294e-50,1.7569087285988707e-55
3.218178228609162e-18,0.7189244012312762,9.0347159119889998e-18,1.7748287916792588e-29,1.7615953592294582e-29,3.9917937222779592e-46,6.0470309123275349e-40,0.0,0.0,1.5522196659676193e-18,8.9648689920492731e-33,154.0,0.0,0.99999999999074463,1.0,19.0,5.144688144276546e-13,4.8786233298418407e-12,1.9311172511852581e-12,1.9311278313424748e-12,8.1469633568058113e-18,1.1947929180678163e-20,1.1665410223101904e-20,7.0973708737644146e-21,1.3089285479878226e-17,1.0612677020016978e-29,2.3064354845932982e-23,3.9863740597026141e-23,5.6870182786981138e-31,5.6870182592774913e-31,1.6721106357335967e-39,3.8481742258348107e-30,2.699515315117034e-40,1.6866123966215557e-24,1.8179069430322926e-71,1.7000596335738941e-71,1.7000596335964557e-71,9.8616189457098789e-35,9.9170831994695727e-37,1.1029667401345636e-29,9.6731657057286788e-35,2.7800068212668303e-37,4.3608509608405585e-42,4.1589944160533968e-51,4.2269222465275585e-60,9.3585625235924843e-61,3.0245476633563119e-70,3.0768056243896771e-74,8.38120075391036e-71,4.3459469542445741e-63,3.4945948740218456e-69,2.3951601066765828e-30,2.6988303372236074e-31,1.4312604867327031e-39,1.1151141409596176e-39,5.2320249741054379e-40,1.14448192369104e-43,1.9351857794137094e-48,1.1694577145841273e-48,3.4297625700079801e-54
6.436531064034482e-18,0.7189244012312762,1.8069922050526872e-17,7.0731359296502366e-29,7.0466681795771184e-29,3.1936429194647218e-45,4.8378543976430592e-39,0.0,0.0,3.1045302235136579e-18,3.5861007151006882e-32,154.0,0.0,0.99999999998148881,1.0,19.0,1.0289655420771981e-12,9.7574681029466929e-12,3.8623392538432118e-12,3.862360402262469e-12,3.2589055666287285e-17,4.7793658490199372e-20,4.5582068155116784e-20,2.8390575279359327e-20,5.2359073492077196e-17,7.8924251684905611e-29,9.2261172769391751e-23,1.5946144779528849e-22,4.5498305269489567e-30,4.5498304958747596e-30,2.6754768196175976e-38,3.078674604179778e-29,4.3194285899264431e-39,6.7467241099090902e-24,2.3349381479960346e-69,2.1835738673924622e-69,2.1835738674505135e-69,7.8896700831563473e-34,7.9340431099487188e-36,7.3943096611853414e-29,7.7355195100286494e-34,2.2240760229764028e-36,6.9776101192478243e-41,1.3309282048429673e-49,2.7053344210649714e-58,5.9897107711243167e-59,3.8715720204544197e-68,3.9384652229718874e-72,1.0726661455085317e-68,2.7815132196345305e-61,2.2452406895487744e-67,1.916212250303815e-29,1.0795760423802977e-30,1.1450626646239556e-38,8.9212735664825286e-39,4.1854783894585167e-39,1.2527380188274835e-42,2.8551563236273374e-47,1.7183061002776248e-47,7.466722375717056e-53
1.2873236734885123e-17,0.7189244012312762,3.6140334433342053e-17,2.8240183838649772e-28,2.8187246283074141e-28,2.5550044722955655e-44,3.8703753966626222e-38,0.0,0.0,6.2091713602572828e-18,1.4344752298067065e-31,154.0,0.0,0.99999999996297706,1.0,19.0,2.0579589973401839e-12,1.9515027887549429e-11,7.7247831870735245e-12,7.7248254405576692e-12,1.3035788422206854e-16,1.9117849978995846e-19,1.7421992788852297e-19,1.1356410423634565e-19,2.0943896350253029e-16,5.530123136332513e-28,3.6905219370974608e-22,6.3785874345259364e-22,3.6399506854705363e-29,3.6399506357517678e-29,4.2807556858310709e-37,2.4629806622735937e-28,6.911211552481224e-38,2.6987445469921369e-23,2.9889415213114955e-67,2.795180938217731e-67,2.7951809383663576e-67,6.3118865130221529e-33,6.3473850014666171e-35,4.4546789261484429e-28,6.1831605086334735e-33,1.779247027786285e-35,1.1164119904495024e-39,4.2589544427977686e-48,1.7314086851857466e-56,3.8334031767180739e-57,4.9555986442002308e-66,5.0412227411350733e-70,1.3725754637193225e-66,1.7801630322940363e-59,1.4371033426154526e-65,1.5329953059133689e-28,4.3183918639667855e-30,9.1607174443481142e-38,7.1370873511271042e-38,3.3479178324267223e-38,1.5414740948027483e-41,3.9506192461239971e-46,2.3619830439462294e-46,1.8277983548369154e-51
1.9309942405735763e-17,0.7189244012312763,5.4210746921896664e-17,5.997766602642578e-28,5.9898256909956126e-28,7.5852534081906936e-44,1.1066922466755597e-37,0.0,0.0,9.3138325186525306e-18,3.0482866663603497e-31,154.0,0.0,0.99999999994446531,1.0,19.0,3.0869524525670671e-12,2.9272457912270811e-11,1.1587227048218259e-11,1.158729038005385e-11,2.7701070662709544e-16,4.0625670825528177e-19,3.58916897983548e-19,2.4132442051405105e-19,4.4505812303886124e-16,1.4703703981236681e-27,7.842405961983291e-22,1.355457903943472e-21,1.0408047220892132e-28,1.0408047037895153e-28,1.5755907549146279e-36,7.042599547846095e-28,2.5437903927164791e-37,5.7348664733159134e-23,1.5421862429062419e-66,1.4422127566386339e-66,1.442212756729883e-66,1.8048163291464905e-32,1.8149664387456613e-34,1.0999593079439705e-27,1.7671217771064574e-32,5.0874734644147895e-35,4.1091005963449046e-39,1.9444728670463657e-47,9.5128318368630375e-56,2.1061763452138233e-56,3.1970295538743663e-65,3.252268934424165e-69,8.8541183360594658e-66,9.7807016527991119e-59,7.1316490632798349e-65,4.3834173011460322e-28,9.1766373852660819e-30,2.6194083985950368e-37,2.0407567808306163e-37,9.572116922761913e-38,5.2932970619078987e-41,1.3607367325254663e-45,8.1124636595567174e-46,7.8479085184559807e-51
3.2183353747437046e-17,0.7189244012312761,9.0351572321963614e-17,1.6573437268283307e-27,1.6560200874192594e-27,3.5531504033090612e-43,5.0859821862480709e-37,0.0,0.0,1.5523234922050014e-17,8.4277248897051023e-31,154.0,0.0,0.99999999990744193,1.0,19.0,5.1449393628764267e-12,4.8786798935992752e-11,1.9312114482165542e-11,1.93122198963196e-11,7.6584712627187032e-16,1.1231864700478221e-18,9.200804751684973e-19,6.6718954069937262e-19,1.2304451647558485e-15,5.6038057573803827e-27,2.1682069013438044e-21,3.747463552841894e-21,4.783185066741463e-28,4.7831849259468281e-28,1.2122258679762806e-35,3.2364999311137146e-27,1.9572048100318982e-36,1.5855309453432037e-22,1.0396218647862981e-64,9.7222752742636239e-65,9.7222752753026225e-65,8.2943259280081226e-32,8.3409696128617175e-34,3.648788026666896e-27,8.108809437385503e-32,2.3379024239242372e-34,3.161436020869154e-38,2.5311558833254749e-46,2.1209723577906539e-54,4.6959119198631343e-55,1.2366048114896875e-63,1.2579727182491071e-67,3.4228738851544428e-64,2.1806965096911002e-57,2.2556246851799245e-63,2.0144450487826753e-27,2.5370846417491217e-29,1.2037909329134575e-36,9.3783956290883818e-37,4.3977792802669182e-37,3.6618957532928642e-40,8.579453469269926e-45,5.0787477093705156e-45,9.1141990006887986e-50
4.37694239549682e-17,0.7189244012312762,1.2287831552367059e-16,2.9506875323886034e-27,2.9488871714202908e-27,8.1993155869330836e-43,1.1448520446197312e-36,0.0,0.0,2.1111761775563996e-17,1.5007384019954717e-30,154.0,0.0,0.9999999998741208,1.0,19.0,6.9971275820382055e-12,6.6349286620993098e-11,2.6264512939807985e-11,2.6264656188262958e-11,1.3637373720614109e-15,2.0000661235844176e-18,1.5597338625385163e-18,1.1880630598374505e-18,2.1910430918813718e-15,1.142617804556599e-26,3.8609419276666652e-21,6.673135625097167e-21,1.0766925008787209e-27,1.0766924621039849e-27,3.3384536433121342e-35,7.2852951629096698e-27,5.3901997619778016e-36,2.8233666182970164e-22,5.9453298163931001e-64,5.5599189521316597e-64,5.5599189527792191e-64,1.8670490297767095e-31,1.8775479969257475e-33,6.9745390227890524e-27,1.8237568423521294e-31,5.2624469334903829e-34,8.7065291150078037e-38,8.2748856852881147e-46,8.0063994128688946e-54,1.772646724146357e-54,5.2561897129276211e-63,5.3470192222714683e-67,1.4547058065644537e-63,8.2318506069396567e-57,1.0343455233890672e-62,4.5344746115268788e-27,4.5178051060113737e-29,2.7097269355094956e-36,2.1110433660472658e-36,9.8978292624818755e-37,9.7780630631506498e-40,2.1657361565695018e-44,1.2783009604508763e-44,2.8975217129734796e-49
