Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341)
0.0,0.7189244012312762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1825852019757217e-22,0.7189244012312762,6.1273912798878153e-22,9.0965005943295227e-36,1.215368180643686e-37,2.1790790443377102e-58,4.9513687349657577e-52,0.0,0.0,1.0527211828147595e-22,6.1850723024764281e-41,154.0,0.0,0.99999999999999944,1.0,19.0,3.489154240367252e-17,3.3087223653826613e-16,1.3096937653934464e-16,1.309700945505422e-16,5.6208127558945896e-26,8.2431721921801464e-29,8.2431937225966459e-29,4.8966625472647823e-29,9.0306559104975897e-26,9.3985819134563339e-42,1.5912668661419195e-31,2.7502980556269774e-31,4.6565881386073046e-43,4.6565881386052829e-43,1.7409883363113741e-55,3.1509351363399207e-42,2.8106859904355369e-56,1.1636355836062685e-32,1.6457491739485074e-99,1.539062132435847e-99,1.5390621324358498e-99,8.074787510173977e-47,8.1202080615526898e-49,1.1165795228273784e-41,7.9239480655384011e-47,2.2763335208172306e-49,4.5404910591345184e-58,5.6898464766629993e-71,7.7208530213314996e-84,1.709425450278764e-84,7.4346939307039218e-98,7.5631387508430565e-102,2.0605230891879582e-98,7.938262189002291e-87,2.645966810457725e-93,1.9611882661532903e-42,1.8619897974369565e-39,1.1719306394964974e-51,9.1307318510080786e-52,4.2843832269957369e-52,5.9208631828414342e-56,2.2003269330672244e-64,1.33619182897275e-64,2.2833408816665957e-70
6.111238565532021e-22,0.7189244012312762,1.7156695583689822e-21,2.5863980954653422e-35,7.3408238110892418e-37,3.2930242525072015e-57,5.8782658009309417e-51,0.0,0.0,2.9476193126271901e-22,3.7357836715577662e-40,154.0,0.0,0.99999999999999822,1.0,19.0,9.7696318730282927e-17,9.2644226182373233e-16,3.6671425430989641e-16,3.6671626474109191e-16,3.3949709030821445e-25,4.978876004041223e-28,4.9788752094358571e-28,2.9575841777901963e-28,5.4545161675656217e-25,1.1157894360732969e-40,9.6112518714878621e-31,1.66118002559496e-30,5.5283014381432109e-42,5.5283014381386884e-42,3.894521262933646e-54,3.7407901923700292e-41,6.2873921306427516e-55,7.0283589249816693e-32,1.7536734549731256e-97,1.6399901333273662e-97,1.6399901333273719e-97,9.5863912108339103e-46,9.6403110106631579e-48,1.3255682184364711e-40,9.4073106810016227e-46,2.7024631511302074e-48,1.0156896862464046e-56,2.3479310762901688e-69,5.8120654324915403e-82,1.2868128096148508e-82,1.0148320560829568e-95,1.0323655054541727e-99,2.8126038094812774e-96,5.9757256271266929e-85,2.0417465302585707e-91,2.3283227086480731e-41,1.1246418376493955e-38,1.3913160551988215e-50,1.084000484489981e-50,5.0864197205881972e-51,7.0297094241282591e-55,4.9219931175543635e-63,2.9889754096660592e-63,5.1080619848620708e-69
1.396854529264462e-21,0.7189244012312762,3.9215304191309592e-21,6.0974058837436015e-35,3.5342906693139054e-36,3.5424852231223088e-56,5.7713165885448282e-50,0.0,0.0,6.7374155752355115e-22,1.7986190268510604e-39,154.0,0.0,0.999999999999996,1.0,19.0,2.2330587138350315e-16,2.1175823104610146e-15,8.3820400984992588e-16,8.382086051204859e-16,1.6345323471968653e-24,2.3971144734326091e-27,2.3971000361263972e-27,1.4239494676079997e-27,2.6261147352103144e-24,1.0954670614949468e-39,4.627404046726704e-30,7.9978667457072244e-30,5.4277191343253865e-41,5.4277191343164499e-41,7.6949177072487229e-53,3.6727299902903602e-40,1.2422827323054284e-53,3.3838522771267366e-31,3.9909504742537285e-95,3.7322338328234157e-95,3.7322338328234396e-95,9.4119772617799852e-45,9.4649145165080011e-47,1.3013766255249007e-39,9.2361524317344486e-45,2.6532943370341387e-47,2.0068316542443777e-55,9.288181810829428e-68,4.5954253567604094e-80,1.0174441914696257e-80,1.6031859200696679e-93,1.6308849998355229e-97,4.4432244975639738e-94,4.7248265510826921e-83,2.2251952448107049e-89,2.2859610401480234e-40,5.4146663309087712e-38,1.366002353361713e-49,1.0642781018822354e-49,4.9938769452326849e-50,6.9027861516151447e-54,9.7248118266361898e-62,5.9055722135269023e-62,1.0094052422959004e-67
2.9683158746869816e-21,0.7189244012312762,8.333252140661216e-21,1.3749468325163434e-34,1.5435175894196166e-35,3.2561542393928624e-55,5.1046643104603126e-49,0.0,0.0,1.4317008112385985e-21,7.8550418374747601e-39,154.0,0.0,0.99999999999999145,1.0,19.0,4.7452497668994157e-16,4.4998624000009783e-15,1.7811835209256877e-15,1.7811932858724536e-15,7.138432177074225e-24,1.046882868351722e-26,1.0468642146539847e-26,6.2187614232814186e-27,1.1468932969520638e-23,9.6888974619610466e-39,2.0209089199857737e-29,3.4928785305883671e-29,4.8007561073044828e-40,4.800756107288579e-40,1.3692694831558501e-51,3.2484880784433568e-39,2.2105757433270163e-52,1.4778171911796596e-30,6.7445298676230494e-93,6.3073101810774746e-93,6.3073101810775555e-93,8.3247879063785462e-44,8.371609703058956e-46,1.1509210709248097e-38,8.1692704873881537e-44,2.3468087754778386e-46,3.5710496775684485e-54,3.3148860894749196e-66,3.2846178689052838e-78,7.2722655956608827e-79,2.2933051729841347e-91,2.3329281680553061e-95,6.3558872440497289e-92,3.3771084312087104e-81,1.8203478730238131e-87,2.0219066488248681e-39,2.3647270427057752e-37,1.2082136120209608e-48,9.4134192530187036e-49,4.4170274289810902e-49,6.1071719608267991e-53,1.730400677271261e-60,1.0508151486321206e-60,1.7966770384515935e-66
6.1112385655320206e-21,0.7189244012312761,1.7156695583746938e-20,3.1573780667531524e-34,6.4438820937920398e-35,2.7857085105650667e-54,4.2907779899212094e-48,0.0,0.0,2.9476193234422277e-21,3.279325346765546e-38,154.0,0.0,0.99999999999998246,1.0,19.0,9.7696318730280945e-16,9.264422548142509e-15,3.6671425430600256e-15,3.6671626473491068e-15,2.9801549025546017e-23,4.3705298957975053e-26,4.3703488229218543e-26,2.5962104719894214e-26,4.7880537306156557e-23,8.1434551224969016e-38,8.4368969241542803e-29,1.4582080290413186e-28,4.0353247753724257e-39,4.0353247753456028e-39,2.3094730893969776e-50,2.7305499565594053e-38,3.7284590825067247e-51,6.1695958642777177e-30,9.8754773920782643e-91,9.2352914614693351e-91,9.235291461469576e-91,6.9974860817752616e-43,7.036842382668512e-45,9.6719683015300839e-38,6.8667611489583115e-43,1.9726341512999601e-45,6.0230971471942455e-53,1.1200250730624813e-64,2.2213886229378744e-76,4.9182366723242848e-77,3.1031750966330511e-89,3.1567910114388747e-93,8.6004375705847844e-90,2.2839400341421535e-79,1.3101175848575824e-85,1.6995343614624265e-38,9.8722699056583055e-37,1.0155763411625444e-47,7.9125460285987518e-48,3.7127774051579253e-48,5.1363660777107048e-52,2.9183117219270854e-59,1.7721850510352994e-59,3.0320267218171832e-65
1.2397083947222099e-20,0.7189244012312762,3.4803582470019232e-20,7.7303155190982766e-34,2.6325360940177195e-34,2.30327767502208e-53,3.5178390570657192e-47,0.0,0.0,5.9794563669436196e-21,1.3397114111575621e-37,154.0,0.0,0.99999999999996436,1.0,19.0,1.9818396085285113e-15,1.8793542720671968e-14,7.4390605872599561e-15,7.4391013701932917e-15,1.2174905087189248e-22,1.7855040690946969e-25,1.7853457664243204e-25,1.0606366854381687e-25,1.9560761647872134e-22,6.6754357470852964e-37,3.4467476826278313e-28,5.9572555999691048e-28,3.3084030547858301e-38,3.3084030547417733e-38,3.793316383784385e-49,2.2386698117497031e-37,6.1240051956537126e-50,2.5204812195122195e-29,1.3503880004230317e-88,1.2628479895050741e-88,1.2628479895051397e-88,5.7369619562117292e-42,5.7692285332942752e-44,7.9260310588025705e-37,5.6297808553034287e-42,1.6172846090398436e-44,9.892954856077093e-52,3.6823972853820619e-63,1.4613035904162179e-74,3.2353802634006579e-75,4.0836038342126926e-87,4.154159523417924e-91,1.1317688467824702e-87,1.5024519968482733e-77,8.8804035865958411e-84,1.3933809414096107e-37,4.0331443805419501e-36,8.3263084290443227e-47,6.4871832005640774e-47,3.0439587499165493e-47,4.2158918786888868e-51,4.7924754589708151e-58,2.9102665602559697e-58,4.9855937000160941e-64
2.4968774710602255e-20,0.7189244012312762,7.009735624296717e-20,2.0908490359755652e-33,1.0641131798396012e-33,1.8729871667421038e-52,2.8488372837530039e-46,0.0,0.0,1.2043130530322944e-20,5.415327767789646e-37,154.0,0.0,0.99999999999992817,1.0,19.0,3.9915924509797773e-15,3.7851782570716497e-14,1.4982896675384831e-14,1.4982978815445215e-14,4.9212912231847426e-22,7.2172929230617216e-25,7.2159713633727939e-25,4.2872630263152099e-25,7.9067724903887802e-22,5.4042236145636384e-36,1.3932305220261721e-27,2.4080179616452041e-27,2.6792305697155408e-37,2.679230569644122e-37,6.1491289974981276e-48,1.8129328298559485e-36,9.9272761833115628e-49,1.018818807953405e-28,1.7860174027925056e-86,1.6702373581779026e-86,1.6702373581780758e-86,4.6459405719242433e-41,4.6720708434069685e-43,6.4128290757979947e-36,4.5591347129640188e-41,1.3097189267861678e-43,1.6036905183525544e-50,1.1943766627521353e-61,9.4814357319637143e-73,2.09922498233017e-73,5.2997298110468306e-85,5.3912975879032334e-89,1.4688166725637864e-85,9.7484206176894033e-76,5.8472564852212657e-82,1.1283959965502976e-36,1.6302614429208852e-35,6.7428604380412082e-46,5.2534890023131392e-46,2.4650759326932438e-46,3.4218946636026172e-50,7.7660214904113323e-57,4.7158765608044634e-57,8.0996313766341611e-63
5.011215623736257e-20,0.7189244012312762,1.4068490379047651e-19,6.3394039788787693e-33,4.278752294791874e-33,1.5106320250219818e-51,2.2929920929042581e-45,0.0,0.0,2.4170479162587748e-20,2.177479512101804e-36,154.0,0.0,0.99999999999985589,1.0,19.0,8.0110981358817563e-15,7.5968260290748117e-14,3.0070568850534641e-14,3.0070733704203646e-14,1.9788294974774116e-21,2.9020417401416255e-24,2.9009622897515684e-24,1.7238895767030032e-24,3.1792783487621444e-21,4.3470273485271059e-35,5.602118652192055e-27,9.6825343138135992e-27,2.1564778499901936e-36,2.1564778498751765e-36,9.9029816342710276e-47,1.4592060226004345e-35,1.5987571800960101e-47,4.0966256174938005e-28,2.3236576058577313e-84,2.1730245936370959e-84,2.1730245936375472e-84,3.7394571766452625e-40,3.7604890754204332e-42,5.1521681617847332e-35,3.6695757197088655e-40,1.0541756055820055e-42,2.5826938333301487e-49,3.8478430658365739e-60,6.1097996064629671e-71,1.35273225859576e-71,6.8306179062988479e-83,6.9486361646785343e-87,1.8930989771620718e-83,6.2818436095596793e-74,3.795504155432611e-80,9.0823124107379947e-36,6.5552095594779448e-35,5.4272406930406755e-45,4.2284647587184175e-45,1.9841063070138563e-45,2.7667241735500012e-49,1.2497968504825533e-55,7.589011738079775e-56,1.3101440072549556e-61
1.0039891929088319e-19,0.7189244012312762,2.8185999889194894e-19,2.1288193766851124e-32,1.7159710421291759e-32,1.2134218286102744e-50,1.8399817484691246e-44,0.0,0.0,4.8425177649141972e-20,8.7326670189603329e-36,154.0,0.0,0.99999999999971123,1.0,19.0,1.6050109505683517e-14,1.5220120781058236e-13,6.0245913196434487e-14,6.0246243474741753e-14,7.9359908668601693e-21,1.1638485336518567e-23,1.1629762664380971e-23,6.913567989524561e-24,1.2750327388563297e-20,3.4837912176511812e-34,2.2467001401124838e-26,3.8831293205804516e-26,1.7304376638907628e-35,1.7304376637061346e-35,1.5896475334483239e-45,1.1709208706194181e-34,2.5663592004434505e-46,1.6429300986677218e-27,2.9985570449494306e-82,2.8041731224601856e-82,2.8041731224613501e-82,3.0006788898748701e-39,3.0175556551644817e-41,4.1192292188228285e-34,2.9445832994814596e-39,8.4590932571956053e-42,4.1457945958397286e-48,1.2354614223561835e-58,3.923668325585439e-69,8.6871469756332753e-70,8.7733822932856668e-81,8.9249673629007422e-85,2.4315281991255589e-81,4.034153718926019e-72,2.4463021400582189e-78,7.2879833214059777e-35,2.6289322214590281e-34,4.3550188555181925e-44,3.3930762946328964e-44,1.5921183339828776e-44,2.2401597920055794e-48,2.0033271516378646e-54,1.216358708366775e-54,2.1214457329935029e-60
