Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367)
0.0,0.3715426399330264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.951340247015412e-22,0.3715426399330264,4.3660877109183908e-22,1.1181977884975107e-35,1.4332759891329118e-37,3.8950181458958841e-58,9.990580019834293e-52,0.0,0.0,1.5446155053014329e-22,1.4986129861907171e-40,154.0,0.0,0.99999999999999933,1.0,19.0,2.8650986606356317e-17,2.4821253473890729e-16,2.0623944180390322e-16,2.0624003287409169e-16,3.7502457344228332e-26,2.2353432307422257e-28,2.2353440686099845e-28,1.3348274396665659e-28,5.9457530514523867e-26,2.1973619687924627e-41,4.1470248698322842e-31,3.5055039875285203e-31,5.0882668887118826e-43,5.0882668887080584e-43,3.2932298156194426e-55,1.7035169104181407e-42,5.3012078716847604e-56,3.01873405712345e-32,3.3994144309831713e-99,3.1814399139293567e-99,3.1814399139293612e-99,3.6141945585772767e-46,1.7297941807738082e-48,2.6242507888549109e-41,3.4637621262948933e-46,4.6306173606279978e-49,7.9371838388787667e-58,8.7186578950647704e-71,2.0423741033664758e-83,2.1804220789635283e-84,1.640551458965995e-97,3.3021945167389841e-101,2.2924714194112557e-98,2.0995991196447482e-86,5.8985432556249352e-93,1.0744824030746087e-42,2.2105121126603688e-39,2.3958818178770047e-51,8.8938785227043175e-52,4.3174913907657596e-52,5.4608618458759427e-56,3.8986242563617445e-64,2.3551679914542566e-64,3.6490240436054159e-70,7.1741077032164582e-83
5.463752691643154e-22,0.3715426399330264,1.2225045590576194e-21,3.1773919498413853e-35,8.6569869743655087e-37,5.8861514243258951e-57,1.1860818104423878e-50,0.0,0.0,4.3249234167903135e-22,9.0516224402835707e-40,154.0,0.0,0.99999999999999811,1.0,19.0,8.0222762497797607e-17,6.9499509694898593e-16,5.7747043705020267e-16,5.7747209204629899e-16,2.265148422721236e-25,1.3501473113594164e-27,1.3501445699086891e-27,8.0623577337799134e-28,3.5912348416976707e-25,2.6086880018611456e-40,2.5048030213745061e-30,2.1173244084620316e-30,6.0407904502651733e-42,6.0407904502566216e-42,7.3668233586108811e-54,2.0224152753364147e-41,1.1858589956487385e-54,1.82331537050099e-31,3.6223398707604148e-97,3.390071108017961e-97,3.3900711080179698e-97,4.2907731672988803e-45,2.0536116514108305e-47,3.1154410109039371e-40,4.1121782183930701e-45,5.4974689221726548e-48,1.7755162734408109e-56,3.5977785875365727e-69,1.5374482452021229e-81,1.6413673154107163e-82,2.2393446537383647e-95,4.5074823270809478e-99,3.1292121377910208e-96,1.5805258090623556e-84,4.5515802307683436e-91,1.2756255084810766e-41,1.3351493160425842e-38,2.8443908941604103e-50,1.0558812574885029e-50,5.1257257375397738e-51,6.4835470024525026e-55,8.7209911692038893e-63,5.2683686623123875e-63,8.1632161543749674e-69,2.9605908983660315e-81
1.2488577580898638e-21,0.3715426399330264,2.7942961349910608e-21,7.4815328407249341e-35,4.1679665764025874e-36,6.3320531068385307e-56,1.1645022208049438e-49,0.0,0.0,9.8855392475532844e-22,4.3579665693717003e-39,154.0,0.0,0.99999999999999567,1.0,19.0,1.8336631428067973e-16,1.5885602200893244e-15,1.3199324275398959e-15,1.3199362103860825e-15,1.0905714582649261e-24,6.5003781148650699e-27,6.5003318387746998e-27,3.8816781918411587e-27,1.7290249852929975e-24,2.561182716619354e-39,1.205954832140939e-29,1.0194005595655018e-29,5.9308838854404969e-41,5.9308838854235964e-41,1.4555601498600196e-52,1.9856193085761798e-40,2.3430575392726812e-53,8.7784786380913824e-31,8.2435980222544334e-95,7.7150086624794648e-95,7.7150086624795047e-95,4.212707147622954e-44,2.0162480970980625e-46,3.0586112001593092e-39,4.0373605827822716e-44,5.3974475696167835e-47,3.5081209450767457e-55,1.4232454261844889e-67,1.2156140938831056e-79,1.2977797776835564e-80,3.5376157063216976e-93,7.1207193769301356e-97,4.9433880616246187e-94,1.2496742282189645e-82,4.9605347851822446e-89,1.2524166876315567e-40,6.4281692235521781e-38,2.7926398468456116e-49,1.0366704783528595e-49,5.0324678361868328e-50,6.3664572065198453e-54,1.7230883132069221e-61,1.0409201438521092e-61,1.61312813909071e-67,1.1713335727241351e-79
2.6538227359409605e-21,0.3715426399330264,5.9378792868654668e-21,1.6832824895294299e-34,1.8202605062030135e-35,5.8202477310777763e-55,1.0299890529239472e-48,0.0,0.0,2.1006770940220054e-21,1.9032384981717069e-38,154.0,0.0,0.99999999999999067,1.0,19.0,3.8965341784644218e-16,3.3756904612507265e-15,2.8048564085076604e-15,2.8048644470471264e-15,4.7628120692295812e-24,2.8388859029048592e-26,2.8388366311149458e-26,1.6952308455770175e-26,7.5511063539611768e-24,2.2652612717639397e-38,5.2667215846220129e-29,4.4519900640807017e-29,5.2457996314980454e-40,5.2457996314679751e-40,2.5900915013422958e-51,1.7562577893295552e-39,4.1693456956259182e-52,3.8337922525223824e-30,1.3931316220602851e-92,1.3038023570722122e-92,1.3038023570722257e-92,3.7260920063329087e-43,1.783348608585599e-45,2.7050450451255961e-38,3.5709990433083762e-43,4.7739812196574956e-46,6.2425137436799876e-54,5.0794618000651944e-66,8.6887011942537145e-78,9.2759871418455197e-79,5.0604438986269242e-91,1.0185958266157873e-94,7.0713549215110927e-92,8.9321487911950524e-81,4.0580254547605854e-87,1.1077483753501632e-39,2.807350383012355e-37,2.4700583188076457e-48,9.1692329544425789e-49,4.4511606535554342e-49,5.6326110703632157e-53,3.0660271157225539e-60,1.8521876923308929e-60,2.871241088776607e-66,4.1815039237628532e-78
5.463752691643154e-21,0.37154263993302633,1.2225045590644371e-20,3.8507450095794584e-34,7.5992292944206426e-35,4.9793444869740031e-54,8.6576787086426958e-48,0.0,0.0,4.3249234450116926e-21,7.9456461041519267e-38,154.0,0.0,0.99999999999998079,1.0,19.0,8.0222762497796027e-16,6.9499509230964312e-15,5.774704370396699e-15,5.7747209202951215e-15,1.9883802762523096e-23,1.1851789808155371e-25,1.1851341236259361e-25,7.0772550599164501e-26,3.1524382486350361e-23,1.9039610255647385e-37,2.198752585926589e-28,1.8586182141151539e-28,4.4094106733271925e-39,4.4094106732764745e-39,4.368567841945287e-50,1.4762404898883416e-38,7.0322108983656415e-51,1.6005327970648935e-29,2.0398515697588808e-90,1.9090538486211884e-90,1.909053848621228e-90,3.1320049413095717e-42,1.4990119603063935e-44,2.2733128479177957e-37,3.0016387367551952e-42,4.012818816044535e-45,1.0528911719049636e-52,1.7162353190648729e-64,5.8761727515287067e-76,6.2733545173763755e-77,6.8475158478841201e-89,1.3783082450973453e-92,9.5685693198523428e-90,6.0408164772589482e-79,2.9205903920083188e-85,9.3112925348169663e-39,1.1720135220728464e-36,2.0762328489894776e-47,7.7072927398587441e-48,3.7414684683055191e-48,4.7371594958126374e-52,5.1709098443429626e-59,3.1237352661165261e-59,4.8453520070493982e-65,1.4135775682359042e-76
1.108361260304754e-20,0.3715426399330264,2.4799378198322549e-20,9.3744864863461337e-34,3.1045331235335787e-34,4.1170183389857942e-53,7.0980881216166958e-47,0.0,0.0,8.7734161968163937e-21,3.2460557160938309e-37,154.0,0.0,0.99999999999996092,1.0,19.0,1.6273760392409682e-15,1.4098471764879438e-14,1.1714400293988815e-14,1.171443386649475e-14,8.1231821678150983e-23,4.8418428504670967e-25,4.8414611279145239e-25,2.8912896060830337e-25,1.2878738776626756e-22,1.5607731255147413e-36,8.9826217485563261e-28,7.5930618565327104e-28,3.6151012752243678e-38,3.6151012751410626e-38,7.1753856314902143e-49,1.2103111369026373e-37,1.1550427445730477e-49,6.5386987169057466e-29,2.789324478247909e-88,2.6104696582829504e-88,2.6104696582830593e-88,2.567806917367848e-41,1.2289805715072743e-43,1.8630772391110437e-36,2.4609229379808695e-41,3.2899512227384111e-44,1.7293768672502467e-51,5.6426060969428247e-63,3.8655426097562292e-74,4.1268220351937832e-75,9.0109456328309255e-87,1.8137761738827093e-90,1.2591695460026218e-87,3.9738507492321571e-77,1.9796712670517373e-83,7.6339601379572201e-38,4.7880576560015693e-36,1.7022211300658728e-46,6.3189041675808698e-47,3.0674814681105582e-47,3.8880905542797231e-51,8.4919440559747557e-58,5.1299234470898314e-58,7.9669950379755981e-64,4.6524123498811995e-75
2.2323332425856314e-20,0.3715426399330264,4.9948043414160386e-20,2.5177235187521918e-33,1.2549019257597695e-33,3.3478909819613285e-52,5.7482158077886429e-46,0.0,0.0,1.7670401899727107e-20,1.3121076386006574e-36,154.0,0.0,0.99999999999992117,1.0,19.0,3.2776728677668734e-15,2.8395513120811868e-14,2.3593792140429206e-14,2.3593859757708668e-14,3.2835200677424294e-22,1.9571502941263558e-24,1.9568355614116461e-24,1.1687054775976341e-24,5.205792058660782e-22,1.2636159069666823e-35,3.6309193303245973e-27,3.0692370047679129e-27,2.9276027402781435e-37,2.9276027401431029e-37,1.1631608775914896e-47,9.8014132611089674e-37,1.8723740400259932e-48,2.6430465660933802e-28,3.6891486435721548e-86,3.4525960224621648e-86,3.4525960224624541e-86,2.0794766327782155e-40,9.9526033021506636e-43,1.5076001793365702e-35,1.9929162028395723e-40,2.6642876570774014e-43,2.8033942822959227e-50,1.8301656699225347e-61,2.5080958100285251e-72,2.6776228076188031e-73,1.1694468788616582e-84,2.3539315517099196e-88,1.6341582178405743e-85,2.5783698229805099e-75,1.3035044569610206e-81,6.1821787678842728e-37,1.9354094587999242e-35,1.3785028038003505e-45,5.1172123011621632e-46,2.4841253226575405e-46,3.1556104177474373e-50,1.3761623900763146e-56,8.313166092002325e-57,1.2942367349282148e-62,1.5121635233564523e-73
4.480277207147386e-20,0.3715426399330264,1.0024537384776199e-19,7.5803795588250978e-33,5.0459054509963338e-33,2.7001954310401201e-51,4.6266641722592921e-45,0.0,0.0,3.5464374102753809e-20,5.2759272525054714e-36,154.0,0.0,0.99999999999984179,1.0,19.0,6.5782665248182379e-15,5.6989594522142454e-14,4.7352575830334635e-14,4.735271153539604e-14,1.3202889432151536e-21,7.8696152505530337e-24,7.8670598095415427e-24,4.6993132521139082e-24,2.0932260360609721e-21,1.0165233076733201e-34,1.4599766931935858e-26,1.234126700415991e-26,2.3563893806901193e-36,2.3563893804726425e-36,1.8732345608274458e-46,7.8890299032398451e-36,3.0154005949897615e-47,1.0627573996224908e-27,4.7996835254396553e-84,4.491922080161407e-84,4.4919220801621577e-84,1.6737437121312245e-39,8.010720993449869e-42,1.2115716599430804e-34,1.6040675168305363e-39,2.1444502674789582e-42,4.5147796058427168e-49,5.8961219000706261e-60,1.6162070256756005e-70,1.7254495529633926e-71,1.5072551254308045e-82,3.0338919158516129e-86,2.1062013886519987e-83,1.6614913220385179e-73,8.4611588279226775e-80,4.975955188065648e-36,7.7821963097342342e-35,1.1095389829041208e-44,4.1187774503488367e-45,1.9994390467724045e-45,2.5510718296883021e-49,2.2149208753434045e-55,1.3379535249104952e-55,2.0931940374597204e-61,4.8920274132741156e-72
8.976165136270895e-20,0.3715426399330264,2.0084003472266889e-19,2.5314116844568092e-32,2.0236337695734876e-32,2.1689439230372279e-50,3.7126066238884181e-44,0.0,0.0,7.1052321697628224e-20,2.1158829172004764e-35,154.0,0.0,0.99999999999968292,1.0,19.0,1.3179453838919186e-14,1.1417775208266697e-13,9.4870143198244049e-14,9.4870415071815686e-14,5.2949488986069531e-21,3.156067689783683e-23,3.154008689256867e-23,1.8846347384526984e-23,8.3947721831148178e-21,8.1482310767440465e-34,5.8551595289064902e-26,4.9494000436700299e-26,1.8908540771937688e-35,1.8908540768446697e-35,3.006955769482367e-45,6.3304493538873149e-35,4.8403855266087687e-46,4.2621325018491177e-27,6.1937373264292999e-82,5.7965874849892554e-82,5.7965874849911913e-82,1.3430739253195092e-38,6.4280990979890843e-41,9.6921248691362448e-34,1.2871554213532858e-38,1.7207859230266272e-41,7.2472196571240132e-48,1.8931207079043562e-58,1.0379162869391957e-68,1.1080710362040047e-69,1.9359487004454757e-80,3.8967916276836508e-84,2.7052413370504466e-81,1.066997529883418e-71,5.4534391478754657e-78,3.9928904683573964e-35,3.1210087860773084e-34,8.9033515644853136e-44,3.3050591961446729e-44,1.6044221061961962e-44,2.0649881343421362e-48,3.5511242828608233e-54,2.1449679723673983e-54,3.388502720243017e-60,1.5838217389980602e-70
