Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367)
1.7967940994517914e-19,0.37154263993302644,4.0202935650329733e-19,9.1215292288412254e-32,8.1050902966837156e-32,1.7386771919149147e-49,2.9746031483559535e-43,0.0,0.0,1.4222822964266117e-19,8.4745689953766986e-35,154.0,0.0,0.99999999999936529,1.0,19.0,2.6381828467113956e-14,2.2855404623517331e-13,1.8990527788645717e-13,1.8990582206888899e-13,2.1207411679551319e-20,1.2640732698102199e-22,1.2624209527161719e-22,7.5483686952761582e-23,3.3622872109342905e-20,6.514557256401851e-33,2.3451178454870518e-25,1.9823416094965082e-25,1.5149842293965648e-34,1.5149842288370957e-34,4.8189679269712418e-44,5.0720624713320709e-34,7.7572371440694978e-45,1.7070761168464168e-26,7.9602342961208017e-80,7.4498145573803809e-80,7.4498145573853562e-80,1.0760935237219611e-37,5.1503015896035715e-40,7.7178892119824303e-33,1.0312782654826329e-37,1.3787221690591122e-40,1.1614443466307118e-46,6.0681849899531281e-57,6.6540275142510645e-67,7.1037859780137414e-68,2.4822869722356899e-78,4.9964935350504995e-82,3.4686641126707808e-79,6.8404658586794589e-70,3.5025050657938059e-76,3.1991709852667715e-34,1.2500314228780776e-33,7.1335156686895958e-43,2.6480687562168937e-43,1.2854871981592101e-43,1.6832087349094436e-47,5.6772795471510335e-53,3.4287804416705331e-53,5.5216685545610686e-59,5.160708364167809e-69
3.595149271101195e-19,0.37154263993302633,8.044080001878132e-19,3.447524470652891e-31,3.2441483667205119e-31,1.392352164980668e-48,2.3814912055509744e-42,0.0,0.0,2.8458009655386367e-19,3.3920368869638761e-34,154.0,0.0,0.99999999999873002,1.0,19.0,5.2786577723474995e-14,4.5730655066604571e-13,3.7997554707246066e-13,3.7997663576040544e-13,8.4884897043054132e-20,5.0595873310916515e-22,5.0463604392620425e-22,3.0213142706267553e-22,1.3457908397400078e-19,5.1934188428110736e-32,9.3865829268836796e-25,7.9345325586978607e-25,1.212908557271532e-33,1.2129085563756529e-33,7.7166215944546948e-43,4.0607332135111372e-33,1.2421683917620904e-43,6.8327532329239253e-26,1.0209791342712123e-77,9.5551273172478213e-78,9.555127317260583e-78,8.6152913698117272e-37,4.1233728712591146e-39,6.1041196631725173e-32,8.2562981446296772e-37,1.103815123732465e-39,1.8598226832125125e-45,1.9434515645480787e-55,4.2622153211614069e-65,4.5503066214292256e-66,3.1800629846247905e-76,6.4010183015240443e-80,4.4436736795631087e-77,4.38163779049426e-68,2.2455483500246855e-74,2.5612815198850167e-33,5.0033833586834141e-33,5.7111499920317599e-42,2.120064332783842e-42,1.0291667493262452e-42,1.3935536316336372e-46,9.0472304821951496e-52,5.4626674681663629e-52,9.1340320623411835e-58,1.7065851205437796e-67
7.191859614400003e-19,0.37154263993302644,1.6091652880498804e-18,1.3387659753738431e-30,1.2980819170265856e-30,1.1144465112069184e-47,1.9059167490217108e-41,0.0,0.0,5.6928403446081427e-19,1.3572571901623697e-33,154.0,0.0,0.99999999999745937,1.0,19.0,1.055960762360831e-13,9.1481122403147603e-13,7.6011608468277577e-13,7.6011826193637305e-13,3.3965001354435315e-19,2.0244939596731056e-21,2.0139284542050911e-21,1.2089189572659496e-21,5.3849140762199298e-19,4.121234213688571e-31,3.7558558229728488e-24,3.174846535709027e-24,9.7069547106419836e-33,9.706954696302105e-33,1.2351601590836827e-41,3.2498194385669219e-32,1.9882776003266271e-42,2.7339912979237038e-25,1.3081791773957893e-75,1.2242971648293985e-75,1.2242971648326689e-75,6.8948515673319863e-36,3.2999514673545352e-38,4.7694144043187948e-31,6.6072299265652241e-36,8.833860765847816e-39,2.9769226233116838e-44,6.2216506702854542e-54,2.7289792399075076e-63,2.9134361801807012e-64,4.0722275594681761e-74,8.196819956215558e-78,5.6902432558554944e-75,2.8054421678828702e-66,1.4384146292182488e-72,2.0498028393510075e-32,2.0020050573551856e-32,4.5706556873768704e-41,1.6966944983978328e-41,8.2363875680521153e-42,1.1888345002437947e-45,1.4343177053441594e-50,8.6559957566990028e-51,1.5555706452852439e-56,5.8076257404625887e-66
1.4385280300997618e-18,0.37154263993302633,3.2186798657461571e-18,5.2745499325945229e-30,5.193172931848632e-30,8.9178371815913711e-47,1.525022975665143e-40,0.0,0.0,1.1386927266128975e-18,5.4299173711325508e-33,154.0,0.0,0.99999999999491818,1.0,19.0,2.1121507326084336e-13,1.8298192287790452e-12,1.5203971568566415e-12,1.5204015094874398e-12,1.3588200821879163e-18,8.0992939937493459e-21,8.0151411402892402e-21,4.8364606664924051e-21,2.1543144695533776e-18,3.2428303593469751e-30,1.5025868903954528e-23,1.2701453410759682e-23,7.7670385555202989e-32,7.7670385325718843e-32,1.9766525033945759e-40,2.6003472765244725e-31,3.1818889762225285e-41,1.0937745439396425e-24,1.6753184251312904e-73,1.5678950052946084e-73,1.5678950053029858e-73,5.5169289947732673e-35,2.6404625409434673e-37,3.6432440403836939e-30,5.2862792300920782e-35,7.0684068709782005e-38,4.7640298015139883e-43,1.9913404181984903e-52,1.7469142807168651e-61,1.8649915728587362e-62,5.2135571720733795e-72,1.0494156029833284e-75,7.2848002528409497e-73,1.7958608605075675e-64,9.2098993892112531e-71,1.6401524242802102e-31,8.009323801099586e-32,3.6572189262848608e-40,1.3576113077084973e-40,6.590242591269622e-41,1.068976403017428e-44,2.2523407207977392e-49,1.3579477132031177e-49,2.7887707956560088e-55,2.0791899743920624e-64
2.877212167419285e-18,0.3715426399330264,6.4377090290272805e-18,2.0937145654125111e-29,2.0774382396637031e-29,7.1351845702388661e-46,1.2201342246726406e-39,0.0,0.0,2.2775133762697766e-18,2.1721475742154147e-32,154.0,0.0,0.9999999999898358,1.0,19.0,4.2245306730853998e-13,3.6598298703567692e-12,3.0409592890173106e-12,3.0409679856012798e-12,5.4357135824067797e-18,3.2399811775936664e-20,3.1732908390390999e-20,1.9347398273739223e-20,8.6179447716711202e-18,2.5109504838051553e-29,6.0108366865895428e-23,5.080994806535998e-23,6.2142207756716305e-31,6.2142207389506288e-31,3.1629469181556401e-39,2.0804720894996173e-30,5.0915322487466115e-40,4.3754542384102697e-24,3.7550187740544869e-71,3.514242482756325e-71,3.5142424827938141e-71,4.4139625425823707e-34,2.1125705878961013e-36,2.6716300207161169e-29,4.2286113569018441e-34,5.6552241556652199e-37,7.6231732180498377e-42,6.372918142494448e-51,1.1181374083442828e-59,1.1937144711917359e-60,6.6740291574477814e-70,1.3433881571258827e-73,9.3248324319969788e-71,1.1494663741006593e-62,7.7903543162947135e-69,1.3122444728607102e-30,3.2039902201112704e-31,2.9260528423446824e-39,1.086188846512258e-39,5.2725044943051691e-40,1.043635425798028e-43,3.473744277823353e-48,2.0904844951223959e-48,5.4204594823766948e-54,8.0644059674550617e-63
5.754580442058331e-18,0.3715426399330264,1.2875767387143803e-17,8.3426449962942691e-29,8.3100911216330309e-29,5.708527492903432e-45,9.7615372176801818e-39,0.0,0.0,4.5551677369942777e-18,8.6889746896051172e-32,154.0,0.0,0.99999999997967104,1.0,19.0,8.4492905539663797e-13,7.3198296819685133e-12,6.082083504590408e-12,6.0821008635362543e-12,2.1743666197795098e-17,1.2960451332546307e-19,1.243694438869715e-19,7.7392591023768101e-20,3.4473066247078341e-17,1.8869480520976303e-28,2.4044324778553436e-22,2.0324805813663914e-22,4.9716125311286816e-30,4.9716124723727184e-30,5.0609122115102438e-38,1.6644514742105731e-29,8.1468402363322113e-39,1.7502529007234491e-23,4.8229842257518561e-69,4.5137287151142431e-69,4.5137287152107052e-69,3.5313381109271477e-33,1.6901366757636894e-35,1.8298195688423535e-28,3.3817486205150022e-33,4.5243328779759143e-36,1.2197537797302907e-40,2.0394147028572743e-49,7.1563699745280946e-58,7.6400829113250907e-59,8.5431083251860285e-68,1.719607801669773e-71,1.1934595775659435e-68,7.3568836123824443e-61,5.005221227205668e-67,1.0498421287506086e-29,1.2816482035301442e-30,2.3409532349197424e-38,8.6898700893745585e-39,4.2178995683000701e-39,1.1363276784931887e-42,5.1827227230214722e-47,3.1086258502473246e-47,1.1738527482325468e-52,3.4831958734898334e-61
1.1509316991336423e-17,0.3715426399330264,2.5751884229593937e-17,3.3306152314279627e-28,3.3241040961249632e-28,4.5669961488928476e-44,7.8094151775937984e-38,0.0,0.0,9.1105287040853868e-18,3.475685258571216e-31,154.0,0.0,0.99999999995934152,1.0,19.0,1.6898810315436522e-12,1.4639743420024887e-11,1.2164331740743676e-11,1.216436633461004e-11,8.6975851198653332e-17,5.1842854148733412e-19,4.7807264452532917e-19,3.0957545329775504e-19,1.3789414595491349e-16,1.3454166216055853e-27,9.617925327084356e-22,8.1300873848017485e-22,3.9773842724352733e-29,3.9773841784253538e-29,8.0974726126992025e-37,1.3315844470491822e-28,1.3035193549673923e-37,7.0011539398398777e-23,6.1738755627381159e-67,5.7779992900304933e-67,5.7779992902774562e-67,2.8251382484853785e-32,1.3521413904501437e-34,1.1339241608751312e-27,2.70338367759043e-32,3.6194542554991873e-35,1.9516045610357567e-39,6.526130298252783e-48,4.5800818040641218e-56,4.8896585445340268e-57,1.0935194285671616e-65,2.2011019215394855e-69,1.5272005040466441e-66,4.7084108211984229e-59,3.203674397118999e-65,8.3988837884049689e-29,5.1266968406975471e-30,1.872806775199281e-37,6.9519759594616388e-38,3.3739130074464049e-38,1.3912016837862972e-41,7.3028517389116729e-46,4.3564981762690282e-46,2.8589472749635499e-51,1.691994509713374e-59
2.301879008989261e-17,0.3715426399330264,5.1504118419362556e-17,1.330957632544883e-27,1.3296551790024549e-27,3.6537021265829569e-43,6.2476063530531487e-37,0.0,0.0,1.8221459620829318e-17,1.3903079824653571e-30,154.0,0.0,0.99999999991868238,1.0,19.0,3.3797849837209547e-12,2.9279227363530558e-11,2.432882743307881e-11,2.4328896223888706e-11,3.4790227883477048e-16,2.0737347879919614e-18,1.772890164666306e-18,1.2383047423241093e-18,5.5157479869123403e-16,8.8264116817657518e-27,3.8472090699305679e-21,3.2520677571925096e-21,3.1819449267050433e-28,3.1819447762936938e-28,1.295550381269104e-35,1.0652668583603037e-27,2.0856311426876819e-36,2.800489984418391e-22,7.9027497534223101e-65,7.3960160145533051e-65,7.3960160151855468e-65,2.2601385476264045e-31,1.0817258800137665e-33,6.2257002193950912e-27,2.1594128613695101e-31,2.8954410452982079e-34,3.1224434336160862e-38,2.0882814608412155e-46,2.931141379890903e-54,3.1292631484145459e-55,1.3996523645802733e-63,2.8173067970654269e-67,1.9536436436589105e-64,3.013269031206703e-57,2.0503992407885959e-63,6.7191026184519141e-28,2.0506993826560976e-29,1.4982627837711558e-36,5.5615105929468748e-37,2.6983839782407668e-37,1.8840493897871467e-40,9.4246082274977641e-45,5.5788242830378299e-45,7.7114725460212019e-50,9.1064137205043502e-58
3.4528263188448793e-17,0.3715426399330264,7.7256353113999471e-17,2.8274798097828158e-27,2.8255257305605498e-27,1.084705694533495e-42,1.7864304450346149e-36,0.0,0.0,2.7332599520128382e-17,2.9544426208150908e-30,154.0,0.0,0.99999999987802324,1.0,19.0,5.0696889357815308e-12,4.3918367782490354e-11,3.6493322345442857e-11,3.6493425135557235e-11,7.3928770273120108e-16,4.4066989152355964e-18,3.5798663779301389e-18,2.6313912565511271e-18,1.1720890911546672e-15,2.2695915602724123e-26,8.175343458467422e-21,6.9106642511515084e-21,9.0984010894335755e-28,9.0984005358297452e-28,4.76839003838558e-35,3.0459847926011601e-27,7.6764827451249128e-36,5.9510589076498475e-22,4.0775299845195154e-64,3.8160739013219319e-64,3.8160739017100947e-64,6.4626060712088548e-31,3.0930692516463616e-33,1.4763000040226593e-26,6.1691463405558455e-31,8.2789195598163185e-34,1.1492408447495237e-37,9.5341725898317954e-46,1.6104334155037798e-53,1.7192858938838033e-54,9.0295694461030693e-63,1.8175280016596859e-66,1.2601387583603553e-63,1.6555561862439142e-56,1.0175113030788307e-62,1.9212354380769046e-27,4.3577489186550524e-29,4.2841075267369432e-36,1.5902269162277029e-36,7.7144369423057377e-37,6.6533639291891977e-40,3.1524443715499366e-44,1.8601851995931174e-44,3.3934283758379644e-49,4.842986652718866e-57
4.603773628700498e-17,0.3715426399330264,1.0300858831350464e-16,4.8226281596500229e-27,4.8200220738572893e-27,2.3635409192854119e-42,3.7681056568059761e-36,0.0,0.0,3.6443948401976156e-17,5.0399857240219018e-30,154.0,0.0,0.99999999983736432,1.0,19.0,6.7595928877253808e-12,5.8557164684965266e-11,4.8657816477836122e-11,4.8657953135233914e-11,1.261129061585695e-15,7.5173206141913532e-18,5.8333893394004959e-18,4.4888286594449771e-18,1.9994321698655681e-15,4.3760016513795077e-26,1.394619559003974e-20,1.1788798037578617e-20,1.9191194526616134e-27,1.9191193122580746e-27,1.2093439162486469e-34,6.4248330062321572e-27,1.9469147666740542e-35,1.0151822115196578e-21,2.2244450956468739e-63,2.0818110246338677e-63,2.0818110248499503e-63,1.3631537326293314e-30,6.5241896463303685e-33,2.6848513977977848e-26,1.3002136943181295e-30,1.7462176040360713e-33,2.9146620593219579e-37,2.841816578931864e-45,5.536919586850163e-53,5.9111713658109512e-54,3.5262406824594708e-62,7.0978418261046274e-66,4.9203386440266697e-63,5.6920587781643771e-56,4.3044698824683013e-62,4.0524223508066702e-27,7.4338181624755484e-29,9.0364374800281239e-36,3.3542119922364774e-36,1.6269564118262413e-36,1.6455802124738467e-39,7.3757603969955517e-44,4.3416263277034396e-44,9.8791308851054543e-49,1.6289809554188156e-56
