Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368)
0.0,0.3873335795100331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5943957269057e-19,0.3873335795100331,1.1239160899170769e-25,1.5616856664203556e-39,1.5602578916772391e-39,9.1351262519692684e-61,4.9695513811564112e-51,0.0,0.0,2.8522592949954133e-24,1.2856666514698325e-40,154.0,0.0,0.99999999999999922,1.0,19.0,8.6102756024147403e-17,1.837806363374181e-18,3.2216683232391845e-16,3.2216683511793081e-16,1.608756531510168e-25,2.0355598661697736e-25,2.0350363707900408e-25,1.7068729134518792e-25,1.0900283806732558e-25,1.5214170777603951e-36,3.3490747932575187e-29,6.4695600820791808e-31,5.0609531074924626e-41,5.0609531044450037e-41,2.6813439599761568e-50,9.3854447719821736e-42,3.6611457961845235e-51,2.1562401242338337e-30,2.6358191397349843e-92,2.5923999918679665e-92,2.5923999918679693e-92,1.4706689630603326e-41,3.7131643463390181e-46,2.5506836092023103e-36,2.4715223051736774e-42,3.2990378968312764e-48,3.1628651443986349e-55,8.1209561638540501e-66,1.2983952126443391e-75,1.6637441255169318e-78,9.811207351663411e-89,9.3807584480507429e-92,2.988360976540322e-90,1.5299337664102696e-78,1.9240678020345932e-89,1.3851837113383286e-41,4.0439686353902792e-41,2.5551172337602062e-50,4.4130370221480461e-53,2.125017095498164e-52,1.0571584210832102e-57,4.4279279471007705e-61,1.9096975055989434e-61,5.8298599740444802e-69,8.7158414978283271e-80,7.6692000785167324e-71,4.8456372270404133e-80,8.3684222386922654e-83,4.0632186266141423e-80,4.5037697172285009e-83,4.5037697170502519e-83,4.4763528088985122e-94,2.645136406535503e-67,3.9981801093261924e-73,6.4572340517066553e-83,1.1104962619985106e-91,2.0399502885547842e-92,7.2066530418376921e-103,3.5276874195902719e-104,1.0873879962574003e-115,9.7853757865868347e-76,2.901793062100988e-83,1.3348545705435792e-93,3.9452390203203311e-118,6.3077294757296831e-128,3.5304677233476828e-128,4.2120081627401755e-85,1.9414328669692551e-40,6.1331758820982233e-50,6.1329519772317685e-50,4.7629440813613936e-51,6.3576838948983225e-91
4.46430803533596e-19,0.3873335795100331,3.1469650521075886e-25,9.4279554657897069e-39,9.4239576666284093e-39,1.3805025282953702e-59,5.899851400581717e-50,0.0,0.0,7.9863399983476452e-24,7.7654379180634051e-40,154.0,0.0,0.99999999999999789,1.0,19.0,2.4108771686760512e-16,5.1458569191260531e-18,9.0206712984743963e-16,9.0206713711812427e-16,9.7168880348700678e-25,1.2294781582732086e-24,1.2288567949448518e-24,1.0309512072694751e-24,6.5837704602138623e-25,1.8060124251823284e-35,2.0228411728595104e-28,3.907614286895008e-30,6.0083635254402225e-40,6.0083635186231831e-40,5.9980573789948088e-49,1.1142398546837852e-40,8.18983625824043e-50,1.3023690336081301e-29,2.8086698292915206e-90,2.762403357973816e-90,2.7624033579738203e-90,1.7459781930724632e-40,4.4082687069258448e-45,3.0269565122406275e-35,2.9341537525466187e-41,3.9166174567684095e-47,7.0752022362713232e-54,3.3511350325126066e-64,9.7739943121714098e-74,1.2524249520409228e-76,1.3392248638822196e-86,1.2804688065185462e-89,4.0790565094764766e-88,1.1516958616046958e-76,1.4578406450819407e-87,1.6444898827162273e-40,2.4425570518668273e-40,3.0334351751241639e-49,5.239157214939925e-52,2.5228099015297654e-51,2.2839824931610243e-56,9.9033929392245492e-60,4.2713450612442663e-60,2.3254646303600049e-67,6.3451114696535434e-78,3.0591564099736783e-69,3.5276066023040723e-78,6.091792505698759e-81,2.9580196100979601e-78,3.2787419355816298e-81,3.2787419353462707e-81,5.9105719217729552e-92,1.0915228897614651e-65,1.6498601300260496e-71,4.8608443606180032e-81,1.5158218443023878e-89,2.7845219370632191e-90,1.7778741409657286e-100,8.7027731100932328e-102,4.8395113974896075e-113,4.6731300043790107e-74,2.5234363093677313e-81,1.7625406845995692e-91,1.7558616857691151e-115,5.0594618769177608e-125,2.8318061076568952e-125,3.0663398045654202e-83,2.3048690318799473e-39,1.3719401484175091e-48,1.3718477597422137e-48,1.0654515092893983e-49,4.6283904659899903e-89
1.020413265219648e-18,0.3873335795100331,7.1930629778477057e-25,4.5381437624491002e-38,4.5372299504242378e-38,1.4850866265527798e-58,5.7925090920719848e-49,0.0,0.0,1.8254557294493885e-23,3.7387356370636762e-39,154.0,0.0,0.99999999999999523,1.0,19.0,5.5105763855448995e-16,1.1761954437345135e-17,2.0618677222563537e-15,2.0618677362726225e-15,4.6782618704551633e-24,5.9194080774217115e-24,5.9133104299525999e-24,4.963585945491039e-24,3.1698010924193409e-24,1.7727007292927463e-34,9.7391094647815348e-28,1.8813480678473988e-29,5.8990469303912421e-39,5.8990469169219253e-39,1.1851142813577004e-47,1.0939669818199624e-39,1.6181734429588501e-48,6.2703462598409504e-29,6.3918753579143876e-88,6.2865836946413273e-88,6.2865836946413485e-88,1.714211743169822e-39,4.3280643464479007e-44,2.9693132753734015e-34,2.8806900647502138e-40,3.8453575360627219e-46,1.3979404849663184e-52,1.3256754594353198e-62,7.7280020534182229e-72,9.9025457672689509e-75,2.1156466880680056e-84,2.0228265369981562e-87,6.4437630695237144e-86,9.1061112782189785e-75,1.2682397300297488e-85,1.6145694538437735e-39,1.1759860733092426e-39,2.9782446328060183e-48,5.1438349059820961e-51,2.4768877046321077e-50,4.421860686506297e-55,1.9560067908188904e-58,8.436986235507857e-59,9.0111534535188558e-66,4.9133247163380308e-76,1.1854202137077031e-67,2.7315857564057837e-76,4.7164814190025543e-79,2.2905475861639513e-76,2.5389020834279901e-79,2.5389020830638941e-79,9.1435127529204165e-90,4.3179555102977063e-64,6.5266818412101557e-70,3.8433230152497444e-79,2.3946267196230624e-87,4.3988616653313992e-88,5.6122146162289535e-98,2.7472063982703826e-99,3.0533537524468554e-110,2.4324512206575735e-72,2.6220168298889423e-79,2.7266080914794371e-89,1.1078116001719866e-112,6.3813507458239487e-122,3.5716739168457916e-122,2.3744280055314775e-81,2.2629339396052125e-38,2.7106068179297479e-47,2.7102413925506073e-47,2.1051525089796316e-48,3.5840058333493325e-87
2.168378188591752e-18,0.3873335795100331,1.5285258834764313e-24,1.9817217346743771e-37,1.9815275240698124e-37,1.3650596816463091e-57,5.1234086963584387e-48,0.0,0.0,3.8791215444552068e-23,1.6328142290208677e-38,154.0,0.0,0.99999999999999001,1.0,19.0,1.1709974819281373e-15,2.4994135100660265e-17,4.3814688965216693e-15,4.3814689152175465e-15,2.0431186010702332e-23,2.5851610161890266e-23,2.5797730050587999e-23,2.1677280970393571e-23,1.3843345569247925e-23,1.5671285082901916e-33,4.2533249523108497e-27,8.2163412626878788e-29,5.2176401911262856e-38,5.217640167158385e-38,2.108844751730705e-46,9.6760084652802918e-39,2.8794524997725886e-47,2.7384249356431779e-28,1.0801986692189449e-85,1.0624048437488063e-85,1.0624048437488133e-85,1.5162008732812483e-38,3.8281238816620993e-43,2.6217626349483101e-33,2.5477963471171045e-39,3.4011739335020212e-45,2.4875595090918972e-51,4.7312398779609926e-61,5.5236507916370458e-70,7.0779231658812396e-73,3.0263625516702948e-82,2.8935864061521433e-85,9.2171732675929581e-84,6.5086652965501501e-73,9.4998419354964788e-84,1.4280675708485814e-38,5.1358401063918145e-39,2.634223632112e-47,4.5496624496017931e-50,2.1907399600057001e-49,7.7880093996273693e-54,3.4779784661601476e-57,1.5004336780110134e-57,3.1823787315704823e-64,3.4746557892627287e-74,4.1864297170140834e-66,1.9317375284598488e-74,3.3344776671699417e-77,1.6198685260831645e-74,1.7955077994066716e-77,1.7955077988913832e-77,1.2940393569938111e-87,1.5410472953997029e-62,2.3293258449117936e-68,2.7470459295337149e-77,3.4254346324746039e-85,6.2924266378997908e-86,1.6061407159547965e-95,7.862150497833159e-97,1.7479442921856373e-107,9.7059390887346414e-71,2.0985505184709583e-77,3.8588431785642328e-87,6.3418559364261316e-110,7.3068141529523353e-119,4.0896604136697915e-119,1.6791919993849183e-79,2.0015391872585672e-37,4.8229663298738315e-46,4.8216625466503277e-46,3.7460059491075037e-47,2.534603637379195e-85
4.4643080353359605e-18,0.387333579510033,3.146965057034302e-24,8.2728874154105853e-37,8.2724873594061556e-37,1.1678530703190219e-56,4.3065337230702498e-47,0.0,0.0,7.986542597572005e-23,6.8167628206027736e-38,154.0,0.0,0.99999999999997946,1.0,19.0,2.4108771686749428e-15,5.1458438934923319e-17,9.0206712028422545e-15,9.0206711958063536e-15,8.5296073845606695e-23,1.0792538285814144e-22,1.0747337835637391e-22,9.049835659901699e-23,5.779317095572926e-23,1.3159133696224416e-32,1.7756794238053723e-26,3.4301607181209684e-28,4.3857409431187283e-37,4.3857409026934594e-37,3.5568654882919341e-45,8.1332587157460712e-38,4.8566152045247506e-46,1.143238493969276e-27,1.5816487691352393e-83,1.5555946894977306e-83,1.5555946894977522e-83,1.2744581906659357e-37,3.2177687523805823e-42,2.1961146388026977e-32,2.141338523513871e-38,2.8588895077889767e-44,4.1956296903539561e-50,1.5985778924427991e-59,3.7356450820795759e-68,4.7867995021490601e-71,4.095105431020677e-80,3.9154401589990356e-83,1.2471038984410937e-81,4.4018104020356766e-71,6.5743960795471284e-82,1.2003754501595587e-37,2.1441121160263013e-38,2.2142236563244602e-46,3.8242632857047117e-49,1.8413830557429429e-48,1.3068001597854051e-52,5.8572594516670463e-56,2.5277261462003138e-56,1.0695665683989161e-62,2.3372625329780259e-72,1.4070183363920703e-64,1.2993846679093122e-72,2.2416630627887064e-75,1.0896417407410591e-72,1.2077945103491717e-75,1.2077945096556736e-75,1.7415768797068359e-85,5.2068481110398896e-61,7.8702618936921119e-67,1.8578276024715152e-75,4.6351085990521622e-83,8.5145633855755273e-84,4.3475397755136838e-93,2.1281528157733427e-94,9.4637360694073651e-105,3.4494236638231431e-69,1.4939692698240903e-75,5.1934062328787088e-85,3.4336134717742782e-107,7.9125208902722709e-116,4.4286775048317768e-116,1.1295517148617393e-77,1.6824138590310644e-36,8.1332419502463901e-45,8.1288394226311215e-45,6.3181849993215079e-46,1.7049663540676357e-83
9.056167728824377e-18,0.38733357951003317,6.3838434128482404e-24,3.3796623455236118e-36,3.3795810237421716e-36,9.6562958947867561e-56,3.530756548249287e-46,0.0,0.0,1.6201742396217302e-22,2.7849393654786054e-37,154.0,0.0,0.99999999999995837,1.0,19.0,4.8906365421665985e-15,1.0438681663497969e-16,1.8299075646643238e-14,1.8299075449012724e-14,3.4846142796890736e-22,4.4091039870106157e-22,4.3721912203628319e-22,3.6971511727109284e-22,2.3610337463524285e-22,1.0766537909875142e-31,7.2542296983815124e-26,1.401332560355536e-27,3.5956953612350982e-36,3.5956952948367886e-36,5.8421312961247887e-44,6.6681214338262414e-37,7.9769974813215656e-45,4.6705021905652957e-27,2.1627708357891009e-81,2.1271440868614161e-81,2.1271440868614751e-81,1.0448778220995584e-36,2.6381211803884265e-41,1.7881121381668373e-31,1.755208813249434e-37,2.3438868696547371e-43,6.891324473066242e-49,5.2557669252739224e-58,2.4574286584636849e-66,3.1489121730380732e-69,5.3889209606625735e-78,5.1524919501358435e-81,1.6408197597668132e-79,2.895653842547912e-69,4.3746442853780189e-80,9.8413803710976001e-37,8.7593973626136733e-38,1.815354281550627e-45,3.135358583144179e-48,1.5095690503277808e-47,2.1407861480982658e-51,9.5915899080060811e-55,4.1420595184145692e-55,3.506995069603612e-61,1.5332432090326229e-70,4.6134634640592639e-63,8.5237188373612824e-71,1.4688179857711118e-73,7.1483168454431645e-71,7.9234933280169513e-74,7.9234933189160968e-74,2.285490269755739e-83,1.7118961571784417e-59,2.5875674980852786e-65,1.2221398795416088e-73,6.0995364873196842e-81,1.1204675595676088e-81,1.1443350407475057e-90,5.6016428075622972e-92,4.9822791319731842e-102,1.1618232846080708e-67,1.0071905742330005e-73,6.8153634504676564e-83,1.8076603762354889e-104,8.3314715680924578e-113,4.663166297959759e-113,7.4101973945090131e-76,1.3793438243125737e-35,1.3354291439385718e-43,1.3339834366392929e-43,1.0377632704193142e-44,1.1185089563063646e-81
1.823988711580121e-17,0.387333579510033,1.2857600159268901e-23,1.3660972083105172e-35,1.3660807013283796e-35,7.8527637381676211e-55,2.8592982256328543e-45,0.0,0.0,3.2633572763083556e-22,1.1257730678492095e-36,154.0,0.0,0.99999999999991618,1.0,19.0,9.850155289142083e-15,2.1024265216920699e-16,3.6855883858884487e-14,3.6855882733259909e-14,1.4085298119565952e-21,1.7822302829200804e-21,1.75257008659896e-21,1.4944460133816559e-21,9.5436285104981629e-22,8.6834145404395688e-31,2.9322755185436433e-25,5.6644101302893861e-27,2.9118872646682286e-35,2.9118871570347338e-35,9.4702462464779118e-43,5.3999925923203467e-36,1.2931032108334694e-43,1.8878915905652207e-26,2.8604712857845052e-79,2.8133515028587236e-79,2.8133515028588788e-79,8.4616914716606948e-36,2.1364188456662772e-40,1.42837914280489e-30,1.4207825210437413e-36,1.8981347269502532e-42,1.1171101867090243e-47,1.7046905797046081e-56,1.5944590814226791e-64,2.0431159165771391e-67,6.9937604008361777e-76,6.6869221497208964e-79,2.1286922733805237e-77,1.8787937360755269e-67,2.8548491961065831e-78,7.9697680417426419e-36,3.540688273191401e-37,1.4701208833277872e-44,2.5390889845589636e-47,1.222313215854858e-46,3.4653893662852053e-50,1.5455266129637954e-53,6.6831019084914573e-54,1.1358297781810758e-59,9.9326137219315582e-69,1.4941877313822166e-61,5.5215024161633121e-69,9.4931545540526706e-72,4.6311549122318868e-69,5.13345046453925e-72,5.1334504527456316e-72,2.9617222949397959e-81,5.5524838839611523e-58,8.3926974477491123e-64,7.9296453330277559e-72,7.9160067503588846e-79,1.4541478938234415e-79,2.9703649407976846e-88,1.4540453940693273e-89,2.5866175441635117e-99,3.8131452210966885e-66,6.6139242189631669e-72,8.8318966597597749e-81,9.3847130905932121e-102,8.6509077478868336e-110,4.8419563334329389e-110,4.8008980076142954e-74,1.1170272500775844e-34,2.1633038611670085e-42,2.1586260474844837e-42,1.6822573189712907e-43,7.2465644742181504e-80
3.660732588975488e-17,0.38733357951003317,2.5805113791281342e-23,5.4929846942935232e-35,5.4929506534977613e-35,6.3342228485694152e-54,2.3014120550205246e-44,0.0,0.0,6.5502956574554956e-22,4.5271347375425598e-36,154.0,0.0,0.9999999999998318,1.0,19.0,1.9769192783061756e-14,4.2195064383806657e-16,7.3969497581924333e-14,7.3969492488609226e-14,5.6635801789581177e-21,7.1662692273777182e-21,6.9312011595576711e-21,6.0090888063493049e-21,3.8374129399728176e-21,6.9325223965958036e-30,1.1790550014713197e-24,2.2776342938784688e-26,2.3437400967576804e-34,2.3437399234205662e-34,1.5251216451705794e-41,4.3463435387170202e-35,2.0824949459574743e-42,7.5911284989384533e-26,3.7215510806502308e-77,3.6602469592299203e-77,3.6602469592303246e-77,6.8107053912589859e-35,1.7195756172095696e-39,1.119221734677958e-29,1.1425547785017712e-35,1.5277749001053686e-41,1.7990611872745602e-46,5.491856692692842e-55,1.02745746046044e-62,1.3165685538110238e-65,9.0139393644037287e-74,8.6184698799376782e-77,2.7415935928403245e-75,1.2106805794038425e-65,1.8452333812303084e-76,6.4147032131278454e-35,1.4236950294720309e-36,1.1832810565986952e-43,2.0436705595152331e-46,9.8354251843021339e-46,5.5757903293712559e-49,2.4595555070050137e-52,1.066331651458763e-52,3.6558146562027191e-58,6.3933327026052477e-67,4.8092356315877567e-60,3.5536311826289923e-67,6.0822178237749993e-70,2.9813920755970143e-67,3.3048632162176669e-70,3.304863201031688e-70,3.8136431083600546e-79,1.7888000298010923e-56,2.7038091573453226e-62,5.1098130378505704e-70,1.0202598849939387e-76,1.8741880841697147e-77,7.6567468501860685e-86,3.7482135075953186e-87,1.333565715119128e-96,1.2356508631811891e-64,4.28735145063431e-70,1.1372336254412416e-78,4.838415916463428e-99,8.920245341656734e-107,4.9927059488780731e-107,3.0907696580880284e-72,8.9907887459337408e-34,3.4791628871396251e-41,3.4641651015968603e-41,2.7092181984941637e-42,4.6652648640786814e-78
7.334220343766221e-17,0.387333579510033,5.1700141611990534e-23,2.2029266033086606e-34,2.2029192426508856e-34,5.08909177154397e-53,1.8467385038167135e-43,0.0,0.0,1.3126461650402835e-21,1.8159450494335124e-35,154.0,0.0,0.99999999999966305,1.0,19.0,3.9607267770775923e-14,8.4535191008895932e-16,1.4819671422223536e-13,1.4819669331706559e-13,2.2713038487877427e-20,2.8739941948007325e-20,2.6909909980260749e-20,2.4099030481498148e-20,1.5389436548158144e-20,5.4741115812511249e-29,4.7285372127469256e-24,9.134331360820451e-26,1.8807036598512207e-33,1.8807033816173931e-33,2.4480542563230809e-40,3.487602310641535e-34,3.3428401939790265e-41,3.0443816154442138e-25,4.8024632722868046e-75,4.7233535717797985e-75,4.7233535717808422e-75,5.4651620640219428e-34,1.3798509268964148e-38,8.5280083878271054e-29,9.1520412825713044e-35,1.2259285981048966e-40,2.8878584747831141e-45,1.7633000488181208e-53,6.5981835746718719e-61,8.4548132713824024e-64,1.1577557128838784e-71,1.1069614723665479e-74,3.5162413213793055e-73,7.7748160401038164e-64,1.1871422590525831e-74,5.1472999196403267e-34,5.7096526271149638e-36,9.4950832531359576e-43,1.6399022373592421e-45,7.8877954014300788e-45,8.9425644595436172e-48,3.8567604541998998e-51,1.6805767408287159e-51,1.1727785991659429e-56,4.1006386757580363e-65,1.5427937136592216e-58,2.2787635949640902e-65,3.8653712016524342e-68,1.9128252639700032e-65,2.1205003720829799e-68,2.1205003525948943e-68,4.8940277259082713e-77,5.7434192680734576e-55,8.6812991729994507e-61,3.2814599282969104e-68,1.3104325049132174e-74,2.4072261641625368e-75,1.966800239067034e-83,9.6286198489852761e-85,6.8515222363257099e-94,3.9788973034619261e-63,2.7614035417148868e-68,1.4594058058409674e-76,2.4858552664027144e-96,9.1660221505500881e-104,5.1302684937447336e-104,1.9831318835515599e-70,7.2145123202156802e-33,5.5695706904576364e-40,5.5218756860178623e-40,4.3488780419183177e-41,2.9933757145253555e-76
