Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006)
0.0,0.47856140550403486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.563447316983113e-21,0.47856140550403486,5.5953366972387579e-24,1.4635231047103313e-38,1.2806117701891286e-38,1.2418023030594197e-59,2.1780105918214884e-51,0.0,0.0,1.5311948685459012e-23,1.0347062673312097e-40,154.0,0.0,0.99999999999999956,1.0,19.0,5.9742405135679006e-17,2.0000747641355378e-17,2.3825491090820726e-16,2.3825493181011316e-16,1.1001729384774606e-25,7.4815222201964684e-27,7.4812520774333806e-27,5.3797368217279891e-27,1.0927126916883734e-25,8.8426048440824963e-39,3.5487826342803502e-30,5.089631040217612e-31,7.3188438748819176e-42,7.3188438746924786e-42,1.6525766066959668e-52,6.5281284323618761e-42,2.4182864702809938e-53,2.5312836042416151e-31,2.3962710091434441e-95,2.303962053876063e-95,2.303962053876066e-95,8.262118482371744e-44,3.0244994118995085e-47,1.2715663602165318e-38,3.1825864941947575e-44,1.2697332376940888e-48,2.2724398826820201e-56,5.4889297528133432e-68,4.0630667458048376e-79,4.8428771211589951e-81,1.2414789369745016e-92,4.4869931439265859e-96,9.4164330628523616e-94
2.3977652487552714e-20,0.47856140550403486,1.5666942752387656e-23,8.2470468298033914e-38,7.7348950919901466e-38,1.876611706375037e-58,2.585734179637831e-50,0.0,0.0,4.287345795930412e-23,6.2496260553062627e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.6727873437990017e-16,5.6002092668651365e-17,6.6711375051873661e-16,6.6711380902664692e-16,6.6450444764080102e-25,4.5188394207096205e-26,4.518518334630519e-26,3.2493610279578026e-26,6.5999845862901254e-25,1.0497521999838277e-37,2.143464710993609e-29,3.0741371481553858e-30,8.6889314479076597e-41,8.6889314474838891e-41,3.6967476576908118e-51,7.7501939979900159e-41,5.4096100689032226e-52,1.5288952968911186e-30,2.5534127106906407e-93,2.4550503556854719e-93,2.4550503556854778e-93,9.8087871128153558e-43,3.5906857015932788e-46,1.5094135935532376e-37,3.7783625419019897e-43,1.5074272758509649e-47,5.0833570428338554e-55,2.2650221979530805e-66,3.0585751873692983e-77,3.6455969653036764e-79,1.6946126063704354e-90,6.1247235071922023e-94,1.285337679125176e-91
5.480606282869192e-20,0.47856140550403486,3.5810154863161998e-23,3.8410822832764075e-37,3.7240190277816994e-37,2.0187733858100573e-57,2.5386891529905971e-49,0.0,0.0,9.7996483067069815e-23,3.0089261263051704e-39,154.0,0.0,0.99999999999999645,1.0,19.0,3.8235139286833832e-16,1.2800477981466863e-16,1.5248314296428214e-15,1.5248315632930483e-15,3.1993027970986777e-24,2.1756266611995657e-25,2.17531124036942e-25,1.5644274492096592e-25,3.1776084001683159e-24,1.0305643054641907e-36,1.0319859898811494e-28,1.4800647062912049e-29,8.5308444194706902e-40,8.5308444186333892e-40,7.3041499474949278e-50,7.6091862623400003e-40,1.0688477753354026e-50,7.3609727200723815e-30,5.8109699030140713e-91,5.5871201970383472e-91,5.5871201970383745e-91,9.6303253757470978e-42,3.5253565138472395e-45,1.4815489383656055e-36,3.7096099712442595e-42,1.4800009876439168e-46,1.00438565641892e-53,8.9602022736405045e-65,2.418323353116912e-75,2.8824638065971361e-77,2.6770725027221524e-88,9.67556177991496e-92,2.0305157113257095e-89
1.1646288351097032e-19,0.47856140550403486,7.6096579086616876e-23,1.6512528910031737e-36,1.6263769482142986e-36,1.8556008159360404e-56,2.2454418070078511e-48,0.0,0.0,2.0824255952290329e-22,1.3140772704316257e-38,154.0,0.0,0.99999999999999245,1.0,19.0,8.1249670984519817e-16,2.7201014247240543e-16,3.240266787503095e-15,3.2402670711592869e-15,1.3972195202728101e-23,9.5015332151693345e-25,9.4987428863938723e-25,6.8322655719234786e-25,1.3877450076073832e-23,9.1136483278874881e-36,4.5069539438045664e-28,6.463831418967578e-29,7.5454352789557506e-39,7.5454352774658213e-39,1.2997342896157133e-48,6.7302387879437177e-39,1.9019574558605391e-49,3.2147301762892799e-29,9.8202822377388937e-89,9.4419861308597393e-89,9.4419861308598328e-89,8.5179137456685859e-41,3.1181379123000427e-44,1.3096982049027619e-35,3.2810923947618784e-41,1.309044022887253e-45,1.7872504922379522e-52,3.1978323364812775e-63,1.7285163007564965e-73,2.0602644678337574e-75,3.8294646851176141e-86,1.3840574809590856e-89,2.904578496738747e-87
2.3977652487552714e-19,0.47856140550403475,1.5666942754115136e-22,6.8410187908622154e-36,6.7898036062097123e-36,1.5875060279519347e-55,1.887429137247267e-47,0.0,0.0,4.2873481739577838e-22,5.4860154276137393e-38,154.0,0.0,0.99999999999998446,1.0,19.0,1.6727873437988514e-15,5.600208212506956e-16,6.6711375016720635e-15,6.6711380842263185e-15,5.8331159154655002e-23,3.9667030771160349e-24,3.964357936669297e-24,2.8523362903767222e-24,5.7935616938001806e-23,7.6579202109363511e-35,1.8815645511373656e-27,2.6985223756254704e-28,6.3423929963114102e-38,6.3423929937984257e-38,2.1921912869245679e-47,5.6571707410459813e-38,3.2079290696613694e-48,1.3420865659812324e-28,1.437905636762373e-86,1.3825147537641899e-86,1.3825147537642169e-86,7.1598197530046192e-40,2.6209827958365158e-43,1.0996792455556257e-34,2.7579295904179031e-40,1.1003302253050495e-44,3.0144587827767195e-51,1.0804751298652843e-61,1.1689962586741591e-71,1.3933576755016229e-73,5.1818215091283828e-84,1.8728306511626722e-87,3.9302950487981395e-85
4.864038076046408e-19,0.47856140550403475,3.1781512448071934e-22,2.7842456920953763e-35,2.7738563192651477e-35,1.312581448692263e-54,1.5474284406706338e-46,0.0,0.0,8.6971975298636101e-22,2.2412175324258369e-37,154.0,0.0,0.99999999999996847,1.0,19.0,3.3933686117058924e-15,1.1360419926586021e-15,1.3532878923803675e-14,1.3532880099705053e-14,2.3830177413169747e-22,1.6205276355696065e-23,1.6186058725552652e-23,1.1652723684814868e-23,2.3668585541280976e-22,6.2740836863525216e-34,7.6868051239691688e-27,1.1024344402284015e-27,5.1998769659601035e-37,5.1998769618325212e-37,3.6006789131597078e-46,4.6380895658649519e-37,5.2690325528626759e-47,5.4828615297716665e-28,1.9662143278863689e-84,1.8904719808240836e-84,1.8904719808241574e-84,5.8700528187451029e-39,2.1488400469159382e-42,8.9962015818667233e-34,2.2610742292317122e-39,9.0211694899887583e-44,4.9512562805685343e-50,3.5523648991950676e-60,7.6900458400614728e-70,9.1659697947674458e-72,6.8189839883394348e-82,2.4645392037858191e-85,5.1719901288356016e-83
9.79658373062868e-19,0.47856140550403486,6.4010651848185136e-22,1.1233295876136323e-34,1.1212370746300524e-34,1.0673706801842708e-53,1.2531476713483293e-45,0.0,0.0,1.7516913035468503e-21,9.0593695174356277e-37,154.0,0.0,0.99999999999993638,1.0,19.0,6.8345311475189126e-15,2.2880835908802012e-15,2.7256361743241591e-14,2.7256364088092738e-14,9.6325351646282192e-22,6.5504317887677642e-23,6.534885547077318e-23,4.710216613407997e-23,9.5672171705025739e-22,5.073897081555398e-33,3.1071295270381569e-26,4.456216264782451e-27,4.2109951770196734e-36,4.2109951703286916e-36,5.836849657010762e-45,3.756043886080697e-36,8.5413269559497851e-46,2.2162602902539315e-27,2.6005066648305822e-82,2.500330160396869e-82,2.5003301603970647e-82,4.7537209739118257e-38,1.7401863788370441e-41,7.2537576847800975e-33,1.831006767058987e-38,7.3055729118751626e-43,8.0261955088434708e-49,1.1522004341769611e-58,4.9895615171750467e-68,5.9471908380307616e-70,8.8497213496786667e-80,3.1984948698503974e-83,6.7120971940551484e-81
1.9661675039793226e-18,0.4785614055040349,1.2846893069720992e-21,4.5126446683294787e-34,4.5084449651892572e-34,8.6087512987460347e-53,1.008642267703735e-44,0.0,0.0,3.5156411221851e-21,3.6427406092329409e-36,154.0,0.0,0.99999999999987232,1.0,19.0,1.3716856219140703e-14,4.5921638089503915e-15,5.4703327282816212e-14,5.4703331894999599e-14,3.8731971633099452e-21,2.6338998009335056e-22,2.6214143135633207e-22,1.8939568926044668e-22,3.8469331045510963e-21,4.0726606372847435e-32,1.2493631127472112e-25,1.7918249555115058e-26,3.3893752572213729e-35,3.3893752464457718e-35,9.40004702638624e-44,3.0231888033658233e-35,1.3755537724088806e-44,8.9114851243976974e-27,3.3833304423632654e-80,3.2529980645968157e-80,3.2529980645973243e-80,3.8262082194504623e-37,1.4006533846997824e-40,5.7882221755281422e-32,1.4736412442772188e-37,5.8801541613665475e-42,1.2925926627970432e-47,3.7119632750338124e-57,3.2152506837544686e-66,3.8323426516889772e-68,1.1406054920098015e-77,4.122413238804273e-81,8.6505823865434131e-79
3.939185765812232e-18,0.47856140550403486,2.573854885904531e-21,1.8089295170980612e-33,1.8080880776942745e-33,6.915049468279444e-52,8.0937189840724542e-44,0.0,0.0,7.0435676295304569e-21,1.4609083031883672e-35,154.0,0.0,0.9999999999997442,1.0,19.0,2.7481506362367299e-14,9.2003123316295438e-15,1.0959725796476061e-13,1.095972668325972e-13,1.5533230007196453e-20,1.0563116150120238e-21,1.0463368944314065e-21,7.595610291367385e-22,1.5427899540292244e-20,3.2501374961313339e-31,5.0105048380879603e-25,7.1860194415359481e-26,2.719760173204119e-34,2.7197601559069582e-34,1.508909497163956e-42,2.4259152754267913e-34,2.2080665099445892e-43,3.5739040883816679e-26,4.3660086446858416e-78,4.1978216178535055e-78,4.1978216178548186e-78,3.0702911541760266e-36,1.1239361218960335e-39,4.5660478718674683e-31,1.1823241107088297e-36,4.7184429819785874e-41,2.0748930578145712e-46,1.1918310542471645e-55,2.0648064876691559e-64,2.461097673048049e-66,1.4650138069198952e-75,5.2949003442217243e-79,1.1110001158259321e-76
