Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006)
7.88522228947805e-18,0.4785614055040349,5.1521860515771385e-21,7.2434678865871112e-33,7.2417832603202516e-33,5.5433197828948828e-51,6.484824393891692e-43,0.0,0.0,1.4099528124494805e-20,5.8513044833678563e-35,154.0,0.0,0.99999999999948785,1.0,19.0,5.5010806648752516e-14,1.8416561723389334e-14,2.1938511773983013e-13,2.1938513402856345e-13,6.2213757107985179e-20,4.2307560784198443e-21,4.1515356748618342e-21,3.0422028094235005e-21,6.1791887086038334e-20,2.5758079006908241e-30,2.0068153725891751e-24,2.8781559497161483e-25,2.1791177732866563e-33,2.1791177455663025e-33,2.4181696337955214e-41,1.9436789406668485e-33,3.5386576418658037e-42,1.4314257559951617e-25,5.6112245280402713e-76,5.3950693971942021e-76,5.3950693971975765e-76,2.4599691803404316e-35,9.0051659364355978e-39,3.5383902017153659e-30,9.4700945040211027e-36,3.7804795429782783e-40,3.3252248684101197e-45,3.8202655427062785e-54,1.3237317387884182e-62,1.5777910067435463e-64,1.8784438941538075e-73,6.7891329773025262e-77,1.4242808030115821e-74
1.5777295336809686e-17,0.47856140550403475,1.0308848414153325e-20,2.8989378761168817e-32,2.8986005770843303e-32,4.439234496611966e-50,5.1918025823355354e-42,0.0,0.0,2.8211879035503793e-20,2.3420876847012232e-34,154.0,0.0,0.99999999999897526,1.0,19.0,1.1006940722125108e-13,3.684886989448602e-14,4.3896083093469253e-13,4.3896085790204368e-13,2.4901569066959139e-19,1.6934049392111694e-20,1.6310717570094231e-20,1.2176714185658186e-20,2.4732712113495763e-19,2.0183638779151411e-29,8.0324911806083537e-24,1.152012421166789e-24,1.744619176221094e-32,1.7446191318330707e-32,3.8721581070428647e-40,1.5561164086284998e-32,5.6664429075877989e-41,5.7294332863454011e-25,7.1969525473887447e-74,6.9197121321272593e-74,6.9197121321359158e-74,1.9694711728950342e-34,7.2096080413763882e-38,2.6579568909418043e-29,7.5772167752268091e-35,3.026655609367796e-39,5.3246467453970975e-44,1.2235033351563142e-52,8.4790558607708311e-61,1.0106411843521048e-62,2.4064602722849172e-71,8.6975075047248074e-75,1.8240054865424673e-72
3.156144143147296e-17,0.47856140550403486,2.0622173264229573e-20,1.1598854553089209e-31,1.1598177988633359e-31,3.5533194531645179e-49,4.1550199868476149e-41,0.0,0.0,5.643830054173143e-20,9.3717295353647129e-34,154.0,0.0,0.99999999999794997,1.0,19.0,2.2018660836516076e-13,7.3712723802756764e-14,8.781122319033131e-13,8.7811226506360839e-13,9.9637534505652507e-19,6.7758250471669395e-20,6.2935937882955352e-20,4.8722515584735307e-20,9.8961894730427573e-19,1.5492877376498043e-28,3.2140425804219727e-23,4.6095500278045861e-24,1.3962255034498318e-31,1.3962254324021966e-31,6.1977699858397304e-39,1.2453523231909174e-31,9.0699353535577526e-40,2.2925194980108457e-24,9.2214445172954059e-72,8.8662167891427846e-72,8.8662167891649653e-72,1.5761756002110823e-33,5.7698772119784755e-37,1.8922270644060596e-28,6.0566992229357339e-34,2.4222015854541198e-38,8.5227568155897578e-43,3.9167914890439364e-51,5.4288242773626286e-59,6.4707598581710739e-61,3.0815447778910868e-69,1.1137421490746672e-72,2.3340823992040352e-70
6.31297336207995e-17,0.4785614055040349,4.124882346407748e-20,4.6401632697772535e-31,4.6400264860196959e-31,2.8435876948828611e-48,3.3246473241860336e-40,0.0,0.0,1.128980222901666e-19,3.7495645762522982e-33,154.0,0.0,0.99999999999589939,1.0,19.0,4.4042101064863023e-13,1.4743738200975449e-13,1.7564149321561622e-12,1.7564149275507655e-12,3.9860559640320833e-18,2.7107708573054506e-19,2.349092536123602e-19,1.9492017306573447e-19,3.9590266124036068e-18,1.1456682723311018e-27,1.2858261874449699e-22,1.8441199889404589e-23,1.1171924375548028e-30,1.1171923238622106e-30,9.9177946359949138e-38,9.9644908483180449e-31,1.4514646079606557e-38,9.171569954471308e-24,2.0675244638129227e-69,1.9878794565294721e-69,1.9878794565394018e-69,1.2611801156990955e-32,4.6167778454872494e-36,1.2380914747245262e-27,4.8345155507254644e-33,1.9380608532626798e-37,1.3638719570252213e-41,1.2535946368587678e-49,3.4750737999738895e-57,4.1420328173076726e-59,3.9450955277593546e-67,1.425849904054733e-70,2.9840517878414632e-68
1.262663179994526e-16,0.47856140550403486,8.2502125862554235e-20,1.8561902241018598e-30,1.8561617008268921e-30,2.275497786713527e-47,2.6599704704939521e-39,0.0,0.0,2.2584498072450769e-19,1.5001579245118526e-32,154.0,0.0,0.99999999999179823,1.0,19.0,8.8088981519816985e-13,2.9487450099466445e-13,3.5130199259244893e-12,3.5130197115233321e-12,1.5944767772888303e-17,1.084396291620853e-18,8.2741370837524373e-19,7.7973123987166783e-19,1.5836646678089652e-17,7.9522876411167065e-27,5.1437223998487102e-22,7.3770788856583238e-23,8.9383865219314782e-30,8.9383847028810813e-30,1.5867989443598133e-36,7.9719978016881287e-30,2.322514538986981e-37,3.6689259475301831e-23,2.6558019698394842e-67,2.5534953855532507e-67,2.5534953855788023e-67,1.0090401489668079e-31,3.6937721093837964e-35,7.2345247532020318e-27,3.8492871269925561e-32,1.5504864103269939e-36,2.1822679801534164e-40,4.0116545962969802e-48,2.2241362321295205e-55,2.6510071477221113e-57,5.0499300612196636e-65,1.8251639349286945e-68,3.8092451221514772e-66
2.5253948675675877e-16,0.47856140550403486,1.6500873865462695e-19,7.4250156960752814e-30,7.4249493272915909e-30,1.8210568769364228e-46,2.1280775067036756e-38,0.0,0.0,4.5184895729587409e-19,6.0025561611091477e-32,154.0,0.0,0.9999999999835959,1.0,19.0,1.7618274242276515e-12,5.8969995731952421e-13,7.0262282865132146e-12,7.0262274615242865e-12,6.3775636969681792e-17,4.3377592748793614e-18,2.6606587099216919e-18,3.1189487702983596e-18,6.3343175877202781e-17,5.0189191388579213e-26,2.0575720246129315e-21,2.9509504897236814e-22,7.151046110929892e-29,7.1510432009926412e-29,2.5383368529646049e-35,6.3773381891115073e-29,3.7160039845287001e-36,1.4676296644030337e-22,3.3998366838935471e-65,3.2688684575049063e-65,3.2688684575703295e-65,8.0727085210466672e-31,2.9551567021486058e-34,3.7413962354752131e-26,3.0500811387655068e-31,1.2402728604715451e-35,3.4913291569810591e-39,1.2836242048701387e-46,1.4233330699832592e-53,1.6965086342316827e-55,6.4633986612244755e-63,2.3360273090430359e-66,4.8487940101503616e-64
5.050858242713711e-16,0.47856140550403486,3.3002199621921937e-19,2.9700612077284317e-29,2.9700404771003279e-29,1.4577611027683028e-45,1.7025025872934168e-37,0.0,0.0,9.0429714890575424e-19,2.4024155761381884e-31,154.0,0.0,0.99999999996719136,1.0,19.0,3.5237026420082243e-12,1.1791558079390953e-12,1.4052638499911442e-11,1.405263702908853e-11,2.5505951451459642e-16,1.7351371009802206e-17,7.5812939497389628e-18,1.2475225504408038e-17,2.533299619530372e-16,2.8117357209435077e-25,8.2304511564518879e-21,1.180403299574793e-21,5.7209685563796262e-28,5.7209639025725549e-28,4.0592979567713428e-34,5.1010913472318434e-28,5.9450911422683944e-35,5.8706351403256418e-22,4.3519902957670167e-63,4.1843432914797876e-63,4.1843432916472791e-63,6.4583267030742541e-30,2.3641796333947069e-33,1.7450041549039989e-25,2.3942155867107977e-30,9.9196170545775925e-35,5.5847422334631987e-38,4.106600298497356e-45,9.107142016288962e-52,1.0855046411506211e-53,8.2711727655609891e-61,2.9894065155982999e-64,6.1378602615803179e-62
7.576321617859835e-16,0.47856140550403486,4.9503528576423191e-19,6.3114188622052775e-29,6.3113742508221199e-29,4.32923447356927e-45,4.8681232961222886e-37,0.0,0.0,1.3571855786556477e-18,5.1071396617801348e-31,154.0,0.0,0.99999999995078681,1.0,19.0,5.2855778595104075e-12,1.7684166610568569e-12,2.1079042205542937e-11,2.107904131230075e-11,5.4193389851369593e-16,3.6871856013922133e-17,1.3108528193129416e-17,2.6508804494359716e-17,5.3825905750999582e-16,6.7241141137217752e-25,1.7489807529526081e-20,2.508370682194259e-21,1.6358487414496534e-27,1.6358470289209993e-27,1.4937203736508147e-33,1.45845434572322e-27,2.1880828057698646e-34,1.2475170338529094e-21,2.2454695448536412e-62,2.158969756705678e-62,2.1589697568085084e-62,1.8466904846549897e-29,6.7601144638755368e-33,3.8907307023837095e-25,6.7721763514325089e-30,2.8359477956869227e-34,2.0552975676161912e-37,1.8747315740456004e-44,5.0032987368368135e-51,5.963565924710593e-53,5.3356410535981921e-60,1.9284339837075248e-63,3.9465251637732556e-61
1.010178499300596e-15,0.47856140550403486,6.6004860728963944e-19,1.0766578005661361e-28,1.0766496464167047e-28,9.4366125238490533e-45,1.0268317110435136e-36,0.0,0.0,1.8105142462263865e-18,8.7153116978857634e-31,154.0,0.0,0.99999999993438227,1.0,19.0,7.0474530767341995e-12,2.357482581179801e-12,2.8105439403420176e-11,2.8105440624903256e-11,9.2436716673422924e-16,6.2899201795898161e-17,1.8929158276093386e-17,4.521914659405346e-17,9.1809905474502679e-16,1.2298017595871962e-24,2.9835638960304989e-20,4.27899659847799e-21,3.4504891107235368e-27,3.4504847682621949e-27,3.7875413685630682e-33,3.0760301422054631e-27,5.5491997341376557e-34,2.1281233724617274e-21,1.2249926750461914e-61,1.1778036107455808e-61,1.177803610802825e-61,3.8952219937204957e-29,1.4259081980114602e-32,6.8127062810448487e-25,1.414560328888987e-29,5.9809755248223212e-34,5.2120776818430721e-37,5.5875050244557701e-44,1.7200957137461016e-50,2.05022826674963e-52,2.0835600265039212e-59,7.5305156182505843e-63,1.5364657063436947e-60
1.5152711743298207e-15,0.47856140550403475,9.900753253964081e-19,2.2290930967473996e-28,2.2290734819797855e-28,2.74120856222521e-44,2.8046057948173139e-36,0.0,0.0,2.7182047916034987e-18,1.8054739803623818e-30,154.0,0.0,0.99999999990157318,1.0,19.0,1.057120351052842e-11,3.5351571256412379e-12,4.2158218525912598e-11,4.2158227992138079e-11,1.9134065014293106e-15,1.3022505848931616e-16,3.0852925909548047e-17,9.3614235622875236e-17,1.9004317370039837e-15,2.741206813016518e-24,6.1771063274579016e-20,8.8591390519019569e-21,9.4243825368121314e-27,9.4243673562486181e-27,1.3240134122123555e-32,8.4003349282143541e-27,1.9404293905888853e-33,4.406020774636745e-21,1.7013165347134117e-60,1.6357785635286046e-60,1.6357785636190346e-60,1.0639122267382212e-28,3.8946085774482232e-32,1.4478882581908234e-24,3.8017824814002141e-29,1.633195417287396e-33,1.8223299609774393e-36,2.445351217863434e-43,9.2496504053638672e-50,1.1024907262824888e-51,1.3550488880117546e-58,4.8975151192036724e-62,9.9390402005070192e-60
2.0203638493590454e-15,0.4785614055040349,1.3201021611062941e-18,3.7911158096619721e-28,3.7910772255064468e-28,5.9984959290261084e-44,5.8681857845926993e-36,0.0,0.0,3.627514245852448e-18,3.0723820976872293e-30,154.0,0.0,0.99999999986876409,1.0,19.0,1.4094953943298897e-11,4.7121153675129157e-12,5.6210973717175328e-11,5.6210997928604083e-11,3.2535873978886731e-15,2.2147885924912458e-16,4.3012155521810937e-17,1.592029738670241e-16,3.2315248983674681e-15,4.8771141738363536e-24,1.0505653977683625e-19,1.5067089840293451e-20,1.9718989639912015e-26,1.9718951718642855e-26,3.3072983559907354e-32,1.7573959062788496e-26,4.8482855996535453e-33,7.4934973790454804e-21,7.8207288593865163e-60,7.5194594087313524e-60,7.5194594092002734e-60,2.2260697717930236e-28,8.148836001525788e-32,2.5000116773073817e-24,7.8421339640216025e-29,3.4164556197427132e-33,4.5527622995342486e-36,7.1236519040904984e-43,3.0823907356798078e-49,3.6739846199530303e-51,5.0867970885869423e-58,1.8385110264788942e-61,3.7172144916664037e-59
2.5254565243882704e-15,0.47856140550403475,1.6501291228193614e-18,5.7919845045046202e-28,5.7919167252581527e-28,1.1261252976883453e-43,1.0682823910845969e-35,0.0,0.0,4.538558243233235e-18,4.6966296575941787e-30,154.0,0.0,0.999999999835955,1.0,19.0,1.7618704374972515e-11,5.8883065730210867e-12,7.0263703267918278e-11,7.0263749394334702e-11,4.9697802625491859e-15,3.3836965948046215e-16,5.5222178667723037e-17,2.4320987796210681e-16,4.9360802996326412e-15,7.6847307335507679e-24,1.6050277266927836e-19,2.3019116988116728e-20,3.5897697537137374e-26,3.5897617106360945e-26,7.0145302677837941e-32,3.1988347092853474e-26,1.0285473757129158e-32,1.1448379291935668e-20,2.8874307652393935e-59,2.7762014041609719e-59,2.7762014043490948e-59,4.0524900998113586e-28,1.4834657519764145e-31,3.8579772190966564e-24,1.4072546904899816e-28,6.2181614856574493e-33,9.6575751428528908e-36,1.7293541207518591e-42,8.4379796201528052e-49,1.005745579683883e-50,1.5514281751468896e-57,5.6073122886057563e-61,1.1294372652356571e-58
3.53564187444672e-15,0.47856140550403486,2.310183432168751e-18,1.1137841324498875e-27,1.1137669057813775e-27,3.0863038440495199e-43,2.8205868152280657e-35,0.0,0.0,6.3659588071897929e-18,9.0435930374804517e-30,154.0,0.0,0.99999999977033693,1.0,19.0,2.4666205234960253e-11,8.2383426098947814e-12,9.8369083837821954e-11,9.8369195956175926e-11,9.5523914589183592e-15,6.5067206010373334e-16,7.9619381030995573e-17,4.6761071052076504e-16,9.4876169174163029e-15,1.5358895483691663e-23,3.086412825919761e-19,4.4264925998786558e-20,9.4780551708155121e-26,9.4780257314158021e-26,2.5671959109216356e-31,8.442699726992425e-26,3.7674406015508974e-32,2.2014837797963132e-20,3.5397623233890135e-58,3.4034039101150006e-58,3.4034039105016456e-58,1.0699849672146823e-27,3.9167892639849069e-31,7.5102457854438593e-24,3.5773006230383374e-28,1.6407914473289544e-32,3.5363067476231602e-35,8.9417684299189964e-42,6.2995879154134632e-48,7.5086503675643523e-50,1.7161069284702833e-56,6.2025865302545734e-60,1.223592088556783e-57
5.556012574563619e-15,0.47856140550403486,3.630293585113021e-18,2.7173239213397858e-27,2.7172590422390088e-27,1.2299115718357429e-42,1.0906789074118278e-34,0.0,0.0,1.0041880162118473e-17,2.2127357940754332e-29,154.0,0.0,0.99999999963910102,1.0,19.0,3.8761206941579952e-11,1.2929103184684606e-11,1.5457953277576147e-10,1.5457986505077301e-10,2.3282241053119577e-14,1.5874358650144215e-15,1.2839166834718371e-16,1.1404419532887784e-15,2.3124364724949361e-14,3.8891407377347509e-23,7.5299074355922376e-19,1.0799272499238901e-19,3.6650079977988666e-25,3.6649893708885046e-25,1.6238999569843864e-30,3.2618469456262102e-25,2.387910792281996e-31,5.370950126202401e-20,9.8961488937555938e-57,9.5149303681856322e-57,9.51493037025706e-57,4.1375161477324409e-27,1.5145583772235717e-30,1.8534910777225305e-23,1.2746230459755186e-27,6.3359402681157539e-32,2.2396663936479838e-34,9.6536689635234101e-41,1.2038358243021425e-46,1.4348853805230317e-48,6.0011121830990727e-55,2.1690426420002087e-58,4.0646281208119987e-56
7.576383274680517e-15,0.47856140550403486,4.9504057854684653e-18,5.0339797221303918e-27,5.0338200358153708e-27,3.087978665094709e-42,2.706796504062138e-34,0.0,0.0,1.3745985922252923e-17,4.110030179191722e-29,154.0,0.0,0.99999999950786544,1.0,19.0,5.2856208630376645e-11,1.7607460259570661e-11,2.1078956509102412e-10,2.1079023535281028e-10,4.3092460017128216e-14,2.9407651455419072e-15,1.7715351173610685e-16,2.112047341544535e-15,4.2800251060893956e-14,7.3345059947203591e-23,1.3949391537583792e-18,2.0005956667897748e-19,9.095618120273197e-25,9.0955575326846278e-25,5.2811208207292386e-30,8.0895008904025752e-25,7.7763803627478497e-31,9.9498550092496763e-20,6.6100570513773364e-56,6.3554250625049458e-56,6.3554250641313195e-56,1.0268387397793827e-26,3.7587497238526349e-30,3.4520875114484106e-23,2.9682464952142324e-27,1.5706862504551427e-31,7.2897494947903345e-34,4.0268304101788919e-40,6.2724638289690233e-46,7.4763256980880528e-48,3.8089275403277076e-54,1.3767110940563343e-57,2.5274693660463749e-55
1.1617124674914315e-14,0.47856140550403475,7.5906363264996152e-18,1.1806086027805772e-26,1.1805509446861316e-26,1.1362495398008604e-41,9.8311338310031938e-34,0.0,0.0,2.123872435764387e-17,9.6941081617602995e-29,154.0,0.0,0.99999999924539507,1.0,18.999999999999989,8.1046211954517143e-11,2.6927143285990284e-11,3.2320838026304637e-10,3.232100812304976e-10,1.0086607324676076e-13,6.8967106595340758e-15,2.7467849072994752e-16,4.9498966650419824e-15,1.0018210278072874e-13,1.7500470091120055e-22,3.2714487839516218e-18,4.6918318219483251e-19,3.3035191577116051e-24,3.3034846174679588e-24,3.0092484709198735e-29,2.9332118805084242e-24,4.4477589375711582e-30,2.3334667937991937e-19,1.6237525897792211e-54,1.5612025622463787e-54,1.5612025629320255e-54,3.7295716905592858e-26,1.3651748401237773e-29,8.1348739604489163e-23,9.3956669808982885e-27,5.6895453498281681e-31,4.16333578575567e-33,3.6973488587819015e-39,9.4436966902404996e-45,1.1256216849727083e-46,9.5844331579768126e-53,3.4643720446182323e-56,5.8477995505050891e-54
