Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150)
2.3727805086875865e-22,0.6093546562984798,2.8074468431553988e-18,3.3339860173048146e-30,2.4427785512806055e-33,8.277366263449053e-52,1.1953562988926091e-47,0.0,0.0,6.3290734650936341e-20,1.9769516915213743e-37,154.0,0.0,0.99999999999975886,1.0,19.0,8.7776336620999161e-16,2.3008339335860363e-13,5.1415968818293396e-15,5.1444676194055391e-15,3.4356355513623955e-23,3.2869278579178554e-27,3.2887466925925396e-27,1.6054635478269029e-27,9.1256541292012661e-23,8.9856902371274085e-40,2.9467635243776845e-29
4.747622512169863e-22,0.6093546562984797,5.6173328234455086e-18,6.6757584349607947e-30,9.7774802697510733e-33,6.6286062503122727e-51,9.5701188177979066e-47,0.0,0.0,1.2663645691178135e-19,7.9129588513663587e-37,154.0,0.0,0.99999999999951739,1.0,19.0,1.756289341773485e-15,4.6036668515333383e-13,1.0287660833050895e-14,1.0293404802324822e-14,1.3751495723570231e-22,1.3156277412474207e-26,1.3163491946925678e-26,6.4260381474099195e-27,3.6526398640487274e-22,7.1936715252017373e-39,1.1794733584871005e-28
9.497306519134416e-22,0.6093546562984798,1.1237104784022847e-17,1.3373979043402879e-29,3.9122656836821428e-32,5.3055716085664557e-50,7.6590036681560652e-46,0.0,0.0,2.5332790144482447e-19,3.1662142515543368e-36,154.0,0.0,0.99999999999903444,1.0,19.0,3.5133412928996123e-15,9.2093326797779586e-13,2.0579788735464308e-14,2.0591279168124037e-14,5.5023894994724981e-22,5.264224649152946e-26,5.2670589509108509e-26,2.5712522870714783e-26,1.46153172260731e-21,5.7565724329027004e-38,4.7194297691314083e-28
1.899667453306352e-21,0.6093546562984797,2.2476648705166012e-17,2.6829123352807509e-29,1.5651610249141769e-31,4.2455321928937049e-49,6.1283666287354801e-45,0.0,0.0,5.0671079055632331e-19,1.2666918724213996e-35,154.0,0.0,0.99999999999806866,1.0,19.0,7.0274451951484324e-15,1.8420664305667256e-12,4.1164044540172337e-14,4.118702789956508e-14,2.2013140896971419e-21,2.106032645121648e-25,2.1071245833149623e-25,1.0286683430238336e-25,5.8470785716338913e-21,4.6052509030991149e-37,1.8880792184538226e-27
3.799541056092173e-21,0.6093546562984798,4.4955736547406279e-17,5.397422434169813e-29,6.261153638819352e-31,3.3968557696009464e-48,4.9031588303922965e-44,0.0,0.0,1.0134765689609709e-18,5.0671798645065868e-35,154.0,0.0,0.99999999999613698,1.0,19.0,1.4055652999632328e-14,3.6843327435046094e-12,8.233255614911321e-14,8.2378525361817673e-14,8.8059729645619915e-21,8.424816198655726e-25,8.4288485617604018e-25,4.1150082421398372e-25,2.3390217717892611e-20,3.6831405239519504e-36,7.5529315391309707e-27
7.599288261663815e-21,0.6093546562984798,8.9913912231702614e-17,1.0920367579980093e-28,2.5045633669842927e-30,2.7176566328906201e-47,3.9227132852051588e-43,0.0,0.0,2.0270081264968656e-18,2.0269544251878393e-34,154.0,0.0,0.99999999999227362,1.0,19.0,2.8112068608545149e-14,7.3688653204204789e-12,1.6466957936509424e-13,1.6476152028380497e-13,3.5225324920214961e-20,3.3700636067172529e-24,3.3714080404987814e-24,1.646070265094463e-24,9.3564677336982088e-20,2.9443986688593816e-35,3.0212955530456469e-26
1.51987826728071e-20,0.6093546562984798,1.7983026359955839e-16,2.2341957663726213e-28,1.0018457294442481e-29,2.1741941162497931e-46,3.1382451184839528e-42,0.0,0.0,4.0540712444750559e-18,8.107982674333508e-34,154.0,0.0,0.99999999998454703,1.0,19.0,5.6224899826150904e-14,1.4737930278412621e-11,3.2934362578945323e-13,3.2952751011770968e-13,1.4090416425091814e-19,1.3480528676170823e-23,1.3483758339416011e-23,6.5844149339983593e-24,3.7426631815144766e-19,2.3519769445101605e-34,1.2085428090969715e-25
3.0397771495093666e-20,0.6093546562984798,3.5966296633232254e-16,4.6687936999696036e-28,4.0074236834118217e-29,1.7393828189202223e-45,2.5106258912715073e-41,0.0,0.0,8.1081974920570368e-18,3.2432260742435946e-33,154.0,0.0,0.99999999996909383,1.0,19.0,1.1245056226048288e-13,2.9476059411038562e-11,6.5869171860775975e-13,6.5905948974525043e-13,5.6362237335554711e-19,5.3922663127448331e-23,5.3918403949697434e-23,2.6337926963688859e-23,1.4970804562455146e-18,1.8758726298175479e-33,4.834220412281825e-25
6.07957491396668e-20,0.6093546562984797,7.1932837178606076e-16,1.0139109234534895e-27,1.6029776265047073e-28,1.3915172680291003e-44,2.0085126316242355e-40,0.0,0.0,1.6216450033723394e-17,1.2972970382289211e-32,154.0,0.0,0.99999999993818733,1.0,19.0,2.2490188712562861e-13,5.8952314542857445e-11,1.3173879041227256e-12,1.3181234488393481e-12,2.2545008234627749e-18,2.1569174871449668e-22,2.1553741000629007e-22,1.0535223813709412e-22,5.9883519195741377e-18,1.4916175786140472e-32,1.9336979998944304e-24
1.2159170442881307e-19,0.6093546562984798,1.4386591826463772e-15,2.3484218972993149e-27,6.4119268121488916e-28,1.1132182235024802e-43,1.6068148726520721e-39,0.0,0.0,3.2432955303065706e-17,5.1892014308086486e-32,154.0,0.0,0.99999999987637433,1.0,19.0,4.4980453684184732e-13,1.1790481227276577e-10,2.6347802746660698e-12,2.6362513663843244e-12,9.0180251322698975e-18,8.6276918210753154e-22,8.6105536346189032e-22,4.2140997971204038e-22,2.3953465685033296e-17,1.1790073509905512e-31,7.7348116676597016e-24
