Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402)
0.0,0.43052961391556177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5455495869353287e-22,0.43052961391556177,3.4056477521891795e-22,7.4498860907040586e-36,7.6189728303378999e-38,1.4027050362454497e-58,3.6273667316405116e-52,0.0,0.0,1.044133721974349e-22,6.9027389816701093e-41,154.0,0.0,0.99999999999999944,1.0,19.0,2.2563138948548933e-17,1.9428411518525503e-16,1.4007937510354351e-16,1.4007982008162912e-16,2.3241845621083136e-26,1.0374526500822562e-28,1.037453902795482e-28,6.1973025723764131e-29,3.681534405233938e-26,8.0577434166330397e-42,1.9195490882778726e-31,1.8732337369516048e-31,2.1474988944436657e-43,2.1474988944425625e-43,9.5007977601134011e-56,8.3066972329137342e-43,1.5290719859384501e-56
4.327538843418921e-22,0.43052961391556177,9.5358137061295519e-22,2.1106535773674308e-35,4.6018595895240099e-37,2.1197678510511099e-57,4.3064103258827897e-51,0.0,0.0,2.9235744219787023e-22,4.1692543455107782e-40,154.0,0.0,0.99999999999999867,1.0,19.0,6.3176789055936945e-17,5.4399552232053196e-16,3.9222225028958456e-16,3.9222349622802416e-16,1.4038074750866751e-25,6.2662140064649692e-28,6.2662096589011718e-28,3.7431707530535764e-28,2.2236467800853265e-25,9.5660947550695197e-41,1.1594076493185086e-30,1.1314331771167032e-30,2.5495106874792561e-42,2.5495106874767884e-42,2.1252904535244924e-54,9.8617109521677698e-42,3.420472868717455e-55
9.891517356386104e-22,0.43052961391556177,2.1796145614009694e-21,4.9407254018426528e-35,2.2155972990621389e-36,2.2803495242375611e-56,4.2280594321524961e-50,0.0,0.0,6.6824558237895086e-22,2.0073164967414026e-39,154.0,0.0,0.99999999999999689,1.0,19.0,1.444040892707127e-16,1.2434183357983563e-15,8.9650800066031781e-16,8.9651084851866505e-16,6.758728700209769e-25,3.0169123063914132e-27,3.0168980784215179e-27,1.8021755870543962e-27,1.0705902040280705e-24,9.3919252183489122e-40,5.5820487486921601e-30,5.4473637070242716e-30,2.5031247113503179e-41,2.5031247113454428e-41,4.1992157844848169e-53,9.6822862861672508e-41,6.7582779855132251e-54
2.101947438232047e-21,0.43052961391556177,4.6316809429767578e-21,1.0995836602317747e-34,9.6760954945278657e-36,2.0960340835357746e-55,3.7396707808249829e-49,0.0,0.0,1.4200218634619519e-21,8.7664785157228372e-39,154.0,0.0,0.99999999999999334,1.0,19.0,3.0685868970026324e-16,2.6422639595830879e-15,1.9050795013963878e-15,1.9050855530913483e-15,2.9517143872629748e-24,1.3175648655550843e-26,1.3175479900852249e-26,7.8705742566605076e-27,4.6755486841695277e-24,8.3068320955437969e-39,2.4378273420923415e-29,2.3790068458965102e-29,2.2139854601878831e-40,2.2139854601792081e-40,7.4722800909037873e-52,8.5638725613590436e-40,1.2025994567166842e-52
4.32753884341892e-21,0.43052961391556177,9.5358137061273709e-21,2.4685929209366234e-34,4.0395793946440149e-35,1.7932012895078923e-54,3.1434186607538936e-48,0.0,0.0,2.9235744285113131e-21,3.6598322161804859e-38,154.0,0.0,0.99999999999998623,1.0,19.0,6.3176789055936026e-16,5.4399551944688846e-15,3.9222225028469458e-15,3.9222349622023235e-15,1.2322826488767026e-23,5.5005739502916926e-26,5.5004143969496234e-26,3.2858098146421895e-26,1.9519495322252185e-23,6.9820238379557052e-38,1.0177449265864264e-28,9.9318852730291624e-29,1.860988181892209e-39,1.860988181877578e-39,1.260309242880981e-50,7.1984508824375473e-39,2.0283597544416629e-51
8.778721653792666e-21,0.4305296139155617,1.9344079232424747e-20,5.8385595247853885e-34,1.6502999909415458e-34,1.4826535064907549e-53,2.5771645503255682e-47,0.0,0.0,5.93067957014347e-21,1.4951608812417362e-37,154.0,0.0,0.99999999999997191,1.0,19.0,1.2815862922775377e-15,1.1035337613505816e-14,7.9565085056617327e-15,7.9565337802867171e-15,5.0342766785059658e-23,2.2471639378078885e-25,2.2470259435311774e-25,1.3423605185707774e-25,7.9743507032738221e-23,5.7236798410400156e-37,4.1578201070167595e-28,4.0574992033426074e-28,1.5257505476410232e-38,1.5257505476169908e-38,2.0700616778220687e-49,5.9017249169457021e-38,3.3315869712148978e-50
1.7681087274540162e-20,0.4305296139155619,3.8960610285004073e-20,1.5106285062237206e-33,6.6707764236487445e-34,1.2056692134172644e-52,2.087054676293153e-46,0.0,0.0,1.1944889899541522e-20,6.0436793663155383e-37,154.0,0.0,0.99999999999994327,1.0,19.0,2.5812230957138264e-15,2.2226102248641017e-14,1.6025080510945964e-14,1.6025131415905299e-14,2.0349351035241745e-22,9.0833959256469672e-25,9.0822495294228535e-25,5.4260358083441308e-25,3.2233600197596678e-22,4.6342044969269366e-36,1.6806573650146657e-27,1.6401060517197554e-27,1.2355923511621821e-37,1.2355923511232249e-37,3.3556590612972724e-48,4.7793698040351075e-37,5.4006459955205459e-49
3.5485818516035147e-20,0.43052961391556177,7.819367239010109e-20,4.3752905456142124e-33,2.6822898608053369e-33,9.7241590741666327e-52,1.6798431755039101e-45,0.0,0.0,2.3973310742872586e-20,2.4301369151914814e-36,154.0,0.0,0.99999999999988598,1.0,19.0,5.1804967025861419e-15,4.4607630707156811e-14,3.2162224520133111e-14,3.2162326684941983e-14,8.1823843819929866e-22,3.6523935502100322e-24,3.6514593229164266e-24,2.18178510766513e-24,1.2960988602312412e-21,3.7284345923244434e-35,6.7578493462007526e-27,6.5947942986593104e-27,9.9451221820488464e-37,9.9451221814214516e-37,5.4041850713377003e-47,3.8468525395964374e-36,8.6975737135712829e-48
7.109528099902513e-20,0.43052961391556177,1.5665979660004852e-19,1.4149082351982994e-32,1.07571820252652e-32,7.8109735262371133e-51,1.3479683564591241e-44,0.0,0.0,4.8030153167674566e-20,9.7459361202087654e-36,154.0,0.0,0.99999999999977152,1.0,19.0,1.0379043916329723e-14,8.9370684377170219e-14,6.4436512532982092e-14,6.4436717214215916e-14,3.2815019672463369e-21,1.4647731699129806e-23,1.4640190378645003e-23,8.7499338980466132e-24,5.197935908455396e-21,2.9893072012057102e-34,2.7101998396033422e-26,2.64480747248794e-26,7.9803342273215551e-36,7.980334226314448e-36,8.6749126092339777e-46,3.0868567772055061e-35,1.3961531487888206e-46
