Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473),C7H15(65)
0.0,0.8459656069051172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.215033650236865e-21,0.8459656069051172,6.7385773051274546e-23,1.6075529997276423e-37,1.094728602344044e-37,1.0087545212993305e-51,1.0268244554278735e-50,0.0,0.0,4.6527789477598587e-23,2.3192531904226856e-40,154.0,0.0,0.99999999999999911,1.0,19.0,1.2404603464667772e-16,1.280124697471352e-16,3.1482163062658355e-16,3.1482174234213561e-16,5.4507979752243341e-25,4.290628885241527e-27,4.2904641732090462e-27,2.8948244309745673e-27,6.3508897413358096e-25,5.7456667906661126e-39,3.2159915336914407e-30,1.6614263684252843e-30,2.8884987372584437e-41,2.8884987372278741e-41,2.6560098476495306e-52,7.8780268888883579e-41,4.0094249943995613e-53,2.3393734321967689e-31,1.5324106095471805e-94,1.4597226612026836e-94,1.459722661202689e-94,3.5293399240280027e-44,5.8037999563207279e-47,7.7519299194704947e-39,1.7810132411115885e-44,4.6165634956179802e-48,9.8886581419638966e-56,2.1929810603592737e-67,6.8398750084064159e-79,3.3280681054459867e-80,3.5027402215443385e-92,5.6262219062129954e-96,6.3016828645655301e-93,7.3750281232701968e-82,4.5340133453955456e-90,6.7614987448483566e-41,1.9930046965067725e-39,2.7162185464237809e-50,3.3819345343201612e-51,3.6734456966544079e-51,5.9131445251104052e-56,6.7992014760425652e-62,3.6372882400576264e-62,5.6927309303806462e-69,1.5247547908230445e-80,1.360577396275323e-69,1.8542972985359746e-80,2.3087541224473594e-81,1.2510674942553975e-80,6.0155528987345746e-82,6.0155528987283503e-82,1.4355285585533173e-94,3.2974959369398823e-70,2.3233195088992999e-73,3.9768389787234043e-84,1.342064361150783e-94,2.7099694754448518e-95,2.377643213006526e-106,4.2429444947493279e-107,2.6871402519623519e-120,1.1020380941314433e-74,2.7334992517159729e-83,5.7916306390966201e-94,2.5583192421853464e-121,7.9793593133887521e-133,4.085954667784124e-133,1.1621582937584992e-85,1.3371761510983253e-42,9.1120136339284208e-54,9.1119968706824267e-54,6.0794218397732899e-54,3.3028700698436665e-89,6.0124163905850423e-98,1.0042776160714516e-94,8.1941762517678466e-109,5.5284903611794024e-109,1.0202450963949217e-109,2.1951169454292498e-24
1.740209422066322e-20,0.8459656069051172,1.8868016454429584e-22,8.0480690712724633e-37,6.612160758178709e-37,1.5244298325554441e-50,1.2190460016857396e-49,0.0,0.0,1.3027781205167675e-22,1.4008289407913232e-39,154.0,0.0,0.99999999999999756,1.0,19.0,3.4732889701069499e-16,3.5843491138511949e-16,8.8150056574052426e-16,8.8150087853469784e-16,3.2922819470916175e-24,2.5915398465260553e-26,2.5913434191920975e-26,1.7484739496118375e-26,3.8359373688783082e-24,6.8208394737471358e-38,1.9424588863068185e-29,1.003501526498766e-29,3.4292257007790116e-40,3.4292257007106284e-40,5.9413876282180358e-51,9.3527934445656937e-40,8.9689232801898348e-52,1.4129815530267599e-30,1.6329024194680486e-92,1.5554477699256267e-92,1.5554477699256369e-92,4.190032442545202e-43,6.8902713079332591e-46,9.2013708235123782e-38,2.1144168859513157e-43,5.4807840778869402e-47,2.2120532315796508e-54,9.0493975887661107e-66,5.1488870930008814e-77,2.5052865574115997e-78,4.7812230579434439e-90,7.6797653709891579e-94,8.6017619883095833e-91,5.5517369934771878e-80,3.4806004707346192e-88,8.0272512430046045e-40,1.203774836644441e-38,3.2246946580534514e-49,4.0150326390785105e-50,4.3611137874722376e-50,7.1135570318893228e-55,1.5208399004551369e-60,8.1358916508508641e-61,1.2896389188902394e-67,6.3700343186654273e-79,3.0822703265349774e-68,7.746775756430027e-79,9.645339369899565e-80,5.2266397295855958e-79,2.513144123889318e-80,2.513144123884585e-80,1.0938640855575041e-92,1.3607212597035524e-68,9.5872429486324039e-72,2.9936651033784651e-82,1.8319112283815937e-92,3.6990949554094648e-93,5.8656245686475241e-104,1.0467306369924874e-104,1.1959343429711764e-117,4.6904840628752824e-73,2.1215078291729191e-81,4.413187543483473e-92,1.1386014703962387e-118,6.4002849694767744e-130,3.2773651642347794e-130,4.8552104622907174e-84,1.5874955209896345e-41,2.0383184027866385e-52,2.0383114854139218e-52,1.3599423432908467e-52,1.3798546260755539e-87,4.5814249449563296e-96,7.7493922964453632e-93,1.1320981864299614e-106,7.6381020413445909e-107,1.4095558213359736e-107,6.14632744720344e-24
3.9776215361515934e-20,0.8459656069051172,4.3126894753324685e-22,3.5116783904826216e-36,3.1834707756475064e-36,1.6399120500799569e-49,1.1968665968991207e-48,0.0,0.0,2.9777786325743584e-22,6.744388484335702e-39,154.0,0.0,0.99999999999999434,1.0,19.0,7.9389462173871878e-16,8.1927977903365181e-16,2.0148584359127677e-15,2.0148591508267021e-15,1.5850920062794162e-23,1.2477148795884966e-25,1.2475215802457523e-25,8.4181493448220764e-26,1.8468386844476731e-23,6.6958593421470715e-37,9.3521033793325577e-29,4.8314278789291462e-29,3.3668341278563837e-39,3.3668341277212708e-39,1.1739180049538567e-49,9.1826279001283206e-39,1.7721080769768968e-50,6.8028979405268648e-30,3.7161038539614895e-90,3.5398351937902295e-90,3.5398351937902762e-90,4.1137987359664594e-42,6.7649092284342272e-45,9.0303184398928878e-37,2.0759427287736494e-42,5.3810660877490806e-46,4.3706442491566477e-53,3.5798515530452607e-64,4.0710700432013694e-75,1.9808546719955548e-76,7.5531603202162284e-88,1.2132146819889719e-91,1.3588661398425036e-88,4.3895913338769048e-78,3.5779277733884154e-86,7.8812027296692155e-39,5.7956576567569729e-38,3.1660243369029065e-48,3.9419827689977996e-49,4.2817653788745082e-49,7.1821238668996754e-54,3.0044293415234443e-59,1.6072657909866787e-59,2.6181510685660315e-66,2.5882056753308255e-77,6.2574486784558644e-67,3.1475865029898146e-77,3.9189547229545658e-78,2.1236341971242735e-77,1.0211148310989369e-78,1.0211148310953096e-78,8.8816843080126636e-91,5.3828784982643442e-67,3.7926179183521748e-70,2.3670009486888565e-80,2.8939707236591364e-90,5.8436633430867062e-91,1.8516031788799892e-101,3.3042173692792042e-102,7.5454125425671339e-115,2.1133656950469255e-71,1.9083350314397584e-79,3.5833097613125784e-90,7.1836868523815546e-116,8.0724924094520699e-127,4.1336449140059344e-127,1.9727209615419828e-82,1.5586125043778947e-40,4.0273624391128693e-51,4.0273350749163392e-51,2.6870168806571162e-51,5.6064831517111721e-86,3.7199109510332244e-94,8.444269013368035e-91,1.8364389298918202e-104,1.2390193483048594e-104,2.2865061480134561e-105,1.4048748450757978e-23
8.452445764322136e-20,0.8459656069051172,9.1644651352278289e-22,1.4600494435238105e-35,1.3903053250089984e-35,1.5073617058582967e-48,1.0586149523142315e-47,0.0,0.0,6.3277798989936524e-22,2.9454517652844644e-38,154.0,0.0,0.99999999999998801,1.0,19.0,1.6870260711947236e-15,1.7409694518209764e-15,4.2815741760346999e-15,4.2815756950382941e-15,6.9225129644047754e-23,5.4490986817794444e-25,5.4473872431118049e-25,3.6764269235374476e-25,8.0656294307244309e-23,5.9208446037206575e-36,4.084309247124631e-28,2.1100114874334792e-28,2.9779266575506453e-38,2.9779266573102197e-38,2.0889241193685819e-48,8.1219300940924605e-38,3.1533715541456754e-49,2.9710042585785216e-29,6.2800512283671779e-88,5.9821649853233324e-88,5.982164985323492e-88,3.638608409831639e-41,5.983485601596687e-44,7.9807431988815489e-36,1.8361401704711446e-41,4.7594916236815804e-45,7.7773272981254294e-52,1.2776234909973947e-62,2.9098304129533751e-73,1.4158319820867114e-74,1.0804548741288507e-85,1.7354639286853587e-89,1.9438095955378641e-86,3.1374960953670517e-76,2.8681605258806261e-84,6.9708343106042101e-38,2.5311159638560914e-37,2.8003126709229509e-47,3.4866389666706298e-48,3.7871694326221385e-48,6.7047164038729718e-53,5.3444561643702388e-58,2.8591527352751814e-58,4.909268814114796e-65,9.7261620327867968e-76,1.1733279266943342e-65,1.182822945735361e-75,1.4726663975502705e-76,7.9803637967945304e-76,3.8372284162138701e-77,3.8372284161871355e-77,6.6818678398904497e-89,1.9211111482567121e-65,1.3535583596659809e-68,1.6918332596735428e-78,4.1397306571159744e-88,8.3591696486661241e-89,5.2990502250078857e-99,9.4562460788514442e-100,4.3195006690185089e-112,7.9116255376953249e-70,1.4320131096089753e-77,2.6957952370453171e-88,4.1124246012098506e-113,9.2432177228546768e-124,4.7331329648841633e-124,7.4132547361589959e-81,1.3785750883175118e-39,7.1664360994779483e-50,7.1663384403375921e-50,4.7814029015781978e-50,2.1068498535649283e-84,2.7985630118200475e-92,6.9076678620813735e-89,2.7645063275469163e-102,1.8651753158726251e-102,3.4419841077426755e-103,2.9853590457891698e-23
1.7402094220663222e-19,0.845965606905117,1.8868016455483902e-21,5.9478418851800681e-35,5.8042510499167188e-35,1.2895796745539833e-47,8.8982965434385605e-47,0.0,0.0,1.3027783401048692e-21,1.2296682336542409e-37,154.0,0.0,0.99999999999997535,1.0,19.0,3.4732889701065616e-15,3.5843485473566985e-15,8.8150056553883559e-15,8.8150087819723036e-15,2.8900126687468555e-22,2.2748914327255173e-24,2.2734524755457808e-24,1.5348358198826891e-24,3.3672412541614368e-22,4.9741922857056142e-35,1.7051187105661602e-27,8.8088826011911767e-28,2.5031267886156347e-37,2.5031267882101203e-37,3.5232750131030058e-47,6.8269711331371041e-37,5.3186217441234315e-48,1.2403357934705176e-28,9.1953783457299888e-86,8.7592072686000909e-86,8.7592072686005624e-86,3.0584696176330187e-40,5.0294801788596321e-43,6.6974347863000221e-35,1.5433735565244582e-40,4.000638830635232e-44,1.3117597151888849e-50,4.3168003403025421e-61,1.9679194102279824e-71,9.5752770574675325e-73,1.4620122195706971e-83,2.3483345244719714e-87,2.6302457051404859e-84,2.1218897977129813e-74,2.0465750343050559e-82,5.8594058383935684e-37,1.0566910894511976e-36,2.353831529753464e-46,2.9307298832655836e-47,3.1833381208144724e-47,6.2282289609813211e-52,9.0082547379612544e-57,4.8193752974425045e-57,9.1252684494016638e-64,3.6168036740232326e-74,2.1809627286484642e-64,4.3984724802416757e-74,5.4760910062694974e-75,2.9676088174806473e-74,1.4269271174548265e-75,1.4269271174347729e-75,4.9702553434106062e-87,6.4910001973722088e-64,4.5733675332292199e-67,1.1441875916985866e-76,5.6016568292519856e-86,1.1311170561339772e-86,1.4343647444906873e-96,2.5596489460799471e-97,2.3386690161832912e-109,2.7275388805805798e-68,9.8853733479047673e-76,2.0052462878232768e-86,2.2265536537867698e-110,1.0009449104539891e-120,5.1254936261965763e-121,2.756723236693706e-79,1.158775391649391e-38,1.2087106355003582e-48,1.2086776398556202e-48,8.0645346191526304e-49,7.834616090001319e-83,2.0816892691225827e-90,4.9715728832145174e-87,4.1130282377429403e-100,2.7750109970784772e-100,5.1208699250103407e-101,6.1463274472257685e-23
3.5301391133345393e-19,0.8459656069051172,3.8275119097857461e-21,2.4003543711211377e-34,2.3712259420657012e-34,1.0662494125750761e-46,7.2953611213588627e-46,0.0,0.0,2.6427794282024556e-21,5.0235968069187546e-37,154.0,0.0,0.99999999999994993,1.0,19.0,7.0458147679295524e-15,7.2711057382727069e-15,1.7881868610534811e-14,1.7881874949887584e-14,1.1806642909584096e-21,9.2936737717122002e-24,9.2818800275876319e-24,6.2703047195153016e-24,1.3756277094640889e-21,4.0738298743112751e-34,6.9659662965838432e-27,3.598715967508173e-27,2.0522145728783535e-36,2.0522145722122962e-36,5.7869870364586232e-46,5.5971625931380356e-36,8.7358512380219786e-47,5.0671764267035656e-28,1.2573902073212745e-83,1.1977475019912434e-83,1.1977475019913724e-83,2.5075181810038295e-39,4.1234717168325819e-42,5.4732344708981453e-34,1.2653297462772959e-39,3.2799643395080462e-43,2.1545685830899279e-49,1.4192690597579396e-59,1.2945627146447167e-69,6.2989351082443639e-71,1.923925282161529e-81,3.0902752508599839e-85,3.4612261586340677e-82,1.3958495470292602e-72,1.3817327499910294e-80,4.8038942214720894e-36,4.3169278874319686e-36,1.9298132978922317e-45,2.4027890090403264e-46,2.6098831117438414e-46,6.0779390889640568e-51,1.477657069369404e-55,7.9059887105490216e-56,1.7764509150083282e-62,1.4064889684838257e-72,4.245763568617798e-63,1.7104511856604654e-72,2.129353614271617e-73,1.1540353254594314e-72,5.5489983278672767e-74,5.548998327706458e-74,3.8633748176595644e-85,2.1340986520622266e-62,1.5036230247140022e-65,7.5268473458220309e-75,7.3714646513803021e-84,1.4884862774893904e-84,3.775482160563959e-94,6.7374161939740411e-95,1.2312168906408413e-106,9.050945592432392e-67,6.5644531561883768e-74,1.5586760591391589e-84,1.1721925796264602e-107,1.0539436496017658e-117,5.3968818898863103e-118,1.072027761047997e-77,9.5003401818061965e-38,1.985266303754723e-47,1.9851578289972875e-47,1.324602154340671e-47,3.0467057436494459e-81,1.6180950741852722e-88,3.3701213106106645e-85,6.3922300833221413e-98,4.3127800341856776e-98,7.9582214606940455e-99,1.2468264250138385e-22
7.109998495870973e-19,0.845965606905117,7.7089324390050215e-21,9.643541522933432e-34,9.5848743852627393e-34,8.6705631387981212e-46,5.9079725825745517e-45,0.0,0.0,5.322783155143945e-21,2.0306188301423257e-36,154.0,0.0,0.99999999999989919,1.0,19.0,1.4190866363572793e-14,1.4644616119485152e-14,3.6015594506584321e-14,3.601560726193883e-14,4.77243235641559e-21,3.7566515236888094e-23,3.747110651612797e-23,2.5345570902739453e-23,5.5605054216547019e-21,3.2921279461799503e-33,2.8157549511867823e-26,1.4546585310971473e-26,1.6619365667865007e-35,1.6619365657067939e-35,9.3809464410145648e-45,4.5327260721648763e-35,1.4161188238231346e-45,2.0482337278627878e-27,1.6630189155500839e-81,1.5841357283334262e-81,1.5841357283337675e-81,2.0306532376368693e-38,3.3392943009687171e-41,4.4039220919381306e-33,1.0246625924740474e-38,2.6561984080206413e-42,3.4926462890243208e-48,4.6033622810703545e-58,8.399559347677025e-68,4.0869614650484561e-69,2.4968823716658546e-79,4.0105787364778851e-83,4.491927878875597e-80,9.0567424688179579e-71,9.0805625652150758e-79,3.8903169638550059e-35,1.7449712715855889e-35,1.5628128380330473e-44,1.945840161429685e-45,2.1135351224881909e-45,6.4958453694783688e-50,2.389043421873901e-54,1.2784131467572884e-54,3.7797829086865095e-61,5.9719180927101032e-71,9.0337787691652198e-62,7.2624478321929014e-71,9.0397598611464309e-72,4.9000298103593825e-71,2.3561064969033053e-72,2.3561064967604913e-72,3.2772067185052561e-83,6.9218964092738401e-61,4.876964195027546e-64,4.8836743275963486e-73,9.5667372474418719e-82,1.9317676381515493e-82,9.800210671013968e-92,1.7488665208388429e-92,6.3920396995092182e-104,2.9487154589961028e-65,4.2785110822922168e-72,1.322186920522435e-82,6.0856064956527877e-105,1.0943546641620795e-114,5.6038127596827167e-115,4.5518338269206432e-76,7.6936208502783924e-37,3.2180578195638107e-46,3.2177060342521506e-46,2.1472369187182173e-46,1.2936321832358782e-79,1.3725905508435716e-86,2.2193764351875816e-83,1.083878964021308e-95,7.3128973960264407e-96,1.3492970277703218e-96,2.5112137856121296e-22
1.4269717260943843e-18,0.8459656069051174,1.5471773500421832e-20,3.8658103049130277e-33,3.8540358353295723e-33,6.9931232744416032e-45,4.7552503177646262e-44,0.0,0.0,1.0682796812012173e-20,8.165034477772479e-36,154.0,0.0,0.99999999999979761,1.0,19.0,2.8480969554848307e-14,2.9391620879449104e-14,7.2283046241709711e-14,7.2283071791175971e-14,1.9189728706896906e-20,1.5105330489720959e-22,1.5028713888979021e-22,1.0191339925085359e-22,2.235853387661783e-20,2.6386471255423049e-32,1.1322026800378621e-25,5.8491179633719768e-26,1.3376711316098427e-34,1.3376711298710117e-34,1.5107696303431913e-43,3.6483301691040015e-34,2.2806147197855993e-44,8.2358577271816217e-27,2.1636331935067531e-79,2.0610040047214734e-79,2.0610040047223621e-79,1.6344463919737143e-37,2.687754559752864e-40,3.4997122960880481e-32,8.2468248128508531e-38,2.1379367409820203e-41,5.6247919908244282e-47,1.4830326134834872e-56,5.4126366253188419e-66,2.6336187903063837e-67,3.2181320227119451e-77,5.1690748777927001e-81,5.7892776791445337e-78,5.8361223500307388e-69,5.8887503810559747e-77,3.1312637297242252e-34,7.0164527183248874e-35,1.2578877266342902e-43,1.566180360227881e-44,1.7011313656150275e-44,7.7617983823075237e-49,3.8273380844819106e-53,2.0486716520698366e-53,8.9862704799511918e-60,2.8324010919415344e-69,2.1477418500168812e-60,3.4444002274619631e-69,4.2860893006981025e-70,2.3240412943927345e-69,1.1174843264101911e-70,1.1174843262682737e-70,3.1048356931649936e-81,2.2299802001711764e-59,1.5711783069875263e-62,3.1470194032699568e-71,1.2330195841278087e-79,2.489780144782064e-80,2.5262867294138261e-89,4.5082136606543441e-90,3.2955138145945185e-101,9.5203558814681987e-64,2.7631553467317489e-70,1.2526439423839808e-80,3.1375274926926496e-102,1.1284301647518296e-111,5.7783016513893122e-112,2.1589021400181502e-74,6.1924938739727711e-36,5.1821178364020423e-45,5.180984834985212e-45,3.4580580424202942e-45,6.1356035473499625e-78,1.3003963594479298e-84,1.4410657277034156e-81,2.0524297451410369e-93,1.3847920311336186e-93,2.5545912600634927e-94,5.0399885068717814e-22
2.858915479108958e-18,0.8459656069051172,3.0997455635168488e-20,1.5479997560099814e-32,1.545640746596326e-32,5.6172569008541979e-44,3.8157889064767034e-43,0.0,0.0,2.1402848937689589e-20,3.2745484044263319e-35,154.0,0.0,0.99999999999959444,1.0,19.0,5.7061175937355446e-14,5.8885566389672213e-14,1.4481794948406597e-13,1.448180004721864e-13,7.6959299489527878e-20,6.0579130778809153e-22,5.9967210283124593e-22,4.0871809944894517e-22,8.9667609742654647e-20,2.0996803054736004e-31,4.5406391234457479e-25,2.3457579019115065e-25,1.0733968354334956e-33,1.0733968326422961e-33,2.4251106145004404e-42,2.9275518073560992e-33,3.6608885285906163e-43,3.3029472999700445e-26,2.7920539964894389e-77,2.6596164662047773e-77,2.6596164662070704e-77,1.3115403008693085e-36,2.156753756185846e-39,2.7387581142811977e-31,6.6166731606921329e-37,1.7155550634151982e-40,9.0290137806802172e-46,4.7616947274573913e-55,3.4759475222708317e-64,1.6912867713085048e-65,4.1334238357536078e-75,6.6392482972393882e-79,7.435362201306289e-76,3.7479063282985644e-67,3.7937068618582605e-75,2.5126390338271711e-33,2.8139113440869442e-34,1.009375670312212e-42,1.2567593616774072e-43,1.3650097455163198e-43,1.0293933007376558e-47,6.0800477632276239e-52,3.2563828334214237e-52,2.3731784702779923e-58,1.4927574763492679e-67,5.6719578119169006e-59,1.815212513421276e-67,2.2574748482155309e-68,1.2248608402878583e-67,5.8896184204331007e-69,5.8896184188799673e-69,3.2692651426550571e-79,7.1599927382791937e-58,5.0447197204757502e-61,2.020991436600824e-69,1.5837140392753629e-77,3.1979212168167208e-78,6.4896922915212127e-87,1.1581029032026338e-87,1.69316283397587e-98,3.0600742780996935e-62,1.7764180672186945e-68,1.3189828969090583e-78,1.6119929237183236e-99,1.159529335618653e-108,5.9375497926157918e-109,1.1378334608520753e-72,4.9690839109975391e-35,8.316954090882703e-44,8.3133183261959609e-44,5.5509463714253798e-44,3.2337237563712611e-76,1.3692639531974537e-82,9.2938783717599601e-80,4.3197901099895765e-91,2.914701092728349e-91,5.3748770890426284e-92,1.0097537949643364e-21
