Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132)
0.0,0.4581949526043807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6001586427415674e-26,0.4581949526043807,5.1390038419469681e-21,2.5625068019562057e-32,2.6904601849126677e-39,1.2136489651011795e-60,7.0279418870164465e-57,0.0,0.0,8.867072269855566e-23,1.8364988073858685e-43,154.0,0.0,0.99999999999999967,1.0,19.0,3.984636584953621e-19,2.549085042119823e-16,3.2757750213401121e-18,3.281002695904757e-18,1.1655987412999415e-29,8.4899012785436821e-34,8.5034499174253652e-34,3.9318852592731574e-34,3.5648031435688616e-29,1.1383158148254262e-49,1.1861427619117984e-35,1.6163844667079604e-34
1.288044419967639e-25,0.4581949526043807,1.4389210757451509e-20,7.1750199171864756e-32,1.6250379516872513e-38,1.834066316060912e-59,8.3438778478974338e-56,0.0,0.0,2.4827802355595824e-22,1.1092452796610997e-42,154.0,0.0,0.99999999999999933,1.0,19.0,1.1156982437870138e-18,7.1374381179339524e-16,9.1721700597523051e-18,9.1868075485333111e-18,7.04021639745037e-29,5.1279003722402952e-33,5.1360837393893175e-33,2.3748586966005809e-33,2.1531410987152015e-28,1.3514085001447951e-48,7.1643022819472552e-35,9.7629621789160762e-34
2.944101531354603e-25,0.4581949526043807,3.2889624588460567e-20,1.6400049634483417e-31,7.8238582177260331e-38,1.9730048495857142e-58,8.1922025037831e-55,0.0,0.0,5.6749262527077223e-22,5.3405385318786152e-42,154.0,0.0,0.99999999999999845,1.0,19.0,2.550167414370316e-18,1.6314144269555996e-15,2.096496013657666e-17,2.0998417253790386e-17,3.3895611396983134e-28,2.4688632918003682e-32,2.4728032198838919e-32,1.1433922333960247e-32,1.0366447541492386e-27,1.3268208045910745e-47,3.4493031516394984e-34,4.7004460291867389e-33
6.256215754128531e-25,0.4581949526043807,6.9890452250478618e-20,3.4850123016422899e-31,3.4168844348390826e-37,1.813531375571451e-57,7.2459634605115028e-54,0.0,0.0,1.2059218287004368e-21,2.3323534853805755e-41,154.0,0.0,0.99999999999999656,1.0,19.0,5.4191057555369151e-18,3.4667556572775222e-15,4.455054029022523e-17,4.4621636664304373e-17,1.4803104014489445e-27,1.0782174623749088e-31,1.0799381228728369e-31,4.9934942792706095e-32,4.5272999923263934e-27,1.1735578431966186e-46,1.5064013076279708e-33,2.0528082727190991e-32
1.2880444199676388e-24,0.4581949526043807,1.4389210757451441e-19,7.1750325569684262e-31,1.4264819900406907e-36,1.5515142731978772e-56,6.0906899517898479e-53,0.0,0.0,2.4827802355599111e-21,9.7371166767645547e-41,154.0,0.0,0.99999999999999278,1.0,19.0,1.115698243787009e-17,7.1374381179114251e-15,9.172170059752176e-17,9.1868075485331699e-17,6.180004526354454e-27,4.5013456578826092e-31,4.5085289964572671e-31,2.0846855644609561e-31,1.8900586267147551e-26,9.8644585613923963e-46,6.288928923656232e-33,8.5700704424855036e-32
2.6128901090772104e-24,0.4581949526043807,2.918954182225849e-19,1.4555095383373657e-30,5.8276443789281851e-36,1.2828220044243575e-55,4.9935239875541144e-52,0.0,0.0,5.0364970492794402e-21,3.9779298767540425e-40,154.0,0.0,0.99999999999998523,1.0,19.0,2.2632735802536356e-17,1.4478803039139466e-14,1.8606402121211259e-16,1.8636095312738395e-16,2.5247334975902239e-26,1.8389465765366149e-30,1.8418811391158013e-30,8.5166207469480059e-31,7.7215062010497116e-26,8.0874754533033923e-45,2.5692326680113269e-32,3.5011534102680221e-31
5.262581487296353e-24,0.4581949526043807,5.8790203951872136e-19,2.9315310299195942e-30,2.3556270339798758e-35,1.0431695494293467e-54,4.0438885343153928e-51,0.0,0.0,1.0143930676720816e-20,1.6079428578123322e-39,154.0,0.0,0.99999999999997014,1.0,19.0,4.5584242531868532e-17,2.9161532881436472e-14,3.7474866244128525e-16,3.7534670841147866e-16,1.0205376467352585e-25,7.4333160846176398e-30,7.4451775252845414e-30,3.4425542749465913e-30,3.1211562627074382e-25,6.5494413746745696e-44,1.0385249229062645e-31,1.4152221870571485e-30
1.056196424373464e-23,0.4581949526043807,1.1799152821109761e-18,5.8836097182887836e-30,9.4718726993921114e-35,8.4135403302721528e-54,3.2548746382526306e-50,0.0,0.0,2.0358797931612863e-20,6.4654675113805915e-39,154.0,0.0,0.99999999999993994,1.0,19.0,9.1487255990531504e-17,5.8526992565394183e-14,7.5211794489959443e-16,7.5331821897962894e-16,4.1035369925953346e-25,2.9889037047093409e-29,2.9936727112263785e-29,1.3842359330361103e-29,1.2550032058751768e-24,5.2715506618853052e-43,4.1758630390202591e-31,5.6905461704234514e-30
2.116072975661121e-23,0.4581949526043807,2.3639417672954127e-18,1.1787909915846094e-29,3.7986445923168191e-34,6.7582131412298982e-53,2.6118324461730691e-49,0.0,0.0,4.0788532441434095e-20,2.5929416471764802e-38,154.0,0.0,0.99999999999987965,1.0,19.0,1.8329328290785188e-16,1.1725791193076444e-13,1.5068565098160678e-15,1.5092612401157716e-15,1.6457018691677744e-24,1.1986840675711146e-28,1.2005963103061968e-28,5.5514052059981131e-29,5.0331241693377915e-24,4.2300720970767584e-42,1.6747078486861287e-30,2.2821635302376917e-29
