Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801)
0.0,0.7569863668826675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4875215386047007e-21,0.7569863668826675,1.2268495545436075e-22,3.4329508003974848e-37,1.1976546590574816e-37,2.3102627582651391e-58,4.4043115903913113e-51,0.0,0.0,6.16074806461596e-23,1.7450498167753386e-40,154.0,0.0,0.99999999999999933,1.0,19.0,8.7520329733279033e-17,1.6551996481097799e-16,2.6452148817043088e-16,2.6452167246178472e-16,2.9206490810825905e-25,1.6618277372579006e-27,1.661797201044605e-27,1.0831649527531179e-27,3.711514607682678e-25,1.1331656572777339e-39,1.6032852189812544e-30,1.0817812049076089e-30,9.9257687796154262e-42,9.9257687795685357e-42,4.0644097835878747e-53,3.248329822737671e-41,6.2438988523692904e-54,1.1721638811566368e-31,8.09370010856135e-96,7.6711683301255924e-96,7.6711683301256157e-96,7.7772031420553063e-45,2.0517633875856987e-47,1.4770525806715432e-39,4.9296741476002713e-45,2.3039065858899863e-48,2.5806021611930223e-56,2.6037617500067511e-68,3.6837151433996224e-80,2.5253378027814583e-81,1.1888394784904151e-93,1.7239453144515799e-97,2.2465274940247567e-94,3.9175471384298677e-83,7.0053238095022976e-91,2.5561617061114077e-41,2.0759423127584392e-39,1.3041883818749519e-50,2.5073604678659441e-51,2.1632722104855946e-51,6.2097289967378407e-56,1.6062663843869135e-62,8.8929073874301145e-63,2.6555411291553765e-69,3.6216649422157159e-81,7.9993212377437725e-70,5.0254858343369493e-81,9.6617004169782941e-82,3.275566846663738e-81,2.2597420355049467e-82,2.2597420355046927e-82,2.5383401081983905e-95,3.4984560205860126e-77,4.490263480854815e-74,3.6081174743476281e-85,5.5250883559396105e-96
6.965060308093162e-21,0.7569863668826675,3.4351787527286275e-22,1.3492663336679821e-36,7.233834140718401e-37,3.4912690940217771e-57,5.2287988128707804e-50,0.0,0.0,1.7250094656745203e-22,1.0540100932917184e-39,154.0,0.0,0.99999999999999778,1.0,19.0,2.4505692325318018e-16,4.6345589927719889e-16,7.4066016687181691e-16,7.4066068288410196e-16,1.7640720380068658e-24,1.0037439532695084e-26,1.0037070260851929e-26,6.5423163026435565e-27,2.2417548141867617e-24,1.3452452884136411e-38,9.6838427225497195e-30,6.5339584775442562e-30,1.1783872694998072e-40,1.1783872694893188e-40,9.0919219977609815e-52,3.856417151601252e-40,1.3967351935984641e-52,7.0798698421461922e-31,8.6244655366265122e-94,8.1742251382471561e-94,8.174225138247203e-94,9.2330959978933019e-44,2.4358534937085043e-46,1.753364332471654e-38,5.8525066532000016e-44,2.7351978715941909e-47,5.7727037557088525e-55,1.0744495667205032e-66,2.7730087890551207e-78,1.9010112481248e-79,1.6227600148119709e-91,2.3531770677807415e-95,3.0664983598179934e-92,2.9490316768805701e-81,5.3869502038038156e-89,3.0346751665155865e-40,1.2538691568836111e-38,1.5483324468950383e-49,2.9767383325888475e-50,2.5682365346153063e-50,7.3953380746126226e-55,3.5929967791206281e-61,1.9892233085783749e-61,5.958157441753872e-68,1.4988641772519017e-79,1.7947835504389078e-68,2.0798498891187287e-79,3.9985886974791089e-80,1.3556279156979551e-79,9.3521811446613907e-81,9.352181144659475e-81,1.9163173672673296e-93,2.128336887586288e-75,1.8529197928173478e-72,2.7161007683839801e-83,7.5417183569700963e-94
1.5920137847070083e-20,0.7569863668826675,7.8518371491247695e-22,4.9133692792678588e-36,3.482779748555973e-36,3.7557480061704047e-56,5.1336657214892959e-49,0.0,0.0,3.9428788144285741e-22,5.0746049265471312e-39,154.0,0.0,0.999999999999995,1.0,19.0,5.6013011029297808e-16,1.0593277594354819e-15,1.6929375242530311e-15,1.6929387036931573e-15,8.4932474232828826e-24,4.8325950594320231e-26,4.8322290206032857e-26,3.1498436646281577e-26,1.0793084346337569e-23,1.3206660640284441e-37,4.662353416651906e-29,3.1458197437247739e-29,1.1569476089019521e-39,1.1569476088812281e-39,1.7964105264526923e-50,3.7862531981289985e-39,2.7597133548925885e-51,3.4086525663436519e-30,1.9627265682872065e-91,1.8602623879552538e-91,1.8602623879552742e-91,9.0651085900060049e-43,2.3915354044668502e-45,1.7210559026073892e-37,5.7460204524735546e-43,2.6854334322727244e-46,1.1405889600562941e-53,4.2504155488698584e-65,2.1925346227787057e-76,1.503072401470517e-77,2.5635630530647375e-89,3.717443110406728e-93,4.8443137344642656e-90,2.3317106245268585e-79,5.6481127874153365e-87,2.9794620506058373e-39,6.0368402451642497e-38,1.5201619777060406e-48,2.9225793152735803e-49,2.5215093641552528e-49,7.3098183148995448e-54,7.0984779158112803e-60,3.9300046914575553e-60,1.1849363763931467e-66,5.967604283615629e-78,3.5693993275877946e-67,8.2807479824607117e-78,1.591998321578874e-78,5.3973216098042499e-78,3.7234945634324658e-79,3.7234945634309413e-79,1.5248830124973568e-91,9.6088703206492287e-74,7.3299663880403209e-71,2.1475391931048521e-81,1.1914066547370082e-91
3.383029292502393e-20,0.7569863668826675,1.6685153942021461e-21,1.8250216924774563e-35,1.5210214170203768e-35,3.4521795323259859e-55,4.5406692099119307e-48,0.0,0.0,8.3786176332495032e-22,2.2162133286354522e-38,154.0,0.0,0.99999999999998934,1.0,19.0,1.1902764843725569e-15,2.2510714446554152e-15,3.5974922389292266e-15,3.5974947451689621e-15,3.7092242249860927e-23,2.1105212257864509e-25,2.1101959849359e-25,1.3756194714192978e-25,4.7136234145265538e-23,1.1679296800032273e-36,2.0361722279557647e-28,1.3738621300812253e-28,1.0233070579981855e-38,1.0233070579613085e-38,3.1966163772417731e-49,3.3488980232161642e-38,4.9107624010202684e-50,1.4886481290070829e-29,3.3169211308824743e-89,3.143761195927663e-89,3.1437611959277328e-89,8.0179859639920714e-42,2.1152859818489634e-44,1.5215298767554807e-36,5.082280617903414e-42,2.3752353568837954e-45,2.0296170282779428e-52,1.5169430560926657e-63,1.5671320062018858e-74,1.0743332595880523e-75,3.6670932179491137e-87,5.317681059639549e-91,6.9296268013019509e-88,1.6666091887733119e-77,4.5596667882926526e-85,2.6353004010536171e-38,2.6364467368546931e-37,1.3445660537422607e-47,2.5849882512020586e-48,2.2302455969106284e-48,6.5526743610743326e-53,1.2628938038576829e-58,6.9919275404351894e-59,2.1360769045033262e-65,2.1571875258794145e-76,6.4345323666417641e-66,2.9933474359945899e-76,5.7547537676355564e-77,1.9510405431976029e-76,1.3459804806129206e-77,1.3459804806118168e-77,1.1038334797346181e-89,3.6285364568992811e-72,2.6160129055157346e-69,1.534971199053382e-79,1.7042683543710804e-89
6.965060308093162e-20,0.7569863668826674,3.4351787528232496e-21,6.9758479240482293e-35,6.3499650024791483e-35,2.9534123670741352e-54,3.8167060732219061e-47,0.0,0.0,1.7250095756142648e-21,9.2522546804662725e-38,154.0,0.0,0.99999999999997813,1.0,19.0,2.4505692325316448e-15,4.6345586747087576e-15,7.4066016679366868e-15,7.406606827551444e-15,1.5485280456000737e-22,8.8110106581616696e-25,8.8082709939483687e-25,5.7429404123027684e-25,1.967844921485957e-22,9.8140503591959537e-36,8.5006182296848776e-28,5.735603947057199e-28,8.6015124102084096e-38,8.601512409586426e-38,5.3915601645514813e-48,2.8149504863094476e-37,8.2827183485210295e-49,6.2148128973358894e-29,4.8567031765219796e-87,4.6031588886289458e-87,4.6031588886291503e-87,6.7396003535353838e-41,1.7780253230749775e-43,1.2777202839160762e-35,4.2719472752588507e-41,1.9965282638700802e-44,3.4232454873827358e-51,5.1254073189847921e-62,1.0598520481428723e-72,7.2657204442282062e-74,4.9621095897644084e-85,7.1955946811411562e-89,9.3767756242736308e-86,1.1271285094747007e-75,3.2633533729001117e-83,2.2151287062455235e-37,1.1006646139108677e-36,1.1301887839285558e-46,2.1728382881548191e-47,1.8746543253411075e-47,5.654650207112158e-52,2.1292373608470037e-57,1.1788503321855218e-57,3.6957668850202547e-64,7.4737981442854235e-75,1.1132806870968967e-64,1.0370744779085831e-74,1.9937592912440709e-75,6.7595842567261154e-75,4.6632911850153538e-76,4.6632911850076999e-76,7.6534157675099123e-88,1.2591924069527086e-70,8.8389161351415323e-68,1.0381017389649315e-77,2.3061226742521705e-87
1.41291223392747e-19,0.7569863668826675,6.9685054702325115e-21,2.7211327203040719e-34,2.5941678978372668e-34,2.4419386177612759e-53,3.1291662371196906e-46,0.0,0.0,3.4993053942934076e-21,3.7798481724011005e-37,154.0,0.0,0.99999999999995559,1.0,19.0,4.9711547288495421e-15,9.4015325732694165e-15,1.5024820524571883e-14,1.5024830990040653e-14,6.3262419127135652e-22,3.5995853479633195e-24,3.5973373398190392e-24,2.3461784727038853e-24,8.0392880551290753e-22,8.0410685367715629e-35,3.472779914576198e-27,2.3431813599241174e-27,7.0520395537021676e-37,7.0520395526805576e-37,8.8556518450317956e-47,2.3078663357762925e-36,1.360438905939586e-47,2.5389538526693036e-28,6.6411307807833296e-85,6.2944304136082633e-85,6.29443041360882e-85,5.525531573384371e-40,1.4577325832766604e-42,1.0455615974578361e-34,3.5023745423720041e-40,1.6368742133909553e-43,5.6226900532434448e-50,1.6851215121707319e-60,6.9720596365099094e-71,4.7796328113757977e-72,6.5298561664889026e-83,9.4689965478427562e-87,1.2339266382023803e-83,7.414626599017293e-74,2.2063140174399308e-81,1.8160962316800457e-36,4.4965740844719234e-36,9.2659704749948538e-46,1.7814239514981931e-46,1.5369524486592851e-46,4.8766519344434603e-51,3.4945957083269327e-56,1.9348198476708575e-56,6.3757053613332059e-63,2.5789710857523894e-73,1.9205620552142903e-63,3.5786050098035904e-73,6.8795949671674445e-74,2.3325209338184856e-73,1.6091564154643552e-74,1.6091564154590731e-74,5.2822648437341483e-86,4.195531930254071e-69,2.9060420938003866e-66,6.828979630865494e-76,3.0347276254052858e-85
2.8457246401637776e-19,0.7569863668826675,1.4035158905719262e-20,1.0741759307221524e-33,1.0486041415373692e-33,1.9857441883129378e-52,2.534079949074251e-45,0.0,0.0,7.0478978080537501e-21,1.5278752613387874e-36,154.0,0.0,0.99999999999991052,1.0,19.0,1.0012325721484225e-14,1.8935478124207146e-14,3.0261258232323382e-14,3.0261279305922094e-14,2.5571677847630898e-21,1.4550099483719549e-23,1.4531895025091858e-23,9.4836279161119277e-24,3.2496083315582409e-21,6.5036481548850902e-34,1.4037531659662894e-26,9.4715136944522184e-27,5.7109244643434584e-36,5.710924462687386e-36,1.4355387047789572e-45,1.8689697592589016e-35,2.2053298650346926e-46,1.0262857414313821e-27,8.7835312033956081e-83,8.3249867787151407e-83,8.324986778716611e-83,4.4747187356434074e-39,1.1805096396473271e-41,8.4351631673360451e-34,2.8362717053334807e-39,1.3255827192930606e-42,9.1146198296417201e-49,5.4656494348488098e-59,4.5237086982369893e-69,3.1011878347751272e-70,8.4744910498567178e-81,1.2288927167228824e-84,1.6013875766881694e-81,4.8108611512769632e-72,1.4509368801652347e-79,1.4707216290184524e-35,1.8175871378672053e-35,7.5038231158979137e-45,1.4426430522306848e-45,1.2446600067362757e-45,4.338980431723197e-50,5.6562111128874642e-55,3.1317506097847408e-55,1.1325425700318541e-61,9.1546144515593039e-72,3.4115727781799673e-62,1.270295540636586e-71,2.4418925906733102e-72,8.2798037956268929e-72,5.7120642084192941e-73,5.7120642083818084e-73,3.7486060595016512e-84,1.3707289524372618e-67,9.4256769166050774e-65,4.4308745377687353e-74,3.9384907121204643e-83
5.711349452636393e-19,0.7569863668826675,2.8168465779365669e-20,4.2677135443760828e-33,4.2163911342815991e-33,1.6015750442517869e-51,2.0396480035958211e-44,0.0,0.0,1.4145085741182664e-20,6.1435207995069581e-36,154.0,0.0,0.99999999999982037,1.0,19.0,2.0094667706749142e-14,3.8003360241352515e-14,6.0734133625750791e-14,6.073417590134531e-14,1.0282256425662043e-20,5.8505309951275752e-23,5.835891521034979e-23,3.8133245983011482e-23,1.306652866000568e-20,5.2215216009353599e-33,5.6444297371944905e-26,3.8084539954261591e-26,4.5966488437295885e-35,4.5966488410625376e-35,2.3118888289857707e-44,1.5043090807626669e-34,3.5516150306421585e-45,4.1266498270248363e-27,1.1427614881984256e-80,1.0831036015299644e-80,1.083103601530347e-80,3.6016429380929586e-38,9.5017685910508625e-41,6.7382978542080836e-33,2.2828106036609415e-38,1.0669435590368725e-41,1.4678804440341387e-47,1.7608306129924687e-57,2.9150583914501691e-67,1.9983920779030958e-68,1.0922439719328363e-78,1.5838717165815482e-82,2.0639382320124262e-79,3.100098196543023e-70,9.4124363364394081e-78,1.1837644193227629e-34,7.3084379320523819e-35,6.0397296434117451e-44,1.1611642327333806e-44,1.0018043229705217e-44,4.1197819401281533e-49,9.0813247008792707e-54,5.0285935905345682e-54,2.1428385509784926e-60,3.4581514843579104e-70,6.4549005551424312e-61,4.7984787960791919e-70,9.2229700794618823e-71,3.1277052411079999e-70,2.1577419270917327e-71,2.157741927063436e-71,2.8296629439339738e-82,4.4379576054830114e-66,3.0366067578810585e-63,2.855237745602633e-72,5.0761687533169278e-81
1.1442599077581623e-18,0.7569863668826674,5.6435079537350101e-20,1.7012437987348563e-32,1.6909614279068705e-32,1.2864728442179236e-50,1.6366890708275575e-43,0.0,0.0,2.8339474029873385e-20,2.4638278772204204e-35,154.0,0.0,0.99999999999964018,1.0,19.0,4.0259351677261189e-14,7.6139088536756704e-14,1.2167988432430328e-13,1.2167996894721732e-13,4.1236424912250425e-20,2.3463245895226039e-22,2.3346031135622767e-22,1.5293133370392763e-22,5.2402595855064586e-20,4.1689434974192481e-32,2.2636687748246804e-25,1.5273603863199675e-25,3.688521203241358e-34,3.6885211989601581e-34,3.7110871562134844e-43,1.2071126922985676e-33,5.7011263431463072e-44,1.6549711482923482e-26,1.4746731577841623e-78,1.3976878156943881e-78,1.3976878156953756e-78,2.8900916447214818e-37,7.6245708793861312e-40,5.3268863743931728e-32,1.8317032388893165e-37,8.5615383031556123e-41,2.3562700506079691e-46,5.6536503829410371e-56,1.8720270286693661e-65,1.2833513037191238e-66,1.4028985103352422e-76,2.034354362872711e-80,2.65089003862003e-77,1.9908581039290419e-68,6.0647447002700689e-76,9.4989591801457364e-34,2.931010481478437e-34,4.8465026408936099e-43,9.3176052274096026e-44,8.038747135787466e-44,4.3127351248751427e-48,1.4488995239211355e-52,8.0242883648161122e-53,4.463566753699648e-59,1.4371039274542502e-68,1.3445660415065075e-59,1.9940565129583618e-68,3.8317375265139735e-69,1.2997912509055676e-68,8.9670292175035177e-70,8.9670292172686154e-70,2.3490126871503668e-80,1.4323250466796194e-64,9.7499035093518832e-62,1.8336123446940089e-70,6.5199315797134123e-79
