Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426)
0.0,0.5553910261340294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1303805714040983e-21,0.5553910261340294,9.0833479565708177e-23,3.1025449268335135e-37,1.0061008625254754e-37,2.0880657133241527e-58,4.2930659506865345e-51,0.0,0.0,6.4778209597153051e-23,2.0818176406058222e-40,154.0,0.0,0.99999999999999933,1.0,19.0,7.0979425103270584e-17,1.2664985796237679e-16,2.9062144116352922e-16,2.9062159677382926e-16,1.9075362579718923e-25,2.1250671045716609e-27,2.1250342126323554e-27,1.3897115018890064e-27,2.4038698952639802e-25,1.2125955230942774e-39,2.0007073177686262e-30,9.5523176318194929e-31,7.3090297762287497e-42,7.3090297761884381e-42,3.4950749537058066e-53,1.7062530318867803e-41,5.360105461857169e-54,1.4615546172244129e-31,5.1229227315433183e-96,4.8578246398600429e-96,4.8578246398600546e-96,1.1279710962361292e-44,2.0748061297356532e-47,1.5858721897804968e-39,7.0340101742945541e-45,2.2549123398264001e-48,2.1083500719755329e-56,1.799466641564116e-68,2.9677213910340591e-80,1.4288159753593542e-81,7.8516255339237101e-94,1.5752462542936876e-97,1.0718749419178748e-94,3.1599322696185852e-83,5.0843672111722227e-91,1.3539582695431098e-41,1.7520372712592122e-39,1.2811156521084206e-50,1.7148268374163053e-51,1.5125425350510957e-51,4.101022628320591e-56,1.3247630796780492e-62,7.3101854408098508e-63,2.0486225107791623e-69,2.3380293163013638e-81,4.380406037906718e-70,3.2030170870908012e-81,4.2873643869192723e-82,2.0946483673405989e-81,1.0131362355649844e-82,1.0131362355648522e-82,1.3218394562309776e-95,2.8451100615688757e-71,2.961044363729168e-74,2.0066540818275057e-85,3.5819079265200371e-96,7.3364762100321777e-97,2.8663215074141759e-108,6.1640949099225809e-109,2.08537358897321e-122,4.2545911777416431e-75,4.0374038536501267e-84
5.9650655999314755e-21,0.5553910261340294,2.5433374278453597e-22,1.1946892589932106e-36,6.0768492096646509e-37,3.1554849207211593e-57,5.0967279805532564e-50,0.0,0.0,1.8137898781795956e-22,1.2574178605242168e-39,154.0,0.0,0.99999999999999778,1.0,19.0,1.9874239028915686e-16,3.5461960086856436e-16,8.1374003525099146e-16,8.1374047095533255e-16,1.1521518959487924e-24,1.2835405311224368e-26,1.2835008187878472e-26,8.3938574584359965e-27,1.4519374118672351e-24,1.439550202722909e-38,1.2084272199181356e-29,5.769599849535475e-30,8.6772801502237707e-41,8.6772801501335971e-41,7.8183427871293528e-52,2.0256635932288079e-40,1.1990341484399034e-52,8.8277898879645408e-31,5.4588717091517509e-94,5.1763891208575234e-94,5.1763891208575458e-94,1.3391273430524462e-43,2.4632098371864699e-46,1.882576838497899e-38,8.3507738598935825e-44,2.6770319076364989e-47,4.7162947396310569e-55,7.425549424050299e-67,2.2340265717819998e-78,1.075576994794444e-79,1.0717430079787383e-91,2.150203553563078e-95,1.4631037696479224e-92,2.3787181225074016e-81,3.9093532357234777e-89,1.6074192526600959e-40,1.0582305118194064e-38,1.520940502121567e-49,2.0358424128516134e-50,1.79569035834697e-50,4.8825290012489977e-55,2.9633351002096894e-61,1.6352020098214779e-61,4.5950906185907683e-68,9.6734241345443259e-80,9.825315588542145e-69,1.3252245479595622e-79,1.7738625165669533e-80,8.6664538154861792e-80,4.1917768574321611e-81,4.1917768574311634e-81,9.9764087648080031e-94,1.1740432492252163e-69,1.2218832446718047e-72,1.5105591030946326e-83,4.8892866563995475e-94,1.001425384644335e-94,7.0711896688278439e-106,1.5206767428678983e-106,9.2811303764583585e-120,1.5630092683940008e-73,2.7101721187219648e-82
1.363443565698623e-20,0.5553910261340294,5.8133426922440402e-22,4.267465509646262e-36,2.9257413082402499e-36,3.394526717497619e-56,5.0039977912696389e-49,0.0,0.0,4.1458054804329652e-22,6.0539257828201465e-39,154.0,0.0,0.999999999999995,1.0,19.0,4.5426832066092629e-16,8.1055908097657743e-16,1.8599772233983548e-15,1.8599782192727821e-15,5.5471153801888064e-24,6.1796951395116915e-26,6.1793018148556821e-26,4.0412810280328302e-26,6.9904535823445239e-24,1.4132674230504462e-37,5.818056879859446e-29,2.7778139672078618e-29,8.5194051068157298e-40,8.5194051066375613e-40,1.5447727492318304e-50,1.9888085146629803e-39,2.3690894100013202e-51,4.2502008267822126e-30,1.2423114790027234e-91,1.178025051192601e-91,1.1780250511926114e-91,1.3147631916439924e-42,2.4183940247092105e-45,1.8479637869666334e-37,8.1988329001751792e-43,2.6283257544649034e-46,9.318603480256912e-54,2.9374734575848356e-65,1.7663776049428361e-76,8.5042637362303345e-78,1.6930912530212751e-89,3.3967946989474574e-93,2.311344506537561e-90,1.8807808614283696e-79,4.0938416494070197e-87,1.578173743660849e-39,5.0949243845044233e-38,1.4932684039067703e-48,1.9988021352524699e-49,1.7630191471319867e-49,4.822916273010518e-54,5.8545885123044964e-60,3.2306361604441502e-60,9.132761726798659e-67,3.8489909529698138e-78,1.9527855619582759e-67,5.2729784613484961e-78,7.058054904141373e-79,3.4483245615953964e-78,1.6678803084745306e-79,1.6678803084737372e-79,7.9336680794596975e-92,4.6443993900462672e-68,4.8336485783830084e-71,1.1943536551762875e-81,7.7238745724454454e-92,1.5820066615860417e-92,2.232164296308434e-103,4.800324332952323e-104,5.8556691277527852e-117,5.4484742999245686e-72,1.8884248137655342e-80
2.897317577109574e-20,0.5553910261340294,1.2353353221129897e-21,1.5628644883997909e-35,1.2777480954240601e-35,3.1201549392428611e-55,4.4259793925364527e-48,0.0,0.0,8.8098368362886641e-22,2.6439084902889165e-38,154.0,0.0,0.99999999999998934,1.0,19.0,9.6532018140445329e-16,1.7224380183751546e-15,3.9524515995828372e-15,3.9524537157254687e-15,2.4225709876977316e-23,2.6988352222038899e-25,2.6984858709608205e-25,1.7649335872899691e-25,3.0529146914660216e-23,1.2498562867486528e-36,2.5408982933473872e-28,1.2131443391116549e-28,7.5353173373521444e-39,7.5353173370351046e-39,2.7488404446619706e-49,1.7590785852150681e-38,4.2156679794422702e-50,1.8561743637650776e-29,2.0994514785780041e-89,1.9908102575970427e-89,1.9908102575970779e-89,1.1628931639814859e-41,2.1390421272798677e-44,1.6338606568846706e-36,7.2517634754571297e-42,2.3247242813102613e-45,1.6581956424240203e-52,1.0483633759868086e-63,1.2625328100316608e-74,6.0784919160835989e-76,2.4219117550189734e-87,4.859003996473947e-91,3.3063004924075282e-88,1.3443034713855489e-77,3.3034886334807251e-85,1.3958767853991052e-38,2.2250873341712626e-37,1.3207789922970143e-47,1.7679178207787726e-48,1.5593699453170806e-48,4.3177952842392132e-53,1.0416275117323778e-58,5.7478599477575381e-59,1.6443020972562275e-65,1.3896346940362402e-76,3.515879961537457e-66,1.9037481075331173e-76,2.5482123183462858e-77,1.244978898198987e-76,6.0216952194410941e-78,6.0216952194353575e-78,5.736023431916994e-90,1.6575533152801603e-66,1.7250948254685233e-69,8.5367404312529345e-80,1.1048750634518662e-89,2.263008924438036e-90,6.3881676693527517e-101,1.3737912431375885e-101,3.3521781579719654e-114,1.7472609560554754e-70,1.2126926382447886e-78
5.965065599931475e-20,0.5553910261340292,2.5433374279255596e-21,5.9213511132181049e-35,5.3343467732604281e-35,2.6693583444854126e-54,3.7203023705319868e-47,0.0,0.0,1.81379001533959e-21,1.1037797910895606e-37,154.0,0.0,0.99999999999997813,1.0,19.0,1.987423902891458e-15,3.5461958019025202e-15,8.1374003515108264e-15,8.1374047079020915e-15,1.0113756700427842e-22,1.1267105783019895e-24,1.1264163524007955e-24,7.3682502020341009e-25,1.2745317505016548e-22,1.0503058416295724e-35,1.0607750196840499e-27,5.0646388072259084e-28,6.3338882582451563e-38,6.3338882577104207e-38,4.6363207646641988e-48,1.4786115038353794e-37,7.1103400681098149e-49,7.7491625795345391e-29,3.0740594251680727e-87,2.9149847465097027e-87,2.9149847465098049e-87,9.7748177816347392e-41,1.7979937947092067e-43,1.3722788942242634e-35,6.0955250153194571e-41,1.9540706928281461e-44,2.7967891229233321e-51,3.542182662400053e-62,8.53851492593925e-73,4.1108867462801205e-74,3.2771983126796685e-85,6.5749380918730178e-89,4.4738983316402639e-86,9.0915302674793983e-76,2.3638714496163448e-83,1.1733185146898828e-37,9.2893016092650453e-37,1.110194325539793e-46,1.4860413993393012e-47,1.3107435153295511e-47,3.7168124072298151e-52,1.7562996841492456e-57,9.6916223443642902e-58,2.8380700816066114e-64,4.8031200653727802e-75,6.0684187808976551e-65,6.5800885461991369e-75,8.8074877218167908e-76,4.3031350755995893e-75,2.0813342333508152e-76,2.0813342333468474e-76,3.9677061928561082e-88,5.6004982075925777e-65,5.8287053996774696e-68,5.7734015639784211e-78,1.4950564794546727e-87,3.0621798434532402e-88,1.7291709665599221e-98,3.718625118553287e-99,1.8149402084716617e-111,5.5200459408557468e-69,7.6643636540835933e-77
1.2100561645575277e-19,0.5553910261340294,5.1593416396922936e-21,2.29833273684848e-34,2.1792547123919832e-34,2.2070772705823191e-53,3.0501286569537634e-46,0.0,0.0,3.6794029209193711e-21,4.509300942969662e-37,154.0,0.0,0.9999999999999557,1.0,19.0,4.0316313458652717e-15,7.1937110038781267e-15,1.6507297853602901e-14,1.6507306689341141e-14,4.1317993795769966e-22,4.6029803465983155e-24,4.6005662176615438e-24,3.0101705483210821e-24,5.2068777724810833e-22,8.6065571890488548e-35,4.3336120769129195e-27,2.0690702073364438e-27,5.1929042703240298e-37,5.1929042694457251e-37,7.6151693842887209e-47,1.2122549800549885e-36,1.1678754406286136e-47,3.165785762255243e-28,4.203516238956144e-85,3.9859950715206796e-85,3.9859950715209608e-85,8.0139862076657046e-40,1.4741039427410925e-42,1.12331100106867e-34,4.9974483004047031e-40,1.6020649831267128e-43,4.5937338920306509e-50,1.1645920011687291e-60,5.6169195482792447e-71,2.7042782413936826e-72,4.312608135246699e-83,8.6522477307891517e-87,5.8873810895464943e-84,5.9807114623662234e-74,1.5980486794814983e-81,9.6195735589322477e-37,3.7949828085397544e-36,9.1020438255372568e-46,1.2183464333561293e-46,1.0746252779475458e-46,3.1906697492448002e-51,2.8828981591355584e-56,1.5908725959789951e-56,4.8741392201615233e-63,1.6500861232929154e-73,1.0421982942105451e-63,2.2605484744389065e-73,3.0256765766790591e-74,1.4783202813677028e-73,7.1503207010202068e-75,7.1503207009929437e-75,2.7264370457306435e-86,1.8413212510141201e-63,1.9163507289033795e-66,3.7979362242004498e-76,1.967410184037578e-85,4.0296563161753716e-86,4.5514615667478279e-96,9.7880323499093955e-97,9.5549441464300872e-109,1.7479619769275724e-67,4.8537930747227155e-75
2.4371553736862886e-19,0.5553910261340294,1.0391350063792142e-20,9.0487291948243617e-34,8.8088959808717174e-34,1.7947588603982159e-52,2.4700732673856859e-45,0.0,0.0,7.4106297007122748e-21,1.8227318150737843e-36,154.0,0.0,0.99999999999991085,1.0,19.0,8.1200462318121182e-15,1.4488739947513152e-14,3.3247092850731427e-14,3.3247110640568958e-14,1.6701391799712255e-21,1.8605982494995101e-23,1.8586431874531018e-23,1.2167590000119746e-23,2.104703005699253e-21,6.9625603475628939e-34,1.7517152892871503e-26,8.363512589792128e-27,4.2053485113072173e-36,4.2053485098834483e-36,1.2344513213396092e-45,9.8171540783301528e-36,1.8931762521823431e-46,1.2796612213128112e-27,5.5595526224507376e-83,5.2718600555517265e-83,5.2718600555524704e-83,6.4899338217734471e-39,1.1937675909564389e-41,9.0683876121879134e-34,4.0470123710053036e-39,1.2973933857987936e-42,7.4466385194971795e-49,3.7773252032550527e-59,3.6444480557982174e-69,1.7546275135786673e-70,5.5969320107942017e-81,1.1228945683596636e-84,7.6406394675193139e-82,3.8804885986103324e-72,1.050880460764485e-79,7.7901792403018848e-36,1.5339927267215587e-35,7.3710710659826262e-45,9.8664838589150931e-46,8.7025706679494009e-46,2.8161536901533304e-50,4.6673822634239884e-55,2.5757038270025723e-55,8.590465640523599e-62,5.8121038060611137e-72,1.8368307160310369e-62,7.9622977021851624e-72,1.0656727256064042e-72,5.2071016921251721e-72,2.5185659011112616e-73,2.5185659010920619e-73,1.9199856518067717e-84,5.9722809229446332e-62,6.2156371220064755e-65,2.4642303951063095e-74,2.5533187203361647e-83,5.2297161570504973e-84,1.1814466570749539e-93,2.5407313084358072e-94,4.9605874126494362e-106,5.5579420969426418e-66,3.086489592891091e-73
4.89135379194381e-19,0.5553910261340294,2.0855366914257348e-20,3.590152697583038e-33,3.5420183314048062e-33,1.4475384892325821e-51,1.9881298577019872e-44,0.0,0.0,1.4873087134831434e-20,7.3291266846089642e-36,154.0,0.0,0.99999999999982114,1.0,19.0,1.6296876003702684e-14,2.9078791993520736e-14,6.6726682816766021e-14,6.6726718496475298e-14,6.7155546509166733e-21,7.481383713718551e-23,7.4656591221454907e-23,4.892533908513101e-23,8.4629162816033157e-21,5.5924340621862802e-33,7.0435701293871933e-26,3.3629316249727131e-26,3.3848303358350037e-35,3.3848303335420699e-35,1.9880443416320983e-44,7.9016979875127306e-35,3.0489014617404404e-45,5.1454614865387289e-27,7.2331303677932518e-81,6.8588344516811499e-81,6.8588344516830863e-81,5.2236633664465947e-38,9.6084801166792664e-41,7.2536011080987713e-33,3.2573058156045766e-38,1.0442544657046064e-41,1.199257507894291e-47,1.2169149621374513e-57,2.3484668755210292e-67,1.1306745309356859e-68,7.2136673104933216e-79,1.4472550085664378e-82,9.8476098966020647e-80,2.5005704017204717e-70,6.8170744486959114e-78,6.2702126435197928e-35,6.1681172782971446e-35,5.9328792459216174e-44,7.9414022626337074e-45,7.0045482337525566e-45,2.6405813409847833e-49,7.4976787441929345e-54,4.1379207087898732e-54,1.6054784812465895e-60,2.1688903316854044e-70,3.4328665168638971e-61,2.9712440206942179e-70,3.9762835256607582e-71,1.9431299048026047e-70,9.3985237423217352e-72,9.3985237421785547e-72,1.4318121603986596e-82,1.9240495463164343e-60,2.002449951932073e-63,1.5879402129609581e-72,3.2908741076907585e-81,6.7403795232211096e-82,3.0455227259570352e-91,6.5494778327194708e-92,2.5575073505542064e-103,1.7723597159693141e-64,1.968396108428468e-71
9.799750628458852e-19,0.5553910261340294,4.1783400624249803e-20,1.4301514229697216e-32,1.4205077718787203e-32,1.162742355940552e-50,1.5953490032692298e-43,0.0,0.0,2.9798017501203145e-20,2.9393093866632586e-35,154.0,0.0,0.99999999999964173,1.0,19.0,3.2650535547471301e-14,5.825887272050483e-14,1.3368586263594531e-13,1.3368593402250406e-13,2.6932365432420944e-20,3.000369469887103e-22,2.9877746105965992e-22,1.9621245077499697e-22,3.3940063891672622e-20,4.469007220220187e-32,2.8247866487750068e-25,1.3486859897458551e-25,2.71611317033658e-34,2.7161131666559174e-34,3.1912467813462942e-43,6.3406122946658238e-34,4.8941603775004897e-44,2.0635601902368328e-26,9.3339715327348355e-79,8.8509624830726885e-79,8.8509624830776887e-79,4.1916608981089992e-37,7.7102001571836996e-40,5.7489568489621428e-32,2.6136514733224118e-37,8.3794747797021993e-41,1.9250717479791493e-46,3.9072544425822091e-56,1.5081668441053122e-65,7.2611023729593489e-67,9.2653707004813994e-77,1.8588817170349056e-80,1.2648168094736014e-77,1.6058465265420437e-68,4.3924222262814087e-76,5.0314486127327078e-34,2.4736908976552884e-34,4.7607619284325467e-43,6.3724714737177219e-44,5.6206482492928328e-44,2.7189473639853552e-48,1.1974900477250195e-52,6.6098612968002257e-53,3.2898899976996239e-59,8.8674331145721329e-69,7.0345092338620728e-60,1.2147587077791433e-68,1.625310626546897e-69,7.9444758837935244e-69,3.8425909128963486e-70,3.8425909127794077e-70,1.1694125494253088e-80,6.1777175506034429e-59,6.4294446434101716e-62,1.0197634025314974e-70,4.2268640769865183e-79,8.6574770823081295e-80,7.8235579632098851e-89,1.6824786329844586e-89,1.3139919436416234e-100,5.6612556982008532e-63,1.257452966819804e-69
