Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234)
6.703937647528243e-22,0.5590205836588672,2.8111922000583081e-18,2.147425713416712e-30,6.1431741744590353e-33,3.2721082218987398e-51,8.614697229564486e-47,0.0,0.0,8.974606680945957e-20,6.7821823353567722e-37,154.0,0.0,0.9999999999996867,1.0,19.0,1.6754596381075697e-15,2.9080583172600904e-13,1.04010687063705e-14,1.0403969644628446e-14,1.1977495506358652e-22,2.0037265331709537e-26,2.0042603652435419e-26,1.003020109336437e-26,2.9836249461315465e-22,1.3061895581828712e-38,1.4710309569235565e-28,1.1364632868699036e-27,1.333760830936892e-38,1.3337608309356788e-38,1.0290106977023351e-50,2.8584005506896487e-37,1.8421908344873554e-51,1.2189904612379099e-29,1.5299529030036106e-90,1.3963743610809349e-90,1.39637436108105e-90,2.192548799454108e-43,2.3356575094365957e-44,1.3074694253456497e-38,4.2686467951749768e-43,2.8221116070310308e-44
1.3413699741318455e-21,0.5590205836588674,5.6248267912585092e-18,4.3090141518626676e-30,2.4588706271786788e-32,2.6203403744292137e-50,6.896995950400184e-46,0.0,0.0,1.7957010591377941e-19,2.7146404228656731e-36,154.0,0.0,0.99999999999937317,1.0,19.0,3.3523749318513548e-15,5.8186431753952132e-13,2.0811173962391339e-14,2.0816978359252802e-14,4.7941196219624728e-22,8.0201279941758888e-26,8.0221645420140499e-26,4.0146943789900113e-26,1.1942275320606424e-21,1.0456355966876374e-37,5.8879574449883921e-28,4.5488148562177011e-27,1.0678196484203252e-37,1.0678196484183825e-37,1.6477578106990056e-49,2.2884584677788089e-36,2.9499055289101441e-50,4.8791386257974142e-29,1.9623166057174058e-88,1.7909888540839709e-88,1.7909888540842664e-88,1.7553722391112381e-42,1.8699461873028501e-43,1.0464774152066997e-37,3.4175124346219209e-42,2.2594052501524868e-43
2.6833223928898884e-21,0.5590205836588672,1.1252095973670024e-17,8.6690981116496901e-30,9.838685336036523e-32,2.0973343375358511e-49,5.5196929230022954e-45,0.0,0.0,3.5921818423865071e-19,1.0862097682334671e-35,154.0,0.0,0.999999999998746,1.0,19.0,6.7062055193367744e-15,1.1639812866189337e-12,4.1631384474279659e-14,4.1642995788294664e-14,1.9182723069865521e-21,3.209095867273255e-25,3.2098305910582905e-25,1.6064006863948145e-25,4.7784656696887214e-21,8.3664982389916314e-37,2.3559499199540895e-27,1.8201184530102876e-26,8.5458025090458418e-37,8.5458025090147442e-37,2.637485567967474e-48,1.8314622791829084e-35,4.7217699475038442e-49,1.9522909875731153e-28,2.5143136135800202e-86,2.2947915970807068e-86,2.2947915970814647e-86,1.4048312992620415e-41,1.496525264657315e-42,8.3703118513563176e-37,2.7350477647552843e-41,1.8082108792684425e-42
5.367227230405974e-21,0.5590205836588673,2.250663433853749e-17,1.7536894362809521e-29,3.9361147911378219e-31,1.6782923897002844e-48,4.4165929826735492e-44,0.0,0.0,7.1851434135331919e-19,4.345546376638621e-35,154.0,0.0,0.99999999999749178,1.0,19.0,1.3413866694299015e-14,2.3282152145873095e-12,8.3271805497442767e-14,8.3295030645551026e-14,7.6743382934729193e-21,1.283847310326234e-24,1.2840771132289731e-24,6.4266487439975248e-25,1.9116974133118507e-20,6.6916478511242785e-36,9.425333782156847e-27,7.2816590015991627e-26,6.837940413076433e-36,6.8379404130266674e-36,4.2208355160681807e-47,1.465448079640928e-34,7.5563691423949017e-48,7.8104352059759363e-28,3.2199533827023642e-84,2.9388227171700101e-84,2.9388227171719509e-84,1.1240784883836466e-40,1.1974475862282845e-41,6.6900312923482604e-36,2.1884524253523731e-40,1.4468434334940574e-41
1.0735036905438146e-20,0.5590205836588673,4.50157110684502e-17,3.586300019151498e-29,1.5745740569302044e-30,1.3428039015234893e-47,3.5336098796930867e-43,0.0,0.0,1.4371066574423597e-18,1.738360025299639e-34,154.0,0.0,0.99999999999498335,1.0,19.0,2.6829189044189115e-14,4.6566830297622642e-12,1.6655264754131493e-13,1.6659910035675461e-13,3.0699851252515318e-20,5.1358071957624124e-24,5.136213436547628e-24,2.5708686960453554e-24,7.6474119310602291e-20,5.3493166333730229e-35,3.7704403551116512e-26,2.9129006551912352e-25,5.4708717478599145e-35,5.4708717477802832e-35,6.7540235942339611e-46,1.1724697698883685e-33,1.2091420441146e-46,3.1244283517167164e-27,4.1225851046868098e-82,3.7626466347021774e-82,3.7626466347071488e-82,8.9934817970044659e-40,9.5804902848935968e-41,5.3405870188622113e-35,1.7509260401576175e-39,1.1575846501176302e-40
2.147065625550249e-20,0.5590205836588674,9.0033864528986659e-17,7.4877265154810249e-29,6.2985525178377816e-30,1.0743111231018761e-46,2.8270221083547509e-42,0.0,0.0,2.8742912970592549e-18,6.9537230911917961e-34,154.0,0.0,0.99999999998996636,1.0,19.0,5.3659833743831753e-14,9.3136184970649931e-12,3.3311433161924295e-13,3.3320723976592772e-13,1.2280439950245177e-19,2.0544064704606725e-23,2.0541586349428742e-23,1.0283893066883061e-23,3.0590891865150451e-19,4.2724578217796858e-34,1.5082375126233413e-25,1.1652076744818509e-24,4.3769051756676509e-34,4.376905175540234e-34,1.0806986550382691e-44,9.3802032758561908e-33,1.9347256230318967e-45,1.2498221964285974e-26,5.2775776916341704e-80,4.8167980617053798e-80,4.8167980617181057e-80,7.1951270163376434e-39,7.6647560852013593e-40,4.2536809663833836e-34,1.4008039103561287e-38,9.2611168305170628e-40
4.2941894955631175e-20,0.5590205836588672,1.8007017145290383e-16,1.6235400830766786e-28,2.5194722661042927e-29,8.5947610298839595e-46,2.2616713699748061e-41,0.0,0.0,5.7486606060483049e-18,2.7815458599871567e-33,154.0,0.0,0.9999999999799325,1.0,19.0,1.0732112314256681e-13,1.8627488779481781e-11,6.6623769973583402e-13,6.6642351853136018e-13,4.9122757243031633e-19,8.2177930554338413e-23,8.2135207540186835e-23,4.1136407815133893e-23,1.2236605211445525e-18,3.4065853516524716e-33,6.0330727933863111e-25,4.6609255228815292e-24,3.5016072526223027e-33,3.5016072524184302e-33,1.7291615455722348e-43,7.5043404613639416e-32,3.0956395572681817e-44,4.9993904995358769e-26,6.7557274792655604e-78,6.1658921821835215e-78,6.1658921822161066e-78,5.7562382554396189e-38,6.13195041468406e-39,3.3730273712383597e-33,1.1206642558864968e-37,7.4090693094302587e-39
8.588437235588855e-20,0.5590205836588673,3.601427853121151e-16,3.7510034754028851e-28,1.0077991583534159e-28,6.875917690371672e-45,1.8093585696107079e-40,0.0,0.0,1.1497399343047442e-17,1.1126296884011706e-32,154.0,0.0,0.99999999995986477,1.0,19.0,2.1464370193783605e-13,3.7255226735561028e-11,1.3324844358119557e-12,1.3328560758507407e-12,1.9649301208027068e-18,3.2871506462332644e-22,3.2828198628366973e-22,1.6454729410935285e-22,4.8946914843156958e-18,2.7071385893780042e-32,2.4132536657922512e-24,1.8643891730764726e-23,2.80131904564398e-32,2.8013190453177797e-32,2.766692766424212e-42,6.0035431690705683e-31,4.953085744162067e-43,1.9997765431805816e-25,1.5137945937651684e-75,1.381626816804021e-75,1.3816268168185993e-75,4.6050452735942846e-37,4.9056185506870257e-38,2.6516648226144735e-32,8.9653328896019759e-37,5.9273257680761435e-38
1.7176932715640327e-19,0.5590205836588674,7.2028801307604574e-16,9.5176443788784747e-28,4.0312171375411965e-28,5.5007777740578887e-44,1.4474954452426554e-39,0.0,0.0,2.2994877293129854e-17,4.4505415993458517e-32,154.0,0.0,0.99999999991972932,1.0,19.0,4.2928885951957115e-13,7.4510692212705134e-11,2.6649779073359581e-12,2.6657211896449366e-12,7.8597592020519254e-18,1.3148669345719557e-21,1.3110418057301667e-21,6.5819243606450303e-22,1.9578862386919344e-17,2.1372196435244401e-31,9.6530637573919649e-24,7.4575946104362066e-23,2.2410685312495836e-31,2.2410685307276599e-31,4.4267337331530586e-41,4.8028623158490481e-30,7.9249858833768162e-42,7.9991468629917058e-25,1.9441705809963619e-73,1.7744271402007384e-73,1.7744271402382473e-73,3.6840581052271964e-36,3.9245181275613218e-37,2.0501322501697078e-31,7.1721687815630712e-36,4.74188871340529e-37
3.4353923675743276e-19,0.5590205836588673,1.4405784687859384e-15,2.7097782675098078e-27,1.6124909560214186e-27,4.4006397877652627e-43,1.1579997920982733e-38,0.0,0.0,4.5989835097631251e-17,1.7802213343589032e-31,154.0,0.0,0.99999999983945831,1.0,19.0,8.5857917464782734e-13,1.4902158142695919e-10,5.3299648478710003e-12,5.3314514138659836e-12,3.1439106698074134e-17,5.2594810203986682e-21,5.2275124797324454e-21,2.6327757349126092e-21,7.8315623645350632e-17,1.665875138857539e-30,3.8612353195327562e-23,2.9830454199084529e-22,1.7928601384746493e-30,1.79286013763957e-30,7.0827874085613037e-40,3.8423001016116739e-29,1.268001230469271e-40,3.1996668859357663e-24,2.4886181118493803e-71,2.2713395443733097e-71,2.2713395444693366e-71,2.9472552683800392e-35,3.1396238157177722e-36,1.536622576179214e-30,5.7375279165942898e-35,3.7935221632279995e-36
6.870790559594917e-19,0.5590205836588673,2.8811593809338506e-15,8.6445485336416623e-27,6.4499720274671366e-27,3.5205190492303855e-42,9.2640120815624251e-38,0.0,0.0,9.1979758323980364e-17,7.1208957303849363e-31,154.0,0.0,0.9999999996789164,1.0,19.0,1.7171598047634842e-12,2.9804319289551749e-10,1.065993871888923e-11,1.0662911848925043e-11,1.257565061883209e-16,2.103795008564829e-20,2.0777911940364861e-20,1.0531110692950986e-20,3.1326269236068514e-16,1.267451393243079e-29,1.5444960893081144e-22,1.1932196767846843e-21,1.4342902290748119e-29,1.4342902277386867e-29,1.1332448810015951e-38,3.0738427995230753e-28,2.028803459889023e-39,1.2798683846297926e-23,3.1854413099451774e-69,2.9073238625299836e-69,2.9073238627758129e-69,2.3578077758364116e-34,2.5117027761312959e-35,1.0908644562474648e-29,4.5896705708651335e-34,3.0348221322667741e-35
1.0306188751615506e-18,0.5590205836588673,4.3217402938098888e-15,1.6998061417842014e-26,1.3706195687016131e-26,1.0451547234001027e-41,2.6489330599895467e-37,0.0,0.0,1.3796968916767583e-16,1.5131911197139498e-30,154.0,0.0,0.99999999951837448,1.0,19.0,2.575740434738285e-12,4.4706463740431323e-10,1.5989912579855605e-11,1.5994372270686465e-11,2.6723255734093659e-16,4.4705659554720861e-20,4.3960378870608738e-20,2.2378610312584864e-20,6.6568317566021487e-16,3.5228058796483824e-29,3.2820554136285561e-22,2.5355927490631161e-21,4.1011751707889686e-29,4.1011751658711442e-29,4.1710900440505517e-38,8.7892695783681717e-28,7.4673435647717124e-39,2.7197213385950837e-23,1.6435699849701478e-68,1.5000716616771739e-68,1.5000716618281e-68,6.7418801432654791e-34,7.1819028576264711e-35,2.9204132929540411e-29,1.31230053580209e-33,8.6776976757802041e-35
1.3741586943636095e-18,0.5590205836588673,5.7623212074140539e-15,2.7770316931291426e-26,2.3381161935860554e-26,2.2773379338268235e-41,5.5873749781855245e-37,0.0,0.0,1.839596276287177e-16,2.5813268758173902e-30,154.0,0.0,0.99999999935783257,1.0,19.0,3.4343210645722309e-12,5.9608591495353329e-10,2.1319886430770126e-11,2.1325832679234694e-11,4.5586720732014697e-16,7.6262608938159497e-20,7.4690467441284087e-20,3.8175270895602983e-20,1.1355769419298105e-15,7.2450759680695826e-29,5.5988015032932522e-22,4.3254237532898615e-21,8.6505680014963892e-29,8.650567989023732e-29,1.0578777810869991e-37,1.8539113187689788e-27,1.893879688320033e-38,4.6395255522841377e-23,8.9662492578691163e-68,8.1834157029873191e-68,8.1834157038274928e-68,1.4220620540976401e-33,1.5148716317368521e-34,5.8168333175703371e-29,2.7679098062408305e-33,1.8303781155169667e-34
2.0612383327677273e-18,0.5590205836588674,8.6434830363312517e-15,5.4991468857436932e-26,4.8407735208042892e-26,6.6104121886039463e-41,1.5260893679413397e-36,0.0,0.0,2.7593952242824722e-16,5.3443116934782798e-30,154.0,0.0,0.99999999903674863,1.0,19.0,5.1514823239095432e-12,8.9412807820865179e-10,3.1979834109008081e-11,3.1988753465578926e-11,9.4381468756493606e-16,1.5789206925215414e-19,1.5360614879021112e-19,7.9037019586975567e-20,2.3510666690861086e-15,1.8991136518223543e-28,1.1591609555325596e-21,8.9552421154686983e-21,2.3627389067343913e-28,2.3627389023726482e-28,3.6994436795764773e-37,5.0636052442547023e-27,6.6229862818948568e-38,9.6055502069537866e-23,1.2452554855524239e-66,1.1365335722067199e-66,1.136533572339443e-66,3.8841147238501027e-33,4.1375851384847002e-34,1.4516388950472572e-28,7.5595092550018993e-33,4.9993312433355013e-34
2.748317971171845e-18,0.5590205836588675,1.1524644867926032e-14,9.1107200185574591e-26,8.2328887652318951e-26,1.4456229536676292e-40,3.1930956677071864e-36,0.0,0.0,3.6791944523947665e-16,9.089277483759928e-30,154.0,0.0,0.9999999987156647,1.0,19.0,6.8686435827288793e-12,1.1921696274954171e-09,4.263978175028179e-11,4.265167420402161e-11,1.6051807162261666e-15,2.6853307442150178e-19,2.5958909002486835e-19,1.3442121092073357e-19,3.9985464620571324e-15,3.8330983532729214e-28,1.9714293900872282e-21,1.5230522836411688e-20,4.9436407169343656e-28,4.9436407060355728e-28,9.243889265634972e-37,1.059475237377804e-26,1.6549032910111263e-37,1.6336526836169197e-22,5.7242645554553794e-66,5.2244851931289306e-66,5.2244851938171611e-66,8.1269025648892942e-33,8.6572131982995842e-34,2.8111869579033997e-28,1.5816072883499392e-32,1.0460274268267665e-33
3.435397609575963e-18,0.5590205836588673,1.4405806702389649e-14,1.3675283809057935e-25,1.2577994636037827e-25,2.7121859213373206e-40,5.8129166671780541e-36,0.0,0.0,4.598993980632419e-16,1.3886366438919951e-29,154.0,0.0,0.99999999839458076,1.0,19.0,8.5858048409932387e-12,1.4902105189601968e-09,5.3299729351950951e-11,5.3314594891685026e-11,2.4523519793150322e-15,4.1025787438428776e-19,3.9402887201959264e-19,2.0536513751683943e-19,6.1088718743888496e-15,6.7321465371533674e-28,3.0118988550229653e-21,2.3268798904739468e-20,8.9997097498543091e-28,8.9997097267313617e-28,1.9611889583794535e-36,1.9287334467598008e-26,3.511056198567063e-37,2.4958523449555659e-22,2.1134085978835486e-65,1.9288891739535667e-65,1.9288891742296723e-65,1.4794761349665717e-32,1.5760127166386433e-33,4.7484338315250891e-28,2.8790797904354228e-32,1.904253075006097e-33
4.809556886384198e-18,0.5590205836588673,2.016813038010359e-14,2.5723244748476658e-25,2.4187039594929528e-25,7.4210373572998108e-40,1.5347840461196638e-35,0.0,0.0,6.4385939563359512e-16,2.6703006749925212e-29,154.0,0.0,0.99999999775241311,1.0,19.0,1.2020127355822175e-11,2.0862902871117187e-09,7.4619624433987933e-11,7.4640436115040163e-11,4.7157790204018856e-15,7.8891133992595795e-19,7.4651088302066893e-19,3.9490940119416542e-19,1.1747126867162556e-14,1.6248011832185578e-27,5.7917751314672889e-21,4.4745077954654362e-20,2.3761890424376343e-27,2.376189033966143e-27,7.1851511948761909e-36,5.0924192031229657e-26,1.2863399045049838e-36,4.7994359588410651e-22,2.5908732471317331e-64,2.3646669057450269e-64,2.3646669063125011e-64,3.9062684599555138e-32,4.1611388543460058e-33,1.0571132891762898e-27,7.6003513860132342e-32,5.027789963358957e-33
7.55787544000067e-18,0.5590205836588675,3.1692777770463376e-14,6.142309258676311e-25,5.9009054652989528e-25,2.9472539181896729e-39,5.9347745797310537e-35,0.0,0.0,1.0117797562167579e-15,6.5147327545700333e-29,154.0,0.0,0.9999999964680778,1.0,19.0,1.8888772378722496e-11,3.278441813641446e-09,1.1725941411582421e-10,1.1729211797646786e-10,1.1505035149894039e-14,1.9247044937609696e-18,1.7649539817217045e-18,9.6345672592622953e-19,2.8659338560215012e-14,5.2543083839920728e-27,1.4130177887407903e-20,1.0916444072388387e-19,9.1883471595605934e-27,9.1883471058374638e-27,4.5565572299767205e-35,1.9691522370843936e-25,8.1575596411667896e-36,1.170917094287403e-21,7.2433805920047006e-63,6.6109689024573541e-63,6.6109689054975834e-63,1.5104969381038806e-31,1.6090466160634718e-32,3.0245365940865836e-27,2.9378118151637556e-31,1.9441665976967945e-32
1.0306193993617141e-17,0.5590205836588675,4.3217425207439054e-14,1.1260814461615336e-24,1.0931627245837875e-24,7.3788618324492884e-39,1.4728637590277234e-34,0.0,0.0,1.3797006044754791e-15,1.2068775749471483e-28,154.0,0.0,0.99999999518374261,1.0,19.0,2.5757417392605011e-11,4.4705826513568162e-09,1.5989920315412427e-10,1.5994379908111594e-10,2.1313402371375755e-14,3.5655796630511209e-18,3.1774618485190701e-18,1.7848316752998903e-18,5.3092233660245679e-14,1.1412377682905401e-26,2.6176632920653268e-20,2.0223081691109034e-19,2.2803187321995104e-26,2.2803187146979237e-26,1.4844055227070122e-34,4.8869336457981363e-25,2.6575316066220257e-35,2.1691635936840885e-21,4.8381792477710365e-62,4.4157630833572465e-62,4.4157630857442748e-62,3.7486814450231916e-31,3.9932527058902223e-32,6.0808840763689166e-27,7.2886829413519081e-31,4.824936385060343e-32
1.5802831100850085e-17,0.5590205836588676,6.6266720221195994e-14,2.6141986409868196e-24,2.5637231653399091e-24,2.6973167870092758e-38,5.3494597955884521e-34,0.0,0.0,2.1155437635787923e-15,2.8304175774036224e-28,154.0,0.0,0.99999999261507266,1.0,19.0,3.9494707393324744e-11,6.854832270500426e-09,2.4517877930069889e-10,2.4524715918324333e-10,4.9984601471089984e-14,8.3621181251846052e-18,7.0218392572495381e-18,4.1858261431109401e-18,1.2451292827997562e-13,3.2110783260789625e-26,6.1390347019680191e-20,4.7427869535301994e-19,8.2821434383628404e-26,8.2821433381611615e-26,8.4986336210186587e-34,1.774929840388325e-24,1.5215343398434948e-34,5.0871978226493708e-21,1.1885189203654987e-60,1.0847506376054462e-60,1.0847506386117923e-60,1.3615271630102672e-30,1.4503539718656297e-31,1.5489781952130115e-26,2.6452969872901262e-30,1.7524219169307377e-31
