Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234)
0.0,0.5590205836588673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.280557827463339e-25,0.5590205836588673,3.0529889227372529e-21,2.3254697461321751e-33,1.0863375632492369e-38,7.3302413667840684e-60,2.8933212645997918e-55,0.0,0.0,9.7465320145682418e-23,1.1993375443660583e-42,154.0,0.0,0.99999999999999978,1.0,19.0,1.8195695461641257e-18,3.1581867088332746e-16,1.1295687126841866e-17,1.129883758108473e-17,2.118058666242349e-28,3.543320338636677e-32,3.5443085122933803e-32,1.7737058915482276e-32,5.2761386306643177e-28,4.3874651616656532e-47,2.6013200014064101e-34,2.0096821655018046e-33,4.4796050899153664e-47,4.4796050899153586e-47,7.0321410346017312e-62,9.6003011736968235e-46,1.2589320739357985e-62,2.1556203514232603e-35,6.5336568876756473e-110,5.963210334200442e-110,5.9632103342004432e-110,7.3637556049842851e-52,7.8446022890826576e-53,4.392529772298456e-47,1.4336794407726017e-51,9.478420138443567e-53
2.038556191689735e-24,0.5590205836588673,8.5483689836643167e-21,6.5113504865071397e-33,6.5614788820253974e-38,1.1077460753487066e-58,3.4349731846390291e-54,0.0,0.0,2.729028964080216e-22,7.2439987679759556e-42,154.0,0.0,0.999999999999999,1.0,19.0,5.0947947292595494e-18,8.8429227847088721e-16,3.1627923955157071e-17,3.1636745227037048e-17,1.2793074344074458e-27,2.1401654845362794e-31,2.1407622924129487e-31,1.0713183584930753e-31,3.1867877329139416e-27,5.2087976516565125e-46,1.5711972808494625e-33,1.2138480279630589e-32,5.3181871627473982e-46,5.3181871627473811e-46,1.57306182086228e-60,1.1397477553388872e-44,2.8161806921030765e-61,1.3019946922596595e-34,6.9621184255926643e-108,6.3542633562123272e-108,6.3542633562123295e-108,8.742379096203963e-51,9.3131118375988972e-52,5.2148087172681346e-46,1.7020642316179749e-50,1.1252780388358889e-51
4.659557009576537e-24,0.5590205836588673,1.9539129105518488e-20,1.4883252756605264e-32,3.1590696339287908e-37,1.1916626785163316e-57,3.3724867606322635e-53,0.0,0.0,6.2377804893314339e-22,3.4876735790238722e-41,154.0,0.0,0.99999999999999778,1.0,19.0,1.1645245095450388e-17,2.0212394936362888e-15,7.229239761178689e-17,7.2312560518940886e-17,6.159314601388758e-27,1.0303975544751367e-30,1.0306848418565387e-30,5.1579367325914266e-31,1.5343011137862245e-26,5.1140263287925604e-45,7.5646385640897048e-33,5.844155737278785e-32,5.2214276928049685e-45,5.2214276928049312e-45,3.1081050743749348e-59,1.1190111047986635e-43,5.564298480525001e-60,6.2685439819389999e-34,1.5844152600855275e-105,1.4460816683577355e-105,1.4460816683577367e-105,8.583375920763649e-50,9.1436684281546492e-51,5.1199245545454709e-45,1.6710967547160452e-49,1.104804651336576e-50
9.901558645350141e-24,0.5590205836588673,4.1520649349227002e-20,3.1627620454194308e-32,1.3796487053265411e-36,1.0953433069579217e-56,2.9829302073596158e-52,0.0,0.0,1.3255283539851604e-21,1.5231586813524814e-40,154.0,0.0,0.99999999999999534,1.0,19.0,2.4746145827832035e-17,4.2951339239282182e-15,1.5362134492504421e-16,1.5366419110274541e-16,2.6899345060823225e-26,4.5000168300643548e-30,4.5012710509227723e-30,2.2526064822344013e-30,6.7006960608304395e-26,4.5232946494216089e-44,3.3036764017860016e-32,2.5522963501868146e-31,4.6182936634983433e-44,4.6182936634982776e-44,5.5307069142169742e-58,9.8975264978782707e-43,9.9013718466380884e-59,2.7376378463077039e-33,2.6775917449955353e-103,2.4438140904898212e-103,2.4438140904898242e-103,7.5919211505310171e-49,8.087471175952451e-50,4.5285053831892792e-44,1.478066153217072e-48,9.7718720259212491e-50
2.038556191689735e-23,0.5590205836588673,8.5483689836644705e-20,6.5118608478943539e-32,5.7597617603475468e-36,9.3708926004391656e-56,2.5073341046600927e-51,0.0,0.0,2.7290289640962883e-21,6.3588876602969861e-40,154.0,0.0,0.99999999999999045,1.0,19.0,5.0947947292595194e-17,8.842922784356583e-15,3.1627923955154951e-16,3.1636745227034185e-16,1.1229947048007784e-25,1.8786684435413641e-29,1.8791916894972347e-29,9.4041886367020744e-30,2.7974087018763016e-25,3.8020954371976254e-43,1.3792198647455532e-31,1.0655334841486278e-30,3.881954097237761e-43,3.881954097237651e-43,9.3283455952140813e-57,8.3194673920234823e-42,1.6700110833853136e-57,1.1429099103247591e-32,3.920584127110737e-101,3.5782821450251541e-101,3.578282145025163e-101,6.3814760369379198e-48,6.7980068300820325e-49,3.8064649763409838e-43,1.2424036589837015e-47,8.2138472372375038e-49
4.135356845999177e-23,0.5590205836588673,1.7340977081148283e-19,1.3210959504672662e-31,2.353050615500455e-35,7.7480352173723923e-55,2.0556645947326019e-50,0.0,0.0,5.5360301843469224e-21,2.5978130946562958e-39,154.0,0.0,0.99999999999998068,1.0,19.0,1.0335155022212099e-16,1.7938500504591337e-14,6.4159502880452263e-16,6.417739746054843e-16,4.5877997930811625e-25,7.6749735862683987e-29,7.6771082211346749e-29,3.8419179090864467e-29,1.1428327318701219e-24,3.1171772790152542e-42,5.6345631758452824e-31,4.3530519577598973e-30,3.1826605067020062e-42,3.1826605067018252e-42,1.5321835649009428e-55,6.8208020087798896e-41,2.742998219046633e-56,4.6691599059980787e-32,5.3610671667479185e-99,4.8929981602494216e-99,4.8929981602494484e-99,5.2319231343164915e-47,5.573416717574051e-48,3.1207426420517827e-42,1.0185975776449514e-46,6.7342082248211869e-48
8.328958154618061e-23,0.5590205836588673,3.4926193276116992e-19,2.6612761025543129e-31,9.5114068082780701e-35,6.3005735627105289e-54,1.6647307284519664e-49,0.0,0.0,1.1150032624961696e-20,1.050077588342002e-38,154.0,0.0,0.99999999999996103,1.0,19.0,2.0815875608117052e-16,3.6129655942572944e-14,1.2922266073103191e-15,1.2925870192755671e-15,1.8544620288262024e-24,3.1023470358261874e-28,3.103207467542699e-28,1.5529646457336471e-28,4.6195126250910594e-24,2.5243543393660361e-41,2.2775805245905099e-30,1.7595732006377875e-29,2.5774009943711327e-41,2.5774009943708401e-41,2.4837355841990245e-54,5.523662307540063e-40,4.4465183164282554e-55,1.8873490874489529e-31,7.090524542330041e-97,6.4714584730477276e-97,6.4714584730477941e-97,4.2369484077976533e-46,4.5134973584774264e-47,2.527214049406026e-41,8.2488671943514884e-46,5.4535364165767949e-47
1.671616077185583e-22,0.5590205836588673,7.0096625666058756e-19,5.3430780896539479e-31,3.8244948449219893e-34,5.0816408323683518e-53,1.3399202155972711e-48,0.0,0.0,2.2378037506645273e-20,4.2223157988267606e-38,154.0,0.0,0.99999999999992184,1.0,19.0,4.1777316779926109e-16,7.2511966808584534e-14,2.5934897643213121e-15,2.5942131086149242e-15,7.4567102545415436e-24,1.2474400984769201e-27,1.2477841266609111e-27,6.2444025378120513e-28,1.8574857089041504e-23,2.0317932007838958e-40,9.1580511177442656e-30,7.0751664509115007e-29,2.0745165490853683e-40,2.0745165490848964e-40,3.9999795865466078e-53,4.4459239722180007e-39,7.1609806685914e-54,7.5889476720079187e-31,9.2249668234335512e-95,8.4195448949805004e-95,8.4195448949806734e-95,3.4102652467578896e-45,3.6328553394975232e-46,2.0340504957700771e-40,6.6394058265942744e-45,4.3894805549709807e-46
3.3490566006331365e-22,0.5590205836588672,1.4043749044595964e-18,1.0712448795555397e-30,1.5337934875266378e-33,4.0818502681863733e-52,1.075201626577671e-47,0.0,0.0,4.4834047271828539e-20,1.693337483174673e-37,154.0,0.0,0.99999999999984346,1.0,19.0,8.3700199123540876e-16,1.4527658850080129e-13,5.1960160783409027e-15,5.1974652872904076e-15,2.9904743206537984e-23,5.002792726026098e-27,5.0041568112543052e-27,2.5042847047373532e-27,7.4493484711654734e-23,1.6303431001557336e-39,3.6727881020600204e-29,2.8374581913594948e-28,1.664668882146868e-39,1.664668882146111e-39,6.4208530902191122e-52,3.5675739921494776e-38,1.149495988628312e-52,3.0435074404590586e-30,1.1904331000965478e-92,1.086497666883575e-92,1.08649766688362e-92,2.736523314182137e-44,2.9151376207076007e-45,1.6320831129543469e-39,5.3277048374158088e-44,3.5222817054777597e-45
