Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286)
0.0,0.8047240108219279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.864606870281756e-20,0.8047240108219279,1.1466271908957296e-24,6.1544835320522742e-39,6.119532501157681e-39,3.9479285372335123e-60,4.4113486839785082e-51,0.0,0.0,5.4579469718671198e-24,8.9671079679717044e-41,154.0,0.0,0.99999999999999944,1.0,19.0,1.2137092234168318e-16,9.2986162292317846e-18,2.4767179050856823e-16,2.4767179708620347e-16,3.769042048506163e-25,3.449801159920446e-26,3.4492028425093999e-26,2.6944545676085273e-26,3.046059842862277e-25,1.8298991103948276e-37,9.1863849393147695e-30,8.5555983871105102e-31,5.0870640777141557e-41,5.0870640770827774e-41,5.5342839611124077e-51,3.6970309263372468e-41,7.7950216779490693e-52,6.2616806112170558e-31,5.5187806862650686e-93,5.3711184365273544e-93,5.3711184365273638e-93,9.1693472886715448e-43,1.5199719022335304e-46,2.8575897224632748e-37,2.2751221996890706e-43,2.7716888186865154e-48,2.0486057631556142e-55,2.9309222519618856e-66,9.9985556741134265e-77,6.7669984265202365e-79,8.2696995871375113e-90,2.6575511205573605e-93,7.2245740157581107e-91,1.1442719504993461e-79,4.0895440031828112e-90,4.5745210976868164e-41,1.4014240089353839e-40,1.9520326322443921e-50,2.218232928032274e-52,6.523217233652972e-52,2.2468720943172184e-57
1.9220899236788915e-19,0.8047240108219279,3.210556134602383e-24,3.7059839219562588e-38,3.6961976307872946e-38,5.9661110752801997e-59,5.2371531593076977e-50,0.0,0.0,1.5282255578597564e-23,5.4161344145583024e-40,154.0,0.0,0.99999999999999822,1.0,19.0,3.3983858255670483e-16,2.6036123177267537e-17,6.9348101331221158e-16,6.9348103164234687e-16,2.2765012320737297e-24,2.0836799000834969e-25,2.0829696329534653e-25,1.6274505270447531e-25,1.8398200115582892e-24,2.1721962314370634e-36,5.5485765020173653e-29,5.1675814248216993e-30,6.0393624719994239e-40,6.0393624705870569e-40,1.2379969733121932e-49,4.3891148240009491e-40,1.7437151118970516e-50,3.7820550883472151e-30,5.8806890767090663e-91,5.7233434910740204e-91,5.72334349107404e-91,1.0885849109933277e-41,1.8045106418109828e-45,3.391199108678444e-36,2.7010065732794909e-42,3.2905487498001696e-47,4.5826488608633505e-54,1.2094531998886434e-64,7.526662693136697e-75,5.0940272037347737e-77,1.1288098507005824e-87,3.6275439727147642e-91,9.8614622529181664e-89,8.6137931132944149e-78,3.1556753637576929e-88,5.4308710861801736e-40,8.4646010108505544e-40,2.3174531399969533e-49,2.6334860188337246e-51,7.7443483975734784e-51,4.1630710600654615e-56
4.393348396980324e-19,0.8047240108219279,7.3384140223930536e-24,1.7817969205041439e-37,1.779560051468738e-37,6.4180733147923845e-58,5.1418680286349191e-49,0.0,0.0,3.4930889021536945e-23,2.6076367998836371e-39,154.0,0.0,0.999999999999996,1.0,19.0,7.7677390298671553e-16,5.9511128015015618e-17,1.5850994584723809e-15,1.5850994999588222e-15,1.0960371798696386e-23,1.0032021765421909e-24,1.0025050349321207e-24,7.8354734057449629e-25,8.8579400200858949e-24,2.1321246292004559e-35,2.6714007383599753e-28,2.4879680094821641e-29,5.9294818856888782e-39,5.9294818828982783e-39,2.4460724837104482e-48,4.3092583433242639e-39,3.445286971888662e-49,1.820896720500295e-29,1.3383072413084147e-88,1.3024990674881687e-88,1.3024990674881779e-88,1.0687791212430685e-40,1.7716792476295219e-44,3.3266826108967675e-35,2.6518250799881535e-41,3.2306798182532767e-46,9.0545406652812288e-53,4.7844759363329594e-63,5.9511050714743909e-73,4.0276935958341403e-75,1.7832426680442287e-85,5.7306296505236133e-89,1.5578532192834206e-86,6.8106662905136828e-76,3.439209375833893e-86,5.3320606723837004e-39,4.0753410133059204e-39,2.2752892330332251e-48,2.5855719496035837e-50,7.6034151908587757e-50,7.2552470921604534e-55
9.335865343583189e-19,0.8047240108219279,1.5594129799483844e-23,7.7765596462797252e-37,7.7718062778351257e-37,5.8993211343833384e-57,4.5479240422295581e-48,0.0,0.0,7.4228220825329586e-23,1.1388245747962305e-38,154.0,0.0,0.99999999999999145,1.0,19.0,1.650644543846607e-15,1.2646110145723781e-16,3.3683363470042499e-15,3.368336433410755e-15,4.7866808406320459e-23,4.3812474652180799e-24,4.3750853063399615e-24,3.4219568081095741e-24,3.8684939307128279e-23,1.8848615121602177e-34,1.1666708852345605e-27,1.0865609936238103e-28,5.2445595746412307e-38,5.2445595696755074e-38,4.3526520195730255e-47,3.8114891045468724e-38,6.1307031985355693e-48,7.9523343634199218e-29,2.2616800687934467e-86,2.20116583818324e-86,2.20116583818327e-86,9.4532302940672853e-40,1.5670302289383083e-43,2.9374146130438565e-34,2.34543953891565e-40,2.8574989000172639e-45,1.6112066893429117e-51,1.7075450140346295e-61,4.2535999212951039e-71,2.8788261940190227e-73,2.550869812962168e-83,8.1974766906512412e-87,2.2284120381561903e-84,4.8679781742755347e-74,2.8134868076139045e-84,4.716145920803748e-38,1.7798084865149953e-38,2.0124675560071143e-47,2.2869086817328914e-49,6.7250777249735987e-49,1.2052570706989989e-53
1.9220899236788917e-18,0.8047240108219277,3.2105561359703234e-23,3.2455547861867489e-36,3.2445761333421888e-36,5.047003740513534e-56,3.8228041913075338e-47,0.0,0.0,1.5282314410456979e-22,4.7543774102777972e-38,154.0,0.0,0.99999999999998246,1.0,19.0,3.39838582556587e-15,2.6036090340874315e-16,6.934810116914109e-15,6.9348102876083381e-15,1.9983437892455964e-22,1.8290845678971777e-23,1.8239117358150167e-23,1.428599368273018e-23,1.6150190659366177e-22,1.5826959165008539e-33,4.8706212763127723e-27,4.5361782509929738e-28,4.4083683241688824e-37,4.4083683157934768e-37,7.341372785664953e-46,3.203784402452942e-37,1.0340324033454355e-46,3.3199430485320817e-28,3.3115978040141165e-84,3.222991640852914e-84,3.2229916408530013e-84,7.9460096635546846e-39,1.3171833247805163e-42,2.4607065124747438e-33,1.971365988883093e-39,2.4018986350975789e-44,2.7175340827144541e-50,5.769405547031847e-60,2.876710136944921e-69,1.9469505004987716e-71,3.4516956747491567e-81,1.1092371220791063e-84,3.0152402656302786e-82,3.2922142239104465e-72,2.0248868847193913e-82,3.9642025272264075e-37,7.4303500519000064e-38,1.6916002347350822e-46,1.9222838252197474e-48,5.6527373160369477e-48,1.9610945306043966e-52
3.899096702320037e-18,0.8047240108219277,6.5128424504293252e-23,1.3257137604840859e-35,1.3255152189207932e-35,4.17297734023179e-55,3.1341658413663129e-46,0.0,0.0,3.1001402934966464e-22,1.9423256491717502e-37,154.0,0.0,0.99999999999996447,1.0,19.0,6.8938683890023154e-15,5.2815992758125267e-16,1.4067757628118311e-14,1.4067757945319955e-14,8.1638763241827497e-22,7.4724072443856487e-23,7.4301094847954289e-23,5.8362926169671903e-23,6.5978716907770783e-22,1.2949022231825774e-32,1.9898077077452173e-26,1.8531768213127963e-27,3.6142466835010374e-36,3.6142466697444464e-36,1.2058190568793831e-44,2.6266529848389465e-36,1.6984003441359245e-45,1.3563050573590484e-27,4.5283298454050672e-82,4.4071684131146812e-82,4.4071684131149211e-82,6.514618801651515e-38,1.0799064651211348e-41,2.0038481255632717e-32,1.6160526682557583e-38,1.9692193749294364e-43,4.46355297055533e-49,1.8968522579008952e-58,1.8923939745626871e-67,1.2807676899226379e-69,4.5422325643792744e-79,1.4596921264037406e-82,3.9675576185551644e-80,2.1657261478184139e-70,1.3725342584626917e-80,3.2500889862133246e-36,3.0355404235407828e-37,1.3868760642059403e-45,1.5760032413756874e-47,4.6342985976716189e-47,3.1623899767355617e-51
7.85311025960233e-18,0.8047240108219279,1.3117415089007822e-22,5.3583444503670677e-35,5.3579444508787287e-35,3.3934235975178382e-54,2.5381287590170081e-45,0.0,0.0,6.243999545862711e-22,7.8512502112615094e-37,154.0,0.0,0.99999999999992839,1.0,19.0,1.3884833515866889e-14,1.0637556570143074e-15,2.8333652536064647e-14,2.8333653059130473e-14,3.299961175220276e-21,3.0204664565756055e-22,2.9863932824669734e-22,2.3591212193882375e-22,2.666958630198133e-21,1.0443185293019366e-31,8.0431208324927931e-26,7.4908369601582676e-27,2.9269106520774078e-35,2.9269106297775022e-35,1.9546728922913622e-43,2.1271267755302148e-35,2.7531769586963762e-44,5.4824018557833421e-27,5.9891496209597855e-80,5.8289020305771179e-80,5.8289020305777516e-80,5.2757072110871855e-37,8.745362452012273e-41,1.6011852192277805e-31,1.3084100320651597e-37,1.5947212727675417e-42,7.2355957598341084e-48,6.1523814748779075e-57,1.2278471325898098e-65,8.3100398615157326e-68,5.8949290983243109e-77,1.8943947808578154e-80,5.1482706592427119e-78,1.4051939917693229e-68,9.0373818020766639e-79,2.6320002471940361e-35,1.227013957984138e-36,1.1231281771575872e-44,1.2762863775003354e-46,3.7527209259682069e-46,5.0786543406621431e-50
1.5761137374166912e-17,0.8047240108219279,2.6326560404806788e-22,2.1544862782241955e-34,2.1544059021017228e-34,2.7369637935048564e-53,2.0429068405733789e-44,0.0,0.0,1.253188424044825e-21,3.1570009371547355e-36,154.0,0.0,0.99999999999985623,1.0,19.0,2.7866763769562756e-14,2.134937840312876e-15,5.6865441894109082e-14,5.6865442489096691e-14,1.3268933092342579e-20,1.2145162575003436e-21,1.187377691609455e-21,9.4859100354631853e-22,1.072367029341875e-20,8.3367589832220851e-31,3.2341034599237235e-25,3.0120325563201574e-26,2.3558322994567963e-34,2.3558322635438747e-34,3.1479025523494809e-42,1.7120887773205058e-34,4.4338963473142829e-43,2.2044496413585146e-26,7.7920476054954942e-78,7.583561103799429e-78,7.5835611038010791e-78,4.2463481437436874e-36,7.0390283911123503e-40,1.2553384262987799e-30,1.052621414277633e-36,1.2835645704293503e-41,1.165265252684666e-46,1.9820630399332663e-55,7.9121650821682396e-64,5.354934301879914e-66,7.597715647192336e-75,2.4416024130736535e-78,6.6332088775463686e-76,9.0549764392562728e-67,5.8662416634071807e-77,2.1184529934511401e-34,4.9337690364603739e-36,9.0399123994805964e-44,1.0272632396821564e-45,3.0201071051701204e-45,8.1398458630884423e-49
3.157719160329608e-17,0.8047240108219279,5.2744851190972615e-22,8.6402930834429485e-34,8.6401312770852547e-34,2.1985500157438183e-52,1.6393040867559918e-43,0.0,0.0,2.5108318389007254e-21,1.266136882598908e-35,154.0,0.0,0.99999999999971201,1.0,19.0,5.5830624276821391e-14,4.2772651052823959e-15,1.1392901877880505e-13,1.1392901822607384e-13,5.3213829764741207e-20,4.8707532363501443e-21,4.6574447065232167e-21,3.8042640641633528e-21,4.3006288559592121e-20,6.5818546456340142e-30,1.2970200953291132e-24,1.207959739881255e-25,1.8904070089466118e-33,1.8904069512996678e-33,5.0529591396821081e-41,1.3738307298697161e-33,7.1173526296841873e-42,8.8408287704842572e-26,1.005522401283053e-75,9.7861832441814704e-76,9.7861832441857278e-76,3.4074269662852285e-35,5.6483767596600989e-39,9.5752664853923716e-30,8.4385976364840676e-36,1.0299703473076946e-40,1.8704923017733418e-45,6.3639334858446878e-54,5.0810915556583843e-62,3.4388705524352663e-64,9.7585764781617467e-73,3.1360169012715419e-76,8.5141824456780636e-74,5.8149904634614965e-65,3.7809467379071281e-75,1.6999094092966716e-33,1.978661954611072e-35,7.2539599575100201e-43,8.2430912640238341e-45,2.422789335762688e-44,1.3032279798237628e-47
