Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535)
0.0,0.3614713197287289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.057881237554527e-23,0.3614713197287289,8.70450446769865e-22,6.3345082470431567e-35,1.1338508660039193e-37,2.7303644879519689e-58,2.3345619771127829e-52,0.0,0.0,1.8169221299419672e-22,7.1723629320537204e-41,154.0,0.0,0.99999999999999944,1.0,19.0,1.5963789447643689e-17,3.1159383662816118e-16,1.277774813827085e-16,1.2777853352534651e-16,1.27888814438893e-26,3.8453747634783951e-29,3.8454031929736712e-29,2.1902307422128177e-29,2.2863986584579505e-26,1.3589723262246843e-42,1.0232915037394367e-31,1.3788692052431203e-31,7.5753458209077347e-44,7.5753458209062213e-44,1.2984775169520521e-56,3.6499586776993206e-43,2.1468493868981685e-57,7.3939217843201223e-33,2.0074268035539154e-101,1.866021740361331e-101,1.8660217403613326e-101,2.540144868835789e-47,2.3607002111436811e-49,1.5480635353056316e-42,2.9966233601917037e-47,1.0011631293446699e-49,6.3496270959190758e-59,2.1616057819068675e-72,1.3749084275828346e-85,2.671731246709163e-86,5.3556538470279638e-100,9.0822556342664695e-104,9.1044430171574908e-101,1.3925368011852452e-88,1.8508614218435164e-94,2.041590106411003e-43,1.6487264823891818e-39,4.9617281061644812e-52
1.4162067465152674e-22,0.3614713197287289,2.4372612509559088e-21,1.7773359859779462e-34,6.8484592306643296e-37,4.1261268145039414e-57,2.7715929920935946e-51,0.0,0.0,5.087381964310634e-22,4.3321072113534498e-40,154.0,0.0,0.99999999999999845,1.0,19.0,4.4698610453402294e-17,8.7246274244134492e-16,3.5777694787145831e-16,3.577798938707741e-16,7.7244843912410198e-26,2.3226063571348389e-28,2.3226216425294154e-28,1.3228993681998345e-28,1.3809847895534001e-25,1.6133665060941647e-41,6.1806806825833633e-31,8.3283699996615864e-31,8.9934505585748748e-43,8.9934505585714911e-43,2.9046422651481917e-55,4.3332309417181844e-42,4.8024162039699885e-56,4.4659287577287846e-32,2.139069035504362e-99,1.9883909676399712e-99,1.9883909676399745e-99,3.0156627381382704e-46,2.8026232906684345e-48,1.8378435083411828e-41,3.5575912073263905e-46,1.1885808664885906e-48,1.4203861820844773e-57,8.9199267793169727e-71,1.0349967460330714e-83,2.0112125950685871e-84,7.3104411047698791e-98,1.2397258194667605e-101,1.2427519794554602e-98,1.0482669456706876e-86,1.4282075916851803e-92,2.4237757740814167e-42,9.9583079536234436e-39,5.8905636076221328e-51
3.237043992034897e-22,0.3614713197287289,5.5708828593291429e-21,4.0798010157487088e-34,3.2972383183403846e-36,4.4386989417998093e-56,2.7211668787918024e-50,0.0,0.0,1.1628301634940469e-21,2.0857231412291005e-39,154.0,0.0,0.99999999999999634,1.0,19.0,1.0216825246491932e-16,1.9942005535976848e-15,8.177758808484553e-16,8.1778261456084495e-16,3.7190067225808302e-25,1.1182349812103499e-27,1.1182404194812889e-27,6.3691909969042677e-28,6.6488472964676842e-25,1.5840012808076413e-40,2.9757316928700325e-30,4.0097516488367005e-30,8.829823088829015e-42,8.8298230888223279e-42,5.7390836367765441e-54,4.2543918333423354e-41,9.4887651403400397e-55,2.1501524548794369e-31,4.8680206440618214e-97,4.5251126159449526e-97,4.5251126159449687e-97,2.9607967639395962e-45,2.751632166104908e-47,1.8043685434419147e-40,3.4928640463705334e-45,1.1669557414890022e-47,2.8064437369513635e-56,3.5286343244182996e-69,8.1834080464049467e-82,1.5902053215741789e-82,1.154870523382666e-95,1.9584645439052611e-99,1.9632435242627685e-96,8.2883315245925437e-85,1.5565304970675995e-90,2.3796774272585142e-41,4.7944966107769175e-38,5.7833902804946686e-50
6.878718483074156e-22,0.3614713197287289,1.1838126076080201e-20,8.7435099041846606e-34,1.4399905998259983e-35,4.0799290492737627e-55,2.4068414643228377e-49,0.0,0.0,2.4710140983770142e-21,9.1089009297753977e-39,154.0,0.0,0.99999999999999212,1.0,19.0,2.1710753648795278e-16,4.237676174030257e-15,1.7377737468004409e-15,1.7377880559378495e-15,1.6241879420283563e-24,4.8836259495228319e-27,4.8836328218046056e-27,2.7815930411113204e-27,2.9037262938359602e-24,1.4010106984026697e-39,1.2995802097446949e-29,1.7511638906481271e-29,7.8098785274788614e-41,7.8098785274669599e-41,1.0212392675449708e-52,3.7629613954545097e-40,1.688475057602205e-53,9.3902806660777235e-31,8.2267396807451655e-95,7.6472402726660164e-95,7.6472402726660709e-95,2.6187916863560831e-44,2.4337874896719398e-46,1.5958775289764366e-39,3.0893985206585345e-44,1.0321591354713762e-46,4.9939166703767152e-55,1.2593445233388242e-67,5.8491578786046804e-80,1.1366122686985e-80,1.6520046273582383e-93,2.8015207735895423e-97,2.8083557955021171e-94,5.9241527934101891e-83,1.2733385918640394e-88,2.1047977344797699e-40,2.0938826326230772e-37,5.1153432082249679e-49
1.4162067465152676e-21,0.36147131972872887,2.4372612509600665e-20,1.8306042996637593e-33,6.0116772915619697e-35,3.4904652011011018e-54,2.0230953437287263e-48,0.0,0.0,5.0873819711709534e-21,3.802786832032094e-38,154.0,0.0,0.99999999999998368,1.0,19.0,4.469861045340172e-16,8.7246274073749703e-15,3.577769478696378e-15,3.577798938679312e-15,6.7806649294398431e-24,2.0388176995109902e-26,2.038806463139809e-26,1.1612603381721751e-26,1.2122485665493319e-23,1.1775994304221713e-38,5.4254915527869935e-29,7.3107645261033045e-29,6.5646734827853642e-40,6.5646734827652907e-40,1.7224692860648268e-51,3.1629957854823807e-39,2.8478599745015541e-52,3.9202573300385814e-30,1.2045759055714029e-92,1.1197244271787237e-92,1.1197244271787394e-92,2.201252396262425e-43,2.0457450317578622e-45,1.3413201818357575e-38,2.5968253159238947e-43,8.6759194137371959e-46,8.4229703509240536e-54,4.2550404984544401e-66,3.9557882873271355e-78,7.6869142414852691e-79,2.2354023049938107e-91,3.7908654225569769e-95,3.8001133198390989e-92,4.0065073843177676e-81,9.1643103245246235e-87,1.7692093178245565e-39,8.7415478095267944e-37,4.2997541889594688e-48
2.8728765429309714e-21,0.3614713197287289,4.9441585376714991e-20,3.8371570443894258e-33,2.4559663298069093e-34,2.8859841308555557e-53,1.6586558208743531e-47,0.0,0.0,1.032011772887084e-20,1.5535625051536602e-37,154.0,0.0,0.99999999999996692,1.0,19.0,9.0674324062613569e-16,1.7698529843982671e-14,7.2577609424561118e-15,7.2578207041120463e-15,2.7701228660188413e-23,8.3292355519629204e-26,8.3290743788925133e-26,4.744127385440608e-26,4.9524309318353049e-23,9.6541062318737049e-38,2.2164903287263266e-28,2.9866858532437664e-28,5.3821159419829755e-39,5.3821159419500064e-39,2.8291609545102305e-50,2.5932150404536522e-38,4.6776185503530904e-51,1.6015530341641466e-29,1.6471556604007217e-90,1.5311284409614149e-90,1.5311284409614583e-90,1.804719784205001e-42,1.6772253757299386e-44,1.099513271911535e-37,2.1290338104970082e-42,7.1130428427677956e-45,1.3834753963001153e-52,1.3989642080768613e-64,2.6022496388828226e-76,5.0567088924672718e-77,2.941663721714611e-89,4.9885661977659257e-93,5.0007350571940531e-90,2.6356143546829771e-79,6.2118679435392078e-85,1.4505046872812914e-38,3.5712075098290494e-36,3.5251982641452281e-47
5.786216135762379e-21,0.361471319728729,9.9579531111237287e-20,8.22644703880241e-33,9.9274085803439877e-34,2.3468343718657143e-52,1.3432224983985076e-46,0.0,0.0,2.0785589292718657e-20,6.2797480584241064e-37,154.0,0.0,0.99999999999993328,1.0,19.0,1.8262575128103326e-15,3.5646334596871165e-14,1.4617743869847027e-14,1.4617864234776754e-14,1.1197279486092261e-22,3.3668101828202265e-25,3.3666518470510354e-25,1.9176521364874005e-25,2.0018517575368523e-22,7.8172299502359169e-37,8.9594082948854762e-28,1.2072661748455402e-27,4.3585770304825187e-38,4.3585770304290738e-38,4.5861917589074018e-49,2.1000527658826061e-37,7.5826212120631133e-50,6.4737334303625627e-29,2.1785210427778486e-88,2.0250639378075659e-88,2.0250639378076795e-88,1.4615089021764505e-41,1.3582605942478739e-43,8.9011962762715437e-37,1.7241460059567512e-41,5.760326399454179e-44,2.2426731929364535e-51,4.5375067908258965e-63,1.6884283218226757e-74,3.2809652009807792e-75,3.8177120427263955e-87,6.4741969118668803e-91,6.4899884768782907e-88,1.7100764874666077e-77,4.0901727906462068e-83,1.1746562984292963e-37,1.4435391741327889e-35,2.8547969509667265e-46
1.1612895321425193e-20,0.3614713197287289,1.9985542258145637e-19,1.850976504764568e-32,3.9917673278533458e-33,1.8928069502849746e-51,1.0811423288656777e-45,0.0,0.0,4.1716532614206471e-20,2.5250590904934255e-36,154.0,0.0,0.99999999999986611,1.0,19.0,3.6652860571785632e-15,7.1541943621340512e-14,2.9337709724114629e-14,2.9337951295303208e-14,4.5023767994361648e-22,1.3537795665000235e-24,1.3536409653130879e-24,7.7107948609816496e-25,8.0493578107426249e-22,6.2905133702095084e-36,3.6025386703517211e-27,4.8543641912859024e-27,3.508161981580234e-37,3.508161981494163e-37,7.38592023337882e-48,1.6903051543431614e-36,1.2211577605160316e-48,2.6030597398121407e-28,2.8343156027067147e-86,2.6346637019848995e-86,2.6346637019851949e-86,1.1763495253665966e-40,1.0932462922153494e-42,7.1597172453408573e-36,1.3877414590083057e-40,4.6364116419151901e-43,3.6117559026744056e-50,1.4618182002851845e-61,1.0880166049036203e-72,2.1142411394042313e-73,4.920502597140468e-85,8.3443442451386442e-89,8.3646947315497053e-86,1.1019665982107728e-75,2.6549661134218438e-81,9.4546557499560652e-37,5.8044075297418814e-35,2.2977889474168228e-45
2.3266253692750824e-20,0.3614713197287289,4.0040720552659244e-19,4.5095353146766896e-32,1.6008772346475497e-32,1.5204054929266989e-50,8.6754863273131079e-45,0.0,0.0,8.3578420032350862e-20,1.012661643777602e-35,154.0,0.0,0.99999999999973177,1.0,19.0,7.3433431459143767e-15,1.4333315974504881e-13,5.8777641430592927e-14,5.8778125413144638e-14,1.8056544426281258e-21,5.4292615524272486e-24,5.4281047452100363e-24,3.0923735821592724e-24,3.2281524489667658e-21,5.0453778355647054e-35,1.4447791342009797e-26,1.9468171572319807e-26,2.8150790535985764e-36,2.8150790534604132e-36,1.185603703520355e-46,1.3563634152400002e-35,1.9602286199173971e-47,1.0439433803389228e-27,3.6575341391082055e-84,3.3998939376798343e-84,3.3998939376805983e-84,9.4394641575347574e-40,8.772612991977785e-42,5.7376298196531683e-35,1.1135731276524919e-39,3.7204280604480402e-42,5.7976676679185621e-49,4.693591320139889e-60,6.9871636432739629e-71,1.35775030978948e-71,6.3199929742763353e-83,1.0717644522046876e-86,1.0743776667082662e-83,7.0767494882607184e-74,1.7111954091612245e-79,7.5867656972904459e-36,2.3278270276684556e-34,1.8438309198980523e-44
