Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198)
0.0,0.7706290525291364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.986366468833608e-21,0.7706290525291364,3.5981836323113573e-23,8.8810149626953251e-38,6.9487843234979935e-38,1.1204223619068287e-58,7.3361798644552809e-51,0.0,0.0,3.5052401273842011e-23,1.9741141482980191e-40,154.0,0.0,0.99999999999999922,1.0,19.0,1.1475628307806156e-16,8.3321560535866859e-17,3.0813022336402845e-16,3.0813029439426022e-16,4.4680572809735133e-25,5.8216196216332205e-27,5.8213641246077306e-27,4.0069383823982394e-27,4.9515690878321023e-25,8.7144113975794463e-39,3.7764413657161009e-30,1.4248212081275668e-30,2.7128315714291055e-41,2.7128315713885548e-41,3.5277766521035943e-52,5.6822366392222781e-41,5.2729139691716138e-53,2.7340404089413017e-31,1.9067314398519121e-94,1.821582887305638e-94,1.8215828873056441e-94,5.3851216105054636e-44,6.2749663021629088e-47,1.199424746785295e-38,2.5993379469293007e-44,4.0874854762913166e-48,9.6283917700970997e-56,2.5485229478521763e-67,1.1122204069877952e-78,3.7925342475194854e-80,5.6306471797860607e-92,1.0288274679771858e-95,8.4138951171460379e-93,1.2089063011271634e-81,3.903742324084439e-90,5.1273764614289632e-41,1.3025764334624978e-39,2.4610064020706162e-50,2.0335114710028592e-51,2.5254833757045504e-51,2.9199185896263263e-56,7.0241168876373239e-62,3.6838375821580892e-62,3.9794328446562526e-69,1.1914499610998196e-80,7.1134716763405905e-70,1.3439738396708951e-80,1.1105088641307985e-81,9.2503857817129356e-81,3.0829066429032996e-82,3.0829066428983522e-82,1.0082075556651744e-94,4.8775587172422359e-70,2.0371058135484249e-73,4.0864683676709477e-84,1.9290783688083469e-94,3.8603588050640534e-95,3.6792704101437776e-106,5.8276856654065871e-107,5.1327537814114725e-120,6.64893155458117e-75,1.9755069197222056e-83,3.9391351758744485e-94,3.5455254495417759e-121,1.5473299001589387e-132,7.9878969923091944e-133,3.6810870510531736e-86,1.9215740087994528e-42,1.8152474892201832e-53,1.8152432871828236e-53
2.2361826112734103e-20,0.7706290525291364,1.0074914170523349e-22,4.7380903107570091e-37,4.1970657314102817e-37,1.6931823011399884e-57,8.7095127803927923e-50,0.0,0.0,9.8146725337339666e-23,1.1923649637168963e-39,154.0,0.0,0.99999999999999778,1.0,19.0,3.2131759261856969e-16,2.3330036638050259e-16,8.6276462540041041e-16,8.6276482427208379e-16,2.698706567593343e-24,3.5162582512253834e-26,3.5159541543535007e-26,2.4201907722227367e-26,2.9907476956770665e-24,1.0345106466222836e-37,2.2809705848222694e-29,8.6059200967747676e-30,3.2206736414924262e-40,3.2206736414017155e-40,7.8914950052614258e-51,6.7459512691309405e-40,1.1795297547758753e-51,1.6513604069633506e-30,2.0317703114148697e-92,1.9410379211541584e-92,1.9410379211541693e-92,6.3932164635260506e-43,7.4496399936233125e-46,1.4236834343837663e-37,3.0859304150179458e-43,4.8526626560805536e-47,2.1538326824163549e-54,1.0516551098107176e-65,8.3725174525632264e-77,2.8549250649986338e-78,7.6858055059116244e-90,1.404344437542894e-93,1.148491851257979e-90,9.1003447169705425e-80,2.9954105206870711e-88,6.0872212727875087e-40,7.8675616577098619e-39,2.9217068002606423e-49,2.4141847911502795e-50,2.9982530532853342e-50,3.5467970869642064e-55,1.5711447701277473e-60,8.2400040482782701e-61,9.0987452754340137e-68,5.0226716456485141e-79,1.6264545560120315e-68,5.6656485373814361e-79,4.6814311565187973e-80,3.8995895543572003e-79,1.299629169930781e-80,1.2996291699269776e-80,7.7511747261054053e-93,2.0127385837116132e-68,8.4061741195290494e-72,3.0761913674712868e-82,2.6331824486608194e-92,5.2693707056651689e-93,9.0767271830665091e-104,1.4376848743337054e-104,2.2843751868501136e-117,2.9400504958699405e-73,1.5921223123010414e-81,3.0284364411261098e-92,1.5779658846470726e-118,1.241121235943642e-129,6.4071330792733197e-130,1.5518034277092089e-84,2.2812926539318149e-41,4.0606296703748278e-52,4.0606123306359651e-52
5.111274540053509e-20,0.7706290525291364,2.3028375247153532e-22,2.144369242659164e-36,2.0207064812994562e-36,1.8214483171317755e-56,8.5510513144073463e-49,0.0,0.0,2.2433538054666313e-22,5.7407242153680962e-39,154.0,0.0,0.99999999999999489,1.0,19.0,7.344402116995753e-16,5.3325796559007612e-16,1.9720334293976976e-15,1.9720338839003641e-15,1.2993110121351099e-23,1.692926985609319e-25,1.6926280411001089e-25,1.1652176654827183e-25,1.4399162406812919e-23,1.0155525675655485e-36,1.098189149044865e-28,4.1433800727613617e-29,3.162076479322321e-39,3.1620764791430931e-39,1.5592263199562245e-49,6.6232148129208729e-39,2.330551991039491e-50,7.950589508643372e-30,4.6238338521260454e-90,4.4173481607010255e-90,4.4173481607010743e-90,6.2768978739293586e-42,7.3141007208571602e-45,1.3972015897208278e-36,3.0297771646807951e-42,4.7643727569104338e-46,4.2556102427215388e-53,4.1602428520661668e-64,6.6198975117092072e-75,2.2573033070887761e-76,1.2141688485979232e-87,2.2185199566272039e-91,1.8143332226145785e-88,7.1953686200970902e-78,3.0629334603652126e-86,5.9764698105566359e-39,3.7878922679035241e-38,2.8685490613929887e-48,2.3702608862055686e-49,2.9437009106342302e-49,3.6522931525317765e-54,3.1037895350238693e-59,1.6278294625045347e-59,1.8829072470816112e-66,2.0797112146649663e-77,3.3658081171453792e-67,2.3459433004598044e-77,1.9383922031413298e-78,1.6146831267351389e-77,5.3813087619974177e-79,5.381308761965949e-79,6.4129984855457098e-91,7.9621941392652856e-67,3.3253988337561268e-70,2.4322519779514427e-80,4.1597828440516566e-90,8.3243141184667965e-91,2.8652527081578083e-101,4.5383436339409357e-102,1.4412624948894109e-114,1.3955180243604483e-71,1.5085941086722486e-79,2.5056019244545796e-90,9.9557334578838302e-116,1.5653899446684123e-126,8.0811297126919736e-127,6.4254840564419894e-83,2.2397866357804857e-40,8.0230924822497759e-51,8.0230238887188554e-51
1.0861458397613707e-19,0.7706290525291364,4.8935297401238676e-22,9.087739462210278e-36,8.8249560911135962e-36,1.6742249253522857e-55,7.5633080580234721e-48,0.0,0.0,4.7671271929462249e-22,2.5071252495004175e-38,154.0,0.0,0.99999999999998901,1.0,19.0,1.560685449861544e-15,1.1331731140904361e-15,4.190571037090365e-15,4.1905720026475539e-15,5.6744322800591761e-23,7.3934569157374545e-25,7.3908114859413667e-25,5.08881157908618e-25,6.2884922242571983e-23,8.9800269427249526e-36,4.7960805333706647e-28,1.809522933832621e-28,2.7968208361761194e-38,2.7968208358571922e-38,2.7745595338866118e-48,5.8581582366837273e-38,4.1470926161678666e-49,3.4722313187789568e-29,7.8140747949838516e-88,7.4651231050073215e-88,7.46512310500749e-88,5.5518451020372385e-41,6.4692392568956857e-44,1.2347797933978479e-35,2.6797900427345491e-41,4.2140333667024417e-45,7.5726303859788886e-52,1.4847609951492625e-62,4.7316255323362299e-73,1.6134258791230646e-74,1.7368288037051633e-85,3.1735202158591856e-89,2.5953375840183326e-86,5.1429481829988433e-76,2.4506279769200296e-84,5.2861196316163989e-38,1.6542720698718105e-37,2.5371991584717039e-47,2.0964688089148942e-48,2.6036670656397215e-48,3.5328743688561484e-53,5.5211417424217282e-58,2.8957190255257569e-58,3.654949751223591e-65,8.0869109148182103e-76,6.5334389455920654e-66,9.1221331003861138e-76,7.5372129757261331e-77,6.2786642136454708e-76,2.0925120429022491e-77,2.092512042877757e-77,4.9912147829072152e-89,2.8416505428156735e-65,1.1868111862747611e-68,1.7384719580290306e-78,5.9504335512107903e-88,1.1907659548207727e-88,8.1999846257355202e-99,1.2988157014863048e-99,8.2507540154864549e-112,5.3542457655762961e-70,1.1604867653441199e-77,1.9501014063243719e-88,5.6993301428255165e-113,1.7924129601957405e-123,9.253107623767222e-124,2.4985395980011286e-81,1.9810658794720297e-39,1.4276566185617434e-49,1.4276321385560912e-49
2.23618261127341e-19,0.7706290525291362,1.0074914171270817e-21,3.7383479099971811e-35,3.6842454485626676e-35,1.4323348672807794e-54,6.3574161496011489e-47,0.0,0.0,9.814675101077918e-22,1.0466755744621635e-37,154.0,0.0,0.99999999999997724,1.0,19.0,3.2131759261853111e-15,2.3330032114160401e-15,8.6276462512680745e-15,8.6276482381052121e-15,2.3689635502727274e-22,3.0866227200269119e-24,3.0843991091271678e-24,2.1244785804442966e-24,2.6253214648080071e-22,7.544184956702921e-35,2.0022692111229693e-27,7.5544020410878603e-28,2.350896433217281e-37,2.3508964326793642e-37,4.6796988646410141e-47,4.9241345413511979e-37,6.9946774069677276e-48,1.449588224301905e-28,1.1441526754924194e-85,1.0930584615042021e-85,1.0930584615042518e-85,4.6666603396740551e-40,5.4377853943975353e-43,1.0361796191156031e-34,2.2525022087733872e-40,3.5421483166763059e-44,1.2772345742141518e-50,5.0166709627485934e-61,3.2000000895780199e-71,1.0911605161708094e-72,2.3501813502413515e-83,4.2942332820692454e-87,3.5118501054626125e-84,3.4781777500804313e-74,1.7472046458034621e-82,4.4433016685593424e-37,6.9062602445887818e-37,2.1326687686537906e-46,1.7622081830414831e-47,2.1885339146330102e-47,3.4784168291807449e-52,9.3058544774044499e-57,4.8809632034631226e-57,7.1919393032247065e-64,3.181581685171953e-74,1.2856017052374767e-64,3.5888504510388364e-74,2.9651744152115541e-75,2.4701784354412983e-74,8.2324526919081431e-76,8.2324526917154526e-76,3.926782787220537e-87,9.6012945123646989e-64,4.0099665157740285e-67,1.1757293538490026e-76,8.0518007583196214e-86,1.6112792604223385e-86,2.2195993094625681e-96,3.5156786153610362e-97,4.4671326813558484e-109,1.8682634018697606e-68,8.1093703659852034e-76,1.5342206193797869e-86,3.0857378486103665e-110,1.9409978947521419e-120,1.0020158757657506e-120,9.8298681813614709e-80,1.6652051808237196e-38,2.4079184135083301e-48,2.4078357047403729e-48
4.536256154297489e-19,0.7706290525291364,2.0437683034884383e-21,1.5161095527511248e-34,1.5051344798135725e-34,1.1842824896614826e-53,5.2121938599379901e-46,0.0,0.0,1.9909775450031303e-21,4.2760123520924256e-37,154.0,0.0,0.99999999999995381,1.0,19.0,6.5181568788321655e-15,4.7326626073670507e-15,1.7501796674792978e-14,1.7501800700879759e-14,9.6779872360386596e-22,1.2609860936769474e-23,1.2591639846516535e-23,8.6791875446353745e-24,1.0725292765262353e-21,6.178516623337936e-34,8.1799230475041681e-27,3.0862197259234923e-27,1.9274069300066162e-36,1.9274069291230868e-36,7.6864150766038592e-46,4.0371022838812479e-36,1.1488777192578803e-46,5.9220408829922378e-28,1.5645320022204997e-83,1.4946649865491014e-83,1.4946649865492378e-83,3.8260100992746514e-39,4.4582250003184659e-42,8.4670384372278382e-34,1.8467000260534214e-39,2.9040661437992917e-43,2.0978608866523136e-49,1.6493710840905308e-59,2.1050662198656329e-69,7.1780158723781186e-71,3.092705462154899e-81,5.6509676448264956e-85,4.6213478681950206e-82,2.288060714123734e-72,1.1791622994485118e-80,3.6428865140574777e-36,2.8214326531720464e-36,1.7484907040778629e-45,1.4447644535865848e-46,1.7942839051082119e-46,3.686235928694625e-51,1.5264048312631967e-55,8.006863717512591e-56,1.5187778681433545e-62,1.3414138643089663e-72,2.7149053043294704e-63,1.5131157586828403e-72,1.2500520650955708e-73,1.0414761669516131e-72,3.4709684883728147e-74,3.4709684882104695e-74,3.3084019064041681e-85,3.1566952113980313e-62,1.31838909316779e-65,7.734339432924385e-75,1.0595715772797883e-83,2.1203526293271258e-84,5.8423470931463529e-94,9.2538430529067181e-95,2.3517689227446838e-106,6.2367993856007323e-67,5.4178940447448401e-74,1.2926150227917021e-84,1.6245191032051744e-107,2.0437711881348272e-117,1.0550713028171948e-117,4.1444722087626581e-78,1.3652357178686649e-37,3.9549043423522469e-47,3.954632437941638e-47
9.136403240345646e-19,0.7706290525291364,4.1163220767390191e-21,6.1060989606370735e-34,6.0839942185695828e-34,9.6303937746174355e-53,4.2209697240861253e-45,0.0,0.0,4.0099994278698086e-21,1.7284334565204468e-36,154.0,0.0,0.99999999999990696,1.0,19.0,1.3128118784123151e-14,9.5319782044704119e-15,3.5250097502520763e-14,3.5250105593914671e-14,3.9119956904541004e-21,5.0971073930614863e-23,5.0823702540227375e-23,3.5082658428440199e-23,4.3353331693108225e-21,4.9927662377801901e-33,3.3064556780550056e-26,1.2474993560661541e-26,1.5608641014966616e-35,1.560864100064424e-35,1.2459995930951883e-44,3.2693489374438612e-35,1.8623798206401352e-45,2.3937836083579669e-27,2.069243339951517e-81,1.9768375236169736e-81,1.9768375236173345e-81,3.0984021796873098e-38,3.6103861874239904e-41,6.8116083340934547e-33,1.4954450273897314e-38,2.3517863494212323e-42,3.4007205114614083e-48,5.3496918765892186e-58,1.3658378496339302e-67,4.657338412831767e-69,4.0137324156829777e-79,7.3338610447172253e-83,5.9974898851497457e-80,1.4845708404004124e-70,7.7478646774873908e-79,2.9501028996678996e-35,1.1404681872474584e-35,1.4159731001757347e-44,1.1700072541837571e-45,1.4530439826131198e-45,4.3366928452297883e-50,2.4676367338821362e-54,1.2946740923471796e-54,3.5562072534484668e-61,6.266921034605482e-71,6.3569308780680859e-62,7.0689963128469343e-71,5.8389661911892795e-72,4.8656779279218174e-71,1.621606686336565e-72,1.6216066861850491e-72,3.0877067837407531e-83,1.0238662785522492e-60,4.2761623555064284e-64,5.0183020661071267e-73,1.3751191920875797e-81,2.7518079954533706e-82,1.5165273620459078e-91,2.4020685774301167e-92,1.2209546426255105e-103,2.0379700214908761e-65,3.5419419526501834e-72,1.206387944256098e-82,8.4339244499269329e-105,2.1221347592665362e-114,1.0955255165579893e-114,1.9362621819666112e-76,1.1056031236239409e-36,6.4107173852996392e-46,6.4098356250167819e-46
1.8336697412441966e-18,0.7706290525291362,8.2614296253516514e-21,2.4507837381128975e-33,2.446347317603296e-33,7.7672699318651119e-52,3.3974036511123167e-44,0.0,0.0,8.0480504459071534e-21,6.949962117025498e-36,154.0,0.0,0.99999999999981315,1.0,19.0,2.6348042594694227e-14,1.9130596619499496e-14,7.0746699080688198e-14,7.0746715250316413e-14,1.5729950648586242e-20,2.049524455279757e-22,2.0376942420037454e-22,1.4106578385032493e-22,1.7432170737008987e-20,4.0014043044936241e-32,1.3295112830469181e-25,5.0161400311804245e-26,1.2563192180594875e-34,1.2563192157529176e-34,2.0066393787840028e-43,2.6314545828473833e-34,2.9993037708174361e-44,9.6252985920499779e-27,2.6921423015017373e-79,2.571919801707218e-79,2.571919801708157e-79,2.4938636364610462e-37,2.9059528918993112e-40,5.4111591219690051e-32,1.203566825839609e-37,1.8929195071891084e-41,5.4767478512689982e-47,1.7234721156487941e-56,8.8013939098083905e-66,3.0011666453256809e-67,5.1731388559450466e-77,9.4523196576502626e-81,7.729604305986607e-78,9.5665036442941889e-69,5.0240432541366138e-77,2.3744977803546868e-34,4.5857724053150587e-35,1.1396983303880088e-43,9.4172288861277525e-45,1.1695142463950527e-44,5.6660830898989132e-49,3.952545027253598e-53,2.0745685924294024e-53,9.2514380258959517e-60,3.2534916380999158e-69,1.6537492827472364e-60,3.6697930831981933e-69,3.0301526382963993e-70,2.5260620067869318e-69,8.4187543874689975e-71,8.4187543858974788e-71,3.2025609313113028e-81,3.2985199916083639e-59,1.3776219767763288e-62,3.233772727535471e-71,1.7723375592655643e-79,3.5466979919899847e-80,3.9092846373318973e-89,6.1920320850473866e-90,6.2948179244198458e-101,6.5897041916369666e-64,2.2909311590108044e-70,1.2512622372776897e-80,4.3482384181728879e-102,2.1882126380892995e-111,1.1296373961174268e-111,1.0052325201441886e-74,8.8988532673184402e-36,1.0323125965246047e-44,1.032028625633647e-44
3.6737285756634596e-18,0.7706290525291364,1.6551644731022788e-20,9.8198353178492347e-33,9.8109469047451235e-33,6.2391072149411462e-51,2.72620247053759e-43,0.0,0.0,1.612418149119768e-20,2.7872514347503984e-35,154.0,0.0,0.99999999999962552,1.0,19.0,5.2787890215792815e-14,3.8327782332983244e-14,1.4173990192787049e-13,1.4173993404752637e-13,6.308404150789323e-20,8.2195096610887944e-22,8.1250871795964874e-22,5.6573654398799228e-22,6.9910695011940553e-20,3.1835983509828237e-31,5.3319348612919707e-25,2.0116964947861234e-25,1.0081170475650987e-33,1.0081170438625586e-33,3.2210859866873972e-42,2.1115735801081587e-33,4.8145419295898761e-43,3.8601752256412162e-26,3.4740669896149507e-77,3.318926224004347e-77,3.3189262240067708e-77,2.0011685215562378e-36,2.3318441720288028e-39,4.2317325414011366e-31,9.6563024852516035e-37,1.518944283055461e-40,8.791368516712878e-46,5.5336922142478508e-55,5.6521761672563617e-64,1.9273222838557235e-65,6.6444664166064961e-75,1.2140718268363581e-78,9.9272115138287834e-76,6.1435227829948281e-67,3.2364987950445688e-75,1.9053822215503392e-33,1.8390998254231417e-34,9.1453612241547579e-43,7.5567212627810506e-44,9.3842628369227691e-44,8.0379492901997926e-48,6.2767522272582703e-52,3.2970405488260351e-52,2.6164494230973964e-58,1.8373052518015726e-67,4.6770581276497571e-59,2.0722870510927754e-67,1.709868230672097e-68,1.4265466399009734e-67,4.7543717322820487e-69,4.7543717305084608e-69,3.6143522594066562e-79,1.059084556273289e-57,4.4232508428855493e-61,2.076703452865961e-69,2.2764240841593143e-77,4.5554460325881703e-78,1.0042420070350804e-86,1.5906542726008964e-87,3.2341391508124442e-98,2.1196704927199808e-62,1.4739430882612717e-68,1.412151897002754e-78,2.234029370591324e-99,2.248518753587363e-108,1.1607696766025976e-108,5.6769081161247702e-73,7.1407652654053409e-35,1.6567255104229872e-43,1.6558143806247703e-43
