Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508)
0.0,0.5280453944448557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.599328186051057e-22,0.5280453944448557,5.4226080919767916e-22,9.4769714671983185e-36,1.6457980725042741e-37,4.0246729069668237e-58,1.0716010587379837e-51,0.0,0.0,1.376007802817263e-22,1.2334860299309974e-40,154.0,0.0,0.99999999999999922,1.0,19.0,3.7176441576406743e-17,3.1321017139270724e-16,1.8777252901413894e-16,1.8777320887561486e-16,6.2936293862976517e-26,1.9048322307001847e-28,1.9048328643724622e-28,1.1393052343421799e-28,9.9372931158414995e-26,2.4664632533242946e-41,3.4908626008006073e-31,4.1229916126815899e-31,7.8693081234191802e-43,7.8693081234136362e-43,4.7746661909481216e-55,3.6943319694856679e-42,7.6790446015641159e-56,2.5469531412567493e-32,7.620842157843655e-99,7.1338425411266285e-99,7.1338425411266423e-99,2.845142364596239e-46,1.893733093072501e-48,2.9503844747415232e-41,2.7068912442366284e-46,4.9792362836029352e-49,1.1230758853401102e-57,1.6333389905796967e-70,3.5838105481443471e-83,5.3226666798233144e-84,3.7535661516979786e-97,5.352939804039951e-101,7.3979942827819713e-98,3.6891192592302509e-86,1.0475402301477028e-92,2.3397474518315801e-42,2.5435245627881419e-39,2.5802430164718901e-51,1.3275540536148405e-51,6.5125216251634766e-52,8.0153319342556897e-56,5.5394595711942387e-64,3.3410068774615202e-64,5.0224303769794769e-70,1.3006690060075427e-82,2.4976624640878364e-70,2.533718729044207e-82,1.3036166162176654e-82,1.515445108642634e-82,2.3542216704447929e-83,2.354221670444748e-83,4.5268032745912736e-97,9.2797222559561278e-79,9.4661829399802662e-76
7.27811892094296e-22,0.5280453944448557,1.518330265754052e-21,2.7068758683651491e-35,9.9406203579287594e-37,6.0820856992069642e-57,1.2722049326035239e-50,0.0,0.0,3.8528218495273061e-22,7.4502556236502598e-40,154.0,0.0,0.99999999999999789,1.0,19.0,1.040940364139387e-16,8.7698847936395995e-16,5.2576308123896968e-16,5.2576498485073438e-16,3.8013521473864894e-25,1.1505186673334416e-27,1.1505153974678568e-27,6.881403613394076e-28,6.0021250389093893e-25,2.9281556182000252e-40,2.1084810108802614e-30,2.4902869340526349e-30,9.3424426040990449e-42,9.3424426040866469e-42,1.0680737263811199e-53,4.3859109121249462e-41,1.7177715603966527e-54,1.5383596973182921e-31,8.1205986965040952e-97,7.6016628137241581e-97,7.601662813724182e-97,3.3777540691597252e-45,2.2482399280914267e-47,3.5025941108008545e-40,3.213621100800706e-45,5.9113493040596222e-48,2.512275827665651e-56,6.7400190655394505e-69,2.6978031237580367e-81,4.0067706154308912e-82,5.1235992901246637e-95,7.3067412751347972e-99,1.0098225513820697e-95,2.7770768928181759e-84,8.0708849672267272e-91,2.7777481735170804e-41,1.5362888359190651e-38,3.0632645091254339e-50,1.5760721710223857e-50,7.7316655900593493e-51,9.5166275646546253e-55,1.2391409245334475e-62,7.4736098150427064e-63,1.123590691668341e-68,5.3676810296437302e-81,5.5876340435436357e-69,1.0456306331248136e-80,5.3798440632699886e-81,6.2540323352288019e-81,9.7155472094542066e-82,9.7155472094538671e-82,3.4079364107414203e-95,5.6453151396006822e-77,3.9062468937314228e-74
1.6635700390726765e-21,0.5280453944448557,3.4704691788689996e-21,6.4385287418568304e-35,4.7859807948468455e-36,6.5428302586535539e-56,1.2490584151166817e-49,0.0,0.0,8.806449949503268e-22,3.5869773793335387e-39,154.0,0.0,0.99999999999999523,1.0,19.0,2.3792922608900191e-16,2.0045450931639829e-15,1.2017441856861531e-15,1.2017485367970245e-15,1.8301874226294179e-24,5.5392521267340846e-27,5.5391991807443423e-27,3.3130996184180234e-27,2.8897648334983928e-24,2.8748179459637238e-39,1.0151428443078577e-29,1.1989659609572383e-29,9.1724655485823613e-41,9.1724655485578639e-41,2.1103336894298913e-52,4.306113337282332e-40,3.3940271306416277e-53,7.4065397347628467e-31,1.8480582646127804e-94,1.7299605993031058e-94,1.7299605993031175e-94,3.3162994367885294e-44,2.2073352932721401e-46,3.4386509166364115e-39,3.1551518627755204e-44,5.8037977754828508e-47,4.9638336600057937e-55,2.666284504322483e-67,2.1330718004779186e-79,3.1680330323318349e-80,8.0940311146917317e-93,1.1542863582890387e-96,1.595272056821324e-93,2.1957511857304242e-82,8.6479920365294901e-89,2.7272096258330368e-40,7.3965694285133244e-38,3.0075312599066546e-49,1.547397000463084e-49,7.5909949479528887e-50,9.3452299286598997e-54,2.4482730150765879e-61,1.4766209051569698e-61,2.2204284717895238e-67,2.1237806925525388e-79,1.104222544043793e-67,4.1371497220426384e-79,2.128591950474788e-79,2.4744751535909092e-79,3.8440607671106435e-80,3.8440607671103746e-80,2.6950311985191663e-93,2.5485721717204341e-75,1.5452724234323952e-72
3.5350863330294376e-21,0.5280453944448557,7.3747470051077039e-21,1.4755016209664888e-34,2.0901635520849928e-35,6.0139882470991681e-55,1.1047780501260858e-48,0.0,0.0,1.8713706175678692e-21,1.5665272624467388e-38,154.0,0.0,0.99999999999999001,1.0,19.0,5.0559960543912578e-16,4.2596583121941012e-15,2.5537063945706093e-15,2.5537156406738087e-15,7.9929092905699848e-24,2.4191369328424472e-26,2.4190811233220237e-26,1.446917644463898e-26,1.2620362209706118e-23,2.5426325573753902e-38,4.43339550296553e-29,5.236199347996417e-29,8.1129419027626658e-40,8.1129419027190735e-40,3.755226016747049e-51,3.8087084739256036e-39,6.0394899245152588e-52,3.2346304893838943e-30,3.1231367673265507e-92,2.9235569338735967e-92,2.9235569338736359e-92,2.9332294794835799e-43,1.9523630696063727e-45,3.0410622829060707e-38,2.7906953969944247e-43,5.13339336190535e-46,8.8328767070862919e-54,9.5157799292727482e-66,1.5246305185946482e-77,2.2643775253911824e-78,1.1578247523048248e-90,1.6511692105481988e-94,2.2819844387680701e-91,1.5694311219568586e-80,7.0341742199873204e-87,2.4121860244943956e-39,3.2302761946638629e-37,2.6601273400666031e-48,1.3686551178109704e-48,6.7141487521694781e-49,8.2688605654888175e-53,4.3563542439679361e-60,2.6274305403932149e-60,3.9525732002491301e-66,7.5823400800248594e-78,1.9656208205386888e-66,1.477048559383336e-77,7.5995088413932262e-78,8.8343927470759499e-78,1.3724099420588703e-78,1.3724099420586774e-78,1.9269810212453389e-91,9.6229772021125722e-74,5.5149675065069053e-71
7.278118920942959e-21,0.5280453944448555,1.5183302657620347e-20,3.4800718028743861e-34,8.7260213804587473e-35,5.1450935770231639e-54,9.2863252974538291e-48,0.0,0.0,3.8528218732923572e-21,6.5399429705907875e-38,154.0,0.0,0.99999999999997957,1.0,19.0,1.0409403641393629e-15,8.7698847159746246e-15,5.2576308122998743e-15,5.2576498483641965e-15,3.3368822735897856e-23,1.009942048585129e-25,1.0098914329889713e-25,6.0405963241262157e-26,5.2687527673478341e-23,2.1370485560933801e-37,1.8508553508983657e-28,2.1860101529454963e-28,6.8194165105392041e-39,6.8194165104656808e-39,6.3337374550965984e-50,3.2014489512506506e-38,1.0186482466631989e-50,1.3503945554833682e-29,4.5729601830108506e-90,4.2807313439622338e-90,4.2807313439623498e-90,2.4655561907902847e-42,1.6410787986769689e-44,2.5555477893512232e-37,2.3457464645566196e-42,4.3149263558209454e-45,1.4897937356226901e-52,3.2151669174821329e-64,1.0311083410357988e-75,1.5313995917348934e-76,1.566705108912489e-88,2.2342719879498066e-92,3.0878559275287276e-89,1.0614070103063603e-78,5.0504068329172107e-85,2.0275876904747607e-38,1.3485767231209035e-36,2.2359973138320264e-47,1.1504370851180381e-47,5.6436460557543183e-48,6.955708296998129e-52,7.3468967110608304e-59,4.4310817999170373e-59,6.6714499643417874e-65,2.5637382694913041e-76,3.3177224781246966e-65,4.9941903215176189e-76,2.569537661175313e-76,2.9870820899155367e-76,4.640388294624108e-77,4.6403882946228032e-77,1.3041454136999501e-89,3.3386950404692349e-72,1.8633828684903878e-69
1.4764184096770003e-20,0.5280453944448557,3.0800413962786562e-20,8.8543029202065857e-34,3.5648644570019427e-34,4.2540628913394678e-53,7.6134905777744328e-47,0.0,0.0,7.8157244266989395e-21,2.671780114045636e-37,154.0,0.0,0.9999999999999587,1.0,19.0,2.1116218815397956e-15,1.7790337386416826e-14,1.0665479647599821e-14,1.066551826349226e-14,1.363225276708256e-22,4.125942803867308e-25,4.1255128082589936e-25,2.4677806857864493e-25,2.1524574019353397e-22,1.7517744217260132e-36,7.5613480274477083e-28,8.9305647519007035e-28,5.5909696668799629e-38,5.5909696667591999e-38,1.040318246864124e-48,2.6247412523396811e-37,1.6731327903302501e-49,5.5168023819949641e-29,6.25313624065396e-88,5.8535380218060665e-88,5.8535380218063802e-88,2.0214119571607389e-41,1.3454555489160237e-43,2.0941301091679453e-36,1.9231827592288244e-41,3.5376372003557588e-44,2.44699060197843e-51,1.0570765037629779e-62,6.7829748454136288e-74,1.0074057687200892e-74,2.0616957684829395e-86,2.9401763177817425e-90,4.0634431669994422e-87,6.9822896056786781e-77,3.4195475816429242e-83,1.6623388768530642e-37,5.5093759433943057e-36,1.8332056908352553e-46,9.431978140043099e-47,4.6270011449486829e-47,5.7112911674965959e-51,1.2064897605234418e-57,7.2765418141418712e-58,1.0973834720705527e-63,8.4410897677264316e-75,5.4573051312141763e-64,1.6443327171870526e-74,8.4601466610410108e-75,9.8349475288999917e-75,1.5278447829142445e-75,1.5278447829133854e-75,8.591303427568368e-88,1.1119496361288573e-70,6.1263951384538529e-68
2.973631444842409e-20,0.5280453944448557,6.203463657368273e-20,2.5063128169986701e-33,1.440975210813585e-33,3.4593333350265283e-52,6.1656020800644479e-46,0.0,0.0,1.5741529701342536e-20,1.0799762543136446e-36,154.0,0.0,0.99999999999991684,1.0,19.0,4.2529849163404938e-15,3.5831242178825844e-14,2.1481177317565379e-14,2.148125509273765e-14,5.5103744336964966e-22,1.6677720490050168e-24,1.6674178045438889e-24,9.9751639956926325e-25,8.7005768158036306e-22,1.4181351911786139e-35,3.0564177680846212e-27,3.6098770598156448e-27,4.5277121915092845e-37,4.527712191313522e-37,1.6864006046527016e-47,2.1255834826670884e-36,2.7122203091434942e-48,2.2299797288447204e-28,8.2703712887390788e-86,7.7418643909343908e-86,7.7418643909352223e-86,1.636991823717401e-40,1.0895847867314361e-42,1.6941626789813637e-35,1.5574401562616668e-40,2.8648701250383454e-43,3.966676946793478e-50,3.4286020744409764e-61,4.4010252216193618e-72,6.5363919192845652e-73,2.6756832656439894e-84,3.8157815657093316e-88,5.2735612550812516e-85,4.5303474304476466e-75,2.2503878855132415e-81,1.346205099677332e-36,2.2269778434169255e-35,1.4845774970005738e-45,7.6382601977244198e-46,3.7470640871616621e-46,4.6390506420878125e-50,1.9549934925753128e-56,1.1790652008192741e-56,1.7840797239838184e-62,2.7456830305709797e-73,8.8722563073142664e-63,5.3486124663920817e-73,2.7518573435691411e-73,3.1990721973703339e-73,4.96971263335324e-74,4.9697126333476507e-74,5.5901614837688747e-86,3.6297506609556333e-69,1.9870815461983406e-66
5.968057515173226e-20,0.5280453944448558,1.2450308179772997e-19,7.9322230738410567e-33,5.7940979464062749e-33,2.7900777245627446e-51,4.9626129561995823e-45,0.0,0.0,3.1593140921951445e-20,4.3425371331282454e-36,154.0,0.0,0.99999999999983324,1.0,19.0,8.5357109859412205e-15,7.1913049569742501e-14,4.3112572654959147e-14,4.3112728747186501e-14,2.2156972472982184e-21,6.706038054006528e-24,6.703163049700152e-24,4.0109694895286072e-24,3.4984635495542828e-21,1.1406390816534827e-34,1.228972141801802e-26,1.4515156886558019e-26,3.6442966731288877e-36,3.6442966728136184e-36,2.715895850397387e-46,1.7108544529127028e-35,4.3679470525182777e-47,8.9666504113007788e-28,1.0759979783306011e-83,1.0072377820001186e-83,1.0072377820003351e-83,1.3175934404087868e-39,8.7699262798042164e-42,1.3608517406997864e-34,1.2535583351862223e-39,2.3058963939529806e-42,6.3882100769909176e-49,1.1045696828120855e-59,2.8360031663735416e-70,4.2120249825139705e-71,3.4485851921631552e-82,4.9180140635845095e-86,6.7968802077114566e-83,2.9193378843800719e-73,1.4603655759998807e-79,1.0835429462527773e-35,8.9545799603598735e-35,1.1949171240964726e-44,6.147935933386353e-45,3.0159609058342161e-45,3.756285858332568e-49,3.145952507382965e-55,1.8972603115210139e-55,2.8898700023433377e-61,8.8960717251490048e-72,1.4371368615380918e-61,1.7329583117630666e-71,8.9159183058500866e-72,1.0365067735052459e-71,1.6101987104261937e-72,1.610198710422571e-72,3.6226807866335134e-84,1.1731773069034185e-67,6.4016476861885002e-65
1.1956909655834862e-19,0.5280453944448557,2.4943997225484418e-19,2.7520624421791922e-32,2.3236924239672929e-32,2.2411422667921158e-50,3.9821843657772943e-44,0.0,0.0,6.3296366048456159e-20,1.7415517062338108e-35,154.0,0.0,0.99999999999966604,1.0,19.0,1.7101163125139987e-14,1.4407665557597136e-13,8.6375363319597367e-14,8.6375676039924076e-14,8.8859363389994668e-21,2.6894211915210422e-23,2.6871053749630608e-23,1.6085780955081109e-23,1.4030402584810365e-20,9.1401054312718125e-34,4.9287279587973071e-26,5.8212271155232398e-26,2.9243185693452332e-35,2.9243185688391559e-35,4.3596132459967091e-45,1.3728528635074856e-34,7.0115219169135708e-46,3.5960278579227094e-27,1.388518389964867e-81,1.2997869991867233e-81,1.2997869991872828e-81,1.0572857602397595e-38,7.0373135270298057e-41,1.0875978246989604e-33,1.0058935984808879e-38,1.8503361211077604e-41,1.0254489187764161e-47,3.546540662433396e-58,1.8212602986999122e-68,2.704931352234159e-69,4.4294316794724487e-80,6.316795504544441e-84,8.7300230929405439e-81,1.874777240047642e-71,9.4112258562336579e-78,8.6947491878231392e-35,3.5911870658973547e-34,9.5884573753114546e-44,4.9333307813954645e-44,2.420115063388264e-44,3.0500907618668451e-48,5.0419296125074628e-54,3.0404378527666754e-54,4.692382056058448e-60,2.8887632762910848e-70,2.3335289179548234e-60,5.6272992176435553e-70,2.8951051218959245e-70,3.3657842740269888e-70,5.2287008559938467e-71,5.2287008559703199e-71,2.3526640510341331e-82,3.7734352512945968e-66,2.0554346855514153e-63
