Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498)
0.0,0.5142474913537814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.719230551778812e-22,0.5142474913537814,2.932417351197929e-22,2.3898424570274922e-36,1.9468129381211823e-37,5.4417833329270745e-58,3.5707156569899081e-51,0.0,0.0,1.2233958631480149e-22,2.3697394767264218e-40,154.0,0.0,0.99999999999999911,1.0,19.0,5.8323812315016218e-17,2.4919871836538605e-16,2.8239874006891478e-16,2.8239915564971187e-16,1.4299937042415355e-25,8.4416700285461472e-28,8.4416166688046495e-28,5.2509643976917061e-28,2.0445693880297577e-25,2.4727523537706364e-40,1.1518579991277507e-30,8.7393138671306046e-31,3.6184204587017652e-42,3.6184204586939776e-42,6.7281351721392787e-54,1.1924708125238281e-41,1.0592500113938471e-54,8.425505043405709e-32,4.913374863957165e-97,4.6254559204913233e-97,4.6254559204913342e-97,2.7144489787163012e-45,9.828151496178555e-48,3.076117105195327e-40,2.1544554687468321e-45,1.7569669960803573e-48,8.7383722759281151e-57,3.2574332966895316e-69,2.1453268950785892e-81,1.8490720491363825e-82,3.9763134401588921e-95,6.8983751173752393e-99,6.3488313523356482e-96,2.2399106435349664e-84,1.791713788924178e-91,8.3402684417771863e-42,3.1664020352150224e-39,9.4652409399518347e-51,2.5747701348295793e-51,1.6315146800281939e-51,1.0340763698485835e-55,4.780222146730608e-63,2.7725651720855095e-63,1.9976786911646971e-69,1.170354254074806e-81,6.5203026261935895e-70,1.9490964010231738e-81,5.3020008158887076e-82,1.2123930248028987e-81,1.075353535457711e-82,1.0753535354574344e-82,5.9258628665743488e-96,3.4060659639709287e-72,1.0861805055039054e-74,3.3621888328940184e-86,2.3971232288635646e-97,5.0252505889261591e-98,1.0799005491597188e-109,3.1339419950188342e-110,4.3109686792457735e-124,1.1155053691319548e-74,4.5757517195267166e-84,2.7470163117851708e-95,6.2911678507715417e-125,4.143327080685945e-137,2.0529650036474137e-137,6.4240953326644652e-87,7.1468552972992855e-44,1.0681949322442978e-55,1.068194668045891e-55,7.1697195842503427e-56,2.05397314095022e-89,6.0160393655309105e-99,5.7362157105930593e-96,1.7983584561200978e-110,1.1186297068819644e-110
2.161384554498067e-21,0.5142474913537814,8.2107685833622855e-22,7.3223262716451554e-36,1.1758750146261393e-36,8.2236229841377922e-57,4.2391538431315195e-50,0.0,0.0,3.4255084222573144e-22,1.4313226459311941e-39,154.0,0.0,0.99999999999999756,1.0,19.0,1.6330667448204502e-16,6.9775641027530247e-16,7.9071647219022182e-16,7.9071763581475516e-16,8.6371619617633972e-25,5.0987686971543281e-27,5.0986981040093109e-27,3.1715824939161496e-27,1.2349199086749077e-24,2.9355950027913438e-39,6.9572223146990229e-30,5.2785455757104791e-30,4.2957887685436032e-41,4.2957887685261822e-41,1.5050569186633921e-52,1.4157013468477878e-40,2.3694999027893175e-53,5.0890050462041589e-31,5.2355821953870454e-95,4.9287822186174189e-95,4.9287822186174415e-95,3.2225942500323281e-44,1.1667981456196424e-46,3.6517586081753686e-39,2.5577691442555187e-44,2.0858712085410238e-47,1.9547389163941739e-55,1.3441889651611598e-67,1.6149485326926668e-79,1.3919352800993558e-80,5.4276482286634032e-93,9.4162506168218194e-97,8.666122959505581e-94,1.6861488174380608e-82,1.3794852752546049e-89,9.9015666816246799e-41,1.912506829253332e-38,1.1237134043670656e-49,3.0567670976645208e-50,1.9369341696030655e-50,1.2282352060566982e-54,1.0692927380831688e-61,6.2019770966915321e-62,4.4707432697286467e-68,4.8316253638078489e-80,1.4592236084534964e-68,8.0465405473170613e-80,2.1888470280104931e-80,5.0051759862539696e-80,4.4394298090670538e-81,4.4394298090649807e-81,4.4627791915659369e-94,1.405524919416276e-70,4.4821542640250643e-73,2.5309718303706671e-84,3.2720613907692611e-95,6.859442281056965e-96,2.664105065925144e-107,7.731407093905827e-108,1.9186328350741694e-121,3.6557165109533007e-73,2.7449620959598231e-82,2.0687834854021913e-93,2.7999371156641038e-122,3.3233838864198847e-134,1.6466937511019691e-134,2.652184098076115e-85,8.4847466033123759e-43,2.3895088804727372e-54,2.3895077902512417e-54,1.6038375910988178e-54,8.4795086324015791e-88,4.5306912924356911e-97,4.4262016831865822e-94,2.4558087057682143e-108,1.5275823839618821e-108
4.94030755313844e-21,0.5142474913537814,1.8767471047723325e-21,1.9710363468842892e-35,5.6613320240705753e-36,8.8465983663536104e-56,4.1620264753101224e-49,0.0,0.0,7.8297335622474027e-22,6.891202428121048e-39,154.0,0.0,0.99999999999999445,1.0,19.0,3.7327239881610093e-16,1.5948717895040215e-15,1.8073519364218765e-15,1.807354596127089e-15,4.1584216741511711e-24,2.4548376441699023e-26,2.4547645822263186e-26,1.5269804434142862e-26,5.9456077549645443e-24,2.882064716685287e-38,3.3496030614146105e-29,2.5413924725069698e-29,4.2176308865786661e-40,4.2176308865442467e-40,2.973738818077183e-51,1.3899439735582201e-39,4.6817325013601098e-52,2.4501368666030407e-30,1.1914960100470367e-92,1.1216755135749161e-92,1.1216755135749263e-92,3.1639623296688709e-43,1.1455693383738758e-45,3.5848785554460647e-38,2.5112320908254532e-43,2.0479207020939782e-46,3.8622346614758498e-54,5.3174778231757196e-66,1.2768912330755279e-77,1.1005613616783757e-78,8.5743538747900809e-91,1.4875369769388503e-94,1.3690348377293911e-91,1.3331871567930545e-80,1.4666538912813e-87,9.7214168571305881e-40,9.2078971181571583e-38,1.1032684838863363e-48,3.0011520493013731e-49,1.9016933296090134e-49,1.207116609875989e-53,2.1126391988145314e-60,1.2253455023370628e-60,8.842152600290023e-67,1.9132017344290522e-78,2.8860252189229197e-67,3.1862265453696204e-78,8.6672690018622402e-79,1.9819234904769011e-78,1.7579022994581269e-79,1.7579022994566183e-79,3.5319940781987422e-92,5.5601207248556225e-69,1.7730956491120555e-71,2.0011633171033353e-82,5.1690550430261091e-93,1.083623761022818e-93,8.4097875483233297e-105,2.4405753478577518e-105,1.2105076252927836e-118,9.4476077493400963e-72,1.4225811099021248e-80,1.6373050751256246e-91,1.7665418661205655e-119,4.1916870288655161e-131,2.0769267328051389e-131,1.0502147837240964e-83,8.3303745170438976e-42,4.7212649129397808e-53,4.7212606001374463e-53,3.1689128058528569e-53,3.357671673268436e-86,3.5857420050747745e-95,4.8224447018711563e-92,3.8833118377500449e-106,2.4155299000586465e-106
1.0498153550419185e-20,0.5142474913537814,3.9880875976574717e-21,5.4578716135805588e-35,2.472452431428551e-35,8.1315480801394802e-55,3.6812653214152268e-48,0.0,0.0,1.6638183929313534e-21,3.0095691662244276e-38,154.0,0.0,0.99999999999998812,1.0,19.0,7.9320384748420577e-16,3.3891025295970034e-15,3.840622864841349e-15,3.8406285166807491e-15,1.8160919860107627e-23,1.0720920934896657e-25,1.0720258554866488e-25,6.6687247495790368e-26,2.5966030965242672e-23,2.5489404000594073e-37,1.4628596588417246e-28,1.1098928610691555e-28,3.7304467559265345e-39,3.7304467558652874e-39,5.2916092353346678e-50,1.2293896972885024e-38,8.3308928004487671e-51,1.0700391404925393e-29,2.0135755826668669e-90,1.8955820302926491e-90,1.8955820302926829e-90,2.7984889236575925e-42,1.0132431066065608e-44,3.1700025745748673e-37,2.2211548826145463e-42,1.8113626343507051e-45,6.8726400942754397e-53,1.8977700300721227e-64,9.1266844517612749e-76,7.8663522842092018e-77,1.2265333444722661e-88,2.1278732289051601e-92,1.9583591446504294e-89,9.5290641679122019e-79,1.1897735136504933e-85,8.598483071664319e-39,4.0213305844666825e-37,9.7582847978893127e-48,2.6544849765063363e-48,1.6820259935150323e-48,1.0698654794586979e-52,3.758960174768517e-59,2.1802200165508581e-59,1.5765303579869313e-65,6.841393602194924e-77,5.1456998958716785e-66,1.1393583259909856e-76,3.0993083413314583e-77,7.0871354855206568e-77,6.2860611218283391e-78,6.2860611218180262e-78,2.529405947327265e-90,1.9843682406758872e-67,6.3280523963188857e-70,1.4303478557571767e-80,7.3941646745597351e-91,1.550088451994046e-91,2.4067732977042807e-102,6.9846135964117136e-103,6.9297584209622988e-116,2.2481433872899974e-70,6.7819402707099947e-79,1.1725413754725119e-89,1.0112871754870832e-116,4.7995928281949969e-128,2.3781361974350231e-128,3.7554781371476108e-82,7.3681219005785637e-41,8.4012316198256239e-52,8.4012162277796884e-52,5.6389110078903516e-52,1.200665665522115e-84,2.5678970413883034e-93,3.94466821784291e-90,5.5656558593176225e-104,3.461996213528064e-104
2.1613845544980672e-20,0.5142474913537813,8.2107685834794786e-21,1.6468453456574066e-34,1.0322002198050359e-34,6.9567106611435071e-54,3.0943253303896867e-47,0.0,0.0,3.4255085011789629e-21,1.2564358982588506e-37,154.0,0.0,0.99999999999997558,1.0,19.0,1.6330667448203881e-15,6.9775639363251457e-15,7.9071647215049482e-15,7.9071763575040582e-15,7.5818264545047368e-23,4.4757734479139156e-25,4.4752100367603875e-25,2.7840612917156762e-25,1.0840306658872049e-22,2.1421794117689628e-36,6.1071511109206847e-28,4.633584211844763e-28,3.1356652744631382e-38,3.1356652743598353e-38,8.9250720583055535e-49,1.0333761055706486e-37,1.4051268236073045e-49,4.4672027738338349e-29,2.9483181974935139e-88,2.7755496455491257e-88,2.7755496455492256e-88,2.3522985915698671e-41,8.5169188353758381e-44,2.6632637250741582e-36,1.8670120524275497e-41,1.5225593786042459e-44,1.1591711615194999e-51,6.4121357800331492e-63,6.172380890321653e-74,5.3200176661835088e-75,1.6596777839767324e-86,2.8793216598714535e-90,2.6499429897912331e-87,6.444510477575004e-77,8.5327320067856661e-84,7.2275430402643755e-38,1.6788263588402526e-36,8.2024263518707423e-47,2.2312545268698622e-47,1.4138438262224739e-47,9.0296134029715505e-52,6.3387928463845601e-58,3.6765281734309769e-58,2.6695664888995353e-64,2.3205505466056605e-75,8.7133038281349013e-65,3.8646175425188805e-75,1.0512563601159194e-75,2.4039048225648835e-75,2.1321863717779107e-76,2.1321863717710705e-76,1.7172458525358786e-88,6.7047328198684698e-66,2.1381058624602588e-68,9.6734493792174326e-79,1.0005379159550631e-88,2.0974948975037976e-89,6.5147361962554967e-100,1.8906191162851849e-100,3.7519179306090038e-113,5.5310728897399177e-69,3.3349211541114123e-77,7.9605324565816567e-88,5.4753228847328244e-114,5.197463011301627e-125,2.5752757296216567e-125,1.2738356459536291e-80,6.1933503843250072e-40,1.416988133006757e-50,1.416982932408847e-50,9.5108475621697591e-51,4.0725709058358734e-83,1.7433779419144798e-91,2.8388942962458131e-88,7.5601137804502347e-102,4.7026076709430123e-102
4.384522953410365e-20,0.5142474913537816,1.6656130555330393e-20,5.4637262385557506e-34,4.2168746965996377e-34,5.751943036667183e-53,2.5369148630556576e-46,0.0,0.0,6.9488888570117129e-21,5.132950730661051e-37,154.0,0.0,0.99999999999995048,1.0,19.0,3.3127925394926448e-15,1.4154486455950163e-14,1.6040248434130758e-14,1.6040272038014783e-14,3.0974234231103164e-22,1.828499493829221e-24,1.8280349220006506e-24,1.1373798653547195e-24,4.4286188770437191e-22,1.7557003531390428e-35,2.4949705000457626e-27,1.8929703404459492e-27,2.5708078406390727e-37,2.5708078404693989e-37,1.4659456489982885e-47,8.4722414679248939e-37,2.3079249808591691e-48,1.8249980942695603e-28,4.0315757472854603e-86,3.7953293663862623e-86,3.7953293663865344e-86,1.9285565176530926e-40,6.982684631109287e-43,2.181352017629091e-35,1.5306852448360952e-40,1.2482860720478446e-43,1.903941972305915e-50,2.1081698012881547e-61,4.0603980193173422e-72,3.4996850615094523e-73,2.184042491364801e-84,3.7890251977677973e-88,3.4871720240242981e-85,4.239413938570593e-75,5.7743677528604552e-82,5.9255763247115695e-37,6.8585534624035143e-36,6.7248446904939319e-46,1.8293172012646612e-46,1.1591539811828705e-46,7.4632883825076734e-51,1.0407405407562206e-56,6.0363066613823071e-57,4.4193236784801231e-63,7.6886332356485062e-74,1.442440564136155e-63,1.280454358904867e-73,3.4830646838220103e-74,7.9648121297198115e-74,7.0645335375145696e-75,7.0645335374696455e-75,1.1383549540258163e-86,2.2043695958691474e-64,7.0296241469598595e-67,6.363517979659357e-77,1.3166516165877943e-86,2.7601852938738232e-87,1.7147855768565984e-97,4.9764202912812577e-98,1.9752368107881548e-110,1.4661894560420582e-67,1.7654508255376673e-75,5.2770030250774169e-86,2.882541546328971e-111,5.4726624340182928e-122,2.7116334860408367e-122,4.2205838192451841e-79,5.0776827728956595e-39,2.3273994621561311e-49,2.3273823639025066e-49,1.5621595505386596e-49,1.3493573548751616e-81,1.1556777997602108e-89,1.9242671347216382e-86,1.002493800755167e-99,6.2358041335684233e-100
8.830799751234961e-20,0.5142474913537813,3.3546854499859833e-20,1.955654612522507e-33,1.7045281744379522e-33,4.6773847669693738e-52,2.0544594324715334e-45,0.0,0.0,1.3995650126027338e-20,2.0748208522491938e-36,154.0,0.0,0.99999999999990019,1.0,19.0,6.672244128836725e-15,2.8508330319875209e-14,3.2306415856576812e-14,3.2306463394493917e-14,1.2520280125794024e-21,7.3910873016482212e-24,7.3873150696749487e-24,4.597471154021121e-24,1.790118473866539e-21,1.4208606107483227e-34,1.0085069671037305e-26,7.6516887742012961e-27,2.0819068415869768e-36,2.0819068413119286e-36,2.3763606908488771e-46,6.8610404986322153e-36,3.7412456992712241e-47,7.3769340884911539e-28,5.3321448655728098e-84,5.0196864111548794e-84,5.019686411155599e-84,1.5617950751074558e-39,5.6547590514727647e-42,1.7630390077948575e-34,1.2395820601660979e-39,1.01089427015008e-42,3.0863715255446122e-49,6.8377972184388209e-60,2.6345243914272403e-70,2.2707147462160208e-71,2.8344654793058925e-82,4.9174231981911635e-86,4.5256663950367283e-83,2.7506760113358769e-73,3.7991329737253643e-80,4.798685129015196e-36,2.7723369675215487e-35,5.4459535796916069e-45,1.4814283899904734e-45,9.3871196163940919e-46,6.1415761932674724e-50,1.6857637220584115e-55,9.7773350768190515e-56,7.275938287798543e-62,2.5321736918995256e-72,2.3748223235933959e-62,4.2170368007487627e-72,1.1470846619358477e-72,2.6231323016976401e-72,2.326635076072985e-73,2.3266350760433859e-73,7.498845437930679e-85,7.1498199600467604e-63,2.2800416517720562e-65,4.1288674221123875e-75,1.7087597708163795e-84,3.5821879609256288e-85,4.4511593837409148e-95,1.2917557855856808e-95,1.0254727981750682e-107,4.1740576799954073e-66,1.0038697636769597e-73,3.4761943030692641e-84,1.4965131924995459e-108,5.6824999147964366e-119,2.8156052454744518e-119,1.3900093891787655e-77,4.1120390623231407e-38,3.7727895301748625e-48,3.7727340735309055e-48,2.5323278927873975e-48,4.4439765328398011e-80,7.6129585876039447e-88,1.2670242580932246e-84,1.3208359695636089e-97,8.2159987477250819e-98
1.772335334688415e-19,0.5142474913537814,6.7328302392229158e-20,7.3578418331446677e-33,6.8538328219179824e-33,3.7724806119265234e-51,1.6536076862108213e-44,0.0,0.0,2.8089174893459093e-20,8.3427641818331088e-36,154.0,0.0,0.99999999999979972,1.0,19.0,1.3391147307523143e-14,5.721601334642607e-14,6.4838750690246706e-14,6.4838846089292994e-14,5.0343491012776657e-21,2.9719236933311918e-23,2.9688845483365507e-23,1.8486228396349584e-23,7.1979869775630461e-21,1.1421042093950114e-33,4.0551621576822042e-26,3.0767104013097608e-26,1.6756997471755386e-35,1.6756997467325821e-35,3.8270544157705399e-45,5.5223618077407589e-35,6.0251603795472074e-46,2.9662327515352716e-27,6.937266649806323e-82,6.5307496346581754e-82,6.5307496346600516e-82,1.2570685534573356e-38,4.5514420357350064e-41,1.4134827639414929e-33,9.9771296056100605e-39,8.1365540492056745e-42,4.9705047191872674e-48,2.2028868136800046e-58,1.6976767810990305e-68,1.46323932874652e-69,3.6532329005099214e-80,6.3378765611807625e-84,5.8329315323374491e-81,1.7725244121407765e-71,2.4651050996118269e-78,3.8623989304679171e-35,1.1147445008024273e-34,4.3833772216820789e-44,1.1923822760147872e-44,7.5555546651689471e-45,5.1004080796433192e-49,2.7106237132337629e-54,1.5721102433549172e-54,1.2078497216543678e-60,8.4050516578567339e-71,3.9423485579163934e-61,1.3997554496846191e-70,3.8073389810525035e-71,8.7069833231122773e-71,7.7228220870977858e-72,7.722822086899452e-72,4.9776152980440016e-83,2.3034096107657247e-61,7.3454573147324179e-64,2.660625901859341e-73,2.2023548246163017e-82,4.6169444088030112e-83,1.1474163744003846e-92,3.3298785394645126e-93,5.2869836607398518e-105,1.250253734105788e-64,6.0083997555503953e-72,2.3074429370702299e-82,7.7155052893012311e-106,5.8594409563258881e-116,2.9032772450509228e-116,4.6138742021375765e-76,3.3097266237688313e-37,6.0758797657309252e-47,6.0757011120575964e-47,4.0782358215149609e-47,1.4750933611577906e-78,5.0533617208676898e-86,8.2244822624381798e-83,1.753393764294398e-95,1.0906674423478506e-95
3.550846053818253e-19,0.5142474913537816,1.3489119819020969e-19,2.8496709271056158e-32,2.7486935070556742e-32,3.0302621420042288e-50,1.3269160281227957e-43,0.0,0.0,5.6276233345924571e-20,3.3458222089129095e-35,154.0,0.0,0.99999999999959877,1.0,19.0,2.6828953664889022e-14,1.1463136059433719e-13,1.2990342031269757e-13,1.299036114063345e-13,2.0189987785048405e-20,1.1918743207717578e-22,1.1894361771604569e-22,7.413803673944064e-23,2.8867141755635655e-20,9.1402390338120519e-33,1.6263013957539386e-25,1.2338984790008062e-25,1.3446435140441905e-34,1.344643513333147e-34,6.1432659925842031e-44,4.4313467900136874e-34,9.6717152304292895e-45,1.1895920009573515e-26,8.9521750992809338e-80,8.4275864271854816e-80,8.4275864271903236e-80,1.0087183507853672e-37,3.6522455909667986e-40,1.1254016363651141e-32,8.0058493002853259e-38,6.5290681978886304e-41,7.978756139095348e-47,7.0730034392242785e-57,1.0902351513546769e-66,9.3968119819579371e-68,4.6922838016663197e-78,8.1404926945461706e-82,7.4918676527476503e-79,1.138301732953849e-69,1.5885239943308408e-76,3.0993313546112819e-34,4.4706240246140971e-34,3.5173841545048828e-43,9.5681140427247842e-44,6.0628313285063429e-44,4.3449341424250215e-48,4.3375800567082633e-53,2.5155983211446156e-53,2.0547058233280686e-59,2.8575004699622215e-69,6.7064357339212514e-60,4.7587605862742313e-69,1.2942728856608147e-69,2.9601579192722253e-69,2.6255704799217889e-70,2.6255704797840879e-70,3.3833224057035015e-81,7.3957641412159496e-60,2.3584719226805889e-62,1.7086344940097444e-71,2.8287488060299969e-80,5.9300961002779058e-81,2.9475680829001751e-90,8.5540415026733305e-91,2.7163383167133343e-102,3.8619894257925027e-63,3.7100123694102956e-70,1.5683862495245255e-80,3.9640604176357517e-103,6.0209294346972657e-113,2.9832927003894578e-113,1.568605052289641e-74,2.6558469308869583e-36,9.7528711030300626e-46,9.7522975303758085e-46,6.5464711006268003e-46,5.0149562043418079e-77,3.4348077003187512e-84,5.3010850756485099e-81,2.3831518449082202e-93,1.4824069227375402e-93
