Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802)
9.381307890690378e-19,0.4235631828039694,6.0662107142074778e-20,2.829021748008701e-32,2.8063870606622101e-32,3.6411732112856863e-50,4.0223843778705861e-43,0.0,0.0,5.0439352705378414e-20,6.771996417339611e-35,154.0,0.0,0.99999999999948741,1.0,19.0,3.6528501561111349e-14,7.697842812615356e-14,1.9955811009207853e-13,1.9955822082904419e-13,3.4378877411605495e-20,5.6663404748283792e-22,5.6422621764721664e-22,3.6704936062521342e-22,4.4374016167451076e-20,8.6225150353403674e-32,5.7215592072373886e-25,2.3102878226703227e-25,4.803468014438044e-34,4.8034680062780634e-34,7.0703358587697356e-43,9.268415768529414e-34,1.0896445148486124e-43,4.1816174831876407e-26,3.6650083539855986e-78,3.4705589402400073e-78,3.4705589402422897e-78,1.0783026701674745e-36,1.7468316100337264e-39,1.0976318607562727e-31,7.0442646714470992e-37,2.087981584178026e-40,4.937469288759269e-46
1.877076635296259e-18,0.4235631828039694,1.2137691820253852e-19,1.1278151070893444e-31,1.1232861905334285e-31,2.9158960000639007e-49,3.2203532861553118e-42,0.0,0.0,1.0092269483331629e-19,2.7105673481981244e-34,154.0,0.0,0.99999999999897438,1.0,19.0,7.3088739439741879e-14,1.5402357496285516e-13,3.992895970769673e-13,3.9928981792721914e-13,1.3760498037615164e-19,2.2680128601748583e-21,2.2488105365695224e-21,1.4691533777005695e-21,1.7761154766130023e-19,6.8428317337369692e-31,2.2901147551322866e-24,9.2471720326991022e-25,3.8456951095153431e-33,3.8456950964487775e-33,1.132171650173557e-41,7.4203620047349126e-33,1.7448497116819825e-42,1.6737367493034271e-25,4.7007373038782993e-76,4.4513366138459506e-76,4.4513366138518071e-76,8.6329780367879498e-36,1.3985274297826132e-38,8.5639493487326728e-31,5.6391376389291331e-36,1.6716508822087281e-39,7.9063657538510764e-45
3.754968327750702e-18,0.4235631828039694,2.4280654059184565e-19,4.5036678158784465e-31,4.4946079157011221e-31,2.3339055265452558e-48,2.5772613630507644e-41,0.0,0.0,2.0188988097341014e-19,1.0845831665055349e-33,154.0,0.0,0.9999999999979482,1.0,19.0,1.4620921519675119e-13,3.0811338573778816e-13,7.9875256764005102e-13,7.9875300661278688e-13,5.5059817428935375e-19,9.0750054986586587e-21,8.9225295595806338e-21,5.878522186331289e-21,7.1067626773176144e-19,5.3820495531188128e-30,9.1634419606337222e-24,3.7000732795579824e-24,3.0777248468897625e-32,3.0777248259748558e-32,1.8122014492216271e-40,5.9385348736758982e-32,2.7928919779122226e-41,6.6971271009875303e-25,6.0230482361821905e-74,5.7034914756982066e-74,5.7034914757132151e-74,6.909006380791068e-35,1.1192469742569516e-37,6.5208614670657218e-30,4.5121321763256701e-35,1.3378224045175793e-38,1.2655276071108313e-43
7.510751712659587e-18,0.4235631828039694,4.856657864439784e-19,1.7999480991431579e-30,1.7981358420104075e-30,1.8676083101529575e-47,2.0622006713413349e-40,0.0,0.0,4.0382626079043973e-19,4.3390641841198636e-33,154.0,0.0,0.99999999999589595,1.0,19.0,2.9245016670976273e-13,6.1629107570588012e-13,1.5976784951394442e-12,1.5976793623242511e-12,2.2027433358923709e-18,3.6305929959395551e-20,3.5104737831563373e-20,2.3517876728270534e-20,2.8431576525725176e-18,4.1628652816816024e-29,3.6659734145566035e-23,1.4802702193552443e-23,2.4626474499562978e-31,2.4626474164859871e-31,2.9000786687360103e-39,4.7517142797043618e-31,4.4695240057294434e-40,2.6792869000156726e-24,1.3504178244858831e-71,1.278770524394895e-71,1.2787705244016134e-71,5.5282551651222555e-34,8.955676152843533e-37,4.7538354510173835e-29,3.6089649828645016e-34,1.070451023724446e-37,2.0252375862998543e-42
1.5022318482477358e-17,0.4235631828039693,9.7138428244231772e-19,7.1967541423447671e-30,7.1931287878255876e-30,1.4942934793502635e-46,1.6499171918979882e-39,0.0,0.0,8.0770705057163017e-19,1.735787157776346e-32,154.0,0.0,0.99999999999179146,1.0,19.0,5.8493206973175807e-13,1.2326387294118203e-12,3.1955302956311422e-12,3.1955319900032107e-12,8.811627329445525e-18,1.4523552867901332e-19,1.3591372813726981e-19,9.4078844219871362e-20,1.1373474732673875e-17,3.1217826157464615e-28,1.4665086672832235e-22,5.9215625661527217e-23,1.9703049590350024e-30,1.9703049054781738e-30,4.6404902303936644e-38,3.8017069428733555e-30,7.1519260946264658e-39,1.0718019599909341e-23,1.7346561337387188e-69,1.6426228194401727e-69,1.6426228194574607e-69,4.4230246105536085e-33,7.1652209391111271e-36,3.2255794711587509e-28,2.8851664253210043e-33,8.5642587165627418e-37,3.2406502504028994e-41
3.00454520221129e-17,0.4235631828039694,1.9428212916152903e-18,2.8780942300319422e-29,2.8773686245654793e-29,1.1955387246979776e-45,1.3199964279647528e-38,0.0,0.0,1.6155007507206967e-18,6.9435929731424108e-32,154.0,0.0,0.99999999998358235,1.0,19.0,1.1698958757596367e-12,2.4653031326775215e-12,6.3912336785862332e-12,6.3912369310712561e-12,3.5247438608173932e-17,5.8096566996821573e-19,5.1062567498417485e-19,3.7632813970372971e-19,4.5495098398243805e-17,2.21787642814413e-27,5.8662730310682841e-22,2.368721239119226e-22,1.5763186910272986e-29,1.5763186053355882e-29,7.4248174102393355e-37,3.0414692555398811e-29,1.144353632805738e-37,4.2873821073680636e-23,2.2206298274978887e-67,2.1028128623600581e-67,2.1028128624043234e-67,3.5385885447588739e-32,5.7324484613940924e-35,1.9739148869445841e-27,2.3046033435400303e-32,6.8514720787558893e-36,5.1851136029974835e-40
6.009171910138398e-17,0.4235631828039695,3.8856953786663957e-18,1.1511164241620506e-28,1.1509708891779237e-28,9.5650648373966017e-45,1.0560222274911842e-37,0.0,0.0,3.2312166333516365e-18,2.7776231498466636e-31,154.0,0.0,0.99999999996716415,1.0,19.0,2.3398234877509467e-12,4.9305083288222857e-12,1.2782639572383642e-11,1.2782645689616717e-11,1.4098858334691388e-16,2.3239092867999638e-18,1.818869934956326e-18,1.5053228013679488e-18,1.8197888203192719e-16,1.4472529993067911e-26,2.3465567059971438e-21,9.4750763570655233e-22,1.2610847154204793e-28,1.2610845783216903e-28,1.1878907326281527e-35,2.4331680660988917e-28,1.8309715866930841e-36,1.7149875943982375e-22,2.8425416925353922e-65,2.6917287898012438e-65,2.6917287899145674e-65,2.8309394316341372e-31,4.5860669785674012e-34,1.0693052850839285e-26,1.8379297948230545e-31,5.4808915563816773e-35,8.2957831038517162e-39
9.013798618065506e-17,0.4235631828039695,5.8285695344226499e-18,2.4460468584566835e-28,2.445827808380929e-28,2.8397304979458251e-44,3.0195820095410099e-37,0.0,0.0,4.8470609983020716e-18,5.9026753529677055e-31,154.0,0.0,0.99999999995074595,1.0,19.0,3.5097510996778094e-12,7.3955899207781715e-12,1.9174044594068716e-11,1.9174053432378302e-11,2.9959659941465071e-16,4.9383357977779008e-18,3.5781411721523545e-18,3.1988001728819014e-18,3.8669978042079206e-16,3.7116153764482804e-26,4.9864624991379108e-21,2.0134655728311116e-21,3.6059358106272502e-28,3.6059353060300365e-28,4.372056394995896e-35,6.9572754343591854e-28,6.7391573653070258e-36,3.6443702498313996e-22,1.4666489214860127e-64,1.3888349072218714e-64,1.388834907291446e-64,8.0947697494644239e-31,1.3113364174515779e-33,2.521657465443202e-26,5.2458744318688163e-31,1.5671336235382429e-34,3.0533085049559631e-38
1.502305203391972e-16,0.4235631828039694,9.7143181207556747e-18,6.762403020678873e-28,6.7620333360481521e-28,1.3303239680935716e-43,1.3876974887602149e-36,0.0,0.0,8.0792636573811556e-18,1.6320612805855252e-30,154.0,0.0,0.99999999991790955,1.0,19.0,5.849606323273746e-12,1.2325258737511569e-11,3.1956851148993029e-11,3.195686543833191e-11,8.2825891217431392e-16,1.3653116883504124e-17,8.3173323961070711e-18,8.8435789790099065e-18,1.069062666585088e-15,1.3148568789194076e-25,1.378617868810762e-20,5.5666704286892235e-21,1.6571653653037019e-27,1.657164977114881e-27,3.3633875271809366e-34,3.1971792812323939e-27,5.1850067981805743e-35,1.0075668055046206e-21,9.8869981344966384e-63,9.3624370192934495e-63,9.3624370200856571e-63,3.7200858078352714e-30,6.0264558796676881e-33,7.8217237218401592e-26,2.3977533995173872e-30,7.2010653637759851e-34,2.3489634081227519e-37
2.0386827430091436e-16,0.4235631828039695,1.3182683079303531e-17,1.1986208027245571e-27,1.1985700018759059e-27,3.047847127795971e-43,3.100830254174532e-36,0.0,0.0,1.0964690594038511e-17,2.8929854941396558e-30,154.0,0.0,0.99999999988860022,1.0,19.0,7.9381283091473389e-12,1.6725019484041722e-11,4.3366602394439703e-11,4.3366621844386547e-11,1.4680393467018649e-15,2.4200132770917464e-17,1.3228863764006804e-17,1.5674991038386264e-17,1.8948495881790232e-15,2.5741886354011355e-25,2.4435990554414135e-20,9.8669180930778706e-21,3.7029596000745368e-27,3.7029585421343212e-27,9.1662536258303794e-34,7.1439625404999875e-27,1.4131485384712231e-34,1.785911374343053e-21,5.562787931233387e-62,5.2676506018740287e-62,5.267650602358225e-62,8.3125925790795163e-30,1.3466201540245798e-32,1.4468174023068955e-25,5.3419592659565948e-30,1.6089728172546715e-33,6.4017345024616867e-37
