Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270)
0.0,1.145469702806794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.034547603945324e-22,1.145469702806794,2.5940660860102005e-22,9.8961404111385415e-37,6.1916568781241168e-38,6.5186233665981394e-59,4.0078744597290992e-52,0.0,0.0,4.6944565699174731e-23,3.2713497611756944e-41,154.0,0.0,0.99999999999999956,1.0,19.0,4.7755383191157867e-17,2.1435569585047161e-16,1.0433358760303272e-16,1.0433389395413922e-16,9.643323278066017e-26,1.0973001362406949e-28,1.0972965623180544e-28,6.8061881894142468e-29,1.3887050584977996e-25,2.562803909442373e-41,1.5293839508850273e-31,2.6642507320992695e-31,8.8219183883004684e-43,8.8219183883004684e-43
1.6896733291046906e-21,1.145469702806794,7.2633850408284576e-22,2.9715289979700092e-36,3.7397607543868984e-37,9.8509436339629619e-58,4.7581488159839384e-51,0.0,0.0,1.314447839938147e-22,1.9758952562258182e-40,154.0,0.0,0.99999999999999867,1.0,19.0,1.3371507293524176e-16,6.0019594760408183e-16,2.9213404528813479e-16,2.921349030710134e-16,5.8245672536579907e-25,6.6276928228108188e-28,6.6276316031625548e-28,4.1109376640630519e-28,8.3877785442630852e-25,3.0425134496023078e-40,9.2374790633303476e-31,1.6092074421811632e-30,1.0473381510549811e-41,1.0473381510549811e-41
3.8621104665250074e-21,1.145469702806794,1.6602022950464552e-21,7.7377976430871587e-36,1.8005338201583909e-36,1.0597195642398793e-56,4.6715788357589543e-50,0.0,0.0,3.004452207275964e-22,9.5130851126279627e-40,154.0,0.0,0.999999999999997,1.0,19.0,3.0563445242340864e-16,1.371876448002348e-15,6.6773496065691209e-16,6.6773692130245653e-16,2.8042783998207739e-24,3.1909487960634751e-27,3.1908789540700778e-27,1.9792395219669352e-27,4.038354296516165e-24,2.9870574514145929e-39,4.4474485291508391e-30,7.7476411288427476e-30,1.0282828073277473e-40,1.0282828073277473e-40
8.20698474136564e-21,1.145469702806794,3.5279298769735058e-21,2.0480089858940511e-35,7.8634042352165686e-36,9.7406485410660561e-56,4.1319586210747022e-49,0.0,0.0,6.3844609477316721e-22,4.1546142040568039e-39,154.0,0.0,0.99999999999999356,1.0,19.0,6.4947321139973832e-16,2.9152374363630634e-15,1.4189367913887586e-15,1.4189409577561212e-15,1.2247020465588664e-23,1.3935711728970693e-26,1.3935052048156448e-26,8.6438589642372524e-27,1.763655410243589e-23,2.6418400892322629e-38,1.9423176176004035e-29,3.3835984296607499e-29,9.0950449813385962e-40,9.0950449813385962e-40
1.6896733291046906e-20,1.145469702806794,7.2633850408269379e-21,5.8803693993121147e-35,3.2828164767804527e-35,8.333329919323487e-55,3.4731602079562779e-48,0.0,0.0,1.3144478451763377e-21,1.7344696500013689e-38,154.0,0.0,0.99999999999998679,1.0,19.0,1.3371507293523824e-15,6.0019593633412238e-15,2.9213404528296202e-15,2.9213490306265672e-15,5.1128899142309426e-23,5.8178853211906477e-26,5.8173135357501609e-26,3.6086409453404789e-26,7.3629140937177862e-23,2.2203257202779807e-37,8.1087937073801921e-29,1.4125857380642426e-28,7.6449333241286336e-39,7.6449333241286336e-39
3.4276230390409437e-20,1.145469702806794,1.4734295368531113e-20,1.8680698107135968e-34,1.3411376464283879e-34,6.8901583554682452e-54,2.8475065850503981e-47,0.0,0.0,2.6664513552307947e-21,7.0858744927919382e-38,154.0,0.0,0.99999999999997324,1.0,19.0,2.7125057652576088e-15,1.2175403018324478e-14,5.9261477756200185e-15,5.9261651762199409e-15,2.0887823209851678e-22,2.3767959861227705e-25,2.3763202211434858e-25,1.4742475589049335e-25,3.0079905978581197e-22,1.8198652967862046e-36,3.3127068127953345e-28,5.7708736549537487e-28,6.2677782261162949e-38,6.2677782261162949e-38
6.90352245891345e-20,1.145469702806794,2.9676116023928727e-20,6.4823787046719808e-34,5.4210927963211663e-34,5.602962390330528e-53,2.3059846619855047e-46,0.0,0.0,5.3704584123321725e-21,2.8642237868383004e-37,154.0,0.0,0.99999999999994615,1.0,19.0,5.4632158370678115e-15,2.452228953239877e-14,1.1935762420835508e-14,1.1935797466816751e-14,8.4431917979820364e-22,9.6073893887912651e-25,9.6035089570559832e-25,5.9591442292165683e-25,1.2158778485000037e-21,1.472978039585557e-35,1.3390490592817083e-27,2.3326793993278862e-27,5.0758093099513877e-37,5.0758093099513877e-37
1.3855321298658463e-19,1.145469702806794,5.9559757334681012e-20,2.3927969102151392e-33,2.1797975705657158e-33,4.5189922208648544e-52,1.8560570732215643e-45,0.0,0.0,1.0778472674504778e-20,1.1516918062451011e-36,154.0,0.0,0.99999999999989198,1.0,19.0,1.0964635980687222e-14,4.9216059376978893e-14,2.3954991709805272e-14,2.3955062045651641e-14,3.394970037356356e-21,3.8630890151022401e-24,3.8599555396247215e-24,2.3961455921877876e-24,4.8889909923986941e-21,1.1843013948443772e-34,5.3842573732504293e-27,9.3796012670300941e-27,4.0854529169810802e-36,4.0854529169810802e-36
2.775891897814849e-19,1.145469702806794,1.1932703995601376e-19,9.168704033526633e-33,8.7419631962387373e-33,3.6299004205037715e-51,1.4893689113155593e-44,0.0,0.0,2.1594501790729399e-20,4.6187994011578618e-36,154.0,0.0,0.99999999999978351,1.0,19.0,2.1967476267922066e-14,9.8603586331868547e-14,4.7993450281899921e-14,4.7993591193894831e-14,1.3615346281185637e-20,1.5492714732907238e-23,1.5467544212576086e-23,9.6096147801434563e-24,1.9607037645298686e-20,9.4828030234447115e-34,2.1593280229860374e-26,3.7616396188333177e-26,3.2783186712780348e-35,3.2783186712780348e-35
