Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125)
1.2309934199894202e-18,0.8693272349592399,7.1027729404110463e-20,2.0668594747583932e-32,2.0546656258943055e-32,1.5987752521032302e-50,1.9794416640864453e-50,0.0,0.0,2.9713670387145962e-20,2.4942686053100536e-35,154.0,0.0,0.99999999999961819,1.0,19.0,4.5930779743244252e-14,9.2485417728901434e-14,1.2167729120924848e-13,1.2167739195064826e-13,5.4057080864925553e-20
2.4630563390405167e-18,0.8693272349592399,1.4211716838729901e-19,8.2484154084284593e-32,8.2240171165657388e-32,1.2803174785776216e-49,1.5851595228596021e-49,0.0,0.0,5.9453188198976078e-20,9.9835793771697667e-35,154.0,0.0,0.99999999999923606,1.0,19.0,9.1901464594748092e-14,1.8505107436493869e-13,2.4346029683294498e-13,2.4346049840330159e-13,2.1636908670447586e-19
4.927182177142709e-18,0.8693272349592399,2.8429604634354515e-19,3.2955587921150131e-31,3.2906780743290139e-31,1.0247738835789407e-48,1.2687713622364523e-48,0.0,0.0,1.1893231956034855e-19,3.9947359370053045e-34,154.0,0.0,0.99999999999847189,1.0,19.0,1.8384283429739989e-13,3.701820475188901e-13,4.8702630807987011e-13,4.8702671130823591e-13,8.6575727172067549e-19
9.855433853347093e-18,0.8693272349592398,5.6865380221551361e-19,1.3174617552108309e-30,1.3164855057122857e-30,8.2002829621335078e-48,1.0152761757038958e-47,0.0,0.0,2.3789096523394254e-19,1.5981575086373653e-33,154.0,0.0,0.99999999999694344,1.0,19.0,3.6772557370128025e-13,7.4044263335929908e-13,9.7415833057184822e-13,9.7415913711661579e-13,3.4635855619276025e-18
1.9711937205755862e-17,0.8693272349592399,1.1373693137973548e-18,5.2683232096261489e-30,5.2663706046877115e-30,6.5610820823493933e-47,8.1232702838839419e-47,0.0,0.0,4.758097883845263e-19,6.3931744157314755e-33,154.0,0.0,0.99999999999388667,1.0,19.0,7.3549105250334745e-13,1.4809583632101324e-12,1.948422375548317e-12,1.9484239887274191e-12,1.3855411637929238e-17
3.9424943910573406e-17,0.8693272349592399,2.2748003363126554e-18,2.1070244923620013e-29,2.1066339607801798e-29,5.2492381373654726e-46,6.4990796580004497e-46,0.0,0.0,9.5165356189927717e-19,2.5573931074077257e-32,154.0,0.0,0.999999999987773,1.0,19.0,1.4710220100847092e-12,2.9619680559117777e-12,3.8969504654713024e-12,3.8969536919252002e-12,5.542343629589064e-17
7.885095732020848e-17,0.8693272349592399,4.5496623787497288e-18,8.4274883536233458e-29,8.4267072798655752e-29,4.1995877683810637e-45,5.1995115909531053e-45,0.0,0.0,1.9033656177831116e-18,1.022993480503362e-31,154.0,0.0,0.99999999997554567,1.0,19.0,2.9420839251563393e-12,5.9239003758742556e-12,7.794006645197466e-12,7.7940130982254629e-12,2.2169453189633559e-16
1.1827697072984356e-16,0.8693272349592398,6.8245244185932722e-18,1.790803172974454e-28,1.7906860113810821e-28,1.2467746924940257e-44,1.5436329471472176e-44,0.0,0.0,2.8551021825212777e-18,2.1738968907705994e-31,154.0,0.0,0.99999999996331834,1.0,19.0,4.4131458401368753e-12,8.8857456329551156e-12,1.1691062824803823e-11,1.1691072504430422e-11,4.7109823011382319e-16
1.5770298413947863e-16,0.8693272349592398,9.0993864558432881e-18,3.0548654617122861e-28,3.0547092459013203e-28,2.7166949014956786e-44,3.3635439926942799e-44,0.0,0.0,3.8068632561137752e-18,3.7084597454681604e-31,154.0,0.0,0.99999999995109123,1.0,19.0,5.8842077550263185e-12,1.1847503829713484e-11,1.5588119004290374e-11,1.5588131910540083e-11,8.0363208735270332e-16
2.365550109587488e-16,0.8693272349592399,1.3649110524256471e-17,6.3246413519368403e-28,6.3244070276906898e-28,7.885918102175183e-44,9.7635754406361315e-44,0.0,0.0,5.7104429240793399e-18,7.6780425994007055e-31,154.0,0.0,0.99999999992663668,1.0,19.0,8.8263315845914142e-12,1.777081590592175e-11,2.3382231362982297e-11,2.3382250722535739e-11,1.6637936156000949e-15
3.1540703777801896e-16,0.8693272349592399,1.8198834583132321e-17,1.0756491181889372e-27,1.0756178749208044e-27,1.7245940620194248e-43,2.1352259098145434e-43,0.0,0.0,7.6141127198435267e-18,1.3058563358731414e-30,154.0,0.0,0.99999999990218214,1.0,19.0,1.1768455413821531e-11,2.3693807851531296e-11,3.1176343721233644e-11,3.1176369534180935e-11,2.8296340893797339e-15
4.731110914165593e-16,0.8693272349592399,2.7298282669566775e-17,2.3436035451379064e-27,2.3435566801827394e-27,5.7370804767687816e-43,7.1031131120216045e-43,0.0,0.0,1.1421748259559091e-17,2.8453054228758725e-30,154.0,0.0,0.99999999985327315,1.0,19.0,1.7652703071181795e-11,3.5538740651681273e-11,4.676456843628965e-11,4.6764607156320578e-11,6.1649567098797773e-15
6.308151450550996e-16,0.8693272349592399,3.6397730714718734e-17,4.1145637344178574e-27,4.1145012477756609e-27,1.3347202664560796e-42,1.6525277826589145e-42,0.0,0.0,1.522977391904937e-17,4.9955799501143337e-30,154.0,0.0,0.99999999980436427,1.0,19.0,2.3536950727092082e-11,4.7382288007711512e-11,6.235279314943863e-11,6.2352844776943268e-11,1.0823180356665214e-14
9.462232523321803e-16,0.8693272349592399,5.4596626680604624e-17,9.1724532672859796e-27,9.1723595372697449e-27,4.5451005476471815e-42,5.6273469162575325e-42,0.0,0.0,2.2847000989072406e-17,1.1137382024798843e-29,154.0,0.0,0.99999999970654663,1.0,19.0,3.5305446034542707e-11,7.1065208078611581e-11,9.3529242569989184e-11,9.3529320013616848e-11,2.4125813015873361e-14
1.5770394668863417e-15,0.8693272349592399,9.0994418114577527e-17,2.5353653735898267e-26,2.5353497519134074e-26,2.1621173905509673e-41,2.6769668430838675e-41,0.0,0.0,3.8086159331446306e-17,3.0790037812534676e-29,154.0,0.0,0.99999999951091212,1.0,19.0,5.8842436631959666e-11,1.1841435082252591e-10,1.5588214138809479e-10,1.5588227046867225e-10,6.6674705709688894e-14
