Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389)
0.0,0.34470576223386007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6647673087678164e-22,0.34470576223386007,5.1138261368769982e-22,1.6510446403610393e-35,1.6421922119123831e-37,4.9365575115541443e-58,1.0689869870601017e-51,0.0,0.0,1.7877892112071653e-22,1.7021334048163525e-40,154.0,0.0,0.99999999999999922,1.0,19.0,2.7526895948360225e-17,2.7056202845755317e-16,2.1626160106908044e-16,2.1626229123048695e-16,3.513065878242705e-26,2.1692531574779143e-28,2.16925527475186e-28,1.285913281529274e-28,5.6741176534437139e-26,1.9139026415926893e-41,4.254159353230833e-31,3.6033735575255267e-31,4.7316717969416531e-43,4.7316717969383849e-43,2.8134907689286305e-55,1.5619084624505647e-42,4.5474202071325187e-56,3.0922297325867286e-32,2.7031754241642229e-99,2.5271846761175991e-99,2.5271846761176028e-99,3.4440899237590502e-46,1.7023897219449728e-48,2.269053199548519e-41,3.4113076050670572e-46,4.8985273553165635e-49,7.5707118105327375e-58,7.2932701426044274e-71,1.5756771452442971e-83,1.7193672321443689e-84,1.1895935155051296e-97,2.5016787199841414e-101,1.5963839352260132e-98,1.6154118942267864e-86,5.7791546684000546e-93,9.6703798890094682e-43,2.5092722381778133e-39,2.5169732854472322e-51,9.7106522034856067e-52,4.4955275218551572e-52,6.4347242730895112e-56,3.6492554525776733e-64,2.2206871739489029e-64,3.9450632148140036e-70,6.9614077147717584e-83,1.4018164416988071e-70,1.4061186221632634e-82,5.4248992614295801e-83,8.3353152614918212e-83,9.5455298566315913e-84,9.5455298566314084e-84,1.8269946850356015e-97,7.1125202072071965e-79
4.661348464549886e-22,0.34470576223386007,1.4318713183260758e-21,4.6761320206773454e-35,9.9188409599537139e-37,7.4601257139655654e-57,1.2691015407675548e-50,0.0,0.0,5.0058097933730166e-22,1.0280885768832806e-39,154.0,0.0,0.99999999999999789,1.0,19.0,7.7075308655408533e-17,7.5757367937804178e-16,6.055324829927201e-16,6.0553441544424307e-16,2.121891789750178e-25,1.3102289071087122e-27,1.3102273833838683e-27,7.766916218897176e-28,3.4271670615358067e-25,2.272168987921426e-40,2.5695122493474527e-30,2.1764376287405391e-30,5.6174407573175973e-42,5.6174407573102862e-42,6.2936663031799667e-54,1.8542977260539301e-41,1.017239710339638e-54,1.8677067584808863e-31,2.8804431808511591e-97,2.6929113819261104e-97,2.6929113819261172e-97,4.0888251107964347e-45,2.0210770778896544e-47,2.6937645055022958e-40,4.0499042359581837e-45,5.8155316682524496e-48,1.6935379469489924e-56,3.0095883416520654e-69,1.1861304245394317e-81,1.2942967353181771e-82,1.6237892843123833e-95,3.4147818723989193e-99,2.179056173205382e-96,1.2160417517582631e-84,4.4594546482579333e-91,1.1480675000719104e-41,1.5156004318548991e-38,2.9881506844605055e-50,1.1528486288881714e-50,5.3370902366086135e-51,7.6396744760437346e-55,8.1631735674080082e-63,4.9675465123570101e-63,8.8253567270439467e-69,2.8727739945980203e-81,3.1359523257705438e-69,5.8026495470533123e-81,2.2387005055475457e-81,3.4397463869350578e-81,3.9391673706698177e-82,3.9391673706696801e-82,1.3753772341344603e-95,4.3268979782410933e-77
1.0654510776114026e-21,0.34470576223386007,3.2728487276048926e-21,1.0939134891978226e-34,4.7754949522455919e-36,8.0252628236496668e-56,1.2460115015341565e-49,0.0,0.0,1.1441850965676533e-21,4.9498039468096742e-39,154.0,0.0,0.99999999999999523,1.0,19.0,1.7617213406950469e-16,1.7315969800065907e-15,1.384074246837179e-15,1.3840786638672723e-15,1.0215995563303547e-24,6.3081881818265561e-27,6.3081523006633861e-27,3.7394358203776681e-27,1.6500334119051383e-24,2.2307946124454521e-39,1.2371095399135703e-29,1.0478610305211051e-29,5.5152366464794426e-41,5.5152366464649972e-41,1.2435224010113308e-52,1.8205605020735016e-40,2.0098942467166015e-53,8.9922040623397342e-31,6.5552147385652265e-95,6.1284362412722172e-95,6.1284362412722492e-95,4.014433420929249e-44,1.9843054598884642e-46,2.644636512524063e-39,3.9762196708561751e-44,5.7097234606209246e-47,3.3461455880197822e-55,1.1905632153442546e-67,9.3783765807725799e-80,1.0233615073001533e-80,2.5651890914173386e-93,5.3945202479627201e-97,3.4423745831837013e-94,9.6148764503703543e-83,4.8601318188566742e-89,1.1271794787739332e-40,7.2969636685535816e-38,2.9337840614477061e-49,1.1318736186383992e-49,5.2399867637271037e-50,7.5014610516950715e-54,1.6128774682969049e-61,9.814853764551254e-62,1.7439182463949546e-67,1.136554155114408e-79,6.1967404263201807e-68,2.2956992723760503e-79,8.856956536634466e-80,1.3608651768010381e-79,1.5584508627513637e-80,1.5584508627512551e-80,1.0875771587055336e-93,1.9533733056851271e-75
2.26408353992423e-21,0.34470576223386007,6.9548035461707849e-21,2.4316453077273248e-34,2.0855841091332546e-35,7.3765991762254063e-55,1.1020830954948633e-48,0.0,0.0,2.4313933342170812e-21,2.1617094299029249e-38,154.0,0.0,0.99999999999999001,1.0,19.0,3.7436578489769532e-16,3.6796435764139765e-15,2.9411577745148141e-15,2.9411671606954019e-15,4.4615936543877917e-24,2.7549515098737584e-26,2.7549107597121941e-26,1.6331098651557355e-26,7.2061294021384912e-24,1.9730514266977769e-38,5.4027823785416136e-29,4.5762844179817985e-29,4.8781643556998961e-40,4.8781643556741921e-40,2.212781660194145e-51,1.6102651447543961e-39,3.576499418923685e-52,3.9271317603619208e-30,1.1078023112060079e-92,1.0356786318867741e-92,1.0356786318867848e-92,3.5507211693226778e-43,1.7550957077141359e-45,2.3389421344057135e-38,3.5169206939391169e-43,5.0501857102914338e-46,5.9542872556892829e-54,4.2490355249940167e-66,6.7032713965384686e-78,7.3145601066033049e-79,3.6694193411753205e-91,7.7166865561533425e-95,4.9242042910294238e-92,6.872311613463673e-81,3.9758895942719941e-87,9.9697748275039959e-40,3.1867757424160751e-37,2.5948987782185454e-48,1.0011293949507973e-48,4.6347088108625402e-49,6.6363508583756215e-53,2.869928939605165e-60,1.7464360658836869e-60,3.1038402717522955e-66,4.057092721517378e-78,1.1029010407130193e-66,8.1948264068100418e-78,3.1616151017544264e-78,4.857803120434023e-78,5.5631135701574789e-79,5.5631135701567011e-79,7.7750904767099462e-92,7.375601798999897e-74
4.661348464549886e-21,0.34470576223386007,1.4318713183335609e-20,5.4476339218797892e-34,8.7069031076002083e-35,6.310835916928071e-54,9.2636726034473002e-48,0.0,0.0,5.0058098222708365e-21,9.0247113643930457e-38,154.0,0.0,0.99999999999997946,1.0,19.0,7.7075308655407007e-16,7.575736749829898e-15,6.0553248298249579e-15,6.0553441542799462e-15,1.8626275187618828e-23,1.150138023983917e-25,1.1501000520381571e-25,6.8179121971902361e-26,3.0084171638943363e-23,1.6583657558925189e-37,2.255555289027599e-28,1.9105086601319761e-28,4.1003910723446876e-39,4.1003910723013335e-39,3.7321796588891891e-50,1.353524876322946e-38,6.0322890057212442e-51,1.6395002041965808e-29,1.6220666071465978e-90,1.5164616534249252e-90,1.5164616534249566e-90,2.984595197352706e-42,1.4752636947615886e-44,1.96567044073116e-37,2.956182785176235e-42,4.2449853354352547e-45,1.0042775637822261e-52,1.4356530545977759e-64,4.533425640287058e-76,4.9468404863023793e-77,4.9652575199519091e-89,1.0441798964057576e-92,6.6631630873098286e-90,4.6477476196252487e-79,2.8614766166919027e-85,8.3801964442461094e-39,1.330416140619104e-36,2.1811687773308774e-47,8.4150957452898226e-48,3.8957517810022838e-48,5.5805970316067784e-52,4.8402160468654144e-59,2.9454012954073359e-59,5.2372095242170934e-65,1.3713485663790974e-76,1.8609604003075119e-65,2.7699543173988407e-76,1.0686642718996805e-76,1.6419988612101808e-76,1.8804027427408413e-77,1.8804027427403155e-77,5.2603857614687489e-90,2.5589637991084335e-72
9.455878313801198e-21,0.34470576223386007,2.90465324577974e-20,1.2841711058687791e-33,3.5570540187252031e-34,5.2179212047713923e-53,7.5949185399615308e-47,0.0,0.0,1.0154642849397948e-20,3.6868890842354094e-37,154.0,0.0,0.99999999999995837,1.0,19.0,1.5635276898667928e-15,1.5367923019066342e-14,1.2283658940264729e-14,1.2283698141162184e-14,7.6094411312378526e-23,4.6986891082847352e-25,4.6983627053403263e-25,2.7853395861389913e-25,1.2290365666924349e-22,1.359459800512047e-36,9.2146793250031697e-28,7.8050512599663639e-28,3.3617483361822302e-38,3.3617483361110208e-38,6.1301161719371721e-49,1.1097014642400417e-37,9.9080527517234558e-50,6.6978932897951861e-29,2.2180388807548804e-88,2.0736330392681322e-88,2.0736330392682182e-88,2.4469515076826373e-41,1.2095103086082076e-43,1.6109994953744544e-36,2.4236556641597331e-41,3.4802953662529479e-44,1.6495288761198609e-51,4.7201130340466209e-63,2.9822387402041604e-74,3.2541968283523071e-75,6.5339995800852861e-87,1.3740820605031375e-90,8.7683457269753482e-88,3.0574435550808651e-77,1.9396020253051734e-83,6.8705913186181224e-38,5.4351840382512022e-36,1.7882539440894039e-46,6.8992038368894472e-47,3.1939722933355202e-47,4.5791550010753857e-51,7.9489572845814253e-58,4.8371131549172021e-58,8.6091274013612149e-64,4.5123017370076413e-75,3.0591186204421068e-64,9.1142876861989705e-75,3.5163354956447508e-75,5.4028531666575852e-75,6.187300441471049e-76,6.1873004414675856e-76,3.4632050238418235e-88,8.5225837555201298e-71
1.904493801230382e-20,0.34470576223386007,5.8502171007249577e-20,3.3078264967349993e-33,1.4378181067838464e-33,4.243126913932715e-52,6.1505619660612577e-46,0.0,0.0,2.0452309107730577e-20,1.4902995345656722e-36,154.0,0.0,0.99999999999991629,1.0,19.0,3.149076896492132e-15,3.0952295247157625e-14,2.4740327160422219e-14,2.4740406113779346e-14,3.0758577347375185e-22,1.8992852627512978e-24,1.899014869870783e-24,1.1258787868580429e-24,4.9679622520730718e-22,1.1006527458511153e-35,3.7247207130168229e-27,3.1549265110703655e-27,2.722430961657667e-37,2.722430961542234e-37,9.9371820746591436e-48,8.9866500714185747e-37,1.6061380302435041e-48,2.7073955577612745e-28,2.9335687519514085e-86,2.7425782026641011e-86,2.7425782026643272e-86,1.9816047904051008e-40,9.794928065257671e-43,1.3036973582307828e-35,1.9627366220156272e-40,2.8184332859919505e-43,2.6739572678547246e-50,1.5309572788520693e-61,1.9349781597756545e-72,2.1114338385682428e-73,8.47987077509954e-85,1.7832934344366115e-88,1.1379615614161565e-85,1.983773607528579e-75,1.2771210689438149e-81,5.5639829227780681e-37,2.1969882891549438e-35,1.4481744071600864e-45,5.5871540215683046e-46,2.5865609438021835e-46,3.7145451619490168e-50,1.2881998197384585e-56,7.838844251970533e-57,1.3978445298034478e-62,1.4658945543087828e-73,4.9670216620217914e-63,2.9609224330201329e-73,1.1423320966722883e-73,1.7552049585794052e-73,2.0100455929144197e-74,2.010045592912169e-74,2.2506110246582672e-86,2.7820215870515766e-69
3.822305740930906e-20,0.34470576223386007,1.174134481082683e-19,9.5344971333130386e-33,5.7814033699562423e-33,3.4222356501419592e-51,4.9505073654790917e-45,0.0,0.0,4.104764244070946e-20,5.9924290309710001e-36,154.0,0.0,0.99999999999983213,1.0,19.0,6.3201753097423834e-15,6.2121038461813873e-14,4.9653663597849002e-14,4.965382205442515e-14,1.236788838873224e-21,7.6369425047641432e-24,7.6347420363171505e-24,4.5271090228264625e-24,1.9975957261989046e-21,8.8546185451136572e-35,1.497693816629487e-26,1.2685820740366298e-26,2.1912492837703562e-36,2.1912492835844548e-36,1.6003524081499361e-46,7.2332376445804261e-36,2.5866357268360222e-47,1.0886318461580178e-27,3.8166533718859905e-84,3.5681694311497751e-84,3.5681694311503635e-84,1.5949679393936948e-39,7.8838102454757838e-42,1.0478321618366961e-34,1.5797770467364333e-39,2.2685200904455933e-42,4.3063253490332615e-49,4.932182357907837e-60,1.2468922895944891e-70,1.3605996327326788e-71,1.0929379559525069e-82,2.2984184019222163e-86,1.4666735424724674e-83,1.2783358836969221e-73,8.289902001694309e-80,4.4783774166106734e-36,8.83399328184879e-35,1.1656167506000903e-44,4.4970274356300818e-45,2.0818882612755148e-45,2.9998127631112499e-49,2.0734461914514123e-55,1.2616736087706854e-55,2.2584902364163929e-61,4.7376537632468288e-72,8.0251914195869435e-62,9.5694508499263583e-72,3.6918829204793579e-72,5.6726837443977099e-72,6.4963094743654176e-73,6.4963094743508697e-73,1.45488010785597e-84,8.9917130774735993e-68
7.657929620331954e-20,0.3447057622338601,2.3523600231876323e-19,3.0705277832468446e-32,2.3186013310312684e-32,2.7489259058112009e-50,3.9724703922023094e-44,0.0,0.0,8.2238312371921697e-20,2.4032321782581301e-35,154.0,0.0,0.99999999999966382,1.0,19.0,1.2662372136241184e-14,1.2445851992502146e-13,9.9480336461149719e-14,9.9480653917368567e-14,4.9600761854135546e-21,3.0627555124791475e-23,3.0609804781642512e-23,1.8155731489802368e-23,8.0112519438889347e-21,7.0982347783143817e-34,6.0064220633509533e-26,5.0875815025320585e-26,1.7583395496644826e-35,1.7583395493660692e-35,2.5689196211995761e-45,5.8042174295763958e-35,4.1521230139221646e-46,4.3659006051098117e-27,4.925188989548061e-82,4.6045336274691146e-82,4.6045336274706367e-82,1.2798613290102124e-38,6.3262612154809303e-41,8.3842691765193834e-34,1.2676649435597934e-38,1.8203441590830757e-41,6.9126046167729657e-48,1.5836200302449823e-58,8.0074509038980594e-69,8.7376711299356687e-70,1.40379144922932e-80,2.9521347548162747e-84,1.883821388363978e-81,8.209379362721375e-72,5.3430596244364926e-78,3.5936156856627653e-35,3.5428264145939507e-34,9.353340334014575e-44,3.6085809955120529e-44,1.6705825927776442e-44,2.4232475285528791e-48,3.3246226642686346e-54,2.0228680487154678e-54,3.6488283618617585e-60,1.5308444661064163e-70,1.2965540245636975e-60,3.0921002365462284e-70,1.19290422760259e-70,1.8329753220582155e-70,2.0991084494758664e-71,2.0991084494664641e-71,9.4021540395461625e-83,2.8920504138233719e-66
