Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990)
1.447251926706398e-19,0.4321061105122635,4.3232525055224741e-19,7.4735903331759555e-32,6.3865765713880335e-32,1.1229281142969971e-49,1.6463256159289449e-43,0.0,0.0,1.2149498179059818e-19,5.3197349949254494e-35,154.0,0.0,0.99999999999944966,1.0,19.0,2.3681081176821778e-14,2.3018719146194451e-13,1.4825355209480396e-13,1.4825410587445599e-13,1.7318486594739592e-20,6.8744383160719264e-23,6.866929167809294e-23,4.0777362350928448e-23,2.7926137532441732e-20,2.9904118394836153e-33,1.3415702762152529e-25,1.4148364660685242e-25,9.1876065896834186e-35,9.1876065873343727e-35,2.0223016549720143e-44,3.7814406720629157e-34,3.2674543520903567e-45,9.7658755755644209e-27,2.0275822766806473e-80,1.8957518562348561e-80,1.8957518562360239e-80,4.3030691118738282e-38,2.6447680866599707e-40,3.523060035182465e-33,4.2497512063259698e-38,7.5517750544808645e-41,5.3891882841348641e-47,2.3257056162128774e-57,1.7709673270279499e-67,2.4018489065969651e-68,5.8126193235187056e-79,9.7781044255244734e-83
2.895761239969448e-19,0.43210611051226344,8.6502610961438766e-19,2.7737922164711181e-31,2.5562950187552814e-31,8.9925334737922038e-49,1.3180615296204604e-42,0.0,0.0,2.4309555843939408e-19,2.1292806791266669e-34,154.0,0.0,0.99999999999889877,1.0,19.0,4.7382736707373425e-14,4.6057427957049294e-13,2.9663590818014543e-13,2.9663701613968752e-13,6.9319067760067111e-20,2.7515668484910316e-22,2.7455508497597226e-22,1.6321570169617153e-22,1.1177730855976593e-19,2.385300715725581e-32,5.3697773345012551e-25,5.6630330285725104e-25,7.3556717226756375e-34,7.3556717189141048e-34,3.2383155266401072e-43,3.0274513301110329e-33,5.2321832860481594e-44,3.9088952898515549e-26,2.6005757139621328e-78,2.4314901021922235e-78,2.4314901021952184e-78,3.445071760016706e-37,2.1174225999844282e-39,2.7909317445703813e-32,3.4023177675346163e-37,6.0460075142297295e-40,8.6297168680449277e-46,7.4485151373641583e-56,1.1343874040127958e-65,1.5384965641478983e-66,7.4465595688925477e-77,1.2526751487920268e-80
5.792779866495548e-19,0.4321061105122635,1.7304278281150285e-18,1.0663598678585919e-30,1.0228509805967949e-30,7.197673438647577e-48,1.0548498098541712e-41,0.0,0.0,4.8629682829495417e-19,8.5198987795080678e-34,154.0,0.0,0.9999999999977971,1.0,19.0,9.4786047768388707e-14,9.2134817899198602e-13,5.9340061993626235e-13,5.9340283601460546e-13,2.7736646809632273e-19,1.1009851409613996e-21,1.0961762416724566e-21,6.5307527239705488e-22,4.4725467739770106e-19,1.8949557311759602e-31,2.1486103769720786e-24,2.2659508508833263e-24,5.8867729054061153e-33,5.8867728993852189e-33,5.1834074242781684e-42,2.4228803914907794e-32,8.3748979539624123e-43,1.5640672723305372e-25,3.3321141326734737e-76,3.1154649679382315e-76,3.1154649679459075e-76,2.7571044659559211e-36,1.6945816054376559e-38,2.1875434263113496e-31,2.72278064803866e-36,4.8386365828630017e-39,1.3813147909142101e-44,2.3845240839470975e-54,7.2631723173667993e-64,9.8505727680453602e-65,9.5356892719331613e-75,1.6041127542349125e-78
1.1586817119547748e-18,0.4321061105122635,3.4612312666217521e-18,4.1790972126458797e-30,4.092069964938455e-30,5.759600099621477e-47,8.4404011688275905e-41,0.0,0.0,9.7269983423794627e-19,3.4085163318090741e-33,154.0,0.0,0.99999999999559364,1.0,19.0,1.8959266989006734e-13,1.8428948706538873e-12,1.1869300417902321e-12,1.1869344731547598e-12,1.1096457207712951e-18,4.4046574294068592e-21,4.366319036316656e-21,2.6127252850967749e-21,1.7893087159225464e-18,1.4943038428704896e-30,8.5958405772890353e-24,9.0652788640538635e-24,4.7103127124925262e-32,4.710312702857152e-32,8.2951190911558718e-41,1.9386711902228012e-31,1.3402554567204607e-41,6.2572875423685655e-25,4.267268820224866e-74,3.989817272155182e-74,3.989817272174842e-74,2.2061025209723894e-35,1.3559227465371688e-37,1.6809208876361674e-30,2.1784660313237437e-35,3.8716333285043259e-38,2.2105472517711769e-43,7.6320606513149545e-53,4.649410837897723e-62,6.3056964521069007e-63,1.2208277825610492e-72,2.0537010228719338e-76
2.3174891625652146e-18,0.43210611051226355,6.9228381496569661e-18,1.6543676224007551e-29,1.6369612051676215e-29,4.6082684164289719e-46,6.7529620842151434e-40,0.0,0.0,1.9455077110514144e-18,1.3635191273349346e-32,154.0,0.0,0.99999999999118683,1.0,19.0,3.7920591413201667e-13,3.6859838252639916e-12,2.3739888788651155e-12,2.3739977370948169e-12,4.4389380339811675e-18,1.7620063233613397e-20,1.731573703658461e-20,1.0451743222640029e-20,7.1578075461102611e-18,1.1618726996369389e-29,3.438616051859727e-23,3.6264066359006698e-23,3.7686079413277102e-31,3.7686079259096103e-31,1.3273475608511544e-39,1.5510822265855207e-30,2.1446240745302757e-40,2.5031187182293181e-24,9.5645546603619306e-72,8.9426813727048109e-72,8.9426813727927959e-72,1.7650496708201061e-34,1.0848411882995371e-36,1.2456599616430311e-29,1.7426628645039254e-34,3.0975830017329773e-37,3.5372157987440958e-42,2.4425028129507775e-51,2.9759246522148668e-60,4.0360549493755049e-61,1.5628193740205414e-70,2.6290063205620755e-74
4.6351040637860945e-18,0.4321061105122635,1.3846051939814461e-17,6.5829252432517523e-29,6.5481112781033027e-29,3.686856043729864e-45,5.4026261481972654e-39,0.0,0.0,3.8911309243882596e-18,5.4543114881322739e-32,154.0,0.0,0.99999999998237321,1.0,19.0,7.5843240261028394e-13,7.372144019714536e-12,4.7481065264826611e-12,4.7481242243782439e-12,1.7756425890795068e-17,7.0483117533655432e-20,6.8086831009030463e-20,4.1808606173966977e-20,2.8632316617222731e-17,8.7983450097513685e-29,1.3755023768117458e-22,1.4506216562446509e-22,3.0150294337921635e-30,3.0150294091221674e-30,2.1238432692211062e-38,1.2409215067703028e-29,3.4315640509985366e-39,1.0012882259391e-23,1.2284811233409971e-69,1.1486070865116349e-69,1.1486070865342742e-69,1.4121068928825264e-33,8.6791414158181197e-36,8.6773221705048205e-29,1.3937559539111208e-33,2.4781556359573929e-36,5.6597703562312003e-41,7.8163344585274564e-50,1.9046728389543387e-58,2.58318513443591e-59,2.0004948896308334e-68,3.3652733530545141e-72
9.270333866227855e-18,0.4321061105122635,2.7692479616477728e-17,2.6262608478178876e-28,2.6192978113257976e-28,2.9495909007073579e-44,4.3222035255732522e-38,0.0,0.0,7.7824071899013509e-18,2.1817794171413013e-31,154.0,0.0,0.99999999996474587,1.0,19.0,1.5168853795442924e-12,1.474439355021803e-11,9.4963417155888868e-12,9.496377042318869e-12,7.1026758520095681e-17,2.8193817919723903e-19,2.6335787342530227e-19,1.6723728394792831e-19,1.1453096759184321e-16,6.3558049473698876e-28,5.5021213431460258e-22,5.802604484664399e-22,2.4120807241381711e-29,2.4120806846658685e-29,3.3981689249919089e-37,9.9275567642778165e-29,5.4906132982709099e-38,4.0052343581371343e-23,1.5725719631912801e-67,1.4703256467675699e-67,1.4703256468255317e-67,1.129712523309555e-32,6.9434777780209797e-35,5.504214440088857e-28,1.1143270211657812e-32,1.9825261137783861e-35,9.0556619380626587e-40,2.5012381326567312e-48,1.2189967255684376e-56,1.6532468070071002e-57,2.5606470979760117e-66,4.3075739592433711e-70
1.8540793471111373e-17,0.43210611051226344,5.5385335355197313e-17,1.0491225267221569e-27,1.0477297907614697e-27,2.3597304092490139e-43,3.4578038829260051e-37,0.0,0.0,1.5565079076283318e-17,8.7272899159360129e-31,154.0,0.0,0.99999999992949118,1.0,19.0,3.0337913333222045e-12,2.9488609183082959e-11,1.8992811669285997e-11,1.8992882092735516e-11,2.8410680343352639e-16,1.127763973575167e-18,9.8777792997415944e-19,6.6895159709627521e-19,4.5812349844972759e-16,4.2526312561957019e-27,2.2008708458887781e-21,2.3210652490654175e-21,1.9296873597118368e-28,1.9296872965575766e-28,5.436925900254921e-36,7.9420581806926495e-28,8.7850007717131665e-37,1.6021100149454865e-22,2.0129403607922086e-65,1.8820619413606546e-65,1.8820619415090405e-65,9.0378105600620142e-32,5.554847885464952e-34,3.1013109555881985e-27,8.9034750672676988e-32,1.5859669939768329e-34,1.4488600394804948e-38,8.003717614204713e-47,7.8013447630271023e-55,1.0580462288683924e-55,3.2775308833944094e-64,5.5135336908861861e-68
2.781125307599489e-17,0.4321061105122635,8.307819147930995e-17,2.2285218034171541e-27,2.22643247867062e-27,7.0055154970703342e-43,9.8871884626870075e-37,0.0,0.0,2.3347870318019239e-17,1.8545670682929572e-30,154.0,0.0,0.99999999989423649,1.0,19.0,4.5506972870100122e-12,4.4232541393254063e-11,2.8489281198467911e-11,2.848938659423599e-11,6.037241800332928e-16,2.3965052980915917e-18,2.0095303827650348e-18,1.4215200191625259e-18,9.7350795585879785e-16,1.1042998766009234e-26,4.6768644280064203e-21,4.9322781822502381e-21,5.5177164137312194e-28,5.5177161812848884e-28,2.0011176651398175e-35,2.2709257981674028e-27,3.2334565161278413e-36,3.4044939300879934e-22,1.0386036469270324e-64,9.7107516702362916e-65,9.7107516711473028e-65,2.5842576738520268e-31,1.5883441157474008e-33,7.4346988625356662e-27,2.5440003636648964e-31,4.5347687542536887e-34,5.3326684169451974e-38,3.6541563604369407e-46,4.2862417510100399e-54,5.8131541774560155e-55,2.1144366396280309e-63,3.5569519452799919e-67
3.708171268087841e-17,0.43210611051226355,1.107710479888156e-16,3.8008239723795646e-27,3.7980378502144948e-27,1.5264766478187097e-42,2.0854979808971983e-36,0.0,0.0,3.1130780915107322e-17,3.1636978024368424e-30,154.0,0.0,0.9999999998589818,1.0,19.0,6.0676032406077155e-12,5.8976190186179483e-11,3.7985750303134777e-11,3.7985890579368502e-11,1.0298768403902687e-15,4.0881620120354086e-18,3.2960698565023978e-18,2.424939702445588e-18,1.6606810375250771e-15,2.1457029238452523e-26,7.9781928357324176e-21,8.4138991456917404e-21,1.1638481195606853e-27,1.163848060608069e-27,5.0751894291264915e-35,4.7900226791192149e-27,8.2007219872000722e-36,5.8076751646788526e-22,5.6659714451160613e-64,5.2975783245762432e-64,5.2975783250833847e-64,5.4509590489796736e-31,3.3502833218131979e-33,1.3620038010673707e-26,5.3625168408082129e-31,9.5649282671655535e-34,1.3524563194517065e-37,1.0891844332125961e-45,1.4736800013049375e-53,1.9986574890548129e-54,8.2573469139600879e-63,1.3890699631414396e-66
5.562263189064545e-17,0.43210611051226355,1.6615676191232063e-16,7.8675475215838298e-27,7.8633671531363625e-27,4.4309497487644898e-42,5.6961519629749087e-36,0.0,0.0,4.669688222898193e-17,6.5501130650596554e-30,154.0,0.0,0.99999999978847254,1.0,19.0,9.101415147591653e-12,8.8462822626006589e-11,5.6978687516158096e-11,5.6978897425075189e-11,2.1322075969085105e-15,8.4640315301485103e-18,6.4032709241378452e-18,5.0205027903552229e-18,3.4381943407164565e-15,5.1676872546187722e-26,1.6517859826391659e-20,1.7419935111870439e-20,3.1788354851265209e-27,3.1788352789713321e-27,1.7747703594765738e-34,1.3082943606395183e-26,2.8678152447033758e-35,1.2024072108383991e-21,7.869087008633382e-63,7.3574505615072768e-63,7.3574505623084175e-63,1.4888297923251285e-30,9.1506782340502147e-33,3.0417321735010651e-26,1.4630706717623261e-30,2.6123791196711883e-33,4.7294597234286806e-37,4.7674492725414764e-45,7.9255492577772723e-53,1.0748913436122054e-53,5.3707740032644143e-62,9.0348639508386175e-66
7.416355110041249e-17,0.4321061105122635,2.2154247725305313e-16,1.3379115614965856e-26,1.3373539799735347e-26,9.6900890869465261e-42,1.1918267866057706e-35,0.0,0.0,6.2263422455040426e-17,1.1140147930560642e-29,154.0,0.0,0.99999999971796327,1.0,19.0,1.2135227054244248e-11,1.1794841288479507e-10,7.5971623168089314e-11,7.5971902593662456e-11,3.6262895765815565e-15,1.4395110603697609e-17,1.0262462251715163e-17,8.5385117888163643e-18,5.8474082533608918e-15,9.7264348120615674e-26,2.8092576993229038e-20,2.962677099231724e-20,6.6511935484220596e-27,6.6511930333068478e-27,4.4345669979064254e-34,2.737370569715553e-26,7.1658513176749217e-35,2.0449814938618744e-21,3.6173137158982111e-62,3.3821213075902969e-62,3.3821213080057264e-62,3.1151354049419359e-30,1.9146298405907133e-32,5.4187671064681821e-26,3.058267979654722e-30,5.4657835659575421e-33,1.1817326707351801e-36,1.3889771831860171e-44,2.6413803281096273e-52,3.5823345591325056e-53,2.016319914524793e-61,3.3919124091481722e-65
9.270447031017953e-17,0.43210611051226344,2.7692819411224347e-16,2.0438731818676869e-26,2.0431758921778478e-26,1.8180111859225307e-41,2.1696767285857528e-35,0.0,0.0,7.7830432944141159e-17,1.701981296986576e-29,154.0,0.0,0.99999999964745401,1.0,19.0,1.5169038960541823e-11,1.4743288655745591e-10,9.4964557147422831e-11,9.496490611327365e-11,5.5400913218323371e-15,2.1992484691077053e-17,1.4779438845854516e-17,1.3044836673068893e-17,8.9334221759255669e-15,1.6021543958517665e-25,4.2919133383412548e-20,4.5263034668353019e-20,1.2108251637608315e-26,1.2108250544758094e-26,9.4081974095299183e-34,4.9832420009871829e-26,1.5203048155215014e-34,3.1242713967274845e-21,1.3355201964604009e-61,1.2486866414149585e-61,1.2486866415816213e-61,5.6709931271770348e-30,3.4855127917639241e-32,8.5461480767083926e-26,5.5619757315020589e-30,9.9498999575802562e-33,2.5071082248191505e-36,3.3722885875797335e-44,7.2313878576003885e-52,9.8074672654110672e-53,6.1500767018053359e-61,1.0345851651273732e-64
1.297863087297136e-16,0.43210611051226355,3.8769963248137764e-16,3.9299350547982422e-26,3.9289576117701044e-26,4.9745330347828142e-41,5.7285924468066266e-35,0.0,0.0,1.0896589425058084e-16,3.2729295778139223e-29,154.0,0.0,0.99999999950643559,1.0,19.0,2.1236662772049646e-11,2.0639841425370488e-10,1.3295041998324013e-10,1.3295090880493597e-10,1.0653125708735408e-14,4.2290778520511236e-17,2.5125247618567412e-17,2.5084385540595841e-17,1.7178213123495158e-14,3.4142072579917774e-25,8.2532023985470436e-20,8.7039257495460933e-20,3.1969382836162126e-26,3.1969378832576584e-26,3.4466040986510764e-33,1.3156953020871685e-25,5.5698143517731549e-34,6.0078670888091721e-21,1.6372464439808416e-60,1.5307950978109675e-60,1.5307950981535076e-60,1.4973134480473078e-29,9.2027899653649833e-32,1.7101123114622443e-25,1.4645867633243229e-29,2.6268121656450175e-32,9.1844597323401977e-36,1.744433840736293e-43,5.4011194160508392e-51,7.3251922643448698e-52,6.8058707406577468e-60,1.1449093710696362e-63
1.668681471492477e-16,0.43210611051226344,4.9847107701777258e-16,6.444741896697258e-26,6.443483110017409e-26,1.0487147608120673e-40,1.1876813525846595e-34,0.0,0.0,1.4010326554431075e-16,5.3677218543035193e-29,154.0,0.0,0.99999999936541728,1.0,19.0,2.7304286582115568e-11,2.653594074515206e-10,1.7093627602576564e-10,1.7093690613303284e-10,1.7470657914356873e-14,6.9356765429651401e-17,3.6809157454612849e-17,4.1137722163043856e-17,2.8171514470783413e-14,5.963235050406534e-25,1.353523540877235e-19,1.427441939710773e-19,6.6280564372321585e-26,6.6280553976966816e-26,8.9490871003197124e-33,2.7277132402019775e-25,1.4462676655282e-33,9.8528902179235369e-21,8.1619404474688291e-60,7.6312631437625462e-60,7.63126314581188e-60,3.1043119326782241e-29,1.907969681430816e-31,2.8705879407103574e-25,3.029100375678432e-29,5.4455599869840964e-32,2.3847194422707671e-35,5.6166641391481851e-43,2.1331385215431204e-50,2.893039287641179e-51,3.2580981812239816e-59,5.480904623895521e-63
2.4103182398831583e-16,0.4321061105122635,7.2001398458974087e-16,1.3360327327409115e-25,1.3358500560789829e-25,3.1990593826581671e-40,3.5686415690579914e-34,0.0,0.0,2.0238373728787652e-16,1.1128803486649471e-28,154.0,0.0,0.99999999908338078,1.0,19.0,3.943953419792234e-11,3.8326779406182603e-10,2.4690796773385174e-10,2.4690888679931436e-10,3.621782121771301e-14,1.437889191282228e-16,6.2093131669077172e-17,8.5283128355003238e-17,5.84013996240391e-14,1.3285092885775277e-24,2.8060975623364568e-19,2.959343021750408e-19,1.9915400489282825e-25,1.9915395882179925e-25,3.9660647609422242e-32,8.1956119018587561e-25,6.410381367833365e-33,2.0426812958976647e-20,1.2429407176548371e-58,1.1621265564606961e-58,1.1621265569747194e-58,9.3275951041541003e-29,5.7328997611034053e-31,6.1062268841710972e-25,9.0498997830563477e-29,1.6358927858529303e-31,1.0568388319852594e-34,3.7540138516947256e-42,2.2030305567591685e-49,2.9878299388428585e-50,5.3300426809643318e-58,8.9664578295299806e-62
