Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990)
0.0,0.4321061105122635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5717331958149414e-22,0.4321061105122635,4.6951048054920115e-22,1.191803958763946e-35,1.129379996756919e-37,2.5156053686058802e-58,5.5293921135120357e-52,0.0,0.0,1.3194500697344285e-22,9.4072330127503608e-41,154.0,0.0,0.99999999999999944,1.0,19.0,2.5717942198996963e-17,2.4998613972581049e-16,1.61005160907576e-16,1.6100576236299165e-16,3.0625414833536371e-26,1.2156517753367957e-28,1.2156537832951727e-28,7.2109277199037185e-29,4.9383619171963545e-26,1.0080979050126911e-41,2.3723862360500233e-31,2.501947620085462e-31,3.0857743253774579e-43,3.0857743253758524e-43,1.3820185855006683e-55,1.2700450634415118e-42,2.2329411662026893e-56,1.7269634845414047e-32,8.658780873379931e-100,8.0957996634101097e-100,8.0957996634101198e-100,1.4452393966700836e-46,8.8827894150338104e-49,1.1959374600140896e-41,1.4273610425454643e-46,2.5363613455233851e-49,3.6829119652083801e-58,3.3415311453175688e-71,5.4357715793573001e-84,7.3721868360962078e-85,3.8415783748291127e-98,6.4623705341525888e-102
4.400852948281836e-22,0.4321061105122635,1.3146293455381218e-21,3.3736429964342185e-35,6.8214551804133112e-37,3.8015828340024406e-57,6.564495284461069e-51,0.0,0.0,3.6944601963679834e-22,5.6819687412629079e-40,154.0,0.0,0.99999999999999833,1.0,19.0,7.2010238157191421e-17,6.9996119096829631e-16,4.5081445054081751e-16,4.5081613461574842e-16,1.8497750553634962e-25,7.3425367229937946e-28,7.3425340771779505e-28,4.3554003420105784e-28,2.9827705970479577e-25,1.1968058205033513e-40,1.4329212865725465e-30,1.511176362528711e-30,3.663431279081662e-42,3.6634312790780711e-42,3.0915202916526652e-54,1.5077974988829029e-41,4.9950000696939267e-55,1.0430859446625195e-31,9.2266029419586965e-98,8.6267027753958038e-98,8.6267027753958272e-98,1.7157888543416826e-45,1.0545647593514124e-47,1.4197895475224966e-40,1.6945629694724756e-45,3.011168185524138e-48,8.2385267395475842e-57,1.3788921817454657e-69,4.0919131632240155e-82,5.5495982338484817e-83,5.2437355441694699e-96,8.8211109311718523e-100
1.0059092453215625e-21,0.4321061105122635,3.0048670755173992e-21,7.8836887193567511e-35,3.2842370305714027e-36,4.0895693388204855e-56,6.4450608210773163e-50,0.0,0.0,8.4444804540814268e-22,2.7356233624464801e-39,154.0,0.0,0.99999999999999623,1.0,19.0,1.6459483007357996e-16,1.5999112923973755e-15,1.0304330298057189e-15,1.0304368791187491e-15,8.9058706248608617e-25,3.5351153626187229e-27,3.5350990410236899e-27,2.0969377797311006e-27,1.4360756441127395e-24,1.175014080216288e-39,6.8988991744084572e-30,7.2756636791648981e-30,3.5967785536399498e-41,3.5967785536328551e-41,6.1083231160125052e-53,1.4803645245993592e-40,9.8692784019224508e-54,5.0220098130390654e-31,2.0997589535592438e-95,1.9632357115920126e-95,1.9632357115920219e-95,1.6845719532994855e-44,1.0353779342119947e-46,1.3938997513186931e-39,1.6637318444547591e-44,2.9563827723102606e-47,1.6277940482984841e-55,5.4547603307506348e-68,3.2353526891427274e-80,4.3879004400583715e-81,8.2838169634561781e-94,1.3935197938273537e-97
2.1375571463083205e-21,0.4321061105122635,6.3853425354816969e-21,1.7489250755540229e-34,1.4343125958836457e-35,3.7590187970825255e-55,5.7005834765916752e-49,0.0,0.0,1.7944520987293644e-21,1.1947185950341251e-38,154.0,0.0,0.9999999999999919,1.0,19.0,3.4976401390635574e-16,3.3998114910319618e-15,2.1896701883291957e-15,2.1896783681147002e-15,3.8894276748365509e-24,1.5438777546150291e-26,1.5438574054761489e-26,9.1578781917030879e-27,6.2717196202904411e-24,1.0392564580997038e-38,3.0129305197576853e-29,3.1774734774634568e-29,3.181309898449111e-40,3.1813098984364853e-40,1.0869434566410745e-51,1.3093656557747198e-39,1.7561853580208096e-52,2.1932436253599995e-30,3.5484998043630486e-93,3.317781560924023e-93,3.317781560924055e-93,1.4899849274141612e-43,9.1578005752319821e-46,1.232785298891016e-38,1.4715517482766398e-43,2.6148870675140154e-46,2.8965725205612746e-54,1.9467652061598513e-66,2.3124948075468049e-78,3.1362877431487195e-79,1.1849730024388868e-91,1.9933849430598614e-95
4.400852948281836e-21,0.43210611051226344,1.3146293455433261e-20,3.9042257189344524e-34,5.987972742826413e-35,3.2159197286184725e-54,4.7916839647478133e-48,0.0,0.0,3.6944602124859419e-21,4.9877149650859818e-38,154.0,0.0,0.99999999999998324,1.0,19.0,7.2010238157190186e-16,6.9996118714068528e-15,4.5081445053508466e-15,4.5081613460664011e-15,1.6237594863537866e-23,6.4453857122713808e-26,6.4451902685507667e-26,3.8232338657757832e-26,2.6183194754034709e-23,8.7350689063297609e-38,1.2578391823304635e-28,1.3265326281287401e-28,2.6740826579066391e-39,2.6740826578853444e-39,1.8332889930443579e-50,1.1006007261212632e-38,2.9620632881601023e-51,9.1563603949702648e-30,5.1957853670598776e-91,4.8579630367064977e-91,4.8579630367065915e-91,1.2524221542617398e-42,7.6976831822720559e-45,1.0360566791920009e-37,1.2369275302284878e-42,2.1979701144078916e-45,4.8854928749382057e-53,6.5776795705542987e-65,1.5639413415579014e-76,2.1210728969322445e-77,1.6034406450309112e-89,2.6973396769785884e-93
8.927444552228868e-21,0.4321061105122635,2.6668195295428284e-20,9.1515799503371993e-34,2.4462822481933307e-34,2.6589846326072751e-53,3.9285120422251859e-47,0.0,0.0,7.4944764684556335e-21,2.0376443178850481e-37,154.0,0.0,0.99999999999996603,1.0,19.0,1.4607791169029725e-15,1.4199212564579507e-14,9.1450931392929383e-15,9.1451273018089946e-15,6.6335872858513389e-23,2.6331503709727307e-25,2.632980236413508e-25,1.5619157782601589e-25,1.0696689336261157e-22,7.160704595260521e-37,5.1386834825368707e-28,5.4193186226664076e-28,2.1923745241539384e-38,2.1923745241189618e-38,3.0111826183553031e-49,9.023389662487626e-38,4.8651978203865343e-50,3.7406719859982642e-29,7.1047969975857743e-89,6.6428535359475579e-89,6.6428535359478146e-89,1.0268113680393656e-41,6.3110257471097026e-44,8.4913723671110451e-37,1.014107295107412e-41,1.8020286552059112e-44,8.0244365434208164e-52,2.1625970855600601e-63,1.0288128299996954e-74,1.3953125681820253e-75,2.1100376915964308e-87,3.5495474262252527e-91
1.798062776012293e-20,0.43210611051226355,5.3711998975785856e-20,2.3393300192245887e-33,9.8882639741531193e-34,2.1622421621458206e-52,3.1814109159646756e-46,0.0,0.0,1.5094509094221155e-20,8.2364842011176e-37,154.0,0.0,0.99999999999993161,1.0,19.0,2.9421325875650284e-15,2.8598413680616291e-14,1.8418990406772267e-14,1.841905921265102e-14,2.6814020141132682e-22,1.0643614801995678e-24,1.064219720390069e-24,6.3135132644877489e-25,4.3237728086838121e-22,5.7975760630803381e-36,2.0771380240391473e-27,2.1905752345880236e-27,1.7754417306991544e-37,1.775441730642455e-37,4.8812565978139445e-48,7.3073748226394868e-37,7.8866952416085718e-49,1.5120394249157118e-28,9.3967741694863396e-87,8.7858097197665296e-87,8.7858097197672046e-87,8.3153847503804243e-41,5.1108322741653588e-43,6.8719279368440019e-36,8.2124936585673335e-41,1.4593294603846554e-43,1.3007956869582843e-50,7.014331509848142e-62,6.6752883836961264e-73,9.0532636324256846e-74,2.738421817252802e-85,4.6066278111223769e-89
3.6086994175911055e-20,0.43210611051226344,1.0779960633797116e-19,6.686478779676107e-33,3.9760274539025288e-33,1.7439266657447466e-51,2.560676285931751e-45,0.0,0.0,3.0294574801056762e-20,3.3118541337624016e-36,154.0,0.0,0.99999999999986278,1.0,19.0,5.9048395288887963e-15,5.7396814831455803e-14,3.6966784940111527e-14,3.6966923031762788e-14,1.07817993350897e-21,4.2797506979564494e-24,4.2785938266420464e-24,2.5386358835725191e-24,1.7385699924284869e-21,4.664224793496105e-35,8.3520806381498291e-27,8.808206672123776e-27,1.4290299646313726e-36,1.4290299645400603e-36,7.8611126670360495e-47,5.8816108666363677e-36,1.2701279292946658e-47,6.0798440254817477e-28,1.2225460813470684e-84,1.1430579314409202e-84,1.1430579314410962e-84,6.6929451018327407e-40,4.1136424462271637e-42,5.5237258950052252e-35,6.6101130404002533e-40,1.1745952033135828e-42,2.0948911709695178e-49,2.2597601379045132e-60,4.3015295133511981e-71,5.8338873876184108e-72,3.5294466615744442e-83,5.9373056501609039e-87
7.229972700748731e-20,0.4321061105122635,2.1597482106822241e-19,2.1375995152286298e-32,1.5945648412377149e-32,1.4008167839139111e-50,2.0547814554514944e-44,0.0,0.0,6.0694708035946222e-20,1.3282016835578381e-35,154.0,0.0,0.99999999999972511,1.0,19.0,1.1830253411534956e-14,1.1499361280819896e-13,7.4062374000312468e-14,7.406265065970031e-14,4.3239835755968649e-21,1.7163714451196311e-23,1.715436952357203e-23,1.0181065067200002e-23,6.9724429648957964e-21,3.7392706916597351e-34,3.3495578913035666e-26,3.5324848312667916e-26,1.1467065491722008e-35,1.1467065490256241e-35,1.2618824868576764e-45,4.7196221204017377e-35,2.0388365338242748e-46,2.4382893817324618e-27,1.5776309538659908e-82,1.4750557072874918e-82,1.475055707287946e-82,5.3706669557022941e-39,3.3009389943352307e-41,4.4206128013758684e-34,5.3041732222137035e-39,9.4253850840786847e-42,3.3627636948636162e-48,7.2556146501735689e-59,2.7624107594516444e-69,3.7464797676557602e-70,4.5332921882570919e-81,7.6259946935775641e-85
