Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842)
0.0,0.7065056353104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.937105708305344e-21,0.7065056353104167,3.6646466233734121e-23,9.2420792832947939e-38,6.9165066420548562e-38,1.1533081907366788e-58,6.9598188507541711e-51,0.0,0.0,3.7204981600150051e-23,2.0463561288775642e-40,154.0,0.0,0.99999999999999922,1.0,19.0,1.0579599227795812e-16,8.1871423237017166e-17,3.1193287087046309e-16,3.1193294471807056e-16,3.8274449643648165e-25,5.6014234272330047e-27,5.6012053320827952e-27,3.841471634580645e-27,4.2802540914530293e-25,7.469484001873148e-39,3.7296430626482146e-30,1.3429312337788332e-30,2.2862243978726049e-41,2.2862243978402343e-41,2.8154980306112686e-52,4.5283372880590523e-41,4.2157906473315125e-53,2.7025452578558305e-31,1.2830406051074987e-94,1.2250976117200374e-94,1.2250976117200408e-94,5.0623396268983259e-44,5.7183691445030059e-47,1.0243823396026819e-38,2.4888641020661675e-44,3.8625336638565492e-48,8.1296798413146281e-56,1.8942565947019539e-67,7.8440162927205097e-79,2.5714007755700895e-80,3.6170740467005827e-92,7.0891042629449003e-96,5.0387330783852276e-93,8.5133788223308486e-82,3.0747509228060618e-90,4.0492833789318608e-41,1.2896215448477634e-39,2.315791956583468e-50,1.8579964227279441e-51,2.2520899330443496e-51,2.7574914186702891e-56,5.867030273607823e-62,3.0880607293400823e-62,3.5584122032274957e-69,9.4908693519827805e-81,6.0433129961983692e-70,1.0852057031148627e-80,8.7067297263888296e-82,7.4423733019319929e-81,2.3893679713867514e-82,2.389367971383083e-82,7.442051211698841e-95,3.8100620881703278e-70,1.593385415618803e-73,2.8230988348699099e-84,1.2645885214609228e-94,2.5347395896375962e-95,2.1633269089810187e-106,3.5013193055952226e-107,2.9292396332026293e-120,5.6739050348057798e-75,1.4830654130187943e-83,2.9244205708544046e-94,1.9331105281919799e-121,8.0049083746639452e-133,4.1263623364204085e-133,3.215974733126144e-86,1.6632534860615124e-42,1.4933616869980397e-53,1.4933586726779233e-53,7.5147640590808157e-54
1.9423895983254963e-20,0.7065056353104167,1.0261010545495673e-22,4.8287303517159734e-37,4.177570011817758e-37,1.7428793644916734e-57,8.2626969862465099e-50,0.0,0.0,1.0417395023062189e-22,1.2359991193690525e-39,154.0,0.0,0.99999999999999778,1.0,19.0,2.9622877837828056e-16,2.2923998237850749e-16,8.7341203841914124e-16,8.73412245180002e-16,2.3117767358811509e-24,3.3832597498363389e-26,3.383000062880656e-26,2.3202488581627029e-26,2.5852734459692873e-24,8.8672722327414474e-38,2.2527044097736716e-29,8.1113046517497401e-30,2.7142056050702672e-40,2.7142056049978551e-40,6.2981562957609819e-51,5.3760419802523113e-40,9.4305549865413427e-52,1.6323373357093702e-30,1.3671793286260432e-92,1.3054365727985893e-92,1.3054365727985963e-92,6.0100096943040728e-43,6.7888478480968061e-46,1.2159353254873906e-37,2.9547764393071936e-43,4.5855998801311581e-47,1.8185768293492632e-54,7.8167027411658114e-66,5.9047795770312361e-77,1.9356862884360522e-78,4.937288164613062e-90,9.6765925222847551e-94,6.8778422423244517e-91,6.408658973452069e-80,2.3597144971239382e-88,4.8073091844280454e-40,7.7893141305027404e-39,2.7493082106146155e-49,2.205813330938835e-50,2.6736805375957927e-50,3.3361887505700648e-55,1.3123390676574496e-60,6.9074175162132e-61,8.1051899317656249e-68,3.9861248313921352e-79,1.3765184259893127e-68,4.5578163351679128e-79,3.656772040080619e-80,3.1257656503449117e-79,1.0035245997196355e-80,1.0035245997168258e-80,5.7005554544651347e-93,1.5722330638366868e-68,6.5751494914948506e-72,2.1251583252228985e-82,1.7261570893059249e-92,3.4599070257445615e-93,5.3369081497834573e-104,8.6377236159923605e-105,1.3036827061478881e-117,2.4773519432084607e-73,1.1804009145692831e-81,2.2400842405018404e-92,8.6034707988126856e-119,6.4207780011514225e-130,3.309776361555612e-130,1.3507012082911169e-84,1.9746145315014619e-41,3.3405857812064586e-52,3.3405733425840173e-52,1.6810226551435904e-52
4.4397476533154206e-20,0.7065056353104167,2.3453738389940669e-22,2.1601567810000985e-36,2.011320131534489e-36,1.8749101474631342e-56,8.1123649187060087e-49,0.0,0.0,2.3811189449237258e-22,5.9508038856240725e-39,154.0,0.0,0.99999999999999489,1.0,19.0,6.7709435057891655e-16,5.2397708992092618e-16,1.9963703734438761e-15,1.9963708459814936e-15,1.1130209617444916e-23,1.6288939323207636e-25,1.6286385884579428e-25,1.1170999376500498e-25,1.2446978518920283e-23,8.7048832953269918e-37,1.0845802025193309e-28,3.9052440274172256e-29,2.6648231578996294e-39,2.6648231577565556e-39,1.2444094737175694e-49,5.2782297937543085e-39,1.8633187209897917e-50,7.8590016093114776e-30,3.1113802707836033e-90,2.9708682045739927e-90,2.9708682045740246e-90,5.9006631962832164e-42,6.6653310740354991e-45,1.1933649912245311e-36,2.9010106271245538e-42,4.5021689732332593e-46,3.5932012181405972e-53,3.0922097512084099e-64,4.6687314811395291e-75,1.5304888852701234e-76,7.7997049347847647e-88,1.5286644193765994e-91,1.0865292435053463e-88,5.0671337535523466e-78,2.4177536840328143e-86,4.7198445730594121e-39,3.7502194518506803e-38,2.699287103845742e-48,2.1656805617479796e-49,2.6250340701226489e-49,3.4078662103242993e-54,2.592562524405374e-59,1.364594402289924e-59,1.6642203349224708e-66,1.6378097816628387e-77,2.8263741813430828e-67,1.8727036685566957e-77,1.5024701960238791e-78,1.284307804617027e-77,4.1232605261094976e-79,4.1232605260864251e-79,4.680314266411873e-91,6.2195980580632415e-67,2.6010637156794425e-70,1.6802987629031853e-80,2.726905104006494e-90,5.4658050394907377e-91,1.6847031264149599e-101,2.7266724964562773e-102,8.2252206370164466e-115,1.1563586431467036e-71,1.0999152470733333e-79,1.8391713426054176e-90,5.4281187617231247e-116,8.0983396680282397e-127,4.1745242083156947e-127,5.5497418551111815e-83,1.9386882411859402e-40,6.6004147702475478e-51,6.6003655647656162e-51,3.3214174648670174e-51
9.434463763295268e-20,0.7065056353104167,4.9839194079632554e-22,9.1002413188125512e-36,8.7839634356673726e-36,1.7233655532713763e-55,7.1752949092094067e-48,0.0,0.0,5.0598781101910193e-22,2.5988725552576517e-38,154.0,0.0,0.99999999999998901,1.0,19.0,1.4388254949801528e-15,1.1134512620435189e-15,4.2422870432028576e-15,4.2422880470950695e-15,4.860854754517761e-23,7.1138077492937922e-25,7.1115478748341885e-25,4.8786688344955663e-25,5.4359223044860657e-23,7.6974907547440629e-36,4.7366466885427003e-28,1.7055226664737758e-28,2.3570059046833144e-38,2.3570059044287216e-38,2.2143598935292123e-48,4.668534297161993e-38,3.3156760146410851e-49,3.4322324769258773e-29,5.2580951067102242e-88,5.0206359267121353e-88,5.0206359267122413e-88,5.2190697906986976e-41,5.8954098515427293e-44,1.0547225866289412e-35,2.5658996572385898e-41,3.9821171488379364e-45,6.3939090822722636e-52,1.1035876108398756e-62,3.3370137894669067e-73,1.0939293758087451e-74,1.1157222761814495e-85,2.1867044603957347e-89,1.5542410383662153e-86,3.6217750534407654e-76,1.9358350197465044e-84,4.1746489121541162e-38,1.6378193613711864e-37,2.3874888739886584e-47,1.9155198479498428e-48,2.3218105301244395e-48,3.2497047961552887e-53,4.6119030730837186e-58,2.4275263332546352e-58,3.1858070332129695e-65,6.2816622313779923e-76,5.4105111898253965e-66,7.1825644218068155e-76,5.7624581912524282e-77,4.925842554639296e-76,1.5814383749821341e-77,1.5814383749644209e-77,3.5932575905442819e-89,2.2197303913282859e-65,9.2830113902501006e-69,1.2010072629635894e-78,3.9007487381207302e-88,7.8186556741805257e-89,4.8214036890275783e-99,7.8033867628376099e-100,4.7086684543516548e-112,4.4026285129729817e-70,8.3955689963305485e-78,1.4120027013047177e-88,3.1074195707018104e-113,9.2728135109534701e-124,4.7799408360469045e-124,2.1285538271889587e-81,1.7147477674385777e-39,1.174501465007551e-49,1.1744839042582145e-49,5.9102848261559423e-50
1.9423895983254963e-19,0.7065056353104165,1.026101054622239e-21,3.7322478591464393e-35,3.6671318218494649e-35,1.474375700806211e-54,6.0312677185483526e-47,0.0,0.0,1.0417397560854725e-21,1.0849782639443269e-37,154.0,0.0,0.99999999999997735,1.0,19.0,2.9622877837824838e-15,2.2923994344397502e-15,8.7341203815588703e-15,8.7341224473652586e-15,2.0293110049032491e-22,2.9698746981560566e-24,2.9679749964546397e-24,2.0367481333752887e-24,2.2693903667950702e-22,6.4670444545393688e-35,1.9774567508977681e-27,7.1202213976672855e-28,1.9812054826128447e-37,1.9812054821834371e-37,3.7348406852708472e-47,3.9241840719555276e-37,5.5923719155058872e-48,1.4328894952193008e-28,7.6990094700374854e-86,7.351316923894688e-86,7.3513169238950038e-86,4.3869426394278855e-40,4.9554472036829126e-43,8.8522300798137547e-35,2.1567741088553867e-40,3.3472088615460113e-44,1.0784260528528302e-50,3.7287725378451964e-61,2.2568236956239366e-71,7.3982485318441346e-73,1.5097341359182812e-83,2.9589284473096636e-87,2.103104175606869e-84,2.4494078470761044e-74,1.3806097558752145e-82,3.5090436793045623e-37,6.8375734255141506e-37,2.0068282540545662e-46,1.6101097106895389e-47,1.9516176508327403e-47,3.1277230975479363e-52,7.7738492913362633e-57,4.0920294560752953e-57,6.1306779836633991e-64,2.417428411325381e-74,1.0411836460527276e-64,2.7641223995705554e-74,2.2175246189563531e-75,1.8956586492769432e-74,6.0860016783812706e-76,6.0860016782449389e-76,2.7655650501524811e-87,7.4999670392875737e-64,3.1365195693192277e-67,8.1224174876321388e-77,5.2782795743599773e-86,1.0579776636661468e-86,1.3050737484938877e-96,2.1122473445361471e-97,2.5493726814206925e-109,1.5304969518011418e-68,5.8446284457340866e-76,1.0867535162871205e-86,1.6824226722866963e-110,1.0041498265924891e-120,5.1761817021795385e-121,8.1915224170325055e-80,1.4413487745077889e-38,1.9809445050744275e-48,1.9808851735535496e-48,9.9685589212428165e-49
3.9402760423174357e-19,0.7065056353104167,2.0815192824023688e-21,1.5113522602411688e-34,1.4981430048921392e-34,1.2190426501702696e-53,4.9447976711067418e-46,0.0,0.0,2.1132440942698613e-21,4.4324912987140338e-37,154.0,0.0,0.99999999999995393,1.0,19.0,6.0092123613865761e-15,4.6502950918365975e-15,1.7717787053623091e-14,1.7717791240082994e-14,8.2903962218946392e-22,1.2132907175238534e-23,1.2117338744862301e-23,8.3207801417400954e-24,9.2711985878078889e-22,5.2968984387392066e-34,8.0785560516462373e-27,2.9088427663731877e-27,1.6243119531653583e-36,1.6243119524600552e-36,6.1344839760841113e-46,3.2172826910630556e-36,9.1854866371612591e-47,5.853821126128886e-28,1.052774420792239e-83,1.0052304061643884e-83,1.0052304061644745e-83,3.5966806288812614e-39,4.0627750104163464e-42,7.2357976478613814e-34,1.7682223011514034e-39,2.7442431647045508e-43,1.7713174742213045e-49,1.2259384510127484e-59,1.4846135519855275e-69,4.8668135018396165e-71,1.9867246320562162e-81,3.8937822960447918e-85,2.7675410627349459e-82,1.6113018008264761e-72,9.3188896290062007e-81,2.8769255683698744e-36,2.7933718465421807e-36,1.6453190476229732e-45,1.3200649895713252e-46,1.6000475034352768e-46,3.2139445506842171e-51,1.2752832601501603e-55,6.7134683020420058e-56,1.2557704710817069e-62,9.8877937418473341e-73,2.1326967108746827e-63,1.1305777875736349e-72,9.0693784915892379e-74,7.7536652901812829e-73,2.4893120900972575e-74,2.4893120899858188e-74,2.2606182681917049e-85,2.4658248285230633e-62,1.0312188977038643e-65,5.3431969321409093e-75,6.9459183873130546e-84,1.3922389559281434e-84,3.4351670239349698e-94,5.559781718535115e-95,1.342144045832952e-106,5.0998405873947359e-67,3.8975277927223852e-74,8.8833016305473967e-85,8.8572910072954053e-108,1.0573182583034483e-117,5.4502538153271993e-118,3.3505185171529181e-78,1.1817047336329229e-37,3.2536288350989591e-47,3.2534337810452354e-47,1.6373386964921166e-47
7.936048930301314e-19,0.7065056353104167,4.1923557384758417e-21,6.0823381323274557e-34,6.0557335590554355e-34,9.9130574052079726e-53,4.0044253576190463e-45,0.0,0.0,4.256254562845226e-21,1.7916847180900109e-36,154.0,0.0,0.99999999999990719,1.0,19.0,1.2103061516592487e-14,9.3660836570494364e-15,3.5685120379160326e-14,3.5685128794269667e-14,3.3511095884244914e-21,4.9043150582331875e-23,4.8917213150524993e-23,3.3633919202869731e-23,3.7475654543192076e-21,4.2812069683638248e-33,3.2654815178267248e-26,1.1758007532065097e-26,1.3154099313887363e-35,1.3154099302454101e-35,9.9442529426096338e-45,2.6054381265114336e-35,1.4890066338991392e-45,2.3662080919745396e-27,1.3923949500615246e-81,1.3295134394925998e-81,1.3295134394928271e-81,2.9126852288992073e-38,3.2901405336639548e-41,5.8247408003730031e-33,1.4319013755168487e-38,2.2223578228348706e-42,2.8713801546662653e-48,3.976299523110091e-58,9.6326733589047215e-68,3.1577527171705514e-69,2.5783837918516624e-79,5.0533753101557342e-83,3.5916675576851959e-80,1.0454669443121457e-70,6.1235484579927766e-79,2.329808189927394e-35,1.1291255606813414e-35,1.3324220184831821e-44,1.0690224810503342e-45,1.2957493297175075e-45,3.6549522937514713e-50,2.0622051159662507e-54,1.0857933655440342e-54,2.8423058138439627e-61,4.4654139640060297e-71,4.827137120067433e-62,5.1057269794365805e-71,4.0951194908607397e-72,3.5016412189095713e-71,1.1242028434342167e-72,1.1242028433336792e-72,2.0394709494286821e-83,7.997842030694841e-61,3.3447330385698947e-64,3.4668477127101264e-73,9.014460333555008e-82,1.8068571966401654e-82,8.9168367280607395e-92,1.4431817427541188e-92,6.9679339443532919e-104,1.6649265902786526e-65,2.5456375062157396e-72,8.014283466358556e-83,4.5983900815851704e-105,1.0978586568913666e-114,5.6592310685812837e-115,1.5131341589584017e-76,9.5697501066438308e-37,5.2740181813278036e-46,5.2733856255061035e-46,2.6541962615152749e-46
1.592759470626907e-18,0.7065056353104167,8.4140286526756362e-21,2.4403233633747267e-33,2.4349838306761471e-33,7.9952480322731848e-52,3.2231099059700382e-44,0.0,0.0,8.5422826688222984e-21,7.2042924123190424e-36,154.0,0.0,0.9999999999998137,1.0,19.0,2.4290759826995217e-14,1.8797649789164493e-14,7.1619786955869956e-14,7.1619803777980335e-14,1.3474655289059389e-20,1.972003506516099e-22,1.9618907868268069e-22,1.3524047358632443e-22,1.5068785826810359e-20,3.4325079512781231e-32,1.3130357536028894e-25,4.7278431041428593e-26,1.0587563485801214e-34,1.0587563467388333e-34,1.6014880798257072e-43,2.0970819676468694e-34,2.3979982080161867e-44,9.5144186541339454e-27,1.8115439950829859e-79,1.7297334262870206e-79,1.7297334262876121e-79,2.3443824776023889e-37,2.6481913302910758e-40,4.6328886413063057e-32,1.1524368890785239e-37,1.7887445964816467e-41,4.6242634142760623e-47,1.281016274961848e-56,6.2072496411898505e-66,2.0348410771514325e-67,3.3231760211358775e-77,6.5130939126477554e-81,4.6289901862942701e-78,6.7369400776509736e-69,3.9709035144918948e-77,1.8752311534235586e-34,4.5401642037801132e-35,1.0724491520430626e-43,8.6044169596211836e-45,1.0429146885374669e-44,4.6356235242858748e-49,3.304860786038219e-53,1.7406744083901069e-53,7.1755554283344649e-60,2.2493348865178165e-69,1.2186369860957227e-60,2.5718143570737966e-69,2.0621138005918399e-70,1.7638781114853117e-69,5.6629544984405894e-71,5.6629544974288861e-71,2.0523079837359375e-81,2.5766102368277123e-59,1.0775498268393795e-62,2.2340222008470611e-71,1.1618387431792422e-79,2.3287879073818426e-80,2.2985712925866317e-89,3.7202219159217466e-90,3.592424850340749e-101,5.3810249697332761e-64,1.6457574886205935e-70,8.0647277405660652e-81,2.3707702947485388e-102,1.1320432477250339e-111,5.8354454696671519e-112,7.6221218692857687e-75,7.7025654972137514e-36,8.4928245000251939e-45,8.4907872640585542e-45,4.2745002138355653e-45
3.1910686258204585e-18,0.7065056353104167,1.6857374489286626e-20,9.7760720173690036e-33,9.7653742394973542e-33,6.4222310482689376e-51,2.5863427165756564e-43,0.0,0.0,1.7114367556081698e-20,2.8892490613811018e-35,154.0,0.0,0.99999999999962674,1.0,19.0,4.8666156447764297e-14,3.7660738060254799e-14,1.4348911981182985e-13,1.43489153249387e-13,5.4039322377641959e-20,7.9086159935885505e-22,7.8278530081195506e-22,5.4237449607962949e-22,6.0432490306140742e-20,2.7331387447346262e-31,5.2658606207298023e-25,1.8960765339658394e-25,8.4958528793190654e-34,8.4958528497624238e-34,2.5707327703582327e-42,1.6827741157680186e-33,3.8493147576059318e-43,3.8157074118236058e-26,2.3377015378168975e-77,2.2321293336988132e-77,2.2321293337003404e-77,1.8812193057895963e-36,2.1250067541441539e-39,3.6317214733276026e-31,9.24626596321878e-37,1.4353511640252309e-40,7.4229482629161611e-46,4.1130644405916957e-55,3.9862411676564734e-64,1.3067570584235322e-65,4.2683443275853162e-75,8.3655297432389648e-79,5.9451258621263892e-76,4.3264037184036317e-67,2.5581051825413404e-75,1.5047530305058833e-33,1.8208088975436001e-34,8.6057289356826682e-43,6.9044930994705557e-44,8.3684591555619821e-44,6.4380056148890797e-48,5.2535885590988673e-52,2.7689459488890089e-52,1.9859053040255105e-58,1.2427933859775258e-67,3.3726973057344858e-59,1.4209006608826332e-67,1.1385840531459217e-68,9.7459110598676364e-68,3.1289590414407269e-69,3.1289590403237239e-69,2.2659140366155968e-79,8.2729479564794024e-58,3.4597834595256136e-61,1.4346716794359674e-69,1.492287959087945e-77,2.9911396334319596e-78,5.904720055164104e-87,9.5567779353221625e-88,1.8457091723501043e-98,1.7304877479947234e-62,1.0586052106419504e-68,8.9041118261299483e-79,1.2180498316185791e-99,1.1632419622751848e-108,5.9962683119746685e-109,4.2114605716894606e-73,6.180820610710558e-35,1.3630234975386485e-43,1.3623697860563642e-43,6.8615161602355579e-44
