Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856)
2.1127810903329726e-19,0.9592110796935903,4.7604382760984698e-19,4.8449648854417368e-32,4.3771310587774496e-32,4.2940426442333833e-50,7.3191089804475441e-44,0.0,0.0,6.5108423934380579e-20,1.7694586731079477e-35,154.0,0.0,0.99999999999952516,1.0,19.0,3.1102693620686333e-14,2.7020308146396363e-13,8.6745053328462935e-14,8.6745594465150717e-14,2.9485937147950673e-20,2.6302181554293593e-23,2.6261801748852318e-23,1.570377458733948e-23,4.676701506132673e-20,1.5944684788399339e-33,4.8855797590057745e-26,1.068000580303696e-25,9.6098847660724014e-35,9.6098847644560598e-35,1.392213549243546e-44,8.3173034774697724e-34,2.24128829076691e-45,3.585160525392495e-27,1.4588030119239112e-80,1.3652311726151111e-80,1.3652311726161866e-80,1.0212859608146059e-38,1.2752093568883617e-40,1.8860131316146858e-33,9.7951906664415856e-39,3.3915463888324519e-41,3.3636055898101931e-47,2.0676899782465957e-57
4.227397785436e-19,0.9592110796935903,9.5250124681990862e-19,1.8456005501579325e-31,1.7519931369258877e-31,3.4387170543420916e-49,5.8597375174356199e-43,0.0,0.0,1.3027342886666555e-19,7.0824467498559674e-35,154.0,0.0,0.99999999999904998,1.0,19.0,6.2232409564198929e-14,5.4064076253662136e-13,1.7356547155036415e-13,1.7356655426290607e-13,1.1802056207364915e-19,1.0527727127884768e-22,1.0495379689613319e-22,6.2856014570969894e-23,1.8718989246806248e-19,1.2701563100892997e-32,1.9555051216210236e-25,4.2747856060811068e-25,7.6937510258503779e-34,7.6937510232621273e-34,2.2293536492037442e-43,6.6588985256345334e-33,3.5889806183940076e-44,1.4349985300915211e-26,1.8710597975521842e-78,1.7510446171534514e-78,1.7510446171562108e-78,8.176497558388677e-38,1.0209428667641675e-39,1.4884906786853711e-32,7.8418865322520736e-38,2.7152966136255957e-40,5.3861462115833294e-46,6.6221691622516947e-56
8.456631175642054e-19,0.9592110796935901,1.9054160855118359e-18,7.197510114220918e-31,7.0102546255637904e-31,2.7523678808047833e-48,4.6895709089267073e-42,0.0,0.0,2.6060348124661593e-19,2.8339018035696493e-34,154.0,0.0,0.99999999999809952,1.0,19.0,1.2449184145109987e-13,1.0815156581066472e-12,3.4720630783515485e-13,3.4720847360739536e-13,4.7223574441568799e-19,4.2124621189775355e-22,4.1866224119138718e-22,2.5150586004536278e-22,7.4900302679117533e-19,1.0064336009120368e-31,7.8245676433823657e-25,1.7104710550641876e-24,6.157339095314014e-33,6.1573390911711333e-33,3.5684114533389273e-42,5.3291401420971042e-32,5.7447036407718862e-43,5.7418632935947753e-26,2.397386378937463e-76,2.2436110913195938e-76,2.2436110913266645e-76,6.5436830724380992e-37,8.1706457778362075e-39,1.1582669269925156e-31,6.2755373955637441e-37,2.1730581988029225e-39,8.6213250389065135e-45,2.1199813891666501e-54
1.6915097956054164e-18,0.9592110796935901,3.8112457639829076e-18,2.8420135068754089e-30,2.8045583314883569e-30,2.2024527452510446e-47,3.7523692382228068e-41,0.0,0.0,5.2126375606803831e-19,1.1337457118791984e-33,154.0,0.0,0.99999999999619871,1.0,19.0,2.4901070522440466e-13,2.1632635829487596e-12,6.9448797976868961e-13,6.9449231129897467e-13,1.8892486165718889e-18,1.6852591209482487e-21,1.6646909234820515e-21,1.006186635001648e-21,2.9964968745104721e-18,7.8962853477667959e-31,3.1303365574434267e-24,6.8429979802824133e-24,4.9268067699482256e-32,4.9268067633182873e-32,5.7106001122406215e-41,4.2641178698714976e-31,9.1933876226736832e-42,2.2971192059697798e-25,5.3751411490568591e-74,5.0303640692752853e-74,5.0303640693069391e-74,5.2359407043820209e-36,6.5377580128694619e-38,8.7804853143120792e-31,5.0208151517689171e-36,1.7387697994240018e-38,1.3796873760102532e-43,6.7853411349639349e-53
3.383203151687838e-18,0.9592110796935903,7.6229051252739255e-18,1.1294060878797193e-29,1.1219146358871921e-29,1.7621865748899955e-46,3.0021804268157791e-40,0.0,0.0,1.0425849859569714e-18,4.5353556022387922e-33,154.0,0.0,0.99999999999239708,1.0,19.0,4.980484327690261e-13,4.326751967466986e-12,1.3890513210915716e-12,1.3890599827448954e-12,7.5575946108829723e-18,6.7415849155089176e-21,6.5788390321115745e-21,4.0250694972705665e-21,1.1986939374570919e-17,6.080536637290591e-30,1.2522365272017451e-23,2.7374219408772667e-23,3.9418196277383074e-31,3.9418196171293929e-31,9.137825743403957e-40,3.4116119202746329e-30,1.471088937314824e-40,9.1892246589803659e-25,6.9045461983524438e-72,6.4616686623609589e-72,6.461668662442412e-72,4.1891503425801518e-35,5.2307030000238129e-37,6.3535943978879212e-30,4.0161245387489939e-35,1.3911368406197984e-37,2.2077073633483355e-42,2.1715209503136168e-51
6.766589863852682e-18,0.9592110796935903,1.5246223865251435e-17,4.5028245550319428e-29,4.4878411609333566e-29,1.4098405771741686e-45,2.4018583642078858e-39,0.0,0.0,2.0852301667192044e-18,1.814218992497053e-32,154.0,0.0,0.99999999998479372,1.0,19.0,9.9612388785031647e-13,8.653698876045515e-12,2.7781779935605882e-12,2.7781953102893046e-12,3.0231489360921301e-17,2.6967435334099694e-20,2.5694004333147841e-20,1.6100896287855035e-20,4.7949519500672144e-17,4.5239316760609646e-29,5.0091499006865474e-23,1.0950133124060459e-22,3.1536053538144987e-30,3.1536053368395846e-30,1.4621060149584996e-38,2.7294090526162106e-29,2.3538532981289255e-39,3.6758394393538838e-24,8.8388950494563509e-70,8.2719427947570836e-70,8.2719427949656331e-70,3.3514794552535815e-34,4.1847610147987576e-36,4.2618465525284367e-29,3.2115986909058728e-34,1.1129445814961717e-36,3.532457004585041e-41,6.9491268636694201e-50
1.3533363288182369e-17,0.9592110796935904,3.0492861414788378e-17,1.7981697783302261e-28,1.7951729919396384e-28,1.1279114862770567e-44,1.9215323051592937e-38,0.0,0.0,4.1705314121812356e-18,7.2570470600573574e-32,154.0,0.0,0.99999999996958699,1.0,19.0,1.9922747979810867e-12,1.7307473253019393e-11,5.5564312977916389e-12,5.5564659069449173e-12,1.2092746400667287e-16,1.0787192290225978e-19,9.81154789473153e-20,6.4404600728966463e-20,1.91800467530441e-16,3.1721318203927664e-28,2.0037007011728557e-22,4.3801422010476469e-22,2.5229440795664047e-29,2.5229440524065354e-29,2.3393636130428577e-37,2.1835629857465739e-28,3.7662331408067904e-38,1.4703656935536888e-23,1.1314328418815853e-67,1.0588594728371752e-67,1.0588594728905665e-67,2.6812473366706167e-33,3.3478882078696537e-35,2.5693869663908916e-28,2.5670173737483904e-33,8.9034843989561708e-36,5.6519007189735383e-40,2.223711573951426e-48
2.0300136712512056e-17,0.9592110796935903,4.5739499033907234e-17,3.8192607628432808e-28,3.8147654416322997e-28,3.3485229608465514e-44,5.4944150843512808e-38,0.0,0.0,6.2558435415809228e-18,1.5421352110824805e-31,154.0,0.0,0.99999999995438027,1.0,19.0,2.988425708080046e-12,2.5961128191458596e-11,8.3346845613157161e-12,8.3347364478885739e-12,2.5697099790674825e-16,2.2922918863295901e-19,2.0200704098679087e-19,1.3686016266991408e-19,4.0757621062512272e-16,8.437337988525e-28,4.2578894335938273e-22,9.30785763470513e-22,7.2140870614259165e-29,7.2140869614602032e-29,8.6103445025702259e-37,6.2436370530693663e-28,1.3862268225138868e-37,3.1245457993874557e-23,5.83778526806372e-67,5.4633328685245974e-67,5.4633328688523939e-67,7.6667391938646153e-33,9.5729260872320604e-35,6.3464773528179537e-28,7.3362988859607123e-33,2.5458090098387237e-35,2.0802557546232834e-39,1.0152600295924891e-47
3.383368356117143e-17,0.9592110796935904,7.6232774550472619e-17,1.0554257636928848e-27,1.0546764660477366e-27,1.5685421934005907e-43,2.5250468001629151e-37,0.0,0.0,1.0426511336131582e-17,4.2635993235083805e-31,154.0,0.0,0.99999999992396693,1.0,19.0,4.9807275281507238e-12,4.3267960327385932e-11,1.389119092553605e-11,1.3891277325488655e-11,7.1044329573159844e-16,6.3375476438088759e-19,5.1711147164874341e-19,3.7837717012774878e-19,1.1268189355921281e-15,3.2182258873127434e-27,1.1771878873064335e-21,2.5733633826171124e-21,3.3153494486668422e-28,3.3153493717550976e-28,6.6246050966702407e-36,2.8693270626017044e-27,1.0665693813236003e-36,8.6384994389574992e-23,3.9353801058286072e-65,3.6829534706401527e-65,3.6829534710133945e-65,3.5233738484485333e-32,4.3993918683331825e-34,2.10636623433919e-27,3.3662337532444862e-32,1.1699027686665697e-34,1.600494156950347e-38,1.3215817621833438e-46
4.601387572496486e-17,0.9592110796935904,1.0367672274020235e-16,1.8790893032111839e-27,1.8780701524735767e-27,3.6195940492362424e-43,5.6838676929078735e-37,0.0,0.0,1.4180147517502051e-17,7.5922520919472554e-31,154.0,0.0,0.99999999989659494,1.0,19.0,6.7737991661115505e-12,5.8843723360958275e-11,1.8892046521809203e-11,1.8892163961885787e-11,1.2650798188821848e-15,1.1285316130844026e-18,8.7582467642101267e-19,6.7377537129132435e-19,2.0065160773841523e-15,6.5646340473640094e-27,2.0962271100142742e-21,4.582406917042945e-21,7.462834587950572e-28,7.4628343761363399e-28,1.824406020111621e-35,6.4587948735086799e-27,2.9373631021050439e-36,1.5382639551202741e-22,2.2505425876031163e-64,2.1061862929680844e-64,2.1061862932007094e-64,7.9310980383625566e-32,9.9030086319743654e-34,4.0271680275836438e-27,7.5707891986099591e-32,2.6333644271054331e-34,4.4077264337234033e-38,4.320530266693944e-46
5.819406788875829e-17,0.9592110796935904,1.3112067116790044e-16,2.9329867925279731e-27,2.9316977004556555e-27,6.9693449778298039e-43,1.074289564266351e-36,0.0,0.0,1.7933820921655182e-17,1.1851673881117023e-30,154.0,0.0,0.99999999986922294,1.0,19.0,8.5668708039635868e-12,7.4419077950642583e-11,2.3892901978865751e-11,2.3893050447750475e-11,1.9747913641936189e-15,1.7616557318828141e-18,1.302167614276421e-18,1.0517684496754273e-18,3.1321743992757805e-15,1.1296706229746265e-26,3.2722441685302367e-21,7.1532105265754123e-21,1.410526306354546e-27,1.4105262586486229e-27,4.1090135831121847e-35,1.220746951254116e-26,6.6157874390817236e-36,2.4012547565721698e-22,6.9493923102550838e-64,6.5036382425681441e-64,6.5036382434234783e-64,1.4990315242403961e-31,1.8717357592892909e-33,6.5866806793599265e-27,1.4296266247961209e-31,4.9770771819442499e-34,9.9272655373735053e-38,1.1440768065318116e-45
