Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473),C7H15(65),S(3676),C7H15(64),S(3721),S(3665)
0.0,0.8144769834857352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.507494801583317e-24,0.8144769834857352,2.7163260568545854e-21,4.0860120251875472e-34,4.2296928894054841e-38,5.7386153850200154e-54,8.3928543901440856e-54,0.0,0.0,1.1199455644497333e-22,7.7810806137732043e-42,154.0,0.0,0.99999999999999933,1.0,19.0,7.446630049721252e-18,4.8806802607919103e-16,2.9444769295361892e-17,2.9447498431351757e-17,3.1895151148700652e-27,6.2129033615455696e-31,6.213478079027067e-31,3.2954737123680563e-31,6.8418673917863316e-27,5.3266822337370663e-45,2.8772839686804941e-33,1.8118885835617028e-32,2.6149837350133352e-45,2.6149837350133006e-45,2.9264319943699459e-59,5.0948855315882168e-44,5.0489868827202122e-60,2.2143138861348648e-34,1.5757750387916973e-105,1.4500045653348609e-105,1.4500045653348619e-105,7.8643474032344071e-50,3.2978352648010896e-51,5.6507894287618997e-45,8.2570551257587185e-50,2.5481469855009121e-51,4.0832234351084298e-61,2.7085621446282899e-75,1.167649232359744e-89,1.3228117603362137e-89,1.7467840524713306e-104,1.4778961897966383e-108,9.4035806256277961e-105,1.2344117766620567e-92,1.6423116033215128e-97,2.3751139098430659e-44,5.6571598441340526e-40,1.1936716859849546e-53,5.9799634695510544e-53,1.3644029112003813e-53,1.2689019709954929e-56,1.5046848643673926e-67,1.0234036258254123e-67,1.4244181810989206e-72,2.4424755371900004e-86,3.732867680856747e-72,7.8764230996254696e-86,3.9458690780842319e-85,4.1774574980821125e-86,5.1046939067255145e-86,5.1046939067254995e-86,2.2568448984575949e-101,6.3803753606490466e-79,8.5210532188924704e-80,5.380080238088972e-93,2.504921453908519e-106,5.676036761769649e-107,4.3771615810737086e-120,3.3014119044527949e-120,3.1984906654445108e-136,4.3274341435725623e-76,3.0328194975056372e-87,1.4205332401124149e-100,4.4965941486141975e-136,1.9384619681979797e-150,9.0120579880336475e-151,1.7946181639935266e-90,2.3176246591629399e-48,2.4451164560652042e-62,2.4451164494322075e-62,6.8687025189629704e-62,2.4172997939641201e-92,1.1388001906426526e-103,8.9790757538065265e-102,2.4028904598499998e-117,1.2744329032067155e-117,1.2037813463189617e-116,5.4785178386346016e-24,6.1499631911705354e-40,9.3706105278979762e-23,1.2373969995468264e-37,1.2103891077672915e-39
2.1020985444433292e-23,0.8144769834857352,7.605712959192912e-21,1.14422040910213e-33,2.5547345052009326e-37,8.6721955698420159e-53,9.9640111921672268e-53,0.0,0.0,3.135847580472072e-22,4.6997726907403647e-41,154.0,0.0,0.99999999999999845,1.0,19.0,2.0850564139219496e-17,1.3665904729887314e-15,8.2445354027011181e-17,8.2452995607781771e-17,1.9264671293426982e-26,3.752593630370758e-30,3.7529400979383954e-30,1.9904661222401359e-30,4.1324879045556686e-26,6.3238303509439042e-44,1.7378795170829621e-32,1.0943807044710925e-31,3.1045086902073748e-44,3.1045086902072981e-44,6.5463113136276937e-58,6.0486481029897079e-43,1.1294381696904918e-58,1.3374455872255331e-33,1.6791105839752399e-103,1.545092384718287e-103,1.5450923847182889e-103,9.3365797821529152e-49,3.9151900263717406e-50,6.7085975105530135e-44,9.8027758220622428e-49,3.0251601007560069e-50,9.1340074941578698e-60,1.1176957528065301e-73,8.7897719748027727e-88,9.9577967566914359e-88,2.3843516231614468e-102,2.017333235774741e-106,1.2835841203377757e-102,9.2923437443160218e-91,1.2659177375094522e-95,2.819735233713556e-43,3.4169245458563626e-39,1.4171270256001653e-52,7.0994126306556475e-52,1.6198191355722559e-52,1.5064410190699733e-55,3.3659161702137823e-66,2.2893100355712139e-66,3.186367704945227e-71,1.0078947425836083e-84,8.3502788597784449e-71,3.2502292444985048e-84,1.628274510838469e-83,1.7238401722754483e-84,2.1064670146413275e-84,2.1064670146413156e-84,1.6988971301417874e-99,2.6329717286076472e-77,3.5162364696443463e-78,4.0499901163387917e-91,3.4192054402537637e-104,7.7477622080965012e-105,1.0798418792797017e-117,8.1445538832548049e-118,1.4235151485896177e-133,1.3606876837989625e-74,1.7468410293591641e-85,1.0693423577966548e-98,2.0012470121506314e-133,1.5548502811933e-147,7.2286179077599058e-148,7.4062085107619311e-89,2.7514839953198201e-47,5.4696276933099079e-61,5.4696276659386633e-61,1.5365012786613425e-60,9.9750589820024758e-91,8.5726067263310082e-102,6.926418902501616e-100,3.2799348240185282e-115,1.7395952640631055e-115,1.6431561931484859e-114,1.533984994817693e-23,3.7145777674670117e-39,2.6237709478114272e-22,7.4738778772627202e-37,7.3107502109144858e-39
4.8047966730133237e-23,0.8144769834857352,1.7384486763869839e-20,2.6160069904673481e-33,1.2299946922391437e-36,9.3291522591185613e-52,9.7827316106192522e-52,0.0,0.0,7.1676516125680194e-22,2.2627382425171162e-40,154.0,0.0,0.99999999999999645,1.0,19.0,4.7658432318215915e-17,3.1236353666757974e-15,1.8844652349030097e-16,1.8846398996062902e-16,9.2751099534598198e-26,1.8067122975332996e-29,1.8068784326904874e-29,9.5832375551137404e-30,1.9896150374065495e-25,6.2087597411504056e-43,8.3671417809220233e-32,5.2689720009947866e-31,3.0480250415301238e-43,3.0480250415299725e-43,1.2934408005769916e-56,5.9385985752725638e-42,2.2315794965843385e-57,6.4392247808813024e-33,3.8212628254649827e-101,3.5162687603666912e-101,3.5162687603666988e-101,9.166721027156296e-48,3.8439567846517959e-49,6.5864990907950136e-43,9.6244233825449668e-48,2.9701201249647607e-49,1.8047259591178166e-58,4.4214932460825315e-72,6.9498083972144588e-86,7.8733304704406388e-86,3.7666911884942824e-100,3.1869001922883464e-104,2.0277483161429465e-100,7.3471767833359788e-89,1.3633857657373505e-93,2.7684327731514644e-42,1.6451020826732734e-38,1.391343717180426e-51,6.970245418883073e-51,1.5903480314201691e-51,1.4790339946151277e-54,6.6504672168549374e-65,4.5232781387698969e-65,6.2957308707305038e-70,3.9871346338094184e-83,1.6498757602618293e-69,1.2857594147312837e-82,6.4412971746815422e-82,6.8193458777960344e-83,8.3329808577037381e-83,8.3329808577036474e-83,1.3432679696631552e-97,1.0415934018639448e-75,1.3909881796451107e-76,3.2022054049466377e-89,5.4015065904843038e-102,1.2239565407641687e-102,3.408739760217471e-115,2.5709935116870599e-115,8.9812699686311612e-131,3.0362562307275581e-73,7.8351823209716605e-84,8.4549753622365745e-97,1.2626307284368596e-130,1.961087251429761e-144,9.1172446606833383e-145,2.929940075191844e-87,2.701423302601213e-46,1.0807062549265339e-59,1.0807062440987417e-59,3.0358676039355903e-59,3.9460373684016799e-89,6.7781078839897317e-100,7.5220362794400889e-98,5.1814973437202355e-113,2.7481363936713983e-113,2.5957861425495076e-112,3.5062514167261715e-23,1.7884092959924007e-38,5.9971907378546643e-22,3.5983504746820021e-36,3.5198115253873478e-38
1.0210192930153313e-22,0.8144769834857352,3.69420343732248e-20,5.561772825991651e-33,5.3717099695452625e-36,8.5750981975260262e-51,8.6527178401323574e-51,0.0,0.0,1.5231259676964991e-21,9.8819723798205558e-40,154.0,0.0,0.99999999999999245,1.0,19.0,1.0127416867620855e-16,6.6377251535218718e-15,4.0044886241684572e-16,4.0048597866627258e-16,4.0506841952832409e-25,7.8903872691199643e-29,7.8911069025688606e-29,4.1852516142397755e-29,8.6891715862778434e-25,5.4915520678570405e-42,3.6541506402233404e-31,2.3010985011206273e-30,2.6959436314463638e-42,2.6959436314460942e-42,2.3016087955798921e-55,5.2526231869181958e-41,3.9709764809272831e-56,2.8121786353924301e-32,6.4577652429079287e-99,5.9423387562087563e-99,5.9423387562087823e-99,8.1078655582339601e-47,3.399936244598586e-48,5.8256096295822239e-42,8.5126934011694638e-47,2.6270376133683011e-48,3.2114134161916066e-57,1.5779995324514642e-70,4.9674324414876212e-84,5.6275274030763795e-84,5.3881289356174684e-98,4.5587624270775185e-102,2.9006278451791165e-98,5.2514547482428947e-87,1.1108914093495231e-91,2.448647436152418e-41,7.1845930020408496e-38,1.2306277613754098e-50,6.1651031359945117e-50,1.4066448213936536e-50,1.3081910761853464e-53,1.1834094127431147e-63,8.0488863313029462e-64,1.1202935419401261e-68,1.4229823672789543e-81,2.9358706672439086e-68,4.5887915281371844e-81,2.2988568868551255e-80,2.4337801060675737e-81,2.9739865687045834e-81,2.9739865687045192e-81,9.6011334411607025e-96,3.7173995681957849e-74,4.9643380098774083e-75,2.2888025268311952e-87,7.726679070207046e-100,1.7508299263857495e-100,9.7553760053582325e-113,7.3578536882133889e-113,5.1414819862647965e-128,5.6889317518647696e-72,2.9489956843336657e-82,6.043272714595866e-95,7.2281460954184171e-128,2.24549692955255e-141,1.043948701244039e-141,1.0456957892099852e-85,2.3893783183604913e-45,1.9230590166987858e-58,1.9230589780551663e-58,5.4021641951012179e-58,1.4083150235714428e-87,4.8447160016761356e-98,6.1461995920365911e-96,7.4119750312783219e-111,3.9311259017659225e-111,3.7131933902420256e-110,7.4507842605431849e-23,7.8104532527866663e-38,1.274403031794104e-21,1.5714941894242938e-35,1.5371941668645253e-37
2.1020985444433292e-22,0.8144769834857352,7.6057129591939176e-20,1.1462075188215745e-32,2.2425831699630543e-35,7.3361770448218728e-50,7.2731317077284695e-50,0.0,0.0,3.1358475806579254e-21,4.1255289417179742e-39,154.0,0.0,0.99999999999998446,1.0,19.0,2.085056413921929e-16,1.3665904725101793e-14,8.2445354026979582e-16,8.2452995607735564e-16,1.6910809133625405e-24,3.294081362252842e-28,3.2943768454971335e-28,1.7472601618766508e-28,3.627558089963393e-24,4.6159373193483387e-41,1.525535960193598e-30,9.6066332700195211e-30,2.2661030650173797e-41,2.2661030650169245e-41,3.8819996413605652e-54,4.4151462821850539e-40,6.697632243826049e-55,1.1740292224297414e-31,9.4555908141046213e-97,8.7008929008714769e-97,8.7008929008715528e-97,6.8151513688177908e-46,2.8578512751110336e-47,4.8966510482684753e-41,7.1554315846303657e-46,2.2081834021965734e-47,5.4165181099785746e-56,5.3317037681623109e-69,3.3594769616256016e-82,3.8058995032701123e-82,7.2909213959041161e-96,6.1686717665384255e-100,3.9249709409967917e-96,3.5515613849997313e-85,7.98182305520357e-90,2.0582357118316934e-40,2.9994261493514151e-37,1.0344167843137258e-49,5.18214065862774e-49,1.1823697252559351e-49,1.0996172216519173e-52,1.9959737257007654e-62,1.3575469904899936e-62,1.8895451197494908e-67,4.8079516076700509e-80,4.9517915473240928e-67,1.5504540184967542e-79,7.767342714680391e-79,8.2232199572482256e-80,1.0048461515815973e-79,1.0048461515815544e-79,6.4932723874963991e-94,1.2560297162070071e-72,1.6773376135517815e-73,1.5479182568893987e-85,1.045531955144819e-97,2.3691273047051255e-98,2.6406185941562065e-110,1.9916490411239152e-110,2.7837072331760531e-125,9.8343386923997884e-71,1.0219744944297615e-80,4.0870816022167319e-93,3.9134713730483669e-125,2.4316411337448671e-138,1.1304885658317216e-138,3.5332132486795034e-84,2.0084164471822425e-44,3.243520037533626e-57,3.2435199069655787e-57,9.1115395108817253e-57,4.7583938222678162e-86,3.2764944712685321e-96,4.4212742158027736e-94,1.0029511776800521e-108,5.3194018722485094e-109,5.0245063133740764e-108,1.533984994817743e-22,3.2607104839586923e-37,2.6237709478113407e-21,6.5606788915956896e-35,6.4174830493827609e-37
4.264257047299325e-22,0.8144769834857352,1.5428732002938576e-19,2.3297762677365936e-32,9.1616839861701072e-35,6.0656930484100881e-49,5.9629531951449252e-49,0.0,0.0,6.3612908069089049e-21,1.6854131855157276e-38,154.0,0.0,0.99999999999996847,1.0,19.0,4.2296858682415782e-16,2.7722263859812715e-14,1.6724628959751384e-15,1.6726179108987058e-15,6.9086173148278762e-24,1.3457397196915186e-27,1.3458563894222829e-27,7.1381278763741429e-28,1.4819758435468958e-23,3.7843536446550085e-40,6.2323121675139186e-30,3.9246231475171366e-29,1.8578882048768966e-40,1.8578882048761486e-40,6.3761960593123914e-53,3.6198036728755441e-39,1.1000881067674386e-53,4.796292449932331e-31,1.2929720626312939e-94,1.1897735066956567e-94,1.1897735066956772e-94,5.5874735751136586e-45,2.3430391394362234e-46,4.0143656205151512e-40,5.8664548844751884e-45,1.8104021614654825e-46,8.8966472391327395e-55,1.7529475440659843e-67,2.209976150316508e-80,2.503647808523289e-80,9.5944426056686468e-94,8.1176276715392684e-98,5.1650410081903178e-94,2.3363356995527668e-83,5.4061818934299124e-88,1.6874659893815932e-39,1.2253634508716488e-36,8.4807737659792055e-49,4.2486319995841353e-48,9.6937813024723905e-49,9.0153886226859161e-52,3.2783296988996413e-61,2.2297246334345151e-61,3.1036042817112823e-66,1.5807596857641199e-78,8.1333868600204078e-66,5.0975869526381681e-78,2.553748693675678e-77,2.7036325899121859e-78,3.3037360351836445e-78,3.3037360351833626e-78,4.2715193409976487e-92,4.1295581113238768e-71,5.5147190913561432e-72,1.0182723310991306e-83,1.3758612678098765e-95,3.1176383282907723e-96,6.9505423315539323e-108,5.242347761717694e-108,1.4655120941865944e-122,1.6366875349568798e-69,3.4056978110087405e-79,2.6886363408567347e-91,2.06028836621736e-122,2.5603936601847917e-135,1.1903466003720411e-135,1.1616560590723044e-82,1.6466211464113082e-43,5.3274911570935801e-56,5.3274907278144644e-56,1.4965731003332772e-55,1.5644660741775941e-84,2.1554015708154408e-94,2.9962012551840363e-92,1.3198359177291263e-106,7.000079291802239e-107,6.6120101510650161e-106,3.1117981323446812e-22,1.3321066270603646e-36,5.3225067798456607e-21,2.6802513968970666e-34,2.6217512229887541e-36
8.588574053011317e-22,0.8144769834857352,3.1074770090435001e-19,4.7109468714474919e-32,3.703299149935043e-34,4.9325208504817981e-48,4.8289542558160626e-48,0.0,0.0,1.2812177260723371e-20,6.8127095712838099e-38,154.0,0.0,0.9999999999999365,1.0,19.0,8.5189447768807273e-16,5.5834982095438878e-14,3.3684816073835929e-15,3.3687938205381421e-15,2.7925735760224912e-23,5.4396951121255332e-27,5.4401340092431411e-27,2.8853454149851066e-27,5.9903833030529076e-23,3.0645532677321961e-39,2.5192002242046896e-29,1.5863954255431273e-28,1.5045660373061393e-39,1.5045660373049278e-39,1.0336088553406727e-51,2.9314108621596223e-38,1.783290225612639e-52,1.9387380943848208e-30,1.7100793288741836e-92,1.5735893594659731e-92,1.5735893594660273e-92,4.5248812569087432e-44,1.8974538425054674e-45,3.2506057730379057e-39,4.750806872290113e-44,1.4661106009490467e-45,1.4421848488156043e-53,5.6856433138276918e-66,1.4339079228265213e-78,1.6244521137118489e-78,1.2451735836700515e-91,1.0535116519924862e-95,6.7032267961177859e-92,1.515894309322073e-81,3.5583585599653709e-86,1.3665537078336635e-38,4.9531149871529553e-36,6.8679504744006205e-48,3.4406523398295382e-47,7.850275325156718e-48,7.3009963188500304e-51,5.314109021260143e-60,3.6143164051014547e-60,5.0311435535979801e-65,5.1272235424845011e-77,1.3184746879838835e-64,1.6534117490820443e-76,8.2831287265492476e-76,8.7692828464106999e-77,1.0715729640895975e-76,1.0715729640894148e-76,2.7715436724435373e-90,1.3394134388272286e-69,1.78868591691368e-70,6.6068983079429088e-82,1.7856025435304387e-93,4.0460932059216741e-94,1.804189172510579e-105,1.3607840407554691e-105,7.6084185849096945e-120,2.6770072020632754e-68,1.1147145955291845e-77,1.7445017669667876e-89,1.0696285863522165e-119,2.6585665559263264e-132,1.235987930662796e-132,3.7678615697876346e-81,1.333476495253107e-42,8.6360919509819462e-55,8.6360905586257878e-55,2.4260094862084636e-54,5.0743749810730728e-83,1.3985163375052191e-92,1.9726178726980471e-90,1.7129146613181705e-104,9.0848708467574875e-105,8.5812237373046992e-104,6.267424407398913e-22,5.3845879721034848e-36,1.0719978443913686e-20,1.0834004681581213e-33,1.0597537625278391e-35
1.7237208064435298e-21,0.8144769834857352,6.2366846265456321e-19,9.5294205023931641e-32,1.4890803004882584e-33,3.9782567587456369e-47,3.8867625578743128e-47,0.0,0.0,2.5713950173602334e-20,2.7393605560686738e-37,154.0,0.0,0.99999999999987266,1.0,19.0,1.7097462594158431e-15,1.1206041843150852e-13,6.760519030191581e-15,6.7611456398039592e-15,1.1228815511911455e-22,2.1872774798274009e-26,2.1874276611058666e-26,1.1601846999563961e-26,2.4087067761853811e-22,2.4664348929815023e-38,1.0129593303053159e-28,6.378826233833168e-28,1.2110056410985145e-38,1.2110056410965626e-38,1.6645951882250603e-50,2.3594544858163304e-37,2.8719339278331078e-51,7.7955806087517294e-30,2.2248600903749263e-90,2.0472828981698389e-90,2.0472828981699788e-90,3.6420182074632827e-43,1.5272359271988114e-44,2.6158366991958949e-38,3.8238620518132842e-43,1.1800533487101672e-44,2.3225942167004215e-52,1.8317057122190306e-64,9.2400468112193311e-77,1.0467906156699517e-76,1.6048565089438729e-89,1.3578308944066697e-93,8.6395317168225758e-90,9.7683638930224203e-80,2.3093428009058467e-84,1.0999213101371498e-37,1.991625751718972e-35,5.5279240396670375e-47,2.7693363223671919e-46,6.3185843762674199e-47,5.8766393924844869e-50,8.557549521847585e-59,5.8202192010217171e-59,8.1027182632820206e-64,1.651846784775664e-75,2.123419620232658e-63,5.3268256259562197e-75,2.6685885876607846e-74,2.8252156024233937e-75,3.4523058948383093e-75,3.4523058948371331e-75,1.7860185966351368e-88,4.3151006774612078e-68,5.7624899348564513e-69,4.2574595720770914e-80,2.3013947002569608e-91,5.2148544992964906e-92,4.6508258957136438e-103,3.507819337289807e-103,3.9226382137144296e-117,4.3517753839821514e-67,3.6249317254592713e-76,1.1241795064042926e-87,5.5146360843821172e-117,2.7413489137353142e-129,1.2744740821369902e-129,1.213900092488319e-79,1.0732978921714729e-41,1.390815730068262e-53,1.3908152815024118e-53,3.9070134841462587e-53,1.6348205154643702e-81,9.0122201956853667e-91,1.280374719876264e-88,2.2077673401714844e-102,1.1709446444434122e-102,1.1060293801142105e-101,1.2578676957508796e-21,2.1651191413047594e-35,2.1514921772047273e-20,4.3563056327756311e-33,4.2612232694623218e-35
3.453447608728327e-21,0.814476983485735,1.2495099861561281e-18,1.9390897458383551e-31,5.9718780124063468e-33,3.1955521754964153e-46,3.1188821982299084e-46,0.0,0.0,5.1517496020360368e-20,1.0986061045532669e-36,154.0,0.0,0.99999999999974487,1.0,19.0,3.4254498228711458e-15,2.2451129056291693e-13,1.3544593875771871e-14,1.3545849278283372e-14,4.5032572289511661e-22,8.7719609769886931e-26,8.7723523496746505e-26,4.6528595424981189e-26,9.6599914663965356e-22,1.9788631377308551e-37,4.0624199716397121e-28,2.55819461968718e-27,9.7175576049027661e-38,9.7175576048714363e-38,2.6720439007036066e-49,1.8933136267499951e-36,4.6100899763721294e-50,3.1263764899976117e-29,2.8710640864900494e-88,2.6419101269606267e-88,2.6419101269609894e-88,2.9224902916028767e-42,1.2255106496129435e-43,2.0981883191437298e-37,3.0684074673087595e-42,9.4691847644176482e-44,3.728278023446669e-51,5.8812227876096243e-63,5.9338913048827567e-75,6.7224137057314987e-75,2.0613102461726008e-87,1.7440256037864808e-91,1.1096788742779325e-87,6.2731727180765936e-78,1.4882986780840682e-82,8.8261757849277527e-37,7.9873100405887821e-35,4.4358109048265277e-46,2.2222179747918994e-45,5.0702657683119007e-46,4.7158936188256809e-49,1.3734646246827103e-57,9.3410527305919152e-58,1.300735290662339e-62,5.3040124472297701e-74,3.408741051004648e-62,1.7104215326300223e-73,8.5687171032565236e-73,9.071652061093664e-74,1.1085213624892927e-73,1.1085213624885381e-73,1.147028153038309e-86,1.3854886278787009e-66,1.8502146616915457e-67,2.7341098203388335e-78,2.9559580700732412e-89,6.6980649736286772e-90,1.1947391848272255e-100,9.0111505477571886e-101,2.015367327351591e-114,7.0866603259576642e-66,1.1805500807946135e-74,7.2197766884609827e-86,2.8333016662184079e-114,2.8169019952191194e-126,1.3095992877626585e-126,3.8977859297142487e-78,8.6125396285601146e-41,2.2325664471594575e-52,2.2325650069100786e-52,6.2716219031826494e-52,5.2493420903718244e-80,5.7878850196045175e-89,8.2521355441165016e-87,2.8358482957794806e-100,1.5040632948370477e-100,1.4206793702030236e-99,2.5201182057734247e-21,8.6830961298378123e-35,4.3104808428304617e-20,1.7470733992709548e-32,1.7089411189246188e-34
