Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878)
0.0,0.3829669923592949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2290706250148928e-19,0.3829669923592949,1.3000475430776936e-25,1.5252300486237195e-39,1.5231769107328e-39,8.6027187723462993e-61,3.8230143066192281e-51,0.0,0.0,2.9548273172547813e-24,1.1155090611736163e-40,154.0,0.0,0.99999999999999933,1.0,19.0,7.727899040883544e-17,1.9436130554398078e-18,2.9708936197762585e-16,2.9708936493991126e-16,1.3238375619060702e-25,1.4751318162818362e-25,1.4748219776204733e-25,1.2257483157874762e-25,9.1740970135530356e-26,9.0613886455903844e-37,2.5794177117277223e-29,5.4937079911174136e-31,3.5627732385766993e-41,3.5627732369052584e-41,1.4699490059837211e-50,7.0896495511571098e-42,2.0149154909353344e-51,1.6743668283441107e-30,1.0184316002185196e-92,1.0003057151944881e-92,1.0003057151944892e-92,8.936994600768205e-42,2.5878675610376819e-46,1.5054847632558953e-36,1.5795587770408531e-42,2.5211842092927676e-48,2.0088110045730192e-55,4.1090113029432518e-66,5.1412235636130205e-76,7.3400703457830331e-79,3.37474267976979e-89,3.1147784031754547e-92,1.0590056734011715e-90,6.0354180717790015e-79,9.5358523492988184e-90,1.0230483024874391e-41,3.884126802184113e-41,1.9285776461849304e-50,3.8188528990968647e-53,1.725864085491705e-52,6.9447967235198145e-58,2.7222560762940856e-61,1.1846548070041243e-61,2.9851598018736327e-69,3.667840660597965e-80,4.2372306588939783e-71,2.1038948628943758e-80,4.1657482027410823e-83,1.7482201385028104e-80,2.1719337713030636e-83,2.1719337712860348e-83,1.7029073763821801e-94,1.2207240559063986e-67,2.2998281657971378e-73,2.9851483908104309e-83,4.0190317005112839e-92,7.4110485304299126e-93,2.1826107327624563e-103,1.1274705800553006e-104
3.4413977500417e-19,0.3829669923592949,3.6401331209321742e-25,9.2057373504687019e-39,9.1999885414674006e-39,1.3000444479711372e-59,4.5386825854460705e-50,0.0,0.0,8.2735273381406559e-24,6.7376821072820993e-40,154.0,0.0,0.99999999999999811,1.0,19.0,2.1638117314473354e-16,5.442115809367078e-18,8.3185021305940115e-16,8.318502209569407e-16,7.9959779594683455e-25,8.9097961651860392e-25,8.9061183543972546e-25,7.4035196386698514e-25,5.5411539624828408e-25,1.0756584588712118e-35,1.5579682965163771e-28,3.318199624835116e-30,4.2297243867372887e-40,4.2297243829983439e-40,3.2882163374287506e-49,8.4168310655925988e-41,4.5072851603092028e-50,1.0113175634527594e-29,1.0852178992140016e-90,1.0659033621720495e-90,1.0659033621720515e-90,1.0609999991738369e-40,3.0723163657032455e-45,1.7866971127984586e-35,1.8752331633906344e-41,2.9931496809750279e-47,4.4936295602364346e-54,1.6955949070827254e-64,3.8701845207209149e-74,5.5254213867968341e-77,4.606506828099737e-87,4.2516568987840516e-90,1.4455261079047395e-88,4.5433117834709209e-77,7.2289807510830387e-88,1.2145628175050247e-40,2.3460125855714934e-40,2.2896073786795041e-49,4.5337419232988952e-52,2.0489392561606404e-51,1.4764667219826822e-56,6.0886825512877972e-60,2.6497199097166856e-60,1.1722148245951934e-67,2.6291958494641725e-78,1.6638789611142992e-69,1.5081201212800552e-78,2.9859536940368962e-81,1.2531680831193029e-78,1.5568972301307609e-81,1.5568972301086184e-81,2.2142660532928874e-92,5.0373517971048814e-66,9.4903049175360908e-72,2.2471451020355793e-81,5.4859582296318618e-90,1.0116044270909504e-90,5.3844794844464082e-101,2.7814598008232137e-102
7.866052000095315e-19,0.3829669923592949,8.3203042778996606e-25,4.4307124934384142e-38,4.4293984573729156e-38,1.3985320227935282e-58,4.4561054771735529e-49,0.0,0.0,1.891097077922135e-23,3.2439114164422738e-39,154.0,0.0,0.99999999999999567,1.0,19.0,4.9458553861650692e-16,1.2439118333765358e-17,1.9013719133111474e-15,1.9013719294932007e-15,3.8497182583566845e-24,4.2896833140132205e-24,4.2860738174532258e-24,3.5644758192824782e-24,2.6678264609866494e-24,1.0558557697404728e-34,7.5009466852012218e-28,1.5975702811172419e-29,4.1527684803719958e-39,4.1527684729844748e-39,6.4969579505152302e-48,8.2636927840518515e-40,8.9056350854545331e-49,4.8690587238211638e-29,2.4697020210579164e-88,2.4257466539352984e-88,2.425746653935306e-88,1.0416960907956667e-39,3.0164184205889054e-44,1.7528897805678552e-34,1.8410747599651261e-40,2.9386916562299846e-46,8.8786534527430663e-53,6.7076038497193122e-63,3.0600380821023628e-72,4.3687839099125938e-75,7.277150734981616e-85,6.7165749060569877e-88,2.2835366643914061e-86,3.5922594911352828e-75,6.3349594070845646e-86,1.1924647070344499e-39,1.1295040696542533e-39,2.2479500954935483e-48,4.4512541998121949e-51,2.0116467611692416e-50,2.8306112633214724e-55,1.2026340620143249e-58,5.2340794405144543e-59,4.4973895793548296e-66,2.0156043529012339e-76,6.3837376321860741e-68,1.1561575051720803e-76,2.288840684200082e-79,9.6071217874669814e-77,1.1935600537395865e-79,1.193560053705676e-79,3.3910667443760599e-90,1.9927260932961997e-64,3.7542698946935033e-70,1.7767498912523709e-79,8.6664686301537137e-88,1.5980869037235747e-88,1.6997187887514134e-98,8.780240781663051e-100
1.6715360500202543e-18,0.3829669923592949,1.7680646596868731e-24,1.9347139300660734e-37,1.9344346776246515e-37,1.2854983766955102e-57,3.9413748319218344e-48,0.0,0.0,4.018603125861771e-23,1.4167079430591744e-38,154.0,0.0,0.99999999999999079,1.0,19.0,1.0509942695599629e-15,2.6433111448747052e-17,4.040415306167419e-15,4.0404153325860599e-15,1.6812722862329812e-23,1.8734173986857951e-23,1.8702273895247956e-23,1.5567000685930006e-23,1.1651093384819569e-23,9.3347987839401974e-34,3.2758604727170965e-27,6.9770091208221892e-29,3.673076684365723e-38,3.6730766712200357e-38,1.1560977313437462e-46,7.309139362432021e-39,1.5847098773713918e-47,2.1264458585658268e-28,4.173687207250437e-86,4.0994045804869769e-86,4.0994045804870033e-86,9.2136839527236221e-39,2.6679879227650323e-43,1.5481034882639526e-33,1.6283381258832415e-39,2.5992386903574264e-45,1.5799084726289284e-51,2.3938954661033307e-61,2.1871866314039796e-70,3.1226231524044199e-73,1.0409723842549719e-82,9.6078386514639566e-86,3.2664092638802558e-84,2.5675961297062901e-73,4.7610212266691578e-84,1.0547210498085057e-38,4.9328409931053541e-39,1.9882863914268995e-47,3.937083032175598e-50,1.7792539627143675e-49,4.9602875110339861e-54,2.1386407714441212e-57,9.3090469628354255e-58,1.5801117925298637e-64,1.417992258544063e-74,2.2428608644909508e-66,8.1336036748993807e-75,1.6098455669377215e-77,6.75873032884163e-75,8.3968581444226394e-78,8.396858143945231e-78,4.774078963445866e-88,7.1118965604626152e-63,1.3398720057123142e-68,1.2699462844071556e-77,1.2397098435374765e-85,2.2860107562539739e-86,4.8643697499047193e-96,2.5127918186830474e-97
3.4413977500417002e-18,0.38296699235929477,3.6401331254943281e-24,8.076459086365478e-37,8.0758839896512684e-37,1.0997820561598197e-56,3.3129630337393324e-47,0.0,0.0,8.273684660634345e-23,5.9145319603792005e-38,154.0,0.0,0.99999999999998113,1.0,19.0,2.1638117314465102e-15,5.4421049943532382e-17,8.3185020612910886e-15,8.3185020829451453e-15,7.0189739967480339e-23,7.8211488179977202e-23,7.7943779136313316e-23,6.4989149382750115e-23,4.8640973964403522e-23,7.8395287991060287e-33,1.3676072517153715e-26,2.9127639517832224e-28,3.0874422593642016e-37,3.0874422371921211e-37,1.9499236759313866e-45,6.1437664547737849e-38,2.6728438101476177e-46,8.8774928031037125e-28,6.1111973614505145e-84,6.00243123449263e-84,6.0024312344927068e-84,7.7446565244530047e-38,2.242604589949096e-42,1.2974088605701773e-32,1.3685957903039729e-38,2.1848153893846882e-44,2.6647449744488086e-50,8.088426978589633e-60,1.4791945150481448e-68,2.111830317754031e-71,1.4085860819270286e-80,1.3000794323145082e-83,4.4196138561229647e-82,1.7364654932396892e-71,3.3000386743327909e-82,8.8655578771065517e-38,2.0593639894415915e-38,1.6712744970625964e-46,3.3093540037484608e-49,1.4955284175257366e-48,8.3020020106393869e-53,3.6024742490085877e-56,1.5685170847666252e-56,5.2967124645309856e-63,9.5130349633801792e-73,7.5183218524605479e-65,5.4566123665925206e-73,1.0795174255239892e-75,4.5343689284243075e-73,5.6333921949257752e-76,5.6333921942849716e-76,6.4080309411477967e-86,2.4029482156594065e-61,4.5271229717696381e-67,8.5886495540532951e-76,1.6775069163114113e-83,3.0933034997344289e-84,1.3167002465551824e-93,6.8017083613450902e-95
6.981121150084591e-18,0.38296699235929493,7.3842700651637974e-24,3.2993789207817952e-36,3.2992621232979199e-36,9.0933948014852206e-56,2.7161672588767226e-46,0.0,0.0,1.6784125485747268e-22,2.4163243840194012e-37,154.0,0.0,0.9999999999999617,1.0,19.0,4.3894466552181478e-15,1.1039673599304218e-16,1.6874675449182914e-14,1.6874675361088419e-14,2.8674743121260088e-22,3.1951944584406792e-22,3.1733164155275304e-22,2.6550176536170593e-22,1.9871386248807627e-22,6.4159805213625907e-32,5.5871217793648236e-26,1.1899591044505405e-27,2.5312716777909027e-36,2.5312716413733329e-36,3.2027419356599345e-44,5.0370217664937477e-37,4.3901506198041532e-45,3.6267454227842366e-27,8.3565452554481929e-82,8.207816780752215e-82,8.2078167807524268e-82,6.3495373245795483e-37,1.8386227067210105e-41,1.0574096155878575e-31,1.121859925400056e-37,1.7912414503109458e-43,4.3768464023185598e-49,2.6592947001400568e-58,9.7306242341077725e-67,1.3892308991121129e-69,1.8536179318396723e-78,1.7108294632321022e-81,5.8151409827270067e-80,1.1423036690120302e-69,2.1975179714737437e-80,7.2685067584669973e-37,8.4131736712471572e-38,1.3702117770902211e-45,2.713205875827871e-48,1.2260560981304446e-47,1.3583006085072975e-51,5.9018368975498338e-55,2.5710869171612199e-55,1.7344654120487684e-61,6.2323278086801255e-71,2.4619552459610736e-63,3.5747364213283322e-71,7.0658035430549077e-74,2.9707154141160316e-71,3.6907706607275538e-74,3.6907706598877453e-74,8.3980898972373702e-84,7.9003621095479015e-60,1.4884178615075128e-65,5.6498961828104634e-74,2.2075030858591401e-81,4.0706102328435266e-82,3.4657503875746898e-91,1.7903201063346761e-92
1.4060567950170375e-17,0.38296699235929477,1.4872543976720972e-23,1.3336381372160891e-35,1.3336145040687097e-35,7.3948970329170602e-55,2.199622672512727e-45,0.0,0.0,3.380611815820094e-22,9.7675340478261077e-37,154.0,0.0,0.99999999999992295,1.0,19.0,8.840716502755591e-15,2.2234734433702876e-16,3.3987021735544569e-14,3.3987021032858602e-14,1.159074445430581e-21,1.2915486613898603e-21,1.2739442048084317e-21,1.0731996536551211e-21,8.0323007250226641e-22,5.1775557253144587e-31,2.2584038867364941e-25,4.810004869347157e-27,2.0498893969506601e-35,2.0498893379166602e-35,5.1917387392163104e-43,4.0790959775664332e-36,7.1166124313063775e-44,1.4659884441381519e-26,1.1052330505973117e-79,1.0855622870513207e-79,1.085562287051377e-79,5.1420199375503558e-36,1.4889642913217446e-40,8.4631137939721564e-31,9.0819138147348801e-37,1.4505901930630998e-42,7.0950397056136323e-48,8.6253383370077535e-57,6.3135462747855391e-65,9.013783032522772e-68,2.4056329505840416e-76,2.2203215309818774e-79,7.5447977124853609e-78,7.4116386643203081e-68,1.4345839990284833e-78,5.8862038036900178e-36,3.4007391683628113e-37,1.1096329741952658e-44,2.1972204476507768e-47,9.9278115877009348e-47,2.197396381674179e-50,9.5181025418894612e-54,4.1510609311335989e-54,5.6139480443915995e-60,4.0348865480701458e-69,7.9686157932334032e-62,2.3142193533327191e-69,4.5660975405072763e-72,1.9233932643980054e-69,2.3896255347358501e-72,2.3896255336482647e-72,1.0875852810808792e-81,2.5624596918803241e-58,4.8276403645757748e-64,3.6658397519035036e-72,2.8649088053867892e-79,5.2828584857913245e-80,8.9961224028356787e-89,4.6472218150706466e-90
2.8219461550341944e-17,0.3829669923592949,2.9849091928708269e-23,5.3624536011650147e-35,5.3624052918469446e-35,5.9647353135685906e-54,1.7704476975413435e-44,0.0,0.0,6.7854547591675987e-22,3.9277756525045353e-36,154.0,0.0,0.99999999999984535,1.0,19.0,1.7743256197807168e-14,4.4624550604655359e-16,6.8211712350579986e-14,6.8211708883505738e-14,4.6605510298122554e-21,5.193260158219427e-21,5.0533493191227348e-21,4.3152811137939142e-21,3.2297276126952864e-21,4.1382322461683939e-30,9.0809421680572843e-25,1.9340817312741995e-26,1.6499292660677081e-34,1.6499291709967222e-34,8.3609936170834734e-42,3.2831874230487921e-35,1.1461049794295243e-42,5.8946747196361504e-26,1.4379383527786181e-77,1.4123461527354994e-77,1.4123461527356457e-77,4.1387449740208182e-35,1.198447925049941e-39,6.65611792339402e-30,7.3047703497562971e-36,1.1675554317977918e-41,1.1426288208198684e-46,2.7787545733612799e-55,4.0684056830796068e-63,5.8084196215267444e-66,3.1005137223390005e-74,2.861674148138549e-77,9.718705377165093e-76,4.776008854693052e-66,9.2737271365113622e-77,4.7376944312749304e-35,1.367422147122727e-36,8.9312907670360146e-44,1.768507707518948e-46,7.9889824891897567e-46,3.5346738378161782e-49,1.517305556939031e-52,6.6317401059613675e-53,1.8064289115399101e-58,2.5965162096190044e-67,2.5641023186724055e-60,1.4890975746356377e-67,2.9276203438843426e-70,1.2378835676947383e-67,1.5379883874862948e-70,1.5379883860862662e-70,1.4000285406122123e-79,8.2552806109240822e-57,1.5552839522083087e-62,2.3622455832919523e-70,3.6924598251574461e-77,6.8088521269373403e-78,2.3189573314970481e-86,1.1979538267537722e-87
5.653724875068508e-17,0.3829669923592949,5.9802188348174506e-23,2.1505747646456197e-34,2.1505643819092756e-34,4.791975658144739e-53,1.4206727909808488e-43,0.0,0.0,1.3596918281019134e-21,1.575448860644346e-35,154.0,0.0,0.99999999999969025,1.0,19.0,3.5548335587817047e-14,8.9402960988526997e-16,1.3666108574990039e-13,1.3666107095792217e-13,1.8690602659869553e-20,2.0827294334050178e-20,1.9732224009299886e-20,1.7306147268345023e-20,1.2952450283744408e-20,3.2748803231780987e-29,3.6418635459657019e-24,7.7565322079481756e-26,1.323964235713625e-33,1.323964083108295e-33,1.3420791956018493e-40,2.6345127945374657e-34,1.8397410366729679e-41,2.3640279427199337e-25,1.8555828910085277e-75,1.822557519349764e-75,1.8225575193501413e-75,3.321082164800451e-34,9.6167886810246859e-39,5.1070952896867701e-29,5.8533795075615296e-35,9.3688046951407075e-41,1.8341548117245174e-45,8.921914272990256e-54,2.6126763997711565e-61,3.7300903608202882e-64,3.9823257417549129e-72,3.6755584629210171e-75,1.2468809574302484e-73,3.0670898217116083e-64,5.9662869152784831e-75,3.8016460796265493e-34,5.4839734909383032e-36,7.1667971502484916e-43,1.4191056899615144e-45,6.407794125396726e-45,5.6687569173301797e-48,2.3871388237056578e-51,1.047790781939855e-51,5.7947197540388527e-57,1.6654326998547537e-65,8.2252075915109696e-59,9.5494223634217023e-66,1.8641854648729066e-68,7.9418158808618938e-66,9.8677030061644373e-69,9.8677029881988848e-69,1.7965555052617534e-77,2.6505816651236502e-55,4.9936604290308391e-61,1.5170077014785396e-68,4.7426411707180573e-75,8.7453720043106898e-76,5.956821253307175e-84,3.0773751292030501e-85
