Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298)
0.0,0.6097041906141087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7041878421391596e-24,0.6097041906141087,1.9768621830154788e-21,7.1766314798931734e-34,1.1729833700604819e-38,7.4826618298655909e-60,6.161597480143177e-55,0.0,0.0,8.0424670204965543e-23,1.5850157323732254e-42,154.0,0.0,0.99999999999999967,1.0,19.0,2.6221740450304752e-18,2.7309334327299835e-16,1.4371689548715658e-17,1.4373746835568834e-17,4.1615956606631492e-28,9.4198389142665702e-32,9.4211868991511137e-32,4.8610436661206034e-32,9.5814130971171612e-28,2.2146990208801721e-46,5.4210999750902347e-34,3.3707446031657478e-33,1.3767531870600035e-46,1.3767531870599988e-46,4.6560284080460448e-61,2.5124132737975403e-45
4.7717259579896465e-24,0.6097041906141087,5.5352141124433379e-21,2.0094948190312782e-33,7.084819555165307e-38,1.1307798557297016e-58,7.3150725847943251e-54,0.0,0.0,2.2518907657402198e-22,9.5734950235413092e-42,154.0,0.0,0.99999999999999911,1.0,19.0,7.3420873260853285e-18,7.6466136115987672e-16,4.0240730736403497e-17,4.0246491139592246e-17,2.5136037790281472e-27,5.68958270421575e-31,5.69039662495672e-31,2.9360703743253817e-31,5.7871735106302296e-27,2.6292898230547969e-45,3.2743443849544665e-33,2.0359297403120175e-32,1.6344813836775671e-45,1.6344813836775565e-45,1.0415349307465957e-59,2.9827370386389419e-44
1.0906802189690621e-23,0.6097041906141087,1.2651917971299046e-20,4.5933101797599596e-33,3.4110356401358758e-37,1.2164413683589536e-57,7.1819921828979283e-53,0.0,0.0,5.1471788931260905e-22,4.6092257497518033e-41,154.0,0.0,0.999999999999998,1.0,19.0,1.6781913888195025e-17,1.747797396915559e-15,9.1978813111777801e-17,9.1991979747637103e-17,1.2101920181022523e-26,2.739289156266833e-30,2.7396807570773492e-30,1.4135914980906773e-30,2.7862749285988662e-26,2.5814505296838935e-44,1.5764558727561878e-32,9.8021253060045722e-32,1.6047435148369241e-44,1.6047435148369037e-44,2.057897509423336e-58,2.9284689118965677e-43
2.317695465309257e-23,0.6097041906141087,2.6885325689010422e-20,9.7615489757963637e-33,1.4896888799768069e-36,1.1181191919161021e-56,6.3523949387351151e-52,0.0,0.0,1.0937755147916789e-21,2.0129699801247716e-40,154.0,0.0,0.99999999999999578,1.0,19.0,3.5661567012414366e-17,3.7140694683546256e-15,1.954549778625209e-16,1.9548295696371895e-16,5.2852264888500843e-26,1.1963195421099058e-29,1.1964903298899444e-29,6.1735254557954925e-30,1.2168394632896483e-25,2.2832605395607479e-43,6.8847969683640579e-32,4.2808456460190301e-31,1.4193774657309279e-43,1.4193774657308912e-43,3.6619186646726346e-57,2.5901975886664358e-42
4.771725957989647e-23,0.6097041906141087,5.5352141124433018e-20,2.0100458866185327e-32,6.2191578280606309e-36,9.5657450914123983e-56,5.3395723663765053e-51,0.0,0.0,2.2518907657574028e-21,8.4037534131396582e-40,154.0,0.0,0.99999999999999145,1.0,19.0,7.3420873260852888e-17,7.6466136109435675e-15,4.0240730736398505e-16,4.024649113958513e-16,2.2064780191106981e-25,4.9943985923265987e-29,4.9951096372110381e-29,2.5773253516172382e-29,5.0800652236934386e-25,1.9192126434559088e-42,2.8742672067923575e-31,1.7871687885971579e-30,1.1930722838543835e-42,1.1930722838543218e-42,6.176361064228159e-56,2.1772171443011345e-41
9.679786943350426e-23,0.6097041906141087,1.1228577199527754e-19,4.0788007840227886e-32,2.5407288988857697e-35,7.9091430250003885e-55,4.3777046898552076e-50,0.0,0.0,4.568121267719187e-21,3.4332074770316049e-39,154.0,0.0,0.99999999999998268,1.0,19.0,1.4893948575772925e-16,1.5511701894964693e-14,8.1631196636682516e-16,8.1642882025999007e-16,9.0141826633588948e-25,2.0403747881709477e-28,2.0406636710840082e-28,1.0529215021210001e-28,2.0753724021509249e-24,1.5734775960220491e-41,1.1742319390040342e-30,7.3011676402299487e-30,9.781527406943639e-42,9.7815274069426258e-42,1.0144691591073901e-54,1.7850141566770303e-40
1.9495908914071986e-22,0.6097041906141087,2.2615303373696399e-19,8.2202022561371513e-32,1.0270032436896847e-34,6.431583756284995e-54,3.5451790209968685e-49,0.0,0.0,9.2005822717641024e-21,1.3877573545152581e-38,154.0,0.0,0.99999999999996514,1.0,19.0,2.999767107514792e-16,3.124187845837987e-14,1.6441212843721528e-15,1.6443566379877649e-15,3.6436767562981119e-24,8.2475211215861287e-28,8.2486758799562991e-28,4.2560770586708942e-28,8.3889870715823021e-24,1.2742285648988555e-40,4.746433240986925e-30,2.9512486958033614e-29,7.9213344973550227e-41,7.9213344973533791e-41,1.6444982222635911e-53,1.4455507434670415e-39
3.9128152855515104e-22,0.6097041906141087,4.5388755722032638e-19,1.6518571909589282e-31,4.1295348736324858e-34,5.1873052996920636e-53,2.8534686049538413e-48,0.0,0.0,1.8465504280339323e-20,5.5801112869953721e-38,154.0,0.0,0.99999999999993006,1.0,19.0,6.020511607389679e-16,6.270223156670202e-14,3.2997399203813956e-15,3.3002122734413028e-15,1.4651063977423754e-23,3.3162919690241341e-27,3.3167458759078374e-27,1.7113498659291139e-27,3.3731748042437338e-23,1.0255868443855388e-39,1.908519930627676e-29,1.1866841205154488e-28,6.3757791439787804e-40,6.3757791439761312e-40,2.6484136863786691e-52,1.1635049980488418e-38
7.839264073840134e-22,0.6097041906141087,9.0935660418700871e-19,3.3177578053387171e-31,1.656128182287977e-33,4.1667257146783793e-52,2.2897288923706202e-47,0.0,0.0,3.699534829943131e-20,2.2378742028832396e-37,154.0,0.0,0.99999999999985989,1.0,19.0,1.2062000607139013e-15,1.2562293770931333e-13,6.6109771923942359e-15,6.6119235443403337e-15,5.8757319358486677e-23,1.329981404322147e-26,1.3301550864720744e-26,6.8632783786574224e-27,1.3527939645227169e-22,8.2293168688175211e-39,7.6540185282079727e-29,4.7591340806819649e-28,5.1161612304675131e-39,5.1161612304632632e-39,4.2512904904886019e-51,9.3363948536169598e-38
