Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949)
0.0,0.4294897463946733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.839083751249985e-22,0.4294897463946733,4.3619987239361252e-22,9.9426312898731849e-36,1.1808349102792107e-37,2.7066712286430621e-58,6.7297929459773328e-52,0.0,0.0,1.3137780813449909e-22,1.0517206510915163e-40,154.0,0.0,0.99999999999999944,1.0,19.0,2.7599500345728666e-17,2.4472260579286781e-16,1.7226276179708237e-16,1.7226332937467226e-16,3.4894786358194275e-26,1.5240496486783786e-28,1.5240510645404937e-28,9.0885671054129418e-29,5.5512474834500114e-26,1.4252070420519616e-41,2.8564197710805689e-31,2.8309809057264417e-31,3.9147903963288737e-43,3.9147903963264753e-43,2.0654329220827578e-55,1.5321165683866056e-42,3.3272695658528629e-56,2.0805911733794337e-32,1.6406114737514553e-99,1.5351163562899119e-99,1.5351163562899139e-99,2.0334294403269708e-46,1.1484655361787869e-48,1.6997983522230684e-41,1.9606910443183984e-46,3.1127604255620599e-49,5.0799863229471807e-58,5.2858758320813627e-71,1.0100949744631363e-83,1.2689507068435868e-84,7.7842792304243876e-98,1.3476969641726898e-101,1.2654103366312224e-98,1.0382123629707065e-86
5.149434503499958e-22,0.4294897463946733,1.2213596427025019e-21,2.8221958122578396e-35,7.1322428580882792e-37,4.0903215619886362e-57,7.9896112302306551e-51,0.0,0.0,3.678578629106135e-22,6.3523927346933683e-40,154.0,0.0,0.99999999999999822,1.0,19.0,7.7278600968040147e-17,6.8522329592170865e-16,4.8233573303133514e-16,4.8233732224829327e-16,2.1076450952692609e-25,9.2052598779608314e-28,9.2052474018772529e-28,5.4894945305038639e-28,3.3529534787857336e-25,1.691993310358401e-40,1.7252775417303069e-30,1.7099124670550186e-30,4.6476391585122989e-42,4.647639158506934e-42,4.6202908236002131e-54,1.8189287893829927e-41,7.4429689255571185e-55,1.256677068720432e-31,1.7481988367274569e-97,1.6357856026514593e-97,1.6357856026514637e-97,2.4140882356080429e-45,1.3634582845493201e-47,2.0179575458456656e-40,2.3277323125053043e-45,3.6954691718739148e-48,1.1363726189252956e-56,2.1812314596147279e-69,7.6037428379082807e-82,9.5523441782902898e-83,1.0625502774540627e-95,1.8396010118393348e-99,1.7272788462544335e-96,7.8154035202235946e-85
1.1770136007999904e-21,0.4294897463946733,2.7916791833218252e-21,6.6310973831738763e-35,3.4338679190947109e-36,4.4001812871491577e-56,7.8442481414026339e-50,0.0,0.0,8.4081797299890594e-22,3.0584036565202013e-39,154.0,0.0,0.999999999999996,1.0,19.0,1.7663680221266277e-16,1.5662246749861062e-15,1.1024816754978588e-15,1.1024853079923793e-15,1.0147403861477801e-24,4.4319363782718612e-27,4.4319089539060361e-27,2.6429553125057554e-27,1.6143027663601544e-24,1.661182609922714e-39,8.3064686942669446e-30,8.232492473796204e-30,4.5630796859319793e-41,4.5630796859213793e-41,9.1289160568382022e-53,1.7858350702341141e-40,1.4706052338671622e-53,6.0503591321762025e-31,3.9784915240287779e-95,3.7226653047431956e-95,3.7226653047432148e-95,2.3701664974424746e-44,1.3386514289633742e-46,1.9811514858035358e-39,2.2853811857981047e-44,3.6282335354397159e-47,2.245280793031613e-55,8.6287347130469098e-68,6.0120508057761353e-80,7.5527512882204237e-81,1.6785690155211316e-93,2.9061195886889539e-97,2.7286771460694044e-94,6.1794045423456065e-83
2.5011539016999793e-21,0.4294897463946733,5.9323182645666534e-21,1.4861045342518749e-34,1.4996603360574549e-35,4.0445246925436899e-55,6.9381488296104243e-49,0.0,0.0,1.786738195319746e-21,1.3356852301349076e-38,154.0,0.0,0.99999999999999156,1.0,19.0,3.7535320470190641e-16,3.3282274283417632e-15,2.3427735604229783e-15,2.3427812794679275e-15,4.4316378556227462e-24,1.9355430537338485e-26,1.9355122590922129e-26,1.1542480205808386e-26,7.0500842851013934e-24,1.4692501461807973e-38,3.6276531092357965e-29,3.5953457502144163e-29,4.0359923069384099e-40,4.0359923069195477e-40,1.6244418277642854e-51,1.5795508934014976e-39,2.6168634357071566e-52,2.6423507901803154e-30,6.7234747925294155e-93,6.2911397916272497e-93,6.2911397916273144e-93,2.0963855657263723e-43,1.1840220291649799e-45,1.7521438398887967e-38,2.0213934185858207e-43,3.2091314534870782e-46,3.995357181994185e-54,3.0795341101885004e-66,4.2971625036741944e-78,5.3983907794534414e-79,2.4011382356694023e-91,4.1571098947447616e-95,3.9032834174985545e-92,4.416779956198124e-81
5.1494345034999576e-21,0.4294897463946732,1.221359642708104e-20,3.3769520531362295e-34,6.2607866943260927e-35,3.4601760352074866e-54,5.8319322182150664e-48,0.0,0.0,3.6785786485384482e-21,5.5762229213156707e-38,154.0,0.0,0.99999999999998268,1.0,19.0,7.7278600968038759e-16,6.8522329159605233e-15,4.823357330241509e-15,4.8233732223685284e-15,1.8501215620303272e-23,8.0805112365035363e-26,8.080225413655355e-26,4.8187582630304998e-26,2.9432713987330879e-23,1.2349141163607987e-37,1.514473762594045e-28,1.5009860761638115e-28,3.3924947207019406e-39,3.3924947206701278e-39,2.739858545767397e-50,1.3277076971461763e-38,4.413722660218115e-51,1.1031294401153661e-29,9.8446481241750954e-91,9.2116144493327797e-91,9.2116144493329639e-91,1.7621384403421355e-42,9.9524185817873488e-45,1.4725096578066287e-37,1.6991023622498047e-42,2.6974683173967222e-45,6.7387537790646393e-53,1.0405049624144022e-64,2.9061730474544687e-76,3.6509342547887168e-77,3.2490889062092867e-89,5.6251740967141125e-93,5.2817089064270573e-90,2.9870703875996929e-79
1.0445995707099914e-20,0.4294897463946733,2.477615275220872e-20,8.1380787990485217e-34,2.5577356490829543e-34,2.8609404738054768e-53,4.7813704117026985e-47,0.0,0.0,7.4622595892839392e-21,2.2780690238330209e-37,154.0,0.0,0.99999999999996492,1.0,19.0,1.5676516196373254e-15,1.3900243814827836e-14,9.7845248697517327e-15,9.7845571079677589e-15,7.5583502138967171e-23,3.3011525003551053e-25,3.300907223672441e-25,1.9686199755345426e-25,1.2024223955185543e-22,1.0123274108691688e-36,6.18711948067304e-28,6.1320178805964908e-28,2.7813721378321699e-38,2.7813721377799179e-38,4.5002257896005611e-49,1.0885349805454977e-37,7.2495526805992679e-50,4.5066437050986511e-29,1.346172358806619e-88,1.2596103583665039e-88,1.259610358366555e-88,1.4447075796618441e-41,8.1595940529310984e-44,1.2068052318300917e-36,1.3930257812415997e-41,2.2115474451231168e-44,1.1068423047768327e-51,3.4209525854002156e-63,1.9117776543947488e-74,2.401706440793771e-75,4.2756182205978556e-87,7.4024129283207936e-91,6.9504299915381169e-88,1.9649946255909727e-77
2.103911811429983e-20,0.42948974639467336,4.9901265402859723e-20,2.1578059124103986e-33,1.0338776440430522e-33,2.3264693038323183e-52,3.8720777362718671e-46,0.0,0.0,1.5029621608007255e-20,9.2083193297315728e-37,154.0,0.0,0.99999999999992939,1.0,19.0,3.1573828395511022e-15,2.7996265307081637e-14,1.9706859948264819e-14,1.9706924878358403e-14,3.055205966245505e-22,1.3343786212514019e-24,1.334175593197786e-24,7.9574766387710914e-25,4.8603835132978798e-22,8.1959883884806825e-36,2.5009326175011226e-27,2.4786596696823978e-27,2.2524272690015987e-37,2.2524272689168963e-37,7.2950596115334275e-48,8.815238392245885e-37,1.1751837162255414e-48,1.8216574405975147e-28,1.7804418131826036e-86,1.6659552810495812e-86,1.6659552810497159e-86,1.1699616638318406e-40,6.6078508154658881e-43,9.7657869729476235e-36,1.1281067895413546e-40,1.7909683691645547e-43,1.7942389857225165e-50,1.109577717776319e-61,1.240426511945611e-72,1.5583090096079431e-73,5.5489274921444196e-85,9.6069039003358734e-89,9.0203124006017947e-86,1.2749554970234117e-75
4.2225362928699655e-20,0.4294897463946732,1.0015149070574428e-19,6.4128927112390878e-33,4.1571765351796422e-33,1.8763818141202342e-51,3.1165850299243639e-45,0.0,0.0,3.0164346194383273e-20,3.7026247860586821e-36,154.0,0.0,0.99999999999985834,1.0,19.0,6.3368452793782613e-15,5.6188307069665985e-14,3.9551530103261572e-14,3.9551660415908961e-14,1.2284848513170921e-21,5.3654777456998996e-24,5.3638261329814522e-24,3.1996663118798087e-24,1.9543387855501565e-21,6.5934641309115897e-35,1.0056140059023305e-26,9.96658151488904e-27,1.8129494225829989e-36,1.8129494224465884e-36,1.1748467575316402e-46,7.0952706023478009e-36,1.8925971018207644e-47,7.3248044489411725e-28,2.3164036108905548e-84,2.1674534938709084e-84,2.1674534938712591e-84,9.4168693564493948e-40,5.3185732057367049e-42,7.8487336924561987e-35,9.0799590402266046e-40,1.4415270091314834e-42,2.8895662917099761e-49,3.5746520769871224e-60,7.9932594482396625e-71,1.0041681708297062e-71,7.1517993628473301e-83,1.238196930482197e-86,1.1625921881356252e-83,8.2157628652117092e-74
8.459785255749931e-20,0.4294897463946733,2.0065194131784362e-19,2.1191429248368754e-32,1.6672137249307719e-32,1.5072119768778088e-50,2.5008632127554209e-44,0.0,0.0,6.0433797562852775e-20,1.4849182099113417e-35,154.0,0.0,0.99999999999971623,1.0,19.0,1.2695770159031004e-14,1.125723857071421e-13,7.9240870405137371e-14,7.9241131478091578e-14,4.9267734630145149e-21,2.1517965510799681e-23,2.1504645291367114e-23,1.2832092624876153e-23,7.8377722412006784e-21,5.2854227287326702e-34,4.0329619347747197e-26,3.997044952527728e-26,1.4547777356500162e-35,1.454777735431047e-35,1.8858889028977978e-45,5.6935075504264237e-35,3.0380373533437821e-46,2.9375741936737111e-27,2.989196148655717e-82,2.7969839132721482e-82,2.7969839132730524e-82,7.5564446303046042e-39,4.2678200446339849e-41,6.2795436317260592e-34,7.2860538359483716e-39,1.1567344077624103e-41,4.6383929368881092e-48,1.1477455945757586e-58,5.133212586552756e-69,6.4486943378503084e-70,9.1859145681503458e-81,1.5903649866909756e-84,1.4932536297836715e-81,5.2761026500962226e-72
