Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19)
0.0,0.5380599302913772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1334674557260496e-22,0.5380599302913772,5.9386937834054477e-22,1.1726382043672902e-35,1.535919882904903e-37,3.5788432817990774e-58,8.1690694653499484e-52,0.0,0.0,1.366452563625617e-22,1.0467283275742708e-40,154.0,0.0,0.99999999999999922,1.0,19.0,3.3997581670567955e-17,3.2130284047183634e-16,1.704529260772657e-16,1.7045365659181747e-16,5.3343702020539411e-26,1.4009472466599367e-28,1.4009493243705472e-28,8.3236258623214402e-29,8.5661657459248359e-26,1.5592379737721451e-41,2.70035820071778e-31,3.4858399104820032e-31,5.7600423953639955e-43,5.7600423953607289e-43,2.812755017275155e-55,2.9122891955060196e-42,4.5404700227428352e-56,1.9692762009185658e-32,3.2888702471527893e-99,3.0757535054601234e-99,3.0757535054601287e-99,1.7891995041712937e-46,1.3390125694508633e-48,1.8527844788390525e-41,1.7541892294044253e-46,3.7567902574818014e-49,7.3139671763961867e-58,8.9524795803031103e-71,1.5865037159319695e-83,2.6220596710011042e-84,1.4894395751265021e-97,2.026180506291073e-101,3.0866099059732885e-98,1.6296009023781474e-86,5.4021959712007782e-93,1.8135568660530952e-42,2.3536718749502845e-39,1.9344755227194752e-51,1.1245769232775344e-51,5.2835485312452168e-52,7.277421144365548e-56,3.5461452968132096e-64,2.153043626979133e-64,3.665699798747352e-70,8.1598446540009669e-83,1.986889590786839e-70,1.6330182490690985e-82,9.4932926693900745e-83,9.7024175759488088e-83,1.6814878462364503e-83,1.6814878462364503e-83
5.973708876032938e-22,0.5380599302913772,1.6628342593540209e-21,3.3331507764348956e-35,9.276956092747875e-37,5.4083479689668051e-57,9.6983206470434209e-51,0.0,0.0,3.826067179417512e-22,6.3222391004554366e-40,154.0,0.0,0.99999999999999811,1.0,19.0,9.5193228677590172e-17,8.9964795286250319e-16,4.772681930158882e-16,4.7727023845636469e-16,3.2219596006699772e-25,8.4617213697653268e-28,8.4617110207547021e-28,5.02747001958272e-28,5.1739641083376262e-25,1.8511108034922691e-40,1.6310163532314725e-30,2.1054473059260871e-30,6.8383223317611373e-42,6.8383223317538294e-42,6.2920204541916784e-54,3.4574697315567982e-41,1.0156849818093225e-54,1.1894428253544059e-31,3.5045464646616911e-97,3.2774540385298626e-97,3.277454038529874e-97,2.1241384188453897e-45,1.5896757224496414e-47,2.1995690967686439e-40,2.082573353143613e-45,4.4600613859754181e-48,1.6361051987901417e-56,3.6942657598033519e-69,1.1942803963202228e-81,1.973821070582199e-82,2.0330776768803591e-95,2.7657285216433465e-99,4.2132072332471477e-96,1.2267228825219501e-84,4.1685764297497189e-91,2.1530547105388166e-41,1.4216178124661464e-38,2.2966093405531204e-50,1.335097722278364e-50,6.272628760252636e-51,8.640309519064857e-55,7.9325062308838985e-63,4.8162217661846561e-63,8.2005271504584759e-69,3.3673843883912909e-81,4.4448653541558371e-69,6.7390989110079322e-81,3.9176675800824626e-81,4.0039695680820891e-81,6.9391222652282016e-82,6.9391222652282016e-82
1.3654191716646717e-21,0.5380599302913772,3.8007640213829547e-21,7.8532311373979766e-35,4.4664550194908459e-36,5.818053951344872e-56,9.5218693252631208e-50,0.0,0.0,8.7452964160644412e-22,3.0438859794416231e-39,154.0,0.0,0.99999999999999556,1.0,19.0,2.1758452269163401e-16,2.0563381758092827e-15,1.0908987268913097e-15,1.0909034021825612e-15,1.5512348527013808e-24,4.0739545931960544e-27,4.0739262877892703e-27,2.4205103988739276e-27,2.4910409956134798e-24,1.8173965743819787e-39,7.8526416476562963e-30,1.0136822459606022e-29,6.7139054159897778e-41,6.7139054159753395e-41,1.243197208134514e-52,3.3945642821031776e-40,2.0068223647756048e-53,5.7266551922650726e-31,7.9755277902567719e-95,7.4587185614930771e-95,7.458718561493125e-95,2.0854920319350447e-44,1.5607530509444132e-46,2.1594300248555651e-39,2.0446826557773327e-44,4.3789147002291532e-47,3.2326681538235974e-55,1.4614147912627624e-67,9.4428159499466398e-80,1.560640963807893e-80,3.2117644360228956e-93,4.3691746090415432e-97,6.6558345497790517e-94,9.6993289322889223e-83,4.5431185074332214e-89,2.1138818804692913e-40,6.8444778122980475e-38,2.2548246692215544e-49,1.3108068585584465e-49,6.1585039942902001e-50,8.4842830089098022e-54,1.5672954178373272e-61,9.5158233548233265e-62,1.6205036220145038e-67,1.3322800964687368e-79,8.7834846145856379e-68,2.666273232274551e-79,1.5499947533148393e-79,1.5841402166587462e-79,2.7454111536970759e-80,2.7454111536970759e-80
2.9015157397874273e-21,0.5380599302913772,8.0766235454487505e-21,1.7689612726651116e-34,1.9506182512927284e-35,5.3477939499076177e-55,8.4219858262336598e-49,0.0,0.0,1.858375490961085e-21,1.3293449789680005e-38,154.0,0.0,0.99999999999999056,1.0,19.0,4.623671107197195e-16,4.3697186143646252e-15,2.318159794634859e-15,2.3181697296233639e-15,6.7746501353641526e-24,1.7792030031640422e-26,1.7791701499362711e-26,1.0571004825627038e-26,1.0879030463209438e-23,1.6074044489945444e-38,3.4294549148795378e-29,4.4270166862339815e-29,5.9383733078268232e-40,5.9383733078011299e-40,2.2122029938000427e-51,3.0024536602237451e-39,3.5710331678553064e-52,2.5009807751602578e-30,1.3478289379526437e-92,1.2604904630272068e-92,1.2604904630272226e-92,1.8445942184347843e-43,1.3804683985852841e-45,1.9097780424665758e-38,1.8084982769123382e-43,3.8731004336810034e-46,5.7523602171765598e-54,5.2156855475276966e-66,6.7493299530428947e-78,1.1154808966819885e-78,4.5943242793002283e-91,6.2499627580405174e-95,9.5209535367168581e-92,6.9326747057974544e-81,3.7165530221137714e-87,1.8697045811614862e-39,2.9891632811275697e-37,1.9943668847763126e-48,1.1593938180731267e-48,5.4471268289412127e-49,7.5063440412377336e-53,2.7887964113066981e-60,1.6932115428022625e-60,2.8843777323909e-66,4.7560758211232607e-78,1.5633959153672984e-66,9.5182659398095457e-78,5.5332852049154245e-78,5.6551855771633249e-78,9.8007799902909361e-79,9.8007799902909361e-79
5.973708876032939e-21,0.5380599302913771,1.6628342593612048e-20,4.0547259374589281e-34,8.143447219193309e-35,4.5751503251600351e-54,7.0791866447422476e-48,0.0,0.0,3.8260671977713884e-21,5.5497536193276421e-38,154.0,0.0,0.99999999999998057,1.0,19.0,9.5193228677588175e-16,8.996479462122442e-15,4.7726819300927832e-15,4.7727023844586103e-15,2.8282830620090808e-23,7.4278223009442843e-26,7.4275138965589207e-26,4.4131864146337613e-26,4.5417810477857543e-23,1.3510156003150702e-37,1.4317299179917289e-28,1.8481923204672127e-28,4.9915605789669648e-39,4.9915605789236289e-39,3.7312036431604098e-50,2.5237432042777759e-38,6.0230693699958328e-51,1.0441102417213346e-29,1.9735184610850129e-90,1.8456356951243146e-90,1.8456356951243612e-90,1.5504926388126055e-42,1.1603668684563808e-44,1.6049247042566084e-37,1.5201511380121812e-42,3.2555742374624786e-45,9.7021961479971522e-53,1.7622622409343326e-64,4.564575050655622e-76,7.5440025987389176e-77,6.2167882679776076e-89,8.4571083359615357e-93,1.2883231510355663e-89,4.6885711940473311e-79,2.6748302022243106e-85,1.5715993532973863e-38,1.2479168280452785e-36,1.6763855361507229e-47,9.7454035623677969e-48,4.5786379584923379e-48,6.3130534410022349e-52,4.7033009484667388e-59,2.8555842728039807e-59,4.8675506083191778e-65,1.6078240801205008e-76,2.6383190569456722e-65,3.217714435927033e-76,1.8705615844002622e-76,1.9117744090657477e-76,3.3132212103609583e-77,3.3132212103609583e-77
1.2118095148523962e-20,0.5380599302913772,3.3731780690065468e-20,9.9002086549185043e-34,3.3268639031940153e-34,3.7828227811127389e-53,5.8039449556546619e-47,0.0,0.0,7.7614506437960752e-21,2.2672554491162555e-37,154.0,0.0,0.99999999999996048,1.0,19.0,1.9310626388881709e-15,1.8250001040226603e-14,9.6817262008919267e-15,9.6817676939436639e-15,1.155445907057494e-22,3.0345077734384147e-25,3.0342418428726891e-25,1.8029306414071363e-25,1.8554657392345927e-22,1.1074725662148433e-36,5.8490838768385753e-28,7.5504686791048437e-28,4.0923829398688751e-38,4.0923829397976965e-38,6.1285130294146199e-49,2.0691171429965483e-37,9.8929094581196917e-50,4.2655310221894776e-29,2.698619563021368e-88,2.5237506976950915e-88,2.5237506976952188e-88,1.2711875633944878e-41,9.5133886514863962e-44,1.3152261974384236e-36,1.2463107070198346e-41,2.6691163732658163e-44,1.5935885844015434e-51,5.7939325223634933e-63,3.0027298447455578e-74,4.9626967464285722e-75,8.180943593117015e-87,1.1129079190822913e-90,1.6953602722429962e-87,3.0842986472660561e-77,1.8130870080544771e-83,1.2884920931406938e-37,5.0981474275655144e-36,1.3744021452823087e-46,7.9898705251413196e-47,3.7538434454542723e-47,5.1815934531948806e-51,7.7238333643957464e-58,4.6894371065305433e-58,8.0035934051760059e-64,5.2917865944378171e-75,4.3381229500344474e-64,1.05903692264474e-74,6.156504424401099e-75,6.2921705263823973e-75,1.0904714333359265e-75,1.0904714333359265e-75
2.4406867693506005e-20,0.5380599302913772,6.7938656883479591e-20,2.6686987642118938e-33,1.3447715816595664e-33,3.0761286905942277e-52,4.7001851176517483e-46,0.0,0.0,1.5632217665461769e-20,9.1646091222237097e-37,154.0,0.0,0.9999999999999204,1.0,19.0,3.8893233431126093e-15,3.6757043726789065e-14,1.9499814742023404e-14,1.9499898312172106e-14,4.6704970285069419e-22,1.2265965593289285e-24,1.2263759463318703e-24,7.2877338541439342e-25,7.5000890726773239e-22,8.9658210589124113e-36,2.3642932217212145e-27,3.0520201614527697e-27,3.314117806646046e-37,3.3141178065306636e-37,9.9345832021006575e-48,1.6756246851875109e-36,1.6036832324766778e-48,1.7241958391222195e-28,3.5691827100764512e-86,3.3379018955482811e-86,3.3379018955486183e-86,1.0294406553360341e-40,7.7041887808226703e-43,1.0641530650491358e-35,1.0092930395282688e-40,2.1615195108217271e-43,2.5832756176174073e-50,1.8792480179709839e-61,1.9482734641601098e-72,3.2199667909556839e-73,1.0617286216534245e-84,1.4443397646356617e-88,2.2002491755527614e-85,2.0011980834561213e-75,1.193817900579394e-81,1.0434542893053069e-36,2.0607527023973373e-35,1.1130264907042606e-45,6.4704041280860683e-46,3.039958803507263e-46,4.205535666050562e-50,1.2516283796665066e-56,7.5989649393385102e-57,1.3002139367611411e-62,1.7200193094729394e-73,7.0474443580482186e-63,3.4422445584700108e-73,2.0010686144995289e-73,2.0451801980660191e-73,3.5444220347518356e-74,3.5444220347518356e-74
4.8984412783470096e-20,0.5380599302913771,1.3635240927233707e-19,8.0643799831992984e-33,5.4072673847400196e-33,2.4810092753911615e-51,3.7831178956372927e-45,0.0,0.0,3.1373752227258467e-20,3.6850490961754309e-36,154.0,0.0,0.99999999999984024,1.0,19.0,7.8058447515609244e-15,7.3771127221330619e-14,3.913599182241913e-14,3.9136159545662947e-14,1.8779862591055485e-21,4.9320908149732092e-24,4.9302942684632632e-24,2.9303656800864625e-24,3.015752742071335e-21,7.2120033710558058e-35,9.506719058326146e-27,1.2272038834474457e-26,2.6674903321151632e-36,2.6674903319293433e-36,1.5999338324845115e-46,1.3486884861567725e-35,2.5826823358393607e-47,6.9329156360603898e-28,4.6436045571359904e-84,4.3427018767453176e-84,4.3427018767461945e-84,8.2858340261598305e-40,6.2010013794250719e-42,8.5499568938094999e-35,8.1236413417748214e-40,1.7397787413648715e-42,4.1602852607861093e-49,6.0542471237439593e-60,1.2554597018997522e-70,2.0749338439018329e-71,1.3684211862267578e-82,1.8615539930872261e-86,2.8358131203572463e-83,1.2895641170882081e-73,7.7491740166895515e-80,8.3986276775262654e-36,8.2861959796232575e-35,8.958605503081778e-45,5.2079438737241578e-45,2.4468217965354845e-45,3.4000275160803725e-49,2.0142986591467224e-55,1.2228842699426721e-55,2.1029633031506136e-61,5.564731326497801e-72,1.139852177053126e-61,1.1136579961090582e-71,6.4739065580040032e-72,6.6167183118741223e-72,1.1467178537476446e-72,1.1467178537476446e-72
9.813950296339827e-20,0.5380599302913773,2.7317991405816884e-19,2.7009044112441815e-32,2.1685560672975088e-32,1.9928816469855907e-50,3.0357138613107329e-44,0.0,0.0,6.2856823424713063e-20,1.4778695660090853e-35,154.0,0.0,0.99999999999967981,1.0,19.0,1.5638887568455309e-14,1.4779928669608097e-13,7.8408345975741617e-14,7.8408682000785151e-14,7.5315644120387756e-21,1.9779890080230189e-23,1.9765394101313408e-23,1.1752076613811456e-23,1.2094516622561048e-20,5.7800185166565092e-34,3.8126195401324667e-26,4.9216364513690894e-26,2.1404929981967666e-35,2.1404929978984839e-35,2.5682476013822651e-45,1.0822375140724148e-34,4.1457768980879322e-46,2.7804092521607436e-27,5.992325686397861e-82,5.6040267176893493e-82,5.6040267176916164e-82,6.6488600043336858e-39,4.9759130805082115e-41,6.8364175192423661e-34,6.518667067246467e-39,1.3960625372618148e-41,6.6781776557181148e-48,1.9438913377186634e-58,8.0624698206395937e-69,1.3325072461335304e-69,1.7576275581459978e-80,2.3910172211316941e-84,3.6423663398637596e-81,8.2814858677122875e-72,4.9945462325687257e-78,6.7393694189804565e-35,3.3231351957833142e-34,7.1887167145008403e-44,4.1790465228504571e-44,1.9634179585178428e-44,2.7524557426386347e-48,3.2288772224307541e-54,1.9600990218316541e-54,3.4046441776734009e-60,1.8017835083406525e-70,1.8453917248286327e-60,3.6058588719468993e-70,2.0960998690297132e-70,2.1424042948064304e-70,3.7129193623520363e-71,3.7129193623520363e-71
