Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338)
0.0,0.3838167642729538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0972528741598744e-20,0.3838167642729538,4.1346850287879406e-24,1.485687110599897e-38,1.3580151714562485e-38,1.5612809777900576e-59,3.6212492942304742e-51,0.0,0.0,1.6551807797555547e-23,1.6128078520346702e-40,154.0,0.0,0.99999999999999933,1.0,19.0,6.2298562354581698e-17,1.6721181214686913e-17,3.0276994457411224e-16,3.0276996524966604e-16,1.1637301819482377e-25,1.5025260816509041e-26,1.5024616483558718e-26,1.0939492935006836e-26,1.120447395640383e-25,2.0855342516124396e-38,6.5261963459562359e-30,6.5183058458778892e-31,1.0870972149396102e-41,1.0870972148946179e-41,3.9278307688424194e-52,6.9802261942178907e-42,5.7139564663221622e-53,4.6300519460543181e-31,8.4461650157559044e-95,8.1356374469397801e-95,8.1356374469397907e-95,2.3891020822556865e-43,5.7689115971904792e-47,3.0365145401048049e-38,8.6225743678069143e-44,2.1368321287957971e-48,4.4392254851901647e-56,1.3125204730685723e-67,1.5443223162766967e-78,1.2537497158620535e-80,5.1347414650930404e-92,2.4555604797060039e-95,2.9500138764440573e-93,1.7173099104509389e-81,1.0119181356339935e-90,7.2498717303848506e-42,2.7735889008981253e-40,1.3764211864644925e-50,2.3102985240393935e-52,4.1974935083911607e-52,1.9552880007838791e-57,3.8517408814295708e-62,1.9104788162985136e-62,7.4114287266713591e-70,2.0575422437702765e-81,3.7990336886190887e-71,1.8853069822163758e-81,3.164430676304146e-83,1.3726427378122878e-81,1.0541063221368826e-83,1.0541063221360041e-83,8.7840411307456156e-96,9.0855171246245676e-70,4.7454436020999586e-74,1.0094317125362964e-84,1.2833146199460257e-94,2.5047028314593796e-95,2.0389414972924992e-106,2.3095826281432857e-107,5.3990940857325876e-120,6.825345130237005e-76
3.072308047647649e-20,0.3838167642729538,1.1577118080739634e-23,8.559893067216514e-38,8.2024116356725005e-38,2.359407954312163e-58,4.2991471684425958e-50,0.0,0.0,4.6345064833143023e-23,9.7413599549689342e-40,154.0,0.0,0.99999999999999811,1.0,19.0,1.7443597459282751e-16,4.681930664346502e-17,8.4775584475882752e-16,8.477559026149422e-16,7.0289302040531429e-25,9.0752575323947593e-26,9.0744920107085273e-26,6.6074537024545161e-26,6.7675021782838581e-25,2.4758370784069246e-37,3.9418225926311752e-29,3.937056730657948e-30,1.2906018135005664e-40,1.2906018133999205e-40,8.7864000016038786e-51,8.2869244352837475e-41,1.2781891960903959e-51,2.7965513752036955e-30,9.0000442457295376e-93,8.6691530242525555e-93,8.6691530242525776e-93,2.8363420032174376e-42,6.8488518475660107e-46,3.6044452451896852e-37,1.0236706429562111e-42,2.5368470565172327e-47,9.9303696663594755e-55,5.4161523895079571e-66,1.1625272736619949e-76,9.4379147648174099e-79,7.0088966776974099e-90,3.3518279250526964e-93,4.0267512504045619e-91,1.2927480145867058e-79,7.7401113974278478e-89,8.6070476118614462e-41,1.6752476959313765e-39,1.6340872323216833e-49,2.7427863780014002e-51,4.983262582544048e-51,2.4907215754654055e-56,8.615694202642225e-61,4.2734478402443077e-61,1.7734879738426969e-68,9.0680748804894569e-80,9.0907445878364251e-70,8.3089904305845132e-80,1.394630303186931e-81,6.0495621509423664e-80,4.6456968815877438e-82,4.6456968815806879e-82,7.0562443509556797e-94,3.7491642293922309e-68,1.9582205752711024e-72,7.5987499218273127e-83,1.7517181192272105e-92,3.4189069951592384e-93,5.0300503932202641e-104,5.6977198151616508e-105,2.4029121757002265e-117,3.1647706942381649e-74
7.022418394623197e-20,0.3838167642729538,2.6461984185176628e-23,4.0308181621197445e-37,3.9491081187099142e-37,2.5381437242039734e-57,4.2209281864086976e-49,0.0,0.0,1.0593159090426791e-22,4.6900460266645144e-39,154.0,0.0,0.99999999999999567,1.0,19.0,3.9871079906931411e-16,1.0701555447038806e-16,1.9377276449335109e-15,1.9377277770090335e-15,3.3841272267341568e-24,4.3693458442757785e-25,4.3685940019265087e-25,3.1812045000656157e-25,3.2582608894461533e-24,2.4305602812085201e-36,1.8978178969145098e-28,1.8955233396028432e-29,1.2671205134988187e-39,1.2671205132999594e-39,1.7360444405738021e-49,8.1361513342560052e-40,2.5254864166612405e-50,1.3464191055929351e-29,2.0481994944665123e-90,1.9728963943876655e-90,1.9728963943876746e-90,2.7847374033256814e-41,6.7242433557678297e-45,3.5377968761454919e-36,1.0050429717553095e-41,2.4906913842780605e-46,1.9620736293624148e-53,2.1425759421702048e-64,9.1917532430308194e-75,7.4622751322298831e-77,1.1072338540034734e-87,5.2950664506194919e-91,6.3612689370581655e-89,1.0221369446520735e-77,7.6203375853010744e-87,8.4504501589370918e-40,8.0655965206454812e-39,1.6043565341712502e-48,2.6928838674320297e-50,4.8925931304690096e-50,2.8042346637406006e-55,1.702101513398133e-59,8.4426752373618388e-60,4.0039046400456886e-67,4.092271552589696e-78,2.0523665774970762e-68,3.7497064072336599e-78,6.2936444083026889e-80,2.7300681383197701e-78,2.0965270506335885e-80,2.0965270506272289e-80,6.3600159879684983e-92,1.4831320920497948e-66,7.7465257322353312e-71,6.0081029765057387e-81,2.7672852587230225e-90,5.4010350267269233e-91,1.5878372211294134e-101,1.7986007149780275e-102,1.5160500842107019e-114,1.5930068244737005e-72
1.4922639088574293e-19,0.3838167642729538,5.6231716396185036e-23,1.7420426537695398e-36,1.7246792678684171e-36,2.3329919425107795e-56,3.7333631816222331e-48,0.0,0.0,2.2510469104631746e-22,2.0482667914299041e-38,154.0,0.0,0.99999999999999079,1.0,19.0,8.4726044802226714e-16,2.2740803800170256e-16,4.1176712445038904e-15,4.1176715244516125e-15,1.4779371839572407e-23,1.9082081224927664e-24,1.9075431023815103e-24,1.3893155557971146e-24,1.4229680508180109e-23,2.1493917945372908e-35,8.2882693543060808e-28,8.278248420354299e-29,1.1207537442210792e-38,1.1207537438672195e-38,3.0891978384270357e-48,7.1963333299697323e-39,4.4939679938160027e-49,5.8801659681860902e-29,3.4613665956067453e-88,3.3341076855928848e-88,3.3341076855929172e-88,2.4630686998906943e-40,5.9475170962132121e-44,3.1272415712760692e-35,8.8894390430650144e-41,2.2029881469060689e-45,3.4914049197307811e-52,7.6467007655268212e-63,6.5698803781661157e-73,5.3337218343972509e-75,1.5838618092140336e-85,7.5744193677010017e-89,9.0995559199862359e-87,7.305806932807679e-76,6.0113486642560656e-85,7.4743270661586705e-39,3.5224579008690151e-38,1.4190351847768165e-47,2.3818251727483826e-49,4.3274367713126105e-49,3.1186391630902323e-54,3.0280322119562008e-58,1.501993870183025e-58,8.9115518620539296e-66,1.8222009926943957e-76,4.5679837143766713e-67,1.6696614352178099e-76,2.8023445421021502e-78,1.2156420513506662e-76,9.3353974426283988e-79,9.3353974425717501e-79,5.6647249835779147e-90,5.2931929714653576e-65,2.7646799197334228e-69,4.2943406448140927e-79,3.9585112103744209e-88,7.726004245276741e-89,4.5441856918938718e-99,5.1473643992676467e-100,8.6788883655555424e-112,6.270139079877134e-71
3.0723080476476485e-19,0.3838167642729537,1.1577118082673955e-22,7.2359446015807691e-36,7.2001964401318651e-36,1.9959247113172057e-55,3.1381167068283742e-47,0.0,0.0,4.6345108332961543e-22,8.5511146054575002e-38,154.0,0.0,0.9999999999999809,1.0,19.0,1.7443597459280921e-15,4.6819295657421521e-16,8.4775584405286929e-15,8.4775590139562824e-15,6.1700961006365072e-23,7.966393274078221e-24,7.9608046706902945e-24,5.800118731603612e-24,5.940610816877966e-23,1.8060018645604256e-34,3.4601892980743593e-27,3.4560057559648982e-28,9.4206105201667277e-38,9.420610514198369e-38,5.210382037390661e-47,6.0489511257604484e-38,7.5797333728885929e-48,2.4548535388259158e-28,5.06820314936831e-86,4.8818680731220908e-86,4.8818680731221844e-86,2.0703576555439417e-39,4.9992464802358397e-43,2.6254447809694137e-34,7.4720212899466318e-40,1.8517439808740437e-44,5.8887637986293168e-51,2.5836469701610818e-61,4.4432126077049093e-71,3.6071981128211997e-73,2.1431948569806233e-83,1.0249288527663755e-86,1.2312935098985918e-84,4.9409200179657857e-74,4.2595725495027581e-83,6.2826215863059631e-38,1.4705568323121105e-37,1.192784574511188e-46,2.0020673849195046e-48,3.6374605104706202e-48,3.69523783172823e-53,5.1046341260210628e-57,2.5322021285748066e-57,2.1060699621860378e-64,8.6016017791565542e-75,1.0795530825136966e-65,7.8815222514734882e-75,1.3227555963727778e-76,5.7383833173676353e-75,4.4067344405892668e-77,4.4067344405358214e-77,5.3446212901848901e-88,1.7884501676967786e-63,9.3412279913049461e-68,2.9042644665971203e-77,5.3564405318280624e-86,1.0454405688971313e-86,1.2300353232743283e-96,1.3933061373525965e-97,4.6989336550758776e-109,2.2144282801306066e-69
6.232396325228087e-19,0.38381676427295386,2.3485010972199942e-22,2.948766964226209e-35,2.9415151828877308e-35,1.6502707803898807e-54,2.5728176738397282e-46,0.0,0.0,9.4014463589300536e-22,3.49341256305634e-37,154.0,0.0,0.99999999999996114,1.0,19.0,3.5385583417394189e-15,9.4976259975885291e-16,1.7197332820114472e-14,1.719733397145904e-14,2.5206850022758196e-22,3.2545315847257054e-23,3.2499525055189493e-23,2.3695375699492066e-23,2.4269327975162427e-22,1.479536785238531e-33,1.4136002294672528e-26,1.4118911164606406e-27,7.7235856658734412e-37,7.7235856560704051e-37,8.5580627420767847e-46,4.9592945296974352e-37,1.2449733180068972e-46,1.0028877692076796e-27,6.93033908849146e-84,6.6755416337778665e-84,6.6755416337781243e-84,1.6974042945329006e-38,4.0986842998224813e-42,2.1472850137076382e-33,6.1258704249973537e-39,1.5181711067915775e-43,9.6723092227944406e-50,8.4944633756264868e-60,2.9228927754513048e-69,2.372934683834527e-71,2.8203230802403316e-81,1.3487483414381297e-84,1.6202903101526086e-82,3.250301235204068e-72,2.8664542565478612e-81,5.1508716498647087e-37,6.0077044779811135e-37,9.7791685660633148e-46,1.6414154928379219e-47,2.9821921104476748e-47,4.7905574297758061e-52,8.3758979493205202e-56,4.1554419509127409e-56,5.4402222657840902e-63,4.4356428505560724e-73,2.788610452072709e-64,4.0642893512050224e-73,6.8203546337396244e-75,2.9591594352610864e-73,2.2724594534258294e-75,2.2724594533707567e-75,5.5072382483977326e-86,5.8800321280670577e-62,3.0711909893643506e-66,1.9105219204579394e-75,7.0487736521883342e-84,1.3757408174937957e-84,3.2376529810203843e-94,3.6674103755238073e-95,2.4738029632831322e-106,7.4360871496074948e-68
1.2552572880388964e-18,0.3838167642729537,4.7300796764912218e-22,1.1904680473805608e-34,1.1890074680839587e-34,1.3419754454087451e-53,2.0835344577681371e-45,0.0,0.0,1.8935348130069507e-21,1.4120958247736413e-36,154.0,0.0,0.99999999999992173,1.0,19.0,7.1269555333607788e-15,1.9129011102872035e-15,3.4636881529430761e-14,3.4636883800561004e-14,1.0189007112061277e-21,1.3155336981915896e-22,1.3118302320611704e-22,9.5780482175672347e-23,9.8100458851708745e-22,1.1963367621031968e-32,5.7139981266455368e-26,5.7070896222346669e-27,6.2547599069530044e-36,6.2547598910618787e-36,1.3872970988962332e-44,4.0161635628689049e-36,2.0181548645668952e-45,4.0538327005869648e-27,9.1660368360252907e-82,8.8290428122582228e-82,8.8290428122589005e-82,1.3746020100234748e-37,3.3192208011644239e-41,1.7305423439356852e-32,4.9606553627242226e-38,1.2294535357265329e-42,1.5679220334125711e-48,2.7551571518923348e-58,1.8964714105767963e-67,1.5396400530364152e-69,3.6602331553292911e-79,1.7504141501105537e-82,2.1027653258734387e-80,2.1089050622158345e-70,1.8808248369921399e-79,4.1713076150821044e-36,2.4284101945148774e-36,7.9194242049968431e-45,1.329260321970633e-46,2.4150276885233624e-46,6.7317084220193962e-51,1.3550283644487898e-54,6.7241613783575496e-55,1.5241370360775804e-61,2.4815234039353163e-71,7.812593403518066e-63,2.2737409273556551e-71,3.8147762197792914e-73,1.6555157313391353e-71,1.2713408348155621e-73,1.2713408347539883e-73,6.157384578810763e-84,1.9071738436027352e-60,9.961331760736038e-65,1.2396114819909881e-73,9.1479462114844246e-82,1.7854457260947434e-82,8.4041360855098205e-92,9.5196893355249405e-93,1.2843103514391556e-103,2.436944485250597e-66
2.519292599071072e-18,0.3838167642729537,9.4932368404978054e-22,4.783878184609362e-34,4.7809467377677128e-34,1.0823560939335062e-52,1.6770097960402244e-44,0.0,0.0,3.8003274551834177e-21,5.677996210244477e-36,154.0,0.0,0.9999999999998429,1.0,19.0,1.4303749916598327e-14,3.8391750279852046e-15,6.9515978748642209e-14,6.9515983116127798e-14,4.0969511751963628e-21,5.2897031102942017e-22,5.2599723068676928e-22,3.8512898589698472e-22,3.9445726728765055e-21,9.5998225261043248e-32,2.2975735027354384e-25,2.2947956263827158e-26,5.0343749044010381e-35,5.034374878808929e-35,2.234193570602316e-43,3.2325550557740667e-35,3.2501744748767643e-44,1.6300282910687484e-26,1.192526509223373e-79,1.1486826633020818e-79,1.1486826633022586e-79,1.1063992918473362e-36,2.6715976497481627e-40,1.3795806988117603e-31,3.9923914415717678e-37,9.8956989741319239e-42,2.5250869663848796e-47,8.8760949258624643e-57,1.2220773209133846e-65,9.9213686076433671e-68,4.7175285782606992e-77,2.2560390347762843e-80,2.7100216668655836e-78,1.3589685749578582e-68,1.2187737591236344e-77,3.3574283788978345e-35,9.7645305031476568e-36,6.3742415072010932e-44,1.0699035441514073e-45,1.9437780245469357e-45,1.0009513223480196e-49,2.1734558819437428e-53,1.0790640579545559e-53,4.5231704640698653e-60,1.4713406118454064e-69,2.3185376852745249e-61,1.3481087847463873e-69,2.2608130283568834e-71,9.8159975392130611e-70,7.5381528272302607e-72,7.5381528265004547e-72,7.2980537374798116e-82,6.1442114633157375e-59,3.2091740444592621e-63,7.9880039867129176e-72,1.1790431190979396e-79,2.3011913053141779e-80,2.1664061652694112e-89,2.4539774066603776e-90,6.6214577654992883e-101,7.8911970977998552e-65
5.047363221135423e-18,0.3838167642729538,1.9019551190367479e-21,1.9179608478203977e-33,1.9173734773606945e-33,8.6941415287613557e-52,1.3456947485497932e-43,0.0,0.0,7.6139618913299689e-21,2.2771472828701589e-35,154.0,0.0,0.99999999999968514,1.0,19.0,2.8657338683052716e-14,7.6917104499864012e-15,1.3927417238938058e-13,1.3927418038445294e-13,1.64305763664831e-20,2.1214075102328823e-21,2.0976749380013868e-21,1.544538521351856e-21,1.5819471544406235e-20,7.6565856046887044e-31,9.2142972577366505e-25,9.2031567538082257e-26,4.0397687739791341e-34,4.0397687328983163e-34,3.5863573759003185e-42,2.5939173947877069e-34,5.217244320873064e-43,6.537142427801673e-26,1.5388922541671445e-77,1.4823140948185807e-77,1.4823140948190375e-77,8.8781576350277985e-36,2.1437888358435475e-39,1.0862474521034924e-30,3.2030401341989185e-36,7.9406548647605998e-41,4.0533137481169949e-46,2.8499209703782919e-55,7.8480733787610503e-64,6.3714159137443753e-66,6.0592748571744218e-75,2.8976954130502828e-78,3.4804164644471087e-76,8.7271770189745622e-67,7.8487493151310218e-76,2.6941202001045704e-34,3.9160133941782899e-35,5.1149272660531964e-43,8.5852892051392092e-45,1.5596850500518169e-44,1.5399879039728214e-48,3.4610366073100418e-52,1.71993245835624e-52,1.3901347763113042e-58,9.0381970143170836e-68,7.1257094119671905e-60,8.2807895785706458e-68,1.38750648928804e-69,6.0299760125960693e-68,4.6307326316849381e-70,4.6307326307885572e-70,8.9638068015178944e-80,1.9727754398267269e-57,1.0303974090379258e-61,5.1298331485417813e-70,1.5143853328235191e-77,2.9556935400439187e-78,5.5651964931334522e-87,6.3039554353973622e-88,3.4019593387864945e-98,2.5401482758299284e-63
