Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285)
0.0,1.2247150885501132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.978416482889147e-23,1.2247150885501132,9.5708874931898654e-22,1.8348904912216122e-35,4.8565803447919737e-38,4.1600808109956158e-59,4.0236764771470319e-53,0.0,0.0,6.2689810946105923e-23,9.6079078511201155e-42,154.0,0.0,0.99999999999999944,1.0,19.0,2.0226436892692084e-17,3.6069572664782468e-16,4.7378198334797918e-17,4.737921811335492e-17,2.031912187019982e-26,5.7794490457330856e-30,5.7795669296778282e-30,3.3092953313371624e-30,3.5841715405993109e-26,2.717114161259026e-43,1.4768957916883144e-32,6.3835644998469841e-32,4.6384935674550171e-44,4.6384935674546408e-44,3.2398477032952719e-57,7.2495019478503174e-43,5.340360320724057e-58,1.0972023922497249e-33,3.0648960036281799e-102,2.8511517094885695e-102,2.8511517094885735e-102,1.4815624511746504e-48,4.4384989890675335e-50,3.1115946232560844e-43,1.7091578235675677e-48,1.7414155830389816e-50,1.4646655606246799e-59,6.7431454032124724e-73,1.7428847569389354e-86,1.0698406959521475e-86,8.7330486151678538e-101,4.4678883713590549e-105,4.9056510969086278e-101,1.7895843286343138e-89,1.9767423840805268e-95,4.1098343622244791e-43,7.1076266805432173e-40,8.6702676925776729e-53,2.0302482545115423e-52,7.5177752773391354e-53
1.9539566152089612e-22,1.2247150885501132,2.6798484980932916e-21,5.1534286957376592e-35,2.9333745282544685e-37,6.2867141217763219e-58,4.7769102652100156e-52,0.0,0.0,1.7553147065593914e-22,5.8031763422949162e-41,154.0,0.0,0.99999999999999867,1.0,19.0,5.6634023299537803e-17,1.0099480344287869e-15,1.326589553374151e-16,1.3266181071736424e-16,1.2272749607723558e-25,3.4907872236116966e-29,3.4908546265294542e-29,1.9988143799319946e-29,2.1648396101908688e-25,3.2257437685797907e-42,8.9204505817957567e-32,3.8556729579044081e-31,5.5068195632784505e-43,5.5068195632776061e-43,7.2474097144012498e-56,8.6066087112811502e-42,1.1946172421224694e-56,6.6271024491898783e-33,3.2658845277925827e-100,3.0381233958299178e-100,3.0381233958299239e-100,1.7589123713150127e-47,5.2693859998195383e-49,3.6940391577371607e-42,2.0291121325867833e-47,2.0674085786403334e-49,3.2763982701580131e-58,2.782577829506016e-71,1.3120001417178821e-84,8.0534937213584417e-85,1.192056831511107e-98,6.0986561319428333e-103,6.6961895300257174e-99,1.3471544136460264e-87,1.5253429816143917e-93,4.8791953541487639e-42,4.2930065150451893e-39,1.0293341804593439e-51,2.4103107269829653e-51,8.9251028090001097e-52
4.466186549049055e-22,1.2247150885501132,6.1253679956424168e-21,1.1853446386038412e-34,1.4122935642656791e-36,6.7629601734785313e-57,4.6899995049511736e-51,0.0,0.0,4.0121479010297563e-22,2.793979603432431e-40,154.0,0.0,0.999999999999997,1.0,19.0,1.2944919611322903e-16,2.3084526492502202e-15,3.0322046934257307e-16,3.0322699592526437e-16,5.9088006370384042e-25,1.6806637824825503e-28,1.6806923646687112e-28,9.6234308205936812e-29,1.0422770835096064e-24,3.1670243594011604e-41,4.2948129622271194e-31,1.8563405565507462e-30,5.4066281022127103e-42,5.406628102211042e-42,1.4319660285534315e-54,8.4500194666734012e-41,2.3603623594234309e-55,3.190664556664505e-32,7.4323890620357348e-98,6.9140580152553487e-98,6.9140580152553799e-98,1.7269112226680746e-46,5.1735144216526499e-48,3.6267321617184628e-41,1.9921942489371951e-46,2.0297939988052451e-48,6.4736108513974364e-57,1.1007601159481651e-69,1.0373590597009208e-82,6.3676553137957334e-83,1.8831576325751645e-96,9.634388950088979e-101,1.0578338155452654e-96,1.0651544854142207e-85,1.6623933965857702e-91,4.7904229304880195e-41,2.0668978386975942e-38,1.0106064022360716e-50,2.3664573630619229e-50,8.7627188624700566e-51
9.490646416729241e-22,1.2247150885501132,1.301640699074272e-20,2.5505246891715294e-34,6.1678570378875932e-36,6.2163255556787577e-56,4.1482517195840949e-50,0.0,0.0,8.5258142910652853e-22,1.2202042974294497e-39,154.0,0.0,0.99999999999999356,1.0,19.0,2.750795417406108e-16,4.9054618759311244e-15,6.4434349735258398e-16,6.4435736634059127e-16,2.5805284746058133e-24,7.3399002879091673e-28,7.3399911166358124e-28,4.2028050677655832e-28,4.551897851428832e-24,2.8011438127720604e-40,1.8756576554415766e-30,8.1071269147565184e-30,4.7821013282764251e-41,4.7821013282734571e-41,2.5481070320342097e-53,7.4739465202998065e-40,4.2001387020999909e-54,1.3934470381595324e-31,1.2560408940339076e-95,1.16844523859011e-95,1.1684452385901203e-95,1.5274336685360905e-45,4.5759149177596798e-47,3.2076302930351594e-40,1.7620731183375961e-45,1.7953297994413863e-47,1.151944459023268e-55,3.9285346540023935e-68,7.4146087767017153e-81,4.5513337484576234e-81,2.6937955881102804e-94,1.3781684069743569e-98,1.5131967416206664e-94,7.6132788567997547e-84,1.3599410167169863e-89,4.237074829625192e-40,9.0266858842446915e-38,8.9386991801134535e-50,2.0931047354380835e-49,7.7505255982530226e-50
1.9539566152089615e-21,1.2247150885501132,2.6798484980951557e-20,5.3815908403376362e-34,2.5749588988103111e-35,5.3181973904264064e-55,3.4868556282824918e-49,0.0,0.0,1.7553147075515545e-21,5.0941127456969451e-39,154.0,0.0,0.99999999999998668,1.0,19.0,5.6634023299537133e-16,1.0099480317445081e-14,1.3265895533713842e-15,1.3266181071693507e-15,1.0773198389393861e-23,3.0642638838930153e-27,3.0642733909243802e-27,1.7545883819456114e-27,1.9003277462066897e-23,2.3544403820541e-39,7.8305014875081936e-30,3.3845658977746348e-29,4.0196443096104523e-40,4.0196443096054458e-40,4.2977549280078042e-52,6.2823023817229617e-39,7.0841478167634748e-53,5.8173670837294755e-31,1.8391205460274424e-93,1.7108612111331523e-93,1.7108612111331821e-93,1.283900131808443e-44,3.8463322079250702e-46,2.6959151565251812e-39,1.4811284034664205e-44,1.5090828633814349e-46,1.9429226896920175e-54,1.327363062070245e-66,5.014503475291448e-79,3.0780691991099572e-79,3.6450968466375638e-92,1.8648624312387668e-96,2.0475749600241371e-92,5.148864145885277e-82,9.7875942658782072e-88,3.5615166928735456e-39,3.768463665983337e-37,7.5135152576939314e-49,1.7593806442560823e-48,6.5147837679032007e-49
3.963740562281036e-21,1.2247150885501132,5.4362640961402114e-20,1.1446547342797413e-33,1.0519547290046797e-34,4.3971884485752647e-54,2.8587349536127994e-48,0.0,0.0,3.5607812661932848e-21,2.0811112747513104e-38,154.0,0.0,0.99999999999997302,1.0,19.0,1.1488616155048802e-15,2.0487517153081584e-14,2.6910816654040999e-15,2.6911395888192928e-15,4.4012030514018749e-23,1.2518517809710186e-26,1.2518324467511404e-26,7.1680660363810328e-27,7.7634588846916414e-23,1.9301652690281149e-38,3.1990153606088709e-29,1.3827056048874024e-28,3.2955472616555421e-39,3.2955472616473196e-39,7.0590753066927508e-51,5.1506110407146081e-38,1.1635734030166071e-51,2.3765842697267391e-30,2.5148417825276262e-91,2.3394579910270422e-91,2.3394579910271237e-91,1.0526189372838351e-43,3.1534555296458509e-45,2.209796439463439e-38,1.2143181815897248e-43,1.237237290300733e-45,3.1912563119956341e-53,4.3640792843218669e-65,3.2987078353587113e-77,2.0248567051668121e-77,4.7967424475576585e-90,2.4540542918936119e-94,2.6944932192355189e-90,3.3870947712415559e-80,6.6343500941832811e-86,2.9199465554811032e-38,1.5395403694779428e-36,6.1600337553674231e-48,1.4424465414253592e-47,5.3412133369127534e-48
7.983308456425186e-21,1.2247150885501132,1.0949095292243484e-19,2.5187757148264335e-33,4.2521692077331007e-34,3.5757206234919679e-53,2.3150777001416734e-47,0.0,0.0,7.1717143904834652e-21,8.4121845243476871e-38,154.0,0.0,0.9999999999999456,1.0,19.0,2.3139043805238502e-15,4.1263590634788971e-14,5.4200658894499917e-15,5.4201825520888729e-15,1.7790366332836278e-22,5.0601850520163388e-26,5.0599191994520456e-26,2.8974468897529806e-26,3.1381141918590859e-22,1.5628595031978428e-37,1.2930931566049275e-28,5.58911713040394e-28,2.6688196152515161e-38,2.6688196152381873e-38,1.1443065048180781e-49,4.1710983390613788e-37,1.8862026179459002e-50,9.6065336014438667e-30,3.3261190027370101e-89,3.0941571490227e-89,3.0941571490229156e-89,8.5243812206338784e-43,2.5537500467386873e-44,1.7887772308584693e-37,9.8338574816983712e-43,1.0019468092394605e-44,5.1731638724512487e-52,1.415478620098037e-63,2.1403141412124624e-75,1.313796085142117e-75,6.2252463335211482e-88,3.1848891856963059e-92,3.4969316865441064e-88,2.1976625995995191e-78,4.3683540097023732e-84,2.364648413836328e-37,6.2230683246129533e-36,4.9885550441711806e-47,1.1681305941808011e-46,4.3254530362134633e-47
1.6022444244713484e-20,1.224715088550113,2.197475768450266e-19,5.9115363961684672e-33,1.7097785367144586e-33,2.8839482283002798e-52,1.8633759470750133e-46,0.0,0.0,1.43935806670907e-20,3.3825024077438441e-37,154.0,0.0,0.99999999999989075,1.0,19.0,4.6439899105615979e-15,8.2815736839941257e-14,1.0878034337463619e-14,1.0878268478506821e-14,7.1534279829662044e-22,2.0346781534728136e-25,2.0344203224919261e-25,1.1650506431604921e-25,1.2618219014610623e-21,1.2575417324409891e-36,5.1994707103390411e-28,2.247359416179237e-27,2.1480982083010952e-37,2.1480982082796287e-37,1.8428702780887342e-48,3.3572627879227199e-36,3.0376711352001814e-49,3.8627449101318878e-29,4.3273720110610797e-87,4.0255832799481202e-87,4.0255832799486828e-87,6.861163673416443e-42,2.0554802088090811e-43,1.4385203815387685e-36,7.9151343912900685e-42,8.0645391764163211e-44,8.3312205185418162e-51,4.5601526989344834e-62,1.3792100423676387e-73,8.466050471118824e-74,8.0234810906774358e-86,4.1048815336335626e-90,4.5070592331371877e-86,1.4161651642420364e-76,2.8355359200856562e-82,1.9032747446749527e-36,2.5022684031621748e-35,4.0152230930865885e-46,9.4021310630625281e-46,3.4815009024904631e-46
3.210071582129008e-20,1.2247150885501132,4.4026082469231545e-19,1.5275132640084728e-32,6.8569766494027365e-33,2.3165440625686435e-51,1.4952418489305188e-45,0.0,0.0,2.8837313332412665e-20,1.3565347585493526e-36,154.0,0.0,0.99999999999978118,1.0,19.0,9.3041609706363212e-15,1.65920026217196e-13,2.1793971233178233e-14,2.1794440330857945e-14,2.8688445062249576e-21,8.1599694239385528e-25,8.1577250388194118e-25,4.6723740983486997e-25,5.0604700829600212e-21,1.0084830190959805e-35,2.0852203068041948e-27,9.0129164139340367e-27,1.7237135294814033e-36,1.723713529446945e-36,2.9582147028598322e-47,2.6939919017903026e-35,4.8761348099650453e-48,1.5491334745005145e-28,5.5842443404410505e-85,5.1948019700332058e-85,5.1948019700346551e-85,5.5056517720956662e-41,1.6493934178845899e-42,1.1523318964509428e-35,6.3513814063307426e-41,6.4712841307105458e-43,1.3373452676404074e-49,1.4641692518630836e-60,8.8571865435571097e-72,5.4368360159095788e-72,1.0305521012256544e-83,5.2723927300859565e-88,5.7889531619645479e-84,9.0945096487525447e-75,1.8275773933496704e-80,1.5272580887855559e-35,1.003521546264796e-34,3.2219636607712641e-45,7.5446177162682741e-45,2.7936852058046394e-45
