Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285)
6.425725897444327e-20,1.2247150885501135,8.8128732039531496e-19,4.4314624654746823e-32,2.7463672398196184e-32,1.8569968124426047e-50,1.1980130307645762e-44,0.0,0.0,5.7724779111486595e-20,5.4332147374097659e-36,154.0,0.0,0.99999999999956202,1.0,19.0,1.8624503090782694e-14,3.3212859283950696e-13,4.3625845023356912e-14,4.3626784033621761e-14,1.1490341359117283e-20,3.2682439841963517e-24,3.26637590488802e-24,1.8713866867750143e-24,2.0268274758232384e-20,8.070298383753918e-35,8.3517576781591822e-27,3.6098676770031851e-26,1.3810683995887866e-35,1.3810683995335635e-35,4.7408561940841039e-46,2.1584717393366862e-34,7.814529641877289e-47,6.2046141356918573e-28,7.1769096775831651e-83,6.6763956337293656e-83,6.6763956337330905e-83,4.411221221417731e-40,1.3215218708174338e-41,9.2009466531908351e-35,5.0888093003122511e-40,5.1849010941353549e-42,2.1432390597730707e-48,4.6932304226710315e-59,5.6782975381980872e-70,3.4855280985673619e-70,1.3213813844347644e-81,6.7603002697861954e-86,7.4226258095190213e-82,5.8304441834223549e-73,1.1737728995936933e-78,1.2236649342274925e-34,4.0193205249064221e-34,2.5814917137686722e-44,6.0448746325637736e-44,2.2383477649184997e-44
1.2857034528074965e-19,1.2247150885501132,1.763340311835e-18,1.4364280680659572e-31,1.0992626199099454e-31,1.4871035657142301e-49,9.5913886827548239e-44,0.0,0.0,1.1549971246335439e-19,2.1747018760035428e-35,154.0,0.0,0.99999999999912359,1.0,19.0,3.7265187331063109e-14,6.6454567755534212e-13,8.7289592598712153e-14,8.7291471431400734e-14,4.599130629359183e-20,1.3081493203759687e-23,1.3066264169238765e-23,7.4904233216717438e-24,8.1125912913714273e-20,6.445448687699482e-34,3.342879601789252e-26,1.4448878288201863e-25,1.1056944679196992e-34,1.10569446783127e-34,7.5915444561291896e-45,1.7280897000051147e-33,1.2513427937694497e-45,2.4834626236997687e-27,9.2050997125803897e-81,8.5631407236727115e-81,8.5631407236822659e-81,3.5316591929391264e-39,1.0580210383655926e-40,7.3160471599942184e-34,4.0741019744136949e-39,4.151071794369941e-41,3.4319735528975456e-47,1.5030968512338728e-57,3.6372161938816934e-68,2.2326444088009217e-68,1.6928251169037172e-79,8.6606382361514697e-84,9.5091145377751215e-80,3.7346732662237048e-71,7.5253675611108125e-77,9.7967591168995087e-34,1.6087756745255109e-33,2.0667630246108139e-43,4.8395743857011957e-43,1.7920391945264458e-43
2.571965178933624e-19,1.224715088550113,3.5274462948491163e-18,5.0729596372204382e-31,4.3984823356978796e-31,1.1902856234169398e-48,7.676025967074196e-43,0.0,0.0,2.3104958634196986e-19,8.7016405398209527e-35,154.0,0.0,0.99999999999824685,1.0,19.0,7.4546555811574663e-14,1.329379652871923e-12,1.7461708772941401e-13,1.7462084619600485e-13,1.840251009216848e-19,5.2343012067702541e-23,5.2220143989395492e-23,2.997144681483607e-23,3.2460926889115235e-19,5.133369357348373e-33,1.3375872706760197e-25,5.7814333636466248e-25,8.8489161671600682e-34,8.8489161657446302e-34,1.2151407618354249e-43,1.3829967461602639e-32,2.0029630591364744e-44,9.9370853571708933e-27,1.1794481797806109e-78,1.09719406149456e-78,1.0971940614970083e-78,2.8264007000091377e-38,8.4673838462673742e-40,5.7761193979530399e-33,3.2604562723706652e-38,3.3221162734768972e-40,5.4933883340926613e-46,4.8119291361091564e-56,2.3288113872971622e-66,1.4295019736596226e-66,2.1677478468406519e-77,1.1090383632984017e-81,1.2176821795235387e-77,2.3912105237998953e-69,4.8204701584222241e-75,7.8403835064190586e-33,6.4371982206925987e-33,1.6540385449511927e-42,3.8731289728323314e-42,1.434175947019325e-42
5.14448863118588e-19,1.2247150885501132,7.0556582614163312e-18,1.8945894489731512e-30,1.7596793463989683e-30,9.5246971415140443e-48,6.1419870315731366e-42,0.0,0.0,4.6214936279872025e-19,3.4812231171267664e-34,154.0,0.0,0.99999999999649325,1.0,19.0,1.4910929277240071e-13,2.6590468270451773e-12,3.4927207791078322e-13,3.4927959560172092e-13,7.3621998796961432e-19,2.0940613054295592e-22,2.0842068100283406e-22,1.1990527788990886e-22,1.2986480150858954e-18,4.0681058635239869e-32,5.3512200650555769e-25,2.3129498056406765e-24,7.0804773816254175e-33,7.0804773793602609e-33,1.9446184403097837e-42,1.1066071774917081e-31,3.2053919023287571e-43,3.9754812090008464e-26,1.5104592062520895e-76,1.4051205468462787e-76,1.4051205468525497e-76,2.261549990909298e-37,6.7751935645202383e-39,4.5002661734222197e-32,2.6087587657649021e-37,2.6581933516040249e-39,8.7911957047775053e-45,1.5401386571574194e-54,1.4907553865957113e-64,9.1507529674767322e-65,2.7753104434809483e-75,1.419872600392538e-79,1.5589463212893289e-75,1.5306993071326052e-67,3.0864567443654216e-73,6.2734960776363842e-32,2.575298449640351e-32,1.3234821323053215e-41,3.0990894316674407e-41,1.147558585637431e-41
1.028953553569039e-18,1.2247150885501135,1.4112082196706692e-17,7.3091251129418936e-30,7.0392902515341517e-30,7.6207234637457666e-47,4.914056178856254e-41,0.0,0.0,9.243490305102988e-19,1.392602805825514e-33,154.0,0.0,0.99999999999298617,1.0,19.0,2.9823476669326439e-13,5.3183780695556853e-12,6.9858205795338381e-13,6.9859709392175308e-13,2.9451176632752999e-18,8.3769268287146543e-22,8.2982511559942636e-22,4.7965994196912776e-22,5.1950113690292668e-18,3.1935187455402399e-31,2.1406622336020464e-24,9.2525521716439791e-24,5.6649197276815995e-32,5.6649197240569856e-32,3.1116983727968041e-41,8.8536924912415103e-31,5.1291452712770102e-42,1.5903219072259651e-25,3.3855073262519172e-74,3.1494037618592045e-74,3.1494037618872688e-74,1.8094117848590045e-36,5.4206694965736487e-38,3.4202732236349764e-31,2.0870425728006918e-36,2.1267495396700224e-38,1.4067298897793098e-43,4.9289462142659458e-53,9.5418236464999616e-63,5.8570891076105879e-63,3.5527687380991265e-73,1.817626947056406e-77,1.9956084773354346e-73,9.7974912869711117e-66,2.6107333868423669e-71,5.0192702745156464e-31,1.0302032158151506e-31,1.0588862231923588e-40,2.4795034189840489e-40,9.1813392087876409e-41
2.0579629344699414e-18,1.224715088550113,2.8224930075911135e-17,2.8697991277030954e-29,2.8158306786035447e-29,6.0969663285054917e-46,3.9314315754414192e-40,0.0,0.0,1.8487488251257698e-18,5.5706397146383251e-33,154.0,0.0,0.999999999985972,1.0,19.0,5.9648571453183828e-13,1.0637028131261716e-11,1.3972020167580343e-12,1.3972320886164243e-12,1.1780934299092898e-17,3.3509069882040454e-21,3.2884412532521343e-21,1.9187162025993405e-21,2.0780863319929416e-17,2.4620691176097568e-30,8.5629973517016582e-24,3.7011714439122639e-23,4.5321508998178578e-31,4.5321508940182084e-31,4.978946112661902e-40,7.0832814143036285e-30,8.2070385824560975e-41,6.3615464946457114e-25,4.3483801326815713e-72,4.0451263081493482e-72,4.0451263082215608e-72,1.4475981507045167e-35,4.3367414580870573e-37,2.4862436294931551e-30,1.6694532017036982e-35,1.7014691054276751e-37,2.2508678431459911e-42,1.5773357134084707e-51,6.1070549119407099e-61,3.7487137042703137e-61,4.5477603522571476e-71,2.3266732434816169e-75,2.5543687544667999e-71,6.2706899699630384e-64,1.6773689417668287e-69,4.0156018387645739e-30,4.1209805229243326e-31,8.4714916856354814e-40,1.9836912451453434e-39,7.34541818477845e-40
4.115981696271746e-18,1.2247150885501132,5.6450625868814888e-17,1.1371490344809904e-28,1.126355188025506e-28,4.8777300645025013e-45,3.145219916808571e-39,0.0,0.0,3.6975502511259814e-18,2.2283026771826168e-32,154.0,0.0,0.99999999997194366,1.0,19.0,1.1929876101963719e-12,2.1274278561645987e-11,2.7944419292451316e-12,2.7945020703806509e-12,4.7124570154874028e-17,1.3403899915651501e-20,1.2912453441858335e-20,7.6750078537248145e-21,8.3124922568846525e-17,1.8357982304313663e-29,3.4252686173160274e-23,1.4804986772130375e-22,3.6258067327883371e-30,3.6258067235087425e-30,7.9664378989702849e-39,5.6667455033289251e-29,1.3131559590349623e-39,2.5446703790577945e-24,5.5663378877990879e-70,5.1781443103060855e-70,5.1781443104909665e-70,1.1581060141608318e-34,3.469475499602439e-36,1.679620307974447e-29,1.3351782479927785e-34,1.3611895166986822e-36,3.6014338508563171e-41,5.0475430803373824e-50,3.9085703995673571e-59,2.3992107239489642e-59,5.8212171365708306e-69,2.9781848103491092e-73,3.2693021934145113e-69,4.0132983905606729e-62,1.0736276902793181e-67,3.2125497111473318e-29,1.6484257271938164e-30,6.7773538078790773e-39,1.5869816099851268e-38,5.8764710223266602e-39
8.232019219875353e-18,1.2247150885501135,1.1290201759260192e-16,4.527054511480632e-28,4.505466590303424e-28,3.902250011597043e-44,2.5162057988586657e-38,0.0,0.0,7.3951604502036012e-18,8.9133130302184475e-32,154.0,0.0,0.999999999943887,1.0,19.0,2.3859914014749826e-12,4.2548580652160509e-11,5.5889217337305163e-12,5.5890420045822863e-12,1.8849919175575897e-16,5.361613915986577e-20,4.9814021422228345e-20,3.0700238894371068e-20,3.3250129746653804e-16,1.2919450865423304e-28,1.3701213761575655e-22,5.9220547811724647e-22,2.9006797335709063e-29,2.9006797187236306e-29,1.2746211588467968e-37,4.5334275919111445e-28,2.1010647009987534e-38,1.0178785132230918e-23,7.1250839837553735e-68,6.628184252839415e-68,6.6281842533127201e-68,9.2649581505581207e-34,2.7756133108635648e-35,1.0220281070381166e-28,1.0674902429681427e-33,1.0889356148655612e-35,5.7622193166247516e-40,1.6151941477405245e-48,2.5014555896920217e-57,1.5354768212648539e-57,7.4510718674845766e-67,3.812032887640241e-71,4.1837962085897428e-67,2.5684808082347939e-60,6.871377266485373e-66,2.5700574501623176e-28,6.5937698304882983e-30,5.4219467437975588e-38,1.2695858683479834e-37,4.7012277990202412e-38
1.2348056743478962e-17,1.2247150885501132,1.6935340945436849e-16,9.6065272619212352e-28,9.5741451585760761e-28,1.1584863929185265e-43,7.1947983828960965e-38,0.0,0.0,1.1092777996358535e-17,1.8940864305371625e-31,154.0,0.0,0.99999999991583033,1.0,19.0,3.5789951927031365e-12,6.3822683974278151e-11,8.3834015177270913e-12,8.3835819105575945e-12,4.0056050280487606e-16,1.1393462792297612e-19,1.0326871103759844e-19,6.5238048904867626e-20,7.0656476378636207e-16,3.442927190486103e-28,2.9115166233618701e-22,1.2584403811874559e-21,8.2941562665473771e-29,8.2941562118998513e-29,4.6914211559712383e-37,1.2962771887812187e-27,7.7333148370953406e-38,2.1629983221232994e-23,3.6762829246530676e-67,3.4199008259409484e-67,3.4199008262315329e-67,2.6492075395533111e-33,7.9365434516732876e-35,2.5352057806262973e-28,3.0512726056503172e-33,3.1136372589654872e-35,2.120859158291761e-39,7.3743432473698439e-48,1.3743670974900097e-56,8.4363234447527474e-57,4.8069435231592482e-66,2.4592741395033424e-70,2.6989432037272741e-66,1.4111925763746172e-59,3.4099232998084928e-65,7.348759362998622e-28,1.4011802587822696e-29,1.550342515963139e-37,3.6302093616908373e-37,1.3442606307330958e-37
1.646409426708257e-17,1.224715088550113,2.2580480145411457e-16,1.6375567325665471e-27,1.6332390896890572e-27,2.524288727479059e-43,1.5175940067343083e-37,0.0,0.0,1.4790402889590884e-17,3.2310964483166641e-31,154.0,0.0,0.99999999988777366,1.0,19.0,4.7719989838808337e-12,8.5096588529856012e-11,1.1177881281234869e-11,1.1178121789338473e-11,6.8330784286730552e-16,1.9435936234027271e-19,1.7224469439069972e-19,1.1128836912546996e-19,1.2053141565614775e-15,6.831569662957937e-28,4.9667125983157932e-22,2.1467545657746196e-21,1.7494806965343403e-28,1.7494806826746284e-28,1.1898377617614962e-36,2.7342215210761019e-27,1.9613346447907082e-37,3.6898264684330515e-23,2.0055499691686496e-66,1.8656839359177322e-66,1.8656839360794949e-66,5.5879563991105519e-33,1.6740496841758433e-34,4.7573462460157275e-28,6.4339410343104653e-33,6.5674829312142588e-35,5.3789068269500579e-39,2.1980653275566566e-47,4.7253263241022916e-56,2.9005628626473261e-56,1.8772282439851713e-65,9.60407015078468e-70,1.0539422001078242e-65,4.851939135833992e-59,1.4425306620600173e-64,1.5500647682497859e-27,2.3902523900659184e-29,3.2701266847886543e-37,7.6571303045205699e-37,2.8354382623160957e-37
2.4696169314289788e-17,1.2247150885501132,3.3870758577743615e-16,3.3878958618236424e-27,3.3814193091274128e-27,7.327259958419068e-43,4.1450275573531019e-37,0.0,0.0,2.2185669919196795e-17,6.6895948316387911e-31,154.0,0.0,0.99999999983166021,1.0,19.0,7.1580065661178095e-12,1.27643931153873e-10,1.6766840760164464e-11,1.6767201486028797e-11,1.4146962566984467e-15,4.0239694675862006e-19,3.4367216486203482e-19,2.30407952911742e-19,2.4954395639380053e-15,1.6953638785837697e-27,1.0282963384129781e-21,4.444589377368095e-21,4.7783825041397614e-28,4.7783824556722187e-28,4.1608675770398894e-36,7.4679875293683158e-27,6.8588668637481234e-37,7.6393288696629464e-23,2.7853739091146247e-65,2.5911233525301648e-65,2.5911233527857047e-65,1.5262474340345218e-32,4.5723567248798265e-34,1.0939916573126947e-27,1.7563629806791145e-32,1.7937450247856775e-34,1.880997658917382e-38,9.6212238149650251e-47,2.5413378922767898e-55,1.5599579642353177e-55,1.2210047535045061e-64,6.2467919380207255e-69,6.8544485359931405e-65,2.6094318537193235e-58,1.2993485764785983e-63,4.2336966000977237e-27,4.9487214874646722e-29,8.9317446661484874e-37,2.0913826648717695e-36,7.7444677686542912e-37
3.2928244361497e-17,1.2247150885501135,4.5161037060815781e-16,5.7595491848889938e-27,5.750913639939246e-27,1.6023931876376535e-42,8.6727937226986598e-37,0.0,0.0,2.9580963966627624e-17,1.1377274508384105e-30,154.0,0.0,0.99999999977554677,1.0,19.0,9.5440141481692399e-12,1.701905428578587e-10,2.2355800163749449e-11,2.2356281090386471e-11,2.4060169236692553e-15,6.8437233543166192e-19,5.6450656947525953e-19,3.9186257165091813e-19,4.2440699156611021e-15,3.268196911742453e-27,1.7488642657150162e-21,7.5590888205334399e-21,9.9979844539337281e-28,9.9979843328277087e-28,1.0396761852679841e-35,1.5625483726703337e-26,1.7138401472948215e-36,1.2992508993638822e-22,1.2803990746810246e-64,1.1911046963834106e-64,1.1911046965159202e-64,3.1934243974475243e-32,9.5669092921960455e-34,1.9888957484910105e-27,3.6731426347025148e-32,3.7530416572678778e-34,4.7000326823747518e-38,2.8031301727931952e-46,8.4696841516456094e-55,5.1989746997612586e-55,4.5839793226899805e-64,2.3452158238389432e-68,2.5731600992355245e-64,8.6966255111339099e-58,5.1252680127996365e-63,8.8582843854304046e-27,8.4164862762215123e-29,1.8688214657617824e-36,4.3758380836439021e-36,1.6204020689716781e-36
