Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473),C7H15(65),S(3676),C7H15(64),S(3721)
0.0,0.36473506932613786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3585132550403213e-22,0.36473506932613786,5.6446636141454726e-22,1.5269896710135302e-35,2.3116278489646533e-37,6.7541690219744437e-52,2.4413408547663165e-51,0.0,0.0,1.99704412136692e-22,3.1713967993845098e-40,154.0,0.0,0.99999999999999911,1.0,19.0,3.5514511973334092e-17,3.1603746049838907e-16,2.611118202886539e-16,2.6111235169798685e-16,5.7803190520300678e-26,3.4891956956929024e-28,3.4891921980396094e-28,2.0803224495007677e-28,9.2004946681697308e-26,4.1905074418737411e-41,6.5498778378686198e-31,5.5249067458108858e-31,9.8142605982565398e-43,9.8142605982474608e-43,7.8191730425616072e-55,3.2675107805319145e-42,1.2597601530873387e-55,4.7663640953551908e-32,1.557098113350117e-98,1.4569294973796519e-98,1.4569294973796545e-98,1.019997515396011e-45,3.3855018946702111e-48,4.9968133851577653e-41,6.7977085362091352e-46,9.2031539716488423e-49,1.9291848843424228e-57,2.5763551521293473e-70,7.4353162697059066e-83,7.9543112889372976e-84,7.3686567808976498e-97,2.1733883269250386e-100,1.0182444412022548e-97,7.6391641558023549e-86,2.6672412202997759e-92,2.0528521018293634e-42,3.5581199940146955e-39,4.7546591165618738e-51,1.7749661868371563e-51,8.5300256777899018e-52,1.1076384397924722e-55,9.4379020352433133e-64,5.7103086253325821e-64,9.1084740550278975e-70,2.187870259893947e-82,3.2306331460782225e-70,4.3170434639542562e-82,1.6115990899184477e-82,2.5738953347623316e-82,2.883632781558084e-83,2.883632781557734e-83,7.3211087210581431e-97,3.6775941730962717e-73,1.561403435754165e-75,1.7972044662367755e-87,5.6140175222789418e-99,1.2007878617885107e-99,1.1196947381831269e-111,4.1888627893896944e-112,2.5682482946659173e-126,1.4124160747945232e-74,2.0557339323312177e-84,3.6666408840723413e-96,4.3012638007750092e-127,1.2413372702811364e-139,6.0465272390744274e-140,2.8645360309997364e-86,1.3532792113104803e-44,9.0418266740865421e-57,9.0418259651341325e-57,5.5860874642817818e-57,1.132883322780828e-89,1.159951800301826e-99,8.9905965461240828e-97,1.5500250947043031e-111,9.2415152075468872e-112,5.7864121833629302e-112,9.9076628881031413e-24,8.1473960382938755e-38,2.2285357009290594e-22,2.0644546218559709e-35
6.6038371141129e-22,0.36473506932613786,1.5805058119614834e-21,4.3504678211452252e-35,1.396223220775191e-36,1.0206900225988793e-50,2.8983601732268784e-50,0.0,0.0,5.5917235429002559e-22,1.9155236677655972e-39,154.0,0.0,0.99999999999999756,1.0,19.0,9.9440633525335265e-17,8.8490488890116296e-16,7.3111309680709662e-16,7.3111458475255684e-16,3.4913127057987398e-25,2.1074742001814588e-27,2.1074659064317807e-27,1.2565147591555822e-27,5.5570987769841633e-25,4.9749232293682185e-40,3.9561262140644846e-30,3.3370436744597216e-30,1.1651490182218014e-41,1.1651490182197706e-41,1.749117730119139e-53,3.8791887969903206e-41,2.8180330708474248e-54,2.8788839135914603e-31,1.659208870581393e-96,1.5524714371807777e-96,1.5524714371807827e-96,1.2109413300740969e-44,4.0192678493432663e-47,5.9320541665186227e-40,8.070239150158591e-45,1.0925984374810048e-47,4.3155094112066491e-56,1.0631401654761044e-68,5.5971204927480196e-81,5.9878069884501818e-82,1.0058180176087006e-94,2.966665804841493e-98,1.3898986161481596e-95,5.750572093107397e-84,2.050463409737244e-90,2.4371460142506654e-41,2.1491044763763877e-38,5.6447313031258462e-50,2.107239855241986e-50,1.0126846385158439e-50,1.3150869224836815e-54,2.1111985290597702e-62,1.2773589046039317e-62,2.0376751106374221e-68,9.0289386124260194e-81,7.2273146013038999e-69,1.781564478245143e-80,6.6507718438295976e-81,1.0621993248208464e-80,1.1900222828985682e-81,1.1900222828983065e-81,5.5115278606705726e-95,1.5175738501138574e-71,6.4431749942468674e-74,1.3528906633982759e-85,7.6631062488572041e-97,1.6390695130938287e-97,2.7622769836086936e-109,1.0333887340271345e-109,1.1430204849015099e-123,4.4757777639702216e-73,1.1931448719135384e-82,2.760346029216962e-94,1.9143135986765762e-124,9.9568298716350113e-137,4.8499504909060424e-137,1.1821486522072215e-84,1.6066130792635827e-43,2.0226203304026156e-55,2.0226200378514733e-55,1.2495854211089458e-55,4.6752013867574807e-88,8.7324296188700683e-98,6.9373157853168649e-95,2.1159213755132292e-109,1.2615486014061495e-109,7.8989636137738108e-110,2.7741456086690417e-23,4.9210272071297283e-37,6.2398999626006869e-22,1.246930591600812e-34
1.5094484832258056e-21,0.36473506932613786,3.6125847130583621e-21,1.0297011090642715e-34,6.7222137847973156e-36,1.0980117495580737e-49,2.84562734115396e-49,0.0,0.0,1.2781082398258444e-21,9.2224219066536061e-39,154.0,0.0,0.99999999999999445,1.0,19.0,2.272928766293369e-16,2.0226397437294047e-15,1.6711156498394467e-15,1.6711190508544726e-15,1.6809167778892129e-24,1.0146581082819165e-26,1.0146478194677777e-26,6.049577678005014e-27,2.6755038456182272e-24,4.8843091397304733e-39,1.9047044752399537e-29,1.6066428816667268e-29,1.1439502153228177e-40,1.1439502153188053e-40,3.4559618710191744e-52,3.8086105606507827e-40,5.5679584636061826e-53,1.386058678924678e-30,3.7759711821654446e-94,3.5330617572434756e-94,3.533061757243499e-94,1.1889095012756379e-43,3.9461410083990552e-46,5.8237813893442695e-39,7.9234077553159445e-44,1.0727196206326387e-46,8.5267193378367233e-55,4.2056767531240934e-67,4.4254748559172433e-79,4.7343789192861083e-80,1.5889459482664549e-92,4.6866058253121563e-96,2.1956990671068182e-93,4.5468044217164142e-82,2.1428012859525494e-88,2.392804406664727e-40,1.0347012942467415e-37,5.5420306660896557e-49,2.068900581887026e-49,9.9425976215393482e-50,1.2913689223781764e-53,4.1712756479498251e-61,2.5237841361487204e-61,4.0267335303478337e-67,3.5723098374442983e-79,1.4282193411198807e-67,7.0487797165235484e-79,2.6313841185777088e-79,4.2026037795022388e-79,4.7083368046125252e-80,4.7083368046106615e-80,4.358467810334236e-93,6.0033787263542337e-70,2.5488559503723814e-72,1.0696899662489623e-83,1.210582972970095e-94,2.5893281123822095e-95,8.7196871494863446e-107,3.2621009891972174e-107,7.2115674748902563e-121,1.0289196443927086e-71,5.5105488633228422e-81,2.1828573887064282e-92,1.2077825259782428e-121,1.2558258724300801e-133,6.1171009096631812e-134,4.6771972815708228e-83,1.5773822474504171e-42,3.9963563731540234e-54,3.9963552158512819e-54,2.4689702176565678e-54,1.8497487879539222e-86,6.905528622016088e-96,7.5578589393285915e-93,3.3431482246355846e-107,1.9932423656324673e-107,1.2480331134314429e-107,6.3409042483871403e-23,2.3692627679362e-36,1.4262628485941211e-21,6.0034340403542377e-34
3.207578026854837e-21,0.36473506932613786,7.6767425152641409e-21,2.3388445506611979e-34,2.9357673681934845e-35,1.0092619686020537e-48,2.5169252115762378e-48,0.0,0.0,2.7159800158140889e-21,4.0276739497220313e-38,154.0,0.0,0.99999999999998812,1.0,19.0,4.8299736283733757e-16,4.2981094454766653e-15,3.5511207558860039e-15,3.5511279830294067e-15,7.3410051708531672e-24,4.4312785332656676e-26,4.4311782848323704e-26,2.6420095055513194e-26,1.168462818842508e-23,4.3199382620410116e-38,8.3183448539666629e-29,7.0166315670240148e-29,1.0118110106169318e-39,1.0118110106097912e-39,6.1496994547074945e-51,3.3686729035090292e-39,9.907884572512854e-52,6.0532824010534399e-30,6.3812243678515668e-92,5.9707181783952284e-92,5.9707181783953054e-92,1.0515770386410217e-42,3.490317033269262e-45,5.1504558355646634e-38,7.008162832062994e-43,9.4880834862533388e-46,1.5172841362209439e-53,1.5009761484507017e-65,3.1631443568845625e-77,3.3839360632636531e-78,2.2729353568930411e-90,6.7040374512737824e-94,3.1408756434677277e-91,3.2498656566347555e-80,1.7278563759965218e-86,2.1164083961240847e-39,4.5188123922671025e-37,4.9018633624434161e-48,1.8299191284518727e-48,8.7941146249399249e-49,1.1425725954696874e-52,7.4222158166706653e-60,4.4907180763597679e-60,7.1676126842332745e-66,1.2753269953436766e-77,2.5422400037232293e-66,2.5164384946828582e-77,9.3941229889705377e-78,1.5003441622881168e-77,1.6808926317197751e-78,1.6808926317185203e-78,3.1162083507278408e-91,2.1425644749094444e-68,9.0966858231883114e-71,7.6456965865191082e-82,1.7316994706786491e-92,3.70394943650527e-93,2.4954626147021115e-104,9.3357146346771225e-105,4.1283854431919669e-118,2.0396922654498476e-70,2.1925822329348859e-79,1.5606948861722447e-90,6.9141581440894357e-119,1.4379539378401436e-130,7.0042428129620291e-131,1.6697778191651647e-81,1.3951767330611892e-41,7.1113006428651721e-53,7.1112965125373575e-53,4.3934005810935013e-53,6.6036675711885029e-85,4.937300649372848e-94,6.1820436014935079e-91,4.78372884205456e-105,2.8521414791739165e-105,1.7858164034237856e-105,1.3474421527825925e-22,1.0347192968636749e-35,3.0308085532611362e-21,2.6218573697540588e-33
6.603837114112899e-21,0.3647350693261378,1.580505811972379e-20,5.4364705846750771e-34,1.225625085528597e-34,8.6344486274147723e-48,2.115627317877561e-47,0.0,0.0,5.5917235874570046e-21,1.681474596083631e-37,154.0,0.0,0.99999999999997558,1.0,19.0,9.9440633525332808e-16,8.8490488173342945e-15,7.3111309679065485e-15,7.3111458472636857e-15,3.0647251386838257e-23,1.8499715576184921e-25,1.8498834794019235e-25,1.102986957942119e-25,4.8781022369281622e-23,3.6308692331868951e-37,3.4727452295241108e-28,2.9293055564887049e-28,8.5048812058999246e-39,8.5048812057794897e-39,1.0372366842743767e-49,2.8315725426636781e-38,1.671109543564237e-50,2.5271262433144348e-29,9.3435181123608784e-90,8.7424466258732145e-90,8.742446625873443e-90,8.8391388262765703e-42,2.9338217737821448e-44,4.328237840594986e-37,5.8907804459408776e-42,7.9753057412325732e-45,2.5591214266218568e-52,5.0714590899805677e-64,2.1392360275378525e-75,2.2885575632267896e-76,3.0756117736193471e-88,9.0715371541128763e-92,4.2500603778413232e-89,2.197885683696694e-78,1.2360160492892552e-84,1.7789687735146231e-38,1.8865152207081884e-36,4.1203115152004285e-47,1.5381572771358091e-47,7.391982596605377e-48,9.6102592156746625e-52,1.2517483212295953e-58,7.5735068713183084e-59,1.2096838264630909e-64,4.3117115120415373e-76,4.2905591455850209e-65,8.5077429479265311e-76,3.1760220065077025e-76,5.0724650273493015e-76,5.6828756469359805e-77,5.6828756469277555e-77,2.108788924369663e-89,7.2392431663803934e-67,3.0735645329024027e-69,5.1707882845968511e-80,2.3432410101493063e-90,5.0119817913159257e-91,6.7548036170533754e-102,2.5270232085635012e-102,2.2351953016571482e-115,3.9108235083625045e-69,8.4158812549050322e-78,1.0561476383669072e-88,3.743471633500368e-116,1.5571555166172319e-127,7.5848711486002921e-128,5.6453014255176272e-80,1.172730107280057e-40,1.199424119873919e-51,1.1994227243318429e-51,7.4101122172375068e-52,2.2326126538702518e-83,3.3411517287089503e-92,4.4490367674039262e-89,6.4770433777654319e-103,3.8617253432119358e-103,2.417946088992069e-103,2.7741456086713827e-22,4.3197493795065854e-35,6.2398999625908063e-21,1.0945738405053144e-32
1.3396355288629024e-20,0.3647350693261379,3.2061689328835461e-20,1.3549079256225452e-33,5.0070783860352208e-34,7.1391290987910985e-47,1.7345191045496043e-46,0.0,0.0,1.1343210809408545e-20,6.8693724338145871e-37,154.0,0.0,0.99999999999995037,1.0,19.0,2.0172242800852665e-15,1.7950927434501995e-14,1.4831151391657354e-14,1.4831181575269915e-14,1.252040208724458e-22,7.5577374426845726e-25,7.5569998728446911e-25,4.5060615980190079e-25,1.9928639165095752e-22,2.9763154668725372e-36,1.4187297390973197e-27,1.1967169006508975e-27,6.9728154555419169e-38,6.9728154553441021e-38,1.7036643203895647e-48,2.3214942296561501e-37,2.7448024227159185e-49,1.0324135284740043e-28,1.2776470685242187e-87,1.1954556269880581e-87,1.1954556269881204e-87,7.2468601261131451e-41,2.4053243440964833e-43,3.5468619115742081e-36,4.8296133076372695e-41,6.538637282987725e-44,4.203364496291343e-51,1.6673847404838171e-62,1.407260868651964e-73,1.5054895593682907e-74,4.0473320459051179e-86,1.1937632786272933e-89,5.5928384685702206e-87,1.4458425703093849e-76,8.3546412653304397e-83,1.4585060704703294e-37,7.7070302308331277e-36,3.3780803183113442e-46,1.2610742489333193e-46,6.0603929029970401e-47,7.8893174664794597e-51,2.0556165652228977e-57,1.243705921653356e-57,1.9894099761735742e-63,1.4193520384014933e-74,7.0561257252088042e-64,2.80062256665779e-74,1.0454955061916171e-74,1.6697811100845717e-74,1.8707194290428803e-75,1.870719429037548e-75,1.3889365415689141e-87,2.3801050894541184e-65,1.0105207653204038e-67,3.4015172182965799e-78,3.0835733987352146e-88,6.5954861856837857e-89,1.7779753428282234e-99,6.651540555095877e-100,1.1767421823081484e-112,7.7854258367810281e-68,3.3476249642794562e-76,6.9562298590790589e-87,1.970790192803374e-113,1.6396050508152475e-124,7.9864810629332392e-125,1.8583511170616701e-78,9.6147499111493419e-40,1.9700555026544293e-50,1.9700509144328109e-50,1.2171131516390692e-50,7.3494338475620393e-82,2.200622199073984e-90,3.0156340480966065e-87,8.5338555102130128e-101,5.0880338842494982e-101,3.1857684158809401e-101,5.6275525204530984e-22,1.7647585714812939e-34,1.2658082781232699e-20,4.471691289101862e-32
2.6981391637661274e-20,0.3647350693261378,6.4574951747828248e-20,3.7443723015356686e-33,2.0239411399578049e-33,5.8054212191230153e-46,1.4046585447267699e-45,0.0,0.0,2.2846185567974459e-20,2.7767102157770742e-36,154.0,0.0,0.99999999999990008,1.0,19.0,4.0628601697489694e-15,3.6154684162647138e-14,2.9871192237997823e-14,2.9871253029433276e-14,5.0609466272547925e-22,3.0549583113157949e-24,3.0543548262195598e-24,1.8214221267029701e-24,8.0554744540609107e-22,2.4095033554940761e-35,5.7347324403974857e-27,4.8373210505046366e-27,5.6467667378055674e-37,5.6467667374849016e-37,2.761713123096877e-47,1.880006188075923e-36,4.4494429419482562e-48,4.1731805506613669e-28,1.6898105567814916e-85,1.5811045071980212e-85,1.5811045071981858e-85,5.868695250310787e-40,1.9478940159392422e-42,2.8696089001824488e-35,3.9111389332750731e-40,5.2951576550580456e-43,6.813834557435114e-50,5.4081221051009162e-61,9.1307881072498028e-72,9.768129329324384e-73,5.2526560131761281e-84,1.5492744043959347e-87,7.2584202960376071e-85,9.38111933687294e-75,5.4936489852662628e-81,1.1811360126602001e-36,3.1153048436949963e-35,2.7356570234655241e-45,1.0212505925239016e-45,4.9078616236109686e-46,6.4055697135647779e-50,3.3309993549683188e-56,2.0153074998459809e-56,3.2330267556884891e-62,4.6150230564793318e-73,1.1467039741752662e-62,9.1062154377055091e-73,3.3994009692993279e-73,5.4292944610574701e-73,6.0826461544818483e-74,6.0826461544474108e-74,9.0340162639774037e-86,7.7198142437305609e-64,3.2775998313438751e-66,2.2070203965141338e-76,4.0018834424551604e-86,8.5596687670214282e-87,4.615184795178819e-97,1.7265756715492136e-97,6.1092276204721964e-110,1.6889448649408334e-66,1.4494076359090629e-74,4.524518709249517e-85,1.0231642972905096e-110,1.7024722250960626e-121,8.2927057221392466e-122,6.0424315106607791e-77,7.7862736892150162e-39,3.1935376811003737e-49,3.19352279941344e-49,1.9729928510451295e-49,2.3896691672582033e-80,1.4313437715865273e-88,1.9856101742696459e-85,1.1102372222773145e-98,6.6194325111887325e-99,4.144602823257908e-99,1.1334366344033069e-21,7.1334363065582347e-34,2.5494448418446714e-20,1.8075291152377951e-31
5.415146433572577e-20,0.36473506932613786,1.2960147658889167e-19,1.1591071621326126e-32,8.1381783078198585e-33,4.6822825284716349e-45,1.1305914007140779e-44,0.0,0.0,4.5852136343757631e-20,1.1165030025135455e-35,154.0,0.0,0.99999999999979938,1.0,19.0,8.154131949075688e-15,7.2562195594176595e-14,5.9951273926034228e-14,5.9951395930365191e-14,2.0349843152969743e-21,1.2283853001076859e-23,1.227897150053684e-23,7.323858126164495e-24,3.2390707457789384e-21,1.9381008549659047e-34,2.3059106916900996e-26,1.9450655186975812e-26,4.545009127318288e-36,4.5450091268018658e-36,4.4476533429761036e-46,1.513192492089133e-35,7.1656904740355046e-47,1.6780175449839253e-27,2.1984898613445833e-83,2.0570603106152633e-83,2.057060310615692e-83,4.7236365178624936e-39,1.5678345667277989e-41,2.3053253545612291e-34,3.1480133820256373e-39,4.2620029980266059e-42,1.0973469122761046e-48,1.7422983607537653e-59,5.8838436317909215e-70,6.2945437875276981e-71,6.7699462586566909e-82,1.9968001918203764e-85,9.3550862297663685e-83,6.0451560839375101e-73,3.5636133564731986e-79,9.5068099127996171e-36,1.2526503757040632e-34,2.2018947677385465e-44,8.219912756528977e-45,3.9502713117525346e-45,5.1824755204623949e-49,5.3604703552813981e-55,3.243038085882566e-55,5.2328035852706912e-61,1.4941292190798165e-71,1.855993506972015e-61,2.9481622419820869e-71,1.1005496158788337e-71,1.7577531604009504e-71,1.9692784601400856e-72,1.9692784601178153e-72,5.8499957174233262e-84,2.4870410084139758e-62,1.055922413834618e-64,1.4221953194818183e-74,5.1578740860793127e-84,1.1032228746347741e-84,1.1896989237524708e-94,4.4507542542370029e-95,3.1497069700676365e-107,4.0833008434103159e-65,6.9914328472205659e-73,2.9298613483855827e-83,5.2750820875798905e-108,1.7554836998055555e-118,8.5509234806546616e-119,1.9562589826261886e-75,6.2670703460221296e-38,5.143070844488304e-48,5.1430229017952455e-48,3.1774441087476173e-48,7.7366394021964156e-79,9.2686958271795487e-87,1.2888741725230416e-83,1.4379210792704666e-96,8.5731526478448837e-97,5.3678283700443779e-97,2.2747993991259162e-21,2.8683233648834445e-33,5.1167179692595617e-20,7.2679950742750576e-31
1.0849160973185476e-19,0.36473506932613786,2.5965452628332996e-19,3.9555552545180072e-32,3.2637734905291198e-32,3.761063959387779e-44,9.0722839750179782e-44,0.0,0.0,9.1864042929929286e-20,4.4776767063476506e-35,154.0,0.0,0.9999999999995981,1.0,19.0,1.6336675507726364e-14,1.453772103581929e-13,1.2011143728352887e-13,1.2011168170266277e-13,8.1611967546069485e-21,4.9263744567505102e-23,4.9224487938321981e-23,2.9371945668664798e-23,1.2990121574738627e-20,1.5531582569088521e-33,9.2477332148422535e-26,7.800582678589264e-26,3.6470835885980417e-35,3.6470835877690699e-35,7.1394670075784574e-45,1.2142416052820395e-34,1.150251948070945e-45,6.7296008660962695e-27,2.8370347006754482e-81,2.6545273577343263e-81,2.6545273577354317e-81,3.7904208314142518e-38,1.2580885006264901e-40,1.8428788276735683e-33,2.5260640396782162e-38,3.419988109946352e-41,1.7614843790357786e-47,5.5941532652586166e-58,3.7785610171305038e-68,4.0423096313006582e-69,8.6954543119838319e-80,2.5647300981660596e-83,1.2015827791763842e-80,3.8821546862213059e-71,2.2960891260660312e-77,7.6286157841548134e-35,5.0236882654428867e-34,1.7668818781683456e-43,6.5959615446886362e-44,3.1698396195551275e-44,4.2014855974328696e-48,8.5919240053823421e-54,5.1976186442763504e-54,8.4836449683109644e-60,4.8444573929765601e-70,3.0090160495082009e-60,9.5588734524094955e-70,3.5682272703214154e-70,5.6992181848887232e-70,6.3850558452955788e-71,6.3850558451506605e-71,3.7934438070054036e-82,7.9853667873546872e-61,3.3903452229349158e-63,9.1332352213409305e-73,6.6248778067482644e-82,1.4170017649345625e-82,3.056187690123985e-92,1.1433432151210297e-92,1.6182517520648273e-104,1.0922075595937266e-63,3.7325346923411452e-71,1.8998756450911456e-81,2.7102238122672764e-105,1.803865693217102e-115,8.786591136406256e-116,6.3428426625123684e-74,5.0289290905500972e-37,8.2556934362122777e-47,8.2555395064129367e-47,5.1005013192838448e-47,2.5084758234472196e-77,6.0103080533447807e-85,8.3071712016314017e-82,1.8648225107828227e-94,1.1118445498994452e-94,6.9613576450676974e-95,4.5575249285975965e-21,1.1503259582235346e-32,1.0251264223977698e-19,2.9147910937468557e-30
