Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800)
0.0,0.6462364558326147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.974434159870785e-19,0.6462364558326147,2.1188862146213538e-25,2.3720693845339018e-39,2.3700716851812638e-39,1.2840488064436001e-60,5.6652525329869125e-51,0.0,0.0,2.8416445173476298e-24,1.0238981731774154e-40,154.0,0.0,0.99999999999999922,1.0,19.0,1.248193971755127e-16,3.1576955156889774e-18,2.8452604902999822e-16,2.8452605197182299e-16,3.4562523783035749e-25,1.3453150319969829e-25,1.3448602116624912e-25,1.1175159574517174e-25,2.3970821883343667e-25,1.3304989283186441e-36,2.357542884705292e-29,8.5058549962710993e-31,8.8844922277746186e-41,8.8844922238067247e-41,3.4895074250184191e-50,2.9920235372507493e-41,4.7838682465352092e-51,1.5307890952511975e-30,6.0291547912588385e-92,5.9215642705436814e-92,5.9215642705436909e-92,7.7794598769246655e-42,3.8214434406534855e-46,2.2094421621767727e-36,1.3774318229966623e-42,3.7352058814004672e-48,4.7937779223712285e-55,1.5770729215599659e-65,1.8787740756756896e-75,4.5455669868549048e-78,1.9895928485382563e-88,1.0864256469840728e-91,1.0550835020387015e-89,2.2052490038739796e-78,3.5128814980999383e-89,4.3140733834185675e-41,6.040230296468041e-41,2.8559819538775169e-50,9.5934016445617011e-53,4.3257728053210339e-52,2.6868512387954893e-57,6.4881238254856704e-61,2.8244318252266673e-61,1.0994687114161739e-68,2.1751156565988993e-79,2.6416865535966545e-70,1.2490515062889618e-79,4.1952167211091851e-82,1.0375587095582629e-79,2.1849183570544857e-82,2.1849183570381704e-82,1.631538395754308e-93,2.7663343045861031e-67,8.8673946276989688e-73,1.851731650248418e-82,2.373737340083271e-91,4.377740500273315e-92
5.528415647638198e-19,0.6462364558326147,5.9328814014563921e-25,1.4320826571626486e-38,1.4315232979501914e-38,1.9404568083061942e-59,6.7257878080999133e-50,0.0,0.0,7.95661456797559e-24,6.1843514037785211e-40,154.0,0.0,0.99999999999999811,1.0,19.0,3.4949431209142103e-16,8.8415454960139664e-18,7.9667293684810413e-16,7.966729447235536e-16,2.0875760527194206e-24,8.1257027882513972e-25,8.1203046908656479e-25,6.7497961100578509e-25,1.447837375586338e-24,1.5793088254963704e-35,1.4239559011724845e-28,5.1375364148811848e-30,1.0547669167424535e-39,1.0547669158548517e-39,7.8058855132885526e-49,3.5521297453808245e-40,1.0701321168590462e-49,9.2459661278923314e-30,6.4245322859615939e-90,6.3098862372323863e-90,6.309886237232402e-90,9.2357747668560722e-41,4.5368176485794796e-45,2.6215963941320841e-35,1.635260394652872e-41,4.4344359168969514e-47,1.0723488293153985e-53,6.5078348765196238e-64,1.4142940814537399e-73,3.4217890110084145e-76,2.7157841504251526e-86,1.4829655010098007e-89,1.4401655031572468e-87,1.6600562328421231e-76,2.6631157888027638e-87,5.1216670584996168e-40,3.6482990945393997e-40,3.3906217712252205e-49,1.1389285476068351e-51,5.135530948092608e-51,5.8161183542859905e-56,1.4510233309002654e-59,6.3169664593857674e-60,4.3939027924760227e-67,1.5864147510071537e-77,1.0557202579799854e-68,9.1099040810326748e-78,3.05951611676519e-80,7.5674269529512253e-78,1.5935695768101014e-80,1.5935695767885189e-80,2.1582470934103204e-91,1.1415355222729939e-65,3.6591549730808001e-71,1.3939372718633109e-80,3.2401395516768448e-89,5.9755937881346943e-90
1.2636378623173023e-18,0.6462364558326147,1.3560871777192863e-24,6.8934470308128554e-38,6.8921684620177273e-38,2.0874598952876929e-58,6.6034183545093509e-49,0.0,0.0,1.8186594346840323e-23,2.9775055441568757e-39,154.0,0.0,0.99999999999999556,1.0,19.0,7.9884414192317911e-16,2.0209237665008594e-17,1.8209667107407513e-15,1.8209667270389296e-15,1.0050776159469817e-23,3.9121761055316955e-24,3.9068795931343378e-24,3.249735994847071e-24,6.9707110111635086e-24,1.5500253716389467e-34,6.8557346908866255e-28,2.473502628615794e-29,1.0355764123986653e-38,1.0355764106449151e-38,1.5423101327589951e-47,3.4875007810860089e-39,2.1144004084331495e-48,4.451534677856882e-29,1.4620732281314918e-87,1.435982469910461e-87,1.4359824699104684e-87,9.0677384320830512e-40,4.4542744615196262e-44,2.5708256669575693e-34,1.6054518723251163e-40,4.3537544083055801e-46,2.1187800753998505e-52,2.5744341537437668e-62,1.1182395422574647e-71,2.7055050484110542e-74,4.2902723531960114e-84,2.3427214922612178e-87,2.2750440062454525e-85,1.312556240199869e-74,2.3343903680106861e-85,5.0284812625994149e-39,1.7564989634235791e-39,3.3289325517462184e-48,1.1182065992209448e-50,5.0420385509867627e-50,1.127319997600001e-54,2.8654911102756488e-58,1.247618522085445e-58,1.7046305354218937e-65,1.2298890259059329e-75,4.0957050504544429e-67,7.0625401069855362e-76,2.3714926871068906e-78,5.8667830877398481e-76,1.2354449556947078e-78,1.2354449556612809e-78,3.3427286127263558e-89,4.5158003365090609e-64,1.4475251008989511e-69,1.1021441187855316e-78,5.1186255978340628e-87,9.4399721542837685e-88
2.685230457424268e-18,0.6462364558326147,2.881685253693139e-24,3.0102627669112591e-37,3.0099910417411695e-37,1.9187445073140022e-57,5.8406487549508332e-48,0.0,0.0,3.8646712615004305e-23,1.3003606583198971e-38,154.0,0.0,0.99999999999999056,1.0,19.0,1.6975438015864607e-15,4.294459083641916e-17,3.8695542515517895e-15,3.8695542789342441e-15,4.3894345719250091e-23,1.7085500828702041e-23,1.7038714228942127e-23,1.4192448429004629e-23,3.0442902535910703e-23,1.3700035636236727e-33,2.9940794451578427e-27,1.0802435800832604e-28,9.1595560720608902e-38,9.159556040853892e-38,2.7444538130873028e-46,3.0846526927065098e-38,3.7624614043647634e-47,1.9441021394721401e-28,2.4708391038782877e-85,2.4267468761973582e-85,2.4267468761973842e-85,8.0203119505975993e-39,3.9397553024876715e-43,2.2684181745728683e-33,1.4199035369349387e-39,3.8508445646752774e-45,3.770254132409296e-51,9.1879682952810284e-61,7.9927049257167593e-70,1.9337809752858901e-72,6.1370918605791819e-82,3.3511851578969118e-85,3.2541914140110762e-83,9.3815987824049933e-73,1.7546252131659834e-83,4.4476314818353112e-38,7.6710924063914252e-39,2.944403126425566e-47,9.8904071336657944e-50,4.4595260502588953e-49,1.9866617951158878e-53,5.0936821355508309e-57,2.2182579438887716e-57,6.0236943954846707e-64,8.7029203051966107e-74,1.4473092537537624e-65,4.9975352903345202e-74,1.6774912317766065e-76,4.151493263276228e-74,8.7423635520556927e-77,8.7423635515823242e-77,4.7337041938817274e-87,1.6116565830708797e-62,5.1661127087348972e-68,7.8776629122730759e-77,7.3220248109016547e-85,1.3503568131955877e-85
5.528415647638198e-18,0.6462364558326146,5.9328814089470789e-24,1.2566679767828967e-36,1.2566120088879724e-36,1.6415421161607231e-56,4.9094172068056647e-47,0.0,0.0,7.9567583993064535e-23,5.4287979194010994e-38,154.0,0.0,0.99999999999998057,1.0,19.0,3.4949431209120867e-15,8.841517251326738e-17,7.966729305276839e-15,7.9667293319177273e-15,1.8324996573159041e-22,7.1328602297558595e-23,7.0936348274496235e-23,5.9250657989605838e-23,1.2709292632260921e-22,1.149931491884375e-32,1.2499692209180298e-26,4.5098042790344101e-28,7.6991587490584779e-37,7.6991586964234735e-37,4.6289067576493846e-45,2.5928326615333893e-37,6.3459372088459802e-46,8.1162436796909146e-28,3.6178526716510412e-83,3.5532919386364087e-83,3.5532919386364818e-83,6.7415554478553666e-38,3.3116016934809898e-42,1.8976405953653762e-32,1.1933455067859529e-38,3.2368636830582189e-44,6.3590785721633415e-50,3.1044038978781605e-59,5.4054651469529797e-68,1.3078157845475927e-70,8.3043693235077218e-80,4.5346362697143635e-83,4.4028936069924829e-81,6.3447738568177611e-71,1.2162778231475581e-81,3.7384967843564517e-37,3.2025300401365543e-38,2.4749482134131718e-46,8.3134770754980829e-49,3.7483322215088907e-48,3.3345119707264683e-52,8.5733871939155065e-56,3.7353140224821472e-56,2.0251078668518542e-62,5.8558383682559458e-72,4.8657138708093579e-64,3.3625725847957553e-72,1.1278809460450658e-74,2.7934368943484331e-72,5.8825510175052149e-75,5.882551016867937e-75,6.3727703278301097e-85,5.4454200864098488e-61,1.7455116713778979e-66,5.327663994921167e-75,9.907757523633396e-83,1.8272278367575084e-83
1.121478602806606e-17,0.6462364558326148,1.203527373267989e-23,5.1337838197559673e-36,5.1336700848645551e-36,1.3572848865913207e-55,4.025036845152333e-46,0.0,0.0,1.6141186611606782e-22,2.2178804340089269e-37,154.0,0.0,0.99999999999996048,1.0,19.0,7.0897417595595864e-15,1.7935583720580643e-16,1.6161079301138824e-14,1.6161079235722464e-14,7.4863355739730481e-22,2.9140061127339889e-22,2.8820121487198588e-22,2.4205810410415667e-22,5.1921444663346211e-22,9.4010648894671021e-32,5.1065320502335725e-26,1.8424021817553515e-27,6.3122354500313563e-36,6.3122353635787318e-36,7.6029415536168503e-44,2.1257546514693643e-36,1.0423208166201872e-44,3.3157503246281592e-27,4.9471073825401374e-81,4.8588260433374766e-81,4.8588260433376788e-81,5.5271344526803194e-37,2.7150511038281923e-41,1.5410796659208435e-31,9.7809976035129864e-38,2.6537711556128153e-43,1.04447856295449e-48,1.0206581541597851e-57,3.555888858545306e-66,8.6032329323819379e-69,1.0928062720360153e-77,5.9673152842143095e-81,5.7926442761530002e-79,4.173796346694801e-69,8.0996822383734033e-80,3.0650365705096776e-36,1.3083379898538055e-37,2.0291120297170649e-45,6.8158808447232917e-48,3.0728335368921148e-47,5.4632823871552139e-51,1.4023523952489043e-54,6.1153135337501745e-55,6.641021007777807e-61,3.8419136416991246e-70,1.5956338998988626e-62,2.2060412812054109e-70,7.3889101031886362e-73,1.8328135531780122e-70,3.8596662297255188e-73,3.8596662288890966e-73,8.3642290220556499e-83,1.7903328444922224e-59,5.7388535563324371e-65,3.5047110531782291e-73,1.3038036006981972e-80,2.4045260628854457e-81
2.258752678892178e-17,0.6462364558326147,2.4240058433045249e-23,2.0751346024751594e-35,2.0751115336012942e-35,1.1037640118952894e-54,3.2595792006340007e-45,0.0,0.0,3.2511058782923855e-22,8.965345425906852e-37,154.0,0.0,0.99999999999992029,1.0,19.0,1.4279339036839583e-14,3.6123517196812953e-16,3.2549778846510368e-14,3.2549778243051036e-14,3.0260775719900969e-21,1.1778878369647644e-21,1.1522422521776332e-21,9.7843621030592866e-22,2.0987346566097555e-21,7.5702253282243193e-31,2.0641418432961944e-25,7.4472840517744199e-27,5.1118118324469047e-35,5.1118116923051955e-35,1.2324528291084244e-42,1.7214811614515966e-35,1.6896428250790074e-43,1.3402792593834304e-26,6.5430227667443082e-79,6.4262622504433208e-79,6.4262622504438601e-79,4.4760167623945909e-36,2.1987187070636892e-40,1.2248068131942662e-30,7.916422827045683e-37,2.1490841743412372e-42,1.6931382693701148e-47,3.3104677564317052e-56,2.3071733695391848e-64,5.5820501421984581e-67,1.4182464621052894e-75,7.7443954615080881e-79,7.5143210206039314e-77,2.7080913315709479e-67,5.2879470005174409e-78,2.4821315628292574e-35,5.2885111189530627e-37,1.6432274562743822e-44,5.5196609217545144e-47,2.4880138623415106e-46,8.8440182418196965e-50,2.254604339509015e-53,9.8491202974484896e-54,2.150955645469137e-59,2.4889052645558142e-68,5.1680873406776262e-61,1.4290298790265076e-68,4.7726698422456474e-71,1.1874651197992246e-68,2.500699881323356e-71,2.5006998802394035e-71,1.0839527085867572e-80,5.8068877756490025e-58,1.8613789033789323e-63,2.2739705660655442e-71,1.6920814817585389e-78,3.1206031586632241e-79
4.533300831063322e-17,0.6462364558326146,4.8649628045374871e-23,8.3439798494071418e-35,8.3439322499088525e-35,8.902941915553945e-54,2.6235929294001205e-44,0.0,0.0,6.5254866112133613e-22,3.6051817827581368e-36,154.0,0.0,0.99999999999984002,1.0,19.0,2.8658533591339563e-14,7.2498586317674773e-16,6.5327176151843886e-14,6.5327173121018264e-14,1.2167572326005463e-20,4.736234988045406e-21,4.5339429440991237e-21,3.9342381297557287e-21,8.4388139827491317e-21,6.0250773476102325e-30,8.2998231100736496e-25,2.9945200489621815e-26,4.1144307342534645e-34,4.1144305085650909e-34,1.9847733058496463e-41,1.3855815952317347e-34,2.7211043614656988e-42,5.3892036684342715e-26,8.512651137511172e-77,8.3607425201953167e-77,8.3607425201967189e-77,3.6026876660286698e-35,1.7697199894866759e-39,9.5043301012719818e-30,6.3646215795178448e-36,1.7297562086985161e-41,2.726726079957015e-46,1.0665032302550245e-54,1.4867224040124781e-62,3.5970244421485564e-65,1.8279098769677209e-73,9.9813803967403312e-77,9.6761321030931368e-75,1.7450704479718853e-65,3.4186739895951148e-76,1.9978120512428838e-34,2.1264868851835674e-36,1.3226122969120832e-43,4.4426773959116169e-46,2.0018517703094774e-45,1.4229504554426617e-48,3.5722731229139257e-52,1.5659238693979144e-52,6.9229172629844915e-58,1.6019083380471945e-66,1.6633648103464497e-59,9.1961161654810378e-67,3.0538185191732536e-69,7.6442301234950995e-67,1.6098779903440224e-69,1.6098779889483175e-69,1.3957048058823639e-78,1.8707572975989837e-56,5.9966511438009635e-62,1.4653306453544379e-69,2.1808483962353644e-76,4.0220055396569505e-77
9.082397135405612e-17,0.6462364558326148,9.7468768116429596e-23,3.3463006353506256e-34,3.3462900558033811e-34,7.1524280421929538e-53,2.1052681165843154e-43,0.0,0.0,1.3075873271459013e-21,1.4460443299779325e-35,154.0,0.0,0.99999999999967937,1.0,19.0,5.7416922700099471e-14,1.4524553337297491e-15,1.3088196362087364e-13,1.3088195080840429e-13,4.8796183966932629e-20,1.899441903955247e-20,1.7433664663132181e-20,1.5777967652865908e-20,3.384257011440669e-20,4.7289292125430905e-29,3.3285999300592072e-24,1.2009363814494061e-25,3.3015713120039389e-33,3.3015709497418719e-33,3.185827427642672e-40,1.1118159567696905e-33,4.3679323728451019e-41,2.1613114865324132e-25,1.0985123108697125e-74,1.0789093125278772e-74,1.0789093125282387e-74,2.8909299161941884e-34,1.4200886657390736e-38,7.1140404673485488e-29,5.0956839025489383e-35,1.387998433533188e-40,4.3769321201430882e-45,3.4242664833879916e-53,9.5474809170026017e-61,2.3099485211100048e-63,2.3477694986517401e-71,1.2820097058442019e-74,1.2405705381786432e-72,1.120654860989773e-63,2.199822277202742e-74,1.6030808468872193e-33,8.5281621210307388e-36,1.0613128879883937e-42,3.5649272437268157e-45,1.605208493996888e-44,2.2818789973275147e-47,5.5545658020242147e-51,2.4510447155047681e-51,2.2205953508352572e-56,1.0272294265492607e-64,5.3354094208524397e-58,5.8952475698951724e-65,1.9356446466342453e-67,4.9037764667876396e-65,1.032825305131288e-67,1.0328253033403965e-67,1.7908915877900666e-76,6.0065518747301457e-55,1.9253803376686864e-60,9.4101559435743671e-68,2.8010987442033632e-74,5.1658934107702703e-75
