Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152)
1.0134903885589435e-23,1.3781877828069327,6.4044505500395345e-18,2.5877002366123109e-29,2.3065009313641049e-34,2.1170260306314228e-53,2.9142468853210904e-50,0.0,0.0,2.4347592131158087e-20,3.8029288184756938e-39,154.0,0.0,0.99999999999978284,1.0,19.0,1.6957833311047546e-16,2.1594559119619218e-13,4.805333323719683e-16,4.8696213051413609e-16,1.5106232451599777e-24,6.314772163625638e-30,6.3992519654180312e-30,2.8361102061797449e-30
2.0278613074294062e-23,1.3781877828069327,1.2814465349034673e-17,5.1776948624589162e-29,9.23201464035823e-34,1.6953378081655381e-52,2.3331697945343926e-49,0.0,0.0,4.8716337687285617e-20,1.5221625992448435e-38,154.0,0.0,0.99999999999956557,1.0,19.0,3.3930399752681864e-16,4.3207879802007396e-13,9.6148415677872084e-16,9.7434733846543148e-16,6.0464297783944812e-24,2.5275545425617691e-29,2.5613676399217324e-29,1.1351831940920881e-29
4.056603145170332e-23,1.3781877828069324,2.5634494947019372e-17,1.035782268456972e-28,3.6940083817367937e-33,1.3569573756440448e-51,1.8672450533115577e-48,0.0,0.0,9.7453828799563301e-20,6.0906331055977676e-38,154.0,0.0,0.99999999999913103,1.0,19.0,6.7875532635935748e-16,8.6434521165812361e-13,1.9233858055913525e-15,1.9491177543671245e-15,2.4193594952774138e-23,1.0113510462430487e-28,1.0248800177858565e-28,4.5422114207096024e-29
8.114086820652184e-23,1.3781877828069327,5.1274554142966443e-17,2.071863261046168e-28,1.477843892074248e-32,1.0858408192918642e-50,1.4940797903557581e-47,0.0,0.0,1.949288110242091e-19,2.4366498404621285e-37,154.0,0.0,0.99999999999826195,1.0,19.0,1.3576579840238442e-15,1.7288780388953665e-12,3.8471891032131191e-15,3.8986585861669229e-15,9.6790133731543853e-23,4.0460627371679576e-28,4.1001820579228201e-28,1.8171803391344e-28
1.6229054171615886e-22,1.3781877828069327,1.0255467253477136e-16,4.1442469588927047e-28,5.911856681313025e-32,8.6878263637025962e-50,1.195377343491752e-46,0.0,0.0,3.8987877547386242e-19,9.747392614861233e-37,154.0,0.0,0.99999999999652378,1.0,19.0,2.715463299350455e-15,3.457943693214428e-12,7.6947956984426698e-15,7.7977402497521686e-15,3.871920449960672e-22,1.618556814652679e-27,1.6402020045155109e-27,7.2693129391988094e-28
3.2458988873543295e-22,1.3781877828069327,2.0511490931802415e-16,8.2899012052583476e-28,2.3648388985510218e-31,6.9507010415526293e-49,9.5634728169797619e-46,0.0,0.0,7.7977870437461625e-19,3.8991157022575722e-36,154.0,0.0,0.99999999999304745,1.0,19.0,5.4310739299942234e-15,6.9160750012308493e-12,1.5390008888845838e-14,1.5595903576865247e-14,1.5488312022485883e-21,6.4744907072915297e-27,6.561040586360468e-27,2.9078434954899964e-27
6.49188582773981e-22,1.3781877828069327,4.1023538288310165e-16,1.6584757100679903e-27,9.4595480496535941e-31,5.5607368188325909e-48,7.6509598859945491e-45,0.0,0.0,1.5595785621819122e-18,1.559678012779792e-35,154.0,0.0,0.99999999998609479,1.0,19.0,1.0862295191243952e-14,1.3832337614776893e-11,3.0780435269428437e-14,3.119223023086176e-14,6.1954508548118393e-21,2.5898489733745393e-26,2.624442106388062e-26,1.163161061831695e-26
1.2983859708510772e-21,1.3781877828069327,8.2047633000754402e-16,3.3188658502283861e-27,3.7838577112713497e-30,4.4486598503499867e-47,6.1208405626368427e-44,0.0,0.0,3.1191782778196572e-18,6.23877551583159e-35,154.0,0.0,0.99999999997218947,1.0,19.0,2.1724737713592174e-14,2.7664862831921776e-11,6.1561288029698745e-14,6.2384883537936197e-14,2.4782055505485657e-20,1.0359501273622045e-25,1.0497655033716927e-25,4.6526915690380014e-26
2.5967807470052695e-21,1.3781877828069324,1.6409582242335791e-15,6.6453219748533649e-27,1.5135507828067003e-29,3.5589560385660861e-46,4.8967015116908106e-43,0.0,0.0,6.2383777091877591e-18,2.4955228996468093e-34,154.0,0.0,0.99999999994437871,1.0,19.0,4.3449622757683663e-14,5.5329913226422727e-11,1.2312299354665962e-13,1.247701901484108e-13,9.9128726135538355e-20,4.1438215841834095e-25,4.1989072350869735e-25,1.8610860872144103e-25
5.193570299313654e-21,1.3781877828069327,3.2819220125942499e-15,1.3320937601318785e-26,6.0542185277127165e-29,2.8471760941425892e-45,3.9173728337853067e-42,0.0,0.0,1.247677657229441e-17,9.9821169877936653e-34,154.0,0.0,0.99999999988875732,1.0,19.0,8.6899392843446833e-14,1.1066001385626936e-10,2.4624640456626264e-13,2.4954080335466296e-13,3.9651591228259075e-19,1.6575328475224723e-24,1.6794262727418305e-24,7.4443632298168907e-25
1.0387149403930423e-20,1.3781877828069327,6.5638495889499911e-15,2.6762982363101398e-26,2.4216904902699631e-28,2.2777453805302565e-44,3.1339029164271791e-41,0.0,0.0,2.4953574299989513e-17,3.9928518749816766e-33,154.0,0.0,0.99999999977751441,1.0,19.0,1.7379893300529396e-13,2.2132021447934155e-10,4.9249322654819332e-13,4.9908202970837948e-13,1.5860656607014965e-18,6.6301398089399679e-24,6.7165867550206816e-24,2.9777490374977821e-24
2.0774307613163965e-20,1.3781877828069327,1.3127704740199078e-14,5.4010325921992787e-26,9.6867681185271617e-28,1.8221981063391254e-43,2.5071241922918461e-40,0.0,0.0,4.9907169761306903e-17,1.5971417675798976e-32,154.0,0.0,0.99999999955502861,1.0,19.0,3.4759801329027133e-13,4.4264061317900183e-10,9.8498687028295433e-13,9.9816448218066788e-13,6.3442666346546203e-18,2.6520576002609261e-23,2.6857353304889312e-23,1.1911003396137168e-23
4.154862403163104e-20,1.3781877828069329,2.6255415036847685e-14,1.0995802918043268e-25,3.8747084781599796e-27,1.4577592055603752e-42,2.0057000965161919e-39,0.0,0.0,9.9814360707650404e-17,6.3885691184051696e-32,154.0,0.0,0.9999999991100571,1.0,19.0,6.9519617370535856e-13,8.8528140039238574e-10,1.9699741568360733e-12,1.9963293861847136e-12,2.5377074271950969e-17,1.0608233697726404e-22,1.0735742863385744e-22,4.764402611684425e-23
8.309725686856521e-20,1.378187782806933,5.2510835606746587e-14,2.2766550025476137e-25,1.549883636821295e-26,1.1662076522004193e-41,1.604560372721882e-38,0.0,0.0,1.9962874269517233e-16,2.5554280673076885e-31,154.0,0.0,0.99999999822011398,1.0,19.0,1.3903924939160635e-12,1.7705629340754094e-09,3.9399487262767e-12,3.9926591904310551e-12,1.0150831055153505e-16,4.2432940930767015e-22,4.2885471303195112e-22,1.9057611385198371e-22
1.6619452254243354e-19,1.3781877828069335,1.0502167665295112e-13,4.8632870059177782e-25,6.1995350336593915e-26,9.3296623615146944e-41,1.2836484138783383e-37,0.0,0.0,3.9925750704955575e-16,1.0221713191749632e-30,154.0,0.0,0.99999999644022775,1.0,19.0,2.7807851318595927e-12,3.5411258384664942e-09,7.8798978504955058e-12,7.9853187838797462e-12,4.0603325311011732e-16,1.6973177237475249e-21,1.7108356406128525e-21,7.6230434873751791e-22
2.4929178821630187e-19,1.3781877828069338,1.5753251760556243e-13,7.6824015907571668e-25,1.3174012245177119e-25,2.7697436092937576e-40,3.6705033606945073e-37,0.0,0.0,5.9888627178327908e-16,2.1721141223670124e-30,154.0,0.0,0.99999999466034151,1.0,19.0,4.1711777673252421e-12,5.3116885798826307e-09,1.1819846960051868e-11,1.1977978362287432e-11,8.6282065164756378e-16,3.6068001762210803e-21,3.6288147900794962e-21,1.6198965332789165e-21
3.323890538901702e-19,1.378187782806934,2.100433584645805e-13,1.073399875665141e-24,2.2473315267226608e-25,6.0351256609244778e-40,7.7422891402116675e-37,0.0,0.0,7.9851503689634186e-16,3.7053712257040109e-30,154.0,0.0,0.99999999288045527,1.0,19.0,5.5615704003130135e-12,7.0822511583238341e-09,1.5759796054945783e-11,1.5970637925657092e-11,1.4718704921433259e-15,6.1527767349829958e-21,6.1798179981570474e-21,2.763352557717044e-21
4.985835852379068e-19,1.378187782806935,3.1506503996295905e-13,1.7382815471262843e-24,4.6528145139502645e-25,1.7518108351940864e-39,2.1147313677847785e-36,0.0,0.0,1.1977725680127545e-15,7.6715006628224194e-30,154.0,0.0,0.9999999893206829,1.0,19.0,8.3423556604731243e-12,1.0623375932714098e-08,2.3639694210321753e-11,2.3955957017112237e-11,3.0473207587283833e-15,1.273854245246335e-20,1.2758321592073639e-20,5.7211691964868446e-21
6.647781165856435e-19,1.378187782806936,4.2008672111716181e-13,2.4886553549498733e-24,7.9132188647926583e-25,3.8310127535523175e-39,4.4248408131270384e-36,0.0,0.0,1.5970301005241346e-15,1.3047213585464272e-29,154.0,0.0,0.99999998576091054,1.0,19.0,1.1123140911521185e-11,1.4164500107787528e-08,3.1519592311778682e-11,3.1941276053291701e-11,5.1826942133820848e-15,2.1664923745100173e-20,2.1640174863228955e-20,9.7302082181059203e-21
8.309726479333801e-19,1.3781877828069364,5.2510840190260493e-13,3.3306278800276824e-24,1.2089610388164111e-24,7.1875013399336932e-39,8.0554022244006336e-36,0.0,0.0,1.9962876345301221e-15,1.9933194592621038e-29,154.0,0.0,0.99999998220113817,1.0,19.0,1.3903926152806336e-11,1.7705623640735878e-08,3.9399490355465214e-11,3.9926595030266775e-11,7.9179852758223512e-15,3.309910722749947e-20,3.2970332912207007e-20,1.4865556201993032e-20
1.1633617106288535e-18,1.3781877828069389,7.3515176234404875e-13,5.2951227791513343e-24,2.3247891924528043e-24,1.9666313196169596e-38,2.126911760244644e-35,0.0,0.0,2.7948027071198044e-15,3.8330827551157766e-29,154.0,0.0,0.99999997508159388,1.0,19.0,1.9465496605474672e-11,2.4787868739923442e-08,5.5159286265898276e-11,5.589723280301554e-11,1.5226002926587716e-14,6.3648404882769949e-20,6.2998720745148441e-20,2.8585922268048024e-20
1.8281398360198e-18,1.3781877828069418,1.1552384787367983e-12,1.0339448454206267e-23,5.6717813764988005e-24,7.8104426535476998e-38,8.2245738854150145e-35,0.0,0.0,4.3918328704980044e-15,9.3515615005256862e-29,154.0,0.0,0.99999996084250564,1.0,19.0,3.0588637391934998e-11,3.8952351119580379e-08,8.6678877383333238e-11,8.7838507628863416e-11,3.7146824790116237e-14,1.5528280471786364e-19,1.5162468242672522e-19,6.9740912023260361e-20
2.4929179614107466e-18,1.3781877828069449,1.5753251891375494e-12,1.6872167216901796e-23,1.0507166648124734e-23,1.9554526165595798e-37,2.0411460604809376e-34,0.0,0.0,5.9888630581621832e-15,1.7324084920316665e-28,154.0,0.0,0.99999994660341784,1.0,19.0,4.1711778019757257e-11,5.3116823065321644e-08,1.1819846756205363e-10,1.1977978149531241e-10,6.8815731216240641e-14,2.8766660510654911e-19,2.7741673681988256e-19,1.2919726184732779e-19
3.8224742121926395e-18,1.378187782806952,2.4154985919684761e-12,3.440143824773868e-23,2.4641770696530045e-23,7.1480814592774627e-37,7.4134973617683619e-34,0.0,0.0,9.1829235063265279e-15,4.0629049567281724e-28,154.0,0.0,0.9999999181252448,1.0,18.999999999999996,6.395805879963106e-11,8.1445735664529222e-08,1.8123764510419962e-10,1.8366232635772752e-10,1.613889476626418e-13,6.7464548267243197e-19,6.3361982369770038e-19,3.0299720667548246e-19
6.481586713756426e-18,1.3781877828069649,4.0958453257492405e-12,8.7315014595065172e-23,7.0766013077111767e-23,3.5834696462445177e-36,3.7046565109467163e-33,0.0,0.0,1.5571044693994362e-14,1.1667817299457671e-27,154.0,0.0,0.99999986116890671,1.0,18.999999999999989,1.0845061845632785e-10,1.3810343569619093e-07,3.0731598892750378e-10,3.1142740464032765e-10,4.634747985282302e-13,1.9374396193058509e-18,1.7249891984478088e-18,8.7014053780447539e-19
1.1799811716883998e-17,1.3781877828069913,7.4565385057915709e-12,2.6456103616421992e-22,2.3443336669949351e-22,2.2240692908761495e-35,2.296564011209312e-32,0.0,0.0,2.8347288234666533e-14,3.8653124356130672e-27,154.0,0.0,0.9999997472562635,1.0,18.999999999999975,1.9743573015765486e-10,2.514183351033727e-07,5.5947263153097624e-10,5.6695751570295759e-10,1.5353939796200292e-12,6.4183344965172208e-18,5.1580436095675884e-18,2.8825703868078923e-18
2.2436261723139144e-17,1.3781877828070443,1.417792371580226e-11,9.0472796308147077e-22,8.4744295762414752e-22,1.5589469718425576e-34,1.6091792060118724e-31,0.0,0.0,5.3899779977352363e-14,1.3972568068542752e-26,154.0,0.0,0.9999995194311091,1.0,18.99999999999995,3.7540592311211715e-10,4.7804613131312295e-07,1.0637857365658777e-09,1.0780175573169986e-09,5.550203340499778e-12,2.3201300974081806e-17,1.5526931033935036e-17,1.0419876056059892e-17
4.3709161735649437e-17,1.37818778280715,2.762068953553771e-11,3.3277597455931942e-21,3.2161600673871144e-21,1.1658624607447915e-33,1.2033082088264864e-30,0.0,0.0,1.0500478210810448e-13,5.3027917973806141e-26,154.0,0.0,0.9999990637813283,1.0,18.999999999999901,7.3134618722853823e-10,9.3129371345187497e-07,2.0724112259495275e-09,2.1001369250538681e-09,2.106357518382792e-11,8.8051628886865073e-17,4.3724853979964478e-17,3.9543295616320178e-17
6.498206174815973e-17,1.378187782807256,4.1063449221565515e-11,7.2743881713872941e-21,7.1084738189347901e-21,3.6325006045513324e-33,3.7491012180653706e-30,0.0,0.0,1.5610980909940741e-13,1.1720449145252627e-25,154.0,0.0,0.9999986081322515,1.0,18.999999999999851,1.0872862889551382e-09,1.384530615385536e-06,3.0810357544199968e-09,3.1222553434163662e-09,4.6555123508869281e-11,1.9461411731035372e-16,7.7258317279695399e-17,8.7397204358519301e-17
8.625496176067002e-17,1.3781877828073619,5.450620277389542e-11,1.2744612400192568e-20,1.2524383371325908e-20,8.2075277421008726e-33,8.4709226965034507e-30,0.0,0.0,2.0721486095132179e-13,2.0650243559998966e-25,154.0,0.0,0.99999815248387891,1.0,18.999999999999801,1.4432262282921751e-09,1.8377568373506219e-06,4.0896593219796574e-09,4.1443728160395593e-09,8.2024623296844999e-11,3.4288825449935076e-16,1.1249587459950373e-16,1.5397984872123563e-16
1.0752786177318031e-16,1.3781877828074678,6.7948950192536986e-11,1.9738431688459279e-20,1.9463887980318002e-20,1.556471577843168e-32,1.6064158358427359e-29,0.0,0.0,2.5831993766391229e-13,3.209219045525773e-25,154.0,0.0,0.9999976968362102,1.0,18.999999999999751,1.7991660052399016e-09,2.2909723795907712e-06,5.0982819286308792e-09,5.1664893443572777e-09,1.2747184273899956e-10,5.3287351482373384e-16,1.480073648050965e-16,2.3928941753588331e-16
1.500736617982009e-16,1.3781877828076794,9.4834426628789788e-11,3.8296852872860337e-20,3.791367979501979e-20,4.1123912198238093e-32,4.2443349062508543e-29,0.0,0.0,3.6053016567136485e-13,6.2512599148504921e-25,154.0,0.0,0.99999678554298488,1.0,18.999999999999648,2.5110450719683421e-09,3.1973714257983291e-06,7.1155242592166817e-09,7.2107195687846521e-09,2.482985822906712e-10,1.0379754609870981e-15,2.1915724999942228e-16,4.6608261600052549e-16
1.9261946182322147e-16,1.3781877828078912,1.2171987853039903e-10,6.294964615883194e-20,6.2457843691725478e-20,8.5714196604377186e-32,8.8464123168605018e-29,0.0,0.0,4.6274049312229077e-13,1.0298179950912974e-24,154.0,0.0,0.99999587425257541,1.0,18.999999999999545,3.2229234891424452e-09,4.1037277559594683e-06,9.1327627461961664e-09,9.2549460180411485e-09,4.0903348559321547e-10,1.7099157508856701e-15,2.8939446766110087e-16,7.6776228088703549e-16
2.3516526184824203e-16,1.3781877828081033,1.4860530589744352e-10,9.3696805734997733e-20,9.3096373853209069e-20,1.5502505997338709e-31,1.5999845633194525e-28,0.0,0.0,5.6495092001724439e-13,1.5349992246427614e-24,154.0,0.0,0.99999496296498169,1.0,18.999999999999442,3.9348012567642989e-09,5.0100413721280697e-06,1.1149997389589062e-08,1.1299168691547989e-08,6.0967459842821367e-10,2.5486899589610808e-15,3.5932845955056888e-16,1.1443131298891923e-15
2.777110618732626e-16,1.3781877828083147,1.7549070873000126e-10,1.3053832588447387e-19,1.2982926455678641e-19,2.5469808187701697e-31,2.6286886000431539e-28,0.0,0.0,6.6716144635677547e-13,2.140670979137525e-24,154.0,0.0,0.99999405168020394,1.0,18.999999999999339,4.6466783748359666e-09,5.9163122763402892e-06,1.3167228189414894e-08,1.3343387588788843e-08,8.5021998343521305e-10,3.5542936982876691e-15,4.2950592831378984e-16,1.5957200134154386e-15
3.628026619233038e-16,1.3781877828087379,2.2926144079195564e-10,2.2250442599819179e-19,2.2157810566280206e-19,5.6677691254787574e-31,5.8495829797992904e-28,0.0,0.0,8.7158279737168248e-13,3.6534910476165912e-24,154.0,0.0,0.99999222911909469,1.0,18.999999999999133,6.0704306623366576e-09,7.728725956707203e-06,1.7201678258440281e-08,1.7431814055160404e-08,1.4510161373798723e-09,6.0659729400425422e-15,5.7001994645503082e-16,2.7230437808095309e-15
4.478942619733449e-16,1.3781877828091615,2.8303207471686884e-10,3.3884790199567472e-19,3.3770432246036185e-19,1.0658160538235322e-30,1.1000043414102118e-27,0.0,0.0,1.0760045461712888e-12,5.5682882998540927e-24,154.0,0.0,0.9999904065692472,1.0,18.99999999999892,7.4941803516605713e-09,9.5409688128906447e-06,2.1236112953424201e-08,2.1520225417617391e-08,2.2114068851100994e-09,9.2449193666898273e-15,7.10711083971421e-16,4.1496158466759466e-15
5.329858620233861e-16,1.3781877828095848,3.3680261050534636e-10,4.7956870942870981e-19,4.7820787045624072e-19,1.7955966095910414e-30,1.8531917230382137e-27,0.0,0.0,1.2804266927598623e-12,7.8850728153037709e-24,154.0,0.0,0.99998858403066082,1.0,18.99999999999871,8.9179274428237318e-09,1.1353040860689472e-05,2.5270532274518238e-08,2.5608621676644673e-08,3.1313771943644536e-09,1.3091098934986106e-14,8.5133008925823424e-16,5.875318744594294e-15
6.180774620734273e-16,1.3781877828100084,3.9057304815799385e-10,6.4466680383613467e-19,6.4308870514425466e-19,2.7999091420195364e-30,2.8897147167674361e-27,0.0,0.0,1.4848492371416707e-12,1.0603854675555028e-23,154.0,0.0,0.99998676150333443,1.0,18.999999999998501,1.034167193584216e-08,1.3164942115904517e-05,2.9304936221874023e-08,2.9697002832458477e-08,4.2109120310015991e-09,1.760447759582769e-14,9.9189636040188388e-16,7.9000350294021032e-15
7.882606621735096e-16,1.378187782810855,4.9811362905822291e-10,1.047994675624771e-18,1.0459820564670898e-18,5.8074165022608002e-30,5.9936712617290799e-27,0.0,0.0,1.8936955193020768e-12,1.7247450785834174e-23,154.0,0.0,0.9999831164824593,1.0,18.999999999998074,1.3189153127508976e-08,1.6788232311821482e-05,3.737369799597763e-08,3.7873719835223335e-08,6.848615116654143e-09,2.8632695913386589e-14,1.2730358020112086e-15,1.2846037957546881e-14
9.58443862273592e-16,1.378187782811702,6.0565381742240319e-10,1.5488311614805454e-18,1.5463840201874176e-18,1.0438897134628671e-29,1.0773665944518112e-26,0.0,0.0,2.3025433926866684e-12,2.5499157338415386e-23,154.0,0.0,0.99997947150661548,1.0,18.999999999997645,1.6036623926789281e-08,2.0410839527104369e-05,4.5442398276948611e-08,4.6050376427740196e-08,1.0124395815484254e-08,4.2329301776007238e-14,1.5541863646713217e-15,1.898668533940855e-14
1.2988102624737566e-15,1.3781877828133953,8.2073301656200641e-10,2.843028551699652e-18,2.8397123596848213e-18,2.5976254486809595e-29,2.6809162791653191e-26,0.0,0.0,3.1202439132650486e-12,4.6827224659295867e-23,154.0,0.0,0.9999721816899978,1.0,18.999999999996778,2.1731534348703423e-08,2.7654005521554557e-05,6.1579614364346804e-08,6.2403508389607359e-08,1.8589708807949288e-08,7.7726585942154417e-14,2.116480013182868e-15,3.4848160470080309e-14
1.6391766626739213e-15,1.3781877828150886,1.0358106456155752e-09,4.5272561272357988e-18,4.5230708734952259e-18,5.2216799995867836e-29,5.3890831125873244e-26,0.0,0.0,3.9379507991500269e-12,7.4588702386277857e-23,154.0,0.0,0.9999648920534322,1.0,18.99999999999589,2.7426403202610506e-08,3.4894441110632886e-05,7.7716584493775852e-08,7.8756398733141647e-08,2.960588870497793e-08,1.2379414996957947e-13,2.6787626232309073e-15,5.5476959486639658e-14
