Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016)
0.0,0.3865311837698935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4017585616174017e-20,0.3865311837698935,7.5157791356829675e-25,3.368019047467368e-39,3.3024797444709742e-39,2.1681760671750767e-60,1.7671518215935772e-51,0.0,0.0,6.1887579698188798e-24,8.2985101053321031e-41,154.0,0.0,0.99999999999999944,1.0,19.0,5.3719321448629561e-17,5.3000444838490584e-18,2.3407919680992154e-16,2.340792037317426e-16,7.6255242179958633e-26,2.4043568747009698e-26,2.404197501719547e-26,1.8515819497293099e-26,6.3831993188662062e-26,4.9279606859604888e-38,7.0568615815599587e-30,3.722160485866004e-31,8.6700719735293635e-42,8.6700719727463423e-42,6.8580836887038705e-52,3.429011360799329e-42,9.7212530342833409e-53,4.8553683134843097e-31,1.1676971622733342e-94,1.1340887413345785e-94,1.1340887413345797e-94,5.2250552655648924e-43,5.2165418234750663e-47,7.5890291943845131e-38,1.399179218454066e-43,1.097173602017463e-48,3.181267087905141e-56,1.6765825366307911e-67,4.1903329955065237e-78,1.6397935520171142e-80,1.459684283259985e-91
6.724923972528725e-20,0.3865311837698935,2.1044181580357113e-24,2.0130487715305677e-38,1.994697765694619e-38,3.2765482241282882e-59,2.0979626434957378e-50,0.0,0.0,1.7328525461674974e-23,5.0123008645642295e-40,154.0,0.0,0.99999999999999845,1.0,19.0,1.5041410005616131e-16,1.4840124089447233e-17,6.5542175098987557e-16,6.5542177031099903e-16,4.6058165071592839e-25,1.4522315521103997e-25,1.4520423140308054e-25,1.1183554892893614e-25,3.8554522877180924e-25,5.8501849110511744e-37,4.2623443945140022e-29,2.2481849331893025e-30,1.0293109445826233e-40,1.0293109444074646e-40,1.5341257917612558e-50,4.070922189988452e-41,2.1746053917013845e-51,2.9326424608541336e-30,1.2442719394345548e-92,1.2084595589185988e-92,1.2084595589186006e-92,6.2031856184607203e-42,6.1930784516754223e-46,9.0082398953204876e-37,1.6611014120518262e-42,1.3025644667606654e-47,7.116367049803409e-55,6.918464615415662e-66,3.1543780134556044e-76,1.2343956274229693e-78,1.9924618063959509e-89
1.537125479435137e-19,0.3865311837698935,4.8100986471484645e-24,9.6455562634574753e-38,9.6036110974338513e-38,3.5247622885491267e-58,2.0597921645825381e-49,0.0,0.0,3.9608073030115625e-23,2.4132078800010545e-39,154.0,0.0,0.99999999999999656,1.0,19.0,3.4380365727121906e-16,3.3920281439323243e-17,1.4981068590381642e-15,1.4981069029180647e-15,2.2175022618278797e-24,6.99186978849563e-25,6.9900118574264462e-25,5.3844001846059407e-25,1.8562342106106562e-24,5.7431320217002387e-36,2.0521353467953963e-28,1.0824042688791885e-29,1.0105835888787568e-39,1.0105835885326729e-39,3.0311736224796949e-49,3.9968553397349284e-40,4.2966536846588809e-50,1.411941104825696e-29,2.8316718083886584e-90,2.7501712094568345e-90,2.7501712094568432e-90,6.0903244284375024e-41,6.0804011458647557e-45,8.8412617110473382e-36,1.6308704131974616e-41,1.278865446492715e-46,1.4060741322591823e-53,2.7368756548614579e-64,2.494071713993725e-74,9.7599945381126329e-77,3.1476011607588282e-87
3.2663916437996665e-19,0.3865311837698935,1.0221459626085658e-23,4.2030626323951639e-37,4.1941492760074713e-37,3.2398660652353349e-57,1.8218628434440684e-48,0.0,0.0,8.4167218505910703e-23,1.0539119627723484e-38,154.0,0.0,0.99999999999999278,1.0,19.0,7.30582771701311e-16,7.208058869379531e-17,3.1834770738882662e-15,3.183477165927003e-15,9.6844138889466601e-24,3.0535332276309557e-24,3.0518902338106958e-24,2.3515089467762575e-24,8.1066615713653321e-24,5.0786429388694403e-35,8.9622141969863442e-28,4.7271438128064911e-29,8.938497394357494e-39,8.9384973881991165e-39,5.393810005611605e-48,3.535172917462924e-39,7.6456652442583504e-49,6.1663177505254979e-29,4.7854001659341447e-88,4.6476677569402594e-88,4.647667756940289e-88,5.3868229889800536e-40,5.3780459508173123e-44,7.8145194554332179e-35,1.4424707512929306e-40,1.1311418782963858e-45,2.5020335213191108e-52,9.7677137687288514e-63,1.7826579858466561e-72,6.9760352550094811e-75,4.5025403637138371e-85
6.724923972528725e-19,0.3865311837698935,2.1044181586806804e-23,1.752809870971284e-36,1.7509747609949104e-36,2.7717774968466608e-56,1.5313854956544105e-47,0.0,0.0,1.7328571081315567e-22,4.3998806723136797e-38,154.0,0.0,0.99999999999998523,1.0,19.0,1.5041410005614022e-15,1.4840117342163139e-16,6.5542174986025675e-15,6.5542176831288604e-15,4.0430512592644809e-23,1.2747900120511236e-23,1.273409641104227e-23,9.8170863330539073e-24,3.384370871627883e-23,4.2670690079727563e-34,3.7415480001107665e-27,1.9734894857871561e-28,7.5133456375520159e-38,7.5133456271650175e-38,9.0974438861192981e-47,2.9715252288946228e-38,1.2895530536815425e-47,2.5743162729716414e-28,7.0068799387135704e-86,6.8052093531799032e-86,6.8052093531799889e-86,4.5279493058045625e-39,4.5205716659273935e-43,6.5593803629351482e-34,1.2124572379882574e-39,9.5079269241906587e-45,4.2200443247818093e-51,3.3002890171420561e-61,1.2056122037903694e-70,4.7178950221725318e-73,6.0925900960222349e-83
1.3641988629986843e-18,0.3865311837698935,4.2689625519636136e-23,7.1570259401725173e-36,7.1533032297474258e-36,2.2917656310568282e-55,1.2555223521179728e-46,0.0,0.0,3.5152350085026149e-22,1.7974994697332546e-37,154.0,0.0,0.99999999999997002,1.0,19.0,3.0512574582812124e-15,3.010422237529639e-16,1.3295698328087556e-14,1.3295698682306448e-14,1.651717624369703e-22,5.207933140194448e-23,5.1966273757335647e-23,4.0105995805386618e-23,1.3826253138052413e-22,3.495393211947918e-33,1.5285444371845838e-26,8.0623484664710114e-28,6.1598946789566176e-37,6.1598946618959604e-37,1.4942562263884246e-45,2.4362349005509508e-37,2.1180942992308092e-46,1.0516921923878628e-27,9.5813155798159606e-84,9.3055481141232791e-84,9.305548114123515e-84,3.7122864126353656e-38,3.7062377611799636e-42,5.3627599157314383e-33,9.9400249838161089e-39,7.7951694491082488e-44,6.931432473315978e-50,1.0850623598808354e-59,7.9309164055814745e-69,3.103587614231455e-71,8.0175026315411493e-81
2.7476117944903075e-18,0.3865311837698935,8.5980513430842978e-23,2.8922293714727078e-35,2.8914795386299672e-35,1.86363615271022e-54,1.0167545529239089e-45,0.0,0.0,7.0800230261491211e-22,7.2658178498709037e-37,154.0,0.0,0.9999999999999396,1.0,19.0,6.1454903737193407e-15,6.0632384791901477e-16,2.6778659907283072e-14,2.6778660540059564e-14,6.6765007698665052e-22,2.1051298326275362e-22,2.0959926500986202e-22,1.6211480620023797e-22,5.5887875965361848e-22,2.8258005365790593e-32,6.178620971480468e-26,3.258930142481532e-27,4.9884423977473655e-36,4.9884423700913616e-36,2.4222483409413714e-44,1.9729245436123109e-36,3.4335206304724039e-45,4.251107968591748e-27,1.267220693637497e-81,1.2307478067747623e-81,1.2307478067748257e-81,3.0063057916421763e-37,3.0014074103225321e-41,4.3187762287146304e-32,8.0489903439162433e-38,6.3127246736811285e-43,1.1236141001642534e-48,3.519370752221383e-58,5.1458448045650576e-67,2.0137118316000734e-69,1.0405163196540809e-78
5.514437657473554e-18,0.3865311837698935,1.7256228943544928e-22,1.1628017357805491e-34,1.1626512066511654e-34,1.5031068517072747e-53,8.1837252073589209e-45,0.0,0.0,1.4209727929057717e-21,2.9215836372762192e-36,154.0,0.0,0.99999999999987887,1.0,19.0,1.2333956204589639e-14,1.2168851902706095e-15,5.3744582746576303e-14,5.3744583695558831e-14,2.684586806446486e-21,8.4646343869863869e-22,8.3913875039725817e-22,6.5185617402371028e-22,2.2472229035619213e-21,2.26666621960719e-31,2.4843962885378064e-25,1.3104014661175629e-26,4.0151323952764774e-35,4.015132350737514e-35,3.9009389059532093e-43,1.5879786691789013e-35,5.5295742832714024e-44,1.7093517977575439e-26,1.6486888291371895e-79,1.6012366044123505e-79,1.601236604412515e-79,2.4197364552535309e-36,2.4157937692485645e-40,3.4379094912435507e-31,6.477401753850238e-37,5.0810209173745053e-42,1.8095427341840497e-47,1.1338102329869157e-56,3.3159567660485837e-65,1.2976258762992998e-67,1.3410793551449939e-76
1.1048089383440048e-17,0.3865311837698935,3.4572584217343244e-22,4.6630532471846743e-34,4.6627513580178816e-34,1.2074041225345027e-52,6.5669241002246691e-44,0.0,0.0,2.846965320532152e-21,1.1717099616573829e-35,154.0,0.0,0.99999999999975742,1.0,19.0,2.4710887866306388e-14,2.4380002510993689e-15,1.0767642714877158e-13,1.076764277854505e-13,1.0766355394296709e-20,3.3946969126150345e-21,3.3363924710628579e-21,2.6142321480537936e-21,9.0123367856286489e-21,1.8064880440730542e-30,9.9635400551621726e-25,5.2552958832541508e-26,3.221890833074353e-34,3.2218907615800262e-34,6.2618150961610369e-42,1.2742486312180837e-34,8.8761757938918722e-43,6.8552650810027417e-26,2.1275455047277403e-77,2.0663109251050986e-77,2.0663109251055235e-77,1.9416861340023782e-35,1.9385223087555159e-39,2.6992901415598705e-30,5.1959009205731715e-36,4.0771846989899684e-41,2.9047067768207597e-46,3.6404144520635039e-55,2.1294763041523278e-63,8.3332315557286702e-66,1.7225037406675243e-74
