Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473),C7H15(65),S(3676)
0.0,0.6724237575328447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.220827105694917e-22,0.6724237575328447,8.3797379974107306e-22,1.5421049644970937e-35,1.9156217423243885e-37,3.1842228058171614e-52,1.0489831552347745e-51,0.0,0.0,1.4196478321926163e-22,1.044637735047457e-40,154.0,0.0,0.99999999999999933,1.0,19.0,3.9665273231072487e-17,4.2315150516162124e-16,1.6104216258292501e-16,1.6104313546863145e-16,7.3642674792874704e-26,1.1092810443157981e-28,1.1092843783258542e-28,6.5445359953888308e-29,1.2038800003947206e-25,1.3493248836599162e-41,2.2554766118123246e-31,3.9174541380057975e-31,7.1287234837951865e-43,7.1287234837918195e-43,2.8969994425137817e-55,4.7752229153062011e-42,4.6948508583584038e-56,1.6476400245176256e-32,4.1959977565930008e-99,3.9201388612081568e-99,3.9201388612081649e-99,1.3566147332073864e-46,1.3070818351769169e-48,1.5921153884310162e-41,1.2718593532096259e-46,3.9178638985447783e-49,8.3727713773313664e-58,1.0954846388286242e-70,1.6216160783518646e-83,3.6760070308664781e-84,1.7392939266629139e-97,1.9831445909421109e-101,4.6563860878274523e-98,1.6634615387019437e-86,7.4194292363242154e-93,2.921056817125246e-42,2.9095548939248321e-39,2.0041422938121871e-51,1.6236120797235859e-51,7.2887309262673248e-52,1.1305468227327605e-55,3.9871081965171703e-64,2.4378238783582689e-64,4.7329781310184178e-70,1.1514480803260886e-82,3.4424863593116268e-70,2.3712328721973359e-82,1.9210020384786242e-82,1.3989715089437843e-82,3.3339660073677834e-83,3.3339660073675435e-83,4.3977091571822021e-97,5.739775560245935e-74,7.7003162804536197e-76,8.7633199110627424e-88,1.4039601248369967e-99,3.0181489449718953e-100,2.8900601512894418e-112,1.1515796770060666e-112,3.6377154226175062e-127,9.589472511925401e-75,1.3639952584302505e-84,2.2461354366454496e-96,1.2655743798640637e-127,1.8733952900805819e-140,9.086785615999712e-141,1.5225926032333211e-87,4.4781908011005153e-45,1.5423202619831077e-57,1.5423201471240859e-57,1.8736523779117143e-57,7.7914832279653234e-90,7.7667573372349818e-100,2.8543388574844005e-97,5.3498514699602846e-112,3.1562862200946034e-112,4.3340646633154501e-112,7.0528114331984108e-24,2.9526244826237927e-38
6.218315895945768e-22,0.6724237575328447,2.3463266392756018e-21,4.37996004504355e-35,1.1570355323641705e-36,4.8119975041463476e-51,1.2453529719758135e-50,0.0,0.0,3.9750139311946041e-22,6.3096119212164395e-40,154.0,0.0,0.99999999999999778,1.0,19.0,1.1106276504700277e-16,1.184824213812465e-15,4.5091805523182837e-16,4.509207793115956e-16,4.4480175554845279e-25,6.7000575076150975e-28,6.7000580067420397e-28,3.9528997401488897e-28,7.2714351991062531e-25,1.6019024107208298e-40,1.3623078735331991e-30,2.366142299349754e-30,8.4632205199428184e-42,8.4632205199352863e-42,6.4804718627601811e-54,5.6691446427092931e-41,1.0502193571684639e-54,9.951745748086112e-32,4.4711612190622233e-97,4.1772121593805246e-97,4.1772121593805407e-97,1.6105736406849763e-45,1.5517675547199529e-47,1.8901047905281852e-40,1.5099513470705553e-45,4.6512880115299092e-48,1.8729554626295339e-56,4.5205480277023502e-69,1.220712106113531e-81,2.7672063348718368e-82,2.3741276345410516e-95,2.7069848338536279e-99,6.3559439403609774e-96,1.252212324150174e-84,5.7162242109353178e-91,3.4678786518582942e-41,1.7573711559262503e-38,2.3793177311925166e-50,1.9275522594191601e-50,8.6531812743470937e-51,1.3422657424066627e-54,8.9189021824647014e-63,5.4532498245394823e-63,1.0588089786991864e-68,4.7517485219016823e-81,7.7011458016175036e-69,9.7855059095925556e-81,7.9275103555929476e-81,5.7732180515445054e-81,1.3758473755121797e-81,1.3758473755119994e-81,3.3106684315093226e-95,2.3685458429901992e-72,3.1775570727044221e-74,6.5968084938882981e-86,1.9163986509046435e-97,4.1197584345458763e-98,7.1297527489393685e-110,2.8409368470464892e-110,1.6189958170924819e-124,3.0345356694527497e-73,7.9057174597988378e-83,1.6909280303023043e-94,5.6325451256652288e-125,1.5026599645674487e-137,7.2885573184147748e-138,6.2836410943778356e-86,5.3165081177474808e-44,3.4501085207739895e-56,3.4501080468051061e-56,4.191285422298559e-56,3.2153572429913571e-88,5.8469438088009968e-98,2.2023811041439093e-95,7.3029209224999146e-110,4.3085512174242393e-110,5.9163003318284685e-110,1.974787201295587e-23,1.7833851875047895e-37
1.421329347644747e-21,0.6724237575328447,5.3630323183470461e-21,1.0303934783945238e-34,5.570628026682917e-36,5.1765273309458252e-50,1.2226950072572008e-49,0.0,0.0,9.0857461334196912e-22,3.0378065358089324e-39,154.0,0.0,0.999999999999995,1.0,19.0,2.538577486788626e-16,2.7081696285538551e-15,1.0306698405281886e-15,1.0306760669952347e-15,2.1415289799691408e-24,3.2257892767918581e-27,3.2257695148240947e-27,1.9031510658601259e-27,3.500883036231058e-24,1.5727232028501936e-39,6.5589259871285715e-30,1.1391956633234649e-29,8.3092400926533098e-41,8.3092400926384311e-41,1.2804320303948874e-52,5.565999822819996e-40,2.0750564707519262e-53,4.7913371912967355e-31,1.0175316811157538e-94,9.506357526968515e-95,9.5063575269685856e-95,1.5812710268201567e-44,1.5235345870757582e-46,1.855600451315003e-39,1.4824790232154384e-44,4.5666621327941954e-47,3.7006443594905356e-55,1.788283837585198e-67,9.6518035274054929e-80,2.1879468328627049e-80,3.7505397788204679e-93,4.2763740613455909e-97,1.0040833229052529e-93,9.9008662786455545e-83,6.1231226239951757e-89,3.4047838215995134e-40,8.4609856314681944e-38,2.3360282576014201e-49,1.8924822350769002e-49,8.4957445155730279e-50,1.3180150953931938e-53,1.7621818076580693e-61,1.0774423032291765e-61,2.0922906060458289e-67,1.8799768596932305e-79,1.5218075536405697e-67,3.8715271861726671e-79,3.1364304483923344e-79,2.2841100381973921e-79,5.4433884057429002e-80,5.4433884057415406e-80,2.617967488128411e-93,9.3697515771379646e-71,1.2570099771821874e-72,5.2158981107560413e-84,3.0274401801301291e-95,6.5082086181767099e-96,2.250650959318307e-107,8.9679929671848725e-108,1.0214600465092663e-121,6.9392358139309267e-72,3.6323605547388285e-81,1.3371301595666909e-92,3.5536965230569419e-122,1.8952611276110764e-134,9.1928444809550635e-135,2.4860999436229105e-84,5.2197791936737061e-43,6.8168321252758091e-55,6.8168302503027936e-55,8.2812736981599389e-55,1.2721206323614745e-86,4.6235704693074615e-96,2.3984135135187048e-93,1.1538237406298466e-107,6.8072883754507317e-108,9.3474462803284527e-108,4.5137993172472111e-23,8.5862319954702852e-37
3.0203248637450873e-21,0.6724237575328447,1.1396443676499488e-20,2.31449425729999e-34,2.4328396127556897e-35,4.7581204542440143e-49,1.0814599169380142e-48,0.0,0.0,1.9307210554754317e-21,1.326689925875801e-38,154.0,0.0,0.99999999999998934,1.0,19.0,5.3944771594257936e-16,5.7548604477954482e-15,2.1901734111151251e-15,2.1901866423533555e-15,9.3526196676159831e-24,1.4087869261999659e-26,1.408760721569579e-26,8.3115606976213777e-27,1.5289275954206139e-23,1.3909952352378849e-38,2.8644552969792637e-29,4.9751667551782819e-29,7.3494287627309336e-40,7.3494287627044588e-40,2.2784603691515514e-51,4.9230638015161701e-39,3.6924521130145561e-52,2.0925028311368472e-30,1.7195835575512563e-92,1.6065323958914022e-92,1.6065323958914267e-92,1.39861642546712e-43,1.3475490887804361e-45,1.641051908570784e-38,1.311235617125131e-43,4.0391609074095729e-46,6.585098860574689e-54,6.3822579433473774e-66,6.8987055290007126e-78,1.563852897574377e-78,5.3650248321962227e-91,6.1172146541107679e-95,1.4363083327624236e-91,7.0767251680096778e-81,4.9799646854628961e-87,3.011492726855932e-39,3.6951347152171487e-37,2.0661905390898781e-48,1.6738790991091159e-48,7.5143895063678424e-49,1.1660729618572147e-52,3.1355547711132678e-60,1.9171510330240461e-60,3.7240577753415909e-66,6.7111682994652355e-78,2.7086577917527338e-66,1.3820631520191947e-77,1.1196463332788322e-77,8.1538489376104508e-78,1.9431886629356019e-78,1.9431886629346548e-78,1.871674368567347e-91,3.3440010842549301e-69,4.4861793141428325e-71,3.7281058662275839e-82,4.3306544653633816e-93,9.3097802202808858e-94,6.4410743558163225e-105,2.5665245639840321e-105,5.8475231655366924e-119,1.362395481030174e-70,1.4315793938330433e-79,9.5596001800944001e-91,2.0343745027527502e-119,2.1701242676942414e-131,1.0526050794175086e-131,8.8749935408177601e-83,4.6168355797155743e-42,1.2130185260283207e-53,1.2130178568643071e-53,1.473608406374007e-53,4.5412346236348436e-85,3.3055484358694456e-94,1.9615469678540764e-91,1.6509118893412056e-105,9.7399921393564186e-106,1.3374488716118885e-105,9.59182354915098e-23,3.7498330929325244e-36
6.2183158959457675e-21,0.6724237575328447,2.3463266392842572e-20,5.2799191396243947e-34,1.0156626477837362e-34,4.0706722242233015e-48,9.0903223477155497e-48,0.0,0.0,3.9750139464961378e-21,5.5386692925038469e-38,154.0,0.0,0.99999999999997802,1.0,19.0,1.1106276504700018e-15,1.1848242045313881e-14,4.5091805522658581e-15,4.5092077930329708e-15,3.9045345895470244e-23,5.8814080962324882e-26,5.8811518301318444e-26,3.4699129698849701e-26,6.3829717163666784e-23,1.1691133303651324e-37,1.1958536995627455e-28,2.0770341838905032e-28,6.177637711258831e-39,6.1776377112141731e-39,3.8429563863074476e-50,4.1381317471736419e-38,6.227860165639971e-51,8.7357874099876187e-30,2.5178491132285795e-90,2.3523173099715491e-90,2.3523173099716198e-90,1.1756214220546554e-42,1.1326962050303554e-44,1.3790571313807302e-37,1.1021720555878748e-42,3.3951580644545728e-45,1.1106731549571609e-52,2.1564206789834713e-64,4.6655978171024396e-76,1.0576344554262062e-76,7.2596580825719641e-89,8.2774808909974783e-93,1.9435335493168128e-89,4.7859925833862887e-79,3.5753681835522679e-85,2.5313410838888935e-38,1.5426460046982972e-36,1.7367576452892398e-47,1.4069962312588354e-47,6.3162966405679066e-48,9.8066521640681585e-52,5.2880531259761207e-59,3.2332180833272049e-59,6.2843347475260061e-65,2.2686771160440625e-76,4.5708507511318631e-65,4.6719947450677745e-76,3.7849014098427486e-76,2.7563682994561248e-76,6.5688533135946813e-77,6.5688533135883554e-77,1.2664374786884103e-89,1.1298629314254575e-67,1.5157785919842277e-69,2.521319793400501e-80,5.8600047620290709e-91,1.259748539959396e-91,1.7434920530869197e-102,6.9471565838131044e-103,3.1659728691758829e-116,2.5692282191414514e-69,5.4055514133742268e-78,6.4683452168098746e-89,1.1014534357892941e-116,2.3500203215458959e-128,1.1398625249564386e-128,3.0001606652560992e-81,3.8807284816016007e-41,2.0459319341526656e-52,2.0459296732023413e-52,2.4854559592922266e-52,1.535141937212528e-83,2.2366446290455757e-92,1.4115890389455639e-89,2.2350188547707664e-103,1.3186087951389326e-103,1.8106481152733477e-103,1.9747872012960609e-22,1.5654815006874129e-35
1.2614297960347129e-20,0.6724237575328446,4.7596911825681568e-20,1.2799662202430728e-33,4.1493133187726435e-34,3.3657105140175472e-47,7.4527955215250741e-47,0.0,0.0,8.0635997555526722e-21,2.262727137638029e-37,154.0,0.0,0.99999999999995537,1.0,19.0,2.2529875195248005e-15,2.4035005076491741e-14,9.1471948344747671e-15,9.1472500942457035e-15,1.595129769401308e-22,2.4027471126118347e-25,2.4025224065993931e-25,1.4175726621551175e-25,2.6076521973401922e-22,9.5834254943160341e-37,4.8854525600793829e-28,8.4853623604073049e-28,5.0648006326439903e-38,5.0648006325706407e-38,6.3120672299524948e-49,3.3926903973741749e-37,1.0229278947248872e-49,3.5688541987020648e-29,3.4429456869473504e-88,3.2165949477098017e-88,3.2165949477099976e-88,9.6384548723449745e-42,9.2865278348446253e-44,1.1300675575461098e-36,9.0362644054055489e-42,2.7835556163378703e-44,1.8242839339878561e-51,7.0898391730574646e-63,3.0691859843816877e-74,6.9574724923767906e-75,9.5533015690491532e-87,1.0892699573995491e-90,2.5575799913320375e-87,3.1483856806150841e-77,2.4207749580119545e-83,2.0753463428642563e-37,6.3022122819234665e-36,1.4238988478638265e-46,1.1535405005870978e-46,5.1784807551854377e-47,8.0484598340098304e-51,8.6839409052760899e-58,5.3094624789343242e-58,1.0332442969585053e-63,7.4663119533369874e-75,7.5152035346449558e-64,1.5375724218393053e-74,1.2456221144081573e-74,9.0713252213167824e-75,2.1618376492807096e-75,2.1618376492765717e-75,8.3392480851646862e-88,3.7147429855119233e-66,4.9835483412358224e-68,1.658608362792451e-78,7.7114367341486663e-89,1.6577582360432531e-89,4.5891576709134131e-100,1.8286058318848368e-100,1.6667598669537604e-113,4.986117673240386e-68,2.0966076633530251e-76,4.2592813598135228e-87,5.7987179865351292e-114,2.4744511052565865e-125,1.200216891306189e-125,9.8736778887027573e-80,3.1816556592442541e-40,3.3604457036968464e-51,3.3604382702107698e-51,4.0823688594433848e-51,5.0522175997259327e-82,1.4727876209340941e-90,9.567752455487649e-88,2.9440415470881183e-101,1.7369161090205579e-101,2.3850415246488916e-101,4.0059968940588222e-22,6.3955027343447949e-35
2.540626208914985e-20,0.6724237575328448,9.5864202691970858e-20,3.4194721521502604e-33,1.6772187852719343e-33,2.7369398936075521e-46,6.0354670587729409e-46,0.0,0.0,1.6240771481726228e-20,9.1463049446354001e-37,154.0,0.0,0.99999999999991018,1.0,19.0,4.5377072576342147e-15,4.840853048341145e-14,1.8423223398522358e-14,1.8423334696085228e-14,6.4477694681493794e-22,9.7122879928029217e-25,9.7104095698959492e-25,5.7300552981272143e-25,1.0540546947395618e-21,7.7581997830912884e-36,1.9747780363787455e-27,3.429919135064357e-27,4.1016068658221494e-37,4.1016068657032456e-37,1.0232132420308974e-47,2.7474886057955575e-36,1.6582101736940892e-48,1.4425879281829871e-28,4.5536252630804425e-86,4.2542547419636488e-86,4.2542547419641653e-86,7.8054707199623574e-41,7.520471009799727e-43,9.1424130465207767e-36,7.3177882217921145e-41,2.2541953581178051e-43,2.9572426821247247e-50,2.2995721969278132e-61,1.991392461506789e-72,4.5142452571665152e-73,1.239834199528e-84,1.4136622451380862e-88,3.3192432166912123e-85,2.0427799236349921e-75,1.5930851834480553e-81,1.6806692513146652e-36,2.5474549678437353e-35,1.1531102037119635e-45,9.3416697751011447e-46,4.1936666075706268e-46,6.5314145614384066e-50,1.4071526756116225e-56,8.603277632629419e-57,1.6783067300505303e-62,2.4264794306214445e-73,1.2207003422576828e-62,4.9969574553295301e-73,4.0481200921381474e-73,2.94809395097546e-73,7.0257663176963805e-74,7.0257663176695596e-74,5.4214287531519039e-86,1.2048681102621573e-64,1.6164019351367299e-66,1.0761616809276949e-76,1.0007957327473393e-86,2.1514504009690342e-87,1.1912319722171516e-97,4.7466091753066721e-98,8.6532254653438243e-111,1.046698192519151e-66,8.7852130610107921e-75,2.7690014970219711e-85,3.0104885019590106e-111,2.5693286794229958e-122,1.24623665994345e-122,3.2088546607892495e-78,2.5765872206404358e-39,5.4474154903111416e-50,5.4473913801324248e-50,6.6176957870925467e-50,1.6419225630483639e-80,9.5747398935552531e-89,6.2997080398662339e-86,3.8282796659460256e-99,2.2585974220919781e-99,3.1013726709636051e-99,8.068416279587689e-22,2.5851644605142334e-34
5.0990190346755294e-20,0.6724237575328447,1.9239878442699463e-19,1.0240713294011602e-32,6.7440229689116996e-33,2.2074411765128107e-45,4.8578689701737905e-45,0.0,0.0,3.2595115366315312e-20,3.6776890519310062e-36,154.0,0.0,0.99999999999981981,1.0,19.0,9.1071467338523149e-15,9.7155578675506996e-14,3.6975280525136647e-14,3.6975503897421071e-14,2.5926196651439226e-21,3.9052682836325766e-24,3.9037330229076581e-24,2.3040299913193134e-24,4.2383074382829126e-21,6.2401214249482241e-35,7.940495629811818e-27,1.3791553986486163e-26,3.301330036836197e-36,3.3013300366447061e-36,1.6478532004371892e-46,2.2114177925664731e-35,2.6704962856941458e-47,5.8005826118878898e-28,5.924391307720033e-84,5.5349020523423988e-84,5.5349020523437439e-84,6.2825219261112796e-40,6.0531293343133779e-42,7.3438953089502504e-35,5.8899717077748211e-40,1.8143722956512708e-42,4.7625475653755883e-49,7.4083772181605707e-60,1.2832453987279387e-70,2.9089617278932632e-71,1.5979745979435139e-82,1.8220148985649843e-86,4.2780394843885726e-83,1.3163592755876955e-73,1.0338110735413667e-79,1.3527487895434596e-35,1.0243204382832465e-34,9.2812340969031726e-45,7.5189881004625622e-45,3.3754255224760766e-45,5.2788843113644264e-49,2.2644014897251668e-55,1.3843764923256893e-55,2.7137261379721573e-61,7.8481482237251683e-72,1.9738027416599955e-61,1.6162011485728289e-71,1.3092939504721085e-71,9.5352503812756775e-72,2.2723988843968222e-72,2.2723988843794834e-72,3.5072604383670746e-84,3.8816432346455163e-63,5.2074539953105729e-65,6.9347438235568465e-75,1.2898872373168273e-84,2.7729218985122772e-85,3.0707489798501052e-95,1.2235774740449046e-95,4.4613044834390859e-108,2.4456756520282338e-65,4.0953147592224073e-73,1.7913376429856482e-83,1.5521039993985636e-108,2.6493322778904388e-119,1.2850419006531688e-119,1.0378656876177154e-76,2.0738615174418927e-38,8.7728566837828e-49,8.772779010630364e-49,1.0657594874859123e-48,5.310599314606014e-79,6.1941432362419196e-87,4.0891722235641868e-84,4.9534084166558462e-97,2.9224011848914247e-97,4.0128323367035492e-97,1.6193255050658792e-21,1.0394832596072087e-33
1.0215804686196619e-19,0.6724237575328447,3.8546794790682283e-19,3.4052112695228419e-32,2.7046548444095934e-32,1.7731367985536958e-44,3.8981339137414109e-44,0.0,0.0,6.5303804864461326e-20,1.4749178470971161e-35,154.0,0.0,0.99999999999963896,1.0,19.0,1.8246025686285587e-14,1.9464966457272356e-13,7.4079394772441611e-14,7.4079842290723998e-14,1.039756379561883e-20,1.566187247462185e-23,1.5649462938732472e-23,9.2401904280360659e-24,1.6997507412082041e-20,5.0003330145773814e-34,3.1844938944417401e-26,5.5310299890775857e-26,2.6491094432387078e-35,2.6491094429313239e-35,2.6451687470055043e-45,1.7745234064220963e-34,4.2867377097650243e-46,2.3262930647541411e-27,7.6451131385299376e-82,7.1424978876825236e-82,7.1424978876859904e-82,5.0413282013809378e-39,4.8572550771104471e-41,5.8695357795937306e-34,4.7262978384310954e-39,1.4559191183169395e-41,7.6449416373501994e-48,2.3786739597719025e-58,8.2409073381324282e-69,1.8681137746305905e-69,2.0524705089459279e-80,2.340232364683568e-84,5.4947855591652861e-81,8.4535622165885109e-72,6.6623095522583477e-78,1.0854956481403917e-34,4.107983094643974e-34,7.4476058417901827e-44,6.0335137128319689e-44,2.7085628676988195e-44,4.2710124479189133e-48,3.6291820502246282e-54,2.2185323962337811e-54,4.3910125150683858e-60,2.5397322373511437e-70,3.1937609392791698e-60,5.2301542729122047e-70,4.2368616149488592e-70,3.0856966898726358e-70,7.3536993533744292e-71,7.3536993532621046e-71,2.2699498894168055e-82,1.2463142039834084e-61,1.6720041697896554e-63,4.453442205191024e-73,1.6567572601745382e-82,3.5615969513181747e-83,7.8883699975499346e-93,3.1432178108089746e-93,2.2921223693763044e-105,6.3594270289657021e-64,2.1250533950499588e-71,1.1593797369943182e-81,7.9743768006167259e-106,2.722349179752242e-116,1.3204582884932993e-116,3.3586333169028542e-75,1.6641432031342118e-37,1.4082255784010824e-47,1.4082006398228693e-47,1.7107799503729238e-47,1.7185605294034835e-77,4.0089394097163567e-85,2.635596532713443e-82,6.4117992730866003e-95,3.7828286321364109e-95,5.1942153402778418e-95,3.2442932592854495e-21,4.1687927912823024e-33
