Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144)
0.0,0.397859188305247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1548127157118391e-22,0.397859188305247,3.9944846072810923e-22,1.1822774459616925e-35,7.8900331870786564e-38,1.527881372862691e-58,3.1048475768823366e-52,0.0,0.0,1.1712410788587078e-22,6.8676102237367657e-41,154.0,0.0,0.99999999999999944,1.0,19.0,1.9963931419095413e-17,2.0572655540305366e-16,1.3652451203670763e-16,1.3652502860922763e-16,1.8580302180243605e-26,8.2501146316706797e-29,8.2501329719093279e-29,4.8771905279493785e-29,3.0219655338991865e-26,5.1461799621117645e-42,1.6520253078045272e-31,1.6622915888644982e-31,1.5478065999100157e-43,1.5478065999093733e-43,5.529350741713616e-56,6.0330312669621712e-43,8.9507412646999985e-57,1.2013771977167793e-32
3.23347560399315e-22,0.397859188305247,1.1184556900389512e-21,3.3359405562188822e-35,4.7655800449963627e-37,2.308934331128208e-57,3.6860756292847102e-51,0.0,0.0,3.2794750215777452e-22,4.1480365760344212e-40,154.0,0.0,0.99999999999999867,1.0,19.0,5.5899007973467105e-17,5.760343549675591e-16,3.8226863370251308e-16,3.8227008010541162e-16,1.1222502514249937e-25,4.9830692375080527e-28,4.9830728057911765e-28,2.9458230784716447e-28,1.8252671820494382e-25,6.1095136440102765e-41,9.9782328591300661e-31,1.0040241196726645e-30,1.8375559954106693e-42,1.8375559954092324e-42,1.236893642516111e-54,7.1624147186066036e-42,2.0022450175127535e-55,7.2563182742064292e-32
7.390801380555772e-22,0.397859188305247,2.5564701486616177e-21,7.7455216068379072e-35,2.2944216508037553e-36,2.4838461917471872e-56,3.6190111677492751e-50,0.0,0.0,7.4959429101092768e-22,1.9971010544064555e-39,154.0,0.0,0.99999999999999689,1.0,19.0,1.277691610822103e-16,1.316649953452605e-15,8.7375687703305084e-16,8.737601830960764e-16,5.4031518700890369e-25,2.3991333348582787e-27,2.3991274044018973e-27,1.4182870049130094e-27,8.7878757661937743e-25,5.9982906231485212e-40,4.8040895950816451e-30,4.8339439403955789e-30,1.8041233728473615e-41,1.8041233728445223e-41,2.4438933988725123e-53,7.0321012400253568e-41,3.956098745579047e-54,3.4936048909560175e-31
1.5705452933681013e-21,0.397859188305247,5.4324990659108795e-21,1.6973703028495095e-34,1.0020342147603143e-35,2.2830825811075997e-55,3.2009744958600084e-49,0.0,0.0,1.5928878699546159e-21,8.7218649980208375e-39,154.0,0.0,0.99999999999999334,1.0,19.0,2.7150946729969584e-16,2.7978811478468375e-15,1.8567333636898333e-15,1.8567403890705935e-15,2.3596983728342744e-24,1.0477645581895689e-26,1.0477552482119254e-26,6.1940319641441187e-27,3.8378962214540696e-24,5.3053025426529069e-39,2.098072140897364e-29,2.1111103178347844e-29,1.5957266922269491e-40,1.5957266922218962e-40,4.3487777110759438e-52,6.2198139050212439e-40,7.0396663374791348e-53,1.5257490410957861e-30
3.23347560399315e-21,0.397859188305247,1.1184556900425113e-20,3.7066143153490481e-34,4.1832955958010282e-35,1.953225218498412e-54,2.6906119773901311e-48,0.0,0.0,3.2794750327915212e-21,3.6412069531082226e-38,154.0,0.0,0.99999999999998612,1.0,19.0,5.589900797346636e-16,5.7603435263318648e-15,3.8226863369862252e-15,3.8227008009923762e-15,9.8512761794551906e-24,4.3742107774183284e-26,4.3741157499768492e-26,2.585886412202327e-26,1.6022461201352412e-23,4.4592286579968474e-38,8.7590381818501306e-29,8.8134700039514132e-29,1.3413044345468829e-39,1.3413044345383607e-39,7.334849188152543e-51,5.2281283493678376e-39,1.1873426194696469e-51,6.3697019022536489e-30
6.5593362252432465e-21,0.397859188305247,2.2688672569516435e-20,8.3795332530241073e-34,1.7090127484640812e-34,1.6149643876403098e-53,2.2059262750896722e-47,0.0,0.0,6.6526493782634437e-21,1.4875518554692913e-37,154.0,0.0,0.9999999999999718,1.0,19.0,1.1339513046045854e-15,1.1685268242088169e-14,7.754592283510319e-15,7.7546216247269424e-15,4.0245677425377122e-23,1.7870078294299274e-25,1.786923114575827e-25,1.0564189722760336e-25,6.5456981747710158e-23,3.6556207401257652e-37,3.5783528976072987e-28,3.6005900729678187e-28,1.099682413616125e-38,1.0996824136021272e-38,1.2047511644929327e-49,4.2863354751080238e-38,1.95021381037986e-50,2.6022310653079788e-29
1.3211057467743441e-20,0.3978591883052471,4.5696903907950472e-20,2.0343094779106755e-33,6.9081027769633897e-34,1.3132622280214159e-52,1.7864162964974059e-46,0.0,0.0,1.3398998148399741e-20,6.0129224830866853e-37,154.0,0.0,0.99999999999994305,1.0,19.0,2.283873754344376e-15,2.3535117508745771e-14,1.561840417628374e-14,1.5618463271760095e-14,1.626794615903365e-22,7.2233713634861457e-25,7.222657930641608e-25,4.2702143725528366e-25,2.6458758379183174e-22,2.9598912763830323e-36,1.4464274541074688e-27,1.4554160759021627e-27,8.9055132969615659e-38,8.9055132967346555e-38,1.9529534982003314e-48,3.4711855727184211e-37,3.1613806028391451e-49,1.051863402678173e-28
2.651449995274383e-20,0.397859188305247,9.1713366585824159e-20,5.4741112434431003e-33,2.7777177437111493e-33,1.0591935770312043e-51,1.437863252706865e-45,0.0,0.0,2.6891696005442143e-20,2.4177697202015227e-36,154.0,0.0,0.99999999999988554,1.0,19.0,4.5837186538237434e-15,4.7234815382640991e-14,3.1346027960731548e-14,3.1346146564082696e-14,6.5412694975187957e-22,2.9044858548804047e-24,2.9039006704278622e-24,1.7170344018345976e-24,1.0638950205269954e-21,2.3815330177984732e-35,5.8160211764068156e-27,5.8521640290851466e-27,7.1679318628636257e-37,7.1679318624981953e-37,3.1451712232599426e-47,2.7939120937499968e-36,5.0913059229761992e-48,4.229496479419818e-28
5.312138492274461e-20,0.397859188305247,1.8374629194559395e-19,1.6542072615954586e-32,1.1139890517179823e-32,8.5080190488478498e-51,1.1537947078839199e-44,0.0,0.0,5.3877092986606162e-20,9.6963382370582714e-36,154.0,0.0,0.99999999999977063,1.0,19.0,9.1834084527816231e-15,9.4634208492751624e-14,6.2801275525230948e-14,6.2801513141754613e-14,2.6233415505147596e-21,1.1648287334414526e-23,1.164354840272236e-23,6.8860757831521497e-24,4.266694735315372e-21,1.9096755604456451e-34,2.332484619348336e-26,2.3469795196210708e-26,5.7518138982793584e-36,5.7518138976927614e-36,5.048695787766152e-46,2.2419384342046726e-35,8.1726733102592303e-47,1.696217257007861e-27
1.0633515486274615e-19,0.39785918830524697,3.678121426812231e-19,5.543142672822856e-32,4.4617667431307475e-32,6.8202307082224158e-50,9.2443981237633898e-44,0.0,0.0,1.0784789201725113e-19,3.8835931063804281e-35,154.0,0.0,0.99999999999954081,1.0,19.0,1.8382788050693956e-14,1.894329841622548e-13,1.25711770636645e-13,1.2571224626921802e-13,1.0507048810706125e-20,4.6653906428073088e-23,4.6615775392727537e-23,2.758021966692996e-23,1.7089032816007357e-20,1.527897960528267e-33,9.3421046501989939e-26,9.4001598548465883e-26,4.6084504635043241e-35,4.60845046256424e-35,8.0910756402775838e-45,1.7962788416164411e-34,1.3097586337618919e-45,6.7937164495202179e-27
