Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473),C7H15(65),S(3676),C7H15(64)
0.0,0.4838414369901979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.785429730289517e-21,0.4838414369901979,1.0946077499819883e-23,3.6084657688093271e-38,3.144354940030183e-38,4.6563587030907448e-52,7.4838527440402905e-51,0.0,0.0,2.5359271711854132e-23,2.6154556227727553e-40,154.0,0.0,0.99999999999999933,1.0,19.0,8.3482740321988187e-17,3.4677941956488257e-17,3.3677000648878548e-16,3.3677000324522526e-16,2.2067799599657688e-25,1.2079640945954098e-26,1.2079102408814541e-26,8.5810595852292697e-27,2.2595434174515494e-25,1.7764717466332863e-38,6.2477266150993325e-30,1.0393265230590285e-30,1.8826156817601744e-41,1.8826156817051431e-41,4.7969939697170211e-52,1.8863287636489226e-41,7.0606350918723643e-53,4.4775041354709039e-31,1.7920090384229395e-94,1.7199087386195131e-94,1.7199087386195165e-94,2.3215340266339681e-43,7.475886300466217e-47,2.5235966771693637e-38,6.852147591358321e-44,3.5470140505712004e-48,7.9867626043366599e-56,2.3053557628755188e-67,1.9383207031388174e-78,2.740516703351637e-80,7.940251225814815e-92,3.725061823387767e-95,6.4395728317003241e-93,2.1339391600635984e-81,5.1151686321803265e-90,1.8422803834511479e-41,6.1813452924201769e-40,2.2171936412547673e-50,6.9542695104674174e-52,1.0689917667650668e-51,7.3682207409430262e-57,6.4152478899598217e-62,3.2606375550886175e-62,1.9693487978501123e-69,5.7927209057321946e-81,1.6196931070255278e-70,5.8096908474440591e-81,1.8222076403276805e-82,4.1270546682019143e-81,5.6006849113608469e-83,5.6006849113492158e-83,3.4172639167042668e-95,1.3560809664051786e-69,1.1797858572718999e-73,2.5067719669693248e-84,2.2785462436432208e-94,4.4957841691595073e-95,4.0208175308042217e-106,5.2743266912512254e-107,8.8688045283680252e-120,2.3816558298651419e-75,7.7587081744330208e-84,1.271289741657383e-94,2.6823123418976191e-121,2.2552621284234021e-132,1.179326761939383e-132,4.8981351505190092e-85,3.5946185828881179e-42,6.4467751952794241e-53,6.4467575286201914e-53,1.782703021183123e-53,3.292155307693431e-90,8.0057184573676296e-99,4.4996930695824591e-95,2.8715789918873371e-109,2.0398950481512173e-109,9.0067240948136492e-111,1.15151724815529e-24,3.0777296013456909e-37,3.8388811908000859e-23
2.7399203244810644e-20,0.4838414369901979,3.0649016999768961e-23,2.0291414161725241e-37,1.8991903837919392e-37,7.0366892717029019e-51,8.8848299964323884e-50,0.0,0.0,7.1005963694035538e-23,1.5797352503095437e-39,154.0,0.0,0.99999999999999778,1.0,19.0,2.3375167290156506e-16,9.7098235997635507e-17,9.4295601812945457e-16,9.429560090196916e-16,1.332895078860493e-24,7.2961031307835944e-26,7.2954638723568849e-26,5.1829599654600237e-26,1.3647642067764239e-24,2.1089163934842892e-37,3.77362687529646e-29,6.2775321989489237e-30,2.235041337278863e-40,2.2350413371557619e-40,1.0730683253899033e-50,2.2394494821058554e-40,1.5794358155873233e-51,2.7044124976844273e-30,1.9095246901829414e-92,1.8326962257656395e-92,1.8326962257656463e-92,2.7561252098090316e-42,8.8753722153072038e-46,2.9955195854615992e-37,8.1348590479728311e-43,4.2110149967110032e-47,1.7866068134382285e-54,9.513114928221057e-66,1.4591194179970642e-76,2.0629925330516112e-78,1.0838403595832878e-89,5.0846909912647465e-93,8.7899789175738525e-91,1.6063761070430268e-79,3.8853617250634766e-88,2.1871552457443496e-40,3.7335325562749173e-39,2.6322522905629514e-49,8.256108669525313e-51,1.269106623456065e-50,9.1457459025140718e-56,1.4349686369995981e-60,7.2934732364638185e-61,4.5969244834043172e-68,2.491810364005238e-79,3.7807456490385613e-69,2.499109252385966e-79,7.838402582608276e-81,1.77530382504932e-79,2.4092043180137142e-81,2.4092043180045353e-81,2.6801341252280356e-93,5.59590636654769e-68,4.8684193381059432e-72,1.8870353537969205e-82,3.1102043711132438e-92,6.1367231876113753e-93,9.9193208251450049e-104,1.3011717066996258e-104,3.9471359540331121e-117,1.0877244090651716e-73,6.4558408516519055e-82,9.9706288502128594e-93,1.1937856394094313e-118,1.8089573004618766e-129,9.4594403408205204e-130,2.1069939958983439e-83,4.267531163339102e-41,1.4421152558871183e-51,1.4421079657324923e-51,3.9878353339573976e-52,1.4161615754683687e-88,6.2788241459244371e-97,3.4721761391445189e-93,4.082598177285181e-107,2.9001724395149525e-107,1.2805049766288678e-108,3.2242482948366677e-24,1.8589486792136799e-36,1.0748867334240137e-22
6.262675027385291e-20,0.4838414369901979,7.0054896000760274e-23,9.4408151001472116e-37,9.1437841658134278e-37,7.5697492150947838e-50,8.7231787851171793e-49,0.0,0.0,1.6229935926177428e-22,7.6057457632588487e-39,154.0,0.0,0.99999999999999489,1.0,19.0,5.3428953806071132e-16,2.2193881815780382e-16,2.1553280412542145e-15,2.1553280203008935e-15,6.4173158691979957e-24,3.5127595862244341e-25,3.512132046933667e-25,2.4953720913570214e-25,6.5707519974844384e-24,2.0703118270661477e-36,1.8168388993355976e-28,3.0223615285642422e-29,2.1943768383285292e-39,2.1943768380853021e-39,2.1202020206443104e-49,2.1987047260049345e-39,3.1206989623400713e-50,1.3020582023849463e-29,4.3456314198123194e-90,4.1707878104980621e-90,4.1707878104980917e-90,2.7059800806113455e-41,8.7138930699439564e-45,2.9399722101639353e-36,7.9868304578644562e-42,4.134399316551718e-46,3.5300338468960819e-53,3.7632935061968723e-64,1.1536818020638726e-74,1.6311460966511288e-76,1.712202062469423e-87,8.0325652799670542e-91,1.3885990263392206e-88,1.2701132334714848e-77,3.4976760442756529e-86,2.1473619359352157e-39,1.7975352105155002e-38,2.584360907208986e-48,8.1058962521659149e-50,1.2460155569951931e-49,9.8227994142460811e-55,2.8348383501068028e-59,1.4408760770595069e-59,9.9111282878159968e-67,1.0744247764378138e-77,8.1514184717125063e-68,1.0775710317440199e-77,3.3797351433717791e-79,7.6548009309139819e-78,1.0388070806996471e-79,1.0388070806925335e-79,2.3085866646626931e-91,2.2136849309928903e-66,1.9258982441007657e-70,1.4920220881709141e-80,4.9133605534156164e-90,9.694518432007788e-91,3.1312344164582692e-101,4.1074121541204453e-102,2.4903347928996582e-114,5.3771289302316218e-72,6.370694886598262e-80,8.5883988361754934e-91,7.5318558766020402e-116,2.2815849765445155e-126,1.1930915651449912e-126,9.0849927457147035e-82,4.1898873635908563e-40,2.8493656231774764e-50,2.8493367844160214e-50,7.8792905416515182e-51,6.106242857139542e-87,5.4083896378252317e-95,3.7839861624639827e-91,7.0246050636263116e-105,4.9901015195959759e-105,2.2032475043325605e-106,7.3697103882068407e-24,8.9500376807265093e-36,2.4568839621119825e-22
1.3308184433193744e-19,0.4838414369901979,1.4886665400711548e-22,4.0564498503805421e-36,3.9933307740509035e-36,6.9579036799470813e-49,7.7155528520467244e-48,0.0,0.0,3.4488619681075544e-22,3.3216294801913201e-38,154.0,0.0,0.99999999999998923,1.0,19.0,1.1353652683789745e-15,4.7161995878963796e-16,4.580072086877421e-15,4.5800720417925751e-15,2.8026102862946644e-23,1.5341143992485245e-24,1.5335594578529945e-24,1.0897945300956101e-24,2.8696198710166588e-23,1.8307498255826259e-35,7.9346127977118566e-28,1.3199446837771738e-28,1.9409014625720967e-38,1.9409014621392873e-38,3.7727856315744706e-48,1.9447293322725782e-38,5.5531168808370066e-49,5.6864302498782948e-29,7.3439249820498202e-88,7.048447012029354e-88,7.0484470120294567e-88,2.3934087397151644e-40,7.7073397363819801e-44,2.5985120980750013e-35,7.0642212544539531e-41,3.6568290579093869e-45,6.2815060943757836e-52,1.3430926104500036e-62,8.246034446262975e-73,1.1658749298330259e-74,2.449249026875441e-85,1.1490321835365531e-88,1.9863392986062468e-86,9.0782375657330356e-76,2.6601668942466587e-84,1.8993172181903746e-38,7.8503085159976605e-38,2.2858379542092243e-47,7.1695730871184894e-49,1.1020851345406861e-48,1.0188580172245726e-53,5.0429501116979085e-58,2.5632782354691923e-58,2.0597888398808571e-65,4.4697302606358251e-76,1.6940756194389534e-66,4.4828115662079828e-76,1.4059701362586015e-77,3.1844876787151546e-76,4.3215613772817477e-78,4.3215613772219948e-78,1.9215856955442837e-89,7.9004841204502559e-65,6.8733938104105531e-69,1.0664349664401021e-78,7.0284018496545077e-88,1.3867692057930539e-88,8.9611898578767445e-99,1.1754886406287832e-99,1.4256348048784344e-111,2.1003651143160744e-70,4.9901981067071183e-78,7.1486787149208139e-89,4.3117398969120023e-113,2.6124752420407215e-123,1.3661214496451563e-123,3.7794654394239516e-80,3.7059078553051239e-39,5.0702541831098002e-49,5.070151262234538e-49,1.402077627787198e-49,2.540269849875123e-85,4.5017517573668796e-93,3.0955443230365567e-89,1.1696330113320157e-102,8.3087875844095971e-103,3.6684657290342903e-104,1.5660634574976863e-23,3.9087165937227051e-35,5.2208784194877576e-22
2.739920324481065e-19,0.48384143699019777,3.0649017003731628e-22,1.6801320956709991e-35,1.6671369893954277e-35,5.9526330843810312e-48,6.4853870707393888e-47,0.0,0.0,7.1006005756273266e-22,1.3867153265197829e-37,154.0,0.0,0.9999999999999778,1.0,19.0,2.3375167290153824e-15,9.709821452993146e-16,9.4295601756185822e-15,9.4295600804946577e-15,1.1700344981981995e-22,6.4046256215561158e-24,6.3999626626374976e-24,4.5496774570331556e-24,1.1980096777007086e-22,1.5381535876715198e-34,3.3125446482084238e-27,5.5105092206888376e-28,1.6314446267008543e-37,1.6314446259708574e-37,6.3633524447939638e-47,1.634662017072794e-37,9.3661426580494012e-48,2.3739726906742368e-28,1.0753123861910837e-85,1.0320479027192971e-85,1.0320479027193268e-85,2.0118042609336002e-39,6.4784834466436675e-43,2.1810834057957007e-34,5.937836599038226e-40,3.0737846303750726e-44,1.0594676373251228e-50,4.5380056263393069e-61,5.5767961736490113e-71,7.884816502330095e-73,3.3141892945841956e-83,1.554807260283507e-86,2.6877885605692686e-84,6.1396154545786163e-74,1.8541306903708728e-82,1.5964904027638392e-37,3.2773492692034266e-37,1.9213845304605666e-46,6.0264575874755815e-48,9.2636641265063571e-48,1.1088232438281541e-52,8.5006374313841874e-57,4.3210376941683776e-57,4.4735898995655897e-64,1.9395558692694688e-74,3.6793089806818193e-65,1.9452257770860574e-74,6.1006114443253003e-76,1.3818512433676643e-74,1.875264925599682e-76,1.8752649255432777e-76,1.6668565263887341e-87,2.6693948683372731e-63,2.3223642699839454e-67,7.2123043676965616e-77,9.5104483830539739e-86,1.8765001166895319e-86,2.4256447848979328e-96,3.1818527119369396e-97,7.7186882489969687e-109,7.3915066994984651e-69,3.5173174461215818e-76,6.2010358417282016e-87,2.3344671414018342e-110,2.8290405390629306e-120,1.4793682637344274e-120,1.6400320262132414e-78,3.1150387342989928e-38,8.5515907808286437e-48,8.5512430521331465e-48,2.3648087661537495e-48,1.1023050363025723e-83,3.9049906467900581e-91,2.2279604797575282e-87,2.0286722326335475e-100,1.4411230499404984e-100,6.3625863272001704e-102,3.2242482948635614e-23,1.6318122346457957e-34,1.0748867334238656e-21
5.5581240868044455e-19,0.4838414369901979,6.2173720216767965e-22,6.8371600962274196e-35,6.8107985759255854e-35,4.9217521420793213e-47,5.3171121523001875e-46,0.0,0.0,1.4404085216827447e-21,5.665187892170017e-37,154.0,0.0,0.99999999999995504,1.0,19.0,4.7418196502877254e-15,1.9697061393028447e-15,1.9128536343079888e-14,1.9128536140786524e-14,4.779971661477478e-22,2.6164985406937457e-23,2.6126782045030589e-23,1.8586915467207233e-23,4.894259373038699e-22,1.2599216263609958e-33,1.3532825730987658e-26,2.2512228181373996e-27,1.3375568715916224e-36,1.3375568703926011e-36,1.0451819043727498e-45,1.3401944124168161e-36,1.5383915396843704e-46,9.6984530410706707e-28,1.470398728553393e-83,1.4112382071057577e-83,1.4112382071058393e-83,1.6493986825418781e-38,5.3114521367434169e-42,1.783084383881086e-33,4.8680872951070216e-39,2.5200734756985568e-43,1.7401781911993057e-49,1.4919964708853583e-59,3.6686015896995343e-69,5.1868939545196222e-71,4.3612853471981549e-81,2.0460382721810701e-84,3.5369334962222757e-82,4.0388427907535365e-72,1.2379671036951117e-80,1.3088990231083303e-36,1.3389041116244602e-36,1.5752671197579091e-45,4.940853063548499e-47,7.594869744403953e-47,1.3230100960725203e-51,1.3945810186044459e-55,7.0897545346128044e-56,1.0631294961531798e-62,9.2000157668411937e-73,8.7437203391530308e-64,9.2268488095432074e-73,2.8934254517030393e-74,6.5546431503248896e-73,8.8951000691522616e-75,8.8951000685575741e-75,1.579746766322572e-85,8.7763851933908029e-62,7.6354246163362275e-66,4.7444940876908287e-75,1.2515213709447456e-83,2.469368301787224e-84,6.384691799171082e-94,8.3751584346182944e-95,4.0635844774054781e-106,2.4777989775319854e-67,2.3598841821840721e-74,5.8769703113226754e-85,1.2290047393426555e-107,2.9788345051476169e-117,1.5576988629924746e-117,7.7793003576876987e-77,2.5538967672175849e-37,1.4045573392421447e-46,1.4044430252800292e-46,3.8842052199674701e-47,5.228654970979395e-82,3.7009160881346369e-89,1.5103026230381762e-85,3.8434033533807756e-98,2.7302814890140802e-98,1.2053458768579637e-99,6.5406179696427894e-23,6.6664854258030404e-34,2.1804845163737848e-21
1.1194531611451206e-18,0.4838414369901979,1.2522312667082527e-21,2.7583431286913664e-34,2.7530336803713746e-34,4.0022870958753227e-46,4.3059352775753261e-45,0.0,0.0,2.9011084203869931e-21,2.2899621999975841e-36,154.0,0.0,0.99999999999990941,1.0,19.0,9.5504254928305166e-15,3.9671526112477635e-15,3.8526488637918444e-14,3.8526488193023436e-14,1.932140132754171e-21,1.0576305415313197e-22,1.0545409698246588e-22,7.5131272242779038e-23,1.9783370330345073e-21,1.0184600958320837e-32,5.4701845207129043e-26,9.0998025542841056e-27,1.0831882313201368e-35,1.083188229376474e-35,1.6942828142090247e-44,1.0853237426420584e-35,2.4937983170044205e-45,3.9202697772201027e-27,1.9447430715626659e-81,1.8664976188477392e-81,1.8664976188479545e-81,1.3357258183877487e-37,4.3013516388366733e-41,1.4357962650687519e-32,3.9421253165099425e-38,2.0408194214742448e-42,2.8209019423151997e-48,4.839251589348614e-58,2.3803123193545737e-67,3.3654315630774126e-69,5.6601034614484726e-79,2.655361305299044e-82,4.5901403276532097e-80,2.6205372863913615e-70,8.0918365323816401e-79,1.0599799352510663e-35,5.4120644744210194e-36,1.2756921495090103e-44,4.001229340206929e-46,6.1504547378311631e-46,1.7418354690081529e-50,2.2553410697776173e-54,1.1468354853496487e-54,2.7878859686720017e-61,4.8153464672864747e-71,2.2928999047583399e-62,4.8293268621148551e-71,1.5141074197386001e-72,3.4307650827800181e-71,4.6557929970078632e-73,4.6557929963274707e-73,1.6520620369453859e-83,2.8465987711227255e-60,2.4765310232317357e-64,3.0783888338665976e-73,1.6242329158345847e-81,3.2047628569102447e-82,1.6573062075737108e-91,2.1739837721266742e-92,2.1096682657024601e-103,8.1133034181399193e-66,1.5460052949822948e-72,6.1459974158983842e-83,6.3805546846508194e-105,3.0930508237058577e-114,1.6174251189914795e-114,4.0717712082663523e-75,2.0682115088073393e-36,2.2767052862318331e-45,2.2763345870299082e-45,6.2964631371239466e-46,2.7367352108377453e-80,3.8703307910801797e-87,9.9461218275687776e-84,8.0345962350403658e-96,5.7076860404184076e-96,2.5194609721830835e-97,1.3173357319391169e-22,2.6946999970847449e-33,4.3916800822725785e-21
2.2467346660744728e-18,0.483841436990198,2.5132193969087859e-21,1.108048350058701e-33,1.1069827351475464e-33,3.227989523289178e-45,3.4657913209919096e-44,0.0,0.0,5.8225200996523313e-21,9.207858805688888e-36,154.0,0.0,0.99999999999981826,1.0,19.0,1.9167637177908529e-14,7.9620394908982384e-15,7.7322393067259338e-14,7.7322392024924903e-14,7.7690437561267661e-21,4.2526858684636928e-22,4.2278860990772458e-22,3.020994458582605e-22,7.9547992992114673e-21,8.1677150103435315e-32,2.1995371281919622e-25,3.6589905716735744e-26,8.7184412091763397e-35,8.7184411778743221e-35,2.7285834999210235e-43,8.7356226174059129e-35,4.0161831757678342e-44,1.576323229907373e-26,2.530164032269393e-79,2.4283645539657536e-79,2.4283645539663139e-79,1.0751083467462408e-36,3.4621019916841639e-40,1.1426818033734507e-31,3.1726789261170958e-37,1.6426267374862698e-41,4.5429695108942289e-47,1.5590272988874304e-56,1.5338619887395577e-65,2.1686681663631597e-67,7.295080949733962e-77,3.4223889987707875e-80,5.9157540801394959e-78,1.6886618215158038e-68,5.2335656094886943e-77,8.5316337720529705e-35,2.1761673082977986e-35,1.0267880155828303e-43,3.2205349432733405e-45,4.95031208541763e-45,2.4811890188354168e-49,3.6150931415275562e-53,1.8391195393814493e-53,7.9184189124789528e-60,2.7312449407388131e-69,6.5125123877550106e-61,2.7391017886510395e-69,8.5842192257353188e-71,1.9459425192621446e-69,2.6407937282453298e-71,2.6407937274258965e-71,1.8727187865579813e-81,9.1706924056715156e-59,7.9784703987387699e-63,1.9837007506196882e-71,2.0934104752709921e-79,4.1304937403405021e-80,4.2721810195000027e-89,5.604076844929572e-90,1.0876716285391065e-100,2.6261012176458637e-64,1.0010002785151034e-70,6.9668841517437104e-81,3.2895922168170829e-102,3.1893604699305902e-111,1.6677875784601292e-111,2.3095330801231618e-73,1.6646760575860802e-35,3.6661041735158607e-44,3.6649104022106838e-44,1.0140256854462454e-44,1.5522924269348789e-78,4.387268774826536e-85,6.4582201059210151e-82,1.820827367271326e-93,1.2935222656596277e-93,5.7083172090937652e-95,2.6438836019647612e-22,1.0835270171416898e-32,8.8140712140659899e-21
4.501297675933178e-18,0.48384143699019777,5.0351956617873979e-21,4.4416309242844121e-33,4.4394958825614431e-33,2.5928967109915191e-44,2.7810792698414578e-43,0.0,0.0,1.1665390985609936e-20,3.6927804701820805e-35,154.0,0.0,0.99999999999963585,1.0,19.0,3.8402060548034262e-14,1.5951788993315386e-14,1.5491420128459639e-13,1.549141986048912e-13,3.1157286198478791e-20,1.7055172210321025e-21,1.6857248600380598e-21,1.211553129744754e-21,3.1902247715046907e-20,6.5068505729983216e-31,8.8211275804967144e-25,1.4674188611522823e-25,6.9959999556514246e-34,6.9959999054049764e-34,4.3799591675084683e-42,7.0097756477965947e-34,6.446856595632923e-43,6.3217611354786123e-26,3.2650425963873717e-77,3.1336757645861874e-77,3.1336757645876333e-77,8.6270674438999433e-36,2.778118786535302e-39,8.9677635826355491e-31,2.5454153759357531e-36,1.3181008484037425e-40,7.2924525856444287e-46,5.0056964569246077e-55,9.8503251893400293e-64,1.3926993983442834e-65,9.3699255868830027e-75,4.3957744875100001e-78,7.5975391841775682e-76,1.084443595723777e-66,3.3671519141517865e-75,6.8460877112044638e-34,8.7274041109960592e-35,8.2393270316360423e-43,2.5842724114410072e-44,3.9721388246722081e-44,3.7228828635835875e-48,5.7489947269484816e-52,2.9273883274228852e-52,2.371750258071872e-58,1.634551291058608e-67,1.9506486078668157e-59,1.6391662514598239e-67,5.1328792138959097e-69,1.1646079266685593e-67,1.5804755987578148e-69,1.5804755977418216e-69,2.2405409370915399e-79,2.9445139715109182e-57,2.5617168369414396e-61,1.2739169735608717e-69,2.6888160967261171e-77,5.3052840715042863e-78,1.0974643734873603e-86,1.4396159707701121e-87,5.5882175531973042e-98,8.4515449202333774e-63,6.4436007513526675e-69,8.3352552759151811e-79,1.6901201150763519e-99,3.2772575671786096e-108,1.7137509308359787e-108,1.3822210623912402e-71,1.335796904169081e-34,5.8834344534673874e-43,5.8796046192082969e-43,1.627734860987679e-43,9.2902358037890216e-77,5.2489742010637673e-83,4.1652139245668826e-80,4.3557052323603737e-91,3.0944384670635008e-91,1.3648640748613155e-92,5.2969793423199263e-22,4.3454279583224801e-32,1.7658853477636111e-20
