Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153)
0.0,0.45930301738911333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.358919999422662e-22,0.45930301738911333,5.275923567794156e-22,1.0957421236755315e-35,1.6935243721000902e-37,4.4994489483479423e-58,1.1543392760086041e-51,0.0,0.0,1.5100230795001805e-22,1.4325395319851014e-40,154.0,0.0,0.99999999999999922,1.0,19.0,3.4630160441563656e-17,2.9996407471857264e-16,2.0164576874689628e-16,2.0164644734143379e-16,5.4787498113754475e-26,2.1372123124742504e-28,2.1372130690535091e-28,1.276241358006343e-28,8.6859717641910106e-26,2.5395490264561609e-41,3.9646955812918239e-31,4.1425879685170392e-31,7.2684056645033422e-43,7.2684056644980022e-43,4.6002496067614094e-55,3.0079659578471862e-42,7.4051176871909369e-56,2.8895044193340618e-32,6.7831627752015182e-99,6.3482267195547709e-99,6.3482267195547814e-99,3.3788470964396055e-46,2.0012800327599729e-48,3.0329348091095978e-41,3.2381026809363569e-46,5.3504199739591448e-49,1.1085753606661469e-57,1.4720192295722724e-70,3.3719963677980249e-83,4.4496907933102712e-84,3.2739247559425169e-97,5.3309918191223548e-101,5.6552845080541521e-98,3.4680090253238334e-86,1.0376976719841018e-92,1.8972998498704869e-42,2.6119199918222728e-39,2.7683335982534305e-51,1.2702010213383321e-51,6.1665014325659252e-52,7.798428474214905e-56,5.4452752302111377e-64,3.2894726850566178e-64,5.0958122339095316e-70,1.2110356342017152e-82,2.2403377809092107e-70,2.3744992567643665e-82,1.0894968181909753e-82,1.4179331005791954e-82,1.9583371524431389e-83,1.9583371524430997e-83,3.9389552538244341e-97,9.8135094479677319e-79,8.7267097800885413e-76,9.9737227360706212e-88
6.604975998383454e-22,0.45930301738911333,1.4772585989829236e-21,3.1229481359480501e-35,1.0228887207487714e-36,6.7995672532830444e-57,1.3704317623189322e-50,0.0,0.0,4.2280646244612427e-22,8.652538776640998e-40,154.0,0.0,0.99999999999999789,1.0,19.0,9.696444923637811e-17,8.3989940874458714e-16,5.6460815249061478e-16,5.6461005255490759e-16,3.3091648845340722e-25,1.2908762367244876e-27,1.2908729404042284e-27,7.708497800273819e-28,5.2463269431351006e-25,3.0149244865935624e-40,2.3946761310963414e-30,2.5021231329774765e-30,8.6290512048768456e-42,8.6290512048648974e-42,1.0290574343902525e-53,3.5710571836364124e-41,1.6564952054525953e-54,1.7452606692766207e-31,7.2279863103826967e-97,6.7645281920551676e-97,6.7645281920551884e-97,4.0113685696371805e-45,2.37591965488811e-47,3.6006030793187772e-40,3.8442753017170027e-45,6.3520185814024575e-48,2.4798387344387161e-56,6.0743285569532615e-69,2.5383546963497251e-81,3.3496161592539821e-82,4.4688911504528856e-95,7.2767825391109247e-99,7.7194353279718421e-96,2.6106306283422408e-84,7.9952385749579446e-91,2.2524743808076177e-41,1.5775996750554722e-38,3.286565647815888e-50,1.5079826512786863e-50,7.3208704289604687e-51,9.2590053147507525e-55,1.2180735671393068e-62,7.3583379032382816e-63,1.1399964443923648e-68,4.997730158711174e-81,5.0119136797758099e-69,9.7991387680348885e-81,4.4961599075477371e-81,5.8515594976326492e-81,8.0817116063574259e-82,8.081711606357131e-82,2.9653566483303734e-95,5.9700445198723398e-77,3.6011012240499663e-74,7.5079695285271447e-86
1.5097087996305038e-21,0.45930301738911333,3.3765910833921765e-21,7.3968409191220852e-35,4.9247688740718121e-36,7.3146641747310643e-56,1.3454981069712443e-49,0.0,0.0,9.6641477218263106e-22,4.1658249641813356e-39,154.0,0.0,0.99999999999999523,1.0,19.0,2.2163302682600645e-16,1.9197700749269503e-15,1.2905329199752723e-15,1.2905372629774271e-15,1.5932204428429319e-24,6.2150134045257231e-27,6.2149593055717384e-27,3.7113098659557074e-27,2.5258805853723395e-24,2.9600111823383455e-39,1.1529334750337819e-29,1.204664581234532e-29,8.4720536424783714e-41,8.4720536424547661e-41,2.0332440722379635e-52,3.5060851157553997e-40,3.2729553796257047e-53,8.4026788514061586e-31,1.6449205701008912e-94,1.5394483459600015e-94,1.5394483459600111e-94,3.938386017069985e-44,2.3326920061709815e-46,3.5348877397893876e-39,3.7743318615185042e-44,6.2364494854330745e-47,4.8997434318431565e-55,2.4029439610649845e-67,2.0070007245961902e-79,2.6484407669401758e-80,7.0597527214260136e-93,1.1495536228714257e-96,1.2194815328645984e-93,2.0641471305388702e-82,8.5691675254741346e-89,2.2114927020373021e-40,7.5954633361414521e-38,3.2267696420293807e-49,1.4805463065839953e-49,7.1876738472752653e-50,9.0920524230041891e-54,2.4066531008262794e-61,1.453848583576396e-61,2.2528025024503074e-67,1.9773651311498084e-79,9.9042867505080503e-68,3.8770548956759063e-79,1.7789166409732179e-79,2.3151849974689105e-79,3.1975505996526071e-80,3.1975505996523726e-80,2.3449868269163379e-93,2.695171104867597e-75,1.4245598313060835e-72,5.9363257423245467e-84
3.208131199214821e-21,0.45930301738911333,7.1752560522196327e-21,1.6822549520008193e-34,2.1507759525720201e-35,6.7234365926449211e-55,1.1900778685891974e-48,0.0,0.0,2.0536313946328223e-21,1.8193252109583801e-38,154.0,0.0,0.9999999999999899,1.0,19.0,4.7097018200526066e-16,4.0795113998130136e-15,2.7423824549334696e-15,2.7423916838047539e-15,6.958012236627983e-24,2.7142596366879192e-26,2.7142024224935855e-26,1.6208265214370933e-26,1.1031184102760379e-23,2.617990429401221e-38,5.0351633881798506e-29,5.2610867199109996e-29,7.4934355037362426e-40,7.4934355036942376e-40,3.6180491653204507e-51,3.1010925740084428e-39,5.824049213867711e-52,3.6696706125363864e-30,2.7798430440140018e-92,2.6015996479843701e-92,2.6015996479844028e-92,3.483458057142614e-43,2.06323966254473e-45,3.1262022876733599e-38,3.3383530308385114e-43,5.5160689003041368e-46,8.7188315773203676e-54,8.5759362491858016e-66,1.4345201867660223e-77,1.8929947045346944e-78,1.0098746021153171e-90,1.6443991950653845e-94,1.7444284156139279e-91,1.4753660479302655e-80,6.970678816524677e-87,1.9560402469818278e-39,3.3171383895339788e-37,2.8540412062562393e-48,1.3095264367942405e-48,6.3574158496186701e-49,8.0444966258503088e-53,4.2823139693342719e-60,2.5869207994988113e-60,4.0100345772395774e-66,7.0593158136243476e-78,1.7629833191740393e-66,1.3841324135762072e-77,6.350836009785586e-78,8.2653538754229354e-78,1.1415453882693312e-78,1.1415453882691635e-78,1.6766265254522259e-91,1.0176511192801534e-73,5.0841528412077582e-71,4.2430374125128586e-82
6.6049759983834545e-21,0.4593030173891133,1.4772585989910345e-20,3.918565886010885e-34,8.9790662209188272e-35,5.7520415754827876e-54,1.0003321681173535e-47,0.0,0.0,4.2280646514419153e-21,7.5953246466050856e-38,154.0,0.0,0.99999999999997924,1.0,19.0,9.6964449236375948e-16,8.398994019670487e-15,5.6460815248053937e-15,5.6461005253885636e-15,2.904833128554309e-23,1.1331499679349064e-25,1.1330980127390392e-25,6.7666316510709784e-26,4.6053021953880874e-23,2.2004005019403397e-37,2.1020815971462371e-28,2.1964001408126577e-28,6.2986840541137364e-39,6.2986840540428898e-39,6.1023686567331878e-50,2.6066551536650595e-38,9.8231102235300656e-51,1.5320152431148336e-29,4.0703025523247405e-90,3.8093149575927417e-90,3.8093149575928372e-90,2.9280564809091839e-42,1.7342772558557603e-44,2.6271460777467721e-37,2.8060855985768264e-42,4.6365882047391933e-45,1.470558359904933e-52,2.897614988670357e-64,9.7016668228602151e-76,1.280233215993189e-76,1.3665070620157044e-88,2.2251111811343506e-92,2.3604647031435208e-89,9.977907575712543e-79,5.0050054581802283e-85,1.6441696817778439e-38,1.3848399795918923e-36,2.3989936025475955e-47,1.1007358670623105e-47,5.3437906296239787e-48,6.766391316940425e-52,7.2220849129370515e-59,4.3627979982158609e-59,6.7678726369808786e-65,2.3866974172297242e-76,2.9754473023336252e-65,4.6796383193738701e-76,2.1471617997744775e-76,2.7944492696945246e-76,3.8594726902272522e-77,3.8594726902261185e-77,1.1346175966310638e-89,3.5307446903996775e-72,1.7178203311380522e-69,2.869568246227929e-80
1.3398665596720721e-20,0.45930301738911333,2.9967245865434973e-20,9.7958646095034462e-34,3.6682415309810593e-34,4.7558992376436244e-53,8.2013275372387768e-47,0.0,0.0,8.5769312126949452e-21,3.1029379685115465e-37,154.0,0.0,0.99999999999995803,1.0,19.0,1.9669931130807194e-15,1.7037959139726828e-14,1.1453479664371357e-14,1.1453518208272816e-14,1.186719105993213e-22,4.6292873561353583e-25,4.6288457317883635e-25,2.7643898064761473e-25,1.8814161992360275e-22,1.8037291108042588e-36,8.5876892164383328e-28,8.9730112425216703e-28,5.1640417378003651e-38,5.1640417376840007e-38,1.002315856119892e-48,2.1370933666470987e-37,1.6134487918905676e-49,6.258782152318157e-29,5.5657944486325301e-88,5.2089159888058319e-88,5.2089159888060964e-88,2.4005976448946687e-41,1.4218652749218736e-43,2.1528847064106416e-36,2.300596419866096e-41,3.801355019668784e-44,2.4153964472758381e-51,9.5267238321904521e-63,6.382080289251632e-74,8.4218014521224502e-75,1.7982464082318567e-86,2.9281212224494457e-90,3.1062377071308994e-87,6.5638006779664796e-77,3.3888655365739367e-83,1.3479896317043474e-37,5.6575231784747805e-36,1.9668398961390835e-46,9.0244975443998584e-47,4.3811616702016616e-47,5.5548877985453126e-51,1.1860116958270568e-57,7.1645227036337044e-58,1.1130585237253634e-63,7.8568956869054726e-75,4.8934830179306581e-64,1.5405142081768163e-74,7.0683271057524567e-75,9.1991967087538825e-75,1.2705204784523433e-75,1.2705204784515959e-75,7.4732910543484233e-88,1.1759121825821198e-70,5.6478173704291567e-68,1.8876978252623587e-78
2.6986044793395256e-20,0.45930301738911333,6.0356565617057024e-20,2.7169169479506668e-33,1.482761876974237e-33,3.8674183239852777e-52,6.6416476925388094e-46,0.0,0.0,1.7274664525740373e-20,1.2542571555862107e-36,154.0,0.0,0.99999999999991551,1.0,19.0,3.9616903545144883e-15,3.4315888901205106e-14,2.3068275942791754e-14,2.3068353572907973e-14,4.7969082905521387e-22,1.8712319647945524e-24,1.8708680412700729e-24,1.1174105482678976e-24,7.6049849694979606e-22,1.4602336070103738e-35,3.4712812864280534e-27,3.6270346099969965e-27,4.1819748857317157e-37,4.181974885543082e-37,1.6247971041453517e-47,1.7306735906093561e-36,2.6154699809139582e-48,2.5298998152270672e-28,7.3612959698388549e-86,6.8892900428824024e-86,6.8892900428830982e-86,1.9440662275782478e-40,1.151463363902147e-42,1.7418308170714349e-35,1.8630792420079738e-40,3.0784356550225206e-43,3.9154614854162605e-50,3.0899698511272793e-61,4.1409111945412579e-72,5.4643517995371049e-73,2.3337768458293993e-84,3.8001364006368263e-88,4.0312944797295051e-85,4.2588175761316116e-75,2.2302147192890844e-81,1.0916369366048968e-36,2.2868613244966552e-35,1.5927979411463684e-45,7.3082718761848348e-46,3.5479771012115976e-46,4.5104639179648758e-50,1.9218699266382613e-56,1.1609508663523226e-56,1.8089631327739929e-62,2.5548242223873771e-73,7.952978375414923e-63,5.0092803382124613e-73,2.2983870398850064e-73,2.9913005217818387e-73,4.1313487119164704e-74,4.1313487119116084e-74,4.8611211336661528e-86,3.8385480875644299e-69,1.8318559992259e-66,1.2248027384198575e-76
5.416080318674432e-20,0.45930301738911344,1.2113520512259236e-19,8.4390608920612602e-33,5.9621202932026405e-33,3.1192130624262729e-51,5.3457758809581653e-45,0.0,0.0,3.4670131913988735e-20,5.0433129951250713e-36,154.0,0.0,0.99999999999983047,1.0,19.0,7.9510848373814193e-15,6.8871746509624127e-14,4.6297868496786412e-14,4.6298024297645902e-14,1.9288156649966987e-21,7.5241414267094324e-24,7.5211874400882713e-24,4.4930585862511049e-24,3.0579309114837914e-21,1.1745623457694961e-34,1.395786937867243e-26,1.4584146641312129e-26,3.3660172110459306e-36,3.3660172107421408e-36,2.616685352297091e-46,1.3929966297297339e-35,4.2121336482976517e-47,1.0172615887533635e-27,9.5772478707074282e-84,8.963155219469072e-84,8.9631552194708806e-84,1.5647536369241944e-39,9.2679789019430667e-42,1.3993584833772124e-34,1.4995628078416266e-39,2.4777925163837367e-42,6.3057292354655071e-49,9.9547482648202576e-60,2.6683867493779641e-70,3.5212066263996218e-71,3.0079151973582862e-82,4.8978496662717252e-86,5.1957734639667983e-83,2.7443651544222285e-73,1.4472803557857036e-79,8.7864435086389832e-36,9.1953688039274749e-35,1.2820223524947847e-44,5.8823326713006161e-45,2.8557186924978718e-45,3.6496856742058806e-49,3.0928402901218829e-55,1.86823058075393e-55,2.9282480573953728e-61,8.2723231992690433e-72,1.2873835322337173e-61,1.6219631693032026e-71,7.4418790458555648e-72,9.6856042993132513e-72,1.3376996559636808e-72,1.3376996559605329e-72,3.1482042623434178e-84,1.2406654440958476e-67,5.9015679414394523e-65,7.8925809902285248e-75
1.0851031997344246e-19,0.4593030173891133,2.4269248414282775e-19,2.8873280667943925e-32,2.3910769000227703e-32,2.5055216859780794e-50,4.2896484824748056e-44,0.0,0.0,6.9461069739115406e-20,2.0225941884152652e-35,154.0,0.0,0.99999999999966049,1.0,19.0,1.5929873803112853e-14,1.3798345406831284e-13,9.2757053593391215e-14,9.2757365729000059e-14,7.7354130107293411e-21,3.0175172343864504e-23,3.0151375665896218e-23,1.8019173836045823e-23,1.2263669871555154e-20,9.4129377532072319e-34,5.5977299005650432e-26,5.8488950928951142e-26,2.7010168265686105e-35,2.7010168260809603e-35,4.2003585542333659e-45,1.1177920013862759e-34,6.7614069494397469e-46,4.0796739518993008e-27,1.2358931021947987e-81,1.1566476987197656e-81,1.1566476987202324e-81,1.255616253334611e-38,7.4369693899149813e-41,1.1187174035625296e-33,1.2032959670698718e-38,1.9882719403281149e-41,1.0122089427643003e-47,3.196260119716376e-58,1.7136183096838413e-68,2.2612929516360712e-69,3.8634264214753482e-80,6.2908960858863949e-84,6.6735375761824191e-81,1.7624110821154119e-71,9.3269185677742211e-78,7.0505671478066739e-35,3.6877541616457843e-34,1.0287421975993038e-43,4.7202009667911853e-44,2.2915312814252578e-44,2.9595718739311487e-48,4.9574153484947722e-54,2.9942953110775738e-54,4.7485427361426059e-60,2.6827938644773207e-70,2.0876632031589388e-60,5.2601625315944098e-70,2.4133947729128558e-70,3.1411374868104673e-70,4.3382943113211082e-71,4.3382943113006892e-71,2.0419403455178707e-82,3.9905211213535325e-66,1.8948695875095071e-63,5.0685582890779553e-73
