Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31)
4.139963057372428e-13,0.43804706975993174,1.6529004530659197e-12,5.4759690159277649e-19,5.4653201761980123e-19,3.0462587205650108e-30,2.3507365804072959e-24,0.0,0.0,5.6110176891874496e-13,5.2154215657473864e-22,154.0,0.0,0.99999816216820636,1.0,18.999999999304247,7.5516309793621374e-08,5.4947000735050672e-07,4.71213468393087e-07,4.7144734930480827e-07,1.0207230426849164e-07,4.6295815741926214e-10,1.6317315483649177e-13,2.3208450921934304e-10,1.6741502090727259e-07,4.9298497926481468e-18,9.5533013224518795e-13,1.0941634821886929e-12,1.2507381940862918e-15,1.250481473109279e-15,2.0723295013644364e-19,4.5011112228306468e-15,4.9488026842109799e-20,6.9492259539178331e-14,5.2804046382548773e-36,4.9324187319066946e-36,4.9324212101720215e-36,5.1691280396264667e-19,3.4963708365977321e-21,1.7199523190648032e-18,1.2041315337106566e-20,4.9434854496169352e-22,5.6821499670728885e-22,3.0537923634612538e-26,2.3067971030518463e-30,3.467852980582717e-31,7.0672644069226271e-36,1.1653135310920345e-39,1.7757058130583642e-37,2.3634456609926564e-33,1.7091361724533009e-38,2.7442976248469899e-15,8.2746104592146217e-21,5.425901381744398e-24,1.9778830906645546e-24,1.7870931240466105e-25,1.1163016408210305e-24,8.1365574800978059e-32,4.6738462982735729e-32,3.198110143587747e-30,5.7902775824259299e-35,1.5351869390383278e-30,3.523526908755573e-35,3.1000735989338168e-36,1.6367125745975066e-34,5.409078272524963e-35,5.4088778064307765e-35,3.275639391550641e-40,3.4137634895702243e-29,3.2459850328175573e-31,1.1776592477916581e-34,7.8324329647503253e-38,1.6585172464868772e-38,3.2041516081145599e-42,1.5453050516187162e-42,1.5699242695788796e-48,2.706780082638971e-31,1.2478363118276746e-32,1.6770970027008212e-39
4.3464269044551503e-13,0.4380470697597594,1.7353591936299345e-12,6.036416031506442e-19,6.0240956904710218e-19,3.5567905270258924e-30,2.7202894128520345e-24,0.0,0.0,5.9630506268799051e-13,5.8082731761322221e-22,154.0,0.0,0.99999807070279223,1.0,18.999999999235303,7.9282373229303437e-08,5.6625993787341572e-07,4.9468911391244486e-07,4.9494869441072262e-07,1.1111088363013392e-07,5.1015288583703292e-10,1.7130865851056262e-13,2.5378691559363906e-10,1.8223974825780886e-07,5.4324309420813855e-18,1.0529767445645739e-12,1.2059104529429936e-12,1.447254480988406e-15,1.446948691005927e-15,2.4616105335053621e-19,5.1592101109131432e-15,5.9628929084998408e-20,7.659529043122122e-14,7.4225590806174614e-36,6.9334082548636898e-36,6.9334119120535767e-36,5.9862727819632594e-19,4.0458080356968611e-21,1.8807892958795739e-18,1.3179697574164742e-20,5.5585869243548522e-22,6.7349683640985309e-22,3.8113561595098664e-26,3.0294096451606175e-30,4.5543193060603786e-31,9.7618633990661282e-36,1.6113619565429301e-39,2.3467127704469093e-37,3.1039309939342786e-33,2.2910361770195652e-38,3.1455353642908313e-15,9.1199627449403956e-21,6.2774735942664822e-24,2.2499017196697642e-24,1.9792938976492226e-25,1.3005017781813891e-24,9.4136095004084019e-32,5.4074156658770062e-32,3.9188173416479872e-30,7.1581901272582655e-35,1.881139927336831e-30,4.3281580017240856e-35,3.8001646041615994e-36,2.0511136900888974e-34,6.9701703870990036e-35,6.9698987708057566e-35,4.4382420448700853e-40,4.3285431053583592e-29,4.1113908978836593e-31,1.5674135149605249e-34,1.0951666578531544e-37,2.3171885655019649e-38,4.6661324020722013e-42,2.2696089404984458e-42,2.4214455034738221e-48,3.408720639770111e-31,1.6526459291301076e-32,2.2723387279729817e-39
4.552890751537873e-13,0.4380470697595795,1.8178205026951113e-12,6.6242267972630477e-19,6.6100688523429514e-19,4.1245087222801088e-30,3.1266772988708614e-24,0.0,0.0,6.3219425030741633e-13,6.4388543005795517e-22,154.0,0.0,0.99999797925012068,1.0,18.9999999991633,8.3048436106835164e-08,5.8233441212212502e-07,5.1816247230585512e-07,5.1844924683356894e-07,1.2041562775977657e-07,5.5962465323705357e-10,1.7944388775502531e-13,2.7627735704603208e-10,1.9750102891895106e-07,5.9592616062064736e-18,1.1553725134201677e-12,1.3230790035370434e-12,1.6633368164196784e-15,1.6629757192270676e-15,2.8989216296197691e-19,5.8739432849917804e-15,7.1205029594275057e-20,8.4043793732122236e-14,1.0270101756781865e-35,9.5933045618781226e-36,9.5933098622590196e-36,6.8857634205271972e-19,4.6499674106191623e-21,2.0474665359492796e-18,1.4360025115569481e-20,6.2121824355508124e-22,7.9150432769951765e-22,4.7052902891670206e-26,3.9260871345947498e-30,5.9025494337365948e-31,1.3275903247014538e-35,2.1937780748892708e-39,3.0588762977006856e-37,4.022831665448949e-33,3.0296741251390222e-38,3.5813024321712903e-15,1.0006371977261431e-20,7.2136462638302074e-24,2.5425843463402223e-24,2.1813479426107106e-25,1.5039677980705165e-24,1.0817536874252329e-31,6.2138651045330793e-32,4.7552312566922718e-30,8.7563398244815897e-35,2.2826325609183854e-30,5.2636307993910372e-35,4.6128781758401201e-36,2.5410754321131386e-34,8.8732684581588467e-35,8.8729057450594541e-35,5.9267746482756195e-40,5.4270002430325852e-29,5.1492200651617114e-31,2.0581343457415461e-34,1.507330388196204e-37,3.1867447486489147e-38,6.6740713927149388e-42,3.2738287394383213e-42,3.659911163298126e-48,4.2447626758939894e-31,2.1594274954485117e-32,3.0344535290829979e-39
4.759354598620595e-13,0.4380470697593919,1.9002843801939347e-12,7.2394099659274698e-19,7.2232404928141122e-19,4.7530277966824388e-30,3.5716505804908301e-24,0.0,0.0,6.6876932094730796e-13,7.108022231497314e-22,154.0,0.0,0.99999788780964949,1.0,18.999999999088246,8.6814498426263592e-08,5.9772391713234694e-07,5.4163354535943267e-07,5.4194902684773092e-07,1.2997519477023431e-07,6.1137167462263188e-10,1.8757884958893974e-13,2.9953555978392699e-10,2.1318026037894171e-07,6.5103227755537277e-18,1.2625172798173343e-12,1.4456676757652769e-12,1.8999118698710234e-15,1.8994888051672711e-15,3.3872945165223556e-19,6.6469174813096905e-15,8.4335252031441316e-20,9.1837758596527519e-14,1.4006812545152529e-35,1.3083778341615426e-35,1.3083785898119033e-35,7.8716400286502878e-19,5.3114432977601452e-21,2.2198337867163776e-18,1.5581230947865672e-20,6.9043477572843385e-22,9.2301042292152951e-22,5.7516187054548751e-26,5.0272848412098855e-30,7.5583578777624668e-31,1.7801283079999083e-35,2.9447434004229086e-39,3.9375430912067774e-37,5.1513769661900395e-33,3.95722592614016e-38,4.0525784173356021e-15,1.093383182148721e-20,8.2384002170610859e-24,2.856246208059267e-24,2.393257215121665e-25,1.7276592006187137e-24,1.2354309879774483e-31,7.096624068800553e-32,5.7191437005572464e-30,1.0609330999227858e-34,2.7453246583214352e-30,6.3434451631539634e-35,5.54971363565751e-36,3.1154794590006017e-34,1.1171833228496895e-34,1.1171355220284082e-34,7.8107105035456549e-40,6.7347712343583295e-29,6.3832182717381092e-31,2.669390902849821e-34,2.0449849273860383e-37,4.320026541724094e-38,9.3909336318691573e-42,4.6454016836024635e-42,5.4305564135443737e-48,5.2320762914981081e-31,2.7871231160313184e-32,3.999011077776285e-39
4.965818445703318e-13,0.4380470697591968,1.9827508260611531e-12,7.8819741840886878e-19,7.8636114429203748e-19,5.4460437421306354e-30,4.0569596545868779e-24,0.0,0.0,7.0603026406926373e-13,7.8166386273057703e-22,154.0,0.0,0.99999779638085906,1.0,18.999999999010171,9.0580560187633681e-08,6.1245764082824929e-07,5.6510233485786787e-07,5.6544805420599e-07,1.3977872607406685e-07,6.6539216639568069e-10,1.9571355085078526e-13,3.2354177159168986e-10,2.2925963281502129e-07,7.0855954555480256e-18,1.3744108888057913e-12,1.5736750120803375e-12,2.1579060616166122e-15,2.1574139427804513e-15,3.9297720021585646e-19,7.4796708245747221e-15,9.9141635861712573e-20,9.9977174468305545e-14,1.8852923220655583e-35,1.7610550661574769e-35,1.7610561273522591e-35,8.947954223003098e-19,6.0328295929959174e-21,2.3977446611197275e-18,1.6842275503723975e-20,7.6351394144379924e-22,1.0687893837851026e-21,6.9673106268279776e-26,6.3669371094036983e-30,9.572796126135559e-31,2.3562581103244913e-35,3.9019873576283443e-39,5.011033506087442e-37,6.5243665304886347e-33,5.1106066388830591e-38,4.5603010755495672e-15,1.1902336008739506e-20,9.3557129333739237e-24,3.1911752828337972e-24,2.6150235696824428e-25,1.9725353447603687e-24,1.4029893775105229e-31,8.0591191296354794e-32,6.8229194319098038e-30,1.2743022049259303e-34,3.2751510064489022e-30,7.5817647481786774e-35,6.622730019526473e-36,3.7837179062734133e-34,1.392463729001123e-34,1.392401488912518e-34,1.0170103999844677e-39,8.2796204161546105e-29,7.839044912138207e-31,3.4233754790459679e-34,2.7381445651496492e-37,5.77976245737472e-38,1.3017179480336379e-41,6.4932038898483845e-42,7.9227442527817555e-48,6.3890013073953802e-31,3.5570334479527331e-32,5.206998460496995e-39
5.17228229278604e-13,0.43804706975899416,2.0652198402337211e-12,8.5519280922002953e-19,8.5311825337341032e-19,6.2073340557284595e-30,4.5843549728837394e-24,0.0,0.0,7.4397706941868743e-13,8.565569512202407e-22,154.0,0.0,0.9999977049632518,1.0,18.999999998929102,9.4346621390988509e-08,6.265635273787997e-07,5.8856884258442967e-07,5.8894634815294512e-07,1.4981582578972934e-07,7.2168434635562324e-10,2.038479982031069e-13,3.4827674841242705e-10,2.4572209531621623e-07,7.6850606664971483e-18,1.4910531893755575e-12,1.7070995555928614e-12,2.4382455628261661e-15,2.4376768730252038e-15,4.5294060815856541e-19,8.3736757515657019e-15,1.1574919270181246e-19,1.0846203107312464e-13,2.507028720069348e-35,2.3418222189003588e-35,2.3418236887129454e-35,1.0118769149026366e-18,6.8167197538939619e-21,2.5810565381498539e-18,1.8142146061123025e-20,8.4045981766672842e-22,1.2296164324484394e-21,8.3702818878117258e-26,7.982656461330288e-30,1.2002452892326017e-30,3.0820690876208099e-35,5.1094190328124485e-39,6.310816854265656e-37,8.1803751301297981e-33,6.5319187162205778e-38,5.1053681120472068e-15,1.2911878332707776e-20,1.0569558553577422e-23,3.5476346218851878e-24,2.8466488931808647e-25,2.2395554364492748e-24,1.5850248811265595e-31,9.10477398180422e-32,8.0794960733945737e-30,1.5184525266893874e-34,3.8783213183466789e-30,8.9934169040840492e-35,7.8445459919159404e-36,4.5556934931086269e-34,1.7196017004502744e-34,1.719521550380862e-34,1.3096616286470373e-39,1.0091501811378526e-28,9.544321242262189e-31,4.3451090220545093e-34,3.6222092901660632e-37,7.6398408675163542e-38,1.7797021817995098e-41,8.9514917591846981e-42,1.1380502922577947e-47,7.7350532986412023e-31,4.4929735162021347e-32,6.705345312614553e-39
5.378746139868763e-13,0.4380470697587841,2.1476914226507401e-12,9.2492803245860157e-19,9.2259545963650129e-19,7.0407577435085258e-30,5.1555870419575006e-24,0.0,0.0,7.826097270174738e-13,9.3556852759254266e-22,154.0,0.0,0.99999761355635153,1.0,18.999999998845048,9.8112682036369316e-08,6.4006833019459197e-07,6.1203307032096665e-07,6.1244392743808613e-07,1.6007654102551963e-07,7.80246433698294e-10,2.1198219813704078e-13,3.7372174127512117e-10,2.6255132354585441e-07,8.3086994435800724e-18,1.6124440343555766e-12,1.8459398500712523e-12,2.7418562956769652e-15,2.7412030842732823e-15,5.1892563437095342e-19,9.3303418101223095e-15,1.3428576918933879e-19,1.1729231841122137e-13,3.2968015728700308e-35,3.0795538137892972e-35,3.0795558237674294e-35,1.1388159466395087e-18,7.6657068018677887e-21,2.7696304659637103e-18,1.9479855931068238e-20,9.2127519203749296e-22,1.4062674658064968e-21,9.9793959053064629e-26,9.9159328944721791e-30,1.4909754721512581e-30,3.9876660357939983e-35,6.6177964261318071e-39,7.8716869487938614e-37,1.016195772069914e-32,8.2689211042368166e-38,5.6886388881007104e-15,1.3962452646627694e-20,1.1883907888163368e-23,3.9258644827008363e-24,3.088135162434855e-25,2.5296785243840457e-24,1.7821330244599431e-31,1.0237009451024712e-31,9.5023840252020825e-30,1.7962206709107881e-34,4.5613201892688483e-30,1.0593892569866653e-34,9.2283397565202524e-36,5.4418195841322686e-34,2.1056124384756273e-34,2.1055102691543901e-34,1.6694588457111602e-39,1.2202618760482748e-28,1.1528676346386157e-30,5.4626516140641707e-34,4.7386340252852045e-37,9.9866758095340022e-38,2.4025354644131584e-41,1.2184345066595599e-41,1.611495177250842e-47,9.2909276481824294e-31,5.6214291984242461e-32,8.5474732780250024e-39
5.585209986951485e-13,0.4380470697585666,2.2301655732534108e-12,9.974039509445174e-19,9.9479284619610347e-19,7.9502553241863941e-30,5.7724064232378013e-24,0.0,0.0,8.2192822715688051e-13,1.0187860673514747e-21,154.0,0.0,0.99999752215970295,1.0,18.999999998758035,1.0187874212381561e-07,6.5299766266831612e-07,6.354950198479105e-07,6.3594081032853225e-07,1.7055134300294151e-07,8.4107664901484446e-10,2.2011615697672505e-13,3.9985848355775697e-10,2.7973168878085661e-07,8.9564928368353203e-18,1.7385832803149492e-12,1.9901944399414488e-12,3.0696639334661838e-15,3.0689178126870572e-15,5.9123886290892868e-19,1.0351018338967179e-14,1.5488191607042761e-19,1.2646802675035508e-13,4.290860046261749e-35,4.0081107596256198e-35,4.0081134760653846e-35,1.2760211334512493e-18,8.5823833242784817e-21,2.9633310674895111e-18,2.0854443760764888e-20,1.0059617979351386e-21,1.59951882091524e-21,1.1814464333743136e-25,1.2212333296503317e-29,1.8363266835680541e-30,5.107573387143816e-35,8.4854334780601839e-39,9.7319378193907006e-37,1.2515854661633717e-32,1.0375519242735481e-37,6.3109360549326406e-15,1.5054052860464889e-20,1.3302728425305629e-23,4.3260842799561823e-24,3.3394843776977924e-25,2.8438635079561218e-24,1.9949088348770286e-31,1.1459243500857729e-31,1.1105666371974545e-29,2.1105686006600611e-34,5.3309070495474548e-30,1.2399346158490931e-34,1.0787848960139076e-35,6.4530202213422687e-34,2.5581178937517131e-34,2.5579888728916633e-34,2.1082162223319042e-39,1.4647481594159794e-28,1.3823790970193762e-30,6.8073176684443341e-34,6.1356463364321472e-37,1.2920668257005892e-37,3.2055385538603206e-41,1.6390648994633779e-41,2.2518849999971962e-47,1.1078501786342724e-30,6.9717141229261801e-32,1.0793869782706654e-38
5.791673834034208e-13,0.4380470697583417,2.3126422919849703e-12,1.0726214268858178e-18,1.0697104961709191e-18,8.9398488329486298e-30,6.4365637330105151e-24,0.0,0.0,8.6193256039058585e-13,1.1062974825070646e-21,154.0,0.0,0.99999743077286896,1.0,18.999999998668084,1.0564480165336523e-07,6.6537604675422878e-07,6.5895469294427692e-07,6.5943701462144139e-07,1.8123110898401015e-07,9.0417321429064614e-10,2.2824988088359528e-13,4.2666917857791016e-10,2.9724822826962363e-07,9.6284219111492747e-18,1.8694707874667049e-12,2.1398618702866825e-12,3.4225939007234623e-15,3.4217460425699976e-15,6.7018739006360935e-19,1.1436997033396359e-14,1.7767076322565632e-19,1.3598914661894307e-13,5.5314542446860592e-35,5.1669595898531092e-35,5.1669632211330771e-35,1.4239022398033619e-18,9.569341476484389e-21,3.1620264484584612e-18,2.2264972951738836e-20,1.0945205070056832e-21,1.8101470829542383e-21,1.3896247461533517e-25,1.492170092207645e-29,2.2437994134422924e-30,6.4811597099933821e-35,1.0778945138081804e-38,1.1933539545224252e-36,1.5293197053316341e-32,1.2912276017115681e-37,6.9730471180410609e-15,1.618667293828777e-20,1.4829984338587766e-23,4.7484943697190612e-24,3.6006985093153122e-25,3.1830691438313804e-24,2.2239468426351269e-31,1.2774891239364329e-31,1.2903998791238573e-29,2.4645836126907501e-34,6.1941161181986585e-30,1.4426595443506954e-34,1.2537370598088088e-35,7.6007301246624219e-34,3.0853719464796301e-34,3.0852104271703613e-34,2.6392448072160486e-39,1.7462963432725931e-28,1.6463439316061495e-30,8.4138956216170235e-34,7.8690136519311437e-37,1.6557764485946012e-37,4.2307003691562686e-41,2.1809653190772371e-41,3.1083519639566286e-47,1.3120835768482771e-30,8.5761267506690544e-32,1.3512686119651825e-38
5.99813768111693e-13,0.4380470697581095,2.3951215787906498e-12,1.1505813218791947e-18,1.1473484926836391e-18,1.0013641825288717e-29,7.1498096424203871e-24,0.0,0.0,9.0262271752792243e-13,1.198191121551072e-21,154.0,0.0,0.99999733939543167,1.0,18.999999998575205,1.094108606250543e-07,6.7722695947704971e-07,6.8241209138766786e-07,6.8293255765610209e-07,1.9210710496886066e-07,9.6953435290419743e-10,2.3638337586057129e-13,4.5413648750266571e-10,3.1508661685334149e-07,1.0324467746244538e-17,2.0051064195740503e-12,2.2949406868472264e-12,3.8015713733233737e-15,3.8006125066932911e-15,7.5607872950388129e-19,1.258951440161371e-14,2.0278790036918249e-19,1.4585566879937289e-13,7.0675507443696163e-35,6.6018408705598742e-35,6.6018456756643418e-35,1.5828701772419025e-18,1.062917298383926e-20,3.3655881078030833e-18,2.3710531021056757e-20,1.1869514862982775e-21,2.038928928582979e-21,1.6246454392538715e-25,1.8098354885526011e-29,2.7215682282337518e-30,8.153082520396958e-35,1.3574030739130468e-38,1.452231416011071e-36,1.8549712144125932e-32,1.5946943711434823e-37,7.6757259348492413e-15,1.7360306895814715e-20,1.6469636494475139e-23,5.1932776809474219e-24,3.8717795227151637e-25,3.5482540447105666e-24,2.4698410820031729e-31,1.4187364925543199e-31,1.4912609467334465e-29,2.8614783164837834e-34,7.1582563591710472e-30,1.6693121453736623e-34,1.449176092517021e-35,8.8968946647257735e-34,3.6962855822019468e-34,3.696085003862587e-34,3.2774740908016207e-39,2.0688354193337346e-28,1.9483528892088925e-30,1.0320871909199205e-33,1.0002860981795454e-36,2.1031113056334658e-37,5.5275914428332191e-41,2.8727146717591415e-41,4.2418411493661786e-47,1.544217133211752e-30,1.0470107432380316e-31,1.6780359845147721e-38
6.204601528199653e-13,0.43804706975786994,2.4776034336176151e-12,1.2312844969105364e-18,1.2277069188610253e-18,1.11758193808937e-29,7.9138948774734548e-24,0.0,0.0,9.4399868962728767e-13,1.294555769432524e-21,154.0,0.0,0.99999724802699141,1.0,18.999999998479421,1.1317691903891756e-07,6.8857287745821606e-07,7.0586721695427374e-07,7.0642745632571296e-07,2.0317096913094362e-07,1.0371582896260283e-09,2.4451664775613495e-13,4.8224351756971632e-10,3.3323313979704935e-07,1.1044611436668265e-17,2.1454900438590249e-12,2.4554294360201366e-12,4.2075212785976711e-15,4.2064416866016687e-15,8.4922073259335412e-19,1.3809754116353678e-14,2.3037126316434392e-19,1.5606758432148615e-13,8.9556027572549412e-35,8.3654886429449391e-35,8.3654949413152371e-35,1.7533370029518287e-18,1.1764469143639948e-20,3.5738908503617526e-18,2.5190228944740121e-20,1.2832543265755393e-21,2.2866409981241794e-21,1.8887743052620489e-25,2.180128962750726e-29,3.27851188199522e-30,1.0173753410212439e-34,1.6956295933415235e-38,1.7548111589235567e-36,2.2345928764469862e-32,1.9555017007695676e-37,8.4196941485117447e-15,1.857494879812214e-20,1.8225642459547465e-23,5.6606012073215612e-24,4.1527294164006279e-25,3.9403766767456135e-24,2.733185092346455e-31,1.5700073975561563e-31,1.7147299006932497e-29,3.3045906172342471e-34,8.2309114383580399e-30,1.9217068370141916e-34,1.6666435368233489e-35,1.0353969819212571e-33,4.4004520635207498e-34,4.4002048451227475e-34,4.0395783171918687e-39,2.4365412883485031e-28,2.2922138503121485e-30,1.2570659023260008e-33,1.2610540079156617e-36,2.6492821817777043e-37,7.1543570353079238e-41,3.7482288517420011e-41,5.727360035780746e-47,1.8067929566103507e-30,1.2692395247949086e-31,2.0682261483025656e-38
6.411065375282375e-13,0.4380470697576234,2.5600878564149212e-12,1.314731812355464e-18,1.3107858578339918e-18,1.2430648107574315e-29,8.7305702190394611e-24,0.0,0.0,9.8606046798972187e-13,1.395480647533074e-21,154.0,0.0,0.99999715666716493,1.0,18.999999998380755,1.1694297689498818e-07,6.9943531954471115e-07,7.2932007141887517e-07,7.2992172708885919e-07,2.1441469595810854e-07,1.1070432506176096e-09,2.5264970226830329e-13,5.1097381061151215e-10,3.5167466677847649e-07,1.1788834091780554e-17,2.2906215309135209e-12,2.6213266648589872e-12,4.6413682954474682e-15,4.6401578129013038e-15,9.4992152136938483e-19,1.5098849266292717e-14,2.6056102450784123e-19,1.6662488445623065e-13,1.1260376917497291e-34,1.0518402761089271e-34,1.0518410943952553e-34,1.9357159183182414e-18,1.2977820827025299e-20,3.7868127018292081e-18,2.6703200563595655e-20,1.3834281474036559e-21,2.5540597909683093e-21,2.1843720055357979e-25,2.6094374319894206e-29,3.9242434244561648e-30,1.259982349041916e-34,2.1022113436282754e-38,2.1064985582615458e-36,2.6747382751261165e-32,2.3820307071901075e-37,9.2056425606207039e-15,1.9830592757500869e-20,2.0101956507508144e-23,6.1506173714738435e-24,4.4435502162476339e-25,4.3603953612337957e-24,3.0145719191778745e-31,1.7316424968793833e-31,1.9624440352669569e-29,3.7973836985074185e-34,9.4199396797090862e-30,2.2017243419583939e-34,1.9077368436794835e-35,1.1984922121461046e-33,5.2081720979132185e-34,5.2078695231824829e-34,4.9441075426802837e-39,2.8538418256275346e-28,2.6819554468573585e-30,1.5209827455442422e-33,1.5775550938980221e-36,3.3115816238666464e-37,9.1787928407734344e-41,4.8475133727232179e-41,7.6565513884748904e-47,2.1024707316171144e-30,1.528518445094756e-31,2.5313365530918099e-38
6.617529222365098e-13,0.4380470697573696,2.6425748471334671e-12,1.4009241279798727e-18,1.3965853927376801e-18,1.3782476145232701e-29,9.6015865028544138e-24,0.0,0.0,1.028808044152652e-12,1.5010554136421591e-21,154.0,0.0,0.99999706531558552,1.0,18.999999998279222,1.2070903419329788e-07,7.0983488762176675e-07,7.5277065655484457e-07,7.534153859806945e-07,2.2583062106932875e-07,1.1791874634302601e-09,2.6078254494850027e-13,5.4031133187458441e-10,3.7039862698503778e-07,1.2557116835742802e-17,2.4405007546125748e-12,2.792630921073602e-12,5.1040368544554191e-15,5.1026848655321958e-15,1.0584894321426349e-18,1.6457884511543293e-14,2.9349949074668014e-19,1.7752756070947541e-13,1.4055838680323976e-34,1.3129675984037582e-34,1.3129686527373259e-34,2.1304212674904186e-18,1.4271818480827782e-20,4.00423482589463e-18,2.8248602011772429e-20,1.4874716833201979e-21,2.8419615799012187e-21,2.5138940453060629e-25,3.1046552181550746e-29,4.6691403019804598e-30,1.5494689144745853e-34,2.5879522818425477e-38,2.5131369618574123e-36,3.1824822334782549e-32,2.8835536765377443e-37,1.0034232445430388e-14,2.1127232931449217e-20,2.2102529625985207e-23,6.6634652725866965e-24,4.7442439503713334e-25,4.8092682781887627e-24,3.3145941151779474e-31,1.9039821653680698e-31,2.2360978696290537e-29,4.3434460025345791e-34,1.073347402110393e-29,2.5113116767560625e-34,2.174109363313768e-35,1.380322860296049e-33,6.1304790016107576e-34,6.130111095918726e-34,6.0116234398341102e-39,3.3254217899476748e-28,3.121830514777979e-30,1.8289341339959853e-33,1.9592516484647882e-36,4.1095800254742421e-37,1.1679506129728279e-40,6.2174896857024283e-41,1.0140621773164339e-46,2.4340272442315891e-30,1.8294280357576066e-31,3.0778945763232917e-38
6.82399306944782e-13,0.4380470697571086,2.7250644057259419e-12,1.4898623029404671e-18,1.4851056067115367e-18,1.5235733169867289e-29,1.0528694619523294e-23,0.0,0.0,1.0722414098837972e-12,1.6113701619319684e-21,154.0,0.0,0.99999697397190235,1.0,18.99999999817484,1.2447509093387713e-07,7.1979130568664693e-07,7.7621897413414904e-07,7.7690844862383423e-07,2.3741140667834297e-07,1.2535891570040579e-09,2.6891518120532748e-13,5.7024045912647119e-10,3.8939298527187899e-07,1.3349440807506119e-17,2.5951275920299035e-12,2.9693407530297691e-12,5.5964511379979265e-15,5.5949465740268649e-15,1.1752329680688076e-18,1.7887898147308253e-14,3.2933100260450771e-19,1.8877560481598461e-13,1.7426098321712789e-34,1.6277877679958688e-34,1.6277891159273855e-34,2.3378685359486099e-18,1.5649052129379001e-20,4.2260414435112069e-18,2.9825611134466812e-20,1.5953833543562495e-21,3.1511223410780632e-21,2.8798907393055789e-25,3.6732039684038942e-29,5.5243744482493549e-30,1.8929018086703511e-34,3.1649169583273949e-38,2.9810252756797586e-36,3.7654413466475884e-32,3.470295701884049e-37,1.0906096808086282e-14,2.2464863520792371e-20,2.4231309523136744e-23,7.1992718272957044e-24,5.0548126451992754e-25,5.2879534677649187e-24,3.6338437411854799e-31,2.0873664953419775e-31,2.5374431393700539e-29,4.9464912102374456e-34,1.2179921971145368e-29,2.852482141362878e-34,2.4674703364329278e-35,1.5822876728986444e-33,7.1791638594573055e-34,7.1787192581105716e-34,7.2648398464112033e-39,3.8562275826803125e-28,3.6163193849550787e-30,2.186479761976297e-33,2.416821125152908e-36,5.0653320736764319e-37,1.4747165087920964e-40,7.9128993489087144e-41,1.3313659823026507e-46,2.8043558035046487e-30,2.1769254535031803e-31,3.7195294827128296e-38
7.030456916530543e-13,0.43804706975684066,2.807556532146785e-12,1.581547195785295e-18,1.5763465828993883e-18,1.6794930397616495e-29,1.1513645514522752e-23,0.0,0.0,1.1163605571752298e-12,1.7265154229322248e-21,154.0,0.0,0.99999688263577902,1.0,18.999999998067626,1.2824114711675509e-07,7.2932345725731295e-07,7.9966502592735043e-07,8.0040093023896936e-07,2.491500276767622e-07,1.3302465616667485e-09,2.7704761630823852e-13,6.0074597204290673e-10,4.0864621933594125e-07,1.4165787160799685e-17,2.7545019233556057e-12,3.1514547097489647e-12,6.1195350803572626e-15,6.1178664177569143e-15,1.3004607592966239e-18,1.9389884079592921e-14,3.6820184060445504e-19,2.0036900873354677e-13,2.1466419525723412e-34,2.0051995998649114e-34,2.005201310574581e-34,2.5584743490735485e-18,1.7112111376270079e-20,4.4521197542427686e-18,3.1433426922597901e-20,1.7071613236501572e-21,3.4823176969059733e-21,3.2850071695964861e-25,4.3230525629802196e-29,6.5019423620424601e-30,2.2981295711730409e-34,3.8465283763771614e-38,3.5169355423929222e-36,4.4317945069749484e-32,4.1534984404956009e-37,1.182184158923496e-14,2.3843478767918386e-20,2.6492240634072483e-23,7.7581528129766109e-24,5.3752583389489109e-25,5.7974088299146633e-24,3.9729123671606703e-31,2.2821352971497866e-31,2.8682887881693393e-29,5.6103582228587181e-34,1.376796556675769e-29,3.2273153089181244e-34,2.7895848855919167e-35,1.8058364328846294e-33,8.3668006807829879e-34,8.3662664884211248e-34,8.728768058448989e-39,4.4514718636857189e-28,4.1701330199087983e-30,2.5996668567348294e-33,2.9622644837451939e-36,6.2035936586247927e-37,1.8485839026037104e-40,9.9972902769170711e-41,1.7336380269525951e-46,3.2164655689845147e-30,2.5763599158117456e-31,4.4690468128098684e-38
