Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233)
0.0,0.3558500208577605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9728225082041673e-22,0.3558500208577605,1.1472121406906479e-22,1.2934120660219875e-36,4.2517991730437762e-38,6.673998731426392e-59,4.3432059121577705e-52,0.0,0.0,6.8864032560207083e-23,7.4471722127449593e-41,154.0,0.0,0.99999999999999956,1.0,19.0,2.2594156401760763e-17,9.7144358116111858e-17,1.5819674409886622e-16,1.5819692768394917e-16,2.1476204687987997e-26,2.6326922315315856e-28,2.6326873691789111e-28,1.6370200549153637e-28,3.0734144489028912e-26,2.9774303132746722e-41
8.323903022971668e-22,0.3558500208577605,3.2121939939336845e-22,3.7593120780681761e-36,2.568086700518329e-37,1.0085746886817492e-57,5.1562543227387039e-51,0.0,0.0,1.9281929125368304e-22,4.4980920182341434e-40,154.0,0.0,0.99999999999999878,1.0,19.0,6.3263637924930061e-17,2.720042025526444e-16,4.4295088347597178e-16,4.4295139751367365e-16,1.2971627624681605e-25,1.5901461078337436e-27,1.5901385534828196e-27,9.8876011289290231e-28,1.8563423261551763e-25,3.5347789170441129e-40
1.902606405250667e-21,0.3558500208577605,7.3421577004192433e-22,9.2421452749869291e-36,1.2364231995209628e-36,1.0849786270528827e-56,5.0624411858422647e-50,0.0,0.0,4.40729808981048e-22,2.165637682068245e-39,154.0,0.0,0.99999999999999722,1.0,19.0,1.446026009712684e-16,6.2172389073583443e-16,1.012459162226769e-15,1.0124603371675876e-15,6.2452803129721958e-25,7.6558690091238377e-27,7.6557856074535734e-27,4.7604543155542209e-27,8.9374892026770623e-25,3.4704110867182646e-39
4.043038611157667e-21,0.3558500208577605,1.5602085113388312e-21,2.241194436012939e-35,5.3997849497638731e-36,9.9728228521025065e-56,4.4776719444669242e-49,0.0,0.0,9.3655084579742911e-22,9.4579087370629308e-39,154.0,0.0,0.99999999999999412,1.0,19.0,3.0728052706394391e-16,1.3211632643427145e-15,2.1514757197147069e-15,2.1514782164532746e-15,2.7274779847366051e-24,3.343519133869434e-26,3.3434413888277426e-26,2.079015465464868e-26,3.9032363348830425e-24,3.0694400196348706e-38
8.323903022971667e-21,0.3558500208577605,3.212193993931822e-21,5.7568073295629742e-35,2.2543039215462603e-35,8.531959941226913e-55,3.7637530875008265e-48,0.0,0.0,1.9281929248767976e-21,3.9484907313819776e-38,154.0,0.0,0.99999999999998779,1.0,19.0,6.326363792492904e-16,2.7200420005184737e-15,4.4295088346359571e-15,4.429513974936087e-15,1.1386683629830406e-23,1.3958534209999346e-25,1.3957864315998072e-25,8.6794802926624724e-26,1.6295243271070464e-23,2.5798822745311231e-37
1.6885631846599667e-20,0.35585002085776046,6.5161649591145172e-21,1.6314645422745714e-34,9.2095670807666271e-35,7.0543895164066291e-54,3.0857521847586483e-47,0.0,0.0,3.9114771048219614e-21,1.6130873104438249e-37,154.0,0.0,0.99999999999997524,1.0,19.0,1.2833480836199653e-15,5.5177994287179898e-15,8.9855750642599574e-15,8.9855854915474905e-15,4.6518317591763847e-23,5.7025166798480004e-25,5.7019608232969747e-25,3.5458508871532471e-25,6.6571385168975635e-23,2.1148695288875159e-36
3.4009089493855674e-20,0.3558500208577605,1.3124106889466751e-20,5.1536770833413755e-34,3.7226542623493451e-34,5.7365124717123e-53,2.4989221256319651e-46,0.0,0.0,7.8780455518579888e-21,6.520356904935362e-37,154.0,0.0,0.99999999999995015,1.0,19.0,2.5847714923612426e-15,1.1113314108509013e-14,1.8097707522633943e-14,1.809772852335355e-14,1.8803447395369986e-22,2.3050484168318514e-24,2.3045956276645658e-24,1.4332896082285196e-24,2.6909217784853396e-22,1.7122328234112968e-35
6.825600478836767e-20,0.35585002085776046,2.6339990750118611e-20,1.7840681855173558e-33,1.4968629060580048e-33,4.6267052461220506e-52,2.0113499291690999e-45,0.0,0.0,1.5811182794512855e-20,2.6218069027826184e-36,154.0,0.0,0.99999999999989986,1.0,19.0,5.1876183098435065e-15,2.2304342761659076e-14,3.6321972435885884e-14,3.6322014581299895e-14,7.5607832243853593e-22,9.2684982998646098e-24,9.264843761316374e-24,5.7631943666526651e-24,1.0820077729956577e-21,1.3774407716301023e-34
1.367498353773917e-19,0.35585002085776063,5.2771758471211874e-20,6.5785010157452481e-33,6.003089741554995e-33,3.7164214546805419e-51,1.6139816482170142e-44,0.0,0.0,3.1677458674153798e-20,1.0514618864433159e-35,154.0,0.0,0.99999999999979938,1.0,19.0,1.0393311944806877e-14,4.4686397242231651e-14,7.2770502248405609e-14,7.277058667453913e-14,3.0322120185215838e-21,3.7170823583516599e-23,3.7141465901168124e-23,2.3112986182330903e-23,4.339334796466082e-21,1.1041666465513383e-33
2.7373749655543975e-19,0.3558500208577605,1.0563529391255662e-19,2.5195494179503106e-32,2.4043670915766129e-32,2.9791721011976729e-50,1.2931493629920683e-43,0.0,0.0,6.3410016010760634e-20,4.2113323844098053e-35,154.0,0.0,0.99999999999959843,1.0,19.0,2.0804699214728977e-14,8.9450494900469387e-14,1.4566756181750847e-13,1.4566773077048114e-13,1.2144662255697618e-20,1.4887717603103278e-22,1.48641958337532e-22,9.2572494378956214e-23,1.7379970528305234e-20,8.8285115619504241e-33
