Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137)
0.0,0.46412961757116045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0820205258428244e-21,0.46412961757116045,2.3820505784140977e-23,6.0612450205344239e-38,3.2745051374691839e-38,4.5544601825743718e-59,2.2607618930450039e-51,0.0,0.0,3.301762091007569e-23,1.3207747540280631e-40,154.0,0.0,0.99999999999999944,1.0,19.0,5.4195755205834035e-17,4.8842337284630872e-17,2.4716109937145171e-16,2.4716115620752255e-16,1.0233465513557348e-25,3.0243081521210364e-27,3.0242533814421025e-27,2.0562230405812311e-27,1.1695123065685879e-25,1.9033370972154419e-39,2.1436881113805253e-30,5.5806855103214987e-31,4.5236660140617354e-42,4.5236660140184415e-42,3.7634012977158366e-53,6.3382602676922796e-42,5.6593350737286627e-54,1.5561648967218487e-31,3.3971703004981612e-96,3.2396628120795116e-96,3.2396628120795166e-96,1.9897510375429313e-44,1.6867506360370603e-47,2.587984570937042e-39,1.0220516709789102e-44,1.2427273499514375e-48,1.2432214922807641e-56,1.3288027623557024e-68,3.734398880376203e-80,9.0098400105287191e-82,8.5711337018700208e-94,2.45693352495848e-97,8.1638514887633273e-95,4.038767593252125e-83,1.514792596424734e-91,5.546103918793912e-42,6.0285142543626802e-40
8.629657472359908e-21,0.46412961757116045,6.6697416195816741e-23,2.7580882704079611e-37,1.9778011030367485e-37,6.8827002960402599e-58,2.683976537823888e-50,0.0,0.0,9.2449339556138784e-23,7.9774795878519061e-40,154.0,0.0,0.99999999999999833,1.0,19.0,1.517481145763347e-16,1.3675854367089078e-16,6.9205107823026282e-16,6.9205123736460144e-16,6.1810131428056586e-25,1.8266821238190585e-26,1.8266166955326941e-26,1.2419587142332686e-26,7.0638543003801507e-25,2.2595792932575693e-38,1.2947876192481359e-29,3.3707340481678901e-30,5.3704962917973628e-41,5.3704962917005171e-41,8.4185780572231229e-52,7.5247825592678364e-41,1.2659706149163275e-52,9.3992359760473738e-31,3.6199485754882588e-94,3.4521121240022931e-94,3.4521121240023032e-94,2.3622324743441656e-43,2.0025103550567025e-46,3.0721938666006401e-38,1.2133791780080679e-43,1.4753658967669977e-47,2.7810367257888002e-55,5.4833417599524686e-67,2.8111622435759789e-78,6.7823826189172547e-80,1.1699555169632058e-91,3.3537022542074165e-95,1.1143614455240775e-92,3.0402834117316973e-81,1.1688818300868981e-89,6.5843345456719443e-41,3.6412226095670438e-39
1.9724931365394076e-20,0.46412961757116045,1.5245123702005624e-22,1.1305774466374037e-36,9.5222609398408063e-37,7.4040950544492834e-57,2.6351440886736995e-49,0.0,0.0,2.1131278087997248e-22,3.8408130949701327e-39,154.0,0.0,0.99999999999999623,1.0,19.0,3.4685283331733379e-16,3.1259095353910789e-16,1.5818310359086772e-15,1.5818313996129139e-15,2.9758917302680077e-24,8.79468810543726e-26,8.794043647443257e-26,5.9794965678433094e-26,3.4009417405602725e-24,2.2183359552522819e-37,6.2338450275090591e-29,1.6228633463020492e-29,5.2727851056904987e-40,5.2727851054991482e-40,1.6633691114910797e-50,7.3878760733591632e-40,2.5013445846231885e-51,4.525327519438245e-30,8.2381559930429172e-92,7.8561994984068317e-92,7.8561994984068767e-92,2.3192538699843298e-42,1.9660765412206606e-45,3.0157445710961559e-37,1.1913016737826382e-42,1.4485229585078146e-46,5.4948598234095488e-54,2.1691554307387585e-65,2.2227014162317689e-76,5.3626258986251007e-78,1.8482429417247125e-89,5.2980276001294603e-93,1.7604170515002108e-90,2.4038606311447445e-79,1.273904596577302e-87,6.4645386449136007e-40,1.7530919450666458e-38
4.191547915146241e-20,0.46412961757116045,3.23958878672087e-22,4.5376181500324341e-36,4.1586215246689612e-36,6.8056392474117442e-56,2.3307551076008402e-48,0.0,0.0,4.4903967965446976e-22,1.6773840515347451e-38,154.0,0.0,0.9999999999999919,1.0,19.0,7.3706227079932256e-16,6.64255761658332e-16,3.3613909511086736e-15,3.3613917238461798e-15,1.2996500777781663e-23,3.8408713522319783e-25,3.8403004710861134e-25,2.6114032262323814e-25,1.4852805808362205e-23,1.9618575539932521e-36,2.7224839010549251e-28,7.087470597080733e-29,4.6637187132273827e-39,4.6637187128868838e-39,2.9598762908135537e-49,6.5344926067878251e-39,4.4510089842445395e-50,1.9763294186002312e-29,1.3922119429522058e-89,1.3276629839416374e-89,1.3276629839416523e-89,2.0513537910624126e-41,1.7389724354260831e-44,2.6664076672934267e-36,1.0536907075078201e-41,1.2812021034552177e-45,9.7778091019334127e-53,7.7415613715972555e-64,1.5886939748010202e-74,3.8329806208810657e-76,2.6438511734359554e-87,7.5786555348719882e-91,2.5182165714383338e-88,1.7181790019904846e-77,1.0421330568726198e-85,5.7178111221713513e-39,7.6562131019864266e-38
8.629657472359908e-20,0.46412961757116034,6.6697416199035593e-22,1.8141713417621759e-35,1.7361426239609489e-35,5.8223681373203623e-55,1.9591401077804111e-47,0.0,0.0,9.2449354171078386e-22,7.0027487710745747e-38,154.0,0.0,0.99999999999998335,1.0,19.0,1.5174811457632631e-15,1.3675853314279422e-15,6.9205107808813367e-15,6.9205123712594406e-15,5.4257830332955664e-23,1.6034881813890128e-24,1.6030080153652506e-24,1.0902094243410095e-24,6.2007538128736948e-23,1.6486634867839807e-35,1.1365834362954769e-27,2.9588794566476437e-28,3.9201365879872098e-38,3.920136587412911e-38,4.9922634166625816e-48,5.4926345751519961e-38,7.5072770301382184e-49,8.2507862802907238e-29,2.0385049562863236e-87,1.9439910616664449e-87,1.9439910616664891e-87,1.7242864683047496e-40,1.4617111126304048e-43,2.2396222962265879e-35,8.856869428842322e-41,1.0769274831611732e-44,1.6491702974628085e-51,2.6156984273185891e-62,1.0744344261011014e-72,2.5922464610133963e-74,3.5775145586276394e-85,1.0255021502314956e-88,3.4075058401423653e-86,1.1620052063666483e-75,7.5003072960148239e-84,4.8061646027719804e-38,3.1963182567144181e-37
1.7505876586787242e-19,0.46412961757116034,1.3530047286837238e-21,7.2509959427933482e-35,7.0927091085969491e-35,4.8140473597689996e-54,1.6062214271925773e-46,0.0,0.0,1.8754015238526902e-21,2.8608518162102837e-37,154.0,0.0,0.99999999999996614,1.0,19.0,3.0783188956909965e-15,2.7742442850918348e-15,1.4038750437917344e-14,1.4038753661874207e-14,2.2166092406782471e-22,6.5507724224918981e-24,6.5468353238084119e-24,4.4538610857916459e-24,2.5332100669050107e-22,1.3510249847561003e-34,4.6433141937400697e-27,1.2087988034946677e-27,3.2139648185030815e-37,3.2139648175597935e-37,8.1998057722071959e-47,4.5031933582767492e-37,1.2330724424521081e-47,3.3707154110934971e-28,2.7874830963852981e-85,2.6582433401569799e-85,2.658243340157101e-85,1.4136742259463778e-39,1.1983990825168382e-42,1.8334710405848016e-34,7.2613378540755107e-40,8.8293007978311215e-44,2.7087667615149965e-50,8.5998428847517133e-61,7.0679874966669901e-71,1.7052660572890156e-72,4.7078073312911971e-83,1.3495029796696164e-86,4.4840673987597938e-84,7.6440572556392936e-74,5.0839525061526266e-82,3.9403838398219727e-37,1.3058003007489056e-36
3.525831481564191e-19,0.46412961757116045,2.7250658622977773e-21,2.8988667360457721e-34,2.8669864246217242e-34,3.9147046486100473e-53,1.300759756157211e-45,0.0,0.0,3.7772185202536117e-21,1.1564024083268301e-36,154.0,0.0,0.99999999999993172,1.0,19.0,6.1999943955458704e-15,5.5875614489185074e-15,2.8275229741952081e-14,2.8275236226267282e-14,8.9598876030714614e-22,2.6479269479452092e-23,2.6447397674686916e-23,1.8003217494380742e-23,1.0239638569535652e-21,1.0930454261811375e-33,1.8769018360476256e-26,4.8861580307500745e-27,2.6027520360601654e-36,2.602752034531056e-36,1.3292232413579839e-45,3.6468022205561683e-36,1.9988633582803719e-46,1.3624970615132361e-27,3.6867132349063487e-83,3.5157812854498876e-83,3.5157812854502073e-83,1.1448300423388555e-38,9.704946468340546e-42,1.48042719026186e-33,5.8803244001607917e-39,7.1501944962751862e-43,4.3910263385797719e-49,2.78933760613159e-59,4.5859501061252319e-69,1.1064344781716392e-70,6.1098240843614022e-81,1.75139406870104e-84,5.8194060411957722e-82,4.9597237129826576e-72,3.3475026164723266e-80,3.1910245449443531e-36,5.2782535917751998e-36
7.076319127335125e-19,0.46412961757116045,5.4691881304351579e-21,1.1592009926258502e-33,1.1528026320890465e-33,3.1573531923555744e-52,1.046964615558088e-44,0.0,0.0,7.5808566415238939e-21,4.6498461437377515e-36,154.0,0.0,0.99999999999986289,1.0,19.0,1.2443345395253249e-14,1.1214192802568974e-14,5.6748188309872455e-14,5.6748201287792052e-14,3.6027303100364899e-21,1.0647197772975599e-22,1.0621570969697378e-22,7.2390136683454971e-23,4.1173123896820862e-21,8.7809306661236401e-33,7.546939723412903e-26,1.9647026514264449e-26,2.0949212703090586e-35,2.0949212678464769e-35,2.1406710887972262e-44,2.9352628640594379e-35,3.2191071482109167e-45,5.4785407534930523e-27,4.7965149793052901e-81,4.5741278274717869e-81,4.5741278274726183e-81,9.2145881899650775e-38,7.811385216391711e-41,1.1846092327160114e-32,4.7328433180808211e-38,5.7550950340742259e-42,7.0716083293709436e-48,8.9862173730837106e-58,2.9551666920832632e-67,7.1298165967906666e-69,7.8747135941259249e-79,2.2573034133212282e-82,7.5002843575368831e-80,3.1960248118019064e-70,2.172892553210568e-78,2.568413442401987e-35,2.1223625519530049e-35
1.4177294418876992e-18,0.46412961757116045,1.0957432670347014e-20,4.6360732096915741e-33,4.6232541599649647e-33,2.5361611191738191e-51,8.401231687797125e-44,0.0,0.0,1.5188149397938162e-20,1.8647986154224269e-35,154.0,0.0,0.99999999999972522,1.0,19.0,2.493004739465853e-14,2.2467443613870971e-14,1.1369410528511678e-13,1.1369413114246882e-13,1.4448551175883005e-20,4.2700024947498922e-22,4.2494837671833728e-22,2.9031675278432738e-22,1.651225422110964e-20,7.0192517601791705e-32,3.0266603660583991e-25,7.879336345827664e-26,1.6810423816821752e-34,1.6810423777291925e-34,3.4362448801883144e-43,2.3553622637075231e-34,5.1673777505047956e-44,2.1971398710273179e-26,6.1896484527397942e-79,5.9026696158233197e-79,5.9026696158254687e-79,7.3941267532129671e-37,6.2681446721132959e-40,9.3958032039537311e-32,3.797562636776604e-37,4.6180956252993271e-41,1.135148394202348e-46,2.8852825496362687e-56,1.8977845204793371e-65,4.5787114533383345e-67,1.0114430276430013e-76,2.8993229987254065e-80,9.6331961096588575e-78,2.0524616890089685e-68,1.4004863308140875e-76,2.0609888721997453e-34,8.5116230615961143e-35
