Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20)
0.0,0.3402570996621352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.429892195946727e-21,0.3402570996621352,6.3576413124786713e-23,3.2239395359381469e-37,7.7781655680387634e-38,1.8105301992899917e-58,3.6424016694513369e-51,0.0,0.0,7.3135771575493086e-23,2.5961615277984146e-40,154.0,0.0,0.99999999999999933,1.0,19.0,4.8394007936896747e-17,8.7808901237864193e-17,3.2399654954273911e-16,3.2399668625322708e-16,8.8852676389529242e-26,2.5976802945267796e-27,2.5976533106815722e-27,1.6971575785727345e-27,1.1224176134658579e-25,1.001555417978947e-39,2.462920182703728e-30,7.2796278031753176e-31,3.7673401050398273e-42,3.7673401050170658e-42,1.9734059129264477e-53,5.4318286894532284e-42,3.0279346581837861e-54,1.7984954454232315e-31,1.4910965539630579e-96,1.4137396853347674e-96,1.4137396853347697e-96,1.5231504809587213e-44,1.740728057196216e-47,1.3086432044590947e-39,9.5430902278636801e-45,1.9109108318927842e-48,1.2081063977101704e-56,6.9454062667690465e-69,1.2554029672397952e-80,3.7498229226124254e-82,2.2575210394500387e-94,7.3610584956614708e-98,1.896518924433266e-95,1.3360546984597188e-83,2.2163481741255616e-91,4.2999371264055641e-42,1.3526869492286031e-39,1.0845326092603163e-50,9.028881943567915e-52,7.9133305498408068e-52,2.1785192067177946e-56,7.570531827638558e-63,4.1814767753518423e-63,1.1920108104406322e-69,9.1919881025950635e-82,1.5764240940173718e-70,1.2639162705464344e-81,1.0522262464061222e-82,8.257615511644225e-82,2.4791228531040009e-83,2.4791228531027171e-83,3.5486872481238933e-96,1.7754319633209137e-71,1.1584089976565918e-74,5.2924391317422194e-86,1.0353978087153737e-96,2.121637538964766e-97,5.6083034548566834e-109,1.2130026161592188e-109,4.4990781335297296e-123,2.2624489377862545e-75,1.4458817014195389e-84,1.5102712836346959e-95,2.4850004889967614e-124,4.4917127489014835e-136,2.2702339277653191e-136,6.989530545596324e-87,2.5409497684305165e-43,1.0186177432417998e-54,1.0186172978158033e-54,3.3384813364745189e-55,4.568524493680919e-90,2.1198693428515741e-99,5.8152730508359455e-96
4.003698148650836e-21,0.3402570996621352,1.7801395674981857e-22,1.1547156344853996e-36,4.6980120031043575e-37,2.7360732511034353e-57,4.3242593347052771e-50,0.0,0.0,2.047801615759258e-22,1.5680815704054011e-39,154.0,0.0,0.99999999999999778,1.0,19.0,1.3550322222331046e-16,2.4586492280087304e-16,9.0719033871124819e-16,9.0719072149511814e-16,5.3667016418126067e-25,1.5689988978573401e-26,1.568966223707434e-26,1.0250831763842206e-26,6.7794023700297479e-25,1.189022375866473e-38,1.4876037903340064e-29,4.3968951930618084e-30,4.4725861726510397e-41,4.4725861726001214e-41,4.4144300600361841e-52,6.4486670067826862e-41,6.7733687016805435e-53,1.086291249024423e-30,1.5888790873097532e-94,1.5064493408949728e-94,1.5064493408949773e-94,1.8082843304791297e-43,2.0665923494738693e-46,1.5535256998529699e-38,1.1329553961551643e-43,2.2686333268934288e-47,2.7024856729341727e-55,2.8660413281233574e-67,9.4503601399691032e-79,2.8227730859859751e-80,3.0815050779883608e-92,1.0047809453466634e-95,2.5887386959297125e-93,1.0057486238828234e-81,1.704196124645336e-89,5.1048853459114079e-41,8.1702291731707262e-39,1.2875571136701151e-49,1.0719088613003978e-50,9.3947055389973008e-51,2.5911888222218602e-55,1.6934562530012129e-61,9.3535740891840926e-62,2.6712580659990235e-68,3.7997308998674692e-80,3.5327159281174253e-69,5.2247035120186423e-80,4.349627193686548e-81,3.4134854755786289e-80,1.0248055193227055e-81,1.0248055193217476e-81,2.6759714667040011e-94,7.3263736422420535e-70,4.7802071564915893e-73,3.9840160726117236e-84,1.41331290416731e-94,2.896024780133265e-95,1.3835634790159537e-106,2.9924666894198196e-107,2.0023525273257538e-120,8.0048439603522878e-74,9.3528858607720809e-83,1.1388557456353734e-93,1.1059703481199654e-121,3.6028258145529081e-133,1.8209662677271173e-133,2.8893258531303432e-85,3.016615562161706e-42,2.2786064272778264e-53,2.2786045892167738e-53,7.4680492035315595e-54,1.8885103288393217e-88,1.598537564992922e-97,4.4872847884447401e-94
9.151310054059054e-21,0.3402570996621352,4.0688904400154567e-22,3.8274092540559253e-36,2.2618905471990915e-36,2.9433427803718786e-56,4.2455834892055706e-49,0.0,0.0,4.6806894623497247e-22,7.5496378370154217e-39,154.0,0.0,0.999999999999995,1.0,19.0,3.0972165079613635e-16,5.6197696326630428e-16,2.0735779170145824e-15,2.0735787919232333e-15,2.5838358112350725e-24,7.5540542959313546e-26,7.553730193396464e-26,4.9353342223838574e-26,3.2639903970026673e-24,1.1673379276986495e-37,7.162171891016771e-29,2.1169157650792572e-29,4.3912116262724678e-40,4.3912116261718623e-40,8.7221697697377409e-51,6.3313394790845125e-40,1.3383035095452929e-51,5.2300247551226226e-30,3.6159170504239856e-92,3.4283262337890378e-92,3.4283262337890596e-92,1.7753843136181276e-42,2.0289926233765274e-45,1.5250584686714536e-37,1.1123417423001115e-42,2.2273576261922087e-46,5.339656219285993e-54,1.1337774345679276e-65,7.4721155121850343e-77,2.2318817749728613e-78,4.8680227287834806e-90,1.5873076782317774e-93,4.0895716484921985e-91,7.9521518573286849e-80,1.7852582727291336e-87,5.0120066818107652e-40,3.933613648101726e-38,1.264131209218256e-48,1.0524064699183227e-49,9.2237765705961338e-50,2.5543195277226428e-54,3.3458050272834542e-60,1.8480125437676798e-60,5.2986147792423181e-67,1.5089342052905278e-78,7.007372692809016e-68,2.0748132948290516e-78,1.7273026204545097e-79,1.3555500413331126e-78,4.0696678244433409e-80,4.069667824437066e-80,2.1239176615020801e-92,2.8982412298162e-68,1.8910024068979047e-71,3.1500417011127205e-82,2.2326879950431147e-92,4.5750093547723827e-93,4.3674984900535007e-104,9.4463276016193987e-105,1.2633282177500985e-117,2.5618570788363847e-72,5.9875457163043037e-81,9.0390942584951568e-92,6.9778099995580985e-119,4.5441389658125419e-130,2.2967315653401767e-130,1.1474037765219353e-83,2.9617310410337086e-41,4.5021392104174246e-52,4.5021319392463737e-52,1.4755606722381537e-52,7.4995787690374207e-87,1.2687587316772784e-95,4.8899487320672585e-92
1.944653386487549e-20,0.3402570996621352,8.6463921851165342e-22,1.3204997525118245e-35,9.8782702715478964e-36,2.7054391655615922e-55,3.7551705291837247e-48,0.0,0.0,9.9464653418578947e-22,3.2971252582643194e-38,154.0,0.0,0.99999999999998934,1.0,19.0,6.5815850794178183e-16,1.194201033554822e-15,4.4063530734865133e-15,4.4063549325568025e-15,1.1284289713688374e-23,3.2990539734780748e-25,3.2987658932330474e-25,2.1553901081448719e-25,1.4254703453803919e-23,1.0324059454658088e-36,3.1279086317385509e-28,9.245127309163366e-29,3.8839769543517566e-39,3.8839769541727369e-39,1.5520634603130949e-49,5.5999980188601476e-39,2.3814395724995315e-50,2.2840892155137651e-29,6.110739960385682e-90,5.793719773411895e-90,5.7937197734119665e-90,1.5703073339498874e-41,1.7946209976551095e-44,1.3485372526985721e-36,9.8385263534833843e-42,1.9700725483779447e-45,9.5016327215118959e-53,4.0463710371294713e-64,5.3407556074295752e-75,1.5952557325353221e-76,6.963547640351211e-88,2.270591873725579e-91,5.8499959776116563e-89,5.6838655069966233e-78,1.4407794805336706e-85,4.4330631111112115e-39,1.7179124252567765e-37,1.1181097385583252e-47,9.3084159306377786e-49,8.1583240752381426e-49,2.2775449892192242e-53,5.95304087192417e-59,3.2880961542808292e-59,9.5024605388853862e-66,5.4268070353007542e-77,1.2566922727096777e-66,7.4619599754060244e-77,6.2121276099599075e-78,4.8751692277662193e-77,1.4636361473761418e-78,1.4636361473721009e-78,1.529704393016786e-90,1.0343618159286694e-66,6.7488532223343545e-70,2.2515180763821978e-80,3.1937873608651851e-90,6.5444016699834978e-91,1.2499220182428511e-101,2.7034177866235232e-102,7.2321389409087778e-115,7.673591425319552e-71,3.5907732260934177e-79,6.5102063261407769e-90,3.9945669471718455e-116,5.2031596323650086e-127,2.629818554701741e-127,4.1265916464846345e-82,2.6196175542584421e-40,8.0113050512643563e-51,8.0112791010836822e-51,2.6256813666634346e-51,2.6971868545317609e-85,9.137952179306008e-94,4.0001469778825755e-90
4.003698148650836e-20,0.3402570996621352,1.7801395675584817e-21,4.8088978201102695e-35,4.1239833842989528e-35,2.3145602631579675e-54,3.1564471008428614e-47,0.0,0.0,2.0478017846183197e-21,1.3764849481930677e-37,154.0,0.0,0.99999999999997802,1.0,19.0,1.3550322222330475e-15,2.4586491315624771e-15,9.0719033858914254e-15,9.071907212933384e-15,4.7109687331691901e-23,1.3772900916442584e-24,1.3770473740851211e-24,8.9983293318102874e-25,5.951057973104758e-23,8.6764596658636676e-36,1.3058402806038659e-27,3.8596586604611945e-28,3.264716656968789e-38,3.2647166566668438e-38,2.61778171874226e-48,4.7071356755074832e-38,4.0166458586422258e-49,9.5356228500703779e-29,8.9474693566122366e-88,8.4832819706758426e-88,8.4832819706760469e-88,1.3199379383253826e-40,1.5084870823691687e-43,1.1329221839881291e-35,8.2698567395889237e-41,1.6559646019946933e-44,1.6025891616816936e-51,1.367177257412371e-62,3.6119554369331441e-73,1.0788721746753466e-74,9.4226914051096536e-86,3.0724406368365382e-89,7.9158866905744798e-87,3.8440008176088922e-76,1.0310312031293125e-83,3.7262565900570532e-38,7.1719462024381899e-37,9.3983860614674486e-47,7.8242842711323665e-48,6.8575598564905879e-48,1.945162879385537e-52,1.0038513003095136e-57,5.5446961293121111e-58,1.6276544069955954e-64,1.8616653155101726e-75,2.1525590212564342e-65,2.5598220619998982e-75,2.131048420890916e-76,1.6724265525361164e-75,5.0210035842775693e-77,5.0210035842511507e-77,1.0502549836981991e-88,3.4948749399252099e-65,2.2802849391476866e-68,1.52270274320106e-78,4.3216583290846468e-88,8.8555262928831083e-89,3.3833315498913698e-99,7.3177037677422124e-100,3.9156331282002918e-112,2.3153196400691629e-69,2.1666328382410057e-77,4.4697372055320872e-88,2.1627431108905471e-113,5.6344841268471809e-124,2.8478216988540938e-124,1.4156289133543164e-80,2.2019463796493301e-39,1.3512199380797375e-49,1.3512111701761161e-49,4.4285953664915707e-50,9.2526990699054665e-84,6.2738786850647235e-92,2.8789019751926011e-88
8.12178767297741e-20,0.3402570996621352,3.6111402657585945e-21,1.8237215613790895e-34,1.684781774805138e-34,1.9137233464317031e-53,2.5878460398478911e-46,0.0,0.0,4.1541125836069644e-21,5.6233906144048303e-37,154.0,0.0,0.99999999999995548,1.0,19.0,2.7487796508154792e-15,4.987545157300281e-15,1.8403004008545457e-14,1.8403011770124985e-14,1.9245843685780087e-22,5.6266794208062974e-24,5.6246874162478758e-24,3.6761110746762151e-24,2.4312012667156954e-22,7.1109708907662899e-35,5.3347836302946357e-27,1.5767965000165885e-27,2.6766119607123012e-37,2.6766119602163559e-37,4.2997138033729011e-47,3.8591940813058565e-37,6.5973526905402368e-48,3.8956130732807975e-28,1.2234907507427865e-85,1.1600170521294286e-85,1.1600170521294849e-85,1.0821648722084751e-39,1.2367488487705721e-42,9.2784804453189149e-35,6.7800995395529233e-40,1.3576596975532031e-43,2.6322572620231507e-50,4.4949792842581677e-61,2.3760647105030665e-71,7.0971808658728145e-73,1.2399730963988995e-83,4.0431587841346732e-87,1.0416840930567683e-84,2.5287118986014143e-74,6.9702558563493767e-82,3.0550101737230349e-37,2.9299740374990691e-36,7.7053647152143754e-46,6.4148206528027311e-47,5.6222367953206666e-47,1.6451877942462629e-51,1.6481194388485937e-56,9.1033760167646433e-57,2.7553132107537183e-63,6.3053296353519953e-74,3.6438781362508343e-64,8.6699228920492111e-74,7.2175691071737633e-75,5.6643946374170191e-74,1.7005800216778835e-75,1.7005800216599941e-75,7.1156908607619083e-87,1.1490384161188232e-63,7.497077766247383e-67,1.0016846952936836e-76,5.6870592127325806e-86,1.1653374333987329e-86,8.9054839791968265e-97,1.9261399012111935e-97,2.0614263861468164e-109,7.1338141958404376e-68,1.3346770026252284e-75,3.0283377538870822e-86,1.1385989364799388e-110,5.9328232376504058e-121,2.9986104091994319e-121,4.7946426096751588e-79,1.8052886476894693e-38,2.2193704714330246e-48,2.2193416449834824e-48,7.2739810692929326e-49,3.1338266976399221e-82,4.2506802274218224e-90,1.9514132878657156e-86
1.6357966721630558e-19,0.3402570996621352,7.2731416625846326e-21,7.0899937874605544e-34,6.810157307634481e-34,1.5562083059104712e-52,2.0957048184324148e-45,0.0,0.0,8.3667353740785881e-21,2.2730647726039692e-36,154.0,0.0,0.99999999999991029,1.0,19.0,5.5362745079799397e-15,1.0045336527665951e-14,3.7065205245230342e-14,3.706522087026732e-14,7.7794771337214519e-22,2.2743937829337465e-23,2.2727801789895005e-23,1.4859428192886669e-23,9.8273034794851849e-22,5.7545793239986227e-34,2.1564048382763151e-26,6.3736635583657896e-27,2.1675897607565573e-36,2.1675897599526094e-36,6.9700196429937292e-46,3.1252751988606485e-36,1.0694592383201905e-46,1.5746690891607212e-27,1.6181836409307008e-83,1.5342335982685522e-83,1.5342335982687004e-83,8.7636517285772483e-39,1.0015512821174615e-41,7.4979684429261276e-34,5.4906539745079701e-39,1.0994678084509459e-42,4.2670016483426902e-49,1.4579354854930257e-59,1.5416715699278086e-69,4.6048922491283972e-71,1.6092456136108282e-81,5.2472393059589252e-85,1.3518996079625307e-82,1.6407142558023605e-72,4.5837105207141995e-80,2.4740262674133371e-36,1.1843423513716226e-35,6.24000411409032e-45,5.1948875682487418e-46,4.5530248767994798e-46,1.4139896291613305e-50,2.6693757913712689e-55,1.4744646869769331e-55,4.7319656232209112e-62,2.1648558499329968e-72,6.2579840294910824e-63,2.9766992717290931e-72,2.4779642629413513e-73,1.9448011885523949e-72,5.8387377043566981e-74,5.8387377042283948e-74,4.8852127791647282e-85,3.7268784042297134e-62,2.4316590621444696e-65,6.499271695102297e-75,7.3807054914916648e-84,1.5123831186279696e-84,2.3116432485063722e-94,4.9997833173151636e-95,1.0702193447272874e-106,2.2344822026741715e-66,8.3587982260490798e-74,2.0790777149266283e-84,5.9112011759778327e-108,6.1603044814104178e-118,3.1135856244689898e-118,1.6461837004260589e-77,1.4619695030205831e-37,3.5976551845471102e-47,3.597561689887574e-47,1.1791436386552784e-47,1.075961826233284e-80,2.9182657738522163e-88,1.2849110943666444e-84
3.283032481893685e-19,0.34025709966213524,1.459714445793998e-20,2.7944972940619609e-33,2.7383343015954947e-33,1.2551388003236491e-51,1.6868055605966181e-44,0.0,0.0,1.6791985724999176e-20,9.1398965012533966e-36,154.0,0.0,0.99999999999981992,1.0,19.0,1.1111264222307253e-14,2.0160916543958278e-14,7.4389607684107397e-14,7.4389639013631297e-14,3.1280930586631755e-21,9.145237355067651e-23,9.1322544211989088e-23,5.974910295560308e-23,3.9515148989002765e-21,4.6252488611538857e-33,8.6708090050197497e-26,2.5628220821995395e-26,1.744664814088132e-35,1.7446648127933994e-35,1.1224996222828229e-44,2.5154930113731655e-35,1.7223309316439757e-45,6.3316751466027387e-27,2.1053012769576555e-81,1.9960799700964685e-81,1.9960799700968545e-81,7.0537493585196863e-38,8.0613560404193569e-41,6.0094423086338042e-33,4.4192812727946079e-38,8.8494699875063714e-42,6.8718720172614041e-48,4.6969316268813855e-58,9.9344679850872412e-68,2.9673735655977424e-69,2.0740942524897511e-79,6.7629632545183995e-83,1.74239763276708e-80,1.0572694969582176e-70,2.9734754469603241e-78,1.9913112892880087e-35,4.7621884988444047e-35,5.0224981672618737e-44,4.1812966359696422e-45,3.664657250245497e-45,1.2695784118913671e-49,4.291568159935612e-54,2.3706221393940718e-54,8.4757910185559202e-61,7.7458642840446898e-71,1.1209161057589395e-61,1.0650572210328366e-70,8.8654702126397322e-72,6.9585243526770747e-71,2.0891098418591477e-72,2.0891098417589005e-72,3.4938061597813081e-83,1.2006633975090792e-60,7.8339126728457421e-64,4.1881049216769489e-73,9.5127074171452774e-82,1.9492524085027868e-82,5.9589347607734877e-92,1.288840409338922e-92,5.5176812000072989e-104,7.0694600570019945e-65,5.2882520013425362e-72,1.4869146658372638e-82,3.0476111054939991e-105,6.3521231121623927e-115,3.2105359847059917e-115,5.8900737461051178e-76,1.1767201653876802e-36,5.7937839675231196e-46,5.7934827828887755e-46,1.8989743554323401e-46,3.8498088035525209e-79,2.0870850731858109e-86,8.3406769578991319e-83
6.577504101354944e-19,0.3402570996621352,2.9245150055463731e-20,1.1094467030384035e-32,1.0981945302202314e-32,1.0081964231009731e-50,1.3535552315321354e-43,0.0,0.0,3.3642505506749679e-20,3.6655097140945929e-35,154.0,0.0,0.99999999999963929,1.0,19.0,2.2261243650955446e-14,4.0392065678792752e-14,1.4903841242389068e-13,1.4903847507301822e-13,1.2545048377606661e-20,3.6676491983811251e-22,3.65724347013993e-22,2.3962059207020613e-22,1.5847337224910886e-20,3.7010223779819053e-32,3.4773822163684909e-25,1.0278062781936471e-25,1.3999836358810909e-34,1.3999836338027602e-34,1.8018587118349327e-43,2.0185241413007014e-34,2.7647219352875645e-44,2.5392849213145035e-26,2.7167797610022724e-79,2.5758354509629927e-79,2.5758354509639893e-79,5.660189669566425e-37,6.4687305231599146e-40,4.7816553035115602e-32,3.5460749911415775e-37,7.1011368075526351e-41,1.1030868152912419e-46,1.5080851214103263e-56,6.3798389789063467e-66,1.9056244960468682e-67,2.6640068132441517e-77,8.6864810287534915e-81,2.237934998670851e-78,6.789703446942828e-69,1.915893961012569e-76,1.5979014420186571e-34,1.909850576711375e-34,4.0302384543391082e-43,3.3552258991529002e-44,2.9406353470659806e-44,1.2297580675367963e-48,6.8653462908772797e-53,3.7927296241669528e-53,1.6350765042446434e-59,2.9824451820430902e-69,2.1623746749598107e-60,4.1008104576114574e-69,3.4129988242334373e-70,2.6793029102158555e-69,8.0439002527468078e-71,8.0439002518715428e-71,2.687825530862177e-81,3.8550775292349309e-59,2.5153044851937848e-62,2.6895701481144313e-71,1.2218311715019544e-79,2.5036587359158697e-80,1.5307747020772074e-89,3.3108695724817743e-90,2.8348655330814064e-101,2.2489981924851926e-63,3.3643885974300907e-70,1.143900668290656e-80,1.5657968212780233e-102,6.5271896189697845e-112,3.2990193666615167e-112,2.2679123209953168e-74,9.442436985084997e-36,9.2998929267286152e-45,9.2989260199988535e-45,3.0482740028904952e-45,1.4823287776613895e-77,1.605618627930365e-84,5.3760680363620928e-81
