Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181)
0.0,0.5383328995795934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.717793014233389e-21,0.5383328995795934,1.8143001849130283e-23,4.1607206620910319e-38,2.8728806859470287e-38,3.5907616196799465e-59,2.5497742896012639e-51,0.0,0.0,2.6475884573330002e-23,1.2235208513439891e-40,154.0,0.0,0.99999999999999944,1.0,19.0,6.3890396214415388e-17,4.3538374696793956e-17,2.4394918056982717e-16,2.4394922518603016e-16,1.3741848170958527e-25,3.885363362908137e-27,3.8852650004699763e-27,2.6838699532307134e-27,1.5092296847238338e-25,3.3505866922585969e-39,2.4559403814599191e-30,6.2191729034760069e-31,6.7964210098190576e-42,6.7964210097331263e-42,7.4772566982722243e-53,9.6425282535407261e-42,1.1156400303849933e-53,1.7759929636353645e-31,1.0120186526754227e-95,9.6733269767871995e-96,9.6733269767872145e-96,2.947911386130223e-44,2.2693778823834517e-47,4.6285440588370608e-39,1.3970924448887025e-44,1.4261875816739473e-48,1.9294969078056344e-56,2.9771542989487208e-68,1.0971160124867026e-79,2.4928073382522851e-81,3.1296921620030444e-93,8.3240626312890758e-97,3.213172967363169e-94,1.1941885575769418e-82,2.6351573034489235e-91,8.7797212435942338e-42
1.3209820439853491e-20,0.5383328995795934,5.080040517777923e-23,2.0958151277679048e-37,1.735219934317969e-37,5.4263590364400674e-58,3.0270920511364097e-50,0.0,0.0,7.4132477955716253e-23,7.3900660388005365e-40,154.0,0.0,0.99999999999999833,1.0,19.0,1.7889310940036219e-16,1.2190744819590231e-16,6.8305770558292415e-16,6.8305783049959951e-16,8.3000762409959591e-25,2.3467594710933121e-26,2.3466422834127524e-26,1.6210574475656374e-26,9.1157472361363937e-25,3.9776765322057166e-38,1.4833879903632192e-29,3.7563804336019701e-30,8.0687110226653208e-41,8.0687110224730996e-41,1.6726323829342615e-51,1.144760947405065e-40,2.4956421119489671e-52,1.072699750012944e-30,1.078384407030695e-93,1.0307680543535433e-93,1.0307680543535465e-93,3.4997604418302717e-43,2.694205421881555e-46,5.4944082943866965e-38,1.6586270210481754e-43,1.6931698766421631e-47,4.3162073533924682e-55,1.2285310437436543e-66,8.2588154105783571e-78,1.8765231230386628e-79,4.2720143311693401e-91,1.136230464908958e-94,4.3859637233787293e-92,8.9895532927044877e-81,2.0334054303360179e-89,1.0423284997975834e-40
3.019387529109369e-20,0.5383328995795934,1.1611521183593485e-22,9.1785546211294667e-37,8.3543370348234094e-37,5.8374296032543778e-57,2.9720169325962125e-49,0.0,0.0,1.6944566932205773e-22,3.5579987807042965e-39,154.0,0.0,0.99999999999999623,1.0,19.0,4.0889853577225229e-16,2.7864559137363625e-16,1.5612747555587495e-15,1.561275041041603e-15,3.9961293667202557e-24,1.1298636657788824e-25,1.1297484010726982e-25,7.8046937612092429e-26,4.388839833783569e-24,3.9050099151709672e-37,7.1418746287068764e-29,1.8085354801845148e-29,7.9219083284503101e-40,7.9219083280705162e-40,3.3048395900524891e-50,1.1239330719813092e-39,4.9309682164846944e-51,5.1645875379093893e-30,2.4541505991219248e-91,2.3457869213013091e-91,2.3457869213013238e-91,3.4360855747156432e-42,2.6451868594455023e-45,5.3931738225032318e-37,1.6284474522438223e-42,1.6623641822035984e-46,8.5280981731439231e-54,4.8599465159381056e-65,6.5299968487741436e-76,1.4837103714108075e-77,6.7487354601642199e-89,1.7949656349337979e-92,6.9287422920423188e-90,7.1077693053974401e-79,2.2161047059627714e-87,1.0233642888033806e-39
6.416198499357409e-20,0.5383328995795934,2.4674482515567712e-22,3.8237047094542819e-36,3.648558471245157e-36,5.3656038204947498e-56,2.6287153224219748e-48,0.0,0.0,3.6007207046101652e-22,1.553871631022841e-38,154.0,0.0,0.9999999999999919,1.0,19.0,8.689093885160185e-16,5.9212186244717324e-16,3.3177088553089264e-15,3.3177094617851064e-15,1.7452146336041008e-23,4.9344114692936955e-25,4.933391140605824e-25,3.408514775724538e-25,1.9167216072261527e-23,3.4534097310147434e-36,3.1190442838562763e-28,7.8983495859026743e-29,7.0068382030340061e-39,7.006838202358183e-39,5.8807849875126714e-49,9.941060481991003e-39,8.7743943195095169e-50,2.255511063463265e-29,4.1474060172970638e-89,3.9642761924169195e-89,3.9642761924169683e-89,3.0391787866490256e-41,2.3396378210746896e-44,4.7679455907695907e-36,1.4403390738147058e-41,1.4703422169119158e-45,1.5175294279445139e-52,1.7344803049244208e-63,4.6673684734209241e-74,1.0604940816592279e-75,9.6538455712092131e-87,2.5676397078298559e-90,9.9113243456948686e-88,5.0803360463683774e-77,1.8129112475986578e-85,9.0515410069466887e-39
1.320982043985349e-19,0.5383328995795933,5.0800405180888545e-22,1.5592608603384549e-35,1.5232013397723024e-35,4.5903875722718528e-55,2.2095936215376388e-47,0.0,0.0,7.4132494636403773e-22,6.48710890211303e-38,154.0,0.0,0.99999999999998335,1.0,19.0,1.788931094003495e-15,1.2190743434665308e-15,6.8305770540033859e-15,6.8305783019103964e-15,7.285927143273562e-23,2.060019653574228e-24,2.0591617920183776e-24,1.4229877908124078e-24,8.0019349570477711e-23,2.9019122653525296e-35,1.3021395897120728e-27,3.2974054720623085e-28,5.889669702106904e-38,5.8896697009670315e-38,9.9188017946249789e-48,8.3560598943881424e-38,1.4799297968599561e-48,9.4163146900121622e-29,6.0727159853671805e-87,5.804573582550955e-87,5.8045735825511005e-87,2.5546128984487659e-40,1.9666065618343799e-43,4.0039562625308807e-35,1.2106846185904027e-40,1.2359110992643155e-44,2.559534928780064e-51,5.8604163561919492e-62,3.1565432474225179e-72,7.1721259026755834e-74,1.3063054585577157e-84,3.4743893018285101e-88,1.3411419833722297e-85,3.4358333896762531e-75,1.3047653912204382e-83,7.6083652169253137e-38
2.6797064320845653e-19,0.5383328995795933,1.0305225051701979e-21,6.295923802480751e-35,6.2227744816930231e-35,3.7954221047002617e-54,1.8115583494579134e-46,0.0,0.0,1.503830992670494e-21,2.6501962463715816e-37,154.0,0.0,0.99999999999996625,1.0,19.0,3.6289745049782237e-15,2.4729790609944262e-15,1.3856313448168727e-14,1.3856315976716465e-14,2.976538640322245e-22,8.4158524464045098e-24,8.4088203831013458e-24,5.8133691791245913e-24,3.2690511624161831e-22,2.3777101844100586e-34,5.3196650993036298e-27,1.3470977264324822e-27,4.8287070586481138e-37,4.8287070567758697e-37,1.6291656342822984e-46,6.8508020406640536e-37,2.4307889566794814e-47,3.8468717962587136e-28,8.303925434238376e-85,7.9372633798873933e-85,7.9372633798877888e-85,2.0944260001614594e-39,1.6123428758818933e-42,3.276488165815564e-34,9.9258065541049207e-40,1.013274378535499e-43,4.2040429580371133e-50,1.926776296871411e-60,2.07647917059874e-70,4.7180630455239664e-72,1.7190241994688434e-82,4.5721000902789179e-86,1.7648563303387061e-83,2.260205518842594e-73,8.8441246711738639e-82,6.2377968340317319e-37
5.397155208282997e-19,0.5383328995795934,2.0755594121124044e-21,2.5300778369447927e-34,2.5153449393989073e-34,3.0863756711890334e-53,1.4670469195326476e-45,0.0,0.0,3.0288442632850612e-21,1.071252173340588e-36,154.0,0.0,0.99999999999993194,1.0,19.0,7.3090613269267835e-15,4.980787518007323e-15,2.7907786223605084e-14,2.790779130456944e-14,1.2031642410467681e-21,3.4018221116412608e-23,3.396131195416303e-23,2.3498565631539206e-23,1.3214024530001475e-21,1.9231824064929257e-33,2.1502936853623206e-26,5.4451843878161906e-27,3.9104121655474682e-36,3.9104121625124811e-36,2.6409459514557455e-45,5.5479559573278179e-36,3.9404130694951221e-46,1.5549670851098228e-27,1.09827362989909e-82,1.0497790632575447e-82,1.0497790632576496e-82,1.6961204796549619e-38,1.3057170622863916e-41,2.6434025197075769e-33,8.0379853236696637e-39,8.2057552049926242e-43,6.8149320492355602e-49,6.2494502509144435e-59,1.3472900028759801e-68,3.0612390749739923e-70,2.2309609638382319e-80,5.9337017269306574e-84,2.2904142566942174e-81,1.4664978796486892e-71,5.8233688127357223e-80,5.0515285510374155e-36
1.0832052760679863e-18,0.5383328995795934,4.1656332268751474e-21,1.0143660246817365e-33,1.0114091374803188e-33,2.4892761268834552e-52,1.1808069913596142e-44,0.0,0.0,6.0788755165208036e-21,4.3074617141888056e-36,154.0,0.0,0.99999999999986333,1.0,19.0,1.4669234970820314e-14,9.9964005198645853e-15,5.6010731722900516e-14,5.6010741873389344e-14,4.8378683398685643e-21,1.367857705233246e-22,1.3632840659461964e-22,9.4486682267510624e-23,5.3132987779227313e-21,1.544176580852463e-32,8.6462363202037361e-26,2.1894846896739106e-26,3.1474399038019463e-35,3.1474398989141984e-35,4.2531564112695846e-44,4.4654757576437289e-35,6.3459119070391656e-45,6.2524542502432371e-27,1.4288840971653273e-80,1.3657913366916974e-80,1.3657913366919708e-80,1.3651853255204543e-37,1.0509546842693711e-40,2.1117448869323982e-32,6.4693637696026279e-38,6.6047001656648921e-42,1.0975229114238394e-47,2.0133420448073004e-57,8.6818775413442906e-67,1.972649001126944e-68,2.8753978500764269e-78,7.6477148508344854e-82,2.9519528179668109e-79,9.4500478631648437e-70,3.7799984559230867e-78,4.0659079591010639e-35
2.170184786547359e-18,0.5383328995795934,8.3457808599139504e-21,4.0621271239727885e-33,4.0562030069897832e-33,1.9995257112641548e-51,9.4752324637994413e-44,0.0,0.0,1.2178956871018654e-20,1.7274878838098221e-35,154.0,0.0,0.99999999999972622,1.0,19.0,2.9389582258593011e-14,2.0027610874929396e-14,1.1221662251518229e-13,1.1221664266468267e-13,1.940199853694432e-20,5.4857211544114591e-22,5.4491338978225907e-22,3.7893372269248242e-22,2.1308685535333783e-20,1.2330999329103936e-31,3.4675274645457668e-25,8.7808128454652367e-26,2.5256222956135995e-34,2.5256222877677013e-34,6.8272399047235281e-43,3.5832600876946046e-34,1.0186588030118436e-43,2.5075137949597325e-26,1.8438992190090929e-78,1.7624813545589743e-78,1.7624813545596797e-78,1.0954752541069325e-36,8.4332494366475829e-40,1.669577793650072e-31,5.1907658010098178e-37,5.2998470940157166e-41,1.7617644935604344e-46,6.4644087973735537e-56,5.5754303409462503e-65,1.2668189627279462e-66,3.6932135787240781e-76,9.8228649193387857e-80,3.7913571257481792e-77,6.0687430094047056e-68,2.436308300151184e-76,3.2626323600724248e-34
