Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181)
4.344143807506105e-18,0.5383328995795934,1.6706076140044817e-20,1.6257827941620084e-32,1.6245969085727787e-32,1.6028733670220798e-50,7.5917163293559953e-43,0.0,0.0,2.4379194972119234e-20,6.9189867402359666e-35,154.0,0.0,0.99999999999945188,1.0,19.0,5.8830276834080976e-14,4.008996899065549e-14,2.2462840327450945e-13,2.2462844287135424e-13,7.7709055891199114e-20,2.1971497723898884e-21,2.1680165895284874e-21,1.5177103300541212e-21,8.5345735496281606e-20,9.7849279889102675e-31,1.3888196287993234e-24,3.5169051609431196e-25,2.023571237208777e-33,2.0235712246349409e-33,1.0941327630082419e-41,2.8709637387041792e-33,1.6325082681822687e-42,1.0043134244626408e-25,2.3697920684828111e-76,2.2651532642920543e-76,2.2651532642938676e-76,8.7771329104034275e-36,6.7568618599204201e-39,1.2993553229606135e-30,4.1581423549439762e-36,4.2463128616928634e-40,2.82340778853866e-45,2.07208760662073e-54,3.5743696431232017e-63,8.1214883405179859e-65,4.7354513067543356e-74,1.2594911890774003e-77,4.8608168208882838e-75,3.890628974962864e-66,1.5647340820937879e-74,2.6140718142553983e-33
8.692061849423596e-18,0.5383328995795934,3.3426666756519607e-20,6.504994525156778e-32,6.5026214682117201e-32,1.2836083193732032e-49,6.0779891627162583e-42,0.0,0.0,4.8779972742735405e-20,2.769417589775436e-34,154.0,0.0,0.99999999999890321,1.0,19.0,1.1771166598482711e-13,8.0214434846055836e-14,4.4945196149221834e-13,4.4945203785506246e-13,3.1103763014366367e-19,8.7943248164061583e-21,8.5639358959661806e-21,6.0747880351159174e-21,3.4160414133456873e-19,7.6861346236416918e-30,5.5588978064688994e-24,1.4076785763774713e-24,1.6200873862954018e-32,1.6200873661610737e-32,1.7520194254175786e-40,2.2985090085998631e-32,2.6141340845470521e-41,4.019870968388206e-25,3.0394936817341282e-74,2.9052840233578357e-74,2.9052840233624864e-74,7.0270433722330114e-35,5.4095978564065322e-38,9.8373520313621261e-30,3.3277829111771381e-35,3.3996095491195074e-39,4.5211018996423736e-44,6.6362175111026165e-53,2.2895380397126293e-61,5.2021638523596333e-63,6.0665631994425562e-72,1.6135279961662642e-75,6.2259529765341341e-73,2.4921158036494993e-64,1.0031922631716322e-72,2.0928399523339648e-32
1.738789793325858e-17,0.5383328995795935,6.6867848214321388e-20,2.6023705215721336e-31,2.6018956027084653e-31,1.0274223375550997e-48,4.864238572230784e-41,0.0,0.0,9.758273455759197e-20,1.1081435773643267e-33,154.0,0.0,0.99999999999780587,1.0,19.0,2.3547444428540047e-13,1.6046236506514787e-13,8.9909906472385523e-13,8.9909920666956113e-13,1.2445467905254584e-18,3.5188752719578872e-20,3.3389048689145911e-20,2.4306996496929402e-20,1.3668517778116753e-18,5.9272534704423978e-29,2.2242831421195499e-23,5.6325477322272164e-24,1.2965622523903018e-31,1.2965622201628775e-31,2.8043127089635859e-39,1.8394935241985148e-31,4.1842973043698433e-40,1.6084719638073629e-24,3.8944988999602612e-72,3.7225362572443395e-72,3.7225362572562583e-72,5.6237706340682646e-34,4.3293222253798717e-37,7.0975820711548755e-29,2.6612242688575201e-34,2.7206845486806874e-38,7.2366139409616994e-43,2.1244557644928809e-51,1.4659120795407277e-59,3.3307657466275817e-61,7.7684482663590558e-70,2.0661797353203682e-73,7.9694416917134152e-71,1.595615634643836e-62,6.4260757693645241e-71,1.6748968678959826e-31
3.477957010092855e-17,0.5383328995795934,1.3375021202933373e-19,1.041022831808596e-30,1.0409276741544828e-30,8.2217071789513616e-48,3.8921299329938894e-40,0.0,0.0,1.9519308328152385e-19,4.433422374724217e-33,154.0,0.0,0.99999999999561129,1.0,19.0,4.7100000088287113e-13,3.2095421963648323e-13,1.7983932183720154e-12,1.7983934638230899e-12,4.9789265495682405e-18,1.4077791096241881e-19,1.2703652964208024e-19,9.7243266568693327e-20,5.4682191603254394e-18,4.4197413695622264e-28,8.8985804701440526e-23,2.2533857347205077e-23,1.0374467401982719e-30,1.0374466886258636e-30,4.4876233327920337e-38,1.4718547050096662e-30,6.6961749968595828e-39,6.4349349508844212e-24,8.7317913631404182e-70,8.3462367765364422e-70,8.346236776589794e-70,4.4998713942951358e-33,3.4641153251906546e-36,4.7382237497080778e-28,2.1261686735404122e-33,2.1769029154171135e-37,1.1580639250263442e-41,6.7995150056677067e-50,9.38360493760183e-58,2.1320917352689092e-59,9.9455052064456073e-68,2.6452136234643671e-71,1.019486983952173e-68,1.0213864269073352e-60,5.4370212738968233e-69,1.340154125455845e-30
6.956291443626849e-17,0.5383328995795935,2.6751494325699277e-19,4.1642412680482525e-30,4.1640496337254662e-30,6.5785936234091861e-47,3.1139996408188571e-39,0.0,0.0,3.904330811041403e-19,1.7736144769597962e-32,154.0,0.0,0.99999999999122202,1.0,19.0,9.4205111406310867e-13,6.4192190611160915e-13,3.5969813144079497e-12,3.5969816840818171e-12,1.9916758965557296e-17,5.6315736683179506e-19,4.6246983307394582e-19,3.8900034954857089e-19,2.1874032866892585e-17,3.1100208623443942e-27,3.5597215363846614e-22,9.0142755087433387e-23,8.3003611005588258e-30,8.3003602753791643e-30,7.1803197869354989e-37,1.1775642096806372e-29,1.0714768399561611e-37,2.5741832604747065e-23,1.1216270929440989e-67,1.0721013485420508e-67,1.0721013485557805e-67,3.6002396361563048e-32,2.7715550423689122e-35,2.8388481956322827e-27,1.6959742616968774e-32,1.7415947466012424e-36,1.8529950697623276e-40,2.1759628947509527e-48,6.0058454892703954e-56,1.3646156177915725e-57,1.2730977434514401e-65,3.3860690776295469e-69,1.3029861722205184e-66,6.5372416264225417e-59,3.4935428404788076e-67,1.0721965476255365e-29
1.3912960310694837e-16,0.5383328995795934,5.3504442010284391e-19,1.6657270556884196e-29,1.665687680791427e-29,5.2638402905908862e-46,2.4913180491532703e-38,0.0,0.0,7.8099027823261311e-19,7.0955562033448559e-32,154.0,0.0,0.9999999999824436,1.0,19.0,1.8841533403647673e-12,1.2837931947898389e-12,7.1941566614388281e-12,7.1941571103504032e-12,7.9665732845219596e-17,2.2527202755287003e-18,1.5639682882319527e-18,1.556029758226692e-18,8.7494700399636266e-17,2.0011668478483426e-26,1.4239463104462953e-21,3.6058561098628283e-22,6.6406027155062479e-29,6.6406013953526067e-29,1.1487150770999499e-35,9.4204591894607116e-29,1.7143856475437685e-36,1.0297150517680889e-22,1.4358566267913488e-65,1.3724559940991616e-65,1.3724559941343152e-65,2.880329574561793e-31,2.2173487562253289e-34,1.5046401985524866e-26,1.3487189728102292e-31,1.3931932456992795e-35,2.9646366705851902e-39,6.9627392192405771e-47,3.8435583748266529e-54,8.7331251796845911e-56,1.6294890469757822e-63,4.3339693761092448e-67,1.6625667528291133e-64,4.1836360279734564e-57,2.2361993550853863e-65,8.5775227655802759e-29
2.7826298044830814e-16,0.5383328995795934,1.0701034313566501e-18,6.662973806880544e-29,6.6628866799135401e-29,4.2122171441940065e-45,1.993101859044738e-37,0.0,0.0,1.5624134783073744e-18,2.8389279282327459e-31,154.0,0.0,0.99999999996488664,1.0,19.0,3.7683577927328215e-12,2.5672794862332501e-12,1.4388503975341084e-11,1.438850464543546e-11,3.1863306120731435e-16,9.0110576132329446e-18,4.7501323897095958e-18,6.2239663794633875e-18,3.4994599600275963e-16,1.1463200350468851e-25,5.6958994747888846e-21,1.4423711354764451e-21,5.3126060244113977e-28,5.3126039127546732e-28,1.8373686814050458e-34,7.5357435984165313e-28,2.7428804238419103e-35,4.1189429478192589e-22,1.8379825216016963e-63,1.7568259148561598e-63,1.7568259149461574e-63,2.3043201721354887e-30,1.773920310327555e-33,7.1508800493452771e-26,1.0662235279192889e-30,1.1143432098700473e-34,4.742559610735621e-38,2.227682098002237e-45,2.4594465183450628e-52,5.5882217355445607e-54,2.0853829440974267e-61,5.5465235913506596e-65,2.1145848668670907e-62,2.6770584718260395e-55,1.4312322189513607e-63,6.8614502675486529e-28
4.1739635778966785e-16,0.5383328995795933,1.6051625001725355e-18,1.4158865378374944e-28,1.4158719505585665e-28,1.2506839265275023e-44,5.6990605597747452e-37,0.0,0.0,2.3441454840911021e-18,6.0337106645788062e-31,154.0,0.0,0.99999999994732969,1.0,19.0,5.6525622448656128e-12,3.850509542928437e-12,2.1582847909088292e-11,2.1582849285256412e-11,6.7704591934673361e-16,1.9148602011590726e-17,8.4974586921446602e-18,1.3225597790525688e-17,7.435810574332637e-16,2.7676479719983762e-25,1.2103856630179619e-20,3.0650560436784356e-21,1.5190821764922042e-27,1.5190813993716287e-27,6.7616744118871946e-34,2.1546329964452373e-27,1.0095313452169817e-34,8.7528047061484058e-22,9.483325718527813e-63,9.064586955210964e-63,9.0645869557634985e-63,6.5889595752394553e-30,5.0723330464863648e-33,1.6047733323433704e-25,3.0280406712228562e-30,3.1859539597492252e-34,1.7454134150302202e-37,1.0170012482866431e-44,1.3512060392074659e-51,3.070137595048551e-53,1.34528363097462e-60,3.5780722921325963e-64,1.3615780992770764e-61,1.4707608905555078e-54,7.1025074042483784e-63,1.9618378665533706e-27
5.565297351310276e-16,0.5383328995795935,2.1402216265504776e-18,2.4153405697044028e-28,2.4153186420073493e-28,2.7255825126512877e-44,1.2021010185567805e-36,0.0,0.0,3.1261862954785424e-18,1.0294330299479106e-30,154.0,0.0,0.99999999992977295,1.0,19.0,7.536766696763139e-12,5.1334834160300135e-12,2.8777188462684906e-11,2.8777191270864179e-11,1.1548804611996015e-15,3.2665349014566465e-17,1.2565079197427102e-17,2.2560741070202285e-17,1.268373695210396e-15,5.0949000622466714e-25,2.0647816988507824e-20,5.2286399066120914e-21,3.204194366642304e-27,3.2041923959504746e-27,1.7146603476097317e-33,4.5445081438767402e-27,2.5603148209170343e-34,1.4931299780463701e-21,5.1735328570778636e-62,4.945094141377203e-62,4.9450941416847896e-62,1.3898081111293369e-29,1.0699053167673482e-32,2.820489318235073e-25,6.3478208450291606e-30,6.7193751208186821e-34,4.4263635379874491e-37,3.0311739618318359e-44,4.6454393310620519e-51,1.0555117409382584e-52,5.2534082932038645e-60,1.3972586029410467e-63,5.3078818914113083e-61,5.0564685147419127e-54,3.0046503619395502e-62,4.137868571116068e-27
8.347964898137471e-16,0.5383328995795935,3.210340014400915e-18,5.0006674146805652e-28,5.0006262291461446e-28,7.9139356063579071e-44,3.2833222027117985e-36,0.0,0.0,4.6909926657796937e-18,2.1318351039407205e-30,154.0,0.0,0.99999999989465915,1.0,19.0,1.1305175600006042e-11,7.6988300736673384e-12,4.3165861636885438e-11,4.3165869391668771e-11,2.3907509722387729e-15,6.7629610826603534e-17,2.1073733379805776e-17,4.6707069903598328e-17,2.625696552042416e-15,1.1443868518480434e-24,4.2748804147790872e-20,1.0825263032259966e-20,8.7516755661559029e-27,8.7516686760648574e-27,5.9947827652164333e-33,1.241135692607851e-26,8.953082801891883e-34,3.0913448133177261e-21,7.1852081381064738e-61,6.8679433695860978e-61,6.8679433700720004e-61,3.7960170741819417e-29,2.9222522806926464e-32,6.0175440652827267e-25,1.716196946891325e-29,1.8349362791024067e-33,1.5476917716374828e-36,1.3266375783118261e-43,2.4981316131808352e-50,5.6761206134215989e-52,3.4166787588344466e-59,9.0874355532689532e-63,3.4415460065471618e-60,2.7191668950168781e-53,2.7064298901593448e-61,1.1300796938270283e-26
1.1130632444964665e-15,0.5383328995795934,4.2804586139273851e-18,8.5048397821194054e-28,8.5047709041300931e-28,1.731131388340532e-43,6.8698225127012618e-36,0.0,0.0,6.2569346235724673e-18,3.6265386110595926e-30,154.0,0.0,0.99999999985954535,1.0,19.0,1.5073584502383803e-11,1.0263235077659437e-11,5.755452238110367e-11,5.7554538573699573e-11,4.0655795843657505e-15,1.1502036883313206e-16,2.9940027675554592e-17,7.943303531515533e-17,4.4651151126580751e-15,2.0466183666913195e-24,7.27046308245699e-20,1.8410960966255015e-20,1.8311463772568404e-26,1.8311446559243791e-26,1.4976290294454214e-32,2.5966634049761095e-26,2.2370343188023428e-33,5.2575759794398125e-21,3.3029474888462907e-60,3.1571049689993154e-60,3.1571049692512798e-60,7.9425668909737061e-29,6.1143397095198343e-32,1.0414283920603378e-24,3.5586181392226554e-29,3.8386777376250871e-33,3.866784620890215e-36,3.8648064187542308e-43,8.3250958038824848e-50,1.8915836767275434e-51,1.282635844773373e-58,3.4114680004930198e-62,1.2892222501967782e-59,9.0617027896901031e-53,1.0675502521453987e-60,2.3643156840709983e-26
1.391329999179186e-15,0.5383328995795934,5.3505774402494695e-18,1.2993492119827044e-27,1.299338406282226e-27,3.2486861021658972e-43,1.2506267587319827e-35,0.0,0.0,7.8240932815724063e-18,5.5418502475880095e-30,154.0,0.0,0.99999999982443155,1.0,19.0,1.8841993403834612e-11,1.2826631508728395e-11,7.1943169807513488e-11,7.1943198440923776e-11,6.2105611634355053e-15,1.7572520013936295e-16,3.8928278521299135e-17,1.2135024671808518e-16,6.8208898469584903e-15,3.2369705430696564e-24,1.110763522502284e-19,2.8127807613260849e-20,3.333535608658708e-26,3.3335319573411654e-26,3.1767275421316994e-32,4.7267390650437983e-26,4.7459000073182845e-33,8.0323957333603714e-21,1.219456440066567e-59,1.1656110188575494e-59,1.1656110189586327e-59,1.4459184994672465e-28,1.1130934011386681e-31,1.6096265911031212e-24,6.4194442050564888e-29,6.9870088353430277e-33,8.2027768364953185e-36,9.3825998269317247e-43,2.2790390256180787e-49,5.1783106150509005e-51,3.9120157548776825e-58,1.0404936495781768e-61,3.9235906179227079e-59,2.4806892303697742e-52,3.3659276224614209e-60,4.3037935831344188e-26
1.947863508544625e-15,0.5383328995795934,7.4908157875255369e-18,2.4986093804445982e-27,2.4985855608167499e-27,8.8948501599671449e-43,3.3020304753527531e-35,0.0,0.0,1.0962137119672122e-17,1.0662650079903983e-29,154.0,0.0,0.99999999975420428,1.0,19.0,2.6378811203897183e-11,1.7950337613595577e-11,1.0072042387056229e-10,1.0072049002222441e-10,1.1939436725085347e-14,3.379131936468713e-16,5.6910213725233214e-17,2.3332747089385395e-16,1.3112757542168736e-14,6.5014255578772164e-24,2.1359608542466866e-19,5.4088793990962069e-20,8.8015267572643199e-26,8.801513388093722e-26,1.1630678212867169e-31,1.2477169574136892e-25,1.7384923866144209e-32,1.544602674050517e-20,1.4949611743764136e-58,1.4289507729326964e-58,1.4289507731404519e-58,3.8176746995124873e-28,2.9388982523754071e-31,3.1395561342723711e-24,1.6540763543089126e-28,1.8439391631271977e-32,3.0040059538296141e-35,4.8519726638603954e-42,1.701690572655344e-48,3.8664910806381166e-50,4.3278188646034095e-57,1.1510968179901701e-60,4.2887587160677231e-58,1.8522572839731456e-51,2.7738795563039693e-59,1.1360720684999941e-25
2.5043970179100637e-15,0.5383328995795934,9.6310550559367585e-18,4.097723007477624e-27,4.0976778109056342e-27,1.8762399732915089e-42,6.8459443795645868e-35,0.0,0.0,1.4105122612054302e-17,1.7496066108415541e-29,154.0,0.0,0.99999999968397701,1.0,19.0,3.3915629000194938e-11,2.3069952522548093e-11,1.2949762384338167e-10,1.294977442760467e-10,1.9575450435334543e-14,5.5417624634867984e-16,7.4901026281654838e-17,3.8261678119951619e-16,2.1499183022528913e-14,1.0937603268163843e-23,3.5029715776676692e-19,8.8705461577079537e-20,1.8247774289078794e-25,1.824773959124164e-25,3.0184116785585556e-31,2.5863004820334072e-25,4.5137203688223383e-32,2.5331453541123115e-20,7.4526217786273583e-58,7.1235493259281867e-58,7.1235493271711367e-58,7.9150333246215712e-28,6.093074183056607e-31,5.1912356984818282e-24,3.355288500539448e-28,3.8213771553070138e-32,7.7977378549569298e-35,1.5618628700619359e-41,6.7193725617990646e-48,1.5267403947880313e-49,2.0714397290949011e-56,5.5095595460308516e-60,2.038733317883194e-57,7.3139084155900826e-51,1.1406568852171765e-58,2.3548800206414938e-25
