Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200)
4.663895121183453e-19,0.9205738807857717,2.8582678229865395e-19,4.8411313196492144e-32,4.6891078780815306e-32,4.9865157325758545e-50,1.6961939650625759e-43,0.0,0.0,5.8329422871917426e-20,2.7995300050964562e-35,154.0,0.0,0.99999999999950739,1.0,19.0,4.2151657673485707e-14,2.1794554740751703e-13,1.1625699493933964e-13,1.1625733904733883e-13,5.0953963740352298e-20,7.8983679007648407e-23,7.8757886191545927e-23,4.859329380266963e-23,7.4904884608773952e-20,8.5589684776057e-33,1.1701638457460305e-25,1.7869543420834058e-25,2.7912747147139932e-34,2.7912747136324694e-34,9.3366111936202173e-44,1.8053844578473192e-33,1.4786232453476118e-44,8.581429505014508e-27,2.8308396292254187e-79,2.6607311515791739e-79,2.6607311515816854e-79,5.4008869831603645e-38
9.331842279831009e-19,0.9205738807857715,5.7190189380174266e-19,1.9072830645972889e-31,1.8768651683290341e-31,3.9932578407374673e-49,1.357986530934171e-42,0.0,0.0,1.1670955703214352e-19,1.1205418765590737e-34,154.0,0.0,0.99999999999901434,1.0,19.0,8.4339937117243224e-14,4.3608019123720277e-13,2.3261499492850867e-13,2.3261568334791012e-13,2.0394854188283521e-19,3.1614055144143261e-22,3.1433672258032772e-22,1.9449976008712588e-22,2.9981459487055138e-19,6.7986296306635354e-32,4.6837049135856073e-25,7.1524742903717921e-25,2.2347169818103e-33,2.2347169800784562e-33,1.4950716658373198e-42,1.445404636000353e-32,2.3677226487396507e-43,3.4348081867556347e-26,3.6308330668836298e-77,3.412652044237821e-77,3.4126520442442623e-77,4.3239935708975058e-37
1.8667736597126123e-18,0.9205738807857717,1.1440521171521332e-18,7.5707544065003635e-31,7.5099054059378017e-31,3.1962263812461188e-48,1.0868019449703226e-41,0.0,0.0,2.3346992775144528e-19,4.4836294479561496e-34,154.0,0.0,0.99999999999802824,1.0,19.0,1.6871649600452199e-13,8.7234870819305289e-13,4.6533099443074336e-13,4.6533237119148664e-13,8.1605899901896636e-19,1.2649739819274329e-21,1.2506107212774926e-21,7.7825196467200341e-22,1.199647695063827e-18,5.3568692687971756e-31,1.8740920427550161e-24,2.8619213567630376e-24,1.7884527543827008e-32,1.7884527516106314e-32,2.3930800144682207e-41,1.1567619062554591e-31,3.789894853161287e-42,1.3743706789242945e-25,4.6521814631071013e-75,4.3726264162832725e-75,4.3726264162997798e-75,3.4605090276391792e-36
3.733952523171635e-18,0.9205738807857717,2.2883525652297671e-18,3.0166223010418465e-30,3.0044511800696564e-30,2.5576312524884685e-47,8.6960667976062445e-41,0.0,0.0,4.6699107878544765e-19,1.7937456305749635e-33,154.0,0.0,0.99999999999605604,1.0,19.0,3.3746961377813425e-13,1.7448826593015592e-12,9.307629915307993e-13,9.3076574388501749e-13,3.2647607904066555e-18,5.0607195015645799e-21,4.946983716660717e-21,3.1135112387299412e-21,4.7993622542677433e-18,4.1575934248296482e-30,7.4975884787669599e-24,1.1449548899861382e-23,1.4310339205241843e-31,1.431033916087998e-31,3.8296805406381043e-40,9.255835324218751e-31,6.0650549047491267e-41,5.4983776499433875e-25,1.0430580553625768e-72,9.8037947217084426e-73,9.8037947217823382e-73,2.7689330275972689e-35
7.46831025008968e-18,0.9205738807857717,4.5769534668924438e-18,1.2043126400717129e-29,1.201878283745647e-29,2.0463682060584253e-46,6.9575140103977675e-40,0.0,0.0,9.3403501923504954e-19,7.1755816383806439e-33,154.0,0.0,0.99999999999211175,1.0,19.0,6.7497584932157815e-13,3.4899382303929302e-12,1.8616269781132577e-12,1.8616324775794095e-12,1.3060053271574446e-17,2.0244524506132972e-20,1.9353229865123437e-20,1.2455031462474768e-20,1.9198933929412433e-17,3.1374320518202148e-29,2.999279454231134e-23,4.5801922219635813e-23,1.1449358210528404e-30,1.1449358139543094e-30,6.1280270988902073e-39,7.4053434184008284e-30,9.7050406903896313e-40,2.1995300581178086e-24,1.3398424710960572e-70,1.2593297642709002e-70,1.2593297642899159e-70,2.2153568064987357e-34
1.493702570392577e-17,0.9205738807857717,9.1541552922474343e-18,4.8125776202409383e-29,4.8077087750918857e-29,1.6372048343113528e-45,5.5662754619347271e-39,0.0,0.0,1.8681294536606541e-18,2.8703615800991414e-32,154.0,0.0,0.99999999998422318,1.0,19.0,1.3499883203933425e-12,6.9800000487701817e-12,3.7233549208075658e-12,3.7233659002843673e-12,5.2241916950838276e-17,8.0981385035748262e-20,7.413301072911168e-20,4.9821936363113029e-20,7.6798240484140671e-17,2.2528140593805494e-28,1.1997605835507019e-22,1.8321513765742596e-22,9.1599211096089334e-30,9.1599209960294932e-30,9.8050696411604775e-38,5.9245113005795122e-29,1.552874489467557e-38,8.7984782280571761e-24,1.7152070842445208e-68,1.6121382781238539e-68,1.6121382781725412e-68,1.7723696673811804e-33
2.987445661159795e-17,0.9205738807857717,1.8308559031075959e-17,1.9240964290936102e-28,1.9231226465218688e-28,1.3098159469197962e-44,4.4531260907428618e-38,0.0,0.0,3.7363445366175456e-18,1.1481776953083714e-31,154.0,0.0,0.99999999996844591,1.0,19.0,2.7000132624763783e-12,1.3959926395879176e-11,7.446810684313791e-12,7.4468325813423285e-12,2.0896854422655397e-16,3.2393206560542935e-19,2.7317951726349971e-19,1.9929006628801457e-19,3.0719425032331833e-16,1.4935412902219402e-27,4.7991398477518422e-22,7.3287541063741953e-22,7.3281103558916691e-29,7.3281101741690096e-29,1.5687638654384427e-36,4.7396500507440044e-28,2.4846271582773671e-37,3.519462878373911e-23,2.1955702305890753e-66,2.063635841756341e-66,2.0636358418809867e-66,1.4179295266287594e-32
4.481188751927013e-17,0.9205738807857717,2.7462962858023021e-17,4.0881207741407991e-28,4.0866600930738621e-28,3.8885690016757152e-44,1.2733235249968479e-37,0.0,0.0,5.6045858336801814e-18,2.4399065636312547e-31,154.0,0.0,0.99999999995266864,1.0,19.0,4.0500382044989216e-12,2.0939655458918943e-11,1.1170266325937667e-11,1.1170299110440252e-11,4.4405585653153713e-16,6.8835966321839427e-19,5.4932218691715205e-19,4.2349137891356459e-19,6.5278440089621474e-16,3.8605160090418163e-27,1.0198233026393536e-21,1.5573694926332807e-21,2.0953942513539137e-28,2.0953941844691331e-28,5.7739712612680462e-36,1.3552402053781542e-27,9.1450674612991748e-37,7.4789033417306139e-23,1.1328350201317713e-65,1.0647616363093005e-65,1.0647616363858268e-65,4.0544174308674397e-32
5.974931842694231e-17,0.9205738807857717,3.6617366773088622e-17,6.9733308041076623e-28,6.9713832239610508e-28,8.4730703227563302e-44,2.6858171920208859e-37,0.0,0.0,7.4728533448486014e-18,4.1622292399689422e-31,154.0,0.0,0.99999999993689137,1.0,19.0,5.4000631464609721e-12,2.7919187243465625e-11,1.4893721845679236e-11,1.4893765498254376e-11,7.5750163904046991e-16,1.1742641354780584e-18,8.9188592340351792e-19,7.2242473704833862e-19,1.1135654362988562e-15,7.4739073619222778e-27,1.7397040051130658e-21,2.6566973505564691e-21,4.4198081019900162e-28,4.4198079323588498e-28,1.4643736106764405e-35,2.8585812710919632e-27,2.3193805232171303e-36,1.2758169197371245e-22,6.1800707858666128e-65,5.8087030908227415e-65,5.8087030912487484e-65,8.5519706648724215e-32
8.962418024228667e-17,0.9205738807857717,5.4926174810028629e-17,1.4436329533856638e-27,1.4433408153725663e-27,2.4595083351207746e-43,7.3358252659858716e-37,0.0,0.0,1.1209449890086845e-17,8.6174723444123024e-31,154.0,0.0,0.99999999990533683,1.0,19.0,8.1001130302430969e-12,4.1877787829310749e-11,2.2340632599112203e-11,2.2340697969791545e-11,1.5682888659364007e-15,2.4311717360921489e-18,1.7054097446666293e-18,1.495679461852639e-18,2.3054633617099692e-15,1.7909621053128523e-26,3.6018472115691409e-21,5.5003710093045975e-21,1.2071907690587817e-27,1.2071907097399008e-27,5.1207950240196365e-35,7.8075967656548682e-27,8.110930792299352e-36,2.6414250245299362e-22,8.5831389109936364e-64,8.0673680395797803e-64,8.0673680402527564e-64,2.3358173345976296e-31
