Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41)
1.2125872845845333e-12,0.9361230064190066,3.1389020313361949e-17,1.3857759634684583e-24,1.3857759624419597e-24,1.8780059127132199e-38,2.322167672855166e-38,0.0,0.0,2.0695615152243732e-16,1.3356724846233073e-36,154.0,0.0,0.9999999882258791,1.0,19.0,2.5261968893204664e-09,2.2708191555998559e-10,4.5104209736433925e-09,4.5104212119885658e-09
1.4615777342746954e-12,0.9361230064190068,3.7834268979201864e-17,2.0131444795122191e-24,2.0131444782751215e-24,3.5171240428707465e-38,4.3502856423085646e-38,0.0,0.0,2.7272995448050976e-16,2.5033338360337952e-36,154.0,0.0,0.99999998580913663,1.0,19.0,3.0449214034873193e-09,2.7277672612872745e-10,5.4365825099204121e-09,5.4365828204846377e-09
1.7105681839648575e-12,0.9361230064190068,4.4279478382690582e-17,2.7573388426347796e-24,2.7573388411872079e-24,6.0239648845645052e-38,7.4529853957740676e-38,0.0,0.0,3.4643655314631359e-16,4.2907174190010128e-36,154.0,0.0,0.99999998339270735,1.0,19.0,3.5636458756677921e-09,3.1815838321439805e-10,6.3627440337883617e-09,6.362744424504396e-09
2.208549083345182e-12,0.9361230064190068,5.7169779403717855e-17,4.5962021188423651e-24,4.5962021169743797e-24,1.4761714169782008e-37,1.8272175788348283e-37,0.0,0.0,5.1764812493781871e-16,1.0530104230521444e-35,154.0,0.0,0.99999997856077993,1.0,19.0,4.601094694070315e-09,4.0799065747470579e-10,8.2150670442993212e-09,8.2150676191172287e-09
2.6392321297505203e-12,0.9361230064190066,6.8317940011600651e-17,6.5633944498614809e-24,6.5633944476306895e-24,2.7817955737970648e-37,3.4444312218841803e-37,0.0,0.0,6.9131054684947481e-16,1.9866740445280784e-35,154.0,0.0,0.99999997438283683,1.0,19.0,5.4983410557524805e-09,4.8469264245256651e-10,9.8170644264397564e-09,9.8170651860682507e-09
3.069915176155859e-12,0.936123006419007,7.9465983153401195e-17,8.8801103088743772e-24,8.8801103062817876e-24,4.7888255569450338e-37,5.9310994485455711e-37,0.0,0.0,8.8870725608286729e-16,3.4237873583705937e-35,154.0,0.0,0.99999997020580056,1.0,19.0,6.3955872918170651e-09,5.6048757886573993e-10,1.1419061771461243e-08,1.1419062739634489e-08
3.5005982225611973e-12,0.9361230064190068,9.0613908830480988e-17,1.154634602626738e-23,1.1546346023314303e-23,7.7058831527263332e-37,9.5460530298888297e-37,0.0,0.0,1.1098382527302364e-15,5.5151142396520113e-35,154.0,0.0,0.99999996602966112,1.0,19.0,7.2928334022648918e-09,6.3538619278315629e-10,1.3021059079366647e-08,1.3021060279818819e-08
3.931281268966536e-12,0.9361230064190068,1.0176171704420295e-16,1.456209792790071e-23,1.4562097924588798e-23,1.1769579388075391e-36,1.4582884846157606e-36,0.0,0.0,1.35470353660931e-15,8.4320226800912256e-35,154.0,0.0,0.99999996185440743,1.0,19.0,8.1900793870967746e-09,7.0939908069089794e-10,1.4623056350158806e-08,1.4623057806624069e-08
4.361964315371874e-12,0.9361230064190066,1.129094077959319e-16,1.7927362333578962e-23,1.7927362329910238e-23,1.7244018936378482e-36,2.1369334327945243e-36,0.0,0.0,1.6233031072046949e-15,1.2366208618814633e-34,154.0,0.0,0.99999995768002914,1.0,19.0,9.0873252463135199e-09,7.8253671550070113e-10,1.6225053583840512e-08,1.6225055320053046e-08
5.223330408182551e-12,0.936123006419007,1.3520443691887124e-16,2.5706413932154914e-23,2.5706413927780379e-23,3.360828101486993e-36,4.1659445853199992e-36,0.0,0.0,2.2317051063005782e-15,2.414750262546929e-34,154.0,0.0,0.99999994933385772,1.0,19.0,1.088181658790478e-08,9.262275460227887e-10,1.9429047939883647e-08,1.9429050306793213e-08
6.084696500993228e-12,0.9361230064190068,1.5749899621022381e-16,3.48834713568261e-23,3.4883471351759378e-23,5.944825901225161e-36,7.3704939979068482e-36,0.0,0.0,2.9350442447133868e-15,4.2792454170773178e-34,154.0,0.0,0.99999994099106504,1.0,19.0,1.2676307427044946e-08,1.0665400564576201e-09,2.2633042147517801e-08,2.2633045240061071e-08
6.946062593803905e-12,0.9361230064190068,1.7979308568091505e-16,4.5458505134971373e-23,4.5458505129230599e-23,9.7867563066197192e-36,1.2135825522551512e-35,0.0,0.0,3.733320516715851e-15,7.0575211585660984e-34,154.0,0.0,0.99999993265157239,1.0,19.0,1.4470797763740148e-08,1.2035536114068979e-09,2.583703620676419e-08,2.5837040119877835e-08
8.043200159531867e-12,0.936123006419007,2.081887902112329e-16,6.0952393068718773e-23,6.0952393062153767e-23,1.7064128080213191e-35,2.1163608712312784e-35,0.0,0.0,4.8875719981249245e-15,1.2333489746962329e-33,154.0,0.0,0.99999992203406507,1.0,19.0,1.6756471822040965e-08,1.3734155775556262e-09,2.9918021152716262e-08,2.9918026248477107e-08
9.140337725259827e-12,0.936123006419007,2.365837325646337e-16,7.8714190105268819e-23,7.8714190097929244e-23,2.7788385115518642e-35,3.4469044055494246e-35,0.0,0.0,6.1958454552562503e-15,2.0129917787959769e-33,154.0,0.0,0.99999991142162969,1.0,19.0,1.9042145065218055e-08,1.5382071298691649e-09,3.3999005858005568e-08,3.3999012290434829e-08
1e-11,0.936123006419007,2.5883206058566703e-16,9.4216111430399656e-23,9.4216111422496631e-23,3.9207477371546679e-35,4.8637850139866506e-35,0.0,0.0,7.3285662036735089e-15,2.8451473779961151e-33,154.0,0.0,0.99999990310969999,1.0,19.0,2.0833084046832848e-08,1.6638849174267685e-09,3.7196661758277076e-08,3.7196669345675425e-08
1.0237475290987788e-11,0.936123006419007,2.64977912763667e-16,9.8743835385876446e-23,9.8743835377825556e-23,4.2902813339411098e-35,5.3223224508133367e-35,0.0,0.0,7.6581408784163231e-15,3.1147921352009421e-33,154.0,0.0,0.99999990081411427,1.0,19.0,2.1327817493283115e-08,1.6980796365386518e-09,3.8079990322672593e-08,3.8079998245791478e-08
1.1334612856715748e-11,0.9361230064190068,2.9337133083088558e-16,1.2104126802923455e-22,1.2104126802055082e-22,6.3464820607829244e-35,7.8738980978679957e-35,0.0,0.0,9.2744582566184341e-15,4.6177437747885712e-33,154.0,0.0,0.99999989021137237,1.0,19.0,2.3613489106247506e-08,1.8531799391461878e-09,4.2160974546756526e-08,4.2160984114586231e-08
1.2431750422443709e-11,0.9361230064190068,3.217639867888307e-16,1.4560642717625418e-22,1.4560642716703297e-22,9.0645956192107252e-35,1.1247090670734709e-34,0.0,0.0,1.1044797579953459e-14,6.6098155249889513e-33,154.0,0.0,0.99999987961326109,1.0,19.0,2.5899159904122253e-08,2.0036504817728034e-09,4.624195853029543e-08,4.6241969896857137e-08
1.352888798817167e-11,0.9361230064190068,3.5015588066004772e-16,1.7243925194348229e-22,1.724392519338375e-22,1.2573202699085392e-34,1.5601550162768124e-34,0.0,0.0,1.2969158837125404e-14,9.1880522448261498e-33,154.0,0.0,0.99999986901964288,1.0,19.0,2.818482988691807e-08,2.1496294566227335e-09,5.0322942273326185e-08,5.0322955592641076e-08
1.5723163119627592e-11,0.9361230064190068,4.0693738223240033e-16,2.3290765497736293e-22,2.3290765496729501e-22,2.2533167513458879e-34,2.796359792717246e-34,0.0,0.0,1.7279947116465954e-14,1.6536912740729291e-32,154.0,0.0,0.9999998478453519,1.0,18.999999999999993,3.2756167407314145e-08,2.4286448844279382e-09,5.8484909038005281e-08,5.8484926724890029e-08
1.769801073793792e-11,0.9361230064190068,4.5803812753692775e-16,2.9508402357161463e-22,2.9508402356177504e-22,3.5723870604173961e-34,4.4336770550968545e-34,0.0,0.0,2.1686411478294053e-14,2.6317504543047858e-32,154.0,0.0,0.99999982880255156,1.0,18.999999999999989,3.687036838820184e-08,2.6657012666522281e-09,6.5830678304026501e-08,6.5830700448476403e-08
1.967285835624825e-11,0.9361230064190068,5.0913640403082076e-16,3.6460668217823501e-22,3.6460668216935594e-22,5.3996320365401495e-34,6.7019029206407935e-34,0.0,0.0,2.6591906739697432e-14,3.9929466370286976e-32,154.0,0.0,0.99999980977233971,1.0,18.999999999999986,4.0984566728386673e-08,2.8901729261291647e-09,7.31764467913263e-08,7.3176473892369831e-08
2.164770597455858e-11,0.9361230064190071,5.6023221184536696e-16,4.4147527591931693e-22,4.4147527591229819e-22,7.8512391062970596e-34,9.7453143190363731e-34,0.0,0.0,3.1996432841705544e-14,5.8277502944480534e-32,154.0,0.0,0.99999979075404777,1.0,18.999999999999982,4.5098762427920684e-08,3.1027279890552431e-09,8.0522214500082806e-08,8.052224705674833e-08
2.3622553592868907e-11,0.9361230064190068,6.1132555111180304e-16,5.2568944996650387e-22,5.2568944996243027e-22,1.1055357589079117e-33,1.3723044800333509e-33,0.0,0.0,3.7899989726978822e-14,8.236823792396647e-32,154.0,0.0,0.99999977174704402,1.0,18.999999999999972,4.9212955486853224e-08,3.3039990415648959e-09,8.786798143046442e-08,8.7868019941780259e-08
2.5597401211179236e-11,0.936123006419007,6.6241642196134948e-16,6.1724884944435883e-22,6.1724884944451626e-22,1.515210050048647e-33,1.8809086792323626e-33,0.0,0.0,4.4302577334696158e-14,1.1331191306612181e-31,154.0,0.0,0.99999975275072872,1.0,18.999999999999964,5.3327145905231107e-08,3.4945850952009799e-09,9.5213747582630637e-08,9.5213792547625059e-08
2.8123163633315174e-11,0.9361230064190066,7.2775629763730685e-16,7.4505425246811211e-22,7.4505425247590733e-22,2.193612959917386e-33,2.7231626277587731e-33,0.0,0.0,5.3218534536746834e-14,1.6482297250560944e-31,154.0,0.0,0.99999972846976981,1.0,18.999999999999957,5.8589050601249257e-08,3.72366640330304e-09,1.0460872960434922e-07,1.0460878355064086e-07
3.064892605545111e-11,0.9361230064190068,7.9309213608108639e-16,8.848733095819163e-22,8.8487330960031326e-22,3.0776711319318496e-33,3.820776336695642e-33,0.0,0.0,6.2950782674813275e-14,2.3233940917336469e-31,154.0,0.0,0.9999997042042541,1.0,18.999999999999943,6.3850950978131477e-08,3.9373103552278357e-09,1.1400371035364192e-07,1.1400377409751768e-07
3.3174688477587046e-11,0.9361230064190066,8.5842393756696486e-16,1.0367052784901824e-21,1.036705278522691e-21,4.2052482213270378e-33,5.2207706283020063e-33,0.0,0.0,7.3499321621451133e-14,3.1895090420300459e-31,154.0,0.0,0.99999967995314165,1.0,18.999999999999932,6.9112847035959704e-08,4.1365572999045901e-09,1.2339868983078499e-07,1.2339876418853164e-07
3.570045089972298e-11,0.936123006419007,9.2375170236912656e-16,1.2005494169676839e-21,1.2005494170184058e-21,5.6174069051665405e-33,6.9741395242526826e-33,0.0,0.0,8.4864151250286552e-14,4.2804424989769378e-31,154.0,0.0,0.9999996557154619,1.0,18.999999999999922,7.4374738774810595e-08,4.3223773840175348e-09,1.327936680360357e-07,1.3279375382393989e-07
3.8226213321858915e-11,0.9361230064190068,9.890754307616753e-16,1.3764049828426956e-21,1.3764049829163707e-21,7.3584076967343783e-33,9.13584877961985e-33,0.0,0.0,9.7045271435138881e-14,5.6330899312440713e-31,154.0,0.0,0.99999963149031035,1.0,18.999999999999911,7.9636626194755831e-08,4.4956755202761582e-09,1.4218864496963391e-07,1.4218874300398219e-07
4.075197574399485e-11,0.9361230064190068,1.0543951230186491e-15,1.5642712339651289e-21,1.5642712340671806e-21,9.475709487110931e-33,1.1764836561764529e-32,0.0,0.0,1.1004268204831855e-13,7.2874302960856761e-31,154.0,0.0,0.99999960727684267,1.0,18.999999999999901,8.4898509295862577e-08,4.657295607793981e-09,1.5158362063180287e-07,1.5158373172888164e-07
4.3277738166130784e-11,0.9361230064190068,1.1197107794140162e-15,1.7641474282296523e-21,1.764147428366235e-21,1.2019968789977096e-32,1.4924012518862702e-32,0.0,0.0,1.2385638296185515e-13,9.2865820426304414e-31,154.0,0.0,0.99999958307427261,1.0,18.999999999999883,9.0160388078193608e-08,4.8080244733241568e-09,1.6097859502275055e-07,1.6097871999884609e-07
