Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953)
0.0,0.558523973820081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5351683025400314e-21,0.558523973820081,7.4758402918397197e-23,2.4432360448008848e-37,6.089193662885518e-38,9.7551106809734076e-59,1.8720351567267384e-51,0.0,0.0,5.1062977705383798e-23,1.206806950389255e-40,154.0,0.0,0.99999999999999944,1.0,19.0,5.3756621246139317e-17,1.0115038823579764e-16,2.200894922473107e-16,2.2008961806793786e-16,1.1011817346156974e-25,1.1562447029856649e-27,1.1562317782540463e-27,7.5384894963523884e-28,1.3983422821603085e-25,4.8559598853442599e-40,1.1131335133591809e-30,5.5240607686748196e-31,3.1207760680966927e-42,3.1207760680843622e-42,1.0689253601730823e-53,7.5170156434482225e-42,1.6418781527605724e-54,8.1340573230797135e-32,6.6923615884197212e-97,6.3432540006884601e-97,6.3432540006884716e-97,4.514724793868056e-45,8.7451887741719566e-48,6.3316586170939647e-40,2.8576355506021358e-45,9.7961722273400883e-49,6.7566280995844554e-57,4.2027196899663491e-69,4.9727832633519771e-81,2.5056964212106574e-82
4.2984712471120876e-21,0.558523973820081,2.0932352817184138e-22,8.8139596723111448e-37,3.6778729723875715e-37,1.4741923309659977e-57,2.2224801772352275e-50,0.0,0.0,1.4297633810147355e-22,7.2891140032847436e-40,154.0,0.0,0.99999999999999833,1.0,19.0,1.5051853948918968e-16,2.8322108623352779e-16,6.1625057828872078e-16,6.1625093058403626e-16,6.6511376608788192e-25,6.9837180058773821e-27,6.9835607101637659e-27,4.5532476506466055e-27,8.4459873636766021e-25,5.764866468868168e-39,6.7233264206330973e-30,3.3365327042444086e-30,3.7049853480086173e-41,3.7049853479810336e-41,2.3911432555719513e-52,8.9242009519886644e-41,3.6728157459781545e-53,4.9129706231122643e-31,7.1312305996146925e-95,6.7592293741441807e-95,6.7592293741442033e-95,5.3598815219330895e-44,1.0382288112588708e-46,7.5164374567288506e-39,3.3925840339084188e-44,1.1630015597136192e-47,1.5114306705290787e-55,1.7342640377854402e-67,3.7433870988907884e-79,1.8862257130855234e-80
9.8250771362562e-21,0.558523973820081,4.7845377868004656e-22,2.9447001915301993e-36,1.7707375171741853e-36,1.5858688492135583e-56,2.1820442343054176e-49,0.0,0.0,3.2680306099924864e-22,3.5093946461169801e-39,154.0,0.0,0.99999999999999623,1.0,19.0,3.4404237597528869e-16,6.4736247892216562e-16,1.4085727503565444e-15,1.408573555591475e-15,3.202236459962457e-24,3.3623595960482605e-26,3.3622031681078105e-26,2.1921927378139203e-26,4.0663793256646867e-24,5.6597066294521532e-38,3.2369922567639673e-29,1.606396871477863e-29,3.6375765848625952e-40,3.637576584808093e-40,4.7244960525519461e-51,8.7618333722727481e-40,7.2568649630345705e-52,2.3653838695097549e-30,1.6229012340803377e-92,1.5382424589277675e-92,1.5382424589277784e-92,5.2623635702095316e-43,1.0193392034839284e-45,7.3786077815781442e-38,3.3308572333074157e-43,1.1418418127585528e-46,2.9863322689076319e-54,6.8605759807960252e-66,2.9597835814084979e-77,1.491381935394028e-78
2.0878288914544424e-20,0.558523973820081,1.016714279701724e-21,1.0227946635713029e-35,7.7332759519377274e-36,1.4576867134690045e-55,1.9299934212043361e-48,0.0,0.0,6.9445651521718133e-22,1.5326448625183444e-38,154.0,0.0,0.9999999999999919,1.0,19.0,7.310900489474798e-16,1.3756452510721516e-15,2.9932170944322058e-15,2.9932188055073255e-15,1.398500777851945e-23,1.4684307725499401e-25,1.4682915594329986e-25,9.5738815805389072e-26,1.7758946664575187e-23,5.0054600353845421e-37,1.4136795618788128e-28,7.0155571756716833e-29,3.2173952949320552e-39,3.2173952948350723e-39,8.4069880165219589e-50,7.7497423181353301e-39,1.2913203366553345e-50,1.033025279987903e-29,2.7426313393886169e-90,2.599561752028271e-90,2.5995617520283063e-90,4.654501026898016e-42,9.0159398179156628e-45,6.5243833500710286e-37,2.946102141858862e-42,1.0099461256234187e-45,5.3140185768069058e-53,2.4484907744779279e-64,2.1155294910106884e-75,1.065977420296325e-76
4.2984712471120876e-20,0.5585239738200809,2.0932352817661472e-21,3.7420991509589567e-35,3.2284904801277085e-35,1.2470817070165242e-54,1.6222757640686293e-47,0.0,0.0,1.4297634573425769e-21,6.3984907706488718e-38,154.0,0.0,0.99999999999998335,1.0,19.0,1.5051853948918345e-15,2.8322107424629655e-15,6.1625057823435827e-15,6.1625093049429553e-15,5.83846533094251e-23,6.130409413053314e-25,6.1292357974717828e-25,3.9969070591203343e-25,7.4140104930393019e-23,4.206572760512713e-36,5.9018338870442992e-28,2.9288570190605857e-28,2.7044146077729364e-38,2.70441460760936e-38,1.4179613135662934e-48,6.5141252491687342e-38,2.1780004565736265e-49,4.3126771923078886e-29,4.0158164193009894e-88,3.8063310284768907e-88,3.806331028476994e-88,3.9123885857171188e-41,7.5784406673985945e-44,5.4809241060752549e-36,2.476370713370224e-41,8.4892052729634413e-45,8.9628685820982643e-52,8.2728965215769527e-63,1.4307335472509224e-73,7.2092100931099223e-75
8.719755958427378e-20,0.5585239738200809,4.2462772859792699e-21,1.4231328922476409e-34,1.3189437042113715e-34,1.0311113278957873e-53,1.3300396862594383e-46,0.0,0.0,2.9003774763514875e-21,2.6139923974750484e-37,154.0,0.0,0.99999999999996625,1.0,19.0,3.0533760867804337e-15,5.7453415136079777e-15,1.2501083157206562e-14,1.2501090302230264e-14,2.3852034931088616e-22,2.5044722746121596e-24,2.5035088062065144e-24,1.6328669180386523e-24,3.0288650738786497e-22,3.4474618065777779e-35,2.4110917146110466e-27,1.1965336583224937e-27,2.2172424889287511e-37,2.2172424886600769e-37,2.3290054048178555e-47,5.3406732391361275e-37,3.5773721765635684e-48,1.7618693520790489e-28,5.4912892689575184e-86,5.2048357166779213e-86,5.2048357166782027e-86,3.207612547336733e-40,6.2132635281077734e-43,4.4883322745060749e-35,2.0302690567470592e-40,6.9599626392030037e-44,1.4721537045513884e-50,2.7199471006185286e-61,9.4118422078856452e-72,4.7424587181352864e-73
1.7562325381057957e-19,0.5585239738200811,8.5523612947426118e-21,5.5412271672782168e-34,5.3313813336103984e-34,8.3848269921240053e-53,1.0771006220135772e-45,0.0,0.0,5.8416060534017866e-21,1.0566176344288891e-36,154.0,0.0,0.99999999999993194,1.0,19.0,6.149757470557191e-15,1.1571602209351673e-14,2.5178237903093403e-14,2.5178252290471657e-14,9.6413730798827975e-22,1.0123477356937718e-23,1.0115671951229549e-23,6.6003089011842812e-24,1.2243155885969562e-21,2.7896748935065076e-34,9.7460182080731715e-27,4.8365803544734923e-27,1.7955804528256428e-36,1.7955804523901098e-36,3.775417117906161e-46,4.325015320076212e-36,5.7990740897102685e-47,7.1217576183993567e-28,7.2627557332818666e-84,6.8838934885243761e-84,6.8838934885251232e-84,2.5976078088293966e-39,5.0316618929748248e-42,3.6262764342596838e-34,1.6441495059519203e-39,5.6363569962750969e-43,2.386424103502278e-49,8.8220814365068078e-60,6.1067231235858167e-70,3.0770684082151349e-71
3.524746422631912e-19,0.558523973820081,1.7164529313617687e-20,2.1858409016489575e-33,2.1437249861652376e-33,6.7626682084569004e-52,8.6694428647528035e-45,0.0,0.0,1.1724065363632296e-20,4.2486139468749167e-36,154.0,0.0,0.99999999999986344,1.0,19.0,1.2342520238108943e-14,2.3224120214654714e-14,5.0532547379510634e-14,5.0532576241642286e-14,3.8767530673680522e-21,4.0706057143536954e-23,4.0643254462560859e-23,2.6539549752974398e-23,4.9229183169182983e-21,2.2418892013489618e-33,3.9188310546843629e-26,1.9447676870824985e-26,1.4452393594332788e-35,1.4452393587318676e-35,6.0801896354008556e-45,3.4811480576976114e-35,9.3392288608969796e-46,2.8636274146233207e-27,9.4490443107895947e-82,8.95613414424054e-82,8.9561341442424829e-82,2.0907807561389626e-38,4.0499192332249237e-41,2.9051657370892662e-33,1.3233303907494646e-38,4.5366285337889336e-42,3.8432608678976155e-48,2.8421498986566496e-58,3.9351470525019267e-68,1.9828501203477659e-69
7.0617741916841435e-19,0.558523973820081,3.4388865356761423e-20,8.6816746041447907e-33,8.5972960004604905e-33,5.4321452492781672e-51,6.9566819183489839e-44,0.0,0.0,2.3488992608612966e-20,1.7038849469586883e-35,154.0,0.0,0.99999999999972633,1.0,19.0,2.4728045773205397e-14,4.6529142680531277e-14,1.0124116627091926e-13,1.0124122404290014e-13,1.5547508556846326e-20,1.6324949487736602e-22,1.6274617541058897e-22,1.0643544819824928e-22,1.9743097722988702e-20,1.7934088615791232e-32,1.5716265251396691e-25,7.7993882325941731e-26,1.1597135663932763e-34,1.159713565267357e-34,9.7600405110815334e-44,2.7934012150580757e-34,1.4991526844277633e-44,1.148442671243247e-26,1.2193491092047783e-79,1.1557416635595103e-79,1.1557416635600112e-79,1.6777198904666689e-37,3.2498051249541589e-40,2.3097148477456132e-32,1.061850511273937e-37,3.6403555960162087e-41,6.1692797697574715e-47,9.1255398796060522e-57,2.5271210212401652e-66,1.273371022028638e-67
