Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403)
0.0,1.0660370653630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.726925180271777e-25,1.0660370653630036,2.6632042383600533e-21,1.1213834484067339e-33,3.9891894447234054e-39,1.1868339508683593e-60,4.4134604585592775e-56,0.0,0.0,4.3428881217661426e-23,2.2575793286309271e-43,154.0,0.0,0.99999999999999967,1.0,19.0,1.4883255105845257e-18,2.6916637337786187e-16,4.8591157325097083e-18,4.8618223656292833e-18,1.4233687031971001e-28,6.3009596033661262e-33,6.3044692527169374e-33,3.1472136498058967e-33,3.5683272720237289e-28,6.2416393323695327e-48,4.7194954398777982e-35,7.1228074609239163e-34,1.2738366313894689e-47,1.273836631389468e-47,8.2459533327391151e-63
1.6035390504760975e-24,1.0660370653630036,7.4569718674081465e-21,3.1398865805126555e-33,2.4094704246129364e-38,1.7935434665523595e-59,5.2396959801690437e-55,0.0,0.0,1.2160086740946198e-22,1.3635779144932722e-42,154.0,0.0,0.99999999999999911,1.0,19.0,4.167311429636671e-18,7.5366584545637323e-16,1.360552405102715e-17,1.3613102623761953e-17,8.5971469672948745e-28,3.8057796004327533e-32,3.8078993592356039e-32,1.9009170444798686e-32,2.1552696722984177e-27,7.410073081555321e-47,2.8505752456861818e-34,4.3021757063979625e-33,1.5122988487855509e-46,1.5122988487855491e-46,1.8445867767074088e-61
3.665232115373937e-24,1.0660370653630036,1.7044507125504319e-20,7.1769445446197021e-33,1.1600562905255652e-37,1.9294122172479872e-58,5.1443802382464937e-54,0.0,0.0,2.7794483979310308e-22,6.5650406876615953e-42,154.0,0.0,0.99999999999999811,1.0,19.0,9.5252832677409538e-18,1.7226647896068357e-15,3.109834068806191e-17,3.1115663140027134e-17,4.1391561888737507e-27,1.8323190526582903e-31,1.8333395545819511e-31,9.1520972935921546e-32,1.0376695706986296e-26,7.27525129092632e-46,1.3724292739164516e-33,2.0713124096365507e-32,1.4847839775474825e-45,1.4847839775474787e-45,3.6445926312607919e-60
7.788618245169616e-24,1.0660370653630036,3.6219577641696635e-20,1.5251267272414611e-32,5.0662705947987139e-37,1.7734622361042508e-57,4.5501522793437354e-53,0.0,0.0,5.9063278456054567e-22,2.8671257473642205e-41,154.0,0.0,0.99999999999999611,1.0,19.0,2.0241226943949501e-17,3.6606626778815189e-15,6.6083973962130903e-17,6.6120784172556866e-17,1.8076782530361196e-26,8.0022186962689933e-31,8.0066748751665322e-31,3.9969613352086502e-31,4.5317756354094731e-26,6.4348731048488653e-45,5.9937592086446781e-33,9.0459654753720925e-32,1.3132746134971134e-44,1.313274613497107e-44,6.4853578572904547e-59
1.6035390504760973e-23,1.0660370653630036,7.456971867408108e-20,3.1400739926327691e-32,2.1150682435923392e-36,1.5172342807839492e-56,3.824679622928549e-52,0.0,0.0,1.216008674096072e-21,1.1969685600427617e-40,154.0,0.0,0.99999999999999212,1.0,19.0,4.1673114296366506e-17,7.5366584543259199e-15,1.3605524051026694e-16,1.3613102623761382e-16,7.5467008641332453e-26,3.3407687816993333e-30,3.34262862958508e-30,1.6686526770867328e-30,1.891927119572385e-25,5.4088913875214167e-44,2.5022764822230963e-32,3.7765125157807112e-31,1.1038864433756984e-43,1.1038864433756873e-43,1.0938503945474324e-57
3.252893502394369e-23,1.0660370653630036,1.5127000073884934e-19,6.3702994027446874e-32,8.6407439048485997e-36,1.2544786437874748e-55,3.1357044131686826e-51,0.0,0.0,2.4667604531696886e-21,4.890007129010098e-40,154.0,0.0,0.99999999999998401,1.0,19.0,8.4536889001200153e-17,1.5288650006794857e-14,2.7599777360653086e-16,2.7615151036771759e-16,3.0830735456886609e-25,1.3648130539229562e-29,1.3655724382684649e-29,6.8169906536839032e-30,7.7291396038320328e-25,4.4345241644534609e-43,1.0222615902591958e-31,1.5428285872649906e-30,9.0503280028886376e-43,9.0503280028884576e-43,1.7966525574484116e-56
6.551602406230912e-23,1.0660370653630036,3.0467056486838325e-19,1.2832073740285736e-31,3.4927268399486177e-35,1.0201211992756953e-54,2.5393751236994741e-50,0.0,0.0,4.9682640113271785e-21,1.9766190660425394e-39,154.0,0.0,0.99999999999996791,1.0,19.0,1.7026443841086603e-16,3.0792633110053278e-14,5.558828397990264e-16,5.5619247862788484e-16,1.246227621195142e-24,5.5167925787704932e-29,5.5198587022012745e-29,2.7555366163792089e-29,3.1242418059855985e-24,3.5911735508557766e-42,4.1321447933933445e-31,6.2363598267890071e-30,7.3291902623337882e-42,7.3291902623334964e-42,2.9124512179159571e-55
1.3149020213903997e-22,1.0660370653630036,6.1147169312744041e-19,2.5760916484636691e-31,1.4044101007725969e-34,8.2276470364711651e-54,2.0439101764947003e-49,0.0,0.0,9.971271127683185e-21,7.9478983297674428e-39,154.0,0.0,0.99999999999993561,1.0,19.0,3.4171953723019216e-16,6.1800599309852319e-14,1.1156529721838884e-15,1.1162744151480578e-15,5.0110264531232864e-24,2.2182780321730337e-28,2.219508148918052e-28,1.1079891540408073e-28,1.2562438891166307e-23,2.8904581679700069e-41,1.6615172475901043e-30,2.5076128578416161e-29,5.8991699482612102e-41,5.8991699482607422e-41,4.69041289825804e-54
2.634385582925017e-22,1.0660370653630036,1.225073949645513e-18,5.163977825041398e-31,5.6323126418678509e-34,6.60889353838047e-53,1.6401092581458235e-48,0.0,0.0,1.9977285360559304e-20,3.1874627087381359e-38,154.0,0.0,0.99999999999987099,1.0,19.0,6.8462973486882189e-16,1.2381653168257917e-13,2.2351932369530943e-15,2.2364382881877566e-15,2.0096457308408005e-23,8.8962870579899401e-28,8.9011982547122907e-28,4.443532067042819e-28,5.0380998629223839e-23,2.3193613274991886e-40,6.6634272945857135e-30,1.0056649117181414e-28,4.7337123667216341e-40,4.7337123667208813e-40,7.529151463997138e-53
5.273352705994252e-22,1.0660370653630036,2.4522784626814894e-18,1.0348220689027015e-30,2.2558628554216292e-33,5.2978461880153872e-52,1.3140832702719523e-47,0.0,0.0,3.9989313826967974e-20,1.2766476552643965e-37,154.0,0.0,0.99999999999974176,1.0,19.0,1.3704501301459903e-15,2.478483963205479e-13,4.4742737664894389e-15,4.4767660342645689e-15,8.0490651758499619e-23,3.5631551017875791e-27,3.5651044218930679e-27,1.77973056009786e-27,2.017867803104629e-22,1.8582324550647966e-39,2.6688465430539706e-29,4.0279051671780255e-28,3.7927303185497806e-39,3.7927303185485747e-39,1.2066274210354999e-51
