Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890)
0.0,0.8039525190889893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0156688035815715e-21,0.8039525190889893,1.1737803968233556e-22,3.0920999878973698e-37,9.0302071543414493e-38,1.4587662429595444e-58,2.5511706398398455e-51,0.0,0.0,5.2959236810483779e-23,1.1823045319555533e-40,154.0,0.0,0.99999999999999933,1.0,19.0,7.5467974643233321e-17,1.5252065630972174e-16,2.1626599405503641e-16,2.162661643916382e-16,2.1891004218446697e-25,1.0400660309235096e-27,1.0400504101171169e-27,6.7533939818182076e-28,2.8085730574001809e-25,5.9006516380171318e-40,1.0318452286627568e-30,7.7054077322198054e-31,5.9056938020898101e-42,5.9056938020685302e-42,1.8441847655466355e-53,2.1195732027926884e-41,2.8386482153567136e-54,7.5474458385760213e-32,2.1861030719097929e-96,2.070836836510274e-96,2.0708368365102799e-96,3.8378117388325147e-45,1.1391809023246247e-47,7.6623276703090492e-40,2.478261625242003e-45,1.3282582564684131e-48,1.2413273252518776e-56,1.0293187916595918e-68,1.1127873476059299e-80,8.5165874327287472e-82,3.0589989653147584e-94,4.1061512319685075e-98,6.2485244389159003e-95,1.1816893185232798e-83,2.0591032967872603e-91
5.6438726500284e-21,0.8039525190889893,3.2865851111102203e-22,1.1583667084246527e-36,5.4542451212287667e-37,2.2044875528428953e-57,3.0287498421358246e-50,0.0,0.0,1.48285863557427e-22,7.1411193931268141e-40,154.0,0.0,0.99999999999999811,1.0,19.0,2.1131032900105253e-16,4.2705783601444167e-16,6.055447833507286e-16,6.0554526029102806e-16,1.3222166505242152e-24,6.2819988266000618e-27,6.2818086016301443e-27,4.0790499588464679e-27,1.6963781211914274e-24,7.0050377301190579e-39,6.2323451810753058e-30,4.654066270204603e-30,7.011239681763548e-41,7.0112396817159428e-41,4.1253675114826827e-52,2.5163572989107454e-40,6.3499424965122093e-53,4.5586572864818002e-31,2.3294624646808004e-94,2.2066373462049245e-94,2.2066373462049352e-94,4.55625032599197e-44,1.3524355672253788e-46,9.0958716403676529e-39,2.9421911737691196e-44,1.5769081890079785e-47,2.7767995515049196e-55,4.2475127818828942e-67,8.3767853371229218e-79,6.4110743964403125e-80,4.1755184812928304e-92,5.6048767516553923e-96,8.5292037124077722e-93,8.8954621723580753e-82,1.5888963516119567e-89
1.2900280342922058e-20,0.8039525190889893,7.5121945397032446e-22,4.026994975015357e-36,2.625984240492291e-36,2.371487127246492e-56,2.9736445808984323e-49,0.0,0.0,3.3893911900360282e-22,3.4381416090853044e-39,154.0,0.0,0.99999999999999578,1.0,19.0,4.8299503771668783e-16,9.7613218881276429e-16,1.3841023619286189e-15,1.3841034520675728e-15,6.3659039626748134e-24,3.0245120176586613e-26,3.0243227837690988e-26,1.963886960655143e-26,8.1673303687454886e-24,6.8771303195545638e-38,3.0006059248796783e-29,2.2407325684452792e-29,6.883676695475705e-40,6.8836766953816484e-40,8.1510308386864158e-51,2.4705745020964779e-39,1.2546416250067139e-51,2.1947972498307303e-30,5.3013115420278697e-92,5.0217903099422788e-92,5.0217903099423279e-92,4.4733536890214342e-43,1.327829259704894e-45,8.9285939557796505e-38,2.8886585644580303e-43,1.5482177832184869e-46,5.486487887938182e-54,1.6802737878599233e-65,6.6232721705204725e-77,5.0690436634934056e-78,6.5962957210499364e-90,8.854331828966071e-94,1.3474046683682275e-90,7.0333743410947797e-80,1.7316569680075349e-87
2.7413095728709375e-20,0.8039525190889893,1.5963413396966476e-21,1.4445510898018777e-35,1.1468363086114878e-35,2.1798052677493141e-55,2.6301549665469187e-48,0.0,0.0,7.2024563770511245e-22,1.5015267867406958e-38,154.0,0.0,0.99999999999999101,1.0,19.0,1.0263644551479461e-15,2.0742808679649417e-15,2.9412175190304238e-15,2.9412198355317283e-15,2.7801574695582599e-23,1.3208838589970559e-25,1.3207154273878157e-25,8.5768102612473861e-26,3.5668876979848516e-23,6.0819306123148079e-37,1.3104434403276979e-28,9.7858678190486714e-29,6.0885340816981341e-39,6.0885340815307653e-39,1.450432322557829e-49,2.1851951406859214e-38,2.2325677127828338e-50,9.5852562147107103e-30,8.9589821423452915e-90,8.486603617372816e-90,8.48660361737298e-90,3.9566307190779337e-42,1.1744499429667478e-44,7.8940636034340803e-37,2.5549819147287858e-42,1.3693810469943775e-45,9.7629117147007454e-53,5.9967775923861337e-64,4.7340378421100434e-75,3.6231403314014243e-76,9.4357856484642637e-88,1.2665832848465079e-91,1.9274170787166498e-88,5.0271617158761219e-78,1.4166029186578871e-85
5.643872650028401e-20,0.8039525190889892,3.2865851111801668e-21,5.4007580307621839e-35,4.7878158333229487e-35,1.8648693448086694e-54,2.2108037321664667e-47,0.0,0.0,1.4828587063447632e-21,6.2685789088139291e-38,154.0,0.0,0.99999999999998146,1.0,19.0,2.1131032900104119e-15,4.2705781204914276e-15,6.0554478330181312e-15,6.0554526021043533e-15,1.1606609840960208e-22,5.514430093474249e-25,5.5130100956049277e-25,3.5806494030645339e-25,1.4891053586115355e-22,5.1108615241620055e-36,5.4708434017039561e-28,4.085407178839509e-28,5.1177797568751123e-38,5.1177797565928193e-38,2.4463658943183139e-48,1.8367881364391278e-37,3.7655516866784934e-49,4.001655783360257e-29,1.311792331335264e-87,1.242625709871835e-87,1.242625709871883e-87,3.3257865406264725e-41,9.8719594288981766e-44,6.6300983750591578e-36,2.1476097339313984e-41,1.1510471985380681e-44,1.6466576436725464e-51,2.0261754755688607e-62,3.2016318669588213e-73,2.4503313938159528e-74,1.276798824046541e-85,1.7138711357817753e-89,2.6080716756158994e-86,3.3998716714307499e-76,1.0195394088329552e-83
1.1448998804343326e-19,0.8039525190889893,6.6670726542706971e-21,2.0803186941567827e-34,1.9559789905361171e-34,1.541910112513527e-53,1.8125504724068648e-46,0.0,0.0,3.0080849685705919e-21,2.5609191457782721e-37,154.0,0.0,0.99999999999996247,1.0,19.0,4.2865809597351433e-15,8.6631722024329728e-15,1.2283908460129934e-14,1.2283918133827254e-14,4.7416785734067907e-22,2.2528246235199833e-24,2.2516589203342099e-24,1.4628120771437181e-24,6.0834809382111752e-22,4.187952027762654e-35,2.2350180385288967e-27,1.6690221357664338e-27,4.1958650471100186e-37,4.1958650466463524e-37,4.018162613447692e-47,1.5059098109272827e-36,6.1849296901671158e-48,1.634806958204936e-28,1.7937650529335814e-85,1.699185548660495e-85,1.6991855486606265e-85,2.7266807487159008e-40,8.0936287769787675e-43,5.4270222136002567e-35,1.7607295296991583e-40,9.436979008234449e-44,2.7046397474240087e-50,6.661620748973211e-61,2.1061400931715749e-71,1.6119096151644631e-72,1.6801952371672005e-83,2.255357760971733e-87,3.4320659313704794e-84,2.2365488404825529e-74,6.9107700911341345e-82
2.3059251112973176e-19,0.8039525190889893,1.3428047740945726e-20,8.1568104906291614e-34,7.9063798142038984e-34,1.2538558183896156e-52,1.467850366796638e-45,0.0,0.0,6.0585379928083567e-21,1.0351645636050342e-36,154.0,0.0,0.99999999999992439,1.0,19.0,8.6335362991838013e-15,1.7448358673870673e-14,2.4740829710899097e-14,2.4740849191586772e-14,1.9166620812967903e-21,9.1062773151433653e-24,9.0968345381875245e-24,5.9129199943830664e-24,2.4590399910181594e-21,3.3878879788465663e-34,9.034300258016001e-27,6.7464543236733666e-27,3.3979202989927701e-36,3.3979202982411486e-36,6.5136124360730582e-46,1.2195246828887427e-35,1.0026036703590292e-46,6.6081511073135648e-28,2.3724259975144496e-83,2.2473355491364414e-83,2.24733554913679e-83,2.2081367681702173e-39,6.5544304226669909e-42,4.3808642995403615e-34,1.4258671198192091e-39,7.6423080702268093e-43,4.3843363594179617e-49,2.1606801291307845e-59,1.3665351805943196e-69,1.0458616711322907e-70,2.1805687450108911e-81,2.9270185713876135e-85,4.4541342681572271e-82,1.4511488026272333e-72,4.5503613462125846e-80
4.627975573023289e-19,0.8039525190889895,2.6949997916271656e-20,3.2293818162876776e-33,3.1791205500292147e-33,1.011280338840164e-51,1.1814536756402045e-44,0.0,0.0,1.2159446040428318e-20,4.1623519806902787e-36,154.0,0.0,0.99999999999984834,1.0,19.0,1.7327446978077911e-14,3.5018724846967132e-14,4.9654672198619645e-14,4.9654711284385776e-14,7.7068122342397135e-21,3.6615940504865092e-23,3.6539981664231233e-23,2.377558878528493e-23,9.8876894744228326e-21,2.7210509492314851e-33,3.6326523975581223e-26,2.71271960933331e-26,2.7349418669144348e-35,2.7349418657039717e-35,1.0489964569268629e-44,9.8157935925447326e-35,1.6146620284988879e-45,2.6571084958268292e-27,3.0865912602675184e-81,2.9238451577271383e-81,2.9238451577280438e-81,1.7773005777958798e-38,5.2755758228153566e-41,3.5036461256342194e-33,1.1476340520474199e-38,6.1511908578159804e-42,7.0608346093046701e-48,6.9609150314283938e-58,8.8058947691767229e-68,6.7394882718168442e-69,2.810449984068716e-79,3.7725200597974866e-83,5.7406977268902867e-80,9.3511413668362006e-71,2.9536784353340105e-78
9.272076496475229e-19,0.8039525190889895,5.3993898274827006e-20,1.285039300010465e-32,1.274969530411766e-32,8.1231568084518716e-51,9.4804216959518346e-44,0.0,0.0,2.4361270132245944e-20,1.6692899505700222e-35,154.0,0.0,0.99999999999969613,1.0,19.0,3.4715268335853292e-14,7.015943011406515e-14,9.9482357118789623e-14,9.9482435379303236e-14,3.0907750405494257e-20,1.4684629773716062e-22,1.4623784011628262e-22,9.5350725250456715e-23,3.9654039708500472e-20,2.1741955735683235e-32,1.4568560842537995e-25,1.0879218909026004e-25,2.1946186042061473e-34,2.1946186022630901e-34,1.6838692374825243e-43,7.8765529425485075e-34,2.5918892695677805e-44,1.065619348331953e-26,3.9830824991012002e-79,3.7730672758298266e-79,3.7730672758321642e-79,1.4261717871508203e-37,4.2333173473811759e-40,2.7760769704735377e-32,9.2085935283287017e-38,4.9359375890590816e-41,1.1334190650699666e-46,2.2350013804711543e-56,5.6550759443623638e-66,4.3280460454648707e-67,3.6097951066963494e-77,4.8454961367235367e-81,7.3733010451806568e-78,6.0052290009015645e-69,1.9037233451620363e-76
