Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335)
1.5193680406563081e-19,0.6211829050151112,6.2520261144451881e-19,8.464740580962212e-32,7.1798792570825001e-32,1.1118728025215644e-49,1.3731477266246845e-43,0.0,0.0,1.1197268005202952e-19,3.8244761222938391e-35,154.0,0.0,0.99999999999941513,1.0,19.0,2.8033294369671383e-14,3.0956397149194289e-13,1.236223172384403e-13,1.2362305438910376e-13,2.463173359062764e-20,4.2133635488305417e-23,4.2083340666500641e-23,2.480820141671321e-23,4.0472433174309833e-20,2.0243881483236095e-33,8.6985826508642677e-26,1.425344050067934e-25,1.0310860217848472e-34,1.0310860215923973e-34,1.6558532258990374e-44,6.4875145430941827e-34,2.6864784996891029e-45,6.3479196830978795e-27,1.8648901997980293e-80,1.7417847784225559e-80,1.7417847784238646e-80,2.0586705368391311e-38,2.0350751122556586e-40,2.3651907926169815e-33,2.1015971713174161e-38,6.2251318087660488e-41,4.9318925979680558e-47,2.297720038853786e-57,1.2815494110398447e-67,2.755925976370242e-68,4.8706117149640287e-79,5.5232710886827696e-83,1.2160254722027772e-79,1.3133916238417491e-70,1.0680182751860558e-76,3.948335134732678e-34,1.0877723094067121e-33,3.1784657001253451e-43,2.4537275983912535e-43,1.0873417458439649e-43,1.78645383750638e-47,2.3255676461736058e-53,1.4243152290640316e-53,2.9521261584950561e-59,2.5726285710929431e-69,2.0242744982107789e-59
3.0400561230508055e-19,0.6211829050151114,1.250948405138003e-18,3.1309067321563616e-31,2.8738228336317719e-31,8.9040009422090899e-49,1.0993531142647404e-42,0.0,0.0,2.2404266818821177e-19,1.5307872982833199e-34,154.0,0.0,0.99999999999882982,1.0,19.0,5.6090944338236247e-14,6.1939676249374678e-13,2.4735203866419377e-13,2.4735351355689263e-13,9.8591108410680022e-20,1.6864434482857285e-22,1.6824112732524264e-22,9.929744674424854e-23,1.619951771584186e-19,1.61392114973361e-32,3.4816999747905055e-25,5.7050907482574991e-25,8.2549576108593937e-34,8.2549576077776866e-34,2.6515208274751796e-43,5.1939554302349139e-33,4.3018650579090933e-44,2.5408221887460396e-26,2.3919069619638708e-78,2.2340120283278913e-78,2.2340120283312476e-78,1.6481881958106849e-37,1.6292975016408801e-39,1.8710358149348695e-32,1.6825199243897542e-37,4.9838866297085035e-40,7.8974478625844599e-46,7.3588854437535126e-56,8.2089227669443412e-66,1.7652993567267686e-66,6.2397510590729143e-77,7.0758744290336818e-81,1.5578411433381023e-77,8.4128870260789139e-69,6.8473467746557854e-75,3.1610683224112443e-33,4.353924049431664e-33,2.5447051935850798e-42,1.9644733556946841e-42,8.7053115817736405e-43,1.4638191722451844e-46,3.7063797351013317e-52,2.2692982793545688e-52,4.8347050728162635e-58,8.4236907397018226e-68,3.315159874849454e-58
6.081432287839801e-19,0.6211829050151113,2.5024399929346563e-18,1.2013314121259148e-30,1.1499034664223926e-30,7.126810930618515e-48,8.7981660752523748e-42,0.0,0.0,4.4818271988378e-19,6.125144433339093e-34,154.0,0.0,0.99999999999765909,1.0,19.0,1.1220624427525309e-13,1.2390619462822794e-12,4.9481148126109619e-13,4.9481443149179324e-13,3.944927096440566e-19,6.7479704436405177e-22,6.7157327779220052e-22,3.9731904017492714e-22,6.4819147909671747e-19,1.2808431573667439e-31,1.3931335010478133e-24,2.2827794171355606e-24,6.6064749262662346e-33,6.6064749213334998e-33,4.2441545085169691e-42,4.1567414674260373e-32,6.8857832156835061e-43,1.0166598328287977e-25,3.0647471448965169e-76,2.8624365808174519e-76,2.8624365808260539e-76,1.3190514839104305e-36,1.3039331765553106e-38,1.4625170119989077e-31,1.3464701955431986e-36,3.9886176639522764e-39,1.2641040308309341e-44,2.3558302040859695e-54,5.2559479670084241e-64,1.1302727340909816e-64,7.9903098671112977e-75,9.0610073174617586e-79,1.994862717693581e-75,5.3865406952010427e-67,4.3861552922438041e-73,2.5298145033261328e-32,1.7421367409278143e-32,2.0365375271566107e-41,1.5721746165837335e-41,6.9668407460824206e-42,1.2252317999490465e-45,5.8771867217808278e-51,3.5962015053395739e-51,8.0826748603194116e-57,2.8147471320268608e-66,5.5422945101185819e-57
1.2164184617417793e-18,0.6211829050151113,5.0054231701667057e-18,4.7032297179432654e-30,4.6003626395454241e-30,5.7028947761347997e-47,7.0398696121107058e-41,0.0,0.0,8.9646312496773076e-19,2.4504576568877366e-33,154.0,0.0,0.99999999999531775,1.0,19.0,2.2443684414883532e-13,2.4783907210010902e-12,9.8973036543648216e-13,9.8973626576725865e-13,1.5782265576994178e-18,2.6996275438540967e-21,2.6739312618092018e-21,1.5895341775295311e-21,2.5931860888082113e-18,1.0080229674135512e-30,5.5734411479558822e-24,9.1326040880196614e-24,5.2861836754374794e-32,5.2861836675435185e-32,6.7920110355578475e-41,3.3260224465128096e-31,1.1019487111567039e-41,4.0673013397399724e-25,3.9248655419994793e-74,3.6657767092082246e-74,3.6657767092302574e-74,1.055441611443957e-35,1.0433446518325872e-37,1.1180348499224739e-30,1.0772893724135908e-35,3.1914899882439e-38,2.0229717777398936e-43,7.540218914999342e-53,3.3645152669364e-62,7.2352692710777551e-63,1.0229768506750665e-72,1.1600552563094243e-76,2.5538898977337904e-73,3.4481122320191578e-65,2.8083730648739952e-71,2.0242345811956157e-31,6.9696813453579578e-32,1.6295394180973856e-40,1.2579767827884009e-40,5.5744443030911493e-41,1.0663565032858169e-44,9.2327933088224477e-50,5.6427144006098114e-50,1.4035904867071363e-55,9.7646163415352685e-65,9.6244275392813931e-56
2.4329689276573772e-18,0.6211829050151113,1.001138953118577e-17,1.8608693734395465e-29,1.8402948222662339e-29,4.5628968773887871e-46,5.6324304505066267e-40,0.0,0.0,1.7930251419068915e-18,9.8026366810749764e-33,154.0,0.0,0.99999999999063494,1.0,19.0,4.488980438941939e-13,4.9570418990220729e-12,1.9795681297135792e-12,1.9795799280067231e-12,6.3134107499043757e-18,1.079938876065874e-20,1.0595548791358468e-20,6.3586485699196757e-21,1.0373573331233056e-17,7.8078675324672746e-30,2.229557894748071e-23,3.6533389179460862e-23,4.229348452886806e-31,4.2293484402552451e-31,1.0868265748033307e-39,2.6610669545657247e-30,1.7632947924661547e-40,1.6270529465674857e-24,8.7971001268197237e-72,8.2163845907711486e-72,8.2163845908697504e-72,8.4443348439997064e-35,8.3475497121536334e-37,8.209717997178008e-30,8.6176717623964504e-35,2.5534181731248888e-37,3.2370641965382181e-42,2.4131090786113004e-51,2.1535068202089165e-60,4.6310391194875358e-61,1.309543503838323e-70,1.4850217763779758e-74,3.2691153146204836e-71,2.2070142880867642e-63,2.3755114335614332e-69,1.6195392059964262e-30,2.7880994129095428e-31,1.3037552764840396e-39,1.0064741373552413e-39,4.4598399962557806e-40,9.9074889810750099e-44,1.4250445503288716e-48,8.6895936734213797e-49,2.5983113582400684e-54,3.6085529275301194e-63,1.7816635013045806e-54
4.866069859488573e-18,0.6211829050151112,2.0023322279443763e-17,7.4026292129212392e-29,7.3614788407199151e-29,3.6505540558982584e-45,4.5061582808454195e-39,0.0,0.0,3.5861540028702569e-18,3.9212208725051579e-32,154.0,0.0,0.99999999998126932,1.0,19.0,8.978204433776873e-13,9.9143187695285127e-12,3.9592436419730746e-12,3.9592672277496521e-12,2.5254596428860006e-17,4.3199310596933878e-20,4.159655326593892e-20,2.5435584358520976e-20,4.1495859905799693e-17,5.8711770836761666e-29,8.9185944150991373e-23,1.4613950079795597e-22,3.3836393372993091e-30,3.383639317087977e-30,1.7389925793981141e-38,2.1289487861534843e-29,2.8214071284270351e-39,6.5084766132039826e-24,1.1299084863486933e-69,1.0553207927883045e-69,1.0553207928136757e-69,6.755788944908224e-34,6.6783567381430366e-36,5.6349730914625007e-29,6.892127275550502e-34,2.0428055192899529e-36,5.1795023686930824e-41,7.72226131398647e-50,1.3783013792266466e-58,2.9639876809403394e-59,1.6762858326390511e-68,1.9009076083965692e-72,4.1841406952869567e-69,1.4125475973941453e-61,1.5262412780712983e-67,1.2956893176314358e-29,1.1152851276712443e-30,1.0430536732609758e-38,8.0521298065643757e-39,3.5678191671720925e-39,1.0127595980256304e-42,2.1290558942549731e-47,1.2929618813129899e-47,5.2849485882751126e-53,1.4642279887493401e-61,3.6238921056666712e-53
9.732271723150966e-18,0.6211829050151114,4.0047187880839211e-17,2.9528817630763539e-28,2.9446514541604091e-28,2.9205444568000698e-44,3.605012202638165e-38,0.0,0.0,7.172431033137197e-18,1.5685255765388545e-31,154.0,0.0,0.99999999996253808,1.0,19.0,1.7956652423157801e-12,1.9828770569447437e-11,7.9185946013132832e-12,7.9186417321133628e-12,1.0101984745030917e-16,1.7280074015891741e-19,1.6040802769482688e-19,1.0174404829922387e-19,1.659858414020573e-16,4.1906436299560516e-28,3.5675102975800364e-22,5.8456987727276422e-22,2.7069756397852225e-29,2.7069756074468811e-29,2.7824000407294935e-37,1.7031901081253483e-28,4.5143404747444407e-38,2.6034436080964452e-23,1.4463896788420227e-67,1.3509103810301332e-67,1.3509103810950894e-67,5.4047600226556524e-33,5.3428121044289184e-35,3.5021074969893273e-28,5.5100963935766779e-33,1.6342416145410239e-35,8.287210427086621e-40,2.47112865506579e-48,8.8211519725941914e-57,1.8969571408837832e-57,2.1456521979115646e-66,2.4331693981327791e-70,5.3544311751296116e-67,9.0403286269713362e-60,9.7689591462549054e-66,1.0365703689486689e-28,4.461231126552971e-30,8.3446264484701825e-38,6.4417838842233686e-38,2.8539676042360317e-38,1.1623681366384405e-41,3.0068489901705365e-46,1.8137966419234801e-46,1.206338705702802e-51,6.6653408189083582e-60,8.2718710533215094e-52
1.946467545047575e-17,0.6211829050151113,8.0094919503147903e-17,1.1795187417487363e-27,1.1778725705252493e-27,2.3364865911022451e-43,2.8840440057535574e-37,0.0,0.0,1.4345062327032195e-17,6.274208657460835e-31,154.0,0.0,0.9999999999250756,1.0,19.0,3.5913548400763885e-12,3.965726641329459e-11,1.5837296259278661e-11,1.5837390387301436e-11,4.0407875209427876e-16,6.9120984936584993e-19,5.9832147598400751e-19,4.069774612563611e-19,6.6394231779441006e-16,2.7535330410484328e-27,1.4270185978503599e-21,2.3383031431366082e-21,2.165606081324152e-28,2.1656060295841137e-28,4.4517083711735125e-36,1.3625533012018002e-27,7.2229542489987746e-37,1.0413880324547756e-22,1.851423188048235e-65,1.7292067588353928e-65,1.729206759001685e-65,4.3238602640389125e-32,4.2743002445001694e-34,1.9288723509905228e-27,4.4021629764039367e-32,1.3073422655452496e-34,1.3259052145721639e-38,7.9073322313816179e-47,5.6453407749843416e-55,1.2140103773119768e-55,2.7463401509131735e-64,3.114350707777759e-68,6.8501492658739733e-65,5.7856093139641654e-58,6.2522792406681646e-64,8.2925703423900485e-28,1.7845104877974773e-29,6.675778799059801e-37,5.1533716964244197e-37,2.2826326157024244e-37,1.4931344510264902e-40,3.893177827851025e-45,2.3259891780993891e-45,3.0840917096949303e-50,3.3990353856461323e-58,2.1147633712445658e-50
2.9197079177800533e-17,0.6211829050151113,1.201426515449744e-16,2.5054561518031731e-27,2.5029867112584341e-27,6.9364994782580976e-43,8.2465887929249306e-37,0.0,0.0,2.1517770854288533e-17,1.3332796607295625e-30,154.0,0.0,0.99999999988761312,1.0,19.0,5.3870444377214192e-12,5.9485354509536045e-11,2.37559976565291e-11,2.3756138712703809e-11,8.5866294335031672e-16,1.4688251153765263e-18,1.2127736564394948e-18,8.6482547551109884e-19,1.4108701877032269e-15,7.085836700669853e-27,3.0324235404946648e-21,4.9689088218776543e-21,6.1922985468098923e-28,6.1922983563751314e-28,1.6384956235944101e-35,3.8960381546375803e-27,2.6585197795540078e-36,2.2129561828249947e-22,9.5526669071642245e-65,8.9220748113202907e-65,8.9220748123412376e-65,1.23635787687748e-31,1.222186423864347e-33,4.5799336740952919e-27,1.2577687516281869e-31,3.7380838904893754e-34,4.8801099233987048e-38,3.6101438455852395e-46,3.1016774437657918e-54,6.6700467162036155e-55,1.7717465100428076e-63,2.0091614805012346e-67,4.4185966123656165e-64,3.178744209485085e-57,3.1026956659402408e-63,2.3711491081587907e-27,3.7920959652310024e-29,1.908861059896369e-36,1.4735275643178241e-36,6.5259888808461731e-37,5.1943353577238472e-40,1.3039774129210658e-44,7.7601577131822132e-45,1.3393406976483266e-49,1.7869171897649726e-57,9.1838665068332968e-50
3.8929482905125317e-17,0.6211829050151112,1.6019038400631868e-16,4.2731004540000141e-27,4.2698075721480477e-27,1.5114359276699559e-42,1.7394474082897958e-36,0.0,0.0,2.8690556614906374e-17,2.2744318192684423e-30,154.0,0.0,0.99999999985015064,1.0,19.0,7.182734035250874e-12,7.9313034866556557e-11,3.1674698793064689e-11,3.16748867292575e-11,1.4647693052934966e-15,2.5056464450413184e-18,1.9828294423498415e-18,1.4752862077603858e-18,2.4067643313504179e-15,1.3670486772890332e-26,5.1729658367794277e-21,8.4763868134588916e-21,1.3061372651373526e-27,1.3061372168396918e-27,4.1555101272845565e-35,8.2178396884885716e-27,6.7425595239726715e-36,3.7750488079012998e-22,5.2113372048025986e-64,4.8673256237108221e-64,4.8673256242791636e-64,2.6078419693407153e-31,2.5779494298502329e-33,8.3364667863832283e-27,2.6511329753382001e-31,7.8845057362789318e-34,1.2376770829881599e-37,1.0760638328275721e-45,1.066405798742639e-53,2.2932676718202065e-54,6.9190563007449845e-63,7.8462182192702943e-67,1.7253270382861412e-63,1.0929025944821711e-56,1.3125613589529971e-62,5.0014200253112472e-27,6.4688794736514902e-29,4.0263471140440144e-36,3.1080650039717232e-36,1.3763437849080293e-36,1.2725588817840912e-39,3.0540948646883214e-44,1.8120064939380137e-44,3.8650171838932254e-49,5.9622560833631095e-57,2.6502444076270738e-49
