Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438)
0.0,0.35758547001274826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.382137153400894e-21,0.35758547001274826,3.8082077600541707e-24,9.1802576425880934e-39,7.4459196497270818e-39,6.3415614553287625e-60,1.0681220173791436e-51,0.0,0.0,1.3628901144417447e-23,7.8627179211835162e-41,154.0,0.0,0.99999999999999956,1.0,19.0,3.8684154883168607e-17,1.3371460350721161e-17,2.0715300260639633e-16,2.0715302003957185e-16,4.6312013406237398e-26,5.4800602073045875e-27,5.479934610295896e-27,3.9334532276164919e-27,4.6205636158053891e-26,4.1225589819438027e-39,2.6328605082854207e-30,2.8795781186964907e-31,2.6403256586553401e-42,2.6403256585978626e-42,5.0134906455445648e-53,1.7874259856112781e-42,7.3427587638938652e-54,1.8792681898717916e-31,2.6231909071262955e-96,2.5214746319795122e-96,2.5214746319795143e-96
1.5069984029522504e-20,0.35758547001274826,1.0662981728218848e-23,4.982950106460227e-38,4.4973354684581746e-38,9.5833679523097119e-59,1.2680744615986757e-50,0.0,0.0,3.8160924421990497e-23,4.7490817515816575e-40,154.0,0.0,0.99999999999999867,1.0,19.0,1.0831563367287166e-16,3.7440088675252243e-17,5.8002840728015223e-16,5.8002845608030129e-16,2.7972455906119804e-25,3.3099563650560531e-26,3.3098069903107475e-26,2.3758057437209574e-26,2.7908204048656248e-25,4.8941767686163516e-38,1.5902477469346169e-29,1.7392651836327976e-30,3.1345946218567867e-41,3.1345946217282122e-41,1.1214977826190649e-51,2.1220321168291131e-41,1.6425457579507376e-52,1.1350779866369845e-30,2.7952134709979509e-94,2.6868268866523884e-94,2.6868268866523927e-94
3.444567778176572e-20,0.35758547001274826,2.4372529664816886e-23,2.2762710657194427e-37,2.1652734341751609e-37,1.030935055405456e-57,1.2450030271110695e-49,0.0,0.0,8.7224975847623208e-23,2.2864785622391506e-39,154.0,0.0,0.999999999999997,1.0,19.0,2.4757859125227599e-16,8.5577344097246401e-17,1.3257792165566337e-15,1.3257793280397666e-15,1.3467533211662449e-24,1.5936015080502968e-25,1.5934547180820413e-25,1.1438481899517744e-25,1.3436598708549615e-24,4.8048664805169778e-37,7.6563583570473724e-29,8.3738131682711552e-30,3.0775635874222818e-40,3.0775635871682391e-40,2.2158905398573705e-50,2.0834236876338571e-40,3.245393596982124e-51,5.4649118954635069e-30,6.3612518591953508e-92,6.1145893526167583e-92,6.1145893526167781e-92
7.319706528625216e-20,0.35758547001274826,5.17916255390877e-23,9.6921879225501253e-37,9.4563179555101611e-37,9.4760704551189945e-57,1.1011910787370366e-48,0.0,0.0,1.8535309818083506e-22,9.9856537309801265e-39,154.0,0.0,0.99999999999999367,1.0,19.0,5.2610450641107769e-16,1.8185185003296297e-16,2.8172808348254757e-15,2.8172810714707693e-15,5.88162540615839e-24,6.9596764608600955e-25,6.9583776342579137e-25,4.9954855098023126e-25,5.8681154963199834e-24,4.2493781311497796e-36,3.3437328444410209e-28,3.6570642098163593e-29,2.7220701404039041e-39,2.7220701399518479e-39,3.9430584991292982e-49,1.8427646076170454e-39,5.7750044046707435e-50,2.3866706004307493e-29,1.0750234417109804e-89,1.0333385685709935e-89,1.033338568571e-89
1.5069984029522505e-19,0.35758547001274826,1.0662981729192828e-22,3.9963880624157257e-36,3.9478265986063902e-36,8.1069797507291257e-56,9.256174536327964e-48,0.0,0.0,3.8160942077504442e-22,4.168814815738383e-38,154.0,0.0,0.99999999999998701,1.0,19.0,1.0831563367286525e-15,3.7440084227131112e-16,5.8002840702266765e-15,5.8002845563814426e-15,2.4554626840083381e-23,2.9055279197378423e-24,2.9044361227354827e-24,2.0855168209388467e-24,2.4498225629224589e-23,3.5710648256810751e-35,1.3959426405197133e-27,1.5267523176975135e-28,2.288063969412858e-38,2.2880639686503994e-38,6.6505434017560191e-48,1.54895460336337e-38,9.7403886818898784e-49,9.963879936342988e-29,1.5740711207075217e-87,1.5130352842470367e-87,1.5130352842470557e-87
3.057053903131708e-19,0.3575854700127482,2.1630620081480511e-22,1.6226670198883758e-35,1.6128159800813422e-35,6.7030108909833764e-55,7.5887711207136645e-47,0.0,0.0,7.7412237767460582e-22,1.703097654507244e-37,154.0,0.0,0.99999999999997358,1.0,19.0,2.1972599973636893e-15,7.5949874821568365e-16,1.1766290536483143e-14,1.1766291518400465e-14,1.0031365093019774e-22,1.1870029593014732e-23,1.1861080536835525e-23,8.5200163489080484e-24,1.000832336074269e-22,2.9264742051686913e-34,5.7028811671283452e-27,6.2372813811485796e-28,1.8758930800996295e-37,1.8758930788472899e-37,1.0923533938083067e-46,1.2699264295933697e-37,1.5998616544946572e-47,4.0705700646084455e-28,2.1524091099013984e-85,2.0689477664477792e-85,2.0689477664478321e-85
6.157164903490624e-19,0.35758547001274826,4.3565896792934184e-22,6.5391008864152663e-35,6.5192600597154931e-35,5.4507824370429543e-54,6.1455836070142679e-46,0.0,0.0,1.5591495383182962e-21,6.8841993047831038e-37,154.0,0.0,0.99999999999994671,1.0,19.0,4.4254673186333105e-15,1.5296942459752611e-15,2.3698303450812328e-14,2.3698305411253225e-14,4.054837213315218e-22,4.7980557392372537e-23,4.7908132713004358e-23,3.4439265469864394e-23,4.0455233788938844e-22,2.3678310020114249e-33,2.3051957455344748e-26,2.5212088568505525e-27,1.5191468504130654e-36,1.5191468483829699e-36,1.7707507667465886e-45,1.0284191240079653e-36,2.5934443236068577e-46,1.6453895006808853e-27,2.8467670895937566e-83,2.736381473450388e-83,2.7363814734505281e-83
1.2357386904208455e-18,0.35758547001274826,8.7436450243354709e-22,2.6253478382599327e-34,2.6213657981788613e-34,4.3962620550666981e-53,4.9465003423404378e-45,0.0,0.0,3.129208846983929e-21,2.7681113157273371e-36,154.0,0.0,0.99999999999989297,1.0,19.0,8.8818819611707433e-15,3.070083984978771e-15,4.7562329206735728e-14,4.7562333072409364e-14,1.6304314496752643e-21,1.9292771039361433e-22,1.9234557902463807e-22,1.3847874887475299e-22,1.6266863995638233e-21,1.9024586267002993e-32,9.2690906789410918e-26,1.0137669902805924e-26,1.2227415453226653e-35,1.2227415420532636e-35,2.8517357929806918e-44,8.2776082126615672e-36,4.1766609688190981e-45,6.6160387973072217e-27,3.7037220094355404e-81,3.5601072973284874e-81,3.5601072973288512e-81
2.4757830905644114e-18,0.3575854700127482,1.7517755725424847e-21,1.0520827247706574e-33,1.0512849292542491e-33,3.5313304996086987e-52,3.9692550076512789e-44,0.0,0.0,6.2693474138280549e-21,1.1101404974443607e-35,154.0,0.0,0.9999999999997855,1.0,19.0,1.7794711246238359e-14,6.150858436931411e-15,9.5290380427642606e-14,9.5290387898049847e-14,6.5387532457873691e-21,7.7372640273701512e-22,7.6906823379439649e-22,5.5536153556641089e-22,6.5237339338275385e-21,1.5212101495569241e-31,3.7173199103363913e-25,4.0656590303069066e-26,9.8117308024952547e-35,9.8117307500142388e-35,4.5776555445418567e-43,6.6422535047145846e-35,6.7044621123547555e-44,2.6533274528261164e-26,4.7794569972114377e-79,4.5941298212404245e-79,4.594129821241363e-79
4.955871890851544e-18,0.3575854700127483,3.5065977171624713e-21,4.2122201747100856e-33,4.2106231959682372e-33,2.8308205118896507e-51,3.1802341720637036e-43,0.0,0.0,1.254970434556658e-20,4.4463849184306072e-35,154.0,0.0,0.99999999999957057,1.0,19.0,3.5620369816344624e-14,1.2312387236684772e-14,1.9074648170569676e-13,1.9074649557472129e-13,2.6189070109896714e-20,3.0989413066392224e-21,3.0618277617406371e-21,2.2243414224238387e-21,2.6128914633901204e-20,1.2102652623600125e-30,1.4888668902617118e-24,1.6283842333233656e-25,7.8613244074048819e-34,7.8613243232988078e-34,7.3361465250097899e-42,5.3218764581529207e-34,1.0744608968204666e-42,1.0627149378494573e-25,6.1425912471412695e-77,5.9044074766135015e-77,5.9044074766159124e-77
9.916049491425808e-18,0.3575854700127482,7.0162420240108818e-21,1.685666137851872e-32,1.6853466031654553e-32,2.2669875823674443e-50,2.546121062825139e-42,0.0,0.0,2.5110737401235408e-20,1.7797387189044279e-34,154.0,0.0,0.9999999999991408,1.0,19.0,7.1271686956441235e-14,2.4635364420108571e-14,3.8165867960676695e-13,3.8165870312424292e-13,1.0482414024082414e-19,1.2403840982200833e-20,1.2109994773706385e-20,8.9031507232811567e-21,1.0458336246499939e-19,9.5552677013042837e-30,5.9593475202664657e-24,6.5177805026849036e-25,6.293839437403582e-33,6.2938393027255475e-33,1.1747269894995066e-40,4.2607222637773259e-33,1.7205335223990209e-41,4.2536291749690716e-25,7.8784832089575354e-75,7.5729888727334929e-75,7.5729888727396764e-75
1.9836404692574335e-17,0.3575854700127483,1.4035530708141456e-20,6.7442209255689985e-32,6.7435817159206805e-32,1.8145653584242653e-49,2.0376706790635157e-41,0.0,0.0,5.0234080281266662e-20,7.121481081856744e-34,154.0,0.0,0.99999999999828115,1.0,19.0,1.4257432123617086e-13,4.9280997126822627e-14,7.6348305678875635e-13,7.6348308773414842e-13,4.1942997266165993e-19,4.9631518132757715e-20,4.7330835517528837e-20,3.5624105645228914e-20,4.1846655511586608e-19,7.4407171283814035e-29,2.3845151392202671e-23,2.6079610833525075e-24,5.0369841996522217e-32,5.0369839840837133e-32,1.8802888960173808e-39,3.4098489923787955e-32,2.7539618594491547e-40,1.7020056589104143e-24,1.0094688962301341e-72,9.7032595184832104e-73,9.7032595184990577e-73
3.9677115094871395e-17,0.35758547001274826,2.8074108358137548e-20,2.6979996891892761e-31,2.6978718321619955e-31,1.452110292835357e-48,1.6304461536855126e-40,0.0,0.0,1.0048587311553089e-19,2.8492225742672035e-33,154.0,0.0,0.99999999999656197,1.0,19.0,2.8517958979377569e-13,9.857097593330059e-14,1.5271317366721444e-12,1.5271317403525083e-12,1.6779679789532204e-18,1.9855837027677819e-19,1.8091593706478996e-19,1.4251886684269776e-19,1.674113738919024e-18,5.6480449429683456e-28,9.5396124120543514e-23,1.0433541751977351e-23,4.0303523711788514e-31,4.0303520262120334e-31,3.008948546892999e-38,2.728359280146644e-31,4.4071963213873111e-39,6.8091303585869829e-24,1.2927751640816918e-70,1.2426467981398894e-70,1.2426467981439481e-70
7.93585358994655e-17,0.3575854700127482,5.6151264785069181e-20,1.0792621601264097e-30,1.0792365863550917e-30,1.1619799335526382e-47,1.3044808007722677e-39,0.0,0.0,2.0100988707649475e-19,1.1399149321049256e-32,154.0,0.0,0.99999999999312361,1.0,19.0,5.7039012690156759e-13,1.971457873871144e-13,3.0544287985166641e-12,3.0544286158125493e-12,6.7122179467079855e-18,7.9429795933429188e-19,6.6403464201458759e-19,5.7011584843270546e-19,6.6968001917496094e-18,4.0963081679913123e-27,3.8161548924157426e-22,4.1737557383935376e-23,3.2245875951015064e-30,3.2245870431399758e-30,4.8144047193972929e-37,2.1828338877074526e-30,7.0521058239072498e-38,2.7238733962177429e-23,2.8975939655018403e-68,2.7852374985253105e-68,2.7852374985434739e-68
1.5872137750865375e-16,0.35758547001274826,1.1230558214668766e-19,4.3171733600287404e-30,4.3171222032712546e-30,9.2987419632208593e-47,1.0436342270651079e-38,0.0,0.0,4.0213962813569646e-19,4.560910481423583e-32,154.0,0.0,0.99999999998624678,1.0,19.0,1.1408112010874807e-12,3.9427482780721629e-13,6.109021730517518e-12,6.1090208664454119e-12,2.6848362527635301e-17,3.1773198263619128e-18,2.275278067693771e-18,2.2805081410521781e-18,2.6786692677558801e-17,2.7574295725824365e-26,1.5265236169623847e-21,1.669569729057553e-22,2.5797918192802341e-29,2.5797909362297352e-29,7.7021508735895179e-36,1.7462527580336201e-29,1.1283541118861903e-36,1.0895933918660989e-22,3.7216959471573139e-66,3.5773842840459399e-66,3.5773842840926772e-66
3.174470607270302e-16,0.35758547001274826,2.2461423490092905e-19,1.7268944069488638e-29,1.7268841691966164e-29,7.4429316330455601e-46,8.3492726903492881e-38,0.0,0.0,8.047259625673411e-19,1.8252534998690537e-31,154.0,0.0,0.99999999997249323,1.0,19.0,2.2816533493406227e-12,7.8845059588607123e-13,1.2218202827773239e-11,1.2218200409651366e-11,1.0738282262471636e-16,1.2709527537640729e-17,7.0349513375317143e-18,9.1218345877163433e-18,1.0713616763544955e-16,1.6700134211829898e-25,6.1062156038661369e-21,6.6784107761392361e-22,2.0638812858447869e-28,2.0638798733530482e-28,1.2319633563905978e-34,1.3968797812734145e-28,1.8052838235023549e-35,4.3584601519504441e-22,4.7641144208355233e-64,4.5793821715424116e-64,4.5793821716620698e-64
6.348984271637832e-16,0.35758547001274826,4.4923161253331945e-19,6.9076287044662866e-29,6.9076081787266095e-29,5.9603638205692588e-45,6.6794985392635327e-37,0.0,0.0,1.6112060389589723e-18,7.3079059077363079e-31,154.0,0.0,0.99999999994498612,1.0,19.0,4.5633376453721742e-12,1.5764730184510101e-12,2.443654595535475e-11,2.4436543205659162e-11,4.2943319346778602e-16,5.0838544777092e-17,1.9163215968311909e-17,3.6484647534704775e-17,4.2844679883682452e-16,8.949683201748368e-25,2.442509029103874e-20,2.6713882747572435e-21,1.6511227720415464e-27,1.6511205133847074e-27,1.9698489198486558e-33,1.1172682292342136e-27,2.8880791869358285e-34,1.7434003796091647e-21,6.098191655086718e-62,5.8617295295335422e-62,5.8617295298398775e-62
9.523497936005361e-16,0.3575854700127483,6.7384906228951729e-19,1.4678743989371342e-28,1.4678713109892436e-28,1.770490691697911e-44,1.9099251191503813e-36,0.0,0.0,2.4189935212232115e-18,1.5539368425252379e-30,154.0,0.0,0.99999999991747901,1.0,19.0,6.8450219409289918e-12,2.36416646481842e-12,3.6654870016060349e-11,3.6654871215225376e-11,9.1239780993560331e-16,1.0803210979155277e-16,3.2398441581376878e-17,7.7525615119295836e-17,9.1030206066766391e-16,2.1013132991143189e-24,5.1903444606416863e-20,5.6767123527019858e-21,4.7211905245978507e-27,4.7211822136203253e-27,7.248042432961874e-33,3.1942899124415469e-27,1.0629350925968923e-33,3.7047349760512385e-21,3.1464430131878798e-61,3.0244372391494181e-61,3.0244372393374921e-61
1.269801160037289e-15,0.3575854700127483,8.9846658416942737e-19,2.5040241093425131e-28,2.5040199772537807e-28,3.8601266879777221e-44,4.0285923717440842e-36,0.0,0.0,3.2280884077336198e-18,2.6524123761391578e-30,154.0,0.0,0.9999999998899719,1.0,19.0,9.1267062360110755e-12,3.1515310723261857e-12,4.8873175009944041e-11,4.8873185077638318e-11,1.5562094950601283e-15,1.842901685577478e-16,4.6103344269176265e-17,1.3224273293286236e-16,1.5526349304635152e-15,3.7968455417183325e-24,8.8541267944083968e-20,9.6838112045281584e-21,9.9583691332188338e-27,9.9583480602534738e-27,1.8377294396388423e-32,6.73691215843805e-27,2.6956709635904168e-33,6.3198490534473427e-21,1.7164993847564708e-60,1.649940786731348e-60,1.6499407868360446e-60
1.904703892910795e-15,0.3575854700127482,1.3477017971988935e-18,5.1842705416422159e-28,5.1842642938975133e-28,1.1218665259458167e-43,1.1003355794659562e-35,0.0,0.0,4.8493465734728866e-18,5.4969377759575753e-30,154.0,0.0,0.99999999983495769,1.0,19.0,1.3690074825061071e-11,4.7254889484742028e-12,7.3309740249215336e-11,7.3309780317895351e-11,3.2211228118487161e-15,3.8154931815295332e-16,7.390373483467976e-17,2.7376784026943017e-16,3.2137239933750244e-15,8.3463299593137151e-24,1.8331359543542595e-19,2.0049106433600805e-20,2.71994150690434e-26,2.7199341408217985e-26,6.4234902356492424e-32,1.8397072991851737e-26,9.4259230514177416e-33,1.308445533786153e-20,2.3839210896995151e-59,2.2914826972823632e-59,2.2914826974477545e-59
