Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961)
1.8095002118066454e-19,0.49022193198830466,3.8903558738350347e-19,6.6706137925405285e-32,5.9399689405565471e-32,9.5025351425627673e-50,1.6607091282859751e-43,0.0,0.0,1.0546028921072496e-19,4.7572006817813584e-35,154.0,0.0,0.99999999999946554,1.0,19.0,2.6173968837590982e-14,2.2317728988908579e-13,1.4257097168597426e-13,1.4257146613881462e-13,2.0835834071504917e-20,7.2375750427254228e-23,7.2281017093967635e-23,4.32587818069531e-23,3.2956690947591078e-20,3.732494122783744e-33,1.3333858509742468e-25,1.4727850479167493e-25,1.1251876442498085e-34,1.1251876439326404e-34,2.732107109647792e-44,4.9323975516226596e-34,4.3957121293192554e-45,9.7228722258565876e-27,3.3514734761591333e-80,3.1369884115293626e-80,3.136988411531433e-80,4.6640686840148239e-38,2.9103085953024845e-40,4.4261079255312849e-33,4.4512968015002111e-38,7.7082905045473925e-41,6.4940389882051402e-47,3.4050922956218272e-57,2.8488525478577693e-67
3.620572535004956e-19,0.49022193198830466,7.7840917279295027e-19,2.5237280312883831e-31,2.3775355771169117e-31,7.6097361930028169e-49,1.3295770852705984e-42,0.0,0.0,2.1101224201795103e-19,1.904120358601508e-34,154.0,0.0,0.99999999999893063,1.0,19.0,5.2370677873964122e-14,4.4654836870874635e-13,2.8526581027406536e-13,2.8526679952360256e-13,8.3397618480590401e-20,2.8969161735967572e-22,2.8893310032780687e-22,1.7314784169704781e-22,1.3191262363664777e-19,2.9755930049135032e-32,5.3370183040014412e-25,5.8949783731849906e-25,9.0083427664686397e-34,9.0083427613898239e-34,4.3749277822273578e-43,3.9489163737220878e-33,7.0388652083338147e-44,3.8916827429706961e-26,4.2985977071986838e-78,4.0234993024857174e-78,4.0234993024910292e-78,3.7340909216824951e-37,2.3300164665035239e-39,3.5007495836081069e-32,3.5636579306824272e-37,6.1713141548530545e-40,1.0398914981700537e-45,1.0905455191163547e-55,1.8248230793066043e-65
7.242717181401577e-19,0.49022193198830466,1.557156343978147e-18,9.8056876190781102e-31,9.5132391944736105e-31,6.0908751146242922e-48,1.0640657541923383e-41,0.0,0.0,4.2211626369589143e-19,7.6189642557655411e-34,154.0,0.0,0.99999999999786071,1.0,19.0,1.0476409594660782e-13,8.9329019719382717e-13,5.706554870138735e-13,5.7065746560177146e-13,3.3369896385637685e-19,1.1591438022557525e-21,1.1530841830032029e-21,6.9281673289053406e-22,5.2782209647119509e-19,2.3613438978800208e-31,2.1355024974658791e-24,2.3587592000937478e-24,7.2094120162640615e-33,7.2094120081346625e-33,7.0027231489614029e-42,3.1603320124925595e-32,1.1266763918251597e-42,1.5571800115388357e-25,5.5077874049478688e-76,5.1553041928015009e-76,5.1553041928151132e-76,2.9884076355063964e-36,1.8647213096410814e-38,2.7354651955067989e-31,2.8518716269967819e-36,4.938918558037471e-39,1.6645008983773495e-44,3.4912078000805458e-54,1.1683840269965029e-63
1.4487006474194821e-18,0.4902219319883046,3.1146506878137519e-18,3.8644112072666885e-30,3.8059151447273096e-30,4.8739371323917696e-47,8.5141427260580979e-41,0.0,0.0,8.4432477130572525e-19,3.0480838915904725e-33,154.0,0.0,0.99999999999572087,1.0,19.0,2.0955093209148495e-13,1.7867725375489676e-12,1.1414348387479943e-12,1.1414387950081936e-12,1.3350120230028981e-18,4.6373299342410992e-21,4.5890635470693612e-21,2.7717167113675074e-21,2.1116303049087837e-18,1.8581430912566076e-30,8.5434005219906116e-24,9.436572686743652e-24,5.7686249488698394e-32,5.7686249358601877e-32,1.1206603448096252e-40,2.5287437860884991e-31,1.8030476156078937e-41,6.2297340144729912e-25,7.0535427359167631e-74,6.6021354439581e-74,6.6021354439929656e-74,2.3911802019579645e-35,1.4920603590641131e-37,2.0898112567233961e-30,2.2817101320861274e-35,3.9518718716622399e-38,2.6637346312434575e-43,1.1174177998097491e-52,7.4792314761455642e-62
2.8975585059781306e-18,0.49022193198830466,6.2296393813458099e-18,1.5341898323688213e-29,1.522489961304112e-29,3.8996482228924107e-46,6.8119609320257411e-40,0.0,0.0,1.6887436435412012e-18,1.2193344450378393e-32,154.0,0.0,0.99999999999144118,1.0,19.0,4.1912460437959834e-13,3.5737319518146847e-12,2.2829935352342523e-12,2.2830014429447951e-12,5.3404737122090255e-18,1.8550828911815999e-20,1.8168318115326557e-20,1.1087758337426087e-20,8.4471944364275297e-18,1.4389210122348851e-29,3.4176383210415447e-23,3.7749362466145161e-23,4.615338109170959e-31,4.6153380883535116e-31,1.7932282500063698e-39,2.0231839327805274e-30,2.8851651099502911e-40,2.4920964100476792e-24,1.5809642577471109e-71,1.4797869034674589e-71,1.4797869034830617e-71,1.9131258780558191e-34,1.1937616178824369e-36,1.532808976560362e-29,1.8251887426151513e-34,3.1617762936926838e-37,4.2623810840348375e-42,3.5760898082958993e-51,4.787188814999564e-60
5.795274223095428e-18,0.49022193198830477,1.2459616791853314e-17,6.1136082375346562e-29,6.0902076704840198e-29,3.1199238218542003e-45,5.449827468044309e-39,0.0,0.0,3.3775888160753613e-18,4.8775495118513145e-32,154.0,0.0,0.9999999999828818,1.0,19.0,8.3827194894926104e-13,7.1476297146920324e-12,4.5661109002788373e-12,4.5661266962653419e-12,2.1362692153218271e-17,7.4206331044081112e-20,7.1203749799227103e-20,4.4352751360250842e-20,3.3790038867036256e-17,1.0815310942071755e-28,1.3671109418856997e-22,1.5100359134298757e-22,3.6924457070047078e-30,3.6924456736954559e-30,2.8692768492285588e-38,1.6186188926366796e-29,4.6164843784336101e-39,9.9687912323695146e-24,2.030606552837998e-69,1.9006533319088615e-69,1.9006533319490089e-69,1.5305734884668085e-33,9.5505461935338275e-36,1.0501898016280915e-28,1.4596563066169278e-33,2.529506887357594e-36,6.8200673049524972e-41,1.1443941348978645e-49,3.0639252469093226e-58
1.1590705657330022e-17,0.4902219319883046,2.4919571706641876e-17,2.4408129708192529e-28,2.4361326418237045e-28,2.4960304768222407e-44,4.3599654791837074e-38,0.0,0.0,6.7553088733962988e-18,1.9510701100570169e-31,154.0,0.0,0.99999999996576316,1.0,19.0,1.6765666380623306e-12,1.4295340978823708e-11,9.1323455186563125e-12,9.132377039792112e-12,8.5451931521635265e-17,2.9683133065019549e-19,2.7368646499413544e-19,1.7741392143403011e-19,1.3516199487755831e-16,7.713858283389523e-28,5.4685549121922755e-22,6.0402663111789273e-22,2.9540265757850814e-29,2.9540265224900664e-29,4.59084998588333e-37,1.2949177027512947e-28,7.3865161270180158e-38,3.9875975882040211e-23,2.5993683077938912e-67,2.4330159044719653e-67,2.4330159045747517e-67,1.2244880590414747e-32,7.6406181058376807e-35,6.5109342875077751e-28,1.1668513392915164e-32,2.0235987782642136e-35,1.09120993952534e-39,3.6620630655965186e-48,1.9609143133161188e-56
2.3181568525799213e-17,0.49022193198830477,4.9839481911313191e-17,9.7539917153211512e-28,9.7446297769913022e-28,1.9968758608947807e-43,3.4880138066234228e-37,0.0,0.0,1.3510867837046928e-17,7.8044447178177711e-31,154.0,0.0,0.99999999993152588,1.0,19.0,3.3531560161834465e-12,2.8590426468541416e-11,1.8264814308564632e-11,1.8264877123874886e-11,3.4180659816339894e-16,1.1873371408387435e-18,1.0148164013160347e-18,7.0965735929222715e-19,5.4064619544067842e-16,5.0629172081002655e-27,2.187444131375951e-21,2.4161309167451108e-21,2.3632491377819376e-28,2.3632490525124884e-28,7.3451022753464501e-36,1.0359334208402193e-27,1.181842655694392e-36,1.5950552347795185e-22,3.3272711129522426e-65,3.1143349421465749e-65,3.1143349424097145e-65,9.7960240008308889e-32,6.1125666996122539e-34,3.576545683058137e-27,9.320530710443949e-32,1.6188106187862167e-34,1.7458666526462222e-38,1.1718151651292314e-46,1.254937655378185e-54
3.47724313942684e-17,0.49022193198830466,7.475939249107869e-17,2.0721445496433022e-27,2.0707400351635601e-27,5.9282854231302507e-43,9.9735701846051334e-37,0.0,0.0,2.0266545649704606e-17,1.65846207298353e-30,154.0,0.0,0.99999999989728861,1.0,19.0,5.0297453941995392e-12,4.2885174927659708e-11,2.7397282651626499e-11,2.7397376648124226e-11,7.2633443074067758e-16,2.5230985919738284e-18,2.0489771537303903e-18,1.5080182579847375e-18,1.1488659046034304e-15,1.3021591923681635e-26,4.6483325672868092e-21,5.1342932864422922e-21,6.7574358215914318e-28,6.7574355077488217e-28,2.7034309278942863e-35,2.9621097417394217e-27,4.3499516673450048e-36,3.3895024765509543e-22,1.7167502687558301e-64,1.6068829892356417e-64,1.6068829893971958e-64,2.801060013747056e-31,1.7478173141687939e-33,8.4828136753411251e-27,2.6627376282829376e-31,4.6286568138368498e-34,6.4258050233207709e-38,5.3499914948447994e-46,6.8949029640144407e-54
4.636329426273759e-17,0.49022193198830466,9.9679303445938348e-17,3.5343174900394304e-27,3.5324444419616311e-27,1.2917531247663458e-42,2.1037184106268304e-36,0.0,0.0,2.7022342311367623e-17,2.8291655260545961e-30,154.0,0.0,0.99999999986305133,1.0,19.0,6.7063347721106081e-12,5.7179586364124644e-11,3.6529750547842075e-11,3.6529875650142915e-11,1.2390324073553041e-15,4.3041155142637794e-18,3.3385695688441974e-18,2.5724929818686283e-18,1.9598163425360638e-15,2.5111438375481874e-26,7.9295207519880841e-21,8.7585136182020193e-21,1.4253412729006456e-27,1.4253411933047182e-27,6.8563550396115302e-35,6.2479168956737119e-27,1.103237686188394e-35,5.7821014669825063e-22,9.365514865955988e-64,8.7661477609928185e-64,8.7661477618921567e-64,5.9082588331081148e-31,3.686659029625591e-33,1.5429254142754485e-26,5.6119854866779553e-31,9.7629189029029337e-34,1.6296888694898369e-37,1.5946527521752378e-45,2.3705744662499353e-53
