Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450)
1.145793436396269e-19,1.1180450815602496,5.2119328697307342e-19,3.1833146219289052e-32,2.5573915899379972e-32,1.7598206983835412e-50,2.0595308349299386e-44,0.0,0.0,5.0462473824330722e-20,7.3726097791371769e-36,154.0,0.0,0.99999999999961775,1.0,19.0,2.1950458936197567e-14,2.5226474171848666e-13,5.399114665473697e-14,5.3991718306013072e-14,1.517208291783216e-20,7.7257100206875677e-24,7.7187087451651366e-24,4.5383634325765886e-24,2.5076541148740742e-20,2.8473279089722132e-34,1.623407570312017e-26,4.9055756931051422e-26,2.7263213913175956e-35,2.7263213911044116e-35,1.8339198875790759e-45,3.1474303561277579e-34,2.9792532608032782e-46,1.1957240026556577e-27,5.4628728669037662e-82
2.2925823492794157e-19,1.1180450815602494,1.0428393917937963e-18,1.1488620986994829e-31,1.02362311149798e-31,1.4092838907908271e-49,1.6488769513425432e-43,0.0,0.0,1.0096879462383676e-19,2.9509653989545588e-35,154.0,0.0,0.99999999999923517,1.0,19.0,4.3919988644690901e-14,5.0474857147841852e-13,1.0802920132743707e-13,1.0803034511770131e-13,6.0727862802083238e-20,3.0922973789739842e-23,3.0866642030476672e-23,1.8165279521378532e-23,1.0037150196706062e-19,2.2721574267261231e-33,6.4978610022068016e-26,1.9635087058269084e-25,2.1827148317893991e-34,2.1827148314480263e-34,2.9366597673154822e-44,2.5198577294465745e-33,4.770686252297771e-45,4.7860121579133357e-27,7.0066772044318332e-80
4.586160175045709e-19,1.1180450815602496,2.0861316015804093e-18,4.3463581323736443e-31,4.0958257771586565e-31,1.1279983901811099e-48,1.3196026887051941e-42,0.0,0.0,2.019814502896044e-19,1.1807706444515476e-34,154.0,0.0,0.99999999999847011,1.0,19.0,8.7859048061615564e-14,1.0097159848289667e-12,2.1610531062595545e-13,2.1610759866752127e-13,2.4299048522314861e-19,1.2373217360238449e-22,1.2328081244165135e-22,7.2684767250926009e-23,4.0161663592610436e-19,1.8066261022168153e-32,2.5999907854596782e-25,7.856592401140866e-25,1.7468352348089369e-33,1.7468352342625187e-33,4.700563395861339e-43,2.0166514949943751e-32,7.636202826242803e-44,1.9150282706022341e-26,8.9776460074007714e-78
9.173315826578296e-19,1.1180450815602492,4.1727160217343067e-18,1.6887089244076166e-30,1.6385970152764908e-30,9.0262738409088917e-48,1.0558826449715233e-41,0.0,0.0,4.0400681788816195e-19,4.7238522802209371e-34,154.0,0.0,0.99999999999694,1.0,19.0,1.7573716689521693e-13,2.0196498268537611e-12,4.3225752903546519e-13,4.3226210547411294e-13,9.7211962518989579e-19,4.9500925920132394e-22,4.9140477309376765e-22,2.9078630081149197e-22,1.6067271655844844e-18,1.4270581030993689e-31,1.0401656146079844e-24,3.1431485424726685e-24,1.3977335896430916e-32,1.3977335887686461e-32,7.5224166906309952e-42,1.6136267560776233e-31,1.2220404024150621e-42,7.6613600777734282e-26,1.1497213927978981e-75
1.834762712964347e-18,1.1180450815602494,8.3458848643647805e-18,6.655150765858025e-30,6.554921509452204e-30,7.2219355540673121e-47,8.4478632233253893e-41,0.0,0.0,8.0805777815336639e-19,1.8896953620512878e-33,154.0,0.0,0.99999999999387978,1.0,19.0,3.5149340456142776e-13,4.0395135722058227e-12,8.6456196510437596e-13,8.6457111792440414e-13,3.8887906417423099e-18,1.980198149314901e-21,1.9515339225259155e-21,1.1632390874980666e-21,6.4274245714769993e-18,1.1132007258978005e-30,4.1610010785840554e-24,1.2573617355439564e-23,1.118293039511812e-31,1.1182930381125614e-31,1.2037042779561188e-40,1.2910226340522743e-30,1.9554614366181225e-41,3.0647934502008149e-25,2.5769581617625568e-73
3.6696249735773815e-18,1.1180450815602494,1.6692222558916441e-17,2.6421216936144262e-29,2.6220752984745513e-29,5.7779177492223468e-46,6.758611424169112e-40,0.0,0.0,1.6161605989561371e-18,7.5590943473108677e-33,154.0,0.0,0.99999999998775935,1.0,19.0,7.0300587988988162e-13,8.0792253081812814e-12,1.7291708342417633e-12,1.7291891382459696e-12,1.5555760870375175e-17,7.9211146056239535e-21,7.6947714241724346e-21,4.6531394365655111e-21,2.5710687166628367e-17,8.4808387941053725e-30,1.6644681540829493e-23,5.0296515454904861e-23,8.9467689417618954e-31,8.9467689193729136e-31,1.9260093261252979e-39,1.0328649888441505e-29,3.1288906476562937e-40,1.22596726741356e-24,3.3098713138713039e-71
7.339349494803452e-18,1.1180450815602496,3.3384897985182631e-17,1.0528607931382492e-28,1.0488514596889196e-28,4.6224862320053442e-45,5.4070174856888091e-39,0.0,0.0,3.2323698416511572e-18,3.023703510424125e-32,154.0,0.0,0.99999999997551836,1.0,19.0,1.4060308305309186e-12,1.6158585761709073e-11,3.4583885605148034e-12,3.4584251611250585e-12,6.2224032103591582e-17,3.1685100629268505e-20,2.9921168204203578e-20,1.8612886419319974e-20,1.0284438266924938e-16,6.1911160253181408e-29,6.6580080345545332e-23,2.0119015067222234e-22,7.1575848990843631e-30,7.1575848632615944e-30,3.0816437562330799e-38,8.2630816395022724e-29,5.0063306154248691e-39,4.9039688589893796e-24,4.2369482969290135e-69
1.467879853725559e-17,1.1180450815602492,6.6770248986366445e-17,4.2034672491815071e-28,4.1954485275776217e-28,3.6980566887891103e-44,4.3256653353344484e-38,0.0,0.0,6.4648027313993581e-18,1.2094971110471214e-31,154.0,0.0,0.99999999995103639,1.0,19.0,2.8120807317495089e-12,3.2317054599004434e-11,6.9168239650539551e-12,6.9168971398316732e-12,2.4889644164724897e-16,1.2674167241266327e-19,1.1332930732181e-19,7.4451903012838438e-20,4.1137804839212965e-16,4.2105407131029259e-28,2.6632302753593413e-22,8.0476875417449377e-22,5.7261356438386631e-29,5.7261355865231592e-29,4.9305341950685618e-37,6.6104887200943096e-28,8.0101612774382747e-38,1.9616075104728747e-23,5.4234241747320108e-67
2.201824757970773e-17,1.1180450815602494,1.0015560013620172e-16,8.927382920719726e-28,8.91535481053548e-28,1.097867067013188e-43,1.2368737511805776e-37,0.0,0.0,9.6972500255059482e-18,2.5701941200695767e-31,154.0,0.0,0.99999999992655442,1.0,19.0,4.2181306329046158e-12,4.8475271370471715e-11,1.0375259321586193e-11,1.0375369055118075e-11,5.2890326226426606e-16,2.6932683125171954e-19,2.3206170153298253e-19,1.5821017975567614e-19,8.7417558233855355e-16,1.1024286438572008e-27,5.6593812247098178e-22,1.7101386677384932e-21,1.6373218630651256e-28,1.6373218419694476e-28,1.8147410961878903e-36,1.8901833383155669e-27,2.9482673279549104e-37,4.1684284476296756e-23,2.7982886479420504e-66
2.935769662215987e-17,1.1180450815602496,1.3354095143468846e-16,1.5224607814758225e-27,1.5208570315425872e-27,2.3922040226138362e-43,2.6089294555785025e-37,0.0,0.0,1.2929711723971148e-17,4.384463682263967e-31,154.0,0.0,0.99999999990207245,1.0,19.0,5.6241805339962389e-12,6.463323608004307e-11,1.3833694630111525e-11,1.3833840910277158e-11,9.0224303797349156e-16,4.5944056448576317e-19,3.8282572012805074e-19,2.6988745419818877e-19,1.4912345780519677e-15,2.1562175637807935e-27,9.6542536340948101e-22,2.9172998683583143e-21,3.4535917587048467e-28,3.453591705202222e-28,4.6025196363250379e-36,3.9869335169371895e-27,7.4774284524442348e-37,7.1108597025589195e-23,1.5265711954721998e-65
4.4036594707064145e-17,1.1180450815602494,2.0031165438053777e-16,3.1511518044719721e-27,3.1487461765318418e-27,6.9438694863326848e-43,7.1258082754231867e-37,0.0,0.0,1.9394668927049942e-17,9.0775171977842088e-31,154.0,0.0,0.99999999985310872,1.0,19.0,8.4362803360304965e-12,9.694857393754576e-11,2.0750565134492972e-11,2.075078448851565e-11,1.8679648043068342e-15,9.512146459245482e-19,7.5049538207291399e-19,5.5876536733072145e-19,3.0873873108872709e-15,5.2412030189399091e-27,1.9987936522614306e-21,6.0399078719351457e-21,9.432846141373102e-28,9.4328459542754601e-28,1.6094883220762008e-35,1.0889492049154664e-26,2.6148809653966133e-36,1.4722154603112959e-22,2.1201523184149008e-64
5.871549279196842e-17,1.1180450815602492,2.6708235787303143e-16,5.3584047475674911e-27,5.3551972412937793e-27,1.5185520516622232e-42,1.4909590345803113e-36,0.0,0.0,2.5859679100094419e-17,1.5438538362866805e-30,154.0,0.0,0.99999999980414489,1.0,19.0,1.1248380137831303e-11,1.2926298490622107e-10,2.7667435462336023e-11,2.7667727868771454e-11,3.1768930397177385e-15,1.6177681418124926e-18,1.2128320209458528e-18,9.5030921268327709e-19,5.2507944669447364e-15,9.9367164181161235e-27,3.3994274287783124e-21,1.0272309882863562e-20,1.9736688720445399e-27,1.9736688252947027e-27,4.0215989365490255e-35,2.2784336853832188e-26,6.5338479595979345e-36,2.5038551031796012e-22,9.7460560515245745e-64
7.33943908768727e-17,1.1180450815602494,3.3385306195121553e-16,8.1855454668805139e-27,8.1815360818283285e-27,2.8490205600467829e-42,2.7142359671600242e-36,0.0,0.0,3.2324746026674818e-17,2.3586683174244613e-30,154.0,0.0,0.99999999975518106,1.0,19.0,1.4060479939381982e-11,1.6157640280600583e-10,3.4584305601030876e-11,3.4584671052791371e-11,4.8535327604964192e-15,2.4715852116355971e-18,1.7607109166350329e-18,1.4518505174094725e-18,8.0219581350138479e-15,1.6470560961303289e-26,5.1935599321596641e-21,1.5693776747893587e-20,3.5929911812869271e-27,3.5929910821037346e-27,8.5320984591480272e-35,4.1477773413605137e-26,1.3862207207279838e-35,3.8253270540521592e-22,3.5982655237281371e-63
1.0275218704668126e-16,1.1180450815602496,4.6739447190144456e-16,1.573842801345169e-26,1.5732814868836982e-26,7.7955015131818005e-42,7.1663909291319622e-36,0.0,0.0,4.5255053705378216e-17,4.5356704866124342e-30,154.0,0.0,0.9999999996572535,1.0,19.0,1.9684679541717255e-11,2.2620019719818884e-10,4.8418045299095373e-11,4.8418556899408769e-11,9.3329782094110285e-15,4.7527723109680648e-18,3.0388689513480831e-18,2.7918230236905711e-18,1.5425621741100552e-14,3.5462916380823093e-26,9.9870383633449167e-21,3.0178594141881755e-20,9.4865649850503333e-27,9.4865646216945128e-27,3.1256981960110998e-34,1.0951171381204755e-25,5.078600069631081e-35,7.3559734612044168e-22,4.4112012958442704e-62
1.3210998321648981e-16,1.1180450815602494,6.0093588423047261e-16,2.580900344840974e-26,2.5801786540993354e-26,1.6433975222377243e-41,1.4857731463173876e-35,0.0,0.0,5.8185591890288008e-17,7.4385415466037791e-30,154.0,0.0,0.99999999955932606,1.0,19.0,2.5308879143036634e-11,2.9081995860797054e-10,6.2251784228930055e-11,6.2252442103447433e-11,1.5305748001723259e-14,7.7945347662640893e-18,4.5100466395052335e-18,4.5785270479542727e-18,2.5297463879520018e-14,6.2374557217844776e-26,1.6378723564319185e-20,4.9492831825798898e-20,1.9668033980231107e-26,1.9668033036763677e-26,8.1159522073382838e-34,2.2704167684946075e-25,1.3187220568037448e-34,1.206378248344324e-21,2.1990559602373482e-61
1.9082557555610692e-16,1.1180450815602494,8.6801871602392251e-16,5.350217183512468e-26,5.3491747387702323e-26,5.0129442559516421e-41,4.4643217625949444e-35,0.0,0.0,8.4047359681597089e-17,1.5421660419383325e-29,154.0,0.0,0.99999999936347139,1.0,19.0,3.6557278342628149e-11,4.2004738547853639e-10,8.9919259784238026e-11,8.992021085363358e-11,3.1730150446027717e-14,1.6159460946191419e-17,7.7618920499395001e-18,9.4918547415298538e-18,5.2443848854850177e-14,1.4018117503753809e-25,3.395604017705087e-20,1.0260752453634775e-19,5.9096782985931226e-26,5.909677880447513e-26,3.5969462000536446e-33,6.8216916192078265e-25,5.8450989946567237e-34,2.5010392015940852e-21,3.3488324491575504e-60
3.0825676023534117e-16,1.1180450815602494,1.4021844081521744e-15,1.3909634429970563e-25,1.3907950468455089e-25,2.175223240337404e-40,1.9193569010012372e-34,0.0,0.0,1.3577366092882829e-16,4.0097825987602398e-29,154.0,0.0,0.99999999897176295,1.0,19.0,5.9054076729622291e-11,6.7845386413947255e-10,1.452542016775072e-10,1.4525574239907371e-10,8.2491179501200169e-14,4.2014820379600168e-17,1.4827508795220343e-17,2.4677590739267843e-17,1.3634208753979892e-13,3.9176284956079996e-25,8.8286306601690258e-20,2.6678127809476138e-19,2.5407614763580262e-25,2.5407611680438026e-25,2.6520741819614754e-32,2.9326195740773417e-24,4.310680579457943e-33,6.5027465740612595e-21,1.1720616255341788e-58
5.431191295938096e-16,1.1180450815602496,2.4705159065731331e-15,4.3111504814444448e-25,4.3108537759953933e-25,1.2298479274963666e-39,1.0808134879056599e-33,0.0,0.0,2.3923732599245428e-16,1.2429353282408296e-28,154.0,0.0,0.9999999981883495,1.0,19.0,1.0404767345485554e-10,1.1950733901157405e-09,2.5592404859517924e-10,2.5592678334073583e-10,2.5563659424682224e-13,1.3022705044455589e-16,2.9540608069781354e-17,7.6480714124284554e-17,4.2251822709199282e-13,1.2788044667127251e-24,2.7364872562522981e-19,8.2690395297978876e-19,1.4307327342262589e-24,1.4307324085485918e-24,2.8012376432914429e-31,1.6511015950574005e-23,4.555390288555546e-32,2.0155655674178465e-20,7.3119965028263117e-57
7.77981498952278e-16,1.1180450815602494,3.5388475572133034e-15,8.8424086042974937e-25,8.8419835784595792e-25,3.5067844533392159e-39,3.0788408764816721e-33,0.0,0.0,3.4271574114590187e-16,2.5495220124178321e-28,154.0,0.0,0.99999999740494061,1.0,19.0,1.4904127011508228e-10,1.711435095369862e-09,3.6659384635466096e-10,3.6659779533585746e-10,5.2424733009149305e-13,2.6710766485301642e-16,4.444963547579667e-17,1.5685351601016423e-16,8.6648022022733224e-13,2.677652924548306e-24,5.6128027457658832e-19,1.6960595709354085e-18,4.0756296783263531e-24,4.0756284398977804e-24,1.0651606569356358e-30,4.7027842607813985e-23,1.7326791678615887e-31,4.1341220179173037e-20,5.9769829525865311e-56
1.0128438683107465e-15,1.1180450815602492,4.6071793600725462e-15,1.4984736748823428e-24,1.4984183387078346e-24,7.5532407300711903e-39,6.6287171767750228e-33,0.0,0.0,4.4620890638077944e-16,4.3208098143235589e-28,154.0,0.0,0.99999999662153627,1.0,19.0,1.9403486671030276e-10,2.2275391025729574e-09,4.7726359495638613e-10,4.7726877864571001e-10,8.8827796454470905e-13,4.5265623159220286e-16,5.9301514236782826e-17,2.6578780304465302e-16,1.4681529923132201e-12,4.5882990125882815e-24,9.5118084661795972e-19,2.874247168657188e-18,8.7747892248297171e-24,8.7747859293573007e-24,2.8342964286463838e-30,1.0123841215525004e-22,4.6117598932754817e-31,7.0059432284745889e-20,3.1657287478104298e-55
1.2477062376692148e-15,1.1180450815602494,5.6755113151508045e-15,2.2738134713811403e-24,2.2737452996064568e-24,1.3891251202189122e-38,1.218807653128647e-32,0.0,0.0,5.4971682169661958e-16,6.5568729085499276e-28,154.0,0.0,0.99999999583813648,1.0,19.0,2.3902846324051719e-10,2.7433855383342576e-09,5.8793329440077491e-10,5.8793973326591872e-10,1.3476816169180737e-12,6.868723311872423e-16,7.4109071183284781e-17,4.0327512368334338e-16,2.2274590585966891e-12,7.0107385229873423e-24,1.4433503883558016e-18,4.3614659224790324e-18,1.6134002158047943e-23,1.6133994955435294e-23,6.1944295714739725e-30,1.8612281273334082e-22,1.0081830768001154e-30,1.0631028811035656e-19,1.2510760564556538e-54
1.7174309763861517e-15,1.1180450815602494,7.8121756819642698e-15,4.3078140696859291e-24,4.3077202189857056e-24,3.5378110513857344e-38,3.1032079433194183e-32,0.0,0.0,7.5677690258170095e-16,1.2423600398108992e-27,154.0,0.0,0.99999999427135056,1.0,19.0,3.2901565610592864e-10,3.774306164437466e-09,8.092725458190637e-10,8.0928155636415248e-10,2.5524343495692521e-12,1.301305614028889e-15,1.0369577745358393e-16,7.6387756565471821e-16,4.2186841036409808e-12,1.3390982478372521e-23,2.7344962679211694e-18,8.26299410101821e-18,4.107875653169526e-23,4.1078732414544712e-23,2.0739773199795535e-29,4.7377613521631984e-22,3.3773773433041474e-30,2.0140992278902893e-19,1.1369988837280471e-53
2.1871557151030885e-15,1.1180450815602496,9.9488406576535049e-15,6.9862427793679861e-24,6.986123236337223e-24,7.215601559153611e-38,6.3281245148214136e-32,0.0,0.0,9.6389598382353532e-16,2.0150300245668353e-27,154.0,0.0,0.99999999270458284,1.0,19.0,4.1900284871131829e-10,4.8041979876350591e-09,1.030611600612815e-09,1.0306232646339278e-09,4.1381300819956687e-12,2.1104042353098695e-15,1.3327408449139285e-16,1.23859314985024e-15,6.8395348153174345e-12,2.181835039105059e-23,4.4347176663251788e-18,1.3400638047946107e-17,8.376853384791167e-23,8.3768473236294269e-23,5.2119902156798454e-29,9.6591328227506737e-22,8.49171522315966e-30,3.2664010644674832e-19,5.3923821043362097e-53
2.6568804538200256e-15,1.1180450815602496,1.2085506242218337e-14,1.0309099765632003e-23,1.0308954513001536e-23,1.2863629206207554e-37,1.1279978565039961e-31,0.0,0.0,1.1710740654488735e-15,2.9737599804279842e-27,154.0,0.0,0.99999999113783355,1.0,19.0,5.0899004105668765e-10,5.8330620744115342e-09,1.2519504587854786e-09,1.2519648581138862e-09,6.1043739178108376e-12,3.1141647543779449e-15,1.6287658181727187e-16,1.8273506543429442e-15,1.0089358505920389e-11,3.2292806711581135e-23,6.5440143456726634e-18,1.9774391451199424e-17,1.4931851352643746e-22,1.4931838502644916e-22,1.1048944405978961e-28,1.7213600087126842e-21,1.8010544216275566e-29,4.8200082200593444e-19,1.9404678915972619e-52
3.596329931253899e-15,1.1180450815602494,1.6358839237974262e-14,1.8888099388216843e-23,1.8887902649538986e-23,3.1788829801556112e-37,2.7868565854364479e-31,0.0,0.0,1.5856072299704967e-15,5.4496440687607966e-27,154.0,0.0,0.99999998800438916,1.0,18.999999999999993,6.8896442496737303e-10,7.8877111804095687e-09,1.6946275852809176e-09,1.6946477010709729e-09,1.1176972313606689e-11,5.7056581478914301e-15,2.2206437851775329e-16,3.3467146040410688e-15,1.8473390101476095e-11,5.9382842230365345e-23,1.198983273484137e-17,3.6230202398691752e-17,3.6890866127491938e-22,3.6890823105539774e-22,3.6985271279387462e-28,4.2506481164260777e-21,6.0366808868290266e-29,8.8311379073679407e-19,1.8600411122422865e-51
4.535779408687772e-15,1.1180450815602496,2.0632174669230874e-14,3.004481441553507e-23,3.0044566076758034e-23,6.3734220487258582e-37,5.5862471300422218e-31,0.0,0.0,2.0003763963721484e-15,8.6704984234221428e-27,154.0,0.0,0.9999999848710176,1.0,18.999999999999989,8.689388078379979e-10,9.9382617217329829e-09,2.1373039253320473e-09,2.1373300857953759e-09,1.7767178699965178e-11,9.0757592018974826e-15,2.8125007980198671e-16,5.3214186040137415e-15,2.936573644407529e-11,9.4660809697241001e-23,1.9071949721064289e-17,5.7630378426930415e-17,7.3947457456181044e-22,7.3947349103529622e-22,9.3133462276003412e-28,8.516124940155145e-21,1.5219189127181101e-28,1.4047487061684641e-18,9.1541786964609126e-51
6.41467836355552e-15,1.1180450815602494,2.9178852838241572e-14,6.009139658880448e-23,6.0091044588874176e-23,1.8027891793255353e-36,1.5794633223584405e-30,0.0,0.0,2.8306227357151873e-15,1.7349047507637229e-26,154.0,0.0,0.99999997860449175,1.0,18.999999999999972,1.2288875704591173e-09,1.4027099699328954e-08,3.022654246207186e-09,3.0226934827266187e-09,3.5488348445073377e-11,1.8151678772689649e-14,3.9961650304571491e-16,1.0634665217367221e-14,5.8655428943575709e-11,1.8977943052416604e-22,3.8145072719003602e-17,1.1526363325971573e-16,2.0907893621748557e-21,2.0907849968283467e-21,3.7507772375461689e-27,2.4053268969964927e-20,6.1456927128292618e-28,2.8095838925311714e-18,1.1419627156141007e-49
8.293577318423267e-15,1.1180450815602492,3.7725540749241138e-14,1.0044885801868356e-22,1.0044840154449122e-22,3.8975853690298516e-36,3.4134206155645463e-30,0.0,0.0,3.6618130852727404e-15,2.9013274850699593e-26,154.0,0.0,0.99999997233825466,1.0,18.999999999999954,1.5888363289201505e-09,1.8099641219768463e-08,3.9080014216229849e-09,3.908055053267257e-09,5.9243736334385674e-11,3.0341711957928351e-14,5.1798487524617992e-16,1.7762722341366093e-14,9.7918525961514387e-11,3.1764644487174773e-22,6.3763369728483934e-17,1.9267377001398112e-16,4.5184375533687324e-21,4.5184254465811053e-21,1.0398911968981992e-26,5.1929936610411706e-20,1.7078756590344639e-27,4.6965054060774641e-18,6.471992370936846e-49
